press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"이재명 ""정부 참여 국정협의체 제안…일단 韓대행 탄핵 않기로""(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015107264?sid=100,,연합뉴스,"이재명 ""정부 참여 국정협의체 제안…일단 韓대행 탄핵 않기로""(종합)","""韓대행에 중립적 국정 당부""…거부권 문제에 ""대행의 업무한계 안벗어날것""
""尹 파면절차·특검 신속히 진행돼야…추경 논의도 필요""
""선거법 기소는 정치적…합리적 결론 나올 것이며 그에 따라 정치 일정 진행""
이재명 ""정부 참여 국정협의체 제안…일단 韓대행 탄핵 않기로""
(서울=연합뉴스) 임형섭 설승은 안정훈 기자 = 더불어민주당 이재명 대표는 15일 ""국정 정상화를 위한 초당적 협력체, 국회와 정부가 함께하는 국정안정협의체 구성을 제안한다""고 밝혔다.
이 대표는 윤석열 대통령의 탄핵소추안이 가결된 이튿날인 이날 국회에서 기자회견을 열고 ""대한민국 정상화가 시급하다. 민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력할 것""이라며 이같이 말했다.
이 대표는 국민의힘을 향해서도 ""이제 대통령이 직무정지가 됐으니 국민의힘도 여당이 아니다. 이제는 여당도 야당도 없고 중립적 상태로 돌아간 것""이라며 ""국민의힘이 협조하지 않으면 정당으로서 존재 이유가 없다. 작은 이익을 따지다 큰 역사의 물결에 휩쓸려 가는 일이 없기를 바란다""면서 협의체 참여를 촉구했다.
이 대표는 혼란 수습에 있어 경제 회복의 중요성을 강조하면서 ""민주당도 시장 안정화, 투자 보호조치 등 경제 불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""고 약속했다.
이 대표는 특히 ""지금 당장 해결해야 하는 것은 정부 재정 역할 축소에 따른 소비 침체""라며 ""추경을 신속하게 논의할 필요가 있다. 골목상권이나 서민경제 지원을 위한 지역화폐 예산, AI 관련 예산 등을 검토할 수 있을 것""이라고 촉구했다.
당내에서 논의됐던 한덕수 대통령 권한대행 국무총리의 탄핵 문제에 대해서는 ""너무 많은 탄핵은 국정 혼선을 초래할 수 있다는 판단 아래, 일단은 탄핵 절차를 밟지 않기로 했다""고 밝혔다.
이 대표는 ""제가 어제 한 권한대행과 잠깐 통화를 했다""며 ""이제는 여당이 지명한 총리가 아닌, 여야를 가리지 않고 정파를 떠난 중립적 입장에서 국정을 운영해달라고 말씀을 드렸다. 한 권한대행도 전적으로, 흔쾌히 동의하셨다""고 소개했다.
[그래픽] 민주당 이재명 대표 기자회견 주요 내용
(서울=연합뉴스) 김영은 기자 = 0eun@yna.co.kr
트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1
이 대표는 헌법재판소를 향해서는 ""윤석열 대통령의 파면 절차를 신속히 진행해달라""며 ""그것만이 국가의 혼란을 최소화할 유일한 방법""이라고 말했다.
이 대표는 ""윤 대통령은 끝까지 싸우겠다며 국민들을 선동하고 있고, 이로 인한 갈등이 증폭될 것 같다""고 지적한 뒤, 그럼에도 헌재에서는 국민의 상식에 부합하는 결과가 나올 것이라고 강조했다.
이 대표는 비상계엄 사태 관련 수사에 대해서는 ""진상규명을 위해 신속한 특검의 출범이 필요하다""고 말했다
한 권한대행이 특검에 거부권을 행사할 수 있을 것으로 보느냐는 질문에는 ""직무대행은 교과서적으로 보면 현상 유지 관리가 주 업무""라며 ""한 권한대행이 대행의 한계를 벗어나지 않을 것으로 생각한다""고 말했다.
다만 검찰개혁 입법에 대해서는 ""제도적 개혁의 문제는 혼란이 정리된 난 다음 논의 돼도 충분할 것""이라고 말했다.
이 대표는 ""국민의힘에서 당론에 따르지 않고 탄핵 의결에 찬성한 의원들은 배신자가 아니라 국가적 충복""이라며 ""군에서도 (비상계엄시) 명령에 따르지 않은 하급 지휘관 병사들에 대해서는 책임을 물을 것이 아니라 포상을 해야 할 것""이라고 덧붙이기도 했다.
이 대표는 조기 대선을 염두에 두고 있느냐는 질문에는 ""지금은 위기 극복에 집중할 때""라며 말을 아꼈다.
공직선거법 1심 유죄판결 등 '사법리스크'가 향후 정치 행보에 영향을 주지 않겠느냐는 물음이 재차 나오자 ""기소 자체가 매우 정치적이고 상식에 부합하지 않았다""고 답했다.
그러면서 ""헌법은 무죄추정의 원칙이라는 원리를 채택하고 있다. 법과 원칙에 따라 합리적인 결론이 나올 것이고, 이에 따라 정치 일정도 진행될 것이다. 저 역시 그 절차와 과정을 충실히 이행할 것""이라고 말했다.
이 대표는 아울러 ""마키아벨리가 '세상 모든 의미 있는 일들은 위험 속에서 이루어졌다'고 말했다. 오늘 위기가 내일의 위대한 대한민국을 만들 것""이라고 덧붙였다.
hysup@yna.co.kr",시장안정(조치)
연합뉴스,"이재명 “정국안정, 초당적 국정협의체 구성”",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015107264?sid=100,,연합뉴스,"이재명 ""정부 참여 국정협의체 제안…일단 韓대행 탄핵 않기로""(종합)","""韓대행에 중립적 국정 당부""…거부권 문제에 ""대행의 업무한계 안벗어날것""
""尹 파면절차·특검 신속히 진행돼야…추경 논의도 필요""
""선거법 기소는 정치적…합리적 결론 나올 것이며 그에 따라 정치 일정 진행""
이재명 ""정부 참여 국정협의체 제안…일단 韓대행 탄핵 않기로""
(서울=연합뉴스) 임형섭 설승은 안정훈 기자 = 더불어민주당 이재명 대표는 15일 ""국정 정상화를 위한 초당적 협력체, 국회와 정부가 함께하는 국정안정협의체 구성을 제안한다""고 밝혔다.
이 대표는 윤석열 대통령의 탄핵소추안이 가결된 이튿날인 이날 국회에서 기자회견을 열고 ""대한민국 정상화가 시급하다. 민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력할 것""이라며 이같이 말했다.
이 대표는 국민의힘을 향해서도 ""이제 대통령이 직무정지가 됐으니 국민의힘도 여당이 아니다. 이제는 여당도 야당도 없고 중립적 상태로 돌아간 것""이라며 ""국민의힘이 협조하지 않으면 정당으로서 존재 이유가 없다. 작은 이익을 따지다 큰 역사의 물결에 휩쓸려 가는 일이 없기를 바란다""면서 협의체 참여를 촉구했다.
이 대표는 혼란 수습에 있어 경제 회복의 중요성을 강조하면서 ""민주당도 시장 안정화, 투자 보호조치 등 경제 불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""고 약속했다.
이 대표는 특히 ""지금 당장 해결해야 하는 것은 정부 재정 역할 축소에 따른 소비 침체""라며 ""추경을 신속하게 논의할 필요가 있다. 골목상권이나 서민경제 지원을 위한 지역화폐 예산, AI 관련 예산 등을 검토할 수 있을 것""이라고 촉구했다.
당내에서 논의됐던 한덕수 대통령 권한대행 국무총리의 탄핵 문제에 대해서는 ""너무 많은 탄핵은 국정 혼선을 초래할 수 있다는 판단 아래, 일단은 탄핵 절차를 밟지 않기로 했다""고 밝혔다.
이 대표는 ""제가 어제 한 권한대행과 잠깐 통화를 했다""며 ""이제는 여당이 지명한 총리가 아닌, 여야를 가리지 않고 정파를 떠난 중립적 입장에서 국정을 운영해달라고 말씀을 드렸다. 한 권한대행도 전적으로, 흔쾌히 동의하셨다""고 소개했다.
[그래픽] 민주당 이재명 대표 기자회견 주요 내용
(서울=연합뉴스) 김영은 기자 = 0eun@yna.co.kr
트위터 @yonhap_graphics  페이스북 tuney.kr/LeYN1
이 대표는 헌법재판소를 향해서는 ""윤석열 대통령의 파면 절차를 신속히 진행해달라""며 ""그것만이 국가의 혼란을 최소화할 유일한 방법""이라고 말했다.
이 대표는 ""윤 대통령은 끝까지 싸우겠다며 국민들을 선동하고 있고, 이로 인한 갈등이 증폭될 것 같다""고 지적한 뒤, 그럼에도 헌재에서는 국민의 상식에 부합하는 결과가 나올 것이라고 강조했다.
이 대표는 비상계엄 사태 관련 수사에 대해서는 ""진상규명을 위해 신속한 특검의 출범이 필요하다""고 말했다
한 권한대행이 특검에 거부권을 행사할 수 있을 것으로 보느냐는 질문에는 ""직무대행은 교과서적으로 보면 현상 유지 관리가 주 업무""라며 ""한 권한대행이 대행의 한계를 벗어나지 않을 것으로 생각한다""고 말했다.
다만 검찰개혁 입법에 대해서는 ""제도적 개혁의 문제는 혼란이 정리된 난 다음 논의 돼도 충분할 것""이라고 말했다.
이 대표는 ""국민의힘에서 당론에 따르지 않고 탄핵 의결에 찬성한 의원들은 배신자가 아니라 국가적 충복""이라며 ""군에서도 (비상계엄시) 명령에 따르지 않은 하급 지휘관 병사들에 대해서는 책임을 물을 것이 아니라 포상을 해야 할 것""이라고 덧붙이기도 했다.
이 대표는 조기 대선을 염두에 두고 있느냐는 질문에는 ""지금은 위기 극복에 집중할 때""라며 말을 아꼈다.
공직선거법 1심 유죄판결 등 '사법리스크'가 향후 정치 행보에 영향을 주지 않겠느냐는 물음이 재차 나오자 ""기소 자체가 매우 정치적이고 상식에 부합하지 않았다""고 답했다.
그러면서 ""헌법은 무죄추정의 원칙이라는 원리를 채택하고 있다. 법과 원칙에 따라 합리적인 결론이 나올 것이고, 이에 따라 정치 일정도 진행될 것이다. 저 역시 그 절차와 과정을 충실히 이행할 것""이라고 말했다.
이 대표는 아울러 ""마키아벨리가 '세상 모든 의미 있는 일들은 위험 속에서 이루어졌다'고 말했다. 오늘 위기가 내일의 위대한 대한민국을 만들 것""이라고 덧붙였다.
hysup@yna.co.kr",시장안정(조치)
전남매일,"이재명 ""국회·정부 국정안정협의체 구성 제안""",,,,,,,시장안정(조치)
삼다일보,"이재명, 국회·정부 참여 '국정안정협의체' 제안···한 권한대행 탄핵...",,,,,,,시장안정(조치)
한국경제,"""한덕수, 탄핵 안 한다""…이재명 '국정안정·민생 회복' 강조",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005070225?sid=100,,한국경제,"""한덕수, 탄핵 안 한다""…이재명 '국정 안정·민생 회복' 강조","이재명, 탄핵 후 첫 기자회견
한덕수 권한대행 탄핵 않기로
이재명 더불어민주당 대표가 15일 오전 국회에서 열린 기자회견에서 발언하고 있다. 사진=연합뉴스
이재명 더불어민주당 대표가 한덕수 권한대행을 탄핵하지 않기로 했다고 밝혔다. 이 대표는 국정 혼선을 최소화하면서 민생 안정에 주력하겠다는 의지를 드러냈다. 이를 위해 국회와 정부가 함께하는 국정협의체 구성을 제안하고 나섰다.
이 대표는 15일 오전 기자회견을 열고 ""대한민국 정상화가 시급하다. 민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력할 것""이라며 ""국정 정상화를 위한 초당적 협력체, 국회와 정부가 함께하는 국정안정협의체 구성을 제안한다""고 했다.
경제 상황과 관련해선 ""어느 때보다 정부의 적극적이고 능동적인 역할이 필요하다""며 ""금융·외환 관리 당국은 24시간 모니터링 체계를 빈틈없이 가동해 달라""고 주문했다.
이어 ""국회 제1당인 민주당도 시장 안정화, 투자 보호조치 등 경제 불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""고 말했다.
외교 공백에 대해선 ""중단된 국제사회와의 대화와 협력을 복원할 수 있는 다각적 노력이 필요하다""며 ""한미동맹은 굳건히 지켜질 것이고 더욱 확장·발전될 것""이라고 강조했다.
헌재를 향해선 윤석열 대통령 탄핵 심판을 신속하게 진행해 줄 것을 당부했다. 이 대표는 ""윤 대통령의 파면 절차를 신속하게 진행해 주시기 바란다""며 ""그것만이 국가의 혼란과 국민의 고통을 최소화할 유일한 방법""이라고 촉구했다.
수사당국엔 진상 규명과 책임 추궁도 분명해야 한다면서 ""수사기관은 신속하고 엄정한 수사로 진실을 밝혀달라""고 했다. 그러면서 ""진상 규명을 위해 신속한 특검의 출발이 필요하다""며 내란 관련 기관과 가담자들은 수사에 적극 협조해야 한다""고 말했다.
한 권한대행 탄핵은 하지 않기로 했다. 이 대표는 ""당내에선 한 권한대행에 대해 이번 내란 사태의 책임 또는 기존 국정 난맥의 책임을 물어 탄핵해야 한다는 주장이 상당히 많이 있는 건 사실""이라면서도 ""이미 총리께서 직무대행으로 확정이 됐고 또 너무 많은 탄핵을 하게 되면 국정에 약간의 혼선을 초래할 수도 있겠다는 판단 때문에 일단은 탄핵 절차를 밟지 않기로 했다""고 설명했다.",시장안정(조치)
한국경제,"[윤석열 탄핵] 이재명 ""'국정안정협의체' 구성 제안…한덕수, 탄핵 않기...",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005070225?sid=100,,한국경제,"""한덕수, 탄핵 안 한다""…이재명 '국정 안정·민생 회복' 강조","이재명, 탄핵 후 첫 기자회견
한덕수 권한대행 탄핵 않기로
이재명 더불어민주당 대표가 15일 오전 국회에서 열린 기자회견에서 발언하고 있다. 사진=연합뉴스
이재명 더불어민주당 대표가 한덕수 권한대행을 탄핵하지 않기로 했다고 밝혔다. 이 대표는 국정 혼선을 최소화하면서 민생 안정에 주력하겠다는 의지를 드러냈다. 이를 위해 국회와 정부가 함께하는 국정협의체 구성을 제안하고 나섰다.
이 대표는 15일 오전 기자회견을 열고 ""대한민국 정상화가 시급하다. 민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력할 것""이라며 ""국정 정상화를 위한 초당적 협력체, 국회와 정부가 함께하는 국정안정협의체 구성을 제안한다""고 했다.
경제 상황과 관련해선 ""어느 때보다 정부의 적극적이고 능동적인 역할이 필요하다""며 ""금융·외환 관리 당국은 24시간 모니터링 체계를 빈틈없이 가동해 달라""고 주문했다.
이어 ""국회 제1당인 민주당도 시장 안정화, 투자 보호조치 등 경제 불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""고 말했다.
외교 공백에 대해선 ""중단된 국제사회와의 대화와 협력을 복원할 수 있는 다각적 노력이 필요하다""며 ""한미동맹은 굳건히 지켜질 것이고 더욱 확장·발전될 것""이라고 강조했다.
헌재를 향해선 윤석열 대통령 탄핵 심판을 신속하게 진행해 줄 것을 당부했다. 이 대표는 ""윤 대통령의 파면 절차를 신속하게 진행해 주시기 바란다""며 ""그것만이 국가의 혼란과 국민의 고통을 최소화할 유일한 방법""이라고 촉구했다.
수사당국엔 진상 규명과 책임 추궁도 분명해야 한다면서 ""수사기관은 신속하고 엄정한 수사로 진실을 밝혀달라""고 했다. 그러면서 ""진상 규명을 위해 신속한 특검의 출발이 필요하다""며 내란 관련 기관과 가담자들은 수사에 적극 협조해야 한다""고 말했다.
한 권한대행 탄핵은 하지 않기로 했다. 이 대표는 ""당내에선 한 권한대행에 대해 이번 내란 사태의 책임 또는 기존 국정 난맥의 책임을 물어 탄핵해야 한다는 주장이 상당히 많이 있는 건 사실""이라면서도 ""이미 총리께서 직무대행으로 확정이 됐고 또 너무 많은 탄핵을 하게 되면 국정에 약간의 혼선을 초래할 수도 있겠다는 판단 때문에 일단은 탄핵 절차를 밟지 않기로 했다""고 설명했다.",시장안정(조치)
아이뉴스24,"이재명 '국정안정협의체' 제안…총리실 ""국회와 적극 협력""",네이버뉴스,https://n.news.naver.com/mnews/article/031/0000893616?sid=100,,아이뉴스24,"[윤석열 탄핵] 이재명 ""'국정안정협의체' 구성 제안…한덕수, 탄핵 않기로""","""국정 안정과 국제신뢰 회복 위해 적극 협력""
""헌재, 尹 신속히 파면해 국정 혼란 막아야""
""한 권한대행, 중립적 입장에서 국정 운영해달라""
윤석열 대통령이 국회의 탄핵소추안 가결로 인해 직무정지된 가운데 이재명 더불어민주당 대표가 '국정안정협의체' 구성을 정부와 정치권에 제안했다.
더불어민주당 이재명 대표가 15일 오전 국회에서 열린 기자회견에서 발언하고 있다. 2024.12.15 [사진=연합뉴스]
이 대표는 15일 국회에서 기자회견을 열고 ""대한민국 정상화가 시급하며, 민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력할 것""이라고 밝혔다.
그는 ""연말 특수는 사라졌고, 국민의 일상은 멈췄다. 불확실성으로 증폭된 금융시장의 위험은 현재진행형""이라며 ""외교 공백으로 국제사회의 신뢰도는 떨어졌고, 내란 동원으로 국방과 안보는 심각한 타격을 받았다""고 했다.
이어 정부를 향해 ""어느 때보다 적극적이고 능동적인 역할이 필요하다""며 ""금융·외환 관리 당국은 24시간 모니터링 체계를 빈틈없이 가동해 달라""고 했다.
그러면서 ""국회 제1당인 민주당도 시장안정화·투자보호조치 등 경제불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""며 ""산업정책·통상외교 전략을 전방위로 뒷받침하고, 침체된 민생경제 회복을 위한 입법도 빈틈없이 해 나갈 것""이라고 말했다.
윤 대통령 탄핵 심판절차에 들어간 헌법재판소를 향해선 신속한 결정을 요청했다. 이 대표는 ""윤 대통령의 파면절차를 신속히 진행해 달라""며 ""그것만이 국가의 혼란을 최소화할 유일한 방법""이라고 했다.
수사기관을 향해선 ""이번 사태의 책임을 묻고 재발을 막기 위해 진상규명과 책임추궁이 분명해야 한다""며 ""공조수사본부 등 수사기관은 신속하고 엄정하게 수사로 진실을 밝혀달라""고 했다.
이 대표는 '내란 관련 특검 필요성'에 대해 ""지금 검·경·공수처 세 곳이 경쟁적으로 수사하고 있고 혼란이 적지 않아 통합해야 한다""며 ""공수처의 적법한 (사건 이첩) 요구를 검·경이 불응하고 있는 등 나라 기강이 무너지고 있는데, 이를 해결하기 위해서라도 특검을 해야 한다""고 했다.
아울러 한덕수 대통령 권한대행(국무총리)에 대한 탄핵 문제에 대해선 ""너무 많은 탄핵은 국정 혼선을 초래할 수 있다고 판단해 일단은 탄핵 절차를 밟지 않기로 했다""고 설명했다.
이어 ""어제 제가 한 권한대행과 잠깐 통과를 했다""며 ""이제는 여당이 지명한 총리가 아니라 여야를 가리지 않고 정파를 떠나 중립적 입장에서 국정을 운영해 달라고 말씀을 드렸고, 한 권한대행도 전적으로 동의했다""고 덧붙였다.
윤 대통령은 전날(14일) 오후 7시 24분 국회의 탄핵소추 의결서 등본이 대통령실에 전달되면서 권한행사가 정지됐다. 헌법상 대통령의 권한은 △국군통수권 △조약체결 비준권 △법률안 거부권 △법률개정안 공포권 △공무원임면권 등이다. 헌재의 탄핵심판 결정이 나올 때까지 한 권한대행 체제로 국정이 운영된다.",시장안정(조치)
대전일보,이재명 “초당적 국정안정협의체 제안...韓 대행 탄핵 않기로”,네이버뉴스,https://n.news.naver.com/mnews/article/656/0000114895?sid=100,,대전일보,"이재명 '국정안정협의체' 제안…총리실 ""국회와 적극 협력""","與는 반대…""국민의힘이 여전히 여당""
더불어민주당 이재명 대표가 15일 오전 국회에서 열린 기자회견에서 발언하고 있다. 연합뉴스
이재명 더불어민주당 대표가 띄운 국정안정협의체 구성이 난항을 거듭할 전망이다. 이 대표의 제안에 총리실은 화답했지만, 국민의힘에서 이를 거부하면서 윤석열 대통령 탄핵소추안 가결 이후 국정 운영 후속조치가 제각각 행보를 걷고 있다.
이 대표는 15일 국회에서 기자회견을 열고 ""국정 정상화를 위한 초당적 협력체, 국회와 정부가 함께하는 국정안정협의체 구성을 제안한다""며 ""대한민국 정상화가 시급하다. 민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력할 것""이라고 밝혔다.
이 대표는 경제 상황에 대응하기 위한 방안에 대해 ""어느 때보다 정부의 적극적이고 능동적인 역할이 필요하다. 금융·외환 관리 당국은 24시간 모니터링 체계를 빈틈없이 가동해 달라""며 ""국회 제1당인 민주당도 시장 안정화, 투자 보호조치 등 경제 불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""고 약속했다.
대통령 권한대행을 맡은 한덕수 국무총리에 대한 탄핵은 추진하지 않기로 했다. 그는 ""너무 많은 탄핵은 국정 혼선을 초래할 수 있다는 판단 아래, 일단은 탄핵 절차를 밟지 않기로 했다""고 설명했다.
이 대표는 ""제가 어제 한 권한대행과 잠깐 통화를 했다""며 ""이제는 여당이 지명한 총리가 아닌, 여야를 가리지 않고 정파를 떠난 중립적 입장에서 국정을 운영해달라고 말씀을 드렸다. 한 권한대행도 전적으로, 흔쾌히 동의하셨다""고 전했다.
이 대표는 헌법재판소를 향해서는 ""윤석열 대통령의 파면 절차를 신속히 진행해달라""며 ""그것만이 국가의 혼란을 최소화할 유일한 방법""이라고 당부했다.
한덕수 대통령 권한대행 국무총리가 15일 서울 종로구 정부서울청사를 나서고 있다. 연합뉴스
총리실은 이 대표의 제안에 대해 ""헌법과 법률에 따라 국정의 조속한 안정을 위해 여야를 포함한 국회와 적극적으로 협력할 준비가 돼 있다""고 화답했다.
반면 국민의힘은 국정안정협의체에 난색을 표하고 있다.
권성동 국민의힘 원내대표는 이날 국회에서 기자들과 만나 ""국민의힘은 여전히 (대통령이 소속된) 여당이고, 헌법 규정에 의해서 대통령 권한대행이 임명됐다""며 ""지금까지 해 온 것처럼 당정 협의를 통해 여당으로서 책임 있는 정치를 끝까지 하려고 한다""고 밝혔다.
권 원내대표는 ""고위당정 또는 실무당정협의 등을 통해 윤석열 정부 임기 끝까지 여당으로서 책임 있는 자세를 취하겠다""며 ""야당도 협력하기를 바란다""고 당부했다.
그는 이 대표를 겨냥해 ""그동안 윤석열 대통령 취임 이후 민주당은 어떻게 하면 윤석열 정부를 붕괴시킬 것인지에만 관심이 있었다""며 ""그런데 마치 탄핵소추 이후 민주당이 여당이 된 것처럼, 국정 운영 책임자가 된 것처럼 행동하는 건 옳지 못하고 적절하지 않다""고 지적했다.",시장안정(조치)
조세일보,"이재명 ""국회·정부 참여 '국정안정협의체' 구성"" 제안",네이버뉴스,https://n.news.naver.com/mnews/article/123/0002348907?sid=100,,조세일보,이재명 “초당적 국정안정협의체 제안...韓 대행 탄핵 않기로”,"""한 대행에게 중립적 입장으로 국정운영 부탁""
""국정 안정과 국제신뢰 회복 위해 적극 협력""
◆…이재명 더불어민주당 대표가 국회에서 열린 기자회견에서 발언하고 있다. 2024.12.15 사진=델리민주TV 캡처
이재명 더불어민주당 대표가 한덕수 국무총리 탄핵과 관련해 ""일단은 진행하지 않을 것""이라고 밝혔다.
이 대표는 15일 국회에서 기자회견을 열고 ""너무 많은 탄핵은 국정 혼선을 야기할 수 있어 한덕수 권한대행의 탄핵 절차는 밟지 않기로 했다""고 이같이 말했다.
이 대표는 이어 ""어제 한 권한대행과 잠깐 통화를 했다""며 ""이제는 여당이 지명한 총리가 아닌 여야를 가리지 않고 정파를 떠난 중립적 입장에서 국정을 운영해달라고 말씀을 드렸다. 한 권한대행도 전적으로 동의하셨다""고 전했다.
이 대표는 국정 정상화를 위해 국회와 정부가 함께하는 국정안정협의체 구성을 제안했다. 그는 ""대한민국 정상화가 시급하다""며 ""민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력할 것""이라고 강조했다.
특히 경제 상황과 관련해선 ""어느 때보다 정부의 적극적이고 능동적인 역할이 필요하다. 금융·외환 관리 당국은 24시간 모니터링 체계를 빈틈없이 가동해 달라""며 ""국회 제1당인 민주당도 시장 안정화, 투자 보호조치 등 경제 불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""고 약속했다.",시장안정(조치)
뉴시스,"이재명 ""국회·정부 '국정안정협의체' 구성 제안""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012963095?sid=100,,뉴시스,"이재명 ""국회·정부 '국정안정협의체' 구성 제안""","이재명 대표, 윤 탄핵안 가결 이후 첫 기자회견
""헌재, 윤 대통령 파면 절차 신속히 진행해야""
""국제 신뢰 회복 위해 초당적 협력…경제불안 해소하자""
[서울=뉴시스] 김근수 기자 = 윤석열 대통령 탄핵소추안 재표결이 가결된 14일 서울 영등포구 국회 앞에서 이재명 더불어민주당 대표가 '내란수괴 윤석열 즉각탄핵' 범국민 촛불대행진에 참석한 시민들에게 인사를 하고 있다. 2024.12.14. ks@newsis.com
[서울=뉴시스]정금민 김지은 김경록 기자 = 이재명 더불어민주당 대표는 15일 윤석열 대통령 탄핵소추안 가결에 따른 국정 혼란을 최소화해야 한다며 ""국회·정부가 함께하는 '국정안정협의체'를 구성하자""고 제안했다.
이 대표는 이날 서울 여의도 국회에서 기자회견을 열고 ""민주당은 모든 정당과 함께 국정 안정과 국제신뢰 회복을 위해 적극 협력하겠다""며 이같이 말했다.
이 대표는 ""어제 국회는 헌법 제65조에 따라 찬성 204표로 윤석열 대통령 탄핵소추안을 통과시켰다""며 ""마키아벨리는 '이 세상 모든 의미 있는 일들은 위험 속에서 이루어졌다'고 말했다. 오늘 우리가 처한 위기는 내일의 위대한 대한민국을 만들 것""이라고 했다.
이 대표는 ""세계 10위권 경제력을 일궈온 대한민국의 시장경제 시스템과 경제 당국의 역량은 충분하다. 금융·외환 관리 당국은 24시간 모니터링 체계를 빈틈없이 가동시켜 달라""며 ""어느 때보다 정부의 적극적이고 능동적인 역할이 필요하고 국회 제1당인 민주당도 시장 안정화, 투자보호조치 등 경제불안을 해소하기 위한 초당적 협력을 아끼지 않겠다""고 했다.
그러면서 ▲당 차원의 '국정안정·내란극복특별위원회' 구성 ▲민생경제 회복을 위한 입법 추진 ▲중단된 국제사회와의 대화·협력 복원 노력 ▲한미 동맹 확장 발전·동북아 안정과 세계평화를 위한 한반도 주변국과의 협력 관계 유지 ▲정부·국회 '한반도 평화 정착' 등 대한민국 외교·안보 기본 원칙 유지 등을 제시했다.
이 대표는 '12.3 비상계엄 사태'를 규명하기 위한 특검 가동 필요성도 강조했다. 그는 ""어처구니 없는 이번 (비상계엄) 사태의 책임을 묻고 재발을 막기 위해 진상규명과 책임추궁도 분명해야 한다. 공조수사본부 등 수사기관은 신속하고 엄정한 수사로 진실을 밝혀야 하고 또 진상규명을 위해 신속한 특검의 출범이 필요하다""고 했다.
이 대표는 윤 대통령 탄핵안을 심리하는 헌법재판소를 향해서는 ""윤 대통령의 파면절차를 신속히 진행해달라""며 ""그것만이 국가의 혼란을 최소화할 유일한 방법""이라고 했다．",시장안정(조치)
