press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
국민일보,"美 고용 약화에원·달러 환율, 2.7원 하락 출발",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001818416?sid=101,,국민일보,"美 고용 약화에 원·달러 환율, 2.7원 하락 출발","미국의 민간 고용이 예상 밖의 감소세를 보였다는 소식에 달러화가 약세를 보이면서 4일 원달러 환율이 하락 출발했다.
서울 외환시장에서 원달러 환율은 오전 9시5분 기준 전일 주간 거래 종가(오후 3시30분) 대비 2.7원 내린 1465.3원에 거래되고 있다. 환율은 개장과 함께 1.0원 내린 1467.0원으로 시작한 뒤 1460원대 중반에서 등락을 거듭하는 모습이다.
간밤 발표된 미국의 고용 지표가 시장에 충격을 준 것이 주된 원인으로 분석된다. 3일(현지시간) 미 고용정보업체 ADP가 발표한 11월 민간기업 고용은 전월 대비 3만2000명 감소하며 2023년 3월 이후 2년 8개월 만에 가장 큰 폭으로 줄었다.
이처럼 고용 시장이 냉각되고 있다는 신호가 나오자 시장에서는 미 연방준비제도(Fed·연준)가 조기에 기준금리 인하로 방향을 틀 수 있다는 기대감이 커지고 있다. 이러한 심리가 달러화 가치를 끌어내리고 있는 것이다.
실제로 주요 6개국 통화 대비 달러 가치를 보여주는 달러 인덱스는 6거래일 연속 하락하며 심리적 지지선인 99선마저 무너졌다. 현재 98.907 수준을 기록 중이다.
같은 시각 원엔 재정환율은 100엔당 945.09원으로 전일 오후 3시 30분 기준가보다 1.25원 내렸고, 엔달러 환율은 155.08엔을 나타내고 있다.",원달러환율
국민일보,"美 고용 약화에달러약세…환율, 2.7원 하락 출발",네이버뉴스,https://n.news.naver.com/mnews/article/005/0001818416?sid=101,,국민일보,"美 고용 약화에 원·달러 환율, 2.7원 하락 출발","미국의 민간 고용이 예상 밖의 감소세를 보였다는 소식에 달러화가 약세를 보이면서 4일 원달러 환율이 하락 출발했다.
서울 외환시장에서 원달러 환율은 오전 9시5분 기준 전일 주간 거래 종가(오후 3시30분) 대비 2.7원 내린 1465.3원에 거래되고 있다. 환율은 개장과 함께 1.0원 내린 1467.0원으로 시작한 뒤 1460원대 중반에서 등락을 거듭하는 모습이다.
간밤 발표된 미국의 고용 지표가 시장에 충격을 준 것이 주된 원인으로 분석된다. 3일(현지시간) 미 고용정보업체 ADP가 발표한 11월 민간기업 고용은 전월 대비 3만2000명 감소하며 2023년 3월 이후 2년 8개월 만에 가장 큰 폭으로 줄었다.
이처럼 고용 시장이 냉각되고 있다는 신호가 나오자 시장에서는 미 연방준비제도(Fed·연준)가 조기에 기준금리 인하로 방향을 틀 수 있다는 기대감이 커지고 있다. 이러한 심리가 달러화 가치를 끌어내리고 있는 것이다.
실제로 주요 6개국 통화 대비 달러 가치를 보여주는 달러 인덱스는 6거래일 연속 하락하며 심리적 지지선인 99선마저 무너졌다. 현재 98.907 수준을 기록 중이다.
같은 시각 원엔 재정환율은 100엔당 945.09원으로 전일 오후 3시 30분 기준가보다 1.25원 내렸고, 엔달러 환율은 155.08엔을 나타내고 있다.",원달러환율
연합뉴스,"환율, 장 초반 소폭 하락...美 고용 약화에달러약세",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015777882?sid=101,,연합뉴스,"美 고용 약화에 달러 약세…환율, 2.7원 하락 출발","美 고용 약화에 달러 약세…환율, 2.7원 하락 출발
(서울=연합뉴스) 박동주 기자 = 코스피가 하락 출발한 4일 서울 중구 하나은행 딜링룸 현황판에 코스피 지수 등이 표시되고 있다. 2025.12.4 pdj6635@yna.co.kr
(서울=연합뉴스) 임지우 기자 = 원/달러 환율은 4일 미국 고용 약화로 인한 달러 약세로 장 초반 소폭 하락했다.
이날 서울 외환시장에서 미국 달러화 대비 원화 환율은 오전 9시 5분 현재 전일 주간 거래 종가(오후 3시 30분)보다 2.7원 내린 1,465.3원이다.
환율은 1.0원 내린 1,467.0원으로 출발한 뒤 1,460원대에서 등락하고 있다.
미국의 지난 달 민간 고용이 예상 밖으로 감소했다는 지표가 나오면서 달러가 약세를 보인 영향으로 보인다.
3일(현지시간) 미 고용정보업체 오토매틱데이터프로세싱(ADP)은 11월 미국 민간기업 고용이 전월 대비 3만2천명 감소했다고 밝혔다. 이는 2023년 3월 이후 2년 8개월 만에 가장 큰 감소 폭이다.
미 연방준비제도(Fed·연준)가 고용 약화를 고려해 기준금리를 인하할 수 있다는 기대가 확산하면서 달러는 약세를 이어가고 있다.
주요 6개국 통화 대비 달러 가치를 나타내는 달러 인덱스는 최근 6거래일 연속 하락해 99선 밑으로 떨어졌다. 현재 전일과 비슷한 98.907이다.
같은 시각 원/엔 재정환율은 100엔당 945.09원으로, 전일 오후 3시 30분 기준가인 943.84원보다 1.25원 내렸다.
엔/달러 환율은 0.19엔 내린 155.08엔이다.
wisefool@yna.co.kr",원달러환율
헬로티,'美 고용 지표 부진'에달러약세…환율2.7원 하락 출발,,,,,,,원달러환율
연합뉴스,고환율충격에…해외IB '물가상승률 눈높이' 일제히 상향,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015777639?sid=101,,연합뉴스,고환율 충격에…해외IB '물가상승률 눈높이' 일제히 상향,"올해 2.0→2.1%·내년 1.8→1.9%로 전망치 평균 올라…국제금융센터 집계
고환율 충격에…해외IB '물가상승률 눈높이' 일제히 상향
[연합뉴스 자료사진]
(서울=연합뉴스) 한지훈 기자 = 세계 주요 투자은행(IB)이 우리나라의 내년 소비자물가 상승률 전망치를 일제히 상향 조정했다.
원/달러 환율이 1,400원대 중후반에서 고공행진을 지속하자 고물가 전망에 무게를 실은 것으로 보인다.
4일 국제금융센터에 따르면, 주요 IB 8곳이 제시한 내년 소비자물가 상승률 전망치는 지난달 말 평균 1.9%로 집계됐다.
10월 말 평균 1.8%에서 1.9%로 0.1%포인트(p) 높아졌다.
한 달 사이 바클리와 골드만삭스가 1.8%에서 1.9%로, 씨티가 1.7%에서 1.8%로, 노무라가 1.9%에서 2.1%로, JP모건이 1.3%에서 1.4%로 각각 전망치를 상향 조정했다.
뱅크오브아메리카는 1.8%, HSBC는 2.0%, UBS는 1.9%를 각각 유지했다.
이들 IB는 올해 연간 소비자물가 상승률 전망치도 10월 말 2.0%에서 2.1%로 0.1%p 높여 잡았다.
바클리와 씨티, JP모건, 노무라, UBS 등 5개 사는 나란히 2.0%에서 2.1%로 전망치를 수정했고, 골드만삭스도 1.9%에서 2.0%로 높였다.
뱅크오브아메리카는 1.9%, HSBC는 2.2%를 각각 유지했다.
이번 전망치 수정은 내수 경기 회복에 따른 수요 증가와 함께, 고환율 영향을 고려한 결과로 해석된다.
환율이 오르면 석유류나 수입 농축수산물 등의 가격도 오르게 되고, 시차를 두고 가공식품이나 외식 물가까지 오르게 된다.
한국은행은 이런 상황을 반영, 지난달 27일 경제전망에서 올해와 내년의 소비자물가 상승률 전망치를 2.0%에서 2.1%로, 1.9%에서 2.1%로 각각 높였다.
이창용 한은 총재는 당일 기자간담회에서 ""고환율로 인해 물가가 올라갈 수 있는 가능성이 우려된다""고 밝혔다.
김웅 한은 부총재보도 지난 2일 내부 회의에서 ""높아진 환율이 향후 물가에 미칠 영향을 좀 더 지켜볼 필요가 있다""고 언급했다.
국가데이터처는 11월 소비자물가지수가 작년 11월보다 2.4% 올랐다고 지난 2일 발표했다. 올해 8월 1.7%에서 9월 2.1%, 10월 2.4% 등으로 상승 흐름이 이어지고 있다.
hanjh@yna.co.kr",원달러환율
연합뉴스,"환율고공행진 여파… 글로벌 IB, 내년 韓 물가 전망 줄상향",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015777639?sid=101,,연합뉴스,고환율 충격에…해외IB '물가상승률 눈높이' 일제히 상향,"올해 2.0→2.1%·내년 1.8→1.9%로 전망치 평균 올라…국제금융센터 집계
고환율 충격에…해외IB '물가상승률 눈높이' 일제히 상향
[연합뉴스 자료사진]
(서울=연합뉴스) 한지훈 기자 = 세계 주요 투자은행(IB)이 우리나라의 내년 소비자물가 상승률 전망치를 일제히 상향 조정했다.
원/달러 환율이 1,400원대 중후반에서 고공행진을 지속하자 고물가 전망에 무게를 실은 것으로 보인다.
4일 국제금융센터에 따르면, 주요 IB 8곳이 제시한 내년 소비자물가 상승률 전망치는 지난달 말 평균 1.9%로 집계됐다.
10월 말 평균 1.8%에서 1.9%로 0.1%포인트(p) 높아졌다.
한 달 사이 바클리와 골드만삭스가 1.8%에서 1.9%로, 씨티가 1.7%에서 1.8%로, 노무라가 1.9%에서 2.1%로, JP모건이 1.3%에서 1.4%로 각각 전망치를 상향 조정했다.
뱅크오브아메리카는 1.8%, HSBC는 2.0%, UBS는 1.9%를 각각 유지했다.
이들 IB는 올해 연간 소비자물가 상승률 전망치도 10월 말 2.0%에서 2.1%로 0.1%p 높여 잡았다.
바클리와 씨티, JP모건, 노무라, UBS 등 5개 사는 나란히 2.0%에서 2.1%로 전망치를 수정했고, 골드만삭스도 1.9%에서 2.0%로 높였다.
뱅크오브아메리카는 1.9%, HSBC는 2.2%를 각각 유지했다.
이번 전망치 수정은 내수 경기 회복에 따른 수요 증가와 함께, 고환율 영향을 고려한 결과로 해석된다.
환율이 오르면 석유류나 수입 농축수산물 등의 가격도 오르게 되고, 시차를 두고 가공식품이나 외식 물가까지 오르게 된다.
한국은행은 이런 상황을 반영, 지난달 27일 경제전망에서 올해와 내년의 소비자물가 상승률 전망치를 2.0%에서 2.1%로, 1.9%에서 2.1%로 각각 높였다.
이창용 한은 총재는 당일 기자간담회에서 ""고환율로 인해 물가가 올라갈 수 있는 가능성이 우려된다""고 밝혔다.
김웅 한은 부총재보도 지난 2일 내부 회의에서 ""높아진 환율이 향후 물가에 미칠 영향을 좀 더 지켜볼 필요가 있다""고 언급했다.
국가데이터처는 11월 소비자물가지수가 작년 11월보다 2.4% 올랐다고 지난 2일 발표했다. 올해 8월 1.7%에서 9월 2.1%, 10월 2.4% 등으로 상승 흐름이 이어지고 있다.
hanjh@yna.co.kr",원달러환율
서울신문,"환율상승에 주요 IB, 韓 물가 전망 상향 조정",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003598163?sid=101,,서울신문,"환율 고공행진 여파… 글로벌 IB, 내년 韓 물가 전망 줄상향","고환율 장기화에 수입·생활물가 압력 확대
주요 IB, 내년 소비자물가 전망 평균 1.9%
한은 올해·내년 물가 모두 2.1%로 조정
16일 서울의 한 대형마트에서 시민들이 과일을 고르고 있다. 2025.10.16. 연합뉴스
원달러 환율의 고공행진이 길어지면서 수입물가와 생활물가 전반에 압력이 커지자, 글로벌 투자은행(IB)들이 내년 한국 소비자물가 상승률 전망치를 일제히 올렸다. 고환율 영향이 시차를 두고 본격적으로 물가에 반영될 것이라는 판단 때문이다.
4일 국제금융센터에 따르면 주요 IB 8곳의 내년 한국 소비자물가 상승률 전망치는 지난달 말 평균 1.9%로, 10월 말(1.8%)보다 0.1% 포인트 올랐다. 바클리·골드만삭스는 1.8%에서 1.9%로, 씨티는 1.7%에서 1.8%로 상향했다. 노무라는 1.9%에서 2.1%로 0.2% 포인트 올렸고, JP모건도 1.3%에서 1.4%로 조정했다. 뱅크오브아메리카(1.8%), HSBC(2.0%), UBS(1.9%)는 기존 전망을 유지했다.
올해 소비자물가 전망도 같은 기간 2.0%에서 2.1%로 0.1% 포인트 높아졌다. 바클리·씨티·JP모건·노무라·UBS가 2.0%에서 2.1%로 조정했고, 골드만삭스는 1.9%에서 2.0%로 상향했다.
IB들이 전망을 올린 배경엔 1460원대에서 등락 중인 고환율이 있다. 환율이 오르면 석유류·곡물·수입 농축수산물 등이 먼저 가격이 뛰고, 이후 가공식품·외식비 등 생활밀착형 물가까지 연쇄적으로 영향을 받는 구조다.
한국은행도 지난달 27일 경제전망에서 올해와 내년 소비자물가 상승률 전망치를 모두 2.1%로 상향했다. 이창용 한은 총재는 “고환율로 인한 추가 물가 상승 가능성이 우려된다”고 밝혔다.
국가데이터처가 발표한 11월 소비자물가지수는 전년 동월 대비 2.4% 올랐다. 지난 8월 1.7%에서 9월 2.1%, 10월 2.4%로 이어진 상승 흐름이 11월에도 이어진 것이다.",원달러환율
천지일보,환율發 '물가 비상등',,,,,,,원달러환율
조선비즈,내년원·달러 환율고공행진 멈출까… “1540원까지 오를 수도”,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001128016?sid=101,,조선비즈,내년 원·달러 환율 고공행진 멈출까… “1540원까지 오를 수도”,"한국거래소·NH선물, 3일 ‘2026년 연간전망 세미나’ 개최
3일 한국거래소 서울사옥에서 NH선물과 거래소가 주최한 '2026 연간전망 세미나'가 개최됐다. /김수아 기자
“2026년 환율은 1410원~1540원 사이 형성될 예정으로, 결국 평균 1450원선에서 강달러 지속 기조가 유지될 전망입니다”
이재현 NH선물 연구원은 3일 열린 ‘2026 연간 전망 세미나’에서 내년 미 달러화 대비 원화(원·달러) 환율 흐름에 대해 이같이 말했다.
여의도 한국거래소 서울사옥에서 열린 이번 세미나에서는 최근 원·달러 환율이 7개월 만에 가장 높은 수준인 1470원대까지 오르는 상황에서 내년 환율이 어떻게 움직일지 전문가들의 의견이 제시됐다. 또 미국 경제 리스크로 인한 안전자산 투자 전략도 나왔다.
“내년 환율 상승 추세 지속…하락 압력은 적을 것”
NH선물은 내년에도 원화 약세 기조가 이어지면서 원·달러 환율 하락 압력은 적을 것으로 전망했다.
이재현 NH선물 연구원은 “코스피 강세에 환율이 하락할 수 있다는 전망이 있는데 올해 ‘외국인들이 많이 샀냐’라고 했을 때 누적으로는 순매도”라며 “국내 코스피 투자금이 우리의 해외 투자금을 넘어서기 어렵다”고 말했다.
국내 증시 거래가 늘어남에 따라 외국인들이 원화를 그만큼 많이 사게 되면 원화 가치가 상승한다. 이에 원·달러 환율이 낮아질 수 있는데, 외국인들의 매수 규모가 크지 않아 환율이 예상만큼 내리지 않았다는 의미다.
이 연구원은 수출 기업의 달러 매도가 크지 않다는 점도 원·달러 환율 하락 가능성이 낮은 이유로 꼽았다. 그는 “일반적으로 조선 업체가 달러를 많이 가지고 들어오는데, 최근 환율이 상승하다 보니 즉각적으로 달러는 팔지 않는다”고 했다.
전문가들은 원화 강세를 위해서는 성장과 경기 부양이 중요하다고 설명했다. 최근 코스피 지수가 4000포인트를 돌파했지만, 성장세가 일부 종목에 그쳤기 때문이다.
권아민 NH투자증권 연구원은 “설비 투자의 선행지표인 기계 수주가 바닥 수준”이라면서 “수출을 잘하는 데 좋은 종목만 상승하기 때문에 호재가 우리나라 전반적으로 들어오지 않는다”고 분석했다. 권 연구원은 “성장 차이가 본질적으로 원화 약세 압력이 되고 있어 경기 부양이 필요하다”고 덧붙였다.
내년 달러지수는 ‘상저하고’ 흐름을 보일 것으로 전망됐다. NH투자증권에 따르면, 내년 상반기 달러화 약세는 3가지 요인이 있다. ▲미 정부 셧다운(일시적 업무정지) 종료로 인한 정책자금 ▲미 연준 의장 교체 가능성 ▲도널드 트럼프 미국 대통령의 관세 소송 패소 가능성 등이다.
반면 하반기에는 기준금리 인하 효과로 미국 경기가 회복되면서 달러가 다시 강세를 보일 가능성이 있다고 진단했다.
3일 황병진 NH투자증권 연구원이 미 경제의 양방향 리스크에 대비하기 위해 ‘금(귀금속)’ 투자를 제시했다. /황채영 기자
내년에도 여전히 ‘금 투자’ 유효… 美 경제 리스크 대비해야
이날 황병진 NH투자증권 연구원은 미 경제 리스크에 대비하기 위해 ‘금(金)’ 투자를 제시했다.
황 연구원은 “금은 대표적인 안전자산이면서 동시에 유일한 인플레이션 헤지(hedge·위험회피) 자산”이라고 말했다. 그는 미국 중앙은행인 연방준비제도(Fed·연준)의 기준금리 인하 시도가 관세 여파로 인한 인플레이션 가능성을 키울 수 있다고 설명했다.
지난 3분기까지 누적된 전 세계 금 수요량은 3639톤(t)으로, 전년 대비 10% 증가했다. 특히 올해 금 소비 중 투자자들의 비율이 43%로 가장 높았다. 황 연구원은 “내년에 연준 통화정책 완화 기조가 유지될 거란 전망에 골드 바 등을 중심으로 매수세는 지속될 것”이라고 했다.
황 연구원은 “내년에도 안전·위험자산 구분 없이 오르는 ‘에브리띵 랠리’(Everything Rally) 사이클 속 금·은·동(구리)으로 밸런스 잡는 투자 전략을 권고한다”고 했다. 그러면서 내년 구리 가격은 톤당 9500~1만2000달러, 알루미늄 가격은 톤당 2750~3250달러로 제시했다.",원달러환율
조선비즈,"달러 환율, 내년에 더 오르나?...1500원 돌파 가능하다",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001128016?sid=101,,조선비즈,내년 원·달러 환율 고공행진 멈출까… “1540원까지 오를 수도”,"한국거래소·NH선물, 3일 ‘2026년 연간전망 세미나’ 개최
3일 한국거래소 서울사옥에서 NH선물과 거래소가 주최한 '2026 연간전망 세미나'가 개최됐다. /김수아 기자
“2026년 환율은 1410원~1540원 사이 형성될 예정으로, 결국 평균 1450원선에서 강달러 지속 기조가 유지될 전망입니다”
이재현 NH선물 연구원은 3일 열린 ‘2026 연간 전망 세미나’에서 내년 미 달러화 대비 원화(원·달러) 환율 흐름에 대해 이같이 말했다.
여의도 한국거래소 서울사옥에서 열린 이번 세미나에서는 최근 원·달러 환율이 7개월 만에 가장 높은 수준인 1470원대까지 오르는 상황에서 내년 환율이 어떻게 움직일지 전문가들의 의견이 제시됐다. 또 미국 경제 리스크로 인한 안전자산 투자 전략도 나왔다.
“내년 환율 상승 추세 지속…하락 압력은 적을 것”
NH선물은 내년에도 원화 약세 기조가 이어지면서 원·달러 환율 하락 압력은 적을 것으로 전망했다.
이재현 NH선물 연구원은 “코스피 강세에 환율이 하락할 수 있다는 전망이 있는데 올해 ‘외국인들이 많이 샀냐’라고 했을 때 누적으로는 순매도”라며 “국내 코스피 투자금이 우리의 해외 투자금을 넘어서기 어렵다”고 말했다.
국내 증시 거래가 늘어남에 따라 외국인들이 원화를 그만큼 많이 사게 되면 원화 가치가 상승한다. 이에 원·달러 환율이 낮아질 수 있는데, 외국인들의 매수 규모가 크지 않아 환율이 예상만큼 내리지 않았다는 의미다.
이 연구원은 수출 기업의 달러 매도가 크지 않다는 점도 원·달러 환율 하락 가능성이 낮은 이유로 꼽았다. 그는 “일반적으로 조선 업체가 달러를 많이 가지고 들어오는데, 최근 환율이 상승하다 보니 즉각적으로 달러는 팔지 않는다”고 했다.
전문가들은 원화 강세를 위해서는 성장과 경기 부양이 중요하다고 설명했다. 최근 코스피 지수가 4000포인트를 돌파했지만, 성장세가 일부 종목에 그쳤기 때문이다.
권아민 NH투자증권 연구원은 “설비 투자의 선행지표인 기계 수주가 바닥 수준”이라면서 “수출을 잘하는 데 좋은 종목만 상승하기 때문에 호재가 우리나라 전반적으로 들어오지 않는다”고 분석했다. 권 연구원은 “성장 차이가 본질적으로 원화 약세 압력이 되고 있어 경기 부양이 필요하다”고 덧붙였다.
내년 달러지수는 ‘상저하고’ 흐름을 보일 것으로 전망됐다. NH투자증권에 따르면, 내년 상반기 달러화 약세는 3가지 요인이 있다. ▲미 정부 셧다운(일시적 업무정지) 종료로 인한 정책자금 ▲미 연준 의장 교체 가능성 ▲도널드 트럼프 미국 대통령의 관세 소송 패소 가능성 등이다.
반면 하반기에는 기준금리 인하 효과로 미국 경기가 회복되면서 달러가 다시 강세를 보일 가능성이 있다고 진단했다.
3일 황병진 NH투자증권 연구원이 미 경제의 양방향 리스크에 대비하기 위해 ‘금(귀금속)’ 투자를 제시했다. /황채영 기자
내년에도 여전히 ‘금 투자’ 유효… 美 경제 리스크 대비해야
이날 황병진 NH투자증권 연구원은 미 경제 리스크에 대비하기 위해 ‘금(金)’ 투자를 제시했다.
황 연구원은 “금은 대표적인 안전자산이면서 동시에 유일한 인플레이션 헤지(hedge·위험회피) 자산”이라고 말했다. 그는 미국 중앙은행인 연방준비제도(Fed·연준)의 기준금리 인하 시도가 관세 여파로 인한 인플레이션 가능성을 키울 수 있다고 설명했다.
지난 3분기까지 누적된 전 세계 금 수요량은 3639톤(t)으로, 전년 대비 10% 증가했다. 특히 올해 금 소비 중 투자자들의 비율이 43%로 가장 높았다. 황 연구원은 “내년에 연준 통화정책 완화 기조가 유지될 거란 전망에 골드 바 등을 중심으로 매수세는 지속될 것”이라고 했다.
황 연구원은 “내년에도 안전·위험자산 구분 없이 오르는 ‘에브리띵 랠리’(Everything Rally) 사이클 속 금·은·동(구리)으로 밸런스 잡는 투자 전략을 권고한다”고 했다. 그러면서 내년 구리 가격은 톤당 9500~1만2000달러, 알루미늄 가격은 톤당 2750~3250달러로 제시했다.",원달러환율
