press,title,naver_news_text,naver_news_url,body
서울신문,최 대행 “물려받는 재산에 과세…유산취득세개편안 이달 발표”,네이버뉴스,https://n.news.naver.com/mnews/article/081/0003522512?sid=101,
서울신문,"과세 체계, 피상속인 중심서 상속인 중심으로 변경",네이버뉴스,https://n.news.naver.com/mnews/article/081/0003522512?sid=101,
KBS,"기재부, 상속세 부과 방식 ‘유산취득세’로…이달 안 발표",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011904781?sid=101,
KBS,"이재명 상속세 18억 공제에 여권 '유산취득세' 반격, '부자 감세' 논란 ...",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011904781?sid=101,
비즈니스포스트,"상속세, 받은 만큼만 낸다?…논의 급물살",,,
SBS Biz,"불붙는 여야 상속세 감세 경쟁 ""공제한도 올려야"" vs ""최고세율도 낮춰...",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000428193?sid=101,
세계일보,최상목 대행 “낡은 상속세 개편할 때…유산취득세3월중 발표”,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004016103?sid=101,
중앙일보,"마은혁 임명, 최상목 또 보류…“숙고할 점 많다”",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003424647?sid=100,
세정신문,전체 국민의 6.8%에 부과되는 상속세 낮추겠다며 기업 경쟁력 주장,,,
비즈니스포스트,[3월6일자] 비즈니스포스트 아침의 주요기사,,,
조세금융신문,"임광현 의원, 崔 권한대행에 '조세정책 정치적 중립 위반' 지적",,,
세정일보,"임광현 ""최상목 改心 배경은 무엇이냐…대선 염두에 둔 정치적 의도인가...",,,
데일리한국,"전기차로 부활한 무쏘, 실구매가 3000만원대",,,
영남일보,대기업 인재-中企 경영 연결 '서치펀드'로 후계자 부재 해결,,,
