press,title,naver_news_text,naver_news_url,body
세계일보,여야 “배우자 상속세 폐지” 공감대… 개편 급물살,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004017379?sid=101,
세계일보,국민자산 1.6배 늘 때 상속세액 9배 늘었다 [상속세 개편 급물살],네이버뉴스,https://n.news.naver.com/mnews/article/022/0004017379?sid=101,
헤럴드경제,"정치권ㆍ정부, 상속세 개편 급물살…세율 낮추고 공제 확대해야 [상속의...",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002439645?sid=101,
이투데이,"여야, 상속세 개편 한목소리…중도층 표심 공략",,,
헤럴드경제,상속세-추경-연금개혁 논의 멈춰설까…‘정책 블랙홀’ [이런정치],네이버뉴스,https://n.news.naver.com/mnews/article/016/0002439782?sid=100,
머니투데이,"연금개혁 합의 불발, 추경도 뒷전...'3연속 빈손' 국정협의회 실효성 의...",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005163717?sid=100,
한겨레,"‘배우자 상속세’ 폐지 통과될 듯…여야 등 돌렸지만, 감세엔 ‘손뼉’",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002734969?sid=100,
이투데이,高세율에 편법 찾는 기업인들…상속세 개편 공론화에 기대감↑ [상속의...,,,
아시아투데이,상속세 개편 드라이브…'최고세율' 빼고 달리나,,,
SBS Biz,[집중진단] 여·야 '배우자 상속세 개편'…어떻게 달라지나?,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000428990?sid=101,
메트로신문,"여야, '배우자 상속세 폐지'에 한목소리… 상속세법 협의 본격 시작될까",,,
영남일보,[아침을 열며] 새로운 질서를 위한 통합의 정치,,,
한겨레,"여야, ‘배우자 상속세’ 완화한다지만…‘자녀 감세’도 못지않다",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002734799?sid=101,
