press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
머니투데이,[MT시평]유산취득세로 전환 순항할까,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005168106?sid=110,,머니투데이,[MT시평]유산취득세로 전환 순항할까,"구상수 법무법인 지평 선임회계사
기획재정부가 지난 12일 상속세 과세체계 합리화를 위한 유산취득세 도입방안을 발표했다. 현행 상속세 과세방식은 사망자가 남긴 전체 재산을 기준으로 상속세를 계산하고 상속인들이 각자 받은 재산비율대로 안분해 상속세를 납부하는 유산세 방식이다. 이와 달리 유산취득세는 상속인이 실제로 상속받은 재산에 대해 각자 상속세를 계산해 납부하는 방식이다. 담세력에 따른 과세원칙, 증여세 과세와의 체계정합성, 국제적 동향 등을 고려할 때 유산취득세 방식이 보다 합리적이라고 생각한다.
정부가 내놓은 유산취득세 제도에서 상속세 과세는 어떻게 달라질까. 가장 큰 차이는 피상속인의 전체 상속재산이 아니라 상속인이 취득하는 상속재산 기준으로 과세된다는 것이다. 또한 기존엔 상속인들이 연대납세의무를 부담하지만 개정안에선 상속인별 납세의무를 원칙으로 하되 조세채권 확보가 어려운 경우에 한해 연대납세의무를 부과한다. 피상속인이 상속인 외의 자에게 5년 내 증여한 재산은 더이상 상속세로 합산과세되지 않는다. 현행 상속세 과세규정 중 가장 위헌성이 높은 부분이 개선됐다고 본다.
일괄공제와 기초공제는 상속인별 공제로 흡수되면서 금액이 상향됐다. 즉 자녀 1인당 5억원의 공제를 받는다. 자녀가 3명이면 현행 기준으로 공제의 최대치가 일괄공제 5억원이었지만 개정안에선 15억원까지 증액되는 효과가 있다. 배우자공제는 최저 공제액이 5억원에서 10억원으로 상향됐다. 다만 기존엔 배우자가 실제 상속받은 금액이 없어도 5억원까지 공제됐지만 개정안에선 배우자가 실제 상속받은 금액만큼 공제된다는 차이가 있다. 대신 법정상속분이 10억원 미만이더라도 실제로 10억원까지 상속받으면 최대 10억원을 공제받을 수 있다. 배우자공제의 최대한도는 변동이 없지만 국회에서 배우자에 대한 상속세 폐지논의가 활발한 상황이라 이 부분은 좀 더 지켜봐야 할 것 같다.
현행 기준으론 상속세가 과세되지 않는 상속인들이 제도개편으로 상속세를 내는 역효과를 방지하기 위해 면세점을 10억원으로 정한 것도 의미가 있다. 즉 10억원의 상속재산에 대해 배우자가 3억원, 자녀가 7억원을 상속받을 경우 현행 규정상 상속세가 과세되지 않는다. 개정안에 따르면 배우자는 실제 상속받은 3억원만 공제되고 자녀공제는 1인당 5억원이 적용되므로 남은 2억원에 대해 상속세가 과세될 수 있는데 이를 해결하기 위해 모든 상속인의 공제 합계액의 최저한을 10억원으로 설정함으로써 현행과 같이 상속세를 내지 않도록 설계했다.
상속세 신고는 상속인 각자가 하되 공동신고도 허용한다. 신고기한은 현행과 동일하게 6개월로 하되 재산분할에 시간이 많이 소요되는 점을 고려해 신고기한 후 9개월 내에 재산분할시 수정신고를 하더라도 가산세를 면제토록 했다. 과세관할은 피상속인 주소지로 하는 현행 제도를 유지한다.
상속세 개편은 국회 차원에서도 활발히 논의되는 만큼 75년 넘게 유지된 유산세 제도가 유산취득세 제도로 제대로 개편될지 지켜볼 필요가 있다.",유산취득세
머니투데이,"[기고]상속세 개정, 어떻게 대비해야 하나",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005168106?sid=110,,머니투데이,[MT시평]유산취득세로 전환 순항할까,"구상수 법무법인 지평 선임회계사
기획재정부가 지난 12일 상속세 과세체계 합리화를 위한 유산취득세 도입방안을 발표했다. 현행 상속세 과세방식은 사망자가 남긴 전체 재산을 기준으로 상속세를 계산하고 상속인들이 각자 받은 재산비율대로 안분해 상속세를 납부하는 유산세 방식이다. 이와 달리 유산취득세는 상속인이 실제로 상속받은 재산에 대해 각자 상속세를 계산해 납부하는 방식이다. 담세력에 따른 과세원칙, 증여세 과세와의 체계정합성, 국제적 동향 등을 고려할 때 유산취득세 방식이 보다 합리적이라고 생각한다.
정부가 내놓은 유산취득세 제도에서 상속세 과세는 어떻게 달라질까. 가장 큰 차이는 피상속인의 전체 상속재산이 아니라 상속인이 취득하는 상속재산 기준으로 과세된다는 것이다. 또한 기존엔 상속인들이 연대납세의무를 부담하지만 개정안에선 상속인별 납세의무를 원칙으로 하되 조세채권 확보가 어려운 경우에 한해 연대납세의무를 부과한다. 피상속인이 상속인 외의 자에게 5년 내 증여한 재산은 더이상 상속세로 합산과세되지 않는다. 현행 상속세 과세규정 중 가장 위헌성이 높은 부분이 개선됐다고 본다.
일괄공제와 기초공제는 상속인별 공제로 흡수되면서 금액이 상향됐다. 즉 자녀 1인당 5억원의 공제를 받는다. 자녀가 3명이면 현행 기준으로 공제의 최대치가 일괄공제 5억원이었지만 개정안에선 15억원까지 증액되는 효과가 있다. 배우자공제는 최저 공제액이 5억원에서 10억원으로 상향됐다. 다만 기존엔 배우자가 실제 상속받은 금액이 없어도 5억원까지 공제됐지만 개정안에선 배우자가 실제 상속받은 금액만큼 공제된다는 차이가 있다. 대신 법정상속분이 10억원 미만이더라도 실제로 10억원까지 상속받으면 최대 10억원을 공제받을 수 있다. 배우자공제의 최대한도는 변동이 없지만 국회에서 배우자에 대한 상속세 폐지논의가 활발한 상황이라 이 부분은 좀 더 지켜봐야 할 것 같다.
현행 기준으론 상속세가 과세되지 않는 상속인들이 제도개편으로 상속세를 내는 역효과를 방지하기 위해 면세점을 10억원으로 정한 것도 의미가 있다. 즉 10억원의 상속재산에 대해 배우자가 3억원, 자녀가 7억원을 상속받을 경우 현행 규정상 상속세가 과세되지 않는다. 개정안에 따르면 배우자는 실제 상속받은 3억원만 공제되고 자녀공제는 1인당 5억원이 적용되므로 남은 2억원에 대해 상속세가 과세될 수 있는데 이를 해결하기 위해 모든 상속인의 공제 합계액의 최저한을 10억원으로 설정함으로써 현행과 같이 상속세를 내지 않도록 설계했다.
상속세 신고는 상속인 각자가 하되 공동신고도 허용한다. 신고기한은 현행과 동일하게 6개월로 하되 재산분할에 시간이 많이 소요되는 점을 고려해 신고기한 후 9개월 내에 재산분할시 수정신고를 하더라도 가산세를 면제토록 했다. 과세관할은 피상속인 주소지로 하는 현행 제도를 유지한다.
상속세 개편은 국회 차원에서도 활발히 논의되는 만큼 75년 넘게 유지된 유산세 제도가 유산취득세 제도로 제대로 개편될지 지켜볼 필요가 있다.",유산취득세
택스워치,"[정보보고]유산취득세제안자, 조세소송대리권, 이하늬와 국세청",,,,,,,유산취득세
한국경제,'받는 만큼만' 상속세 납부…72%가 긍정,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005108724?sid=100,,한국경제,'받는 만큼만' 상속세 납부…72%가 긍정,"NBS 유산취득세 전환 여론조사
진보 성향 응답자도 62%가 '동의'
상속세 과세 방식을 현행 유산세에서 유산취득세로 전환하는 내용의 정부 개편안을 국민의 72%가 긍정적으로 평가했다는 여론조사 결과가 20일 발표됐다. 정부는 오는 5월 유산취득세 도입을 골자로 한 상속세법 개정안을 발의할 계획이지만, 더불어민주당은 반대하고 있다.
엠브레인퍼블릭, 케이스탯리서치, 코리아리서치, 한국리서치가 지난 17~19일 18세 이상 남녀 1003명을 대상으로 한 전국지표조사(NBS)에 따르면 정부의 상속세 개편 방향에 대해 응답자 72%가 긍정적, 23%가 부정적이라고 응답했다. 기획재정부는 12일 상속세 체계를 피상속인(사망자)의 상속재산 총액을 과세 기준으로 하는 현행 유산세에서 상속인 개인별로 받는 금액을 기준으로 과세하는 유산취득세로 전환하는 내용의 개편안을 발표했다.
유산취득세로의 전환은 세대, 지역, 이념과 무관하게 다수가 찬성했다. 진보 성향 응답자도 62%가 긍정적으로 본다고 했다. 아울러 ‘상속세 개편이 과세 형평성 제고와 가업 승계 촉진에 효과가 있겠냐’는 질문에도 응답자의 55%가 ‘효과적일 것’이라고 답했다. 효과가 없을 것이라고 내다본 응답은 35%에 그쳤다.
한편 윤석열 대통령 탄핵심판에 대해선 ‘헌법재판소가 인용해 파면해야 한다’는 응답은 60%로, ‘기각해 직무에 복귀시켜야 한다’는 답변은 35%로 집계됐다.
이번 조사는 휴대폰 가상번호를 이용한 전화 면접으로 이뤄졌다. 95% 신뢰수준에 표본오차는 ±3.1%포인트다. 응답률은 21.1%다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다.",유산취득세
한국경제,"상속세는… 여야, 큰 틀엔 공감·세부내용엔 이견",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005108724?sid=100,,한국경제,'받는 만큼만' 상속세 납부…72%가 긍정,"NBS 유산취득세 전환 여론조사
진보 성향 응답자도 62%가 '동의'
상속세 과세 방식을 현행 유산세에서 유산취득세로 전환하는 내용의 정부 개편안을 국민의 72%가 긍정적으로 평가했다는 여론조사 결과가 20일 발표됐다. 정부는 오는 5월 유산취득세 도입을 골자로 한 상속세법 개정안을 발의할 계획이지만, 더불어민주당은 반대하고 있다.
엠브레인퍼블릭, 케이스탯리서치, 코리아리서치, 한국리서치가 지난 17~19일 18세 이상 남녀 1003명을 대상으로 한 전국지표조사(NBS)에 따르면 정부의 상속세 개편 방향에 대해 응답자 72%가 긍정적, 23%가 부정적이라고 응답했다. 기획재정부는 12일 상속세 체계를 피상속인(사망자)의 상속재산 총액을 과세 기준으로 하는 현행 유산세에서 상속인 개인별로 받는 금액을 기준으로 과세하는 유산취득세로 전환하는 내용의 개편안을 발표했다.
유산취득세로의 전환은 세대, 지역, 이념과 무관하게 다수가 찬성했다. 진보 성향 응답자도 62%가 긍정적으로 본다고 했다. 아울러 ‘상속세 개편이 과세 형평성 제고와 가업 승계 촉진에 효과가 있겠냐’는 질문에도 응답자의 55%가 ‘효과적일 것’이라고 답했다. 효과가 없을 것이라고 내다본 응답은 35%에 그쳤다.
한편 윤석열 대통령 탄핵심판에 대해선 ‘헌법재판소가 인용해 파면해야 한다’는 응답은 60%로, ‘기각해 직무에 복귀시켜야 한다’는 답변은 35%로 집계됐다.
이번 조사는 휴대폰 가상번호를 이용한 전화 면접으로 이뤄졌다. 95% 신뢰수준에 표본오차는 ±3.1%포인트다. 응답률은 21.1%다. 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참고하면 된다.",유산취득세
문화일보,"""받은 만큼만 낸다""…상속세 개편안 긍정 72%·부정 23%[NBS]",네이버뉴스,https://n.news.naver.com/mnews/article/021/0002697707?sid=100,,문화일보,"상속세는… 여야, 큰 틀엔 공감·세부내용엔 이견","유산취득세 방식 개편안
여론조사서 72% “긍정적”
정치권에서 상속세 개편 논의가 무르익고 있는 가운데, 유산취득세 전환을 골자로 한 정부의 상속세 개편안에 대해 응답자의 10명 중 7명 이상이 ‘긍정적으로 본다’는 여론조사 결과가 20일 나왔다. 정치권에서 추진 중인 상속세 개편안에 대해서도 절반이 넘는 응답자가 ‘효과적일 것’으로 기대했다.
엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치가 지난 17∼19일 만 18세 이상 남녀 1003명을 대상으로 진행한 전국지표조사(NBS)에서 유산취득세 방식의 상속세 개편에 대해 ‘긍정적으로 본다’는 응답은 72%로, ‘부정적으로 본다’(23%)보다 3배가량 높게 나타났다. 진보 성향의 62%가 ‘긍정적으로 본다’고 응답했고, 중도 성향 74%·보수 성향 79%가 ‘긍정적으로 본다’고 응답했다. 상속세 개편을 통해 과세 형평성이 높아지고, 가업 승계가 촉진될 것으로 보는지에 대한 설문엔 ‘효과적일 것’이란 응답이 55%로 ‘효과가 없을 것’ 응답인 35%에 비해 높았다. 모름·무응답은 10%였다.
다만 정치권에선 유산취득세 도입에 대해 필요성은 인정하지만, 장기적 과제란 인식이 강하다. 또 배우자 상속세 폐지 역시 그 필요성에 대해선 여야가 공감대를 이뤘지만, 세부사항을 합의하기까지 갈 길이 멀다. 더불어민주당은 국민의힘의 배우자 상속세 무한정 폐지안에 대해 법정상속분을 넘어서는 부분까지 배우자에게 상속세를 부과하지 않는 것은 자녀에 대한 상속 기회에 대한 침해가 될 수 있고, 법정상속분 및 유류분을 규정한 민법과 충돌 우려도 있다는 점에서 난색을 보이고 있다. 국세청 차장 출신인 임광현 민주당 의원은 이날 통화에서 “상속 시 배우자와 자녀 사이에 분란이 생길 소지가 있다”고 말했다.",유산취득세
서울경제,"與野, 추경·상속세법 논의도 속도 내나…""세수 부족 등 난관 넘어야""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004463818?sid=100,,서울경제,"與野, 추경·상속세법 논의도 속도 내나…""세수 부족 등 난관 넘어야""","추경 민생 강조 최우선 과제 추진
국힘 14조·민주 35조 규모 요구
상속세 배우자 면제 방향성 합의
유산취득세 전환 등 野 반대 변수
국회 본회의장 전경. 오승현 기자
[서울경제]
연금 개혁을 끝낸 여야는 이제 추가경정예산안 편성과 상속세법 개정을 놓고 논의를 이어가야 한다. 국내외 주요 경제 연구기관이 우리나라의 경제성장률 전망치를 하향 조정하고 있어 경기 부양의 마중물 역할을 할 추경 편성에 속도를 내야 한다는 지적이 나온다. 여야가 ‘배우자 상속세 폐지’에 공감대를 이루며 속도가 붙는 듯했던 상속세 개편도 정치권의 의지만 있다면 성과를 기대해볼 만하다.
20일 정치권에 따르면 여야는 정부에 이달 중으로 추경안을 편성해 국회에 제출해달라고 요청한 상태다. 우원식 국회의장은 이날 여야의 연금 개혁 합의 직후 페이스북을 통해 “여기서 끝이 아니고 추경을 반드시 해내야 한다”며 “어떤 경우에도 국회는 국민의 삶의 문제를 제일 앞에 놓아야 한다”고 강조했다.
연금 개혁 다음의 최우선 과제로 추경을 택한 셈이다. 현재 국민의힘은 영세 소상공인 등 취약 계층 지원과 인공지능(AI) 인프라 확충을 위한 14조 원 상당의 ‘핀셋’ 추경을, 더불어민주당은 소비 진작 및 지역 경기 활성화에 방점을 둔 35조 원 규모의 추경을 정부에 요구하고 있다.
관건은 ‘현금성 지원’의 대상과 규모를 놓고 여야가 얼마나 의견 접근을 이룰지 여부다. 민주당은 대표적인 ‘이재명표 정책’인 지역화폐를 전면에 내세우지만 국민의힘은 선심성 정책이라고 반대하고 있다.
하지만 여야 모두 조기 대선 가능성을 염두에 두지 않을 수 없는 만큼 정략적 판단에 나설 수 있다. 선거와 맞물릴수록 당정 협의의 주도권 또한 여당에 기울 가능성이 높기 때문이다.
정치권 관계자는 “여야가 추경을 하겠다는 데 공감대를 형성한 만큼 주도권을 쥐고 정부를 압박할 가능성도 있다”고 말했다. 국회 예산결산특별위원장인 박정 민주당 의원이 여론조사 기관 메타보이스에 의뢰해 진행한 여론조사(12~13일, 전국 성인 1001명, 95% 신뢰 수준에 표본오차는 ±3.1%포인트)에서 응답자의 70.5%가 ‘추경이 필요하다’고 응답한 것도 국회에 힘을 실어줄 수 있다.
상속세 개편에는 여야가 이미 배우자 상속세를 폐지하고 일괄공제액을 확대하는 등의 개정 방향에 대해서는 공감대를 형성한 상태다. 여당은 배우자의 상속세를 전액 면제해주는 내용을 포함한 상속세 및 증여세법 개정안을 당론으로 발의하기도 했다. 당초 최고세율 인하도 동시에 진행하려 했지만 야당의 반대가 극심한 상황에서 ‘가능한 것’부터 하기로 기조를 전환했다.
정부의 유산취득세 도입 방침에 야당이 ‘부자 감세’라며 강하게 반발하는 것은 변수다. 국세청 차장 출신인 임광현 민주당 의원은 입장문에서 “(유산취득세가 도입되면) 결국 부자들에게 혜택이 돌아간다. 세수 감소 얘기는 꺼내지도 않았다”며 “졸속 추진 대신 제도 설계를 정교하게 해서 중산층 이하에게도 혜택이 가도록 해야 한다”고 반박했다.
한편 이날 발표된 전국지표조사(NBS, 엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치)에서 유산취득세 방식의 정부 상속세 개편에 대해 72%가 ‘긍정적으로 본다’고 응답했다. 민주당의 핵심 지지 기반인 진보층에서도 62%가 긍정적으로 봤다. 상속세 개편을 통한 과세 형평성 제고 및 가업승계 촉진 효과에 대해서는 효과적이라는 응답이 55%로 절반을 넘었다. ‘효과 없을 것’이라는 답변은 35%였다.",유산취득세
조세금융신문,[이슈체크] ‘민주당‧국힘‧기재부’ 상속세 패키지 감세…일본도 이...,,,,,,,유산취득세
YTN,"""윤, 탄핵 인용해 파면 60%·기각해 직무복귀 35%""[NBS]",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002168116?sid=100,,YTN,"""윤, 탄핵 인용해 파면 60%·기각해 직무복귀 35%""[NBS]","헌법재판소의 윤석열 대통령 탄핵심판과 관련해 '인용해 파면해야 한다'는 의견이 60%, '기각해 직무에 복귀시켜야 한다'는 의견은 35%라는 여론조사 결과가 나왔습니다.
엠브레인퍼블릭과 케이스탯리서치, 코리아리서치, 한국리서치가 지난 17일부터 사흘간 전국 18세 이상 천 3명을 대상으로 진행한 전국지표조사에서 '파면해야 한다'는 응답이 '직무 복귀'보다 25%포인트 높았습니다.
일주일 전과 비교해 '인용' 응답은 5% 포인트 늘었고, '기각' 응답은 4% 포인트 줄었습니다.
정당지지도는 국민의힘이 32%, 더불어민주당 38%로 민주당이 오차 범위 내 우세를 보였습니다.
차기 대통령감으로 가장 적합한 인물은 이재명 민주당 대표라는 응답이 33%로 가장 높았습니다.
이어 김문수 고용노동부 장관 10%, 오세훈 서울시장과 홍준표 대구시장이 각각 5%, 한동훈 전 국민의힘 대표 4% 순이었습니다.
차기 대통령 선거에서 '정권교체를 위해 야권 후보가 당선되어야 한다'고 응답한 비율은 51%,
'정권 재창출을 위해 여권 후보가 당선되어야 한다'고 응답한 비율이 36%였습니다.
최근 정부가 발표한 유산 취득세 방식의 상속세 개편에 대해서는 '긍정적으로 본다'가 72%였습니다.
자세한 내용은 중앙선거여론조사심의위원회나 전국지표조사, NBS 홈페이지를 참조하면 됩니다.
○ 조사·의뢰기관 : 엠브레인퍼블릭·케이스탯리서치· 코리아리서치·한국리서치
○ 조사 기간 : 2025년 3월 17일 ~ 3월 19일(3일간)
○ 표본 오차 : ±3.1%포인트(95% 신뢰 수준)
○ 조사 대상 : 전국 만 18세 이상 1,003명
○ 조사 방법 : 휴대전화 가상번호(100%) 이용 전화면접조사
○ 전체 질문지 등 자세한 내용은 중앙선거여론조사심의위원회나 전국지표조사, NBS 홈페이지를 참조
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",유산취득세
조세일보,"탄핵 인용 '파면' 60%, 탄핵 기각 '복귀' 35% [NBS]",네이버뉴스,https://n.news.naver.com/mnews/article/123/0002355264?sid=100,,조세일보,"탄핵 인용 '파면' 60%, 탄핵 기각 '복귀' 35% [NBS]","보수 317명, 중도 321명, 진보 255명
윤, '파면'할 것 57% vs '직무 복귀'할 것 35%
헌재 탄핵심판 과정, '신뢰한다' 60% vs '신뢰하지 않는다' 36%
'내 생각과 달라도 수용' 55% vs '내 생각과 다르면 수용 불가' 42%
정권 교체 51% vs 정권 재창출 36%
이재명 33%, 김문수 10%, 오세훈 5%, 홍준표 5%, 한동훈 4%
◆…[그래픽=NBS 제공]
윤석열 대통령의 탄핵 심판에 대해 헌법재판소에서 어떤 결정을 내려야 하는지를 묻는 질문에 '탄핵을 인용해 파면해야 한다'는 응답이 60%, '탄핵을 기각해 직무에 복귀해야 한다'는 응답이 35%로 나타났다.
엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치가 3월 17~19일, 3일간 전국 만 18세 이상 남녀 1,003명을 대상으로 진행한 전국지표조사(NBS) 결과다.
탄핵을 인용해 파면해야 한다는 비율이 탄핵을 기각해 직무에 복귀시켜야 한다는 응답보다 25%p 높게 나타났다.
이번 응답자의 정치 성향별 표집수는 보수 317명, 중도 321명, 진보 255명이다.
◆…[그래픽=NBS 제공]
탄핵 심판 전망에 대해서는 헌법재판소가 탄핵을 인용해 파면할 것이라는 응답이 57%, 탄핵을 기각해 직무에 복귀시길 것이라는 응답이 34%를 보였다.
헌법재판소의 탄핵심판 과정을 '신뢰한다'는 긍정 인식은 60%, 신뢰하지 않는다는 부정 인식은 36%로 지난 조사에 비해 신뢰한다는 응답이 9%p 상승했다.
◆…[그래픽=NBS 제공]
또 헌법재판소의 탄핵 심판 결과에 대해 '내 생각과 달라도 수용하겠다'는 응답이 55%, '내 생각과 다르면 수용하지 않겠다'는 응답이 42%로 수용하겠다는 응답이 13%p 높게 나타났다.
차기 대통령 선거에서 '정권교체를 위해 야권 후보가 당선돼야 한다'고 응답한 비율은 51%, '정권재창출을 위해 여권 후보가 당선돼야 한다'고 응답한 비율은 36%로 나타났다.
◆…[그래픽=NBS 제공]
차기 대통령감으로 가장 적합한 인물에는 이재명 33%로 가장 높았고, 그 다음이 김문수 10%, 오세훈 5%, 홍준표 5%, 한동훈 4% 등의 순이었다.
민주당 지지층에서는 이재명이 72%로 가장 높았고, 국민의힘 지지층에서는 김문수 27%, 오세훈 15%, 홍준표 14%, 한동훈 9% 순이었다.
정당 기준으로 대선 후보 지지를 묻는 질문에는 '더불어민주당 후보' 40%, '국민의힘 후보' 30%, '조국혁신당 후보' 2%, '개혁신당 후보' 1%, '진보당 후보' 1%, '태도유보' 24%를 보였다.
◆…[그래픽=NBS 제공]
정당지지도는 더불어민주당 38%, 국민의힘 32%, 조국혁신당 7%, 개혁신당 1%, 진보당 1%의 순으로 나타났다.
한편 최근 유산취득세방식의 상속세 개편에 대해 긍정 입장이 72%, 부정 입장이 23%로 나타나 긍정적으로 본다는 응답이 더 높게 나왔다.
이번 조사는 국내 통신 3사가 제공하는 휴대전화 가상번호(100%)를 이용한 전화면접조사 방식으로 진행했으며, 표본오차는 95% 신뢰수준에서 ± 3.1%p, 응답률 21.1%다.
보다 자세한 내용은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다.",유산취득세
