press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
대경일보,"구윤철 ""대주주 기준 강화 등세제개편여파… 투자자들께 송구""",,,,,,,세제개편
대경일보,"구윤철 ""대주주 기준, 늦지 않은 시기에 잘 판단하겠다""",,,,,,,세제개편
아시아경제,"'대주주 논란'에 구윤철 ""투자자 마음 상처 받았다면 송구""",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005641790?sid=101,,아시아경제,"구윤철 ""대주주 기준, 늦지 않은 시기에 잘 판단하겠다""","""투자자들 상처받았다면 송구""
구윤철 부총리 겸 기획재정부 장관이 25일 국회에서 열린 예산결산특별위원회 전체회의에 출석해 발언하고 있다. 2025.8.25 김현민 기자
구윤철 경제부총리 겸 기획재정부 장관은 25일 주식 양도소득세 과세 대주주 기준 변경과 관련해 ""잘 판단해서 늦지 않는 시기에 발표하겠다""고 말했다.
구 부총리는 이날 국회 예결위 종합정책질의에서 대주주 기준 발표 시점과 관련한 의원 질의에 대해 이같이 말했다.
국민의힘 조은희 의원이 '대주주 기준 강화 발표에 주가가 급락했다는 여권 지지자들의 비판이 있다'는 비판에 대해서는 ""투자자들께서 마음의 상처도 받고 분노하셨다면 그런 부분에 대해서는 송구하게 생각한다""고 말했다.
대주주 기준 강화 등을 골자로 한 정부 세제개편안 발표 당일 주가가 급락했다는 지적에는 ""세제개편안 측면이 없다고 보지는 않는데 아마 복합적으로(영향이 있었을 것)""이라고 말했다. 그러면서 ""세제개편안이 또 그런 데 영향을 미쳤다면 죄송하게 생각한다""고 덧붙였다.
기획재정부는 지난달 대주주 기준을 종목당 50억원 보유에서 10억원 보유로 강화하는 내용의 세제개편안을 내놨지
만 이재명 정부의 증시 활성화 정책 기조에 맞지 않는다는 논란이 커지자 더불어민주당이 원안 유지 의견을 정부에 전달했다.
대주주 양도세 과세 기준 변경은 법 개정이 아닌 시행령 개정 사항이라 최종 결정은 정부가 하게 된다.
구 부총리는 정부의 확장재정 기조와 관련한 더불어민주당 안도걸 의원의 질문에는 ""너무 재정건전성만 유지하다 보면 중장기적으로 재정건전성이 더 악화하는 측면도 있다""며 ""오히려 과감한 투자로 성과가 나면 경제 성장의 선순환 구조를 가져오기 때문에, 중장기적으로는 재정건전성을 확보할 수 있다""고 말했다.
그러면서 ""경제를 살릴 때는, 적극적인 세출을 늘릴 때는 늘려야 한다""고 강조했다.
그는 또 ""우리 경제를 둘러싼 대내외 불확실성이 여전히 높은 상황""이라며 ""재정운영에 있어서 저성과 부문은 강도 높은 구조조정을 과감히 추진해 그 여력을 성과가 높은 부문에 집중 투자함으로써 재정운영의 효율성을 높여 가겠다""고 했다. 이어 ""합리적인 세제개편과 비과세 감면정비 등 세수 기반을 확대하는 노력도 기울여 나가겠다""고 밝혔다.",세제개편
제주의소리,지방세 이관-교부세 상향...세제개편에 제주도 '촉각',,,,,,,세제개편
머니투데이방송,배당 분리과세에 교육세까지…증시 불확실성 키운세제개편[마켓인여의...,,,,,,,세제개편
세계비즈,‘8말9초’ 李정부 첫 주택공급 대책 발표 초읽기...세제 개편카드도...,,,,,,,세제개편
뉴시스,"[기자수첩]'발표 후 철회?'세제개편후폭풍…""현장 목소리 더 들어야""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013436326?sid=101,,뉴시스,"[기자수첩]'발표 후 철회?' 세제개편 후폭풍…""현장 목소리 더 들어야""","[세종=뉴시스]박광온 기자 = 정부의 2025년 세제개편안이 시장과 정치권을 동시에 흔들고 있다. 법인세율 정상화, 배당소득 과세 조정 등 굵직한 변화에 더해 양도소득세 대주주 기준까지 손대면서, 정책은 발표 직후부터 거센 후폭풍을 맞고 있다.
당초 정부는 지난달 31일 발표한 2025년 세제개편안에 상장주식 양도소득세 부과 기준이 되는 종목당 보유 금액을 현행 50억원에서 10억원으로 조정하는 내용을 담았다.
특정 주식을 50억원 이상 보유하고 있으면 대주주로 보고 매각 차익에 대한 양도세를 부과하던 것을 앞으로는 10억원 이상만 보유해도 과세 대상에 포함한다는 것이다.
지난 2023년 윤석열 정부가 완화했던 조치를 문재인 정부 때 수준으로 환원하는 조치다.
그러나 투자자 반발이 급속히 확산하고 코스피가 급락하는 등 증시 불안이 가시화되면서 정치권에서도 제동을 걸었다. 여당인 더불어민주당조차 ""50억원 기준을 유지해야 한다""는 입장을 공식화하면서 논란은 더욱 커졌다.
이에 구윤철 경제부총리 겸 기재부 장관은 지난 19일 국회에서 ""다양한 의견을 들으며 심사숙고 중""이라며 한발 물러섰다. 실제 당일 기재부 국회 업무보고에는 양도소득세 대주주 기준 강화 내용이 포함되지 않았다.
정부가 호기롭게 내놓은 정책이 시장과 정치권 반응에 따라 이리저리 흔들리는 모습이다. 정책 설계 단계에서 여론수렴을 등한시 했기에 드러난 장면으로 풀이된다.
정책의 필요성과 방향성에는 공감하더라도, 이해관계자와의 사전 조율 부족이 고스란히 부메랑으로 돌아온 것이다.
기재부 내부에서도 자성의 기류가 읽힌다. 기재부 소속 A 과장은 ""방향 자체는 틀리지 않았지만, 시장과 정치권의 파급력을 제대로 가늠하지 못한 게 문제였다""며 ""정책 발표 이후에 되돌리는 모습은 가장 피해야 할 상황""이라고 털어놨다.
또 다른 기재부 소속 과장급 직원은 ""정책 추진 과정에서 현장의 목소리를 충분히 반영하지 못했다는 지적을 겸허히 받아들여야 한다""고 말했다.
세제는 국민의 자산과 직결되고, 시장 심리에 즉각 반영되는 민감한 영역이다. 발표와 동시에 철회 가능성이 거론되는 것은 정책 신뢰도를 훼손할 뿐 아니라, 정부 경제 운용 전반에 불확실성을 키운다.
이번 논란은 정책 설계 단계에서 세밀한 검토와 시장 상황에 대한 냉정한 판단이 얼마나 중요한지 일깨운다. 준비가 부족한 정책 개편은 언제든 부메랑이 되어 돌아온다.
경제 정책은 발표 그 자체보다, 설계의 정교함과 실행의 일관성이 곧 신뢰의 기반임을 잊어서는 안된다．",세제개편
시선뉴스,[청원 언박싱]세제개편(증시부양)에 관한 청원,,,,,,,세제개편
녹색경제신문,"삼성·LG, 인도세제 개편수혜 기대",,,,,,,세제개편
딜사이트,"[2025 증권포럼] ""尹정부 97조 까먹어…세제개편해 기술에 투자""",,,,,,,세제개편
뉴스후플러스,"(속보) 송언석 ""반시장적세제 개편·굴욕적 관세협상 등 원인""",,,,,,,세제개편
뉴스1,李대통령 지지율 51.4%…3주만에 하락 멈춰(종합) [리얼미터],네이버뉴스,https://n.news.naver.com/mnews/article/421/0008445315?sid=154,,뉴스1,李대통령 지지율 51.4%…3주만에 하락 멈춰(종합) [리얼미터],"전주대비 0.3%↑…미·일 순방 긍정, 특사 부정 평가 혼재
민주 45.8% 국힘 35.5%…조국혁신당 3.2%, 2.5%p 뚝
한일 정상회담을 위해 일본을 방문중인 이재명 대통령이 23일(현지시간) 일본 도쿄의 한 호텔에서 열린 재일동포 오찬 간담회에서 발언을 하고 있다. (이재명 대통령 SNS. 재판매 및 DB금지) 2025.8.25/뉴스1 ⓒ News1 이재명 기자
(서울=뉴스1) 금준혁 조소영 기자 = 이재명 대통령의 국정 수행 지지율이 3주 만에 하락을 멈췄다. 미·일 순방과 연구개발(R&D) 예산 증액 등 정책에 대한 긍정적 평가와 광복절 특별사면 여파 등 부정적 평가가 동시에 반영된 결과다.
25일 여론조사기관 리얼미터가 에너지경제신문 의뢰로 지난 18~22일 전국 만 18세 이상 성인 2512명을 대상으로 실시한 조사 결과, 이 대통령의 국정 수행에 대한 긍정 평가는 51.4%로 집계됐다.
전주 대비 0.3%포인트 상승한 수치로, 3주 만의 상승이다. 반면 부정 평가는 같은 기간 0.4%p 오른 44.9%였다. 긍정과 부정 평가의 격차는 6.5%p다.
지역별로는 △부산·울산·경남(5.1%↑, 45.6%→50.7%) △서울(2.3%↑, 48.4%→50.7%) △광주·전라(1.2%↑, 73.0%→74.2%) 등에서 전주 대비 소폭 상승했다.
연령별에서는 △20대(7.8%↑, 34.4%→42.2%) △50대(2.9%↑, 59.2%→62.1%)에서 지지율이 상승했다. 그러나 △60대(4.7%↓, 53.0%→48.3%) △30대(1.9%↓, 49.1%→47.2%) △70대 이상(1.2%↓, 43.7%→42.5%) △40대(1.2%↓, 63.0%→35.7%) 등 대부분 세대에서 하락했다.
이념 성향별로는 진보층(1.6%↑, 82.0→83.6%)에서는 상승, 보수층(2.9%↓, 25.6%→22.7%)에서는 하락했다.
리얼미터는 ""이번 주 지지율은 긍정적 요인과 부정적 요인이 서로 상쇄되며 횡보했다""며 ""긍정적 요인은 미·일 순방 준비와 9·19 군사합의 복원 표명 등 외교안보 분야 활동과 R&D 예산 증액 편성 같은 경제정책 발표""라고 설명했다.
이어 ""특검 관련 정치 공방, 광복절 특별사면 후폭풍, 세제 개편 불확실성, 연이은 산업재해 사고 등은 지지율 상승을 막은 부정적 요인""이라고 덧붙였다.
리얼미터 재공
민주당 역시 지지율이 동반 상승했다. 지난 21~22일 전국 18세 이상 유권자 1004명을 대상으로 한 정당 지지도 조사에서 민주당 지지율은 전주보다 5.9%p 오른 45.8%를 기록했다.
민주당 지지율은 한 주 만에 40% 선을 회복했다. 지난주 40% 선이 무너지며 7개월 만에 30%대로 주저앉은 바 있다.
민주당은 △광주·전라(15.0%↑, 49.1%→64.1%) △부산·울산·경남(9.9%↑, 36.6%→46.5%) △인천·경기(9.6%↑, 40.9%→50.5%) △서울(4.9%↑, 37.6%→42.5%) 등 지난주 큰 폭으로 빠졌던 수도권·호남의 지지율이 회복됐다.
반면 국민의힘은 1.2%p 떨어진 35.5%를 기록해 지지율 상승이 멈췄다. 국민의힘을 지지하는 보수층(5.6%↓, 72.2%→66.6%)의 지지율이 떨어진 여파다. 양당 격차는 10.3%p로 한 주 만에 오차범위 밖으로 벗어났다.
리얼미터는 ""민주당 지지율 상승은 김건희 특검 수사 및 전임 정부에 대한 공세 강화와 방송 3법, 노란봉투법 등 민생개혁 법안 추진력을 부각하며 지지층 결집을 이끌어낸 결과""라며 ""국민의힘의 지지율 하락은 당사 압수수색 등 특검 수사에 대한 부담과 전당대회에서 불거진 내부 갈등이 영향""이라고 설명했다.
한편 조국혁신당의 지지율은 전주대비 2.5%p 하락한 3.2%를 기록했다. 리얼미터는 ""여권의 신중한 행보 요구와 (페이스북 된장찌개 게시글 등) 서민 코스프레 논란에 휩싸이며 지지층 일부가 이탈해 민주당으로 이동한 것""이라고 분석했다.
두 조사는 무선(100%) 자동응답 방식으로 진행됐다. 표본오차는 대통령 국정 수행 지지도 조사가 95% 신뢰수준에 ±2.0%p, 정당 지지도 조사가 95% 신뢰수준에 ±3.1%p다. 응답률은 대통령 국정 수행 지지도 조사가 5.1%, 정당 지지도 조사가 4.8%다. (자세한 내용은 중앙선거여론조사심의위원회 홈페이지 참조)",세제개편
