press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
시사저널,"우원식 ""소비심리위축에 지역 관광업 큰 위기…필요시 추경 편성해야""",네이버뉴스,https://n.news.naver.com/mnews/article/586/0000095891?sid=100,,시사저널,"우원식 ""소비심리 위축에 지역 관광업 큰 위기…필요시 추경 편성해야""","""비상계엄에 여객기 참사 더해져…정부, 관광업계 위기 극복에 귀 기울여야""
우원식 국회의장(가운데)이 20일 오후 서울 여의도 국회에서 광주전남 관광산업 위기상황 긴급간담회를 하고 있다. ⓒ연합뉴스
우원식 국회의장은 20일 '광주전남 관광산업 위기 상황 긴급간담회'를 열고 ""정부는 관광업계가 겪고 있는 경제적 어려움을 면밀히 파악하고 위기 극복을 위해 무엇이 필요한지 귀를 기울여야 한다""고 밝혔다.
우 의장은 이날 국회에서 연 간담회에서 ""비상계엄에 따른 소비심리 위축으로 안 그래도 어려운 상황에 여객기 참사까지 더해지면서 지역 관광업에 큰 위기가 찾아왔다""며 이같이 말했다.
우 의장은 이어 ""민생경제를 살리는 일에 다른 목소리가 있을 수 없다""며 ""정말 필요한 분야에 대해서는 국회와 정부가 머리를 맞대고 추가경정예산안을 편성해야 한다""고 목소리를 높였다.
선석현 광주광역시관광협회장은 이에 대해 ""사고 후 광주·전남 여행업계 직원들의 트라우마가 상당하고, 관광여행이 대거 취소됐다""며 ""지역 관광업계가 생존할 수 있도록 정책적 핀셋지원과 이후로의 대안을 마련해달라""고 요청했다.",소비심리
시사저널,"국회의장, 광주·전남 여행업계 활성화 간담회… “추경 필요”",네이버뉴스,https://n.news.naver.com/mnews/article/586/0000095891?sid=100,,시사저널,"우원식 ""소비심리 위축에 지역 관광업 큰 위기…필요시 추경 편성해야""","""비상계엄에 여객기 참사 더해져…정부, 관광업계 위기 극복에 귀 기울여야""
우원식 국회의장(가운데)이 20일 오후 서울 여의도 국회에서 광주전남 관광산업 위기상황 긴급간담회를 하고 있다. ⓒ연합뉴스
우원식 국회의장은 20일 '광주전남 관광산업 위기 상황 긴급간담회'를 열고 ""정부는 관광업계가 겪고 있는 경제적 어려움을 면밀히 파악하고 위기 극복을 위해 무엇이 필요한지 귀를 기울여야 한다""고 밝혔다.
우 의장은 이날 국회에서 연 간담회에서 ""비상계엄에 따른 소비심리 위축으로 안 그래도 어려운 상황에 여객기 참사까지 더해지면서 지역 관광업에 큰 위기가 찾아왔다""며 이같이 말했다.
우 의장은 이어 ""민생경제를 살리는 일에 다른 목소리가 있을 수 없다""며 ""정말 필요한 분야에 대해서는 국회와 정부가 머리를 맞대고 추가경정예산안을 편성해야 한다""고 목소리를 높였다.
선석현 광주광역시관광협회장은 이에 대해 ""사고 후 광주·전남 여행업계 직원들의 트라우마가 상당하고, 관광여행이 대거 취소됐다""며 ""지역 관광업계가 생존할 수 있도록 정책적 핀셋지원과 이후로의 대안을 마련해달라""고 요청했다.",소비심리
세계일보,"우의장 ""지역 관광업에 큰 위기…필요한 분야엔 추경 편성해야""",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004004315?sid=100,,세계일보,"국회의장, 광주·전남 여행업계 활성화 간담회… “추경 필요”","“여행업계 생계 위협받는 상황
정말 필요한 데 추경 편성해야”
우원식 국회의장은 20일 신석현 광주광역시관광협회장 등 광주·전남지역 여행사 대표들과 긴급 간담회를 갖고 위기 상황에 몰린 지역 관광산업 활성화 방안을 논의했다.
의장 공보수석실에 따르면 우 의장은 국회에서 열린 간담회에서 “비상계엄에 따른 소비심리 위축으로 안 그래도 어려운 상황에 여객기 참사까지 더해지면서 지역 관광업에 큰 위기가 찾아왔다”며 “여행사들의 매출이 급격히 감소하면서 여행업계 종사자들의 생계가 위협받고 있어 걱정이 앞선다”고 우려했다.
우원식 국회의장(가운데)이 20일 서울 여의도 국회 집무실에서 광주·전남지역 여행업계 대표들을 만나 지역 관광산업 활성화 방안을 논의하고 있다. 의장 공보수석실 제공
우 의장은 “정부의 역할이 그 어느 때보다 중요하다”며 “영세한 여행사들이 정부의 정책적 지원을 호소하고 있으니 정부는 관광업계가 겪고 있는 경제적 어려움을 면밀히 파악하고 위기극복을 위해 무엇이 필요한지 귀를 기울여야 한다”고 했다. 이어 “민생경제를 살리는 일에 다른 목소리가 있을 수 없다”며 “2025년 예산 조기 집행도 해야 하겠으나 정말 필요한 분야에 대해서는 국회와 정부가 머리를 맞대고 추가경정예산안을 편성해야 한다”고 했다.
신 회장은 “(제주항공 여객기) 사고 이후 광주·전남 여행업계 직원들의 트라우마가 상당하고 관광 여행이 대거 취소되면서 민생위기의 직격탄을 맞고 있다”며 “지역 관광업계가 생존할 수 있도록 정책적 핀셋지원과 이후로의 대안을 마련해달라”고 호소했다고 공보수석실은 전했다.
간담회에는 신 회장과 같은 협회 소속 강혜련·양해경 이사, KBIZ한국여행사업협동조합 김재국 이사장이 참석했다. 국회 측 인사로는 조오섭 의장 비서실장과 이원정 정책수석, 박태서 공보수석이 배석했다.",소비심리
연합뉴스,"우 의장 ""지역 관광업에 큰 위기…필요한 분야 추경해야""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015170330?sid=100,,연합뉴스,"우의장 ""지역 관광업에 큰 위기…필요한 분야엔 추경 편성해야""","광주전남 관광산업 위기상황 긴급간담회 하는 우원식 국회의장
(서울=연합뉴스) 박동주 기자 = 우원식 국회의장이 20일 오후 서울 여의도 국회에서 광주전남 관광산업 위기상황 긴급간담회를 하고 있다. 2025.1.20 pdj6635@yna.co.kr
(서울=연합뉴스) 오규진 기자 = 우원식 국회의장은 20일 ""정부는 관광업계가 겪고 있는 경제적 어려움을 면밀히 파악하고 위기 극복을 위해 무엇이 필요한지 귀를 기울여야 한다""고 촉구했다.
우 의장은 이날 국회에서 '광주전남 관광산업 위기 상황 긴급간담회'를 열고 ""비상계엄에 따른 소비심리 위축으로 안 그래도 어려운 상황에 여객기 참사까지 더해지면서 지역 관광업에 큰 위기가 찾아왔다""며 이같이 밝혔다.
우 의장은 ""민생경제를 살리는 일에 다른 목소리가 있을 수 없다""며 ""정말 필요한 분야에 대해서는 국회와 정부가 머리를 맞대고 추가경정예산안을 편성해야 한다""고 강조했다.
이에 선석현 광주광역시관광협회장은 ""사고 후 광주·전남 여행업계 직원들의 트라우마가 상당하고, 관광여행이 대거 취소됐다""며 ""지역 관광업계가 생존할 수 있도록 정책적 핀셋지원과 이후로의 대안을 마련해달라""고 했다고 의장실은 전했다.
acdc@yna.co.kr",소비심리
SBS,"우 의장 ""비상계엄에 무안 참사로 지역관광 위기…추경 필요""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001225191?sid=100,,SBS,"우 의장 ""지역 관광업에 큰 위기…필요한 분야 추경해야""","▲ 우원식 국회의장이 20일 오후 서울 여의도 국회에서 광주전남 관광산업 위기상황 긴급간담회를 하고 있다.
우원식 국회의장은 ""정부는 관광업계가 겪고 있는 경제적 어려움을 면밀히 파악하고 위기 극복을 위해 무엇이 필요한지 귀를 기울여야 한다""고 촉구했습니다.
우 의장은 오늘(20일) 국회에서 '광주전남 관광산업 위기 상황 긴급간담회'를 열고 ""비상계엄에 따른 소비심리 위축으로 안 그래도 어려운 상황에 여객기 참사까지 더해지면서 지역 관광업에 큰 위기가 찾아왔다""고 밝혔습니다.
우 의장은 ""민생경제를 살리는 일에 다른 목소리가 있을 수 없다""며 ""정말 필요한 분야에 대해서는 국회와 정부가 머리를 맞대고 추가경정예산안을 편성해야 한다""고 강조했습니다.
(사진=연합뉴스)",소비심리
데일리안,"[트럼프 2.0] 유통가,소비 심리침체에 고환율까지 ‘전전긍긍’",네이버뉴스,https://n.news.naver.com/mnews/article/119/0002915380?sid=101,,데일리안,"[트럼프 2.0] 유통가, 소비 심리 침체에 고환율까지 ‘전전긍긍’","유통기업 10곳 중 8곳, 트럼프 2기 등장 ‘부정적’ 전망 응답
가성비 좋은 온라인쇼핑, 중국 이커머스로 소비자 이동 가능성
서울 시내 한 대형마트에서 시민이 장을 보고 있다.ⓒ뉴시스
[데일리안 = 최승근 기자] 트럼프 2기 출범을 앞두고 유통업계의 셈법이 복잡하다.
관세 인상을 비롯해 고환율 상황이 길어질 경우 국내 유통기업들의 수익성에도 직접적인 영향을 미칠 수 있어서다.
유통업에 속한 대부분의 업종이 원재료를 수입해 가공, 판매하는 구조다 보니 환율에 민감할 수 밖에 없다.
여기에 한류를 타고 식품, 패션, 뷰티 등 주요 업종의 대미 수출이 늘고 있는 만큼 차기 미국 정부의 정책에 어느 때보다 관심이 높은 상황이다.
미국은 전 세계 소비재 핵심 시장으로 최근 K푸드를 비롯해 화장품, 패션 등 우리 기업들이 적극적으로 공략하고 있는 시장이다.
하지만 도널드 트럼프 미국 대통령 당선인이 후보 시절부터 강조한 자국 보호무역주의로 인해 발목이 잡힐 수 있다는 우려가 확산되고 있다.
특히 지난달 비상계엄 사태에 이어 항공기 참사까지 겹치면서 내수 침체가 가속화되면서 내수와 수출 안팎으로 어려움이 가중될 수 있다는 불안감이 크다.
우리나라 대부분 제조업은 해외에서 원재료를 수입해 가공, 국내외에 판매하는 구조다. 때문에 환율에 따라 수익성 변동이 심할 수 밖에 없다.
유통업계 또한 가격 영향에서 자유로울 수 없다. 코로나19 팬데믹 이후부터 수년째 고물가 상황이 지속되면서 가성비 상품에 대한 소비자들의 수요가 높아진 캇이다.
환율 상승에 따라 가공식품을 비롯해 외식 등 식탁물가가 상승할 경우 소비 침체는 더 길어지게 되고 유통기업의 불황 또한 길어지게 된다.
지난 14일 대한상공회의소가 500개 소매유통업체를 대상으로 조사한 1분기 소매유통업 경기전망지수(RBSI)에 따르면 전망치는 '77'로 집계됐다. 이는 작년 2분기부터 3개 분기 연속 하락한 것이다.
RBSI는 유통기업의 경기 판단과 전망을 조사한 기업의 체감경기 지표로 100 이상이면 다음 분기의 소매유통업 경기가 지난 분기보다 좋을 것으로 보는 기업이 많다는 의미고 100 미만이면 그 반대다.
조사에서 유통기업들은 올해 국내 소비시장에 영향을 미칠 것으로 예상되는 요인으로 고물가‧고금리 지속 등에 따른 소비심리 위축(66.6%), 비용부담 증가(42.4%), 트럼프 통상정책(31.2%), 시장 경쟁심화(21.0%) 등을 꼽았다.
또한, 트럼프 2기 출범이 국내 유통시장에 미치는 영향을 묻는 질문에 응답업체 10곳 중 8곳(83.0%)은 국내 유통시장에 부정적 영향을 미칠 것으로 예상했다.
국내 정치의 불확실성이 국내 유통시장에 미치는 영향에 대한 물음에도 응답업체의 과반수 이상(56.2%)이 유통시장에 부정적 영향을 줄 것이라고 답했다.
업태별로는 백화점, 대형마트, 슈퍼마켓 등 모든 업태에 걸쳐 전망치가 하락했다.
업계에서는 침체 상황이 길어질수록 오프라인 유통업체의 어려움이 가속화될 수 있다는 우려가 나온다.
고물가 속 가성비 상품에 대한 수요가 늘어날수록 가격경쟁력이 높은 온라인 쇼핑 비중이 커질 것이란 예상에서다.
특히 싼 가격을 앞세워 공세를 펴고 있는 중국 이커머스에 대한 불안감도 높아지고 있다.
알리바바와 신세계의 합작법인이 올 상반기 중 설립되면 알리의 한국 시장 공략도 한층 힘을 받을 것으로 전망된다.
유통업계 한 관계자는 “환율도 문제지만 당장은 소비 심리가 꽁꽁 얼어붙었다는 점이 가장 큰 걱정거리”라며 “크리스마스와 연말, 연초로 이어지는 대목이 모두 실종됐다는 말이 나올 정도다. 다가오는 설 명절에 기대를 걸고 있지만 물가가 올라 얼마나 회복될 수 있을지는 미지수”라고 토로했다.
인천국제공항 면세 구역이 이용객으로 붐비고 있다.ⓒ뉴시스
면세업계 고환율 직격탄...인력‧매장 줄이고 비용 절감 총력
고환율 상황이 길어지면서 면세업계는 매출 감소의 직격탄을 맞고 있다.
면세품은 일반 상품에 비해 가격이 저렴한 것이 특징이지만 환율이 상승하면서 일부 상품의 경우 일반 상품보다 비싼 가격 역전 현상도 일어나고 있는 것으로 알려졌다.
쇼핑 중심의 여행 트렌드가 체험 중심으로 변화화면서 면세쇼핑 수요가 감소한 상황에서 가격경쟁력 마저 떨어지다 보니 인력 축소, 부진 매장 철수 등을 통해 비용을 줄이고 버티기에 들어간 상황이다.
최근에는 업계의 큰 손으로 불렸던 중국 보따리상과의 거래도 줄이는 추세다.
한 때 이들이 차지한 한국 면세산업 매출 비중은 80%를 넘을 정도로 의존도가 높았지만 그만큼 수수료도 불어나면서 면세업계 수익성 악화의 주범으로 꼽혔다.
면세업계 관계자는 “인력 구조조정을 비롯해 부진 매장 철수, 신규 브랜드 입점 등 기업 입장에서 취할 수 있는 카드는 모두 사용한 상황”이라며 “환율 등 대처하기 어려운 부분이 있어 올해도 전망이 불확실하다. 상황을 유심히 지켜봐야 할 것 같다”고 전했다.",소비심리
전남매일,경기불황소비심리위축…‘택시·배달·대리’ 직격탄,,,,,,,소비심리
뉴시스,"한은의 경고 ""정치 불안에 성장률 1.6~1.7%로 깎여…추경 필요""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013026103?sid=101,,뉴시스,"한은의 경고 ""정치 불안에 성장률 1.6~1.7%로 깎여…추경 필요""","1월 금통위 결정 시 한국은행의 경기 평가
정치 불안, 올해 성장률 0.2%p 손실 입혀
""여야정 협의 후 추경 빠르게 추진해야""
[서울=뉴시스] 김선웅 기자 = 윤석열 대통령에 대한 구속영장이 발부된 19일 서울 종로구 헌법재판소 앞에서 친윤 시위대가 구호를 외치고 있다. 2025.01.19. mangusta@newsis.com
[서울=뉴시스]남주현 기자 = 한국은행이 정치 불안에 따른 올해 성장률 손실을 0.2%포인트로 추정하며 올해 성장률이 1.6~1.7%에 그칠 것으로 진단했다. 비상계엄에서 촉발된 정치 불확실성이 경제 심리를 크게 위축시켰다는 점에서다. 한은은 여·야·정 합의를 통해 추가경정예산 등을 빠르게 추진해 경기 하강을 완충해야 한다고 제언했다.
한은은 20일 자체 블로그에 '1월 금통위 결정 시 한국은행의 경기 평가' 페이퍼를 게재했다. 작성자는 이지호 한은 조사국장과 김대용 조사총괄팀장, 이광원 과장이다. 이번 페이퍼는 1월 금통위에서 이창용 한은 총재가 기자간담회 도중 밝힌 경제 전망 중간발표의 일환이다.
이 총재는 1월 금통위에서 ""경기만 보면 금리를 인하해야 한다""는 단서를 달면서도 금리 동결을 결정했다. 그는 이번 중간 발표가 이례적일 것으로 강조하며 ""계엄으로 인한 정치 리스크가 현재 경제에 주는 영향에 대해 정보를 드리는 것이 한은의 중요한 책무""라며 설명했다.
이 국장은 이번 페이퍼를 통해 먼저 예상치 못한 계엄사태와 제주항공 여객기 참사 등에 따른 소비 심리 위축으로 지난해 4분기 성장률이 0.2%로 하회하고, 지난해 연간 성장률도 2.0~2.1%로 부진했을 것으로 봤다. 한은의 종전 지난해 성장률 전망치는 2.2%, 4분기 예상치는 0.5%다.
문제는 올해 성장률 역시 타격이 이어질 것으로 내다봤다는 점이다. 이 국장은 올해 1월 기준으로 연간 전망치를 추정한 결과 1.6~1.7%로 하향 조정될 것으로 보인다고 내다봤다. 지난해 11월 한은이 내놓은 기존 전망치는 1.9%로 이 보다 0.2~0.3%포인트 낮아질 것으로 봤다.
이는 최근 IMF(국제통화기금)은 1월 정기 세계경제전망에서 올해 우리나라 성장률 전망치를 종전보다 0.2%포인트 낮춰잡고 제시한 2.0%보다 크게 낮다. 한국개발연구원(KDI)와 기획재정부는 각각 2.0%, 1.8%로 제시했지만 탄핵 사태 등 국내 정국을 반영하지 않았다.
이 국장은 성장률 하향의 근거로 계엄 등 따른 정치 불확실과 경제 심리 위축을 꼽고 이에 따른 경기 하방 효과를 0.2%포인트로 추정했다. 다만 하반기에는 경제 심리가 이전 수준으로 회복한다고 가정했다. 저조한 지난해 4분기 성장률도 올해 성장률 하향의 이유로 지목했다.
그는 올해 성장률 예측에 대해 불확실성이 높다고 지적하면서도 향후 정치 불확실성이 빠르게 완화될 경우 경제 미치는 부정적인 영향도 줄어들 것으로 봤다. 아울러 추경 등 경제 정책이 빠른 속도로 추진될 경우 경기 하방 압력을 상당 부분 완충할 것이라며 여·야·정 합의를 당부했다.
또한 미국의 트럼프 신정부 출범에 따른 경제 정책들의 구체화 등이 우리 경제에 영향을 크게 미칠 것으로 판단했다． 이 국장은 ""현재 우리 경제 주체들의 심리가 취약하다""면서 ""정치와 별개로 경제 정책이 일관성 있게 정상적 작동되도록 대외적으로 신뢰를 확보해야 한다""고 봤다,",소비심리
뉴시스,"한은 ""올해 성장률 1.6~1.7%로 하향 조정...정국 불안에 –0.2%p“",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013026103?sid=101,,뉴시스,"한은의 경고 ""정치 불안에 성장률 1.6~1.7%로 깎여…추경 필요""","1월 금통위 결정 시 한국은행의 경기 평가
정치 불안, 올해 성장률 0.2%p 손실 입혀
""여야정 협의 후 추경 빠르게 추진해야""
[서울=뉴시스] 김선웅 기자 = 윤석열 대통령에 대한 구속영장이 발부된 19일 서울 종로구 헌법재판소 앞에서 친윤 시위대가 구호를 외치고 있다. 2025.01.19. mangusta@newsis.com
[서울=뉴시스]남주현 기자 = 한국은행이 정치 불안에 따른 올해 성장률 손실을 0.2%포인트로 추정하며 올해 성장률이 1.6~1.7%에 그칠 것으로 진단했다. 비상계엄에서 촉발된 정치 불확실성이 경제 심리를 크게 위축시켰다는 점에서다. 한은은 여·야·정 합의를 통해 추가경정예산 등을 빠르게 추진해 경기 하강을 완충해야 한다고 제언했다.
한은은 20일 자체 블로그에 '1월 금통위 결정 시 한국은행의 경기 평가' 페이퍼를 게재했다. 작성자는 이지호 한은 조사국장과 김대용 조사총괄팀장, 이광원 과장이다. 이번 페이퍼는 1월 금통위에서 이창용 한은 총재가 기자간담회 도중 밝힌 경제 전망 중간발표의 일환이다.
이 총재는 1월 금통위에서 ""경기만 보면 금리를 인하해야 한다""는 단서를 달면서도 금리 동결을 결정했다. 그는 이번 중간 발표가 이례적일 것으로 강조하며 ""계엄으로 인한 정치 리스크가 현재 경제에 주는 영향에 대해 정보를 드리는 것이 한은의 중요한 책무""라며 설명했다.
이 국장은 이번 페이퍼를 통해 먼저 예상치 못한 계엄사태와 제주항공 여객기 참사 등에 따른 소비 심리 위축으로 지난해 4분기 성장률이 0.2%로 하회하고, 지난해 연간 성장률도 2.0~2.1%로 부진했을 것으로 봤다. 한은의 종전 지난해 성장률 전망치는 2.2%, 4분기 예상치는 0.5%다.
문제는 올해 성장률 역시 타격이 이어질 것으로 내다봤다는 점이다. 이 국장은 올해 1월 기준으로 연간 전망치를 추정한 결과 1.6~1.7%로 하향 조정될 것으로 보인다고 내다봤다. 지난해 11월 한은이 내놓은 기존 전망치는 1.9%로 이 보다 0.2~0.3%포인트 낮아질 것으로 봤다.
이는 최근 IMF(국제통화기금)은 1월 정기 세계경제전망에서 올해 우리나라 성장률 전망치를 종전보다 0.2%포인트 낮춰잡고 제시한 2.0%보다 크게 낮다. 한국개발연구원(KDI)와 기획재정부는 각각 2.0%, 1.8%로 제시했지만 탄핵 사태 등 국내 정국을 반영하지 않았다.
이 국장은 성장률 하향의 근거로 계엄 등 따른 정치 불확실과 경제 심리 위축을 꼽고 이에 따른 경기 하방 효과를 0.2%포인트로 추정했다. 다만 하반기에는 경제 심리가 이전 수준으로 회복한다고 가정했다. 저조한 지난해 4분기 성장률도 올해 성장률 하향의 이유로 지목했다.
그는 올해 성장률 예측에 대해 불확실성이 높다고 지적하면서도 향후 정치 불확실성이 빠르게 완화될 경우 경제 미치는 부정적인 영향도 줄어들 것으로 봤다. 아울러 추경 등 경제 정책이 빠른 속도로 추진될 경우 경기 하방 압력을 상당 부분 완충할 것이라며 여·야·정 합의를 당부했다.
또한 미국의 트럼프 신정부 출범에 따른 경제 정책들의 구체화 등이 우리 경제에 영향을 크게 미칠 것으로 판단했다． 이 국장은 ""현재 우리 경제 주체들의 심리가 취약하다""면서 ""정치와 별개로 경제 정책이 일관성 있게 정상적 작동되도록 대외적으로 신뢰를 확보해야 한다""고 봤다,",소비심리
파이낸셜뉴스,"계엄사태로 멍든 韓 경제…한은의 경고 ""이대론 올해 성장률 1.6~1.7%""(상...",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005298127?sid=101,,파이낸셜뉴스,"한은 ""올해 성장률 1.6~1.7%로 하향 조정...정국 불안에 –0.2%p“","비상계엄 등 정치적 불확실성에 성장률 하방 압력
올해 2분기에 해소돼도 올해 성장률 0.2%p 낮아져
경제심리 위축에 소비·투자 등 내수 부진 예상보다 커
“추경 빠르게 추진되면 경기 하방압력 상당부분 완충”
[파이낸셜뉴스] 한국은행이 올해 실질 국내총생산(GDP) 성장률 전망치를 기존 1.9%에서 1.6~1.7%로 하향조정될 것으로 판단했다. 지난달 비상계엄 사태로 촉발된 정치 불확실성과 이에 따른 경제 심리 위축의 영향으로 올해 성장률이 소비 등 내수를 중심으로 0.2%p가량 주저앉을 것이란 전망이다.
20일 한국은행은 정치 불확실성이 올해 1분기까지 지속되다가 2분기부터 점차 해소되면서 경제 심리가 하반기 중 이전 수준을 회복하는 것을 전제로 이같이 내다봤다. 아울러 올해 정부 예산안이 감액 처리된 것은 성장률을 0.06%p 낮출 것으로 분석했지만, 정부의 예산 조기 집행 등 경기 부양책이 이를 상쇄한다는 것이 한은의 설명이다.
지난해 4·4분기 성장률이 당초 전망(0.5%)을 크게 하회하는 0.2%나 이를 소폭 하회할 것으로 예상되는 점도 올해 성장률 전망을 낮추는 요인이다. 한은은 계엄사태 이후 지속된 국내 정치적 충격과 제주항공 여객기 참사로 인해 경제심리가 크게 악화되고 내수소비, 건설투자 등가 위축되면서 4·4분기 성장률이 11월 전망을 상당폭 하회했을 것으로 추정했다.
실제 카드사용액 증가세가 지난해 12월말부터 감소하고 고가 비중이 높은 수입자동차 판매도 같은 기간 위축되는 등 내수 소비는 빠르게 둔화되고 있다. 건설투자의 경우 지난달 중 아파트 분양실적이 2만1000호로 당초 계획(2만5000호)를 17.2%나 하회하는 등 4·4분기 중에 부진이 더 심화하고 있다. 이에 지난해 연간 성장률도 지난 11월 전망치(2.2%)를 하회하는 2.0~2.1%를 나타낼 것으로 예상된다.
한은은 다음달 25일 발표하는 수정 경제전망을 좌우할 요소로 ‘국내정치 불확실성’을 꼽았다. 한은은 “정치적 불확실성이 얼마나 지속되고 이에 따라 내수가 실제로 어느 정도 영향받을 지를 좀 더 지켜봐야 한다”고 설명했다.
또 정부의 추가적인 경기부양 시기, 규모, 대상도 2월 전망에서 중요한 고려사항이다. 한은은 여·야·정 합의를 통해 추경 등 경제정책이 빠른 속도로 추진된다면 경기 하방압력을 상당 부분 완충할 수 있다고 평가했다.
대외적으로는 미국 신정부의 경제정책이 국내 경제에 끼칠 영향력에 주목해야 한다고 봤다. 한은은 지난해 11월에 트럼프 2기 행정부의 대중 관세의 공세적 추진 등 보호무역정책이 크게 강화된다고 가정해 경제전망을 실시한 바 있다.
이지호 한은 조사국장은 “1월 미국 신정부 출범 이후 경제정책들이 보다 구체화될 텐데, 이에 따라 11월에 예상하였던 것과 비교해 우리 경제에 어느 정도 영향을 미칠지 좀 더 판단할 필요가 있다”고 평가했다.",소비심리
