press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
한국경제,"""脫중국-미국 진출로 캐즘 후 대비""…포스코퓨처엠 '승부수'",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005132130?sid=101,,한국경제,"""脫중국-미국 진출로 캐즘 후 대비""…포스코퓨처엠 '승부수'","중국이 장악한 구형흑연 국내 생산에 2773억 투입
미국 GM과 캐나자 합작법인에 3534억원 출자
""전기차 배터리 시장 수요 올해 말부터 회복 시작""
""투자자 소통 과정에서 꾸준히 설득해야""
이 기사는 05월 14일 17:45
마켓인사이트
에 게재된 기사입니다.
포스코퓨처엠의 포항 인조흑연 제조공장에서 담당자가 제조 공정을 점검하고 있다. 포스코퓨처엠 제공
1조1000억원 규모 포스코퓨처엠 유상증자는 탈(脫)중국과 북미시장 진출에 초점이 맞춰졌다. 중국이 장악한 천연흑연 시장에서 국산화를 달성하고, 미국 제너럴모터스(GM)과 함께 북미지역에 양극재 공장을 설립해 현지 공략을 강화하겠다는 구상을 선보였다. 포스코퓨처엠은 “유상증자는 ‘캐즘’(일시적 수요 정체) 이후 전기차 배터리 시장을 선점하기 위한 선택”이라며 주주 설득 총력전에 나섰다.
14일 투자은행(IB)업계에 따르면 포스코퓨처엠은 전날 이사회를 열고 약 1조1000억원 규모의 유상증자를 결의했다. 주식 수는 1148만3000주, 신주 예정가격은 주당 9만5800원이다. 자금조달 목적은 타법인증권 취득자금 6307억원, 운영자금 2883억7140만원, 시설자금 1810억원 확보다. 포스코홀딩스는 유상증자에 100% 참여하기로 했다.
포스코퓨처엠이 유상증자를 발표하자 IB 업계에선 어느정도 예정된 수순이라는 반응이 나왔다. 작년 유상증자를 진행할 예정이었지만 그룹 수장이 6년 만에 교체되는 가운데 일정이 연기됐었기 때문이다. 다만 시점이 늦춰지면서 포스코그룹은 높아진 투자자 눈높이를 변수로 맞닥뜨리게 됐다. 금감원의 유상증자 중점심사 관문도 넘어야 한다.
포스코퓨처엠은 주주를 설득하기 위해 증권신고서에서 유상증자의 당위성을 강조하는 데 공을 들였다. 미중 관세전쟁이 벌어지는 가운데 중국 의존도를 줄이고 미국 진출을 확대하기 위해 유상증자를 실시한다고 강조했다.
포스코퓨처엠은 우선 중국 의존도를 줄이기 위해 유상증자로 조달하는 자금 중 2773억원을 구형흑연 국내 생산에 투입하겠다고 밝혔다. 구형흑연은 배터리 음극재의 핵심 원료지만, 전 세계 구형흑연은 대부분 중국에서 생산하고 있다는 설명이다. 포스코퓨처엠은 국내 생산능력을 확충해 천연흑연 전 공정에 대한 자체적인 공급망을 구축한다고 했다.
포스코퓨처엠은 미국 GM과 합작 설립하고 있는 캐나다 양극재 공장에도 3534억원을 출자하기로 했다. 내년 양산을 목표로 건설되고 있는 공장이다. 포스코퓨처엠은 “북미 생산 거점을 마련하면 현지 2차전지 소재 공급에서 우위를 선점할 수 있을 것”이라고 설명했다.
포스코퓨처엠은 전기차 배터리 시장 수요가 올해 말부터 회복하기 시작할 것이라고 전망했다. 포스코퓨처엠은 “시장조사기관에 따르면 올해 3월 기준 글로벌 전기차용 배터리 사용량은 작년 동기대비 38.8% 성장했다”며 “올해 하반기부터 2030년까지 연평균 20%의 높은 성장이 전망된다”고 강조했다.
포스코퓨처엠은 또 채권발행 대신 유상증자가 불가피한 상황이라고 강조했다. 1분기 말 부채비율이 139.02%로 2022년(74.96%)에 비해 급격히 높아진 상태여서다. 현재 포스코퓨처엠의 회사채 신용등급은 신용평가사 3곳으로부터 AA-를 받고 있다. 부채를 확대하면 신용등급에 부정적인 영향을 미칠 가능성이 높아 유상증자가 필수적이라는 게 회사 측 설명이다.
포스코퓨처엠의 이번 유상증자 할인율은 20%다. 삼성SDI와 한화에어로스페이스의 할인율(15%)보다 높다. 신주 발행가를 낮춰 넉넉한 수요를 확보하기 위한 전략으로 풀이된다.
유상증자 수수료는 모집총액의 0.3%인 33억원으로 책정됐다. 삼성SDI(0.3%), 한화에어로스페이스(0.25%)와 유사한 수준이다. 한국투자증권이 35%, KB증권이 30%, NH투자증권이 25%, 키움증권이 10%를 인수하는 만큼 각 증권사는 이 비율대로 수수료를 가져갈 예정이다.
포스코퓨처엠은 이날 4% 하락한 11만5300원에 정규장 거래를 마감했다. 전날 장 마감 후 유상증자 발표한 직후라는 점을 감안하면 선방했다는 평가다. 다만 전날 주가는 증자 발표 전 미리 8.93% 급락했다.
한 IB업계 관계자는 “포스코그룹이 2차전지 사업에 승부수를 걸었다”면서 “투자자와의 지속적인 소통 과정에서 증자 자금으로 성과를 낼 수 있는지에 관한 질문에 적절히 답할 수 있는지가 관건이 될 것”이라고 말했다.",유상증자
한국경제,"[마켓파워] 포스코퓨처엠, 왜유상증자였나…여전한 차입금 부담·불가...",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005132130?sid=101,,한국경제,"""脫중국-미국 진출로 캐즘 후 대비""…포스코퓨처엠 '승부수'","중국이 장악한 구형흑연 국내 생산에 2773억 투입
미국 GM과 캐나자 합작법인에 3534억원 출자
""전기차 배터리 시장 수요 올해 말부터 회복 시작""
""투자자 소통 과정에서 꾸준히 설득해야""
이 기사는 05월 14일 17:45
마켓인사이트
에 게재된 기사입니다.
포스코퓨처엠의 포항 인조흑연 제조공장에서 담당자가 제조 공정을 점검하고 있다. 포스코퓨처엠 제공
1조1000억원 규모 포스코퓨처엠 유상증자는 탈(脫)중국과 북미시장 진출에 초점이 맞춰졌다. 중국이 장악한 천연흑연 시장에서 국산화를 달성하고, 미국 제너럴모터스(GM)과 함께 북미지역에 양극재 공장을 설립해 현지 공략을 강화하겠다는 구상을 선보였다. 포스코퓨처엠은 “유상증자는 ‘캐즘’(일시적 수요 정체) 이후 전기차 배터리 시장을 선점하기 위한 선택”이라며 주주 설득 총력전에 나섰다.
14일 투자은행(IB)업계에 따르면 포스코퓨처엠은 전날 이사회를 열고 약 1조1000억원 규모의 유상증자를 결의했다. 주식 수는 1148만3000주, 신주 예정가격은 주당 9만5800원이다. 자금조달 목적은 타법인증권 취득자금 6307억원, 운영자금 2883억7140만원, 시설자금 1810억원 확보다. 포스코홀딩스는 유상증자에 100% 참여하기로 했다.
포스코퓨처엠이 유상증자를 발표하자 IB 업계에선 어느정도 예정된 수순이라는 반응이 나왔다. 작년 유상증자를 진행할 예정이었지만 그룹 수장이 6년 만에 교체되는 가운데 일정이 연기됐었기 때문이다. 다만 시점이 늦춰지면서 포스코그룹은 높아진 투자자 눈높이를 변수로 맞닥뜨리게 됐다. 금감원의 유상증자 중점심사 관문도 넘어야 한다.
포스코퓨처엠은 주주를 설득하기 위해 증권신고서에서 유상증자의 당위성을 강조하는 데 공을 들였다. 미중 관세전쟁이 벌어지는 가운데 중국 의존도를 줄이고 미국 진출을 확대하기 위해 유상증자를 실시한다고 강조했다.
포스코퓨처엠은 우선 중국 의존도를 줄이기 위해 유상증자로 조달하는 자금 중 2773억원을 구형흑연 국내 생산에 투입하겠다고 밝혔다. 구형흑연은 배터리 음극재의 핵심 원료지만, 전 세계 구형흑연은 대부분 중국에서 생산하고 있다는 설명이다. 포스코퓨처엠은 국내 생산능력을 확충해 천연흑연 전 공정에 대한 자체적인 공급망을 구축한다고 했다.
포스코퓨처엠은 미국 GM과 합작 설립하고 있는 캐나다 양극재 공장에도 3534억원을 출자하기로 했다. 내년 양산을 목표로 건설되고 있는 공장이다. 포스코퓨처엠은 “북미 생산 거점을 마련하면 현지 2차전지 소재 공급에서 우위를 선점할 수 있을 것”이라고 설명했다.
포스코퓨처엠은 전기차 배터리 시장 수요가 올해 말부터 회복하기 시작할 것이라고 전망했다. 포스코퓨처엠은 “시장조사기관에 따르면 올해 3월 기준 글로벌 전기차용 배터리 사용량은 작년 동기대비 38.8% 성장했다”며 “올해 하반기부터 2030년까지 연평균 20%의 높은 성장이 전망된다”고 강조했다.
포스코퓨처엠은 또 채권발행 대신 유상증자가 불가피한 상황이라고 강조했다. 1분기 말 부채비율이 139.02%로 2022년(74.96%)에 비해 급격히 높아진 상태여서다. 현재 포스코퓨처엠의 회사채 신용등급은 신용평가사 3곳으로부터 AA-를 받고 있다. 부채를 확대하면 신용등급에 부정적인 영향을 미칠 가능성이 높아 유상증자가 필수적이라는 게 회사 측 설명이다.
포스코퓨처엠의 이번 유상증자 할인율은 20%다. 삼성SDI와 한화에어로스페이스의 할인율(15%)보다 높다. 신주 발행가를 낮춰 넉넉한 수요를 확보하기 위한 전략으로 풀이된다.
유상증자 수수료는 모집총액의 0.3%인 33억원으로 책정됐다. 삼성SDI(0.3%), 한화에어로스페이스(0.25%)와 유사한 수준이다. 한국투자증권이 35%, KB증권이 30%, NH투자증권이 25%, 키움증권이 10%를 인수하는 만큼 각 증권사는 이 비율대로 수수료를 가져갈 예정이다.
포스코퓨처엠은 이날 4% 하락한 11만5300원에 정규장 거래를 마감했다. 전날 장 마감 후 유상증자 발표한 직후라는 점을 감안하면 선방했다는 평가다. 다만 전날 주가는 증자 발표 전 미리 8.93% 급락했다.
한 IB업계 관계자는 “포스코그룹이 2차전지 사업에 승부수를 걸었다”면서 “투자자와의 지속적인 소통 과정에서 증자 자금으로 성과를 낼 수 있는지에 관한 질문에 적절히 답할 수 있는지가 관건이 될 것”이라고 말했다.",유상증자
아시아투데이,"포스코퓨처엠, 공장 투자비·인건비 위해 1조1000억원유상증자추진",,,,,,,유상증자
이코노미사이언스,"[더벨]4년만에유상증자포스코퓨처엠, 키움증권 합류 눈길",,,,,,,유상증자
더벨,"주가 4% 급락 포스코퓨처엠, 대규모유상증자발표에 '찬물'",,,,,,,유상증자
조선비즈,[투자노트] 삼성·한화·포스코의 조단위유상증자,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001077211?sid=101,,조선비즈,[투자노트] 삼성·한화·포스코의 조단위 유상증자,"신한투자증권 “미래 투자 목적, 모회사 참여하는 유상증자는 긍정적”
자금 조달을 위해 조(兆) 단위 유상증자를 발표하는 기업들이 잇따르고 있다. 영업으로 버는 돈으론 부족해 추가로 자금을 마련한다는데 그 방법이 주식을 새로 발행하는 방법이라고 하니 당장 투자 심리는 얼어붙는다.
그 충격파가 상당해 한화에어로스페이스가 지난 3월 3조6000억원 규모의 유상증자를 발표했을 땐 정부와 정치권이 모두 주목했다. 삼성SDI의 1조7000억원 규모 유상증자와 포스코퓨처엠의 1조1000억원 유상증자 역시 금융감독원의 중점심사 대상이다.
대기업이 발표하는 수조원의 유상증자는 일견 주가에 부정적인 요인으로 보인다. 당장 유상증자 소식을 접한 투자자는 “재무 상태가 얼마나 안좋으면...” 하는 생각이 먼저 든다.
포스코퓨처엠 광양공장 전경./뉴스1
새로 주식을 발행한다니 기존 주주의 지분 가치는 희석될 수밖에 없다. 분명한 주가 하락 요인이다. 이는 수익 지표를 악화시키는 요인이기도 하다. 순이익은 동일한데 유상증자로 주식 수가 늘어나면 1주당 순이익은 떨어진다.
게다가 새로 발행되는 주식은 지금보다 낮은 가격에 발행된다. 새로 발행하는 주식에 대한 청약을 높이려면 기업으로서도 도리가 없다.
신한투자증권에 따르면 2015년부터 지난 10년간 주주배정·일반공모 방식으로 유상증자한 유가증권시장 상장사 302곳 중 65%가 공시 당일 주가가 하락했고, 공시 280일 이후 주가를 봐도 이전보다 낮았다.
하지만 유상증자는 장기 투자자의 새로운 투자 기회를 제공하기도 한다. 생각해 보자. 유상증자를 한데 싸잡아 주가에 ‘독’이라고 보는 것이 맞는지.
특히 제3자 배정 유상증자라면 얘기가 아주 달라진다. 특정 투자자가 해당 기업의 성장 가치를 인정했다는 신호로 해석되기도 하고, 다른 방식보다 자금 조달 속도가 빠르고 주가 할인 비율도 비교적 낮다.
꼭 3자 배정 방식이 아니라도, 자금 조달 목적이 미래의 성장을 위한 투자에 집중한 것이라면 유상증자를 나쁘게 볼 필요는 없다.
이재원 신한투자증권 연구원은 “과거 사례를 따져보니 유상증자 공시 이후 주가가 오히려 상승한, 이른바 ‘성공한 유상증자’의 조건은 유상증자의 목적이 단순 재무구조 개선이 아니라 생산 능력 확대, 연구개발(R&D) 비용 확보 등 미래를 위한 투자이거나 모회사가 유상증자에 참여하는 경우였다”라고 분석했다.
과거 유상증자를 발표한 기업 중 이 경우에 해당하는 사례는 2020년 포스코퓨처엠과 2021년 한화시스템이다. 최근 대규모 유상증자를 발표한 한화에어로스페이스와 삼성SDI, 포스코퓨처엠도 이 조건에 모두 부합한다.
삼성SDI의 경우 해외 공장과 국내 전고체 생산라인 구축을 위해 자금을 조달하는데 삼성전자가 참여한다. 한화에어로스페이스 역시 방산 기술 개발과 해외 생산설비 확충에 조달한 자금을 쓸 예정인데 한화가 함께 나선다. 국내외 공장 증설 용도로 자금을 조달하는 포스코퓨처엠 유상증자에는 포스코홀딩스가 참여한다.",유상증자
조선비즈,"줄 잇는 兆 단위유상증자… 주주들, 지분 희석에 분통",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001077211?sid=101,,조선비즈,[투자노트] 삼성·한화·포스코의 조단위 유상증자,"신한투자증권 “미래 투자 목적, 모회사 참여하는 유상증자는 긍정적”
자금 조달을 위해 조(兆) 단위 유상증자를 발표하는 기업들이 잇따르고 있다. 영업으로 버는 돈으론 부족해 추가로 자금을 마련한다는데 그 방법이 주식을 새로 발행하는 방법이라고 하니 당장 투자 심리는 얼어붙는다.
그 충격파가 상당해 한화에어로스페이스가 지난 3월 3조6000억원 규모의 유상증자를 발표했을 땐 정부와 정치권이 모두 주목했다. 삼성SDI의 1조7000억원 규모 유상증자와 포스코퓨처엠의 1조1000억원 유상증자 역시 금융감독원의 중점심사 대상이다.
대기업이 발표하는 수조원의 유상증자는 일견 주가에 부정적인 요인으로 보인다. 당장 유상증자 소식을 접한 투자자는 “재무 상태가 얼마나 안좋으면...” 하는 생각이 먼저 든다.
포스코퓨처엠 광양공장 전경./뉴스1
새로 주식을 발행한다니 기존 주주의 지분 가치는 희석될 수밖에 없다. 분명한 주가 하락 요인이다. 이는 수익 지표를 악화시키는 요인이기도 하다. 순이익은 동일한데 유상증자로 주식 수가 늘어나면 1주당 순이익은 떨어진다.
게다가 새로 발행되는 주식은 지금보다 낮은 가격에 발행된다. 새로 발행하는 주식에 대한 청약을 높이려면 기업으로서도 도리가 없다.
신한투자증권에 따르면 2015년부터 지난 10년간 주주배정·일반공모 방식으로 유상증자한 유가증권시장 상장사 302곳 중 65%가 공시 당일 주가가 하락했고, 공시 280일 이후 주가를 봐도 이전보다 낮았다.
하지만 유상증자는 장기 투자자의 새로운 투자 기회를 제공하기도 한다. 생각해 보자. 유상증자를 한데 싸잡아 주가에 ‘독’이라고 보는 것이 맞는지.
특히 제3자 배정 유상증자라면 얘기가 아주 달라진다. 특정 투자자가 해당 기업의 성장 가치를 인정했다는 신호로 해석되기도 하고, 다른 방식보다 자금 조달 속도가 빠르고 주가 할인 비율도 비교적 낮다.
꼭 3자 배정 방식이 아니라도, 자금 조달 목적이 미래의 성장을 위한 투자에 집중한 것이라면 유상증자를 나쁘게 볼 필요는 없다.
이재원 신한투자증권 연구원은 “과거 사례를 따져보니 유상증자 공시 이후 주가가 오히려 상승한, 이른바 ‘성공한 유상증자’의 조건은 유상증자의 목적이 단순 재무구조 개선이 아니라 생산 능력 확대, 연구개발(R&D) 비용 확보 등 미래를 위한 투자이거나 모회사가 유상증자에 참여하는 경우였다”라고 분석했다.
과거 유상증자를 발표한 기업 중 이 경우에 해당하는 사례는 2020년 포스코퓨처엠과 2021년 한화시스템이다. 최근 대규모 유상증자를 발표한 한화에어로스페이스와 삼성SDI, 포스코퓨처엠도 이 조건에 모두 부합한다.
삼성SDI의 경우 해외 공장과 국내 전고체 생산라인 구축을 위해 자금을 조달하는데 삼성전자가 참여한다. 한화에어로스페이스 역시 방산 기술 개발과 해외 생산설비 확충에 조달한 자금을 쓸 예정인데 한화가 함께 나선다. 국내외 공장 증설 용도로 자금을 조달하는 포스코퓨처엠 유상증자에는 포스코홀딩스가 참여한다.",유상증자
아주경제,코스피유상증자공모액 벌써 5.7兆…4년만에 최대 눈앞,,,,,,,유상증자
블로터,"포스코퓨처엠,유상증자카드 꺼낸 속사정은",네이버뉴스,https://n.news.naver.com/mnews/article/293/0000067376?sid=101,,블로터,"포스코퓨처엠, 유상증자 카드 꺼낸 속사정은","포스코퓨처엠 광양 양극재 공장 /사진 제공=포스코퓨처엠
포스코퓨처엠이 1조1000억원 규모의 유상증자 카드를 꺼내 들었다. 단순한 유동성 확보 차원을 넘어 차입 구조의 한계와 신용등급 하향 압력을 동시에 완화하기 위한 복합적 전략이 작용한 조치다. 특히 신용평가사의 정기평가가 임박한 상황에서 추가 차입은 되레 신용등급 강등을 자초할 수 있는 위험요소였다. 자본 확충 외엔 실질적인 선택지가 없었다는 점에서 이번 유상증자는 포스코퓨처엠의 최선책으로 평가받는다.
한계 이른 차입 여력, 빚 대신 자본 선택했다
포스코퓨처엠은 일찍이 추가 자금조달의 필요성을 시사했다. 포스코홀딩스는 올 4월 열린 1분기 실적발표 컨퍼런스콜에서 ""포스코퓨처엠의 재무구조와 자금 상황을 종합적으로 검토해 적절한 증자와 추가 차입 등 자금조달 방법과 시기를 결정할 계획""이라며 증자 가능성을 내비쳤다. 이후 제출된 증권신고서에서는 ""유상증자, 금융기관 차입, 회사채·신종자본증권 발행, 보유자산 매각 등 다양한 조달 방안을 검토했다""는 문구도 포함됐다.
그렇다면 왜 차입 또는 회사채가 아닌 주주배정 증자를 택했을까. 이유는 간단하다. 지금은 '더 빌릴 수 없는 구조'이기 때문이다. 현금흐름은 둔화됐고 차입 여력은 바닥에 다다랐다.
2021년까지만 해도 무차입에 가까운 재무구조를 유지했던 포스코퓨처엠은 2차전지 소재 사업에 본격적으로 나선 이후 공격적 투자로 노선을 바꿨다. 올해 1분기 기준 장기차입금은 1조6300억원으로 2021년 대비 무려 9배 가까이 급증했다. 전체 총차입금은 3조7475억원, 순차입금은 3조2876억원에 달한다. 이는 직전 분기 대비 각각 15.1%, 9.5%씩 증가한 수치다.
차입 확대는 자연스럽게 재무비율 전반에 압박을 가했다. 부채비율은 2021년 말 60%대에서 2025년 1분기 말 139%까지 상승했다. 차입금 의존도 역시 같은 기간 28.1%에서 46.1%로 치솟았다. 현금성 자산도 2024년 말 6442억원에서 올해 1분기 4448억원으로 불과 3개월여 만에 31% 감소하며 유동성 커버리지가 약화됐다.
이 모든 수치들은 단순히 빚이 늘었다는 의미를 넘어 포스코퓨처엠이 자체 현금창출력만으로는 투자 속도를 유지하기 어려운 구조적 한계에 도달했다는 신호로 읽힌다. 실제로 한국신용평가는 이같은 재무지표의 흐름을 ""신용도 하방 압력을 가중시키는 구조""로 분석했다. 포스코퓨처엠의 순차입금/EBITDA 배율은 올해 1분기 기준 11.8배를 기록하고 있다. 신용등급 하향 가능성 기준인 4배를 크게 상회하는 수치다.
재무적 압박은 실적 부진과 맞물리며 한층 심화됐다. 글로벌 전기차 시장의 캐즘(일시적 수요둔화) 현상으로 배터리 수요가 급감하면서 실적은 크게 흔들렸다. 2024년 연결 매출은 3조7000억원으로 전년 대비 22% 감소했고 2000억원대 순손실로 적자 전환했다. 영업이익도 98% 급감한 7억원에 그쳤다. 올해 1분기에도 영업이익이 전년 동기 대비 영업이익이 54.6% 감소하는 등 수익성 부진이 이어졌다.
대규모 설비투자가 병행되면서 자금 압박은 커졌다. 이 상태에서 차입을 추가로 일으킬 경우 앞서 신용등급 하향 리스크는 현실이 된다. 단지 '금리 몇 % 올라간다'는 문제가 아니다. 포스코퓨처엠이 글로벌 완성차제조사(OEM)와 맺은 장기계약 조건에도 영향을 줄 수 있는 신뢰성과도 직결된다. 이번 증자는 글로벌 고객사와의 계약 신뢰도 방어에도 효과가 있다는 판단이다.
'신용의 문턱'서 띄운 초강수
이번 유상증자가 불가피했던 또 다른 배경으로는 '신용평가사의 정기평가 시점이 임박했다'는 점이 꼽힌다. 신용평가사들은 통상 6∼7월에 기업 신용도를 정기 평가를 실시한다. 포스코퓨처엠은 올해 초부터 핵심 재무지표 다수가 하향 조정 기준에 도달한 상태였다.
한국신용평가는 하향 검토 기준으로 영업이익률 5% 미만, 순차입금/EBITDA 4배 초과를 제시하고 있다. 포스코퓨처엠은 2023년부터 해당 요건에 모두 부합했다. 나이스신용평가 역시 총차입금/EBITDA 8배 초과를 하향 기준으로 설정하고 있다. 이 역시 2023년부터 초과 상태였다. 실질적으로 하향 트리거를 밟고 있었던 것이다.
이처럼 신용등급 하락 가능성이 눈앞에 다가오면서 회사채 발행이나 금융기관 차입 같은 차입형 조달 수단은 점점 좁아졌다. 채무 조달이 오히려 신용등급 하락을 가속화할 수 있는 역설적 상황인만큼 '자본 확충'이라는 수단 외에는 선택지가 남아 있지 않았다.
/자료=한국신용평가
유상증자가 계획대로 완료되면 포스코퓨처엠은 부채비율을 100% 초반대로 낮추고 장기적으로는 추가 차입 여력까지 회복할 수 있게 된다. 순차입금/EBITDA는 7.9배로 낮아지고 부채비율도 139%에서 105.1%로 개선될 전망이다. 레버리지를 일정 수준 해소함으로써 신용등급 강등 가능성을 일부 했다.  더 이상 물러설 수 없는 시점에서 꺼낸 주주배정 증자 유상증자 카드는 결국 포스코퓨처엠이 신용과 투자의 기로에서 택할 수 있었던 최선책이었던 셈이다.",유상증자
블로터,"차입 대신 유증 택한 포스코퓨처엠…""향후 실적이 관건'",네이버뉴스,https://n.news.naver.com/mnews/article/293/0000067376?sid=101,,블로터,"포스코퓨처엠, 유상증자 카드 꺼낸 속사정은","포스코퓨처엠 광양 양극재 공장 /사진 제공=포스코퓨처엠
포스코퓨처엠이 1조1000억원 규모의 유상증자 카드를 꺼내 들었다. 단순한 유동성 확보 차원을 넘어 차입 구조의 한계와 신용등급 하향 압력을 동시에 완화하기 위한 복합적 전략이 작용한 조치다. 특히 신용평가사의 정기평가가 임박한 상황에서 추가 차입은 되레 신용등급 강등을 자초할 수 있는 위험요소였다. 자본 확충 외엔 실질적인 선택지가 없었다는 점에서 이번 유상증자는 포스코퓨처엠의 최선책으로 평가받는다.
한계 이른 차입 여력, 빚 대신 자본 선택했다
포스코퓨처엠은 일찍이 추가 자금조달의 필요성을 시사했다. 포스코홀딩스는 올 4월 열린 1분기 실적발표 컨퍼런스콜에서 ""포스코퓨처엠의 재무구조와 자금 상황을 종합적으로 검토해 적절한 증자와 추가 차입 등 자금조달 방법과 시기를 결정할 계획""이라며 증자 가능성을 내비쳤다. 이후 제출된 증권신고서에서는 ""유상증자, 금융기관 차입, 회사채·신종자본증권 발행, 보유자산 매각 등 다양한 조달 방안을 검토했다""는 문구도 포함됐다.
그렇다면 왜 차입 또는 회사채가 아닌 주주배정 증자를 택했을까. 이유는 간단하다. 지금은 '더 빌릴 수 없는 구조'이기 때문이다. 현금흐름은 둔화됐고 차입 여력은 바닥에 다다랐다.
2021년까지만 해도 무차입에 가까운 재무구조를 유지했던 포스코퓨처엠은 2차전지 소재 사업에 본격적으로 나선 이후 공격적 투자로 노선을 바꿨다. 올해 1분기 기준 장기차입금은 1조6300억원으로 2021년 대비 무려 9배 가까이 급증했다. 전체 총차입금은 3조7475억원, 순차입금은 3조2876억원에 달한다. 이는 직전 분기 대비 각각 15.1%, 9.5%씩 증가한 수치다.
차입 확대는 자연스럽게 재무비율 전반에 압박을 가했다. 부채비율은 2021년 말 60%대에서 2025년 1분기 말 139%까지 상승했다. 차입금 의존도 역시 같은 기간 28.1%에서 46.1%로 치솟았다. 현금성 자산도 2024년 말 6442억원에서 올해 1분기 4448억원으로 불과 3개월여 만에 31% 감소하며 유동성 커버리지가 약화됐다.
이 모든 수치들은 단순히 빚이 늘었다는 의미를 넘어 포스코퓨처엠이 자체 현금창출력만으로는 투자 속도를 유지하기 어려운 구조적 한계에 도달했다는 신호로 읽힌다. 실제로 한국신용평가는 이같은 재무지표의 흐름을 ""신용도 하방 압력을 가중시키는 구조""로 분석했다. 포스코퓨처엠의 순차입금/EBITDA 배율은 올해 1분기 기준 11.8배를 기록하고 있다. 신용등급 하향 가능성 기준인 4배를 크게 상회하는 수치다.
재무적 압박은 실적 부진과 맞물리며 한층 심화됐다. 글로벌 전기차 시장의 캐즘(일시적 수요둔화) 현상으로 배터리 수요가 급감하면서 실적은 크게 흔들렸다. 2024년 연결 매출은 3조7000억원으로 전년 대비 22% 감소했고 2000억원대 순손실로 적자 전환했다. 영업이익도 98% 급감한 7억원에 그쳤다. 올해 1분기에도 영업이익이 전년 동기 대비 영업이익이 54.6% 감소하는 등 수익성 부진이 이어졌다.
대규모 설비투자가 병행되면서 자금 압박은 커졌다. 이 상태에서 차입을 추가로 일으킬 경우 앞서 신용등급 하향 리스크는 현실이 된다. 단지 '금리 몇 % 올라간다'는 문제가 아니다. 포스코퓨처엠이 글로벌 완성차제조사(OEM)와 맺은 장기계약 조건에도 영향을 줄 수 있는 신뢰성과도 직결된다. 이번 증자는 글로벌 고객사와의 계약 신뢰도 방어에도 효과가 있다는 판단이다.
'신용의 문턱'서 띄운 초강수
이번 유상증자가 불가피했던 또 다른 배경으로는 '신용평가사의 정기평가 시점이 임박했다'는 점이 꼽힌다. 신용평가사들은 통상 6∼7월에 기업 신용도를 정기 평가를 실시한다. 포스코퓨처엠은 올해 초부터 핵심 재무지표 다수가 하향 조정 기준에 도달한 상태였다.
한국신용평가는 하향 검토 기준으로 영업이익률 5% 미만, 순차입금/EBITDA 4배 초과를 제시하고 있다. 포스코퓨처엠은 2023년부터 해당 요건에 모두 부합했다. 나이스신용평가 역시 총차입금/EBITDA 8배 초과를 하향 기준으로 설정하고 있다. 이 역시 2023년부터 초과 상태였다. 실질적으로 하향 트리거를 밟고 있었던 것이다.
이처럼 신용등급 하락 가능성이 눈앞에 다가오면서 회사채 발행이나 금융기관 차입 같은 차입형 조달 수단은 점점 좁아졌다. 채무 조달이 오히려 신용등급 하락을 가속화할 수 있는 역설적 상황인만큼 '자본 확충'이라는 수단 외에는 선택지가 남아 있지 않았다.
/자료=한국신용평가
유상증자가 계획대로 완료되면 포스코퓨처엠은 부채비율을 100% 초반대로 낮추고 장기적으로는 추가 차입 여력까지 회복할 수 있게 된다. 순차입금/EBITDA는 7.9배로 낮아지고 부채비율도 139%에서 105.1%로 개선될 전망이다. 레버리지를 일정 수준 해소함으로써 신용등급 강등 가능성을 일부 했다.  더 이상 물러설 수 없는 시점에서 꺼낸 주주배정 증자 유상증자 카드는 결국 포스코퓨처엠이 신용과 투자의 기로에서 택할 수 있었던 최선책이었던 셈이다.",유상증자
