press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
세계일보,"울릉군, 2025년인구감소지역시장·군수·구청장 정책간담회 참석",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004064387?sid=102,,세계일보,"울릉군, 2025년 인구감소지역 시장·군수·구청장 정책간담회 참석","지방살리기 상생 자매결연 업무협약 체결 등
경북 울릉군은 지난 29일 세종컨벤션센터에서  ‘2025년 인구감소지역 시장군수구청장 정책간담회’에 참석, 행정안전부와 지방살리기 상생 자매결연 업무협약을 체결했다고 31일 밝혔다.
울릉군은 지난 29일 세종컨벤션센터에서  ‘2025년 인구감소지역 시장군수구청장 정책간담회’에 참석, 행정안전부와 지방살리기 상생 자매결연 업무협약을 체결한 가운데 기념촬영을 하고 있다. 울릉군 제공
이날 정책간담회에는 행정안전부 장관 및 차관, 대통령실 자치발전비서관 등을 비롯해 전국 89개 인구감소지역 단체장이 참석해 △인구감소지역 건의서 전달 △업무협약(상생 자매결연, 행안부-인구감소지역-한국철도공사-쏘카) 및 세레머니, 정책토론을 실시했다.
이번 간담회를 통해 2025년 인구감소지역 주요정책을 기반으로 정부와 인구감소지역 지자체간 소통을 강화하고 인구감소 위기 대응을 위한 지역발전과 공동 대응체계 강화 등 다양한 방안을 의논하는 등 인구감소지역 발전을 위해 나아가기로 했다.
특히 남한권 울릉군수는 간담회에서 “의료취약지 도서지역인 울릉군의 봉직의 인건비 지원 필요성”을 건의하며, 지역 의료기반 확충이 지방소멸 위기 대응의 핵심 과제임을 강조했다.
아울러, 울릉군 등 8개 시군은 지역살리기 상생 자매결연 업무협약식을 통해 행정안전부와 지방살리기 상생발전을 도모하고, 내수경기 회복과 지역활력 제고를 위해 협력의 동반자로서 상호 공동협력하기로 했다.
울릉군은 지난 29일 세종컨벤션센터에서 ‘2025년 인구감소지역 시장군수구청장 정책간담회’에 참석, 행정안전부와 지방살리기 상생 자매결연 업무협약을 체결한 가운데 남한권 군수가 인사말을 하고 있다.
이번 협약을 통해 울릉군과 행안부 간 교류·협업도 더욱 활성화 될 전망이다.
남한권 군수는 “이번 정책간담회와 자매결연 협약은 인구감소지역의 현실적 문제 해결과 울릉군의 인구정책 발전을 위한 뜻깊은 계기”라며 “앞으로도 울릉도의 생활인구 유입과 지역경제 활성화를 위해 최선을 다하겠다”고 밝혔다.",인구감소지역
세계일보,"울릉군,인구감소 지역정책 간담회 참석",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004064387?sid=102,,세계일보,"울릉군, 2025년 인구감소지역 시장·군수·구청장 정책간담회 참석","지방살리기 상생 자매결연 업무협약 체결 등
경북 울릉군은 지난 29일 세종컨벤션센터에서  ‘2025년 인구감소지역 시장군수구청장 정책간담회’에 참석, 행정안전부와 지방살리기 상생 자매결연 업무협약을 체결했다고 31일 밝혔다.
울릉군은 지난 29일 세종컨벤션센터에서  ‘2025년 인구감소지역 시장군수구청장 정책간담회’에 참석, 행정안전부와 지방살리기 상생 자매결연 업무협약을 체결한 가운데 기념촬영을 하고 있다. 울릉군 제공
이날 정책간담회에는 행정안전부 장관 및 차관, 대통령실 자치발전비서관 등을 비롯해 전국 89개 인구감소지역 단체장이 참석해 △인구감소지역 건의서 전달 △업무협약(상생 자매결연, 행안부-인구감소지역-한국철도공사-쏘카) 및 세레머니, 정책토론을 실시했다.
이번 간담회를 통해 2025년 인구감소지역 주요정책을 기반으로 정부와 인구감소지역 지자체간 소통을 강화하고 인구감소 위기 대응을 위한 지역발전과 공동 대응체계 강화 등 다양한 방안을 의논하는 등 인구감소지역 발전을 위해 나아가기로 했다.
특히 남한권 울릉군수는 간담회에서 “의료취약지 도서지역인 울릉군의 봉직의 인건비 지원 필요성”을 건의하며, 지역 의료기반 확충이 지방소멸 위기 대응의 핵심 과제임을 강조했다.
아울러, 울릉군 등 8개 시군은 지역살리기 상생 자매결연 업무협약식을 통해 행정안전부와 지방살리기 상생발전을 도모하고, 내수경기 회복과 지역활력 제고를 위해 협력의 동반자로서 상호 공동협력하기로 했다.
울릉군은 지난 29일 세종컨벤션센터에서 ‘2025년 인구감소지역 시장군수구청장 정책간담회’에 참석, 행정안전부와 지방살리기 상생 자매결연 업무협약을 체결한 가운데 남한권 군수가 인사말을 하고 있다.
이번 협약을 통해 울릉군과 행안부 간 교류·협업도 더욱 활성화 될 전망이다.
남한권 군수는 “이번 정책간담회와 자매결연 협약은 인구감소지역의 현실적 문제 해결과 울릉군의 인구정책 발전을 위한 뜻깊은 계기”라며 “앞으로도 울릉도의 생활인구 유입과 지역경제 활성화를 위해 최선을 다하겠다”고 밝혔다.",인구감소지역
데일리한국,"울릉군,인구감소지역시장·군수·구청장 정책간담회 참석",,,,,,,인구감소지역
아시아경제,"울릉군,인구감소지역상생 자매결연 협약 체결",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005644479?sid=102,,아시아경제,"울릉군,  인구감소지역 시장·군수·구청장 정책간담회 참석","지방살리기 상생 자매결연 업무협약 체결
경북 울릉군은 29일 '2025년 인구감소지역 시장군수구청장 정책간담회'에 참석해 세종컨벤션센터 4층 대연회장에서 행정안전부와 지방살리기 상생 자매결연 업무협약을 체결했다.
이날 정책간담회에는 행정안전부 장관·차관, 대통령실 자치발전비서관 등을 비롯해 전국 89개 인구감소지역 단체장이 참석해 △인구감소지역 건의서 전달 △업무협약(상생 자매결연, 행안부-인구감소지역-한국철도공사-쏘카)과 세레머니, 정책토론을 실시했다.
이번 간담회를 통해 '25년 인구감소지역 주요 정책을 기반으로 정부와 인구감소지역 지방자치단체 간 소통을 강화하고 인구감소 위기 대응을 위한 지역발전과 공동 대응체계 강화 등 다양한 방안을 의논하며 인구감소지역 발전을 위해 나아가기로 했으며, 특히 남한권 울릉군수는 간담회에서 ""의료취약지 도서 지역인 울릉군의 봉직의 인건비 지원 필요성""을 건의하며, 지역 의료기반 확충이 지방소멸 위기 대응의 핵심 과제임을 강조했다.
아울러, 울릉군 외 8개 시군은 지역살리기 상생 자매결연 업무협약식을 통해 행정안전부와 지방살리기 상생발전을 도모하고, 내수경기 회복과 지역활력 제고를 위해 협력의 동반자로서 상호 공동협력하기로 했다.
이번 협약을 통해 울릉군과 행안부 간 교류·협업도 더욱 활성화될 전망이다.
남한권 군수는 ""이번 정책간담회와 자매결연 협약은 인구감소지역의 현실적 문제 해결과 울릉군의 인구정책 발전을 위한 뜻깊은 계기""라며 ""앞으로도 울릉도의 생활인구 유입과 지역경제 활성화를 위해 최선을 다해 노력하겠다""고 말했다.
울릉군청.",인구감소지역
경북일보,"울릉군,인구감소 지역시장·군수 정책간담회 참석 …'의료 기반 확충...",,,,,,,인구감소지역
강원도민일보,2029년 아동수당 11세까지 확대…비수도권·인구감소지역추가 지급,네이버뉴스,https://n.news.naver.com/mnews/article/654/0000139263?sid=100,,강원도민일보,2029년 아동수당 11세까지 확대…비수도권·인구감소지역 추가 지급,"기재부 5년 국가재정운용계획 공개
노인일자리 확대, 지자체 주도사업 전환
문화콘텐츠·식품 등 분야 중점 지원
▲ 강원도민일보 자료 사진
기획재정부는 최근 발표한 2025∼2029년 국가재정운용계획에서 이런 내용의 5년간 청사진을 담아 지표로 본 2029년 모습을 공개했다.
31일 정부에 따르면 아동수당 지급 연령은 해마다 높여 오는 2029년에 11세로 확대된다.
정부는 2026년 예산안에서 아동수당 지급 연령을 현재 7세 이하에서 내년 8세 이하로 확대했다. 대상자는 총 49만7000명이 늘어날 예정이다.
기본 월 10만원이며 비수도권은 5000원, 인구감소지역은 1만원(우대지역) 또는 2만원(특별지역)이 추가된다. 이후 2027년 9세, 2028년 10세, 2029년 11세 등으로 1세씩 높아진다.
노인 일자리는 올해 110만명에서 내년 115만명으로 확대하며, 2029년에는 125만명 수준까지 늘릴 예정이다. 정부는 노인 일자리를 지방자치단체 주도 사업으로 전환한다.
한류에 힘입어 급성장 중인 문화콘텐츠·식품 등 분야도 중점 지원한다.
정부는 문화콘텐츠 산업 매출 규모는 지난 2023년 154조원 수준에서 2029년 215조원 수준으로, K-푸드 수출실적은 105억달러에서 140억달러로 확대하겠다고 밝혔다.
대중교통비 경감을 위한 K-패스 제도도 정비된다. 정부는 K-패스 정액권과 어르신 유형 신설로 올해 246만명 수준인 K- 패스 가입자를 2029년까지 500만명으로 늘릴 예정이다.
교육 분야에서는 지역전략산업과 연계해 거점 국립대를 지-산-학-연(지역-산업-대학-연구) 협력의 허브로 육성한다.
2029년까지 세계대학평가 200위권 내의 거점국립대를 집중 육성 분야 전공에서 총 3개 육성하겠다는 목표도 수립했다.
첨단분야 대학 교육과정을 산업계 수요에 맞춰 혁신할 수 있도록, 단기 집중교육부터 전공 과정까지 지원 분야와 투자를 확대할 예정이다. 첨단산업 인재양성 부트캠프(단기집중 프로그램) 인원은 올해 4550명 수준에서 2029년 누적 3만4590명으로 늘린다는 목표다.
국방 분야는 현재 복잡한 국방무기 획득 체계 혁신을 통해 인공지능(AI) 기반 최첨단 무기체계의 신속한 개발을 지원한다. 국방 연구개발(R&D) 혁신을 통해 첨단 군대 전환을 지원한다.
군 급식 질을 높이기 위해 군 급식단가는 올해 하루 1만3000원 수준에서 2029년 하루 1만4000원 수준으로 끌어올리고, 장병 AI 소양 교육 이수자는 올해 3만명에서 2029년에는 전 장병 47만명이 이수하도록 할 예정이다.
국방비 가운데 방위력 개선비 비중은 2025년 29.1%에서 2029년 30.4%로 확대한다. 방위력 개선비란 신규 전력 확보를 위한 무기 구입, 개발 비용을 말한다.
정부는 내년도 예산안에서 군사력 건설을 위한 방위력 개선비를 올해보다 13.0％ 증가한 20조1744억원으로 편성했다.",인구감소지역
KBS,인구감소지역‘빈집 정비 표준화’ 공동 대응,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012019681?sid=101,,KBS,인구감소지역 ‘빈집 정비 표준화’ 공동 대응,"[KBS 청주] [앵커]
인구가 줄어드는 농촌에서는 빈집이 골칫거리인데요.
소멸 위기에 놓인 자치단체들이 이런 빈집을 지역 자산으로 활용하기 위해 나섰습니다.
조진영 기자가 보도합니다.
[리포트]
수도권 직장에서 20년 넘게 근무하다 지난해 귀농한 유창홍 씨.
자치단체에서 빈집을 수리해 내놓은 주택에 살고 있습니다.
임시 주거가 끝나는 내년에는 완전한 정착을 준비하고 있습니다.
[유창홍/귀농 2년차 : ""인구소멸지역이다 보니까 (주민들이) 많이 대화하는 걸 배고파하세요. 대화를 하면 너무나 적극적으로 알려주시려고 하고요.""]
하지만 정비된 빈집은 극소수에 불과합니다.
근처의 다른 마을입니다.
이 집은 집주인이 세상을 떠난 뒤 10년 넘게 방치돼 있습니다.
이 마을 주택 30여 채 가운데 6채가 이런 빈집입니다.
[이의식/괴산군 청안면 조천2리 이장 : ""승계해서 등기 이전을 한 사람은 조금 나은데, 등기 이전을 안 한 사람은 형제들끼리 다툼도 있고…. 그런 관계로 방치되는 집도 많아요.""]
갖은 노력에도 문제가 커지자 전국의 인구소멸지역 자치단체들이 빈집 활용 방안을 표준화하고 함께 대응하기로 했습니다.
먼저, 빈집별로 노후도와 입지 등을 점수화하고, 활용 목적을 유형별로 분류하는 안을 마련했습니다.
빈집을 관리하면 세금을 깎아주고 방치하면 세금을 부과하는 조세 개편 방안도 포함됐습니다.
[이자은/대전세종연구원 연구위원 : ""소유자 관련해서 항상 어려움을 겪고 계시더라고요. 그래서 일단 '소유자 불명 빈집에 대한 자치단체의 관리 권한 부여'를 제도 개편안의 첫 번째로 (제안했습니다).""]
충북 11개 시·군 가운데 인구 감소 위기에 놓인 지역은 제천과 단양, 괴산, 보은, 옥천, 영동으로 전체의 절반이 넘는 6곳.
체계적인 빈집 정비 방안이 인구 소멸을 막는데 제 역할을 할지 관심이 쏠리고 있습니다.
KBS 뉴스 조진영입니다.
촬영기자:김현기",인구감소지역
충청일보,인구감소지역협의회 - 행정안전부 정책간담회 개최,,,,,,,인구감소지역
충청일보,"인구감소지역협의회, 행정안전부 정책간담회 개최",,,,,,,인구감소지역
금강일보,"인구감소지역협의회, 정부에 32건 건의",,,,,,,인구감소지역
