press,title,naver_news_text,naver_news_url,body
세계일보,"한미, 이번주 ‘2+2’관세협상",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004029203?sid=101,
세계일보,한·미관세협상 24일 본격 시작,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004029203?sid=101,
한국경제,한미 '2+2 고위급회담' …관세협상 분수령,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005121521?sid=101,
매일경제,"한미 재무·통상수장 '2+2 회담' 개최…""조선·에너지·알래스카 논의""",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005479424?sid=101,
머니투데이,한미 2+2관세협상···통상·안보 분리 대응,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005183049?sid=101,
연합뉴스,관세·해운·코로나19 기원…對중국 압박전선 넓히는 트럼프,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015339982?sid=104,
연합뉴스,관세·해운·코로나19 기원…대중국 압박 전선 넓히는 트럼프,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015339982?sid=104,
헤럴드경제,한미관세협상 이번주 스타트…트럼프 직접 등판할까,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002459804?sid=101,
헤럴드경제,한미 2+2관세협상 다음 주 개최 확정…핵심 의제는,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002459804?sid=101,
뉴시스,"구글 지도 반출, '관세카드'로 허용 기류?…내달 결정될 듯",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013193859?sid=105,
아시아경제,"韓대행, 대선출마 여부에 ""아직 결정하지 않아…노코멘트""",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005580652?sid=100,
시사저널,"관세폭탄의 표적, 결국 중국이었다 [김학균의 시장읽기]",네이버뉴스,https://n.news.naver.com/mnews/article/586/0000101771?sid=101,
한국경제,"""관세위기, 美 생산으로 돌파…중남미서 의류 수직계열화 눈앞""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005121492?sid=101,
서울경제,"트럼프관세에 美증시 전망 '곤두박질'…월가 ""中필수재로 갈아타라""",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004476117?sid=104,
서울경제,美증시 덮친관세…월가 “亞 필수소비재로 갈아타라”,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004476117?sid=104,
세계일보,"中 버티기에… 美, 해운·‘코로나 기원설’까지 압박 수단 총동원 [관...",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004029210?sid=104,
조선비즈,ASML·엔비디아도 타격… 반도체 실적에 ‘관세전쟁’ 본격 반영,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001070727?sid=105,
조선비즈,엔비디아·ASML도 휘청…반도체 실적에관세전쟁 본격 반영 온다,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001070727?sid=105,
