press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,韓美 '7월 패키지' 도출 수 싸움 본격화…관세·투자·환율 등 실무 협의,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013215022?sid=101,,뉴시스,韓美 '7월 패키지' 도출 수 싸움 본격화…관세·투자·환율 등 실무 협의,"통상실무협의 대표단 30일 출국…작업반 구성 등 논의
6~7개 작업반 구성 및 협의 의제 설정 후 장관급 협의
통상전문가 ""국익 우선해 긴호흡으로 협상 진행해야""
[서울=뉴시스] 최상목 부총리 겸 기획재정부 장관이 24일(현지 시간) 미국 워싱턴D.C. 주미대사관에서 안덕근 산업통상자원부 장관과 함께 한-미 2+2 통상협의(Trade Consultation) 관련 합동브리핑을 하고 있다. (사진=기획재정부 제공) 2025.04.25. photo@newsis.com *재판매 및 DB 금지
[세종=뉴시스]김동현 기자 = 지난 24일 미국에서 진행된 한·미 2+2 통상 협의'에 이어 이번주부터 관세·비관세조치, 경제안보, 투자협력, 통화정책 등 4개 분야를 중심으로 한 실무협의가 본격화된다.
통화정책의 경우 기획재정부와 미국 재무부간 별도의 논의를 진행하고 ▲관세·비관세조치 ▲경제안보 ▲투자협력 등 3개 분야에 대해 6~7개 작업반을 구성해 실무협의를 하고 장관급 협의를 거치면서 완성도를 높인다는 구상이다.
양국은 실무 협의를 진행하되 미국의 상호관세 유예 조치가 만료되는 7월 8일까지 관세 폐지를 목적으로 협상을 진행한다는 방침이다. 이에 대해 일각에서는 조급한 협상을 통한 결론보다 긴 호흡으로 협상에 임해야 한다고 강조했다.
30일 산업통상자원부에 따르면 한미 양국은 지난 24일(현지시간) '한·미 2+2 통상 협의'와 제이미슨 그리어 무역대표부(USTR) 대표와의 양자 면담을 통해 7월 8일까지 관세 폐지를 목적으로 한 '7월 패키지(July Package)'를 마련하기로 했다.
산업부는 통화정책을 제외한 3개 분야에 대해 미국과 협상을 진행할 예정이며 장성길 통상정책국장을 수석대표로 하는 한미 통상 실무협의 정부 대표단을 미국에 보내 향후 어떤 작업반을 만들어 어떤 분야를 다룰 지 논의한다는 방침이다.
산업부는 관세·비관세, 경제안보, 투자협력 등 3개 분야에서 각각 2~3개 작업반을 두고 각 작업반에는 관계 부처들이 대거 참여하는 방식으로 미국과의 협상을 진행하고 다음달 중순 장관급 협의를 통해 협의를 진전시킨다는 계획이다.
관세·비관세는 국가별 상호관세와 자동차, 철강·알루미늄에 부과된 품목별 관세를 묶어서 논의하는 작업반과 배출가스 관련 부품 규제, 30개월 미만 쇠고기만 수입 허용 등 비관세 장벽을 논의하는 작업반으로 세분화하는 방안이 거론된다.
[서울=뉴시스] 김금보 기자 = 최상목 경제부총리 겸 기획재정부 장관과 안덕근 산업통상자원부 장관이 24일(현지시간) 미국 워성턴D.C. 재무부에서 열린 '한-미 2+2 통상협의(Trade Consultation)'에서 스콧 베센트 미국재무장관, 제이미슨 그리어 미국무역대표부(USTR) 대표와 회의를 하고 있다. (사진=기재부 제공) 2025.04.24. photo@newsis.com *재판매 및 DB 금지
경제안보 작업반에서는 주한미군 방위비 분담금 증액을 비롯해 반도체·배터리 공급망과 핵심광물 공급망 안정화, 대중국 견제를 위한 수출통제 등 무역정책, 청정에너지 협력 등 다양한 분야에 걸쳐 논의를 진행할 수 있다는 예상이다.
투자협력은 액화천연가스(LNG) 수입 확대, 조선업 협력, 알래스카 가스 개발 사업 참여가 주요 의제로 테이블에 오를 전망이다. LNG 수입과 조선업 협력의 경우 그동안 미국과 공감대를 이뤄온 만큼 협상이 빠르게 이뤄질 공산이 크다.
알래스카 가스 개발 사업 참여는 우리나라 차기 정부가 6월에 공식 출범한다는 것을 고려해 앞서 진행된 한·미 2+2 통상 협의에서 유보 입장을 밝힌 만큼 작업반 의제로 오를 수는 있지만 본격적인 논의는 후순위로 밀릴 것으로 관측된다.
장성길 산업부 통상정책국장은 ""이번 기술협의를 통해 미국의 관세조치 관련 협의의 윤곽을 확정할 예정""이라며 ""국익을 최우선하는 방향으로 기술협의 등에 적극 참여함으로써 상호관세 및 자동차·철강 등 품목관세, 향후 부과될 신규 관세 일체에 대한 면제를 요청해 우리 기업의 피해를 최소화하기 위해 노력하겠다""고 밝혔다.
통상전문가들은 한미 통상협의 의제 중 상호관세와 품목별 관세 논의 방식에 대해 다양한 의견을 냈다. 우리나라의 경우 미국과의 협상을 빠르게 진행하는 것보다 일본 등 다른 나라의 관세 협상을 지켜보면서 긴 호흡으로 협상을 진행하는 것이 바람직하다는 목소리도 나왔다.
백철우 덕성여대 국제통상학과 교수는 ""상호관세와 품목별 관세는 협상의 흐름이 다를 수 있다. 상호관세와 품목별 관세를 별도로 협상하는 것도 좋은 방법""이라며 ""자동차와 철강에 부과된 품목별 관세로 미국 소비자들도 힘들어서 이 부분은 낮출 수 있는 여지가 있는 만큼 품목별 관세를 분리해서 빨리 협상하는 것이 유리할 것""이라고 전했다.
서진교 GSnJ 인스티튜트 원장은 ""한미간 관세 협상에서 초조한 국가는 오히려 미국""이라며 ""고율의 관세를 부과로 미국 물가가 올라가기 시작하고 있는 만큼 미국이 협상을 빨리 진행하고 싶어하고 초조한 상황인 만큼 일본과 대만의 관세 협상을 지켜보면서 상호관세와 품목별 관세를 한 테이블에 올려놓고 협상에 임하는 것이 유리할 수 있다""고 말했다.
이홍배 동의대 무역학과 교수는 ""미국과 진행하는 과정에서 가장 중요한 것은 기업이다. 모든 것을 기업의 측면에 맞춰서 협상을 진행할 필요가 있다""며 ""상호관세는 전체적으로 테이블에 올려놓고 협상을 진행하는 것이 좋고 품목별 관세의 경우 기업의 손해를 고려해서 25% 관세를 낮추는 협상을 빨리 진행하는 것도 좋은 방법""이라고 조언했다.
주요 20개국(G20) 재무장관회의 및 국제통화금융위원회(IMFC)'에 참석차 미국 워성턴D.C.를 방문중인 최상목 부총리 겸 기획재정부 장관이 안덕근 산업통상자원부 장관과 함께 24일(현지시간) 미국 재무부에서 열린 '한-미 2+2 통상협의(Trade Consultation)' 참석, 스콧 베센트 미국재무장관, 제이미슨 그리어 미국무역대표부(USTR) 대표와 회의 시작에 앞서 기념사진을 찍고 있다.(사진 : 기재부 제공) 2025.4.24. *재판매 및 DB 금지",상호관세(관세부과)
뉴시스,"산업부, 美정부와 실무급관세협의 개시…구체적 쟁점 조율할 듯",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013215022?sid=101,,뉴시스,韓美 '7월 패키지' 도출 수 싸움 본격화…관세·투자·환율 등 실무 협의,"통상실무협의 대표단 30일 출국…작업반 구성 등 논의
6~7개 작업반 구성 및 협의 의제 설정 후 장관급 협의
통상전문가 ""국익 우선해 긴호흡으로 협상 진행해야""
[서울=뉴시스] 최상목 부총리 겸 기획재정부 장관이 24일(현지 시간) 미국 워싱턴D.C. 주미대사관에서 안덕근 산업통상자원부 장관과 함께 한-미 2+2 통상협의(Trade Consultation) 관련 합동브리핑을 하고 있다. (사진=기획재정부 제공) 2025.04.25. photo@newsis.com *재판매 및 DB 금지
[세종=뉴시스]김동현 기자 = 지난 24일 미국에서 진행된 한·미 2+2 통상 협의'에 이어 이번주부터 관세·비관세조치, 경제안보, 투자협력, 통화정책 등 4개 분야를 중심으로 한 실무협의가 본격화된다.
통화정책의 경우 기획재정부와 미국 재무부간 별도의 논의를 진행하고 ▲관세·비관세조치 ▲경제안보 ▲투자협력 등 3개 분야에 대해 6~7개 작업반을 구성해 실무협의를 하고 장관급 협의를 거치면서 완성도를 높인다는 구상이다.
양국은 실무 협의를 진행하되 미국의 상호관세 유예 조치가 만료되는 7월 8일까지 관세 폐지를 목적으로 협상을 진행한다는 방침이다. 이에 대해 일각에서는 조급한 협상을 통한 결론보다 긴 호흡으로 협상에 임해야 한다고 강조했다.
30일 산업통상자원부에 따르면 한미 양국은 지난 24일(현지시간) '한·미 2+2 통상 협의'와 제이미슨 그리어 무역대표부(USTR) 대표와의 양자 면담을 통해 7월 8일까지 관세 폐지를 목적으로 한 '7월 패키지(July Package)'를 마련하기로 했다.
산업부는 통화정책을 제외한 3개 분야에 대해 미국과 협상을 진행할 예정이며 장성길 통상정책국장을 수석대표로 하는 한미 통상 실무협의 정부 대표단을 미국에 보내 향후 어떤 작업반을 만들어 어떤 분야를 다룰 지 논의한다는 방침이다.
산업부는 관세·비관세, 경제안보, 투자협력 등 3개 분야에서 각각 2~3개 작업반을 두고 각 작업반에는 관계 부처들이 대거 참여하는 방식으로 미국과의 협상을 진행하고 다음달 중순 장관급 협의를 통해 협의를 진전시킨다는 계획이다.
관세·비관세는 국가별 상호관세와 자동차, 철강·알루미늄에 부과된 품목별 관세를 묶어서 논의하는 작업반과 배출가스 관련 부품 규제, 30개월 미만 쇠고기만 수입 허용 등 비관세 장벽을 논의하는 작업반으로 세분화하는 방안이 거론된다.
[서울=뉴시스] 김금보 기자 = 최상목 경제부총리 겸 기획재정부 장관과 안덕근 산업통상자원부 장관이 24일(현지시간) 미국 워성턴D.C. 재무부에서 열린 '한-미 2+2 통상협의(Trade Consultation)'에서 스콧 베센트 미국재무장관, 제이미슨 그리어 미국무역대표부(USTR) 대표와 회의를 하고 있다. (사진=기재부 제공) 2025.04.24. photo@newsis.com *재판매 및 DB 금지
경제안보 작업반에서는 주한미군 방위비 분담금 증액을 비롯해 반도체·배터리 공급망과 핵심광물 공급망 안정화, 대중국 견제를 위한 수출통제 등 무역정책, 청정에너지 협력 등 다양한 분야에 걸쳐 논의를 진행할 수 있다는 예상이다.
투자협력은 액화천연가스(LNG) 수입 확대, 조선업 협력, 알래스카 가스 개발 사업 참여가 주요 의제로 테이블에 오를 전망이다. LNG 수입과 조선업 협력의 경우 그동안 미국과 공감대를 이뤄온 만큼 협상이 빠르게 이뤄질 공산이 크다.
알래스카 가스 개발 사업 참여는 우리나라 차기 정부가 6월에 공식 출범한다는 것을 고려해 앞서 진행된 한·미 2+2 통상 협의에서 유보 입장을 밝힌 만큼 작업반 의제로 오를 수는 있지만 본격적인 논의는 후순위로 밀릴 것으로 관측된다.
장성길 산업부 통상정책국장은 ""이번 기술협의를 통해 미국의 관세조치 관련 협의의 윤곽을 확정할 예정""이라며 ""국익을 최우선하는 방향으로 기술협의 등에 적극 참여함으로써 상호관세 및 자동차·철강 등 품목관세, 향후 부과될 신규 관세 일체에 대한 면제를 요청해 우리 기업의 피해를 최소화하기 위해 노력하겠다""고 밝혔다.
통상전문가들은 한미 통상협의 의제 중 상호관세와 품목별 관세 논의 방식에 대해 다양한 의견을 냈다. 우리나라의 경우 미국과의 협상을 빠르게 진행하는 것보다 일본 등 다른 나라의 관세 협상을 지켜보면서 긴 호흡으로 협상을 진행하는 것이 바람직하다는 목소리도 나왔다.
백철우 덕성여대 국제통상학과 교수는 ""상호관세와 품목별 관세는 협상의 흐름이 다를 수 있다. 상호관세와 품목별 관세를 별도로 협상하는 것도 좋은 방법""이라며 ""자동차와 철강에 부과된 품목별 관세로 미국 소비자들도 힘들어서 이 부분은 낮출 수 있는 여지가 있는 만큼 품목별 관세를 분리해서 빨리 협상하는 것이 유리할 것""이라고 전했다.
서진교 GSnJ 인스티튜트 원장은 ""한미간 관세 협상에서 초조한 국가는 오히려 미국""이라며 ""고율의 관세를 부과로 미국 물가가 올라가기 시작하고 있는 만큼 미국이 협상을 빨리 진행하고 싶어하고 초조한 상황인 만큼 일본과 대만의 관세 협상을 지켜보면서 상호관세와 품목별 관세를 한 테이블에 올려놓고 협상에 임하는 것이 유리할 수 있다""고 말했다.
이홍배 동의대 무역학과 교수는 ""미국과 진행하는 과정에서 가장 중요한 것은 기업이다. 모든 것을 기업의 측면에 맞춰서 협상을 진행할 필요가 있다""며 ""상호관세는 전체적으로 테이블에 올려놓고 협상을 진행하는 것이 좋고 품목별 관세의 경우 기업의 손해를 고려해서 25% 관세를 낮추는 협상을 빨리 진행하는 것도 좋은 방법""이라고 조언했다.
주요 20개국(G20) 재무장관회의 및 국제통화금융위원회(IMFC)'에 참석차 미국 워성턴D.C.를 방문중인 최상목 부총리 겸 기획재정부 장관이 안덕근 산업통상자원부 장관과 함께 24일(현지시간) 미국 재무부에서 열린 '한-미 2+2 통상협의(Trade Consultation)' 참석, 스콧 베센트 미국재무장관, 제이미슨 그리어 미국무역대표부(USTR) 대표와 회의 시작에 앞서 기념사진을 찍고 있다.(사진 : 기재부 제공) 2025.4.24. *재판매 및 DB 금지",상호관세(관세부과)
연합뉴스,"산업부 오늘 방미, USTR과관세기술협의…""관세일체 면제 요청""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015360913?sid=100,,연합뉴스,"산업부, 美정부와 실무급 관세협의 개시…구체적 쟁점 조율할 듯","통상정책국장 등 방미…""작업반 구성 및 협의 일정 구체화 목표""
안덕근 장관과 미국 무역대표부 대표 면담
(서울=연합뉴스) 안덕근 산업통상자원부 장관이 24일(현지시간) 미국 워싱턴DC 무역대표부(USTR) 회의실에서 제이미슨 그리어 미국 무역대표부 대표와 면담하고 있다. 2025.4.25 [산업통상자원부 제공. 재판매 및 DB 금지] photo@yna.co.kr
(서울=연합뉴스) 이슬기 기자 = 산업통상자원부는 30일부터 다음달 1일까지 미국 워싱턴DC에서 미국 무역대표부(USTR)와 함께 트럼프 2기의 관세 조치와 관련한 실무급 협의를 개시한다.
30일 산업부에 따르면 이번 협의의 실무 총괄을 맡은 장성길 통상정책국장은 이틀간 워싱턴DC에서 USTRA 관계자들을 만나 향후 본격적인 관세 협상을 위한 구체적인 쟁점 등을 조율하는 '기술협의'(technical discussions)에 나선다.
산업부는 이번 기술협의를 통해 미국의 관세 조치와 관련한 작업반을 구성하고 향후 협의 일정을 구체화할 방침이다.
이번 기술협의는 지난 24일 열린 한미 '2+2 통상협의'(Trade Consultation)와 산업부와 미국 USTR 간 장관급 협의에 따른 후속 조치다.
당시 협의에서 양측은 오는 7월 8일 협상 시한까지 이른바 '7월 패키지'(July Package)를 만들자는 데 공감대를 형성하고, 양자 간 협의의 기반을 마련했다.
장성길 산업부 통상정책국장은 ""이번 기술협의를 통해 미 관세 조치와 관련한 협의의 윤곽을 확정할 예정""이라고 말했다.
장 국장은 ""국익을 최우선으로 하는 방향으로 기술 협의 등에 적극 참여함으로써 상호관세 및 자동차·철강 등 품목 관세, 향후 부과될 신규 관세 일체에 대한 면제를 요청해 우리 기업의 피해를 최소화하기 위해 노력하겠다""고 말했다.
wise@yna.co.kr",상호관세(관세부과)
뉴스1,"산업부, 美 정부와관세기술협의 개시…""협의 윤곽 확정""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008223152?sid=101,,뉴스1,"산업부 오늘 방미, USTR과 관세 기술협의…""관세 일체 면제 요청""","관세 실무협의체·협의일정 등 구체화해 내주부터 본격 협의
주요 20개국(G20) 재무장관회의 및 국제통화금융위원회(IMFC)'에 참석차 미국 워성턴D.C.를 방문중인 최상목 부총리 겸 기획재정부 장관이 안덕근 산업통상자원부 장관과 함께 24일(현지시간) 미국 재무부에서 열린 '한-미 2+2 통상협의(Trade Consultation)' 참석, 스콧 베센트 미국재무장관, 제이미슨 그리어 미국무역대표부(USTR) 대표와 회의시작에 앞서 기념사진을 촬영하고 있다. (기획재정부 제공. 재판매 및 DB 금지) 2025.4.24/뉴스1 ⓒ News1 김명섭 기자
(세종=뉴스1) 김승준 기자 = 산업통상자원부는 30일부터 5월 1일까지 미국 워싱턴 D.C.를 방문해 미국 무역대표부(USTR)와 미국 관세 조치와 관련한 기술협의를 시작해 작업반(실무협의체) 구성, 협의 일정 등을 구체화한다고 밝혔다.
이번 기술협의는 지난 24일 개최된 한-미 간 '2+2 통상협의' 및 산업부-미국 USTR 간 장관급 협의의 후속 조치다. 양국은 7월 8일까지 관세·비관세 장벽·무역균형·산업 협력 등을 논의해 관세 폐지를 목표로 한 줄라이 패키지(July Package)를 만들기로 했다.
이번 기술협의 목표는 다음 주부터 진행될 관세 조정 실무 협의에 앞서 협의를 이끌 작업반을 구성하고, 협의 일정 등을 구체화하는 것이다.
실무 총괄을 맡은 장성길 산업부 통상정책국장은 ""기술협의를 통해 미국 관세 조치 관련 협의의 윤곽을 확정할 예정""이라며 ""국익을 최우선하는 방향으로 기술협의 등에 적극 참여함으로써 상호관세 및 자동차·철강 등 품목 관세, 그리고 향후 부과될 신규 관세 일체에 대한 면제를 요청해 우리 기업의 피해를 최소화하기 위해 노력하겠다""고 말했다.",상호관세(관세부과)
뉴시스,"산업부, 美와관세'기술협의' 개시…안건 구체화한다",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013214910?sid=101,,뉴시스,"산업부, 美 정부와 관세 기술협의 개시…""협의 윤곽 확정""","美 관세조치 작업반 구성 및 협의 일정 구체화 목표
주요 20개국(G20) 재무장관회의 및 국제통화금융위원회(IMFC)'에 참석차 미국 워성턴D.C.를 방문중인 최상목 부총리 겸 기획재정부 장관이 안덕근 산업통상자원부 장관과 함께 24일(현지시간) 미국 재무부에서 열린 '한-미 2+2 통상협의(Trade Consultation)' 참석, 스콧 베센트 미국재무장관, 제이미슨 그리어 미국무역대표부(USTR) 대표와 회의 시작에 앞서 기념사진을 찍고 있다.(사진 : 기재부 제공) 2025.4.24. *재판매 및 DB 금지
[세종=뉴시스]여동준 기자 = 산업통상자원부가 미국 정부와 함께 관세조치 관련 작업반 구성 및 협의 일정 등을 구체화한다.
산업부는 30일 이날부터 이틀간 미국 워싱턴 D.C.를 방문해 미국 무역대표부(USTR)와 함께 미국의 관세조치 관련 기술협의를 개최한다고 밝혔다.
이번 기술협의는 지난 24일 개최된 한미간 '2+2 통상협의' 및 산업부-미국 USTR 간 장관급 협의에서 오는 7월8일 협상 시한까지 '7월 패키지'를 만들어 나가자는 데 공감대를 형성하고 '협의의 틀'을 마련한 것에 대한 후속 조치다.
기술협의 실무 총괄을 맡은 장성길 산업부 통상정책국장은 ""이번 기술협의를 통해 미국의 관세조치 관련 협의의 윤곽을 확정할 예정""이라고 밝혔다.
이어 ""국익을 최우선하는 방향으로 기술협의 등에 적극 참여함으로써 상호관세 및 자동차·철강 등 품목관세, 그리고 향후 부과될 신규 관세 일체에 대한 면제를 요청해 우리 기업의 피해를 최소화하기 위해 노력하겠다""고 밝혔다．",상호관세(관세부과)
세계일보,트럼프 “대중 145%관세…싸다”,네이버뉴스,https://n.news.naver.com/mnews/article/022/0004031917?sid=104,,세계일보,트럼프 “대중 145% 관세…싸다”,"“거의 모든 국가가 우리를 갈취해”
“더는 그렇게 하지 못할 것”
도널드 트럼프 미국 대통령이 누적 145%에 달하는 대중국 관세의 정당성을 주장했다.
도널드 트럼프 미국 대통령. AP연합뉴스
트럼프 대통령은 29일(현지 시간) 방영 예정인 ABC 인터뷰 발췌본에서 누적 145%의 대중국 관세에 관해 “그것은 좋은 일”이라며 “그들(중국)은 그래도 싸다”라고 말했다.
그는 ""(관세가) 145%에 달하면 그들(중국)은 기본적으로 미국에서 많은 사업을 하지 못한다""라고 했다. 이어 ""그들은 매년 우리에게서 수조 달러를 벌어들였다""라고 목소리를 높였다.
중국이 “그간 누구도 그러지 않았던 수준으로 우리를 갈취해 왔다”라는 것이다. 트럼프 대통령은 나아가 “똑같이 나쁜 다른 나라도 있다”라며 중국 외 국가에도 화살을 돌렸다.
트럼프 대통령은 “유럽연합(EU)을 본다면 그들이 우리에게 했던 일은 끔찍하다”라며 “거의 모든 국가가 우리를 갈취하고 있었다. 더는 그렇게 하지 못할 것”이라고 말했다.
지난 1월 취임한 트럼프 대통령은 펜타닐 유입 등을 이유로 중국에 두 차례에 걸쳐 총 20%의 관세를 부과했다. 이후 상호관세 및 세율 인상 등으로 도합 145% 상당의 관세를 부과 중이다.
트럼프 대통령은 이날 자신이 취임한 이후 “휘발유 값이 내리고, 식료품값과 달걀 가격이 내렸다”라며 ""많은 것이, 모든 것이 내렸다“라고 성과를 주장했다.",상호관세(관세부과)
세계일보,"트럼프, 對中 고율관세정당화…""중국은 그래도 싸""(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004031917?sid=104,,세계일보,트럼프 “대중 145% 관세…싸다”,"“거의 모든 국가가 우리를 갈취해”
“더는 그렇게 하지 못할 것”
도널드 트럼프 미국 대통령이 누적 145%에 달하는 대중국 관세의 정당성을 주장했다.
도널드 트럼프 미국 대통령. AP연합뉴스
트럼프 대통령은 29일(현지 시간) 방영 예정인 ABC 인터뷰 발췌본에서 누적 145%의 대중국 관세에 관해 “그것은 좋은 일”이라며 “그들(중국)은 그래도 싸다”라고 말했다.
그는 ""(관세가) 145%에 달하면 그들(중국)은 기본적으로 미국에서 많은 사업을 하지 못한다""라고 했다. 이어 ""그들은 매년 우리에게서 수조 달러를 벌어들였다""라고 목소리를 높였다.
중국이 “그간 누구도 그러지 않았던 수준으로 우리를 갈취해 왔다”라는 것이다. 트럼프 대통령은 나아가 “똑같이 나쁜 다른 나라도 있다”라며 중국 외 국가에도 화살을 돌렸다.
트럼프 대통령은 “유럽연합(EU)을 본다면 그들이 우리에게 했던 일은 끔찍하다”라며 “거의 모든 국가가 우리를 갈취하고 있었다. 더는 그렇게 하지 못할 것”이라고 말했다.
지난 1월 취임한 트럼프 대통령은 펜타닐 유입 등을 이유로 중국에 두 차례에 걸쳐 총 20%의 관세를 부과했다. 이후 상호관세 및 세율 인상 등으로 도합 145% 상당의 관세를 부과 중이다.
트럼프 대통령은 이날 자신이 취임한 이후 “휘발유 값이 내리고, 식료품값과 달걀 가격이 내렸다”라며 ""많은 것이, 모든 것이 내렸다“라고 성과를 주장했다.",상호관세(관세부과)
뉴시스,"트럼프 ""對中 145%관세는 좋은 일…中, 그래도 싸""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013215618?sid=104,,뉴시스,"트럼프, 對中 고율관세 정당화…""중국은 그래도 싸""(종합)","""취임 석 달 만에 무역적자 줄였다…연준 금리 낮춰야""
[워런(미시간주)=AP/뉴시스]도널드 트럼프 미국 대통령이 29일(현지 시간) 미시간주 워런의 머콤 카운티 커뮤니티 컬리지 스포츠 엑스포 센터에서 열린 취임 100일 기념 집회에 참석하고 있다. 2025.04.30.
[서울=뉴시스] 김난영 기자 = 도널드 트럼프 미국 대통령이 누적 145%에 달하는 대중국 관세를 비롯해 일련의 자신 정책의 정당성을 주장했다.
트럼프 대통령은 29일(현지 시간) 방영 예정인 ABC 인터뷰 발췌본에서 누적 145%의 대중국 관세에 관해 ""그것은 좋은 일""이라며 ""그들(중국)은 그래도 싸다""라고 말했다.
그는 ""(관세가) 145%에 달하면 그들(중국)은 기본적으로 미국에서 많은 사업을 하지 못한다""라고 했다. 이어 ""그들은 매년 우리에게서 수조 달러를 벌어들였다""라고 목소리를 높였다.
중국이 ""그간 누구도 그러지 않았던 수준으로 우리를 갈취해 왔다""라는 것이다. 트럼프 대통령은 나아가 ""똑같이 나쁜 다른 나라도 있다""라며 중국 외 국가에도 화살을 돌렸다.
트럼프 대통령은 ""유럽연합(EU)을 본다면 그들이 우리에게 했던 일은 끔찍하다""라며 ""거의 모든 국가가 우리를 갈취하고 있었다. 더는 그렇게 하지 못할 것""이라고 말했다.
지난 1월 취임한 트럼프 대통령은 펜타닐 유입 등을 이유로 중국에 두 차례에 걸쳐 총 20%의 관세를 부과했다. 이후 상호관세 및 세율 인상 등으로 도합 145% 상당의 관세를 부과 중이다.
트럼프 대통령은 이날 자신이 취임한 이후 ""휘발유 가격이 내리고, 식료품값과 달걀 가격이 내렸다""라며 ""많은 것이, 모든 것이 내렸다""라고 성과를 주장했다.
관세가 가격 인상으로 이어지리라는 지적에는 ""아니다""라고 일축했다. 그는 ""기억한다면 나는 첫 임기 때도 중국에 막대한 관세를 매겼고, 인플레이션은 없었다""라고 말했다.
이어 ""(당시는) 1%대의 완벽한 숫자의 인플레이션이었다""라며 ""그리고 바이든이 정권을 잡자 (인플레이션은) 지붕을 뚫었다. 우리가 겪은 최악의 인플레이션이 됐다""라고 했다.
연방준비제도(Fed·연준)에 대한 비난도 이어갔다. ""금리가 낮아져야 함에도 우리 연준은 고집부리기를 원한다""라는 것이다.
향후 경기침체 가능성과 관련, 미국인이 힘든 시기를 대비해야 하느냐는 질문에는 ""나는 그렇게 생각하지 않는다""라고 답했다. 오히려 바이든 행정부 시기가 힘들었다는 주장이다.
트럼프 대통령은 ""나는 취임 석 달이 됐다""라며 ""(석 달 만에) 무역 적자를 매우 좋은 수준의 숫자로 줄였다""라고 말했다. 이어 관세가 없었다면 오히려 경제가 어려워졌으리라고 목소리를 높였다.
이와 함께 자신 취임 이후 강경 반(反)이민 정책을 두고는 ""이 나라에 범죄자와 살인자가 있다면 내보내야 한다""라며 ""우리는 그 일을 하고 있는 것""이라고 방어했다．",상호관세(관세부과)
이투데이,"'트럼프發관세충격' 한ㆍ중ㆍ일 제조업 ""내년 평균 4~7% 매출 ↓""",,,,,,,상호관세(관세부과)
이투데이,"韓·中·日 기업 ""美관세정책으로 내년 매출 하락 우려""",,,,,,,상호관세(관세부과)
