press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,한·스웨덴 전략산업서밋…에너지·모빌리티 협력 논의,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015086121?sid=101,,연합뉴스,한·스웨덴 전략산업 서밋…에너지·모빌리티 협력 논의,"산업디지털 전환·SMR·E-연료·그린에너지 분야 MOU 체결
정인교 산업통상자원부 통상교섭본부장
연합뉴스 자료 사진
(서울=연합뉴스) 이슬기 기자 = 한국무역협회와 비즈니스 스웨덴은 5일 서울 용산구 그랜드하얏트 서울 호텔에서 '한·스웨덴 전략산업 서밋'을 열고 양국 기업의 에너지·모빌리티 등 분야 협력 방안을 논의했다.
무협은 2019년 스웨덴 국빈 순방을 계기로 한·스웨덴 비즈니스 서밋을 개최한 이래 매년 비즈니스 스웨덴과 공동으로 양국 경제협력을 지원하기 위한 교류 행사를 열고 있다.
이날 행사에는 윤진식 한국무역협회 회장, 정인교 산업통상자원부 통상교섭본부장과 삼성전자, HD현대중공업, KT, 삼성물산 등 국내 기업 관계자 70여명이 참석했다.
스웨덴 측에서는 얀 라르손(Jan Larsson) 비즈니스 스웨덴 회장과 인베스터, 에릭슨 등 스웨덴 글로벌 기업 30여개 사 관계자 70여명이 참석했다.
행사에서는 ▲ 전략산업과 기술 경쟁력 강화 ▲ 경제안보 강화를 위한 산학연 전략 기술 협력 ▲ 지속가능한 모빌리티와 에너지 산업 등을 주제로 발표 및 토론이 진행됐다.
양해각서(MOU) 체결식에서는 산업 디지털 전환, 소형모듈원전(SMR), 재생합성연료(E-fuel), 그린에너지 분야 등에서 4건의 MOU가 체결됐다.
정인교 산업통상자원부 통상교섭본부장은 축사에서 ""미국 신행정부의 정책 및 통상환경 변화에 대해 한국이 면밀히 모니터링하며 위기 요인에 대비하고 있다""며 ""한미 간 첨단산업 공급망이 한미 협력의 밑바탕이 되는 점에서 전략산업에 대한 국제적 협력이 중요하다""고 말했다.
그러면서 ""한국이 전국 12개소에 특화단지를 지정하는 등 첨단전략산업 생태계 혁신을 위해 총력을 기울이고 있다""며 ""스웨덴은 무역, 투자, 글로벌 경쟁력을 위한 전략을 추진하고 있는 상황에서 이번 서밋을 바탕으로 양국 간 산업·에너지 등 다양한 분야의 협력을 강화해 나갈 것을 기대한다""고 덧붙였다.
윤진식 한국무역협회 회장은 개회사에서 ""앞으로도 양국이 미래차, 수소환원제철, 신재생에너지 등 신산업 분야로 경제협력의 외연을 확장해 가며 경제 안보 강화를 위한 핵심 파트너로 거듭나기를 바란다""고 말했다.
얀 라르손 비즈니스 스웨덴 회장은 ""오늘 행사는 모빌리티, 해상풍력, 통신과 인공지능(AI) 등 다양한 분야에서의 양국 협력 가능성을 엿보는 기회가 될 것""이라며 ""한국과 스웨덴이 우수한 제조 역량과 혁신 정신을 결합해 급변하는 무역 환경 속에서도 전략산업의 경쟁력을 강화해 나갈 수 있기를 기대한다""고 밝혔다.
wise@yna.co.kr",산업경쟁력
연합뉴스,정상회담 취소 속 열린 한·스웨덴 전략산업서밋,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015086121?sid=101,,연합뉴스,한·스웨덴 전략산업 서밋…에너지·모빌리티 협력 논의,"산업디지털 전환·SMR·E-연료·그린에너지 분야 MOU 체결
정인교 산업통상자원부 통상교섭본부장
연합뉴스 자료 사진
(서울=연합뉴스) 이슬기 기자 = 한국무역협회와 비즈니스 스웨덴은 5일 서울 용산구 그랜드하얏트 서울 호텔에서 '한·스웨덴 전략산업 서밋'을 열고 양국 기업의 에너지·모빌리티 등 분야 협력 방안을 논의했다.
무협은 2019년 스웨덴 국빈 순방을 계기로 한·스웨덴 비즈니스 서밋을 개최한 이래 매년 비즈니스 스웨덴과 공동으로 양국 경제협력을 지원하기 위한 교류 행사를 열고 있다.
이날 행사에는 윤진식 한국무역협회 회장, 정인교 산업통상자원부 통상교섭본부장과 삼성전자, HD현대중공업, KT, 삼성물산 등 국내 기업 관계자 70여명이 참석했다.
스웨덴 측에서는 얀 라르손(Jan Larsson) 비즈니스 스웨덴 회장과 인베스터, 에릭슨 등 스웨덴 글로벌 기업 30여개 사 관계자 70여명이 참석했다.
행사에서는 ▲ 전략산업과 기술 경쟁력 강화 ▲ 경제안보 강화를 위한 산학연 전략 기술 협력 ▲ 지속가능한 모빌리티와 에너지 산업 등을 주제로 발표 및 토론이 진행됐다.
양해각서(MOU) 체결식에서는 산업 디지털 전환, 소형모듈원전(SMR), 재생합성연료(E-fuel), 그린에너지 분야 등에서 4건의 MOU가 체결됐다.
정인교 산업통상자원부 통상교섭본부장은 축사에서 ""미국 신행정부의 정책 및 통상환경 변화에 대해 한국이 면밀히 모니터링하며 위기 요인에 대비하고 있다""며 ""한미 간 첨단산업 공급망이 한미 협력의 밑바탕이 되는 점에서 전략산업에 대한 국제적 협력이 중요하다""고 말했다.
그러면서 ""한국이 전국 12개소에 특화단지를 지정하는 등 첨단전략산업 생태계 혁신을 위해 총력을 기울이고 있다""며 ""스웨덴은 무역, 투자, 글로벌 경쟁력을 위한 전략을 추진하고 있는 상황에서 이번 서밋을 바탕으로 양국 간 산업·에너지 등 다양한 분야의 협력을 강화해 나갈 것을 기대한다""고 덧붙였다.
윤진식 한국무역협회 회장은 개회사에서 ""앞으로도 양국이 미래차, 수소환원제철, 신재생에너지 등 신산업 분야로 경제협력의 외연을 확장해 가며 경제 안보 강화를 위한 핵심 파트너로 거듭나기를 바란다""고 말했다.
얀 라르손 비즈니스 스웨덴 회장은 ""오늘 행사는 모빌리티, 해상풍력, 통신과 인공지능(AI) 등 다양한 분야에서의 양국 협력 가능성을 엿보는 기회가 될 것""이라며 ""한국과 스웨덴이 우수한 제조 역량과 혁신 정신을 결합해 급변하는 무역 환경 속에서도 전략산업의 경쟁력을 강화해 나갈 수 있기를 기대한다""고 밝혔다.
wise@yna.co.kr",산업경쟁력
경향신문,"정인교, 한-스웨덴 전략산업서밋 참석…""산업·에너지 협력 강화""",네이버뉴스,https://n.news.naver.com/mnews/article/032/0003337059?sid=101,,경향신문,정상회담 취소 속 열린 한·스웨덴 전략 산업 서밋,"비상계엄 사태로 스웨덴 총리, 정상회담 취소
2019년 이후 매년 열던 민간 교류 행사는 개최
양국 기업인 140여명 참석, 업무협약 4건 체결
윤진식 한국무역협회장이 5일 서울 용산구 그랜드 하얏트 호텔에서 열린 ‘한·스웨덴 전략 산업 서밋’에서 개회사를 전하고 있다. 무역협회 제공
12·3 비상계엄 사태로 한국과 스웨덴 정상회담이 취소된 가운데 양국 기업들이 여는 민간 교류 행사는 예정대로 열렸다.
한국무역협회(무협)는 5일 서울 용산구 그랜드 하얏트 호텔에서 ‘비즈니스 스웨덴’과 공동으로 한·스웨덴 전략 산업 서밋을 개최했다고 밝혔다. 비즈니스 스웨덴은 스웨덴 외교부와 스웨덴 해외투자협회가 지분을 보유한 스웨덴의 무역투자 진흥기구로, 정부와 업계를 대변하는 민관 협력 기관이다.
이날 행사에는 윤진식 무협 회장, 정인교 산업통상자원부 통상교섭본부장을 비롯해 삼성전자·HD현대중공업·KT·삼성물산 등 국내 기업 관계자 70여명이 참석했다. 스웨덴 측에서는 얀 라르손 비즈니스 스웨덴 회장과 인베스터·에릭슨 등 스웨덴 기업 30여개사 관계자 70여명이 참석했다.
윤 회장은 개회사에서 “한국과 스웨덴의 교역은 팬데믹 위기, 글로벌 공급망 교란 등 어려움 속에서도 꾸준히 성장해 지난해 역대 최고치인 35억달러를 기록했다”면서 “앞으로도 양국이 미래 차, 수소 환원 제철, 신재생에너지 등 신산업 분야로 경제 협력의 외연을 확장해 경제 안보 강화를 위한 핵심 파트너로 거듭나기를 바란다”고 말했다. 라르손 회장은 “올해는 모빌리티와 해상 풍력·통신·인공지능 등 다양한 분야에서의 양국 협력 가능성을 엿보는 기회가 될 것”이라며 “한국과 스웨덴이 우수한 제조 역량과 혁신 정신을 결합해 급변하는 무역환경 속에서도 전략산업의 경쟁력을 강화해 나갈 수 있기를 기대한다”고 밝혔다.
이날 행사는 전략 산업과 기술 경쟁력 강화, 경제 안보 강화를 위한 기술 협력, 지속 가능 모빌리티와 에너지 산업 등을 주제로 진행됐다. 첫 번째 세션 발표자는 야곱 발렌베리 인베스터 회장이었다. 인베스터는 스웨덴 최대 기업 발렌베리 그룹의 투자 전담 지주사로, 사브(자동차)·일렉트로룩스(가전)·ABB(발전)·에릭슨(통신)·아스트라제네카(제약) 등 스웨덴 대표 기업의 지분을 보유하고 있다. 발렌베리 회장은 “기업이 급변하는 통상 환경 속에서 차별화된 경쟁 우위를 확보하기 위해서는 끊임 없는 연구와 혁신이 필요하다”고 강조했다.
두 번째 세션 발표자 중 한 명인 박천홍 삼성E&A 부사장은 신재생에너지 기술 개발을 위한 스웨덴의 이퓨얼(eFuel·재생합성연료) 전문 스타트업과 협력한 사례를 소개했다. 박 부사장은 “재생에너지 분야에서 기술력과 혁신 역량을 두루 갖춘 양국 기업의 상호협력 잠재력에 주목하고 있으며, 스웨덴 기업과 협력해 e메탄올(탄소중립 메탄올) 시장 창출에 힘쓸 계획”이라고 밝혔다.
이날 행사에서는 삼성E&A와 스웨덴 스타트업 리퀴드 윈드 간 이퓨얼 시설 공동 건설을 위한 업무협약, 삼성물산 건설부문과 칸풀 넥스트 간 스웨덴 소형모듈원전(SMR) 사업 개발을 위한 업무협약 등 총 4건의 업무협약 서명식도 진행됐다.
한·스웨덴 비즈니스 서밋은 양국 경제 협력을 도모하는 연례행사로, 2019년 양국 정상의 상호 방문을 계기로 시작됐다. 올해도 이날 윤석열 대통령과 울프 크리스터손 스웨덴 총리가 한국에서 정상회담을 열 예정이었다. 그러나 비상계엄 사태가 터지자 스웨덴 측은 지난 4일 “최근 상황을 고려해 방문을 연기하기로 했다”고 밝혔다.",산업경쟁력
뉴스1,"무협, ‘韓-스웨덴 전략산업서밋’…""핵심 파트너로 거듭날 것""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007947480?sid=101,,뉴스1,"정인교, 한-스웨덴 전략산업 서밋 참석…""산업·에너지 협력 강화""","에너지·모빌리티 등 양국 기업 주요 관심분야 협력방안 논의
산업 디지털 전환, SMR, 그린에너지 분야 등 MOU도 4건 체결
정인교 산업통상자원부 통상교섭본부장이 3일 오후 서울 서초구 코트라 회의실에서 '세계 수출시장 점검회의'를 주재하고 있다. (산업통상자원부 제공) 2024.12.3/뉴스1
(세종=뉴스1) 이정현 기자 = 산업통상자원부는 정인교 통상교섭본부장이 5일 한-스웨덴 전략산업 서밋에 참석했다고 밝혔다. 한-스웨덴 전략산업 서밋은 한국무역협회와 비즈니스 스웨덴이 공동 주최하는 행사로, 2019년 양국 정상의 상호 방문 이래 경제협력을 도모하는 행사를 연례적으로 추진 중이다.
이날 행사에는 양국 기업인 등 140여명이 참석했다. 행사는 △전략산업과 기술의 경쟁력 강화 △경제안보 강화를 위한 산학연 전략 기술 협력 △지속가능한 모빌리티와 에너지산업을 주제로 양국 기업의 발표 및 토론으로 진행됐다.
또 전략산업 서밋 개회식 중 진행된 양해각서(MOU) 체결식에서는 양국 간 4건의 MOU도 이뤄졌다. 산업부는 이를 통해 산업 디지털 전환, 소형모듈원전(SMR), 재생합성연료(E-fuel), 그린에너지 분야에서 양국 기업 간 협력을 강화할 수 있는 계기가 될 것으로 기대했다.
정 본부장은 축사에서 ""미국 신(新)행정부의 정책 및 통상환경 변화에 대해 한국은 면밀히 모니터링하며 위기 요인에 대비하고 있다""고 강조했다.
그러면서 한미 간 첨단산업 공급망이 한미 협력의 밑바탕이 되는 점을 근거로 전략산업에 대한 국제적 협력의 중요성을 당부했다.
정 본부장은 또 ""한국이 전국 12개소에 특화단지를 지정하는 등 첨단전략산업 생태계 혁신을 위해 총력을 기울이고 있고 스웨덴은 무역·투자·글로벌 경쟁력을 위한 전략을 추진하고 있는 상황""이라며 ""이번 서밋을 바탕으로 양국 간 산업·에너지 등 다양한 분야의 협력을 강화해 나갈 것을 기대한다""고 말했다.",산업경쟁력
이데일리,"산업부, 스웨덴 기업과 디지털전환·소형원전 등 전략산업협력",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005899567?sid=101,,이데일리,"무협, ‘韓-스웨덴 전략산업 서밋’…""핵심 파트너로 거듭날 것""","5일 그랜드 하얏트 호텔서 개최
삼성전자·인베스터 등 기업인 140여명 참석
[이데일리 김성진 기자] 한국무역협회는 5일 서울 용산구 그랜드 하얏트 호텔에서 비즈니스 스웨덴과 공동으로 ‘한-스웨덴 전략산업 서밋’을 개최했다고 밝혔다.
무역협회는 지난 2019년 스웨덴 국빈 순방을 계기로 ‘한-스웨덴 비즈니스 서밋’을 개최한 이래 매년 비즈니스 스웨덴과 공동으로 양국 경제협력 확대 지원을 위한 비즈니스 교류 행사를 개최하고 있다.
이날 행사에는 윤진식 한국무역협회 회장, 정인교 산업통상자원부 통상교섭본부장과 삼성전자, HD현대중공업, KT, 삼성물산 등 국내기업 관계자 70여명이 참석했다. 스웨덴 측에서는 얀 라르손 비즈니스 스웨덴 회장과 인베스터, 에릭슨 등 스웨덴 글로벌 기업 30여개사 관계자 70여명이 참석했다.
윤진식 한국무역협회 회장은 개회사에서 “한국과 스웨덴의 교역은 팬데믹 위기, 글로벌 공급망 교란 등 어려움 속에서도 꾸준히 성장해 지난해 역대 최고치인 35억 달러를 기록했다”면서 “앞으로도 양국이 미래차, 수소환원제철, 신재생에너지 등 신산업 분야로 경제협력의 외연을 확장해 가며 경제 안보 강화를 위한 핵심 파트너로 거듭나기를 바란다”고 말했다.
얀 라르손 비즈니스 스웨덴 회장은 “오늘 행사는 모빌리티, 해상풍력, 통신과 AI 등 다양한 분야에서의 양국 협력 가능성을 엿보는 기회가 될 것”이라면서 “한국과 스웨덴이 우수한 제조 역량과 혁신 정신을 결합해 급변하는 무역환경 속에서도 전략산업의 경쟁력을 강화해 나갈 수 있기를 기대한다”고 밝혔다.
이날 행사는 △전략산업과 기술 경쟁력 강화 △경제안보 강화를 위한 기술 협력 △지속 가능 모빌리티와 에너지산업을 주제로 한 양국 기업의 발표와 토론으로 구성됐다.
첫 번째 세션에서는 야곱 발렌베리 인베스터 AB 회장이 기업의 성장을 위한 글로벌 경쟁우위 강화 방안에 대해 발표했다. 발렌베리 회장은 “급변하는 통상환경 속에서 차별화된 경쟁우위를 확보하기 위해서는 끊임없는 연구와 혁신이 필요하다”면서 발렌베리 그룹의 혁신 철학을 공유했다.
한국 측에서는 박천홍 삼성E&A 부사장이 발표자로 나서 신재생에너지 기술 개발을 위한 스웨덴의 이퓨얼(e-Fuel, 친환경 합성연료) 전문 스타트업과의 협력 사례를 소개했다. 박 부사장은 “재생에너지 분야에서 기술력과 혁신역량을 두루 갖춘 양국 기업의 상호협력 잠재력에 주목하고 있으며, 스웨덴 기업과 협력해 e-메탄올 시장 창출에 힘쓸 계획”이라 밝혔다.
이날 행사를 계기로 산업 디지털 전환, 에너지·인프라 분야의 양국 기업 협력 강화를 위한 3건의 업무협약(MOU)도 체결됐다. KT·글로벌선도기업협회·한국산업단지경영자연합회와 스웨덴의 에릭슨·헥사곤은 산업의 디지털 전환을 위한 협력에 합의했으며, 삼성물산 건설부문은 스웨덴 칸풀 넥스트와 스웨덴 소형모듈원전(SMR) 사업 개발을 위한 업무협약을 체결했다. 삼성E&A와 스웨덴 스타트업 리퀴드 윈드는 이퓨얼(e-Fuel) 시설 공동 건설을 위한 MOU에 서명했다.",산업경쟁력
뉴데일리,"김영록 전남지사, 석유화학산업현장 애로 청취하고 대책 논의",,,,,,,산업경쟁력
뉴데일리,"김영록 지사, 석유화학산업현장 애로 청취·대책 논의",,,,,,,산업경쟁력
CNB뉴스,"김영록 전남지사, 여수 석유화학산업현장 애로 청취 대책 논의",,,,,,,산업경쟁력
이뉴스투데이,"김영록 전남지사, 여수 석유화학산업현장 애로 청취",,,,,,,산업경쟁력
연합뉴스,"김영록 지사, 석유화학산업현장 애로 청취·대책 논의",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015087633?sid=101,,연합뉴스,"김영록 전남지사, 여수 석유화학산업 현장 애로 청취","여수 석유화학업체 방문한 김영록 전남지사
[전남도 제공.재판매 및 DB금지]
(여수=연합뉴스) 형민우 기자 = 김영록 전남지사는 5일 여수국가산업단지 여천NCC 공장을 방문해 애로 사항을 듣고 친환경·고부가 산업 재편을 위한 대책 등을 논의했다.
이날 방문에는 여수지역 주요 석유화학기업인 여천NCC, GS칼텍스, LG화학, 롯데케미칼, 한화솔루션, 삼남석유화학, 재원산업 등 석유화학 기업인과 한문선 여수상공회의소 회장, 염동일 한국산업단지공단 본부장 등이 참석했다.
김영록 지사는 ""단일 규모로 세계 최대 화학단지인 여수 석유화학산업단지는 전남 경제성장의 핵심이자 지역 경제의 기둥이지만, 최근 수출 부진과 글로벌 공급 과잉으로 어려움을 겪고 있다""며 ""전남도는 위기 대응 전략을 마련하고 필요한 사항은 즉시 대처하겠다""고 말했다.
그는 이어 ""현재 공장 가동률이 70%대에 불과한 상황에서 석유화학산업의 침체는 곧 여수지역 상권 침체와 소상공인의 매출 감소로 이어지고 있다""며 ""친환경·고부가 산업으로의 사업 재편을 위해 세제지원, 규제완화, 연구개발(R&D) 및 인프라 등을 지원하겠다""고 강조했다.
한문선 여수상공회의소 회장은 ""석유화학산업 경쟁력 강화를 위해 전기요금 인하와 산업위기지역 지정이 필요하다""고 건의했다.
조병만 여천NCC 공장장은 ""화학공장의 안전과 환경규제를 위기 대응 기간에 유예해달라""고 요청했다.
전남도는 여수 석유화학산업의 경쟁력 강화를 위해 친환경·고부가 가치 산업으로 재편을 추진하는 한편, 여수를 산업위기 대응 선제·특별지역으로 지정받기 위해 정부 건의도 추진하고 있다.
minu21@yna.co.kr",산업경쟁력
