press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"평촌·산본 '1기신도시선도지구' 공모 시작…""11월 선정""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012626637?sid=102,,뉴시스,"평촌·산본 '1기 신도시 선도지구' 공모 시작…""11월 선정""","안양시·군포시, 누리집에 '선도지구 공모' 공고
[안양=뉴시스] 평촌신도시. (사진=뉴시스 DB). photo@newsis.com
[안양=뉴시스] 박석희 기자 = 경기 안양시와 군포시는 평촌·산본 등 관내 1기 신도시 재개발의 선도지구를 선정하기 위한 공모를 시작했다고 25일 밝혔다.
안양시와 군포시는 누리집에 '선도지구 공모 지침'을 이날로 공고했다.
이들 시는 ""지난 4월27일 시행된 노후 계획도시 정비 및 지원에 관한 특별법과 지난달 22일 발표한 1기 신도시 정비 선도지구 선정계획에 따라 해당 도심의 노후 계획도 시정비 선도지구 선정을 위한 공모를 했다""고 설명했다.
앞서 최대호·하은호 안양·군포시장은 평촌과 산본신도시 정비 선도지구 선정 공모 지침을 확정하기 위한 '국토교통부(국토부)-경기도-1기 신도시-한국토지주택공사 단체장 간담회'에 참석해 다양한 의견을 피력했다.
선도지구는 2030년 입주를 목표로 1기 신도시 내에서 가장 먼저 재개발에 들어가는 구역이다. 공모 지침에는 선도지구 선정을 위한 신도시별 평가 기준, 특별 정비 예정 구역(안), 동의서 징구 절차와 양식 등이 포함된다.
공모는 특별 정비 예정 구역(안)에 포함된 구역이 대상이다. 공고 후 동의율 확보 등 3개월 준비기간을 거쳐 9월23~27일 공모 신청서를 접수한다. 이어 10월 중 평가를 거쳐 11월에 선도지구가 최종 선정된다.
여기에 국토부는 지난달 22일 1기 신도시 선도지구 선정계획을 발표했다. 선도지구 선정 규모는 평촌·산본 각 4000호다. 안양시·군포시가 기준 물량에 1~2개 구역을 추가 선정할 수 있도록 했다.
국토부는 선도지구 선정을 위한 표준 평가 기준을 내놨다. 전체 100점 만점 중 주민 동의율 배점을 60점으로 하는 등 가장 중요시했다. 또 가구당 주차 대수 등 정주 환경 개선의 시급성과 통합 정비 참여 주택 단지 수, 통합 정비 참여 세대 수, 도시 기능 활성화 필요성에 각각 10점씩 배정했다.
이번에 선정되는 선도지구는 2030년 입주 등을 목표로 내년 특별 정비구역 지정, 2026년 시행계획과 관리처분계획 수립, 2027년 착공 등 정비에 따른 각종 절차가 진행된다．",선도지구
뉴시스,"평촌·산본,1기신도시선도지구공모 시작",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012626637?sid=102,,뉴시스,"평촌·산본 '1기 신도시 선도지구' 공모 시작…""11월 선정""","안양시·군포시, 누리집에 '선도지구 공모' 공고
[안양=뉴시스] 평촌신도시. (사진=뉴시스 DB). photo@newsis.com
[안양=뉴시스] 박석희 기자 = 경기 안양시와 군포시는 평촌·산본 등 관내 1기 신도시 재개발의 선도지구를 선정하기 위한 공모를 시작했다고 25일 밝혔다.
안양시와 군포시는 누리집에 '선도지구 공모 지침'을 이날로 공고했다.
이들 시는 ""지난 4월27일 시행된 노후 계획도시 정비 및 지원에 관한 특별법과 지난달 22일 발표한 1기 신도시 정비 선도지구 선정계획에 따라 해당 도심의 노후 계획도 시정비 선도지구 선정을 위한 공모를 했다""고 설명했다.
앞서 최대호·하은호 안양·군포시장은 평촌과 산본신도시 정비 선도지구 선정 공모 지침을 확정하기 위한 '국토교통부(국토부)-경기도-1기 신도시-한국토지주택공사 단체장 간담회'에 참석해 다양한 의견을 피력했다.
선도지구는 2030년 입주를 목표로 1기 신도시 내에서 가장 먼저 재개발에 들어가는 구역이다. 공모 지침에는 선도지구 선정을 위한 신도시별 평가 기준, 특별 정비 예정 구역(안), 동의서 징구 절차와 양식 등이 포함된다.
공모는 특별 정비 예정 구역(안)에 포함된 구역이 대상이다. 공고 후 동의율 확보 등 3개월 준비기간을 거쳐 9월23~27일 공모 신청서를 접수한다. 이어 10월 중 평가를 거쳐 11월에 선도지구가 최종 선정된다.
여기에 국토부는 지난달 22일 1기 신도시 선도지구 선정계획을 발표했다. 선도지구 선정 규모는 평촌·산본 각 4000호다. 안양시·군포시가 기준 물량에 1~2개 구역을 추가 선정할 수 있도록 했다.
국토부는 선도지구 선정을 위한 표준 평가 기준을 내놨다. 전체 100점 만점 중 주민 동의율 배점을 60점으로 하는 등 가장 중요시했다. 또 가구당 주차 대수 등 정주 환경 개선의 시급성과 통합 정비 참여 주택 단지 수, 통합 정비 참여 세대 수, 도시 기능 활성화 필요성에 각각 10점씩 배정했다.
이번에 선정되는 선도지구는 2030년 입주 등을 목표로 내년 특별 정비구역 지정, 2026년 시행계획과 관리처분계획 수립, 2027년 착공 등 정비에 따른 각종 절차가 진행된다．",선도지구
아시아경제,"군포시, 산본 노후주거환경 정비선도지구공모",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005436836?sid=101,,아시아경제,"평촌·산본, 1기 신도시 선도지구 공모 시작","경기 안양시와 군포시가 평촌·산본 등 관내 1기 신도시 정비사업의 선도지구를 선정하기 위한 공모를 시작했다.
경기 군포시 산본신도시 내 아파트 단지 모습 / 사진=노경조 기자
안양시와 군포시는 25일 누리집에 '선도지구 공모 지침'을 공고했다. 이들 시는 ""지난 4월 27일 시행된 '노후계획도시 정비 및 지원에 관한 특별법'과 지난달 22일 발표한 '1기 신도시 정비 선도지구 선정 계획'에 따라 해당 도심의 노후계획도시 정비 선도지구 선정을 위한 공모를 했다""고 설명했다.
선도지구는 2030년 입주를 목표로 1기 신도시 내에서 가장 먼저 착공(2027년)에 들어가는 구역이다. 지침에 따라 특별 정비 예정 구역안에 포함된 구역이 공모 대상이다. 선도지구 희망 단지들은 공고 후 동의율 확보 등 3개월 준비기간을 거쳐 9월 23~27일 공모 신청서를 접수한다. 각 지자체는 10월 중 평가해 11월 선도지구를 최종 선정한다.
앞서 국토부가 발표한 선도지구 선정 계획에 따르면, 선정 규모는 분당 8000가구, 일산 6000가구, 평촌·중동·산본 각 4000가구다. 여건에 따라 지자체마다 1~2개 구역(기준 물량의 50% 이내)을 추가 지정할 수 있다. 이 경우 최대 3만9000여가구가 선도지구에 선정된다.
선정 기준은 국토부가 제시한 '표준 평가 기준'을 토대로, 지자체가 세부 배점 기준을 조정할 수 있다. 가장 중요한 평가 기준은 '주민 동의 여부'로 배점이 60점에 달한다. 또 통합구역 내 가구당 주차대수와 같은 정주 환경 개선 시급성(10점), 도시 기능 활성화 필요성(10점, 정성 평가 가능), 정비사업 추진 파급효과(20점) 등을 평가해 선도지구를 추린다.",선도지구
더팩트,군포시 산본신도시 노후주거환경 정비선도지구공모...11월 최종 선정,네이버뉴스,https://n.news.naver.com/mnews/article/629/0000298794?sid=102,,더팩트,"군포시, 산본 노후주거환경 정비 선도지구 공모","군포시청 전경 /군포시
경기 군포시는 산본신도시 노후주거환경 정비를 위한 선도지구 공모를 실시한다고 25일 밝혔다.
군포시는 올해 4월 27일 시행된 '노후계획도시정비 및 지원에 관한 특별법'과 5월 22일 '국토부-경기도-1기 신도시-한국토지주택공사 단체장 간담회'에서 발표한 '1기 신도시 정비 선도지구 선정계획'에 따라 '산본 신도시 노후계획도시 정비 선도지구' 선정을 위한 공모를 전날 공고했다.
공모는 특별정비예정구역(안)에 따른 구역을 대상으로 하며, 공고 후 동의율 확보 등 3개월 간의 준비기간을 거쳐 9월 23일부터 27일까지 5일간 공모 신청서를 접수받아 10월 평가를 거쳐 11월 선도지구를 최종 선정한다.
시는 산본신도시 정비기본계획(안), 특별정비예정구역(안) 및 선도지구 선정 등에 대한 주민설명회를 다음 달 10일 개최 할 예정이다.
또 군포 미래도시지원센터에서는 정비사업 이해도 제고 등을 위해 희망하는 단지를 대상으로 찾아가는 설명회를 진행할 계획이다.
군포 미래도시지원센터는 선도지구 공모를 위한 신청서 작성 등 안내 및 지원할 예정이며, 전화 상담 및 예약 신청에 따른 대면 상담을 받을 수 있다. 자세한 사항은 시 주택정책과나 군포 미래도시지원센터로 문의하면 된다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",선도지구
머니투데이,1기신도시선도지구경쟁 시동 '기대 반 우려 반',네이버뉴스,https://n.news.naver.com/mnews/article/008/0005055139?sid=102,,머니투데이,군포시 산본신도시 노후주거환경 정비 선도지구 공모...11월 최종 선정,"군포시청 전경./사진제공=군포시
경기 군포시가 산본신도시 노후주거환경 정비를 위한 선도지구 공모를 25일 공고했다.
이번 공고는 지난 4월 시행된 '노후계획도시정비 및 지원에 관한 특별법'과 지난달 '국토부-경기도-1기 신도시-한국토지주택공사 단체장 간담회'에서 발표한 '1기 신도시 정비 선도지구 선정계획'에 따른 '산본 신도시 노후계획도시 정비 선도지구' 선정을 위한 공모다.
공모는 특별정비예정구역(안)에 따른 구역을 대상으로 한다. 공고 후 동의율 확보 등 3개월 간의 준비기간을 거쳐, 9월23일부터 27일까지 5일간 공모 신청서를 접수받아 10월 평가를 거쳐 11월에 선도지구를 최종 선정한다.
시는 산본신도시 정비기본계획(안), 특별정비예정구역(안) 및 선도지구 선정 등에 대한 주민설명회를 7월10일에 개최할 예정이다. 군포 미래도시지원센터에서는 정비사업 이해도 제고 등을 위하여 희망하는 단지에 대하여 찾아가는 설명회를 진행할 계획이다.",선도지구
머니투데이,부천시 '중동1기신도시 정비'선도지구선정 공모 발표,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005055178?sid=102,,머니투데이,부천시 '중동 1기 신도시 정비' 선도지구 선정 공모 발표,"중동 1기 신도시 선도지구 선정 평가기준 등 마련...9월23~27일 공모
부천시청 전경./사진제공=부천시
경기 부천시가 25일 '중동 1기 신도시 노후계획도시정비 선도지구 선정 공모'를 시 홈페이지에 공고하고 선도지구 선정을 위한 본격적인 절차에 들어간다. 시는 9월23일부터 27일까지 선도지구 선정을 위한 공모 신청을 받는다.
이번 선도지구 선정 공모는 지난 4월 시행된 '노후계획도시정비 및 지원에 관한 특별법'(이하 노후계획도시정비법)과 5월 '국토부-경기도-1기 신도시-한국토지주택공사 단체장 간담회'에서 발표한 '1기 신도시 정비 선도지구 선정계획'을 따랐다.
공모 내용은 △선도지구 선정 평가 대상구역 및 공모 신청자격 △평가 기준 △공모 신청방법 등이 포함됐으며, 국토부에서 제시한 '1기 신도시 5개 지자체 표준 공모지침'을 바탕으로 부천시 지역 여건 등을 고려해 마련했다.
선도지구 선정 평가 대상구역은 총 16개 구역으로 '노후계획도시정비법' 취지에 따라 대규모 블록 단위 통합정비가 필요한 구역 전체를 대상으로 해 구역 일부를 분할하거나 제외할 수 없다.
공모 신청자격은 대상구역 내 전체 토지등소유자의 50% 이상 동의를 받은 구역에 주어지며 동의율 산정기준은 '도시 및 주거환경정비법 시행령' 제33조1항에 따른 토지등소유자 동의자 수 산정 방법을 따른다.
선도지구 선정 평가기준은 국토부 표준 평가기준을 바탕으로 마련했다. 평가항목은 4개로 주민동의율(70점), 대상구역 내 주차 환경 개선 시급성(10점), 통합정비 참여 주택단지 수(10점) 및 참여 세대수(10점)를 포함해 총 100점 만점이다.
국토부 표준 평가기준에서 주요 변경 사항은 △모든 평가항목을 정량평가로 구성해 선도지구 선정 과정의 객관성을 확보하고 △주민동의율 배점을 확대(동의율 90% 이상 70점 만점)하여 평가 변별력이 확보될 수 있도록 했다. 또한 정주환경 개선 시급성 평가항목 배점은 10점으로 유지하되 옥외 주차 비율 항목을 추가해 주차 불편 문제가 평가에 반영될 수 있도록 했다.
공모 신청은 전체 토지등소유자의 50% 이상 동의로 선임된 선도지구 공모 신청 대표자가 신청할 수 있다. 공모 일정은 △공모 신청서 접수(9월 23~27일) △평가 및 심사(10월 말) △국토부 협의 △선도지구 선정 발표(11월 말)순으로 진행한다.
조용익 부천시장은 ""중동 신도시의 성공적인 재정비를 위해 주민과의 소통했다. 앞으로 선도지구 선정 공모 과정을 투명하고 차질 없이 진행할 수 있도록 행정적 지원을 아끼지 않을 것""이라고 밝혔다.",선도지구
머니투데이,1기신도시 재건축선도지구공모 시작됐다…고양시 규제 완화로 첫발,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005055178?sid=102,,머니투데이,부천시 '중동 1기 신도시 정비' 선도지구 선정 공모 발표,"중동 1기 신도시 선도지구 선정 평가기준 등 마련...9월23~27일 공모
부천시청 전경./사진제공=부천시
경기 부천시가 25일 '중동 1기 신도시 노후계획도시정비 선도지구 선정 공모'를 시 홈페이지에 공고하고 선도지구 선정을 위한 본격적인 절차에 들어간다. 시는 9월23일부터 27일까지 선도지구 선정을 위한 공모 신청을 받는다.
이번 선도지구 선정 공모는 지난 4월 시행된 '노후계획도시정비 및 지원에 관한 특별법'(이하 노후계획도시정비법)과 5월 '국토부-경기도-1기 신도시-한국토지주택공사 단체장 간담회'에서 발표한 '1기 신도시 정비 선도지구 선정계획'을 따랐다.
공모 내용은 △선도지구 선정 평가 대상구역 및 공모 신청자격 △평가 기준 △공모 신청방법 등이 포함됐으며, 국토부에서 제시한 '1기 신도시 5개 지자체 표준 공모지침'을 바탕으로 부천시 지역 여건 등을 고려해 마련했다.
선도지구 선정 평가 대상구역은 총 16개 구역으로 '노후계획도시정비법' 취지에 따라 대규모 블록 단위 통합정비가 필요한 구역 전체를 대상으로 해 구역 일부를 분할하거나 제외할 수 없다.
공모 신청자격은 대상구역 내 전체 토지등소유자의 50% 이상 동의를 받은 구역에 주어지며 동의율 산정기준은 '도시 및 주거환경정비법 시행령' 제33조1항에 따른 토지등소유자 동의자 수 산정 방법을 따른다.
선도지구 선정 평가기준은 국토부 표준 평가기준을 바탕으로 마련했다. 평가항목은 4개로 주민동의율(70점), 대상구역 내 주차 환경 개선 시급성(10점), 통합정비 참여 주택단지 수(10점) 및 참여 세대수(10점)를 포함해 총 100점 만점이다.
국토부 표준 평가기준에서 주요 변경 사항은 △모든 평가항목을 정량평가로 구성해 선도지구 선정 과정의 객관성을 확보하고 △주민동의율 배점을 확대(동의율 90% 이상 70점 만점)하여 평가 변별력이 확보될 수 있도록 했다. 또한 정주환경 개선 시급성 평가항목 배점은 10점으로 유지하되 옥외 주차 비율 항목을 추가해 주차 불편 문제가 평가에 반영될 수 있도록 했다.
공모 신청은 전체 토지등소유자의 50% 이상 동의로 선임된 선도지구 공모 신청 대표자가 신청할 수 있다. 공모 일정은 △공모 신청서 접수(9월 23~27일) △평가 및 심사(10월 말) △국토부 협의 △선도지구 선정 발표(11월 말)순으로 진행한다.
조용익 부천시장은 ""중동 신도시의 성공적인 재정비를 위해 주민과의 소통했다. 앞으로 선도지구 선정 공모 과정을 투명하고 차질 없이 진행할 수 있도록 행정적 지원을 아끼지 않을 것""이라고 밝혔다.",선도지구
이코노미스트,"부천시, '중동1기신도시 정비'선도지구공모",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000061096?sid=101,,이코노미스트,1기 신도시 재건축 선도지구 공모 시작됐다…고양시 규제 완화로 첫발,"지방 노후계획도시도 선도지구 선정 계획, 11월 선정
1기 신도시로 조성된 분당신도시[사진 성남시]
[이코노미스트 이병희 기자] 1기 신도시 재건축 선도지구 공모가 25일 시작됐다. 일산‧분당·중동·평촌·산본 5개 수도권 신도시 가운데 가장 먼저 재건축 사업을 시작할 대표 도시 선정 작업에 돌입한 것이다.
정부는 지난달 1기 신도시 재건축 선도지구 2만6000호 선정 계획을 발표했다. 분당 8000호, 일산 6000호, 평촌과 중동, 산본에서 각각 4000호 수준이었다. 신도시별로 1~2개 구역을 추가 선정할 수 있어 선도지구는 더 늘어날 수 있다. 이는 전체 정비 대상 주택의 10~15% 수준으로 정부는 이후 시장 여건에 따라 매년 일정 물량을 선정해 사업을 추진키로 했다.
눈여겨볼 점은 재건축 선도지구 선정에 가장 중요한 요소가 될 주민 동의율이다. 각 지자체는 오는 9월 23∼27일 공모 신청서를 접수할 예정인데, 그동안 동의율을 얼마나 높이느냐에 따라 선도지구 선정 여부가 결정될 전망이다.
앞서 국토부가 내놓은 선도지구 선정을 위한 표준 평가 기준을 보면 전체 100점 만점 중 주민 동의율 배점이 60점으로 가장 높았다. 이 밖에 가구당 주차대수 등 정주 환경 개선의 시급성(10점), 통합 정비 참여 주택 단지 수(10점), 통합 정비 참여 세대 수(10점), 도시기능 활성화 필요성(10점)이 있지만 신도시 여건상 대부분 환경이 비슷한 것을 고려하면 주민 동의율이 당락을 가를 핵심 요소로 평가된다.
통합 재건축에 찬성하는 주민이 95% 이상이면 60점 만점을 받을 수 있다. 50% 이상이면 10점을 받는다. 재건축에 적극적으로 반대하는 주민이 얼마나 많은지도 중요한 요소다. 토지 등 소유자의 20% 이상이 반대하는 단지가 1곳이면 10점 감점, 2곳 이상이면 20점을 마이너스로 계산한다.
주민 동의율이 높을수록 사업 과정에서 분란이 발생할 가능성이 적어진다는 것을 고려하면 정부가 잡음 없이 초기 사업을 마무리할 수 있도록 동의율에 높은 비중을 할애한 것으로 전문가들은 평가하고 있다.
정우진 국토부 도시정비기획단장은 지난 5월 재건축 선도지구 사업을 발표하며 “전국 노후계획도시 지자체와도 협업 체계를 만든 만큼 지역 의견을 수렴해 정책에 반영하고, 전국 노후계획도시 정비 사업이 신속히 추진되도록 지원하겠다”고 밝혔다.
하지만 일각에서는 이번 1기 신도시 재건축사업의 성공 가능성을 높지 않게 보고 있다. 건축비가 급등해 재건축에 돌입한다 해도 분담금 부담을 감당할 수 없는 주민도 많기 때문이다. 건설업계 관계자는 “국민평형(전용면적 84㎡‧34평형) 기준으로 건축비가 5억원 안팎이 예상된다”며 이 정도 분담금을 낼 여력이 있는 입주민이 얼마나 있는지 살펴볼 필요가 있다“고 말했다.
그는 “재건축이 완료돼 신축 아파트가 들어서더라도 현재 집값과 분담금을 더한 수준 이상으로 집값이 올라야 동의하는 사람이 많을 텐데, 그렇지 않을 경우 재건축에 찬성하지 않는 비율이 높을 수 있다”고도 했다.
주민들의 분담금 부담을 줄이려면 정부가 용적률 제한을 완화하고 재건축 과정에서 일반분양 가구 수를 늘려야 한다, 하지만 이 경우 특혜 논란과 함께, 새로 짓는 아파트 단지의 조망권 문제 등이 불거질 수 있어 해결책으로 제시하기 쉽지 않다는 평가다. 결국 현재 집값이 가장 비싼 분당 신도시를 중심으로 재건축이 일부 진행될 수 있을 것이란 전망도 나온다.
한편, 고양시는 아파트 단지의 재건축 규제를 완화해 선도지구 선정 작업에 돌입했다. 최대 수혜 대상은 국토부에서 제시한 기준물량 6000호에 50%까지 지자체가 재량껏 추가할 수 있는 최대한도를 더해 9000호가 될 전망이다.
이동환 시장은 “일산신도시는 조성된 지 30년이 넘어 노후화가 심각하다”며 “선도지구가 주민 맞춤형 재건축을 통해 쾌적한 주거환경으로 재탄생할 수 있도록 최대한 지원하겠다”고 밝혔다.",선도지구
프레시안,부천시 '중동1기신도시 정비'선도지구선정 공모 발표,네이버뉴스,https://n.news.naver.com/mnews/article/002/0002337977?sid=102,,프레시안,"부천시, '중동 1기 신도시 정비' 선도지구 공모","경기 부천시는 25일 '중동 1기 신도시 노후계획 도시정비 선도지구 선정 공모' 내용을 시 홈페이지에 공고했다. 시는 9월 23일부터 27일까지 5일간 선도지구 선정을 위한 공모신청서를 접수한다.
공모 주요내용은 ▲선도지구 선정평가 대상 구역 및 공모신청자격 ▲평가기준 ▲공모신청방법 등 세부사항이 포함됐으며, 국토부에서 제시한 '1기 신도시 5개 지자체 표준공모지침'을 바탕으로 시 지역 여건 등을 종합적으로 고려해 마련됐다.
▲부천시청 ⓒ부천시
선도지구 선정평가 대상 구역은 총 16개 구역으로 '노후계획 도시정비법' 취지에 따라 대규모 블록 단위의 통합정비가 필요한 구역 전체를 대상으로 하며, 구역의 일부를 분할하거나 제외할 수 없다.
공모신청자격은 대상 구역 내 전체 토지등소유자의 50% 이상 동의를 받은 구역에 주어지며 동의율 산정 기준은 '도시 및 주거환경정비법 시행령' 제33조 1항에 따른 토지등소유자의 동의자 수 산정방법을 따른다.
선도지구 선정평가기준은 국토부 표준평가기준을 바탕으로 마련됐다. 평가항목은 4개로 주민동의율(70점), 대상 구역 내 주차환경개선 시급성(10점), 통합정비 참여주택단지 수(10점) 및 참여 세대수(10점)가 포함돼 총 100점 만점으로 구성됐다.
공모신청은 전체 토지등소유자의 50% 이상 동의로 선임된 선도지구 공모신청 대표자가 신청할 수 있다.
공모 일정은 ▲공모신청서 접수(9월 23일~27일, 5일간) ▲평가 및 심사(10월 말) ▲국토부 협의 ▲선도지구 선정 발표(11월 말) 순으로 진행될 예정이다.
조용익 부천시장은 ""그간 부천시는 중동신도시의 성공적인 재정비를 위해 주민과의 소통에 많은 노력을 기울여 왔다""며 ""앞으로 선도지구 선정 공모과정을 투명하고 차질 없이 진행함과 동시에 공모를 준비하는 주민들에게는 컨설팅을 지원하는 등 행정적 지원을 아끼지 않을 것""이라고 밝혔다.",선도지구
뉴시스,"부천시, ‘중동1기신도시 정비’선도지구선정 공모 발표",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012627596?sid=102,,뉴시스,부천시 '중동 1기 신도시 정비' 선도지구 선정 공모 발표,"[부천=뉴시스]
[부천=뉴시스] 정일형 기자 = 경기 부천시는  '중동 1기 신도시 노후계획도시정비 선도지구 선정 공모'를 시 홈페이지에 공고하고 선도지구 선정을 위한 본격적인 절차에 들어간다고 25일 밝혔다.
이를 위해 시는 9월23일부터 27일까지 선도지구 선정을 위한 공모 신청을 받는다.
이번 선도지구 선정 공모는 지난 4월 시행된 '노후계획도시정비 및 지원에 관한 특별법'(이하 노후계획도시정비법)과 5월 '국토부-경기도-1기 신도시-한국토지주택공사 단체장 간담회'에서 발표한 '1기 신도시 정비 선도지구 선정계획'을 따랐다.
공모 내용은 ▲선도지구 선정 평가 대상구역 및 공모 신청자격 ▲평가 기준 ▲공모 신청방법 등이 포함됐으며, 국토부에서 제시한 '1기 신도시 5개 지자체 표준 공모지침'을 바탕으로 부천시 지역 여건 등을 고려해 마련했다.
선도지구 선정 평가 대상구역은 총 16개 구역으로 '노후계획도시정비법' 취지에 따라 대규모 블록 단위 통합정비가 필요한 구역 전체를 대상으로 해 구역 일부를 분할하거나 제외할 수 없다.
공모 신청자격은 대상구역 내 전체 토지등소유자의 50% 이상 동의를 받은 구역에 주어지며 동의율 산정기준은 '도시 및 주거환경정비법 시행령' 제33조1항에 따른 토지등소유자 동의자 수 산정 방법을 따른다.
선도지구 선정 평가기준은 국토부 표준 평가기준을 바탕으로 마련했다. 평가항목은 4개로 주민동의율(70점), 대상구역 내 주차 환경 개선 시급성(10점), 통합정비 참여 주택단지 수(10점) 및 참여 가구수(10점)를 포함해 총 100점 만점이다.
국토부 표준 평가기준에서 주요 변경 사항은 ▲모든 평가항목을 정량평가로 구성해 선도지구 선정 과정의 객관성을 확보하고 ▲주민동의율 배점을 확대해 평가 변별력이 확보될 수 있다. 또한 정주환경 개선 시급성 평가항목 배점은 10점으로 유지하되 옥외 주차 비율 항목을 추가해 주차 불편 문제가 평가에 반영될 수 있다.
공모 신청은 전체 토지등소유자의 50% 이상 동의로 선임된 선도지구 공모 신청 대표자가 신청할 수 있다. 공모 일정은 ▲공모 신청서 접수(9월 23~27일) ▲평가 및 심사(10월 말) ▲국토부 협의 ▲선도지구 선정 발표(11월 말)순으로 진행한다.
조용익 부천시장은 ""중동 신도시의 성공적인 재정비를 위해 주민과의 소통했다. 앞으로 선도지구 선정 공모 과정을 투명하고 차질 없이 진행할 수 있도록 행정적 지원을 아끼지 않을 것""이라고 밝혔다.",선도지구
