press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"개인정보위, KT·LGU+ 이용자정보 유출의혹 조사 착수",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015617415?sid=100,,연합뉴스,"개인정보위, KT·LGU+ 이용자정보 유출 의혹 조사 착수","""구체적인 사건 경위·개인정보 유출 여부 등 집중 확인""
""KT 소액결제 피해, 카드 정보 유출로 번질 수도""
(서울=연합뉴스) 최재구 기자 = 9일 한 시민이 서울 kt 판매점 앞을 지나고 있다. kt 가입자들의 집단 소액결제 피해가 발생한 가운데 이번 사건이 결제 카드 정보 도난 등 2차 피해로 이어질 수 있다는 전문가 경고가 나왔다. 2025.9.9 jjaeck9@yna.co.kr
(서울=연합뉴스) 양정우 기자 = 개인정보보호위원회가 10일 이용자 정보 유출 의혹을 받아온 KT와 LG유플러스에 대한 조사에 착수했다.
개인정보위는 이날 보도자료를 통해 ""최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생해 개인정보 유출 의혹이 제기되고 있다""며 ""미국 보안 전문지(Phrack)를 통해 KT 및 LGU+에 대한 해킹 정황이 공개된 바 있다""며 조사 착수 배경을 전했다.
개인정보위는 두 통신사의 고객정보 유출 의혹을 언론보도 등을 통해 인지하고, 해당 기업을 대상으로 자료요구와 면담, 유관기관 등과 정보공유 등을 통해 사실관계를 확인해 왔다.
개인정보위는 ""해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라 조사에 착수해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정""이라고 밝혔다.
eddie@yna.co.kr",개인정보유출
연합뉴스,"개인정보위, KT·LGU+ '이용자정보 유출의혹' 조사한다",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015617415?sid=100,,연합뉴스,"개인정보위, KT·LGU+ 이용자정보 유출 의혹 조사 착수","""구체적인 사건 경위·개인정보 유출 여부 등 집중 확인""
""KT 소액결제 피해, 카드 정보 유출로 번질 수도""
(서울=연합뉴스) 최재구 기자 = 9일 한 시민이 서울 kt 판매점 앞을 지나고 있다. kt 가입자들의 집단 소액결제 피해가 발생한 가운데 이번 사건이 결제 카드 정보 도난 등 2차 피해로 이어질 수 있다는 전문가 경고가 나왔다. 2025.9.9 jjaeck9@yna.co.kr
(서울=연합뉴스) 양정우 기자 = 개인정보보호위원회가 10일 이용자 정보 유출 의혹을 받아온 KT와 LG유플러스에 대한 조사에 착수했다.
개인정보위는 이날 보도자료를 통해 ""최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생해 개인정보 유출 의혹이 제기되고 있다""며 ""미국 보안 전문지(Phrack)를 통해 KT 및 LGU+에 대한 해킹 정황이 공개된 바 있다""며 조사 착수 배경을 전했다.
개인정보위는 두 통신사의 고객정보 유출 의혹을 언론보도 등을 통해 인지하고, 해당 기업을 대상으로 자료요구와 면담, 유관기관 등과 정보공유 등을 통해 사실관계를 확인해 왔다.
개인정보위는 ""해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라 조사에 착수해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정""이라고 밝혔다.
eddie@yna.co.kr",개인정보유출
MBN,"개인정보위, KT·LGU+ 이용자정보 유출의혹 조사 착수",네이버뉴스,https://n.news.naver.com/mnews/article/057/0001907587?sid=102,,MBN,"개인정보위, KT·LGU+ '이용자정보 유출 의혹' 조사한다","사진=연합뉴스
개인정보보호위원회가 오늘(10일) 이용자 정보 유출 의혹을 받아온 KT와 LG유플러스에 대한 조사에 착수했습니다.
개인정보위는 보도자료를 통해 ""최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생해 개인정보 유출 의혹이 제기되고 있다""며 ""미국 보안 전문(Phrack)를 통해 KT 및 LGU+에 대한 해킹 정황이 공개된 바 있다""며 조사 착수 배경을 전했습니다.
개인정보위는 두 통신사의 고객정보 유출 의혹을 언론보도 등을 통해 인지하고, 해당 기업을 대상으로 자료요구와 면담, 유관기관 등과 정보공유 등을 통해 사실관계를 확인해 왔습니다.
개인정보위는 ""해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라 조사에 착수해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정""이라고 밝혔습니다.",개인정보유출
노컷뉴스,"개인정보위, KT·LGU+ 이용자정보 유출의혹 조사 착수(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004064750?sid=102,,노컷뉴스,"개인정보위, KT·LGU+ 이용자정보 유출 의혹 조사 착수","""구체적인 사건 경위·개인정보 유출 여부 등 집중 확인""
연합뉴스
개인정보보호위원회가 10일 이용자 정보 유출 의혹을 받아온 KT와 LG유플러스에 대한 조사에 착수했다.
개인정보위는 ""최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생해 개인정보 유출 의혹이 제기되고 있다""며 ""미국 보안 전문지(Phrack)를 통해 KT 및 LGU+에 대한 해킹 정황이 공개된 바 있다""고 조사 착수 배경을 밝혔다.
개인정보위는 두 통신사의 고객정보 유출 의혹을 언론보도 등을 통해 인지하고, 해당 기업을 대상으로 자료요구와 면담, 유관기관 등과 정보공유 등을 통해 사실관계를 확인해 왔다.
개인정보위는 ""해당 기업으로부터 별도의 개인정보 유출 신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라 조사에 착수해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정""이라고 밝혔다.
지난달 미국의 보안 전문지 '프랙'은 KT·LG유플러스를 사이버 공격한 집단을 재해킹한 화이트해커를 인용해 KT의 인증서(SSL 키), LG유플러스의 내부 서버 관리용 계정 권한 관리 시스템(APPM)의 소스 코드 등의 유출이 의심된다고 밝혔다.
프랙 보도에 앞서 화이트해커의 제보를 받은 한국인터넷진흥원(KISA)은 지난 7월 두 통신사에 해킹 의심 사실을 통지했고, 과기정통부는 현장 점검 및 자료 조사 등을 진행 중이다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",개인정보유출
연합뉴스,"[속보] KT·LG유플도 털렸나...개인정보위,유출의혹 조사 착수",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015617807?sid=100,,연합뉴스,"개인정보위, KT·LGU+ 이용자정보 유출 의혹 조사 착수(종합)","""구체적인 사건 경위·개인정보 유출 여부 등 집중 확인""
KT ""공식 입장 없다"", LG유플러스 ""개인정보위 조사 적극 협력""
""KT 소액결제 피해, 카드 정보 유출로 번질 수도""
(서울=연합뉴스) 최재구 기자 = 9일 한 시민이 서울 kt 판매점 앞을 지나고 있다. kt 가입자들의 집단 소액결제 피해가 발생한 가운데 이번 사건이 결제 카드 정보 도난 등 2차 피해로 이어질 수 있다는 전문가 경고가 나왔다. 2025.9.9 jjaeck9@yna.co.kr
(서울=연합뉴스) 양정우 조성미 기자 = 개인정보보호위원회가 10일 이용자 정보 유출 의혹을 받아온 KT와 LG유플러스에 대한 조사에 착수했다.
개인정보위는 이날 보도자료를 통해 ""최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생해 개인정보 유출 의혹이 제기되고 있다""며 ""미국 보안 전문지(Phrack)를 통해 KT 및 LGU+에 대한 해킹 정황이 공개된 바 있다""며 조사 착수 배경을 전했다.
개인정보위는 두 통신사의 고객정보 유출 의혹을 언론보도 등을 통해 인지하고, 해당 기업을 대상으로 자료요구와 면담, 유관기관 등과 정보공유 등을 통해 사실관계를 확인해 왔다.
개인정보위는 ""해당 기업으로부터 별도의 개인정보 유출 신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라 조사에 착수해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정""이라고 밝혔다.
휴대전화 대리점
[연합뉴스 자료사진]
개인정보위 조사 착수에 대해 KT 관계자는 ""공식 입장이 없다""고 밝혔다.
LG유플러스는 ""현재 진행 중인 과학기술정보통신부와 한국인터넷진흥원(KISA) 조사에 협력 중으로, 개인정보위 조사에도 적극 협력하겠다""고 밝혔다.
지난달 미국의 보안 전문지 '프랙'은 KT·LG유플러스를 사이버 공격한 집단을 재해킹한 화이트해커를 인용해 KT의 인증서(SSL 키), LG유플러스의 내부 서버 관리용 계정 권한 관리 시스템(APPM)의 소스 코드 등의 유출이 의심된다고 밝혔다.
프랙 보도에 앞서 화이트해커의 제보를 받은 한국인터넷진흥원(KISA)은 지난 7월 두 통신사에 해킹 의심 사실을 통지했고, 과기정통부는 현장 점검 및 자료 조사 등을 진행 중이다.
다만, 과기정통부는 프랙이 지적한 해킹 건과 KT 무단 소액결제 건과의 연관성이 낮다고 보고 각각의 사건을 개별 조사 중이다.
eddie@yna.co.kr
csm@yna.co.kr",개인정보유출
뉴시스,"[속보]개인정보위, KT·LGU+대상 조사 착수",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013473089?sid=105,,뉴시스,"[속보]개인정보위, KT·LGU+대상 조사 착수","[서울=뉴시스]송혜리 기자 = 개인정보보호위원회는 KT와 LG유플러스의 유출 의혹에 대한 조사에 착수했다고 10일 밝혔다.
최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생해 개인정보 유출 의혹이 제기되고 있으며, 미국 보안 전문지(Phrack)를 통해 KT 및 LG유플러스에 대한 해킹 정황이 공개된 바 있다.
그간 개인정보위는 해당 사실을 언론보도 등을 통해 인지하고, 해당 기업 대상 자료요구 및 면담, 유관기관 등과 정보공유 등 사실관계를 확인해 왔다.
이에 개인정보위는 해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라, 조사에 착수해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정이다．",개인정보유출
뉴시스,KT·LGU+ '개인정보 유출의혹' 조사 착수…소액결제 관련성도,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013473089?sid=105,,뉴시스,"[속보]개인정보위, KT·LGU+대상 조사 착수","[서울=뉴시스]송혜리 기자 = 개인정보보호위원회는 KT와 LG유플러스의 유출 의혹에 대한 조사에 착수했다고 10일 밝혔다.
최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생해 개인정보 유출 의혹이 제기되고 있으며, 미국 보안 전문지(Phrack)를 통해 KT 및 LG유플러스에 대한 해킹 정황이 공개된 바 있다.
그간 개인정보위는 해당 사실을 언론보도 등을 통해 인지하고, 해당 기업 대상 자료요구 및 면담, 유관기관 등과 정보공유 등 사실관계를 확인해 왔다.
이에 개인정보위는 해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라, 조사에 착수해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정이다．",개인정보유출
뉴스1,"개인정보위, '유출의혹' KT·LGU+ 조사 착수(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008477808?sid=100,,뉴스1,KT·LGU+ '개인정보 유출의혹' 조사 착수…소액결제 관련성도,"개보위, 별도 신고 없어 시민단체 민원 등에 조사 시작
10일 서울의 KT 대리점 앞으로 시민들이 지나가고 있다.  2025.9.10/뉴스1 ⓒ News1 박지혜 기자
(서울=뉴스1) 이기림 기자 = 개인정보보호위원회는 10일 KT와 LG유플러스의 개인정보 유출 의혹에 대한 조사에 착수했다.
앞서 미국 보안 전문지 프랙은 최근 북한 또는 중국 배후로 추정되는 해킹 조직이 정부 기관과 국내 통신사 등 민간 기업을 해킹했다는 내용의 보고서를 공개한 바 있다.
이를 통해 KT와 LG유플러스에 대한 해킹 정황이 공개됐고, 최근에는 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생하기도 했다.
개인정보위는 해당 사실을 언론보도 등을 통해 인지하고, 해당 기업 대상 자료요구 및 면담, 유관기관 등과 정보공유 등 사실관계를 확인해 왔다.
개인정보위는 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정이다.
다만 해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았다.",개인정보유출
파이낸셜뉴스,"KT 소액결제 사태에 놀란 개보위…KT·LGU+ ""개인정보 유출조사""",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005404659?sid=105,,파이낸셜뉴스,"개인정보위, '유출 의혹' KT·LGU+ 조사 착수(종합)","10일 서울의 KT 대리점 앞으로 시민들이 지나가고 있다. 2025.9.10/뉴스1 ⓒ News1 박지혜 기자 /사진=뉴스1
[파이낸셜뉴스] 개인정보보호위원회가 KT와 LG유플러스 유출 의혹에 대한 조사에 착수했다고 10일 밝혔다.
개인정보위에 따르면 최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 발생하며 개인정보 유출 의혹이 제기되고 있다. 특히 미국 보안 전문지를 통해 KT 및 LGU+에 대한 해킹 정황이 공개되기도 했다.
그간 개인정보위는 해당 사실을 언론보도 등을 통해 인지하고, 자료요구 및 면담, 유관기관 등과 정보공유 등 사실관계를 확인해 왔다.
개인정보위는 아직 해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았지만 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라, 조사에 착수하기로 했다고 설명했다.
개인정보 보호법 제63조에는 법 위반에 대한 신고를 받거나 민원이 접수된 경우, 개인정보위 조사가 가능하다.
개인정보위 관계자는 ""구체적인 사건 경위 및 개인정보 유출 여부 등을 집중적으로 확인할 예정""이라고 말했다.",개인정보유출
머니투데이,"[속보] 개인정보위, KT·LGU+개인정보 유출의혹 조사한다",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005248377?sid=105,,머니투데이,"KT 소액결제 사태에 놀란 개보위…KT·LGU+ ""개인정보 유출 조사""","고학수 개인정보보호위원회 위원장이 8일 서울 종로구 정부서울청사에서 열린 제1차 개인정보위 전체회의에서 모두발언을 하고 있다./사진=뉴스1
개인정보보호위원회가 KT(케이티)와 LG유플러스 개인정보 유출 의혹에 대한 조사에 착수했다고 10일 밝혔다.
이는 최근 KT 이용자를 대상으로 한 무단 소액결제 사건이 다수 발생하면서 개인정보 유출 의혹이 제기된데 따른 것이다. 앞서 미국 보안 전문지(Phrack)에서 KT 및 LGU+에 대한 해킹 정황이 공개되기도 했다.
개인정보위는 해당 사실을 언론 보도 등을 통해 인지하고, 해당 기업 대상 자료요구 및 면담, 유관기관 등과 정보공유 등 사실관계를 확인해 왔다.
개인정보위는 해당 기업으로부터 별도의 개인정보 유출신고는 접수되지 않았으나, 시민단체의 조사요청 민원과 소액결제 피해자의 침해신고 등이 접수됨에 따라 조사에 착수하기로 했다. 조사를 통해 구체적인 사건 경위 및 개인정보 유출 여부 등을 집중 확인할 예정이다.
한편 개인정보 보호법 제63조(자료제출 요구 및 검사)제1항에 따라 개인정보보호위원회는 해당 법 위반에 대한 신고를 받거나 민원이 접수된 경우, 정보주체의 개인정보 보호를 위해 필요한 경우 조사가 가능하다.",개인정보유출
