press,title,naver_news_text,naver_news_url,body
뉴시스,SKT 40% 점유율 붕괴 초읽기…가입자 40만 잃었다,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013275586?sid=105,
뉴시스,SKT 40% 점유율 깨지나…해킹사고이후 가입자 40만↓,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013275586?sid=105,
세계비즈,"SK텔레콤,해킹 사고후 한 달간 40만 명 가입자 이탈",,,
금융소비자뉴스,"SKT, 점유율 40% 붕괴 위기…“해킹후 40만 가입자 이탈”",,,
마이데일리,"SKT 신규 가입 중단에 불똥 튄 대리점..""한계 임박, 영업 재개 하라""",네이버뉴스,https://n.news.naver.com/mnews/article/117/0003948667?sid=105,
이데일리,"SK텔레콤,유심교체 537만건…예약대기 372만명",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006027201?sid=105,
이데일리,SKT “가입자 537만 명유심교체”…잔여 예약자 372만 명,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006027201?sid=105,
부산일보,"SK텔레콤유심교체 537만 건 돌파… ""금융 피해 가능성 낮다"" 해명",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001328404?sid=101,
EBN,"SKT, 가입자 537만명 '유심교체'…예약자 372만명 남아",,,
뉴시스,SKT유심교체 누적 537만명...예약대기 372만명,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013276215?sid=105,
디지털투데이,SKT유심교체 537만명…예약자 372만명 남아,,,
디지털투데이,"SKT유심사태 ""극복할 수 있다""",,,
이코노믹리뷰,"SKT,유심교체 537만명 완료. 잔여 예약자 372만명 남아",,,
엠투데이,"SKT유심교체 500만 돌파, 신규가입 언제 재개되나…대리점들 “소상공...",,,
더팩트,'SKT유심 해킹' 줄소송…LKB도 집단 소송 착수,네이버뉴스,https://n.news.naver.com/mnews/article/629/0000394798?sid=102,
SBS Biz,"[투자 노하우] 4월 SKT유심 해킹사태 발생…""고객 우려↑""",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000443559?sid=101,
법조신문,"SKT해킹사태 막을 방안은?… ""정보보호 인증제도 취소 등 엄정 제재를...",,,
포인트데일리,유심 해킹사태 틈타 통신업계 '보안 마케팅' 치열,,,
디지털데일리,"[취재수첩] SKT해킹후, 새 정부가 해야 하는 고민",네이버뉴스,https://n.news.naver.com/mnews/article/138/0002197683?sid=105,
EBN,"['25 下 산업전망] 통신,해킹여파 장기화...'주파수·요금제' 이슈",,,
뉴스핌,"SKT 신규 가입 중지 '한 달'…희비 엇갈리는 유통망 현장, 왜?",,,
