press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴스핌,"대구시, 'FIX2025' 성공 개최 킥오프 회의 개최",,,,,,,CES2025
뉴스핌,"FIX2025, 성공 개최 시동! 킥오프 회의 열려",,,,,,,CES2025
NBN미디어,"대구시, ‘FIX2025’ 성공 개최 위한 킥오프 회의 개최",,,,,,,CES2025
헤럴드경제,"대구시, FIX 첫 회의 개최...CES유치활동 결과 및 해외비중 20% 달성 세...",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002420957?sid=102,,헤럴드경제,"대구시, ‘FIX 2025’ 성공 개최 위한 킥오프 회의 개최","[대구시 제공]
[헤럴드경제(대구)=김병진 기자]대구시는 24일 산격청사 대회의실에서 미래혁신기술박람회(FIX·Future Innovative technology eXpo) 조직위원회 관계자들이 한자리에 모인 가운데 행사 성공 개최를 위한 첫 킥오프 회의를 개최했다.
이날 회의는 정장수 경제부시장 주재로 모빌리티, 로봇, ABB 등 지역 미래산업 지원기관장, 엑스코 등 유관기관 및 부서 관계자들이 참석한 가운데 열렸다.
먼저 엑스코 김규식 사업 부사장의 ‘CES 2025 기업유치활동 결과보고’를 시작으로 ‘FIX 2025 세부 추진전략’ 발표, 참석자 자유토론 등으로 이어졌다.
이 자리에서 글로벌 혁신기업 및 콘텐츠 유치 전략, 탑티어급 연사 유치 방안, 문화·관광과 연계한 맞춤형 마이스 프로그램 강화 방안, FIX 2025 슬로건 등 다양한 주제가 논의됐다.
대구시는 지난 ‘CES 2025’ 현장에서 보쉬, 지멘스, 콘티넨탈, 퀄컴, 아마존웹서비스(AWS), 존디어, 파나소닉 등 쟁쟁한 글로벌 기업 130여 개사 부스를 방문해 FIX 2025 참가유치 홍보활동을 전개했다.
정장수 대구시 경제부시장은 “올해 CES에서 보듯 AI를 비롯한 산업 간의 융합은 이제 거스를 수 없는 대세“라며 ”혁신기업 및 콘텐츠 보강을 통해 FIX가 융합전시회 그 자체로 브랜드이자 최고의 경쟁력이 될 수 있도록 최선을 다하겠다”고 말했다.
kbj7653@heraldcorp.com",CES2025
경인일보,CES 2025서 ‘톡톡 튀는’ 기술 선보인 인천 기업 눈길,,,,,,,CES2025
뉴스포스트,"한국마사회, 자체 지원한 '㈜에이아이포펫'CES2025혁신상 수상",,,,,,,CES2025
뉴스포스트,"마사회-에이아이포펫, AI 기반 경주마 보행 진단 기술 혁신상 수상",,,,,,,CES2025
에이빙뉴스,"[Interview] Chanjin Park, Director of Seoul AI Hub: ""AtCES 2025, AI-focu...",,,,,,,CES2025
에이빙뉴스,"[Interview] Changhyoung Lee, Head of Startup Korea Initiative at KISED: ""...",,,,,,,CES2025
에이빙뉴스,"[Interview] Hyungsuk Lee, Deputy Director of Yonsei University Industry F...",,,,,,,CES2025
뉴시스,역대급 불확실성…설 연휴 총수들은 '국내 콕',네이버뉴스,https://n.news.naver.com/mnews/article/003/0013036454?sid=101,,뉴시스,역대급 불확실성…설 연휴 총수들은 '국내 콕',"[서울=뉴시스] 조수정 기자 = 최상목 대통령 권한대행 부총리 겸 기획재정부 장관과 기업인 등이 3일 서울 대한상공회의소에서 열린 경제계 신년인사회에서 박수치고 있다. 왼쪽부터 류진 한국경제인협회장, 최 권한대행, 대한상공회의소 회장인 최태원 SK회장, 이재용 삼성전자 회장, 정의선 현대차 회장, 구광모 LG 회장.(대통령실통신사진기자단) 2025.01.03. chocrystal@newsis.com
[서울=뉴시스]이현주 기자 = 글로벌 경기침체, 트럼프 정부 2기 출범 등 역대급 불확실성 속 6일 간의 설 연휴를 맞아 주요 기업 총수들은 특별한 일정 없이 국내에 머물며 경영 구상에 매진한다.
총수들은 통상 장기 명절 연휴 해외 현장을 찾아 임직원들을 챙기고 해외 거점 사업 등을 점검했지만 올해는 험난한 경영환경 속 내실 다지기에 충실하는 분위기다.
25일 재계에 따르면 이재용 삼성전자 회장은 이번 연휴 해외 출장 없이 국내에 머물며 조용한 명절을 보낼 전망이다.
삼성그룹 회계부정·부당합병 재판으로 정기적으로 법정에 출석하고 있는 이 회장의 경우 설과 추석 연휴를 맞아 주로 해외 출장을 나갔지만 올해는 특별한 일정을 잡지 않은 것으로 전해졌다.
이 회장은 지난해 추석 연휴 프랑스에서 열린 리옹 국제기능올림픽에 참석하고 폴란드 공장을 찾아 임직원들을 격려했다. 설 연휴 때는 말레이시아 스름반 삼성SDI 공장을 찾아 현지 점검을 했다.
하지만 올해는 그룹 핵심 사업인 반도체를 중심으로 전반적인 실적 부진이 이어지면서 근원적인 경쟁력 제고에 고심하고 있다는 전언이다.
여기에 내달 3일 서울고법에서 열리는 항소심 선고공판을 앞두고 활발한 대외활동을 하는 것이 도움이 되지 않는다는 판단을 한 것으로 보는 시각도 있다.
실제 이 회장은 지난 3일 서울 중구 대한상의 회관에서 열린 경제계 신년 인사회에 참석한 뒤 공개 행보를 자제하고 있다.
이달 초 미국 라스베이거스에서 열린 CES 2025에 참석한 뒤 귀국한 최태원 SK그룹 회장도 이번 설 연휴는 별도 외부 일정 없이 국내에서 휴식을 취할 것으로 보인다.
심상치 않은 국제 정세 속 그룹 사업 전반도 살핀다. 최 회장은 지난 19일 KBS 일요진단에 출연, 올해 경제 전망에 대해 ""각종 경제지표가 좋지 않다""며 ""미국 주도의 관세 인상과 이에 따른 인플레이션 압력, AI의 빠른 기술적 변화 등의 불안 요소가 삼각파도로 다가오고 있다""고 우려했다.
아울러 다음달 미국 출장도 준비할 전망이다. 최 회장은 최종현학술원이 미국 워싱턴 D.C.에서 여는 '트랜스퍼시픽 다이얼로그'(TPD)에 참석한 뒤 미국 정·재계 인사들과 만날 예정인 만큼 이에 대한 준비도 진행할 것으로 보인다.
정의선 현대차그룹 회장과 구광모 LG그룹 회장 역시 특별한 일정 없이 국내에 머물며 가족과 시간을 보내는 한편 신년 경영 구상에 집중할 전망이다.
정 회장은 지난 6일 그룹 신년 행사를 통해 ""지금 당면한 상황이 여러 가지로 어려운 건 사실""이라면서 ""이런 위기는 우리만의 문제가 아니며, 오히려 (스스로) 채찍질을 할 수 있기 때문에 자신감을 가지고 능동적으로 헤쳐 나가면 어느 순간 더 높아져 있을 것""이라고 구성원들을 독려했다.
구 회장도 인공지능(AI)과 로봇, 헬스케어, 바이오, 클린테크 등 그룹 주력 사업 성장 방안을 고민할 것으로 알려졌다.
그는 신년사를 통해 LG가 꿈꾸는 미래 모습으로 ▲AI와 로봇을 일상에서 편리하게 사용하고 ▲헬스케어와 혁신 신약으로 사랑하는 사람들과 오래 함께할 수 있도록 하며 ▲탄소와 폐기물을 줄이고 이를 유용한 자원으로 바꾸는 혁신 등을 제시했다．",CES2025
뉴시스,회장님의 설연휴는 ‘위기 극복 전략 구상의 시간’,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013036454?sid=101,,뉴시스,역대급 불확실성…설 연휴 총수들은 '국내 콕',"[서울=뉴시스] 조수정 기자 = 최상목 대통령 권한대행 부총리 겸 기획재정부 장관과 기업인 등이 3일 서울 대한상공회의소에서 열린 경제계 신년인사회에서 박수치고 있다. 왼쪽부터 류진 한국경제인협회장, 최 권한대행, 대한상공회의소 회장인 최태원 SK회장, 이재용 삼성전자 회장, 정의선 현대차 회장, 구광모 LG 회장.(대통령실통신사진기자단) 2025.01.03. chocrystal@newsis.com
[서울=뉴시스]이현주 기자 = 글로벌 경기침체, 트럼프 정부 2기 출범 등 역대급 불확실성 속 6일 간의 설 연휴를 맞아 주요 기업 총수들은 특별한 일정 없이 국내에 머물며 경영 구상에 매진한다.
총수들은 통상 장기 명절 연휴 해외 현장을 찾아 임직원들을 챙기고 해외 거점 사업 등을 점검했지만 올해는 험난한 경영환경 속 내실 다지기에 충실하는 분위기다.
25일 재계에 따르면 이재용 삼성전자 회장은 이번 연휴 해외 출장 없이 국내에 머물며 조용한 명절을 보낼 전망이다.
삼성그룹 회계부정·부당합병 재판으로 정기적으로 법정에 출석하고 있는 이 회장의 경우 설과 추석 연휴를 맞아 주로 해외 출장을 나갔지만 올해는 특별한 일정을 잡지 않은 것으로 전해졌다.
이 회장은 지난해 추석 연휴 프랑스에서 열린 리옹 국제기능올림픽에 참석하고 폴란드 공장을 찾아 임직원들을 격려했다. 설 연휴 때는 말레이시아 스름반 삼성SDI 공장을 찾아 현지 점검을 했다.
하지만 올해는 그룹 핵심 사업인 반도체를 중심으로 전반적인 실적 부진이 이어지면서 근원적인 경쟁력 제고에 고심하고 있다는 전언이다.
여기에 내달 3일 서울고법에서 열리는 항소심 선고공판을 앞두고 활발한 대외활동을 하는 것이 도움이 되지 않는다는 판단을 한 것으로 보는 시각도 있다.
실제 이 회장은 지난 3일 서울 중구 대한상의 회관에서 열린 경제계 신년 인사회에 참석한 뒤 공개 행보를 자제하고 있다.
이달 초 미국 라스베이거스에서 열린 CES 2025에 참석한 뒤 귀국한 최태원 SK그룹 회장도 이번 설 연휴는 별도 외부 일정 없이 국내에서 휴식을 취할 것으로 보인다.
심상치 않은 국제 정세 속 그룹 사업 전반도 살핀다. 최 회장은 지난 19일 KBS 일요진단에 출연, 올해 경제 전망에 대해 ""각종 경제지표가 좋지 않다""며 ""미국 주도의 관세 인상과 이에 따른 인플레이션 압력, AI의 빠른 기술적 변화 등의 불안 요소가 삼각파도로 다가오고 있다""고 우려했다.
아울러 다음달 미국 출장도 준비할 전망이다. 최 회장은 최종현학술원이 미국 워싱턴 D.C.에서 여는 '트랜스퍼시픽 다이얼로그'(TPD)에 참석한 뒤 미국 정·재계 인사들과 만날 예정인 만큼 이에 대한 준비도 진행할 것으로 보인다.
정의선 현대차그룹 회장과 구광모 LG그룹 회장 역시 특별한 일정 없이 국내에 머물며 가족과 시간을 보내는 한편 신년 경영 구상에 집중할 전망이다.
정 회장은 지난 6일 그룹 신년 행사를 통해 ""지금 당면한 상황이 여러 가지로 어려운 건 사실""이라면서 ""이런 위기는 우리만의 문제가 아니며, 오히려 (스스로) 채찍질을 할 수 있기 때문에 자신감을 가지고 능동적으로 헤쳐 나가면 어느 순간 더 높아져 있을 것""이라고 구성원들을 독려했다.
구 회장도 인공지능(AI)과 로봇, 헬스케어, 바이오, 클린테크 등 그룹 주력 사업 성장 방안을 고민할 것으로 알려졌다.
그는 신년사를 통해 LG가 꿈꾸는 미래 모습으로 ▲AI와 로봇을 일상에서 편리하게 사용하고 ▲헬스케어와 혁신 신약으로 사랑하는 사람들과 오래 함께할 수 있도록 하며 ▲탄소와 폐기물을 줄이고 이를 유용한 자원으로 바꾸는 혁신 등을 제시했다．",CES2025
