press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
한국경제,대출규제에 결국…카카오뱅크 3분기 순익 10% 줄었다,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005207359?sid=101,,한국경제,대출규제에 결국…카카오뱅크 3분기 순익 10% 줄었다,"카카오뱅크 3분기 실절 발표
3년 만에 순이익 전년比 감소전환
가계대출 규제로 여신성장 못하자
이자이익 전년 동기 대비 2% 감소
사진=연합뉴스
인터넷은행 카카오뱅크의 지난 3분기 순이익이 전년 동기 대비 10% 넘게 감소한 것으로 집계됐다. 이전까지 실적을 발표할 때마다 최고 실적을 갈아치우던 카카오뱅크의 실적이 전년 동기 대비 감소한 것은 2022년 2분기 이후 약 3년 만에 처음이다. 정부의 고강도 가계대출 억제 정책으로 여신 성장에 제동이 걸리면서 이자이익이 2% 넘게 줄어든 결과다.
카카오뱅크는 지난 3분기 순이익이 1114억원으로 집계됐다고 5일 공시했다. 지난해 같은 기간(1242억원)과 비교하면 10.3%(128억원) 줄었다. 카카오뱅크의 분기 단위 순이익이 전년 동기 대비 감소한 것은 2022년 2분기 이후 처음이다.
핵심 수익원인 이자이익이 감소한 점이 실적 감소를 이끌었다. 카카오뱅크의 이자이익은 작년 3분기 3270억원에서 올해 3분기 3204억원으로 66억원(2%) 감소했다.
정부의 가계대출 억제 정책으로 성장세가 둔화된 점이 이자이익 감소로 이어졌다는 분석이 나온다. 인터넷은행은 대기업 대상 대출이 법으로 금지돼 있고 중소기업 대출도 대면영업이 불가능해 현실적으로 어려운 만큼 가계대출을 늘리지 못하면 여신 성장이 구조적으로 어렵다.
이에 카카오뱅크의 여신 잔액은 지난 3분기 말 45조2350억원으로 전년 동기(42조8890억원) 대비 5.5% 늘어나는 데 그쳤다. 카카오뱅크의 여신 성장률은 작년 1분기 41.1%에 달했지만 정부가 강력하게 가계대출을 옥죄기 시작하면서 점점 낮아지더니 올해엔 한 자릿수로 줄었다.
카카오뱅크 제공
여신과 달리 수신은 큰 폭으로 늘었다. 카카오뱅크의 지난 3분기 말 수신 잔액은 65조7420억원으로 전년 동기(54조3410억원) 대비 21% 증가했다. 특히 대표적 요구불예금 상품인 모임통장 잔액이 같은 기간 8조1000억원에서 10조5000억원으로 30% 급증했다.
예·적금 등 수신은 급증하는데 대출을 내줄 수 없다 보니 카카오뱅크는 국공채와 같은 투자자산에 대한 운용 규모를 늘렸다. 카카오뱅크의 자금운용자산 규모는 작년 3분기 16조1000억원에서 올해 3분기 25조7000억원으로 60% 급증했다. 운용자산 확대에 따라 자금운용손익은 같은 기간 1368억원에서 1811억원으로 32.4% 늘었다.
카카오뱅크 제공
카카오뱅크는 비이자수익을 확대하는 가운데 가계대출 대신 개인사업자 대상 대출을 확대하는 방향으로 돌파구를 모색한다는 방침을 세웠다. 이에 지난달엔 개인사업자 대상 부동산담보대출 상품을 새로 출시하기도 했다. 부동산담보대출이 개인사업자의 대출 시장에서 80%를 차지하는 만큼 그동안 신용대출만 개인사업자에게 공급해온 카카오뱅크는 이번 신상품 출시를 계기로 여신을 크게 확대할 수 있을 것으로 기대하고 있다.
권태훈 카카오뱅크 최고재무책임자(CFO)는 컨퍼런스콜에서 ""6·27 대출규제 영향으로 3분기 가계대출 순증 규모가 미미했으나, 9월부터 보금자리론을 포함한 여신 성장이 본격적으로 개선되고 있다""며 ""4분기에는 개인사업자 부동산담보대출과 함께 보금자리론의 본격적 실행에 힘입어 여신 성장이 확실히 개선될 것으로 기대된다""고 강조했다.",대출규제
한국경제,"카카오뱅크, 가계대출 규제로 3분기 순익 1114억… 전년비 10.3%↓",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005207359?sid=101,,한국경제,대출규제에 결국…카카오뱅크 3분기 순익 10% 줄었다,"카카오뱅크 3분기 실절 발표
3년 만에 순이익 전년比 감소전환
가계대출 규제로 여신성장 못하자
이자이익 전년 동기 대비 2% 감소
사진=연합뉴스
인터넷은행 카카오뱅크의 지난 3분기 순이익이 전년 동기 대비 10% 넘게 감소한 것으로 집계됐다. 이전까지 실적을 발표할 때마다 최고 실적을 갈아치우던 카카오뱅크의 실적이 전년 동기 대비 감소한 것은 2022년 2분기 이후 약 3년 만에 처음이다. 정부의 고강도 가계대출 억제 정책으로 여신 성장에 제동이 걸리면서 이자이익이 2% 넘게 줄어든 결과다.
카카오뱅크는 지난 3분기 순이익이 1114억원으로 집계됐다고 5일 공시했다. 지난해 같은 기간(1242억원)과 비교하면 10.3%(128억원) 줄었다. 카카오뱅크의 분기 단위 순이익이 전년 동기 대비 감소한 것은 2022년 2분기 이후 처음이다.
핵심 수익원인 이자이익이 감소한 점이 실적 감소를 이끌었다. 카카오뱅크의 이자이익은 작년 3분기 3270억원에서 올해 3분기 3204억원으로 66억원(2%) 감소했다.
정부의 가계대출 억제 정책으로 성장세가 둔화된 점이 이자이익 감소로 이어졌다는 분석이 나온다. 인터넷은행은 대기업 대상 대출이 법으로 금지돼 있고 중소기업 대출도 대면영업이 불가능해 현실적으로 어려운 만큼 가계대출을 늘리지 못하면 여신 성장이 구조적으로 어렵다.
이에 카카오뱅크의 여신 잔액은 지난 3분기 말 45조2350억원으로 전년 동기(42조8890억원) 대비 5.5% 늘어나는 데 그쳤다. 카카오뱅크의 여신 성장률은 작년 1분기 41.1%에 달했지만 정부가 강력하게 가계대출을 옥죄기 시작하면서 점점 낮아지더니 올해엔 한 자릿수로 줄었다.
카카오뱅크 제공
여신과 달리 수신은 큰 폭으로 늘었다. 카카오뱅크의 지난 3분기 말 수신 잔액은 65조7420억원으로 전년 동기(54조3410억원) 대비 21% 증가했다. 특히 대표적 요구불예금 상품인 모임통장 잔액이 같은 기간 8조1000억원에서 10조5000억원으로 30% 급증했다.
예·적금 등 수신은 급증하는데 대출을 내줄 수 없다 보니 카카오뱅크는 국공채와 같은 투자자산에 대한 운용 규모를 늘렸다. 카카오뱅크의 자금운용자산 규모는 작년 3분기 16조1000억원에서 올해 3분기 25조7000억원으로 60% 급증했다. 운용자산 확대에 따라 자금운용손익은 같은 기간 1368억원에서 1811억원으로 32.4% 늘었다.
카카오뱅크 제공
카카오뱅크는 비이자수익을 확대하는 가운데 가계대출 대신 개인사업자 대상 대출을 확대하는 방향으로 돌파구를 모색한다는 방침을 세웠다. 이에 지난달엔 개인사업자 대상 부동산담보대출 상품을 새로 출시하기도 했다. 부동산담보대출이 개인사업자의 대출 시장에서 80%를 차지하는 만큼 그동안 신용대출만 개인사업자에게 공급해온 카카오뱅크는 이번 신상품 출시를 계기로 여신을 크게 확대할 수 있을 것으로 기대하고 있다.
권태훈 카카오뱅크 최고재무책임자(CFO)는 컨퍼런스콜에서 ""6·27 대출규제 영향으로 3분기 가계대출 순증 규모가 미미했으나, 9월부터 보금자리론을 포함한 여신 성장이 본격적으로 개선되고 있다""며 ""4분기에는 개인사업자 부동산담보대출과 함께 보금자리론의 본격적 실행에 힘입어 여신 성장이 확실히 개선될 것으로 기대된다""고 강조했다.",대출규제
머니S,카카오뱅크 누적 3분기 순익 3751억원…대출 규제에도 최대 실적,네이버뉴스,https://n.news.naver.com/mnews/article/417/0001111294?sid=101,,머니S,"카카오뱅크, 가계대출 규제로 3분기 순익 1114억… 전년비 10.3%↓","직전 분기 비교해서는 11% 순이익 줄어
비이자수익 성장으로 실적부진 일부 상쇄
카카오뱅크의 올 3분기 순이익이 지난해 같은 기간보다 10.3% 감소했다./사진=카카오뱅크
카카오뱅크의 3분기 실적이 1년 전과 비교해 하락했다. 가계대출 규제로 이자수익이 줄면서 영업이익과 순이익 모두 뒷걸음쳤다.
카카오뱅크는 5일 '2025년 3분기 경영실적 발표'를 통해 올 3분기 영업이익이 1511억원, 당기순이익은 1114억원을 기록했다고 밝혔다. 1년 전과 비교해 각각 13.0%, 10.3% 줄어든 수치다. 3분기 누적기준 영업이익은 5043억원, 당기순이익은 3751억원으로 전년과 비교해 2.5%, 5.5% 각각 늘었다.
카카오뱅크는 올해 1·2분기 영업이익으로 각각 1830억원과 1701억원, 당기순이익은 각각 1374억원과 1263억원을 기록한 바 있다. 직전 분기인 올 2분기와 비교해 한 분기만에 영업이익과 당기순이익이 각각 11% 떨어졌다.
올 3분기 실적이 부진했던 건 여신이자수익 감소 영향이 컸다. 3분기 여신이자수익은 4922억원으로 전년동기와 비교해 5.1% 축소됐다.
이 기간 비이자수익이 2725억원으로 19.7% 급증하며 수익성 하락을 일부 만회했지만, 대출이자 의존도에서 벗어나 수익원 다변화, 포트폴리오 재편이 과제인 셈이다.
3분기 말 총 여신 잔액은 45조2000억원으로, 가계대출은 전분기와 비교해 약 2000억원 증가했다. 카카오뱅크의 3분기 중·저신용 대출 잔액 비중은 32.9%로 집계됐다.
카카오뱅크 3분기 수신 잔액은 65조7000억원이다. 카카오뱅크는 2027년까지 3000만명의 고객을 확보하고 총 수신 90조원 달성을 목표로 뒀다.
카카오뱅크는 고객이 가장 자주 사용하는 서비스에 AI 기술을 접목해 'AI 기반의 금융생활 앱'으로 거듭난다는 계획이다. 상반기 선보인 대화형 AI 서비스 'AI 검색'과 'AI 금융계산기' 이용자 수는 출시 100일 만에 누적 이용자 100만명을 돌파했다.
카카오뱅크 관계자는 ""연내 모임통장 등 카카오뱅크의 상품, 서비스에도 AI 기술을 접목해 고객의 금융생활 혁신을 선도하겠다""고 밝혔다.",대출규제
전자신문,대출 규제에 카뱅 3분기 실적 '주춤'…개인사업자·자금운용 집중,네이버뉴스,https://n.news.naver.com/mnews/article/030/0003367048?sid=101,,전자신문,카카오뱅크 누적 3분기 순익 3751억원…대출 규제에도 최대 실적,"카카오뱅크 3분기 누적 실적 추이
카카오뱅크가 정부 대출 규제 강화에도 불구하고, 누적 3분기 기준으로 역대 최대 실적을 기록했다. 여신이자수익이 줄었지만, 비이자수익 확대와 플랫폼 사업 성장세가 이를 상쇄했다.
5일 카카오뱅크에 따르면 2025년 누적 3분기 영업이익은 5043억원, 순이익은 3751억원으로 집계됐다. 전년 동기 대비 각각 2.5%, 5.5% 증가하며 역대 최대치를 경신했다.
'6·27 가계부채 관리 방안'을 시작으로 4개월 새 세 번의 대출 규제가 시행되면서 주택담보대출과 신용대출이 모두 위축돼 3분기 영업이익과 순이익은 각각 1511억원, 1114억원으로 전년 대비 13%, 10% 감소했다.
3분기 말 기준 총여신 잔액은 45조 2000억원, 전분기 대비 2000억원 증가에 그쳤다. 가계대출 증가세 둔화로 순이자마진(NIM)은 1.81%로 전분기 대비 0.11%포인트 하락했다
카카오뱅크는 여신이자수익은 줄었지만, 비이자수익이 크게 늘며 실적을 견인했다. 카카오뱅크의 3분기 누적 비이자수익은 8352억 원으로 전년 대비 26.7% 증가했다. 전체 영업수익에서 비이자수익 비중은 36%로 전년 대비 6%p 상승했다
특히 '대출 비교 서비스'는 제휴 금융사가 70여곳으로 확대됐고, 제휴사 대출 실행액이 1조 2240억 원, 전년 대비 22% 늘었다. 또 펀드·MMF 합산 잔고가 1조원을 돌파했다.
플랫폼 경쟁력도 강화됐다. 3분기 말 기준 고객 수는 2624만명, 월간활성이용자수(MAU)는 1997만명으로 사상 최대치를 기록했다. 수신 잔액은 65조 7000억원, 올해에만 10조원 이상 증가했다. 이는 모임통장, PLCC, 우리아이통장 등 생활밀착형 서비스가 고객 트래픽을 견인한 결과로 분석된다. 모임통장 이용자는 1220만명으로 전체 요구불예금 잔액 중 27%를 차지했다.
소상공인 금융 지원에도 속도를 내고 있다. 3분기 개인사업자 대출 잔액은 2조 8000억 원으로, 올해 여신 잔액 순증액의 40% 이상을 차지했다. 카카오뱅크는 지난달 개인사업자 부동산담보대출을 출시한 데 이어, 세금·사업장 관리 등 사업자 고객을 위한 통합 솔루션 제공으로 서비스를 확대할 계획이다.
카카오뱅크는 컨퍼런스콜에서 “4분기에 보금자리론 상품 실행이 본격화해서 여신 성장에 기여할 것이고, 지난 10월에 출시한 개인사업자 담보대출을 포함한 전체적인 개인 사업자 대출이 성장을 이끌어 4분기는 여신 분야에서 성장을 전망한다”고 말했다.
카카오뱅크 실적 추이",대출규제
아시아투데이,"고강도대출 규제직격탄… 카카오뱅크, 성장 엔진 주춤",,,,,,,대출규제
데일리안,"저축은행, 지역 내 여신비중규제완화…비수도권대출유도",네이버뉴스,https://n.news.naver.com/mnews/article/119/0003021482?sid=101,,데일리안,"저축은행, 지역 내 여신비중 규제 완화…비수도권 대출 유도","햇살론 등 정책상품 가중치 150%로 상향
수도권·비수도권 여신 가중치 차등 적용
소형 저축은행 비대면 대출 확대 유도
저축은행의 지역 내 영업비중 규제가 완화되고, 자산건전성 분류 기준이 개선된다.ⓒ금융위원회
[데일리안 = 김민환 기자] 저축은행의 지역 내 영업비중 규제가 완화되고, 자산건전성 분류 기준이 개선된다. 수도권 쏠림을 막고 서민·자영업자 지원 기능을 강화하기 위한 조치다.
금융위원회는 5일 정례회의에서 ‘상호저축은행업감독규정’ 개정안을 의결했다고 밝혔다. 이번 개정안은 지난 3월 발표한 ‘저축은행 역할 제고방안’ 후속 조치로 이날부터 시행된다.
우선 서민·자영업자 금융지원을 확대하기 위해 햇살론 등 정책서민금융상품에 대해 영업구역 내 여신비율 산정 시 가중치를 기존 100%에서 150%로 상향한다. 지역신용보증재단 보증부 대출도 130%에서 150%로 높인다.
영업구역을 복수로 보유한 저축은행의 여신 쏠림 완화를 위해 수도권 여신은 90%, 비수도권 여신은 110% 가중치를 적용한다. 다만 비수도권 대출 확대를 위한 1년의 유예기간이 부여된다.
자산 1조원 이하 중소형 저축은행의 경우 영업구역 내 여신비율 산정 시 영업구역 외 비대면 개인신용대출의 50%를 총여신에서 제외해 비대면 대출 확대를 유도한다.
자산건전성 분류 기준도 개선된다. 고정 이하 분류 여신을 보유한 거래처라도 예·적금 담보대출 및 금융기관 보증부 대출은 정상분류를 허용하고, 가압류·압류 금액이 소액일 경우 정상 분류 예외를 둔다.
아울러 지난해 금융권 공통 모범규준으로 운영 중인 부동산PF 사업성 평가기준(양호·보통·유의·부실우려 4단계 분류)을 감독규정에 반영한다.
이와 함께 예대율 산정 시 민간 중금리대출 10%를 제외하는 감독업무시행세칙과 완화된 저축은행 M&A 기준도 이날부터 시행된다. 금융지주 회사를 정기 대주주 적격성 심사 대상에서 제외하는 시행령 개정안은 연내 완료될 예정이다.",대출규제
서울경제,부동산규제·증시 불장에 '이대출' 쑥…넉달새 1000억 ↑,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004551959?sid=101,,서울경제,부동산 규제·증시 불장에 '이 대출' 쑥…넉달새 1000억 ↑,"5대은행 잔액 3.9조로 증가
6·27대책 뒤 수요확대 추세
한 시중은행에 주택청약종합저축을 소개하는 안내판이 설치돼 있다. 뉴스1
[서울경제]
주택청약 통장을 담보로 돈을 빌릴 수 있는 주택청약종합저축 담보 대출이 크게 늘고 있다. 부동산 대출 규제 강화와 증시 활황이 겹친 영향으로 풀이된다.
4일 금융계에 따르면 KB·신한·하나·우리·NH농협 등 5대 은행의 주택청약 담보대출 잔액은 3일 기준 3조 9876억 원으로 전월 말(3조 9738억 원) 대비 138억 원 증가했다. 주말을 제외하면 1영업일 만에 지난달 전체 증가 폭(76억 원)의 두 배 가까이 는 것이다.
올해 들어 6·27 대책, 스트레스 DSR 3단계 시행, 10·15 대책 등 부동산 대출 규제가 강화하고 있기 때문이라는 분석이 나온다. 주택청약 담보 대출은 차주별 DSR 규제가 적용되지 않아 ‘풍선 효과’가 발생하고 있다는 것이다. 실제 주택청약 담보 대출 잔액은 6월 말 3조 8792억 원에서 7월 말 3조 8946억 원, 8월 말 3조 9056억 원, 9월 말 3조 9662억 원, 10월 말 3조 9738억 원으로 매달 증가 중이다.
지난달 코스피가 4000선을 돌파하며 랠리를 이어가자 청약 통장을 통해서라도 돈을 빌려 투자하려는 이들도 늘어난 것으로 분석된다. 잔액이 급증한 3일 역시 코스피 지수가 4200선을 돌파하며 사상 최고치를 기록했다.
주택청약 담보대출은 청약저축 납입금액 을 담보로 가계 자금을 빌릴 수 있는 상품이다. 예금담보대출의 일종으로 대개 청약 납입금의 95~100% 수준까지 대출이 가능하다. 청약 담보 대출을 하더라도 청약 자격이나 납입 인정금액에 불이익은 없다.
시중은행의 한 관계자는 “주식시장 투자와 대출 규제 우회를 위해 청약 통장을 통해서라도 돈을 빌리려는 수요가 늘어난 것으로 보인다""고 설명했다.",대출규제
뉴스1,대출 규제에 서울 분양권 시장도 냉각…'억대 마이너스피' 현실화,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008585344?sid=101,,뉴스1,대출 규제에 서울 분양권 시장도 냉각…'억대 마이너스피' 현실화,"분양가 40% 한도·전세 활용 막히자 자금난 가중
""분양시장 침체 지속…입지별 양극화 심화 전망""
서울 남산에서 바라본 아파트 단지 모습. (자료사진) /뉴스1 ⓒ News1 오대일 기자
(서울=뉴스1) 황보준엽 기자 = 정부의 고강도 부동산 규제와 대출 제한으로 서울 분양시장이 냉각 조짐을 보이고 있다. 노원·도봉·강북 등 '노도강' 지역에서는 분양가보다 수천만 원에서 많게는 1억 원 이상 낮은 매물이 속속 등장하며, 예비 청약자와 투자자의 부담이 커지고 있다.
특히 중도금 대출 한도 축소와 전세 활용 불가로 자금 마련이 어려워지면서 분양시장 한파가 확산되는 모습이다.
5일 부동산 업계에 따르면 서울 강북구 미아동 한화포레나미아 전용 84㎡ 매물이 최근 10억 4750만 원에 등록됐다. 해당 평형대의 분양가는 약 11억 5000만 원 수준으로, 1억 원가량 낮은 금액이다.
같은 지역의 엘리프미아역2단지 전용 84㎡는 분양가보다 2000만 원 낮은 9억 4679만 원에 매물이 등록됐다.
수요가 풍부하다는 서울에서 억대 마이너스피가 나타난 것은 이례적이라는 평가다.
도봉구 창동 도봉금호어울림리버파크 전용 84㎡ 역시 8억 5700만 원에 매물이 나왔으며, 옵션가(1560만 원)를 합산하면 실제 손실 규모는 약 5560만 원에 달한다.
성북구 장위동 푸르지오라디우스파크 전용 82㎡는 기존 매물 대비 2000만 원 낮은 12억 3282만 원으로 재등록됐다.
도봉구 A 공인중개사사무소 관계자는 ""전세를 통해 잔금을 충당할 수 없어 거래가 막히고, 자금 여력이 부족한 집주인들이 어쩔 수 없이 가격을 낮추고 있다""고 말했다.
전문가들은 최근 분양시장 냉각의 배경으로 대출 규제 강화와 전세 불가를 꼽는다.
정부가 규제지역을 전면 확대하면서 중도금 대출 한도가 기존 분양가의 60%에서 40% 수준으로 줄었고, 세입자의 전세보증금을 통한 잔금 납부도 불가능해졌다.
송승현 도시와경제 대표는 ""전세를 통한 잔금 마련도 어렵고 규제지역 지정으로 중도금 한도까지 줄어들면서 가격을 낮춰서라도 매도를 진행하는 분위기""라고 설명했다.
한편 분양 경쟁률이 줄어들고, 급지별 양극화가 심화할 것이라는 전망도 나온다.
심형석 우대빵연구소 소장은 ""중도금 대출 한도가 60%에서 40%로 줄어들면 입지가 떨어진 단지는 수요를 받기 어려울 것""이라며 ""서울 내 인기 지역과 비인기 지역 간 양극화 현상이 심화될 수 있다""고 진단했다.
송 대표는 ""자금 여력이 충분하지 않은 수요자는 분양을 포기할 가능성이 크고, 입지가 상대적으로 떨어지는 곳은 경쟁에서 밀리게 된다""며 ""결국 분양 성적은 지역별로 극명하게 나뉘게 될 것""이라고 말했다.",대출규제
매일경제,서울 아파트 결국 15억에 수렴한다고?…대출규제로 가격 ‘키 맞추기’,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005584128?sid=101,,매일경제,서울 아파트 결국 15억에 수렴한다고?…대출규제로 가격 ‘키 맞추기’,"주담대 6억원 가능 구간에 거래 집중
“13~14억대 매물 호가 조정하는 추세”
남산에서 서울의 아파트와 주택들이 보이고 있다. [김호영기자]
정부가 주택담보대출(주담대) 한도를 주택가격 구간별로 차등 적용하면서 서울 아파트 시장에 ‘15억 원 맞추기’ 현상이 뚜렷해지고 있다. 주담대 최대 한도인 6억 원을 받을 수 있는 15억 원 이하 구간이 사실상 ‘마지노선’으로 작용하며 거래가 이 구간에 집중되고 있다.
4일 국토교통부 실거래가 공개시스템에 따르면 강동구 고덕동 ‘고덕센트럴푸르지오’ 전용면적 59㎡D형은 지난달 18일 14억5000만 원에 신고가로 거래됐다. 불과 한 달 전까지만 해도 13억 원대에 거래되던 아파트로, 한 달 새 1억 원 가까이 오른 셈이다. 현재 호가도 최저 14억9000만 원 수준이다.
비슷한 흐름이 서울 전역에서 나타나고 있다. 송파구 가락동 ‘가락대림’ 전용 84㎡는 지난달 22일 14억7000만 원에 실거래됐다. 올해 초 11억 원대에서 3억 원 이상 상승한 가격이다. 동작구 본동 ‘삼성래미안’ 전용 84㎡도 직전 거래보다 1억4000만 원 오른 14억7000만 원에 거래되며 최고가를 새로 썼다.
고덕동의 한 공인중개사는 “예전에는 13억~14억 원대에 매물을 내놨지만, 지금은 대출 한도에 맞춰 15억 원에 근접한 가격으로 호가를 조정하는 추세”라며 “앞으로도 이 구간이 가격 기준점 역할을 할 것”이라고 말했다.
“대출 한도가 가격 결정의 핵심 기준선”
이 같은 현상은 정부의 주담대 한도 조정과 밀접한 관련이 있다. 정부는 주택가격에 따라 대출 가능 금액을 세분화해, 고가 아파트일수록 대출 한도를 줄였다. 새 제도에 따르면 15억 원 이하 주택은 6억 원, 15억∼25억 원 이하는 4억 원, 25억 원 초과는 2억 원까지만 대출이 가능하다.
전문가들은 이러한 제도 변화가 가격 ‘키 맞추기’를 더욱 심화시킬 것으로 내다보고 있다. 대출 한도가 실수요자의 구매 가능 금액을 결정짓는 핵심 기준이 되면서, 매도자와 매수자 모두 15억 원 구간을 중심으로 거래를 조정하고 있기 때문이다.
윤수민 NH농협은행 부동산전문위원은 “토지거래허가구역 지정에도 불구하고 현재는 매도자 우위 시장이 유지되고 있다”며 “15억 원 이하 구간이 주담대 최대 한도 구간인 만큼, 10억 원대 중반 아파트들이 15억 원에 수렴할 가능성이 크다”고 말했다.",대출규제
매일경제,'15억원 이하' 새 기준선…대출 규제로 서울 아파트값 '키맞추기',네이버뉴스,https://n.news.naver.com/mnews/article/009/0005584128?sid=101,,매일경제,서울 아파트 결국 15억에 수렴한다고?…대출규제로 가격 ‘키 맞추기’,"주담대 6억원 가능 구간에 거래 집중
“13~14억대 매물 호가 조정하는 추세”
남산에서 서울의 아파트와 주택들이 보이고 있다. [김호영기자]
정부가 주택담보대출(주담대) 한도를 주택가격 구간별로 차등 적용하면서 서울 아파트 시장에 ‘15억 원 맞추기’ 현상이 뚜렷해지고 있다. 주담대 최대 한도인 6억 원을 받을 수 있는 15억 원 이하 구간이 사실상 ‘마지노선’으로 작용하며 거래가 이 구간에 집중되고 있다.
4일 국토교통부 실거래가 공개시스템에 따르면 강동구 고덕동 ‘고덕센트럴푸르지오’ 전용면적 59㎡D형은 지난달 18일 14억5000만 원에 신고가로 거래됐다. 불과 한 달 전까지만 해도 13억 원대에 거래되던 아파트로, 한 달 새 1억 원 가까이 오른 셈이다. 현재 호가도 최저 14억9000만 원 수준이다.
비슷한 흐름이 서울 전역에서 나타나고 있다. 송파구 가락동 ‘가락대림’ 전용 84㎡는 지난달 22일 14억7000만 원에 실거래됐다. 올해 초 11억 원대에서 3억 원 이상 상승한 가격이다. 동작구 본동 ‘삼성래미안’ 전용 84㎡도 직전 거래보다 1억4000만 원 오른 14억7000만 원에 거래되며 최고가를 새로 썼다.
고덕동의 한 공인중개사는 “예전에는 13억~14억 원대에 매물을 내놨지만, 지금은 대출 한도에 맞춰 15억 원에 근접한 가격으로 호가를 조정하는 추세”라며 “앞으로도 이 구간이 가격 기준점 역할을 할 것”이라고 말했다.
“대출 한도가 가격 결정의 핵심 기준선”
이 같은 현상은 정부의 주담대 한도 조정과 밀접한 관련이 있다. 정부는 주택가격에 따라 대출 가능 금액을 세분화해, 고가 아파트일수록 대출 한도를 줄였다. 새 제도에 따르면 15억 원 이하 주택은 6억 원, 15억∼25억 원 이하는 4억 원, 25억 원 초과는 2억 원까지만 대출이 가능하다.
전문가들은 이러한 제도 변화가 가격 ‘키 맞추기’를 더욱 심화시킬 것으로 내다보고 있다. 대출 한도가 실수요자의 구매 가능 금액을 결정짓는 핵심 기준이 되면서, 매도자와 매수자 모두 15억 원 구간을 중심으로 거래를 조정하고 있기 때문이다.
윤수민 NH농협은행 부동산전문위원은 “토지거래허가구역 지정에도 불구하고 현재는 매도자 우위 시장이 유지되고 있다”며 “15억 원 이하 구간이 주담대 최대 한도 구간인 만큼, 10억 원대 중반 아파트들이 15억 원에 수렴할 가능성이 크다”고 말했다.",대출규제
