press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
세계일보,"서울, 6년 내 31만호 착공…주택 공급속도",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004072177?sid=102,,세계일보,"서울, 6년 내 31만호 착공… 주택 공급 속도","市 ‘신통기획 시즌2’ 발표
입주까지 12년… 6.5년 단축키로
정비지수제 폐지 등 절차 간소화
수요 몰리는 ‘한강벨트’에 20만호
2035년까지 37.7만호 준공 목표
서울시가 재개발·재건축 정비사업 속도를 끌어올려 구역지정부터 입주까지 기간을 기존 18.5년에서 12년으로 최대 6.5년 단축한다. 시는 2031년까지 주택 31만호를 착공한다는 목표다. 이 기간 수요가 몰리는 ‘한강벨트’에는 전체 물량의 3분의 2가량인 19만8000호를 공급한다.
서울시는 이 같은 내용의 ‘신속통합기획(신통기획) 2.0’ 추진 계획을 29일 발표했다. 신통기획은 시가 재개발·재건축 사업의 신속한 추진을 위해 도입한 공공 지원 계획이다. 시는 신통기획에 더해 정비지수제 폐지, 사업성 보정계수 적용, 정비사업 촉진 방안 등 제도 개선으로 정비사업 기간을 총 5.5년 단축할 수 있는 기반을 마련했다고 설명한 바 있다. 이번 계획은 △환경영향평가 초안검토 회의 생략 △전산 조회 간소화 △추정분담금 중복 검증 폐지 등 인·허가 구간에 대한 불필요한 절차를 덜어내 정비사업 기간을 1년 추가로 단축하는 것이 주요 내용이다.
우선 시는 각종 절차를 폐지·간소화해 행정에 드는 소요 기간을 단축한다. 통합심의 전 진행하던 환경영향평가 초안검토 회의를 생략해 2개월 이상 걸리는 심의기간을 대폭 줄인다. 중복확인했던 ‘재개발 임대주택 세입자 자격조회’도 1회로 바꾸는 등 불필요한 절차를 걷어냈다. 이와 함께 정비구역 내 전체 건축물에 작성하던 ‘해체 종합계획서’를 간소화해 철거가 필요한 구역에만 해체계획서를 작성하도록 개선했다.
사업시행인가 과정에서 가장 오래 걸리던 부서 간 협의와 검증 절차도 신속화한다. 사업시행자(조합)가 일일이 이견을 조율하던 방식에서 시가 ‘협의 의견 조정 창구’를 직접 마련·가동해 기간을 단축할 계획이다. 내년 상반기부터는 한국부동산원에서만 진행하던 ‘관리처분 계획 타당성 검증’을 SH공사에서도 처리해 진행 속도를 높인다.
보상 사각지대에 놓인 세입자에게도 지원을 권장해 갈등으로 인한 사업 지연을 줄인다는 방침이다. 재개발사업은 시행자가 세입자에게 의무적으로 손실을 보상해야 하나, 세입자가 변경될 경우 보상에서 제외돼 이주 과정에서 갈등이 발생하곤 했다. 이에 시는 조합이 추가 보상을 하면 그만큼 용적률 인센티브로 돌려주는 방식을 통해 세입자 보호와 조합 부담을 줄인다는 복안이다.
아울러 시는 정비사업 추진 과정에서 빈번하게 발생하는 면적, 규모 등 경미한 변경 사항은 구청장이 직접 인가하도록 자치구에 권한을 확대 부여해 신속한 행정 처리를 유도하기로 했다. 이를 위해 시는 연내 관련 조례를 개정할 방침이다.
시는 ‘신통기획 시즌2’ 가동을 통해 2031년에 31만호를 착공하고, 2035년까지 37만7000호를 준공한다는 방침이다. 특히 ‘한강벨트’ 등 수요가 많은 지역에 19만8000호를 집중해 실질적 집값 안정을 유도한다는 계획이다. 여기에 정비구역 지정을 앞둔 사업장과 모아주택 등 소규모정비사업, 리모델링 물량까지 더하면 2031년까지 최대 39만호 이상 공급이 가능하다고 시는 설명했다.
오세훈 서울시장은 “서울 주택공급 문제 해결의 핵심은 민간 중심 정비, 강남 3구를 비롯한 주요 지역에 충분한 주택을 공급하는 것”이라며 “공급 속도를 획기적으로 앞당겨 서울 전역에 체감할 수 있는 주택공급과 부동산 시장 안정 효과를 실현하겠다”고 말했다.",주택공급
KBS,주택공급발표 마친 오세훈 시장 불쑥 “한강버스는…” [지금뉴스],네이버뉴스,https://n.news.naver.com/mnews/article/056/0012038715?sid=121,,KBS,주택공급 발표 마친 오세훈 시장 불쑥 “한강버스는…” [지금뉴스],"오세훈 서울시장이 '한강버스'가 정식 운항을 시작한 지 열흘 만에 운항이 중단된 데 대해 사과했습니다.
오 시장은 오늘(29일) 오전 서울시청에서 열린 주택공급 대책 관련 브리핑에서 사회자가 ""시장님은 다음 일정 관계로 이석한다""는 안내 멘트를 하자 ""이석하기 전에 '한강버스' 관련 입장을 밝히지 않을 수 없다""며 발언을 이어갔습니다.
오 시장은 ""우선 시민 여러분께 송구스럽다""면서 ""제일 아쉬운 것은 추석 연휴 때 가족과 함께 한강버스를 탈 계획을 세운 시민들이 계실 텐데 운행을 못 해 안타깝고 송구하다""고 말했습니다.
이어 ""그러나 열흘 정도 운행 통해 기계적·전기적 결함이 몇 번 발생하다 보니 시민들 사이에서 약간 불안감 생긴 것도 사실""이라며 ""이번 기회에 (운항을) 중단하고 충분히 안정화시킬 수 있다면 그게 바람직하겠다는 결정을 내렸다""라고 설명했습니다.
서울시는 오늘부터 10월 말까지 한강버스 시민 탑승을 중단하고 성능 고도화와 안정화를 위한 '무승객 시범운항'을 합니다.
(영상편집: 염윤지)
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",주택공급
연합뉴스,"문금주 의원, '지자체 공공주택 공급' 법률 개정안 발의",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015658801?sid=102,,연합뉴스,"문금주 의원, '지자체 공공주택 공급' 법률 개정안 발의","문금주 국회의원
[연합뉴스 자료사진]
(장흥=연합뉴스) 여운창 기자 = 더불어민주당 문금주(전남 고흥·보성·장흥·강진) 의원은 30일 '공공주택 특별법 일부개정법률안'을 대표 발의했다.
법률안은 전국 89개 인구감소지역 중 81곳이 비수도권인 점을 고려하고 심화하는 지역소멸 위기에 대응하기 위해 마련됐다.
인구감소지역 지원 특별법상 인구감소 지역에 한해 지자체장이 공공임대주택 공급방식, 임대조건, 계약조건 등을 자율적으로 정할 수 있도록 허용하는 내용을 담았다.
또 이를 통해 각 지역 특성에 맞는 맞춤형 주거정책을 지자체들이 펼칠 수 있는 법적 토대도 갖췄다.
현재 지자체들은 '만원주택' 등 청년·신혼부부를 위한 저렴한 공공임대주택 공급을 추진하고 있지만 현행 법률은 지역주도형 임대주택에도 획일적인 공공임대 기준을 적용해 지역 실정에 맞는 공급방식이나 임대조건을 설정하기 어렵다는 한계가 있었다.
문 의원은 ""인구감소 대응은 중앙정부만이 아니라 지방정부의 창의적 정책이 발휘돼야 하는 영역""이라며 ""개정안을 통해 지역 맞춤형 주택 공급이 가능해지고 청년과 신혼부부의 안정적인 보금자리 마련에도 기여하도록 하겠다""고 말했다.
betty@yna.co.kr",주택공급
한국경제,"""6·27 대책, 무주택자엔 기회…분당 재건축·20년 된 아파트 노려라""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005192351?sid=101,,한국경제,"""6·27 대책, 무주택자엔 기회…분당 재건축·20년 된 아파트 노려라""","집코노미 콘서트…""지금이 집 매수할 타이밍""
성남 분당은 과천보다 상급지
재건축 땐 평당 8000만원 갈 것
주목 덜 받고 있는 20년차 단지
재건축·리모델링 기다리기 제격
서초 래미안·강남 도곡렉슬 추천
정부 대책엔 ""재건축 규제 풀어야""
< 부동산 강의에 쏠린 눈 > 올해 11회째를 맞은 종합 부동산 전시회인 '집코노미 박람회 2025'가 30일 서울 삼성동 코엑스 B홀에서 막을 올렸다. 공공기관과 건설사 등 80여 곳이 100여 개 개발·분양 프로젝트를 선보여 관심을 끌었다. 관람객들이 이날 부대행사로 열린 '집코노미 콘서트'에서 부동산 전문가의 정책 토론과 내집 마련 노하우, 해외 부동산 투자법 강의에 귀를 기울이고 있다.   이솔 기자
“준공 20년 된 서울 강남권 아파트와 경기 성남시 분당 재건축 단지를 주목해야 합니다. 사업이 진행될수록 가격이 오를 것입니다.”(이상우 인베이드투자자문 대표)
부동산 전문가들은 30일 ‘집코노미 박람회 2025’의 부대행사인 ‘집코노미 콘서트’에서 “내집 마련을 미뤄선 안 된다”고 입을 모았다. 수도권 공급 부족으로 ‘똘똘한 한 채’ 수요가 이어질 것으로 내다봤다.
◇잠실 엘스·도곡 렉슬…“지금이 살 기회”
이날 연사로 나온 이상우 대표는 “20년차 단지는 재건축이 임박한 단지보다 관심을 덜 받는데, 이럴 때 사둬야 한다”고 말했다. 송파구 잠실 엘스와 리센츠, 서초구 래미안퍼스티지와 반포자이, 강남구 도곡렉슬 같은 곳이다. 입지가 좋은 데다 30~40년 된 아파트보다 거주하는 데 불편함이 적어 재건축이나 리모델링을 기다리기에 좋다는 설명이다.
< 부동산 정책 방향은… > 박람회 부대 행사인 '집코노미 콘서트'에서 전문가들이 부동산 정책 관련 토론을 하고 있다. 왼쪽부터 사회를 맡은 전형진 한국경제신문 기자, 김헌정 국토교통부 주택정책관, 윤수민 농협은행 부동산전문위원, 허윤경 한국건설산업연구원 연구위원.  이솔 기자
이 대표는 재건축을 앞둔 분당 아파트 매수도 긍정적으로 봤다. 그는 “분당은 과천보다 상급지”라며 “재건축 후 3.3㎡당 8000만원에 이를 것”으로 전망했다. 일반 분양가가 높을 것으로 기대돼 분담금이 없거나 소액에 그칠 것으로 내다봤다.
황성우 해안선부동산연구소 대표는 ‘6·27 부동산 대책’이 무주택자에게 절호의 기회임을 강조했다. 황 대표는 “1주택자는 기존 주택을 6개월 내 처분해야만 대출이 나와 무주택자에게 기회가 되고 있다”고 했다.
청약에도 계속 도전하라고 했다. 황 대표는 “같은 날 당첨자가 발표되는 동시 분양인 경우 최고 인기 단지가 아닌 곳 중에서 공급 물량이 많은 곳을 노려야 한다”고 조언했다. 내집 마련이 목적이라면 특별공급 결과를 참고해 선호도가 낮은 면적대와 주택형을 신청하는 것도 한 방법이라는 설명이다.
전문가들은 시니어 하우징에도 관심을 가질 만하다고 했다. 박재병 케어닥 대표는 “노인 인구 비율이 20%를 넘어선 지금이 시니어 시설에 투자할 시기”라고 말했다. 좋은 투자처를 고르는 비결로 ‘병품타’(병원을 품은 실버타운), ‘산세권’(산책로를 갖춘 단지) 등을 꼽았다.
◇“재건축 절차 간소화 필요”
이날 정부의 부동산 대책에 대한 정책 토론도 펼쳐졌다. 정부 주택 공급을 총괄하는 국토교통부의 김헌정 주택정책관과 허윤경 한국건설산업연구원 연구위원, 윤수민 농협은행 부동산전문위원이 열띤 토론을 벌였다. 윤 전문위원은 “수도권 핵심 지역에 주택이 많이 공급될 것이라는 기대를 심어줄 정책이 필요하다”고 말했다.
허 연구위원은 “서울에서 주택을 공급하려면 재개발·재건축밖에 답이 없는 만큼 절차를 간소화하고 비용을 절감하는 방향으로 가야 한다”고 말했다.
국토부도 공급을 확대해야 한다는 점에 공감대를 나타냈다. 김 정책관은 “정부가 발표한 공급 계획이 차질 없이 진행되도록 연내 법률 등 후속 조치를 마무리할 것”이라고 강조했다.",주택공급
데일리안,8월 전국 미분양 6.6만가구…주택 공급지표도 ‘마이너스’,네이버뉴스,https://n.news.naver.com/mnews/article/119/0003008947?sid=101,,데일리안,8월 전국 미분양 6.6만가구…주택 공급 지표도 ‘마이너스’,"준공 후 미분양 2만7584가구, 한 달 새 1.9% 증가
전국 주택 매매거래량은 전년比 23.7% 감소
인허가·착공·준공 실적도 1년 새 일제히 위축, 분양 실적 소폭 증가
국토부, 주택건설실적 통계 ‘잠정치-확정치’로 이원화
ⓒ국토교통부
[데일리안 = 임정희 기자] 지난달 전국의 미분양 물량이 증가한 가운데, 전반적인 주택 공급 지표도 악화된 것으로 나타났다.
30일 국토교통부가 발표한 ‘8월 주택통계 잠정치’에 따르면 전국 미분양 주택은 6만6613가구로 한 달 전 6만2244가구 대비 7.0%(4369가구) 증가한 것으로 나타났다.
지역별로 수도권과 지방 미분양 물량은 각각 1만4631가구, 5만1982가구로 집계됐다. 한 달 새 수도권은 1348가구(10.1%), 지방은 3021가구(6.2%) 늘었다.
전국 준공 후 미분양 주택도 2만7584가구로 한 달 전 2만7057가구 보다 1.9%(527가구) 늘었다. 수도권 준공 후 미분양 주택은 4437가구로 한 달 새 31가구(0.7%) 줄었지만 지방의 경우 2만3147가구로 558가구(2.5%) 증가했다.
ⓒ국토교통부
지난달 주택 매매거래량도 4만6252건으로 한 달 전 대비 28.0%, 1년 전 대비 23.7% 줄었다. 수도권이 2만1673가구, 지방이 2만4579가구로 한 달 새 각각 37.5%, 16.8% 감소했다.
주택 유형별로는 지난달 아파트 매매거래량이 3만4868건으로 한 달 전 4만9940건 대비 30.2% 위축됐으며, 비아파트도 1만1384건으로 한 달 전 1만4295건과 비교해 20.4% 감소했다.
전월세 거래량도 21만3755건(임대차신고제 17만1133건+확정일자 4만2622건)으로 한 달 전 24만3983가구와 비교해 12.4% 줄었다.
수도권이 14만1579건으로 한 달 전 16만2786건 대비 13.0%, 지방이 7만2176건 으로 8만1197건 대비 11.1% 감소했다.
임차 유형별로는 전세 거래량이 7만2573건, 월세 거래량(보증부월세·반전세 등 포함)이 14만1182건으로 각각 17.6%, 16.4% 줄었으며 올해 1~8월 누계 월세거래량 비중은 62.2%로 1년 전 대비 4.8%포인트(p) 증가했다.
ⓒ국토교통부
인허가와 착공, 준공 등 공급을 알리는 실적은 1년 전 대비 줄어든 것으로 나타났다.
지난달 인허가는 1만7176가구로 한 달 전 1만6115가구 대비 6.6% 증가했으나, 1년 전 2만8586가구 대비로는 39.9% 감소했다.
수도권 주택 인허가는 1년 전 1만6232가구에서 올해 8월 7546가구로 53.5% 감소했고, 지방도 1만2354가구에서 9630가구로 22.0% 줄었다.
지난달 착공 실적은 1만6304가구로 한 달 전 2만1400가구 대비 23.8% 줄어든 가운데, 1년 전 2만9227가구 대비로는 44.2% 감소했다.
수도권의 경우 9012가구로 1년 전 2만1375가구 대비 57.8%, 지방은 7292가구로 1년 전 1만6042가구 대비 21.3% 줄었다.
지난달 준공 실적은 2만18가구로 한 달 전 2만5561가구 대비 21.7%, 1년 전 4만2391가구 대비 52.8% 감소했다.
수도권 준공 물량이 1만459가구로 1년 전 2만7739가구에서 62.3%, 지방은 9559가구로 1년 전 1만4652가구에서 8.5% 줄어든 것으로 집계됐다.
다만 분양(승인) 물량은 1년 전보다 소폭 증가했다. 지난달 분양 물량은 1만6681가구로 한 달 전 2만2752가구 대비로는 26.7% 줄었지만 1년 전 1만6077가구 대비로는 3.8% 늘었다.
수도권의 경우 1만372가구로 1년 전 1만1710가구 대비 11.4% 감소했으나, 지방 물량이 6309가구로 1년 전 4367가구 보다 44.5% 증가했다.
한편, 이 같은 주택건설실적 통계는 잠정치로, 국토부는 앞으로 해당 통계를 ‘잠정치-확정치’ 체계로 개편해 발표한다. 매월 말 한 달 전 실적의 잠정치를 우선 공표하고, 내년 9월 그간 변동 사항 등을 최종 반영한 확정치를 공표할 방침이다.
그동안 주택 통계가 공표된 이후에도 건축행정시스템(세움터) 상 행정정보가 지자체 담당자의 사후 입력이나 가구수 증감, 승인 취도 등 요인으로 변동될 수 있다는 지적에 따른 것이다.
이에 국토부는 권헌영 고려대 교수 등 민간 통계 전문가 8인으로 구성된 통계개선 위원회의 자문과 지난 25일 통계청 승인을 거쳐 이원화된 잠정치-확정치 방식을 적용하기로 했다.
또 통계의 일관성을 확보하기 위해 2014~2024년 통계치도 개선된 기준에 맞춰 1~2% 수준에서 소폭 조정됐다.",주택공급
데일리안,지방 악성 미분양 다시 증가…8월주택 공급·매매·전월세 모두 위축,네이버뉴스,https://n.news.naver.com/mnews/article/119/0003008947?sid=101,,데일리안,8월 전국 미분양 6.6만가구…주택 공급 지표도 ‘마이너스’,"준공 후 미분양 2만7584가구, 한 달 새 1.9% 증가
전국 주택 매매거래량은 전년比 23.7% 감소
인허가·착공·준공 실적도 1년 새 일제히 위축, 분양 실적 소폭 증가
국토부, 주택건설실적 통계 ‘잠정치-확정치’로 이원화
ⓒ국토교통부
[데일리안 = 임정희 기자] 지난달 전국의 미분양 물량이 증가한 가운데, 전반적인 주택 공급 지표도 악화된 것으로 나타났다.
30일 국토교통부가 발표한 ‘8월 주택통계 잠정치’에 따르면 전국 미분양 주택은 6만6613가구로 한 달 전 6만2244가구 대비 7.0%(4369가구) 증가한 것으로 나타났다.
지역별로 수도권과 지방 미분양 물량은 각각 1만4631가구, 5만1982가구로 집계됐다. 한 달 새 수도권은 1348가구(10.1%), 지방은 3021가구(6.2%) 늘었다.
전국 준공 후 미분양 주택도 2만7584가구로 한 달 전 2만7057가구 보다 1.9%(527가구) 늘었다. 수도권 준공 후 미분양 주택은 4437가구로 한 달 새 31가구(0.7%) 줄었지만 지방의 경우 2만3147가구로 558가구(2.5%) 증가했다.
ⓒ국토교통부
지난달 주택 매매거래량도 4만6252건으로 한 달 전 대비 28.0%, 1년 전 대비 23.7% 줄었다. 수도권이 2만1673가구, 지방이 2만4579가구로 한 달 새 각각 37.5%, 16.8% 감소했다.
주택 유형별로는 지난달 아파트 매매거래량이 3만4868건으로 한 달 전 4만9940건 대비 30.2% 위축됐으며, 비아파트도 1만1384건으로 한 달 전 1만4295건과 비교해 20.4% 감소했다.
전월세 거래량도 21만3755건(임대차신고제 17만1133건+확정일자 4만2622건)으로 한 달 전 24만3983가구와 비교해 12.4% 줄었다.
수도권이 14만1579건으로 한 달 전 16만2786건 대비 13.0%, 지방이 7만2176건 으로 8만1197건 대비 11.1% 감소했다.
임차 유형별로는 전세 거래량이 7만2573건, 월세 거래량(보증부월세·반전세 등 포함)이 14만1182건으로 각각 17.6%, 16.4% 줄었으며 올해 1~8월 누계 월세거래량 비중은 62.2%로 1년 전 대비 4.8%포인트(p) 증가했다.
ⓒ국토교통부
인허가와 착공, 준공 등 공급을 알리는 실적은 1년 전 대비 줄어든 것으로 나타났다.
지난달 인허가는 1만7176가구로 한 달 전 1만6115가구 대비 6.6% 증가했으나, 1년 전 2만8586가구 대비로는 39.9% 감소했다.
수도권 주택 인허가는 1년 전 1만6232가구에서 올해 8월 7546가구로 53.5% 감소했고, 지방도 1만2354가구에서 9630가구로 22.0% 줄었다.
지난달 착공 실적은 1만6304가구로 한 달 전 2만1400가구 대비 23.8% 줄어든 가운데, 1년 전 2만9227가구 대비로는 44.2% 감소했다.
수도권의 경우 9012가구로 1년 전 2만1375가구 대비 57.8%, 지방은 7292가구로 1년 전 1만6042가구 대비 21.3% 줄었다.
지난달 준공 실적은 2만18가구로 한 달 전 2만5561가구 대비 21.7%, 1년 전 4만2391가구 대비 52.8% 감소했다.
수도권 준공 물량이 1만459가구로 1년 전 2만7739가구에서 62.3%, 지방은 9559가구로 1년 전 1만4652가구에서 8.5% 줄어든 것으로 집계됐다.
다만 분양(승인) 물량은 1년 전보다 소폭 증가했다. 지난달 분양 물량은 1만6681가구로 한 달 전 2만2752가구 대비로는 26.7% 줄었지만 1년 전 1만6077가구 대비로는 3.8% 늘었다.
수도권의 경우 1만372가구로 1년 전 1만1710가구 대비 11.4% 감소했으나, 지방 물량이 6309가구로 1년 전 4367가구 보다 44.5% 증가했다.
한편, 이 같은 주택건설실적 통계는 잠정치로, 국토부는 앞으로 해당 통계를 ‘잠정치-확정치’ 체계로 개편해 발표한다. 매월 말 한 달 전 실적의 잠정치를 우선 공표하고, 내년 9월 그간 변동 사항 등을 최종 반영한 확정치를 공표할 방침이다.
그동안 주택 통계가 공표된 이후에도 건축행정시스템(세움터) 상 행정정보가 지자체 담당자의 사후 입력이나 가구수 증감, 승인 취도 등 요인으로 변동될 수 있다는 지적에 따른 것이다.
이에 국토부는 권헌영 고려대 교수 등 민간 통계 전문가 8인으로 구성된 통계개선 위원회의 자문과 지난 25일 통계청 승인을 거쳐 이원화된 잠정치-확정치 방식을 적용하기로 했다.
또 통계의 일관성을 확보하기 위해 2014~2024년 통계치도 개선된 기준에 맞춰 1~2% 수준에서 소폭 조정됐다.",주택공급
파이낸스투데이,지방 '악성 미분양' 다시 증가...주택 공급지표 일제히 감소,,,,,,,주택공급
뉴데일리,"안성시-LH, 공공임대주택기관공급협약",,,,,,,주택공급
뉴데일리,"LH 경기남부, 안성시에 맞춤형 공공임대주택 공급",,,,,,,주택공급
중앙일보,"강남·송파·성남 재건축 고도제한 풀리나…""수도권주택공급효과 클 ...",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003472548?sid=100,,중앙일보,"강남·송파·성남 재건축 고도제한 풀리나…""수도권 주택공급 효과 클 것""","국방부는 29일 서울 성남비행장 인근 지역에 대한 군사시설보호구역을 해제 또는 완화한다고 밝혔다. 박종근 기자
국방부가 서울 강남·송파, 경기 성남·용인 일부 지역을 포함해 수도권 9개 지역 약 400만㎡(약 120만평)의 군사시설보호구역을 해제·완화한다. 이들 지역은 지방자치단체가 재건축 등 도심 정비 사업 활성화를 위해 규제 완화를 요구해왔던 곳들로, 특히 비행안전구역 제한에서 풀리는 서울 강남·송파와 경기 성남 등은 재개발·재건축 사업성이 개선될 것이라고 전문가들은 전망했다.
국방부는 29일 경기 김포시와 인천 강화군, 서울 강남·강동·광진·송파·중랑, 경기 성남·용인 등  9개 구역 398만㎡(120만 3000여평) 규모의 군사시설보호구역을 해제·완화한다고 밝혔다. 이 가운데 서울 강남·강동·광진·송파·중랑구와 경기 성남·용인시 7개 구역(327만 7000㎡)은 비행안전구역이 해제·완화된다.
서울 송파구 석촌·송파·신천·풍납동 일대(19만 6688㎡)와 광진구 광장·의동 일대(21만 2829㎡), 중랑구 망우·면목동 일대(13만 6155㎡), 경기 성남시 분당구 구미·서현·수내·정자동 일대(7만 9395㎡), 용인시 기흥구 마북·언남동, 수지구 죽전동 일대(6만 4667㎡)는 비행안전구역에서 해제된다.
서울 강남구 수서·자곡동 일대 5개 구역과 송파구 가락동 일부, 경기 성남시 9개 구역에 대해선 비행안전구역이 완화된다. 비행안전구역 지정이 해제되면 건물 높이를 45m로 제한하는 등의 규제가 사라지고, 비행안전구역 완화 조치가 이뤄질 경우 구역에 따라 건축물의 고도 제한을 기존보다 덜 받을 수 있다.
앞서 국방부는 2013년 9월 서울 성남공항(K-16)의 동편 활주로 각도를 변경하면서 주변 지역의 비행안전구역을 해제했다. 이번에 추가로 제한이 풀리는 곳은 당시 제외됐던 지역들이다.
국방부가 29일 수도권 일대 9개 지역의 약 400만㎡(약 120만평)에 대해 군사시설보호구역을 해제 또는 완화한다고 밝혔다. 사진 국방부
이 밖에 국방부는 경기 김포의 ‘걸포 3지구’는 주택개발사업에 따라 주변에 이미 취락 지역이 형성됐다는 판단에 따라 제한보호구역 28만㎡를 해제하기로 했다. 인천 강화군 고인돌공원 일대는 관광단지 활성화 등을 위해 제한보호구역 40만㎡를 해제한다. 강화군(2.3만㎡) 1곳은 통제보호구역에서 제한보호구역으로 완화된다.
현행 법상 통제보호구역은 민간통제선(민통선) 이북지역 등으로 민간 건축은 물론 비인가자의 출입이 원칙적으로 금지된다. 제한보호구역은 통제보호구역보다는 규제를 완화한 곳으로, 군사 작전상 지장이 없다는 전제 하에 건축이 허용된다. 군사분계선 이남 25㎞ 범위 이내 지역, 민간인통제선 이남 지역에 해당하는 지역이다.
부동산 전문가들은 중장기적으로 수도권에 주택 공급 효과가 클 것으로 평가했다. 특히 비행안전구역 해제로 서울 강남·송파·강동·광진구, 경기 성남시 분당 등에서 재개발·재건축 사업성이 개선될 것으로 예상했다.
김윤덕 국토부 장관은 이날 기자 간담회에서 국방부의 조치와 관련해 “국방부 장관님과 큰 틀에서 얘기를 나눴다”며 “타 부처도 (주택 공급 대책에) 매우 협력적으로 할 의지가 있다고 인식하고 있고, 앞으로도 그렇게 (공급 정책을) 진행하는 것으로 생각해 달라”고 밝혔다.
박합수 건국대 부동산대학원 겸임교수는 “현재 1기 신도시 재건축이 진행 중인 분당은 지난달 고도제한 완화에 이어 이번 비행안전구역 해제·완화로 용적률 상향 등에 대한 기대감이 커질 것”이라고 말했다.
앞서 지난달 군 공항 주변 건축 고도제한을 완화하는 내용의 개정안이 국무회의를 통과하자 분당 야탑·이매동 일대 아파트 전용 84㎡ 매물 호가가 3억원 이상 오르기도 했다. 45m(15층) 이하의 고도제한을 받다가 최대 154m까지 재건축이 가능해져 40층 이상 지을 수 있게 되면서다.
이번 조치는 앞선 고도제한 완화보다 더 광범위한 지역에 영향을 줄 거란 관측도 나왔다. 서진형 광운대 부동산법무학과 교수는 “고도제한 완화 조치는 분당에만 호재였다면 이번 조치는 강남·송파 등 미치는 범위가 넓다”며 “성남공항에서 송파구 롯데월드타워 사이의 기존 주택들이 모두 영향권에 있다”고 말했다. 이창무 한양대 도시공학과 교수도 “수도권에서 선호도 높은 수요 지역이라 중장기적으로 실질적인 공급에 따른 시장 안정 효과가 클 것”이라고 내다봤다.
다만 해당 조치가 바로 개발 또는 재건축·재개발 촉진으로 이어질 수 있을지는 지켜봐야 한다는 의견도 나온다. 이번에 고도제한이 완화되는 강남구 내 지역들은 현재 그린벨트로 묶여 있어 재개발·재건축 예정이 없는 곳들이다. 강남구 관계자는 “군사보호구역과 그린벨트가 중첩된 곳은 그린벨트 규제가 우선이기 때문에 당장 효과를 기대하기 어렵다”고 전했다. 다른 자치구 관계자도 “어느 단지와 구역이 영향을 받을지는 추후 지켜봐야 한다”고 말했다.
이번 보호구역이 해제 또는 완화된 지역의 지형 도면과 세부 지번은 해당 지자체와 관할 부대에서 열람할 수 있다. 각 필지에 적용되는 보호구역 현황도 ‘인터넷 토지e음(www.eum.go.kr)’에서 검색할 수 있다.",주택공급
