press,title,naver_news_text,naver_news_url,body
브릿지경제,5월 채권시장 심리 개선…안전자산선호 확대 영향,,,
브릿지경제,안전자산선호 확대에 5월 채권시장 심리 호전…종합 BMSI 113.5,,,
EBN,안전자산선호 확산에 채권시장 심리 반등…기준금리 동결 예상 압도적,,,
한국금융신문,"채권 전문가 88% ""4월 기준금리 동결될 것""…채권 가격은↑",,,
머니투데이,채권 전문가 10명 중 9명 “4월 금통위서 금리 동결 전망”,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005180667?sid=101,
뉴스1,'트럼프 관세' 부메랑 된 美 국채 가격…'금리 발작'에안전자산흔들,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008192468?sid=101,
뉴스1,"美국채는 중국 손에 든 ‘핵’...트럼프, 자기 곳간 태웠다",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008192468?sid=101,
주간동아,주식 하락 완벽히 피하기는 불가능…자산배분 투자로 위험 낮춰야,네이버뉴스,https://n.news.naver.com/mnews/article/037/0000036179?sid=101,
머니투데이,"강해지는 엔화, 불확실성 시기안전자산될까",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005180869?sid=101,
위키트리,오늘 금시세(금값)... 국제 금 선물 가격 하락,,,
내일신문,"미국채,안전자산에서 위험자산으로?",,,
매일경제TV,'오락가락' 미 관세정책에안전자산선호…금·엔화 ETF 강세,,,
머니투데이,"달러,안전자산지위 흔들리나…관세 불안에 달러가치 빠지는 이유",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005180705?sid=104,
머니투데이,"달러,안전자산지위 흔들리나…관세 혼란에 원/달러 환율 1420원대",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005180705?sid=104,
아시아투데이,달러화 약세 지속…안전자산위상 흔들,,,
글로벌이코노믹,"[초점] 유로화, 달러 약세 틈타 3년 來 최고치로 '껑충'...안전자산으로...",,,
