press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
SBS Biz,[머니줌인] 트럼프에 울고 웃는 '안전자산'…금 vs. 美 국채 투자?,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000438213?sid=104,,SBS Biz,[머니줌인] 트럼프에 울고 웃는 '안전자산'…금 vs. 美 국채 투자?,"■ 머니쇼+ '머니줌인' - 임재균 KB증권 연구원
트럼프 대통령의 관세 폭주를 막은 미 국채에 관심이 쏠리고 있습니다. 한때 고공행진하던 수익률이 최근 하락세를 보이고 있죠. 하지만 트럼프 대통령 한마디에 예민하게 움직이는 모습인데요. 미 국채 시장과 함께 국고채 상황도 함께 짚어보겠습니다. KB증권 임재균 연구원 자리했습니다.
Q. 미 국채 수익률이 최근 들어 다소 안정세에 접어들었습니다. 미 달러화 약세가 멈출 듯 멈추지 않는 가운데 미 국채 수요는 늘고 있는 모습인데요. 최근 국채 시장 어떻게 보고 계시나요?
- '中 제외' 협상 기대감에 증시 랠리…채권·달러↑
- 단기간 오버슈팅 해소…둔화 우려에 추가 하락 예상
- 미 국채가격 장기물 중심 강세…수익률곡선 '평평'
- 10년물 국채 수익률 다소 하락…4.17%대 안팎 거래
- 이번 달 국내 투자자 미 채권 투자 역대 최대치 기록
Q. 그동안 미 국채 수익률이 급등했습니다. 현재 10년물은 4%대에서 도무지 내려가지 않고 있습니다. 일본이 팔았다 중국이 팔았다 말들이 많은데요. 베센트 장관은 그럴 가능성이 없다 일축했지만 관세 전쟁 중이 일부 보복이 있었을 수 있다는 예상들을 하고 있어요. 일명 채권자경단이 떴다는 분석이에요?
- 美국채 실시간 예측 어려워…4월 매도는 6월 확인 가능
- 향후 관세 보복 카드 활용 가능…마진콜 등 대응 판단
- 상호관세 한 발 물러선 트럼프…""채권 시장 보고 있어""
- 트럼프도 떨게한 채권 시장…미 국채 대규모 매도 현상
- 오락가락 관세 정책에 '셀 아메리카'…누가 던졌나?
- 상호관세 90일간 유예…월가 ""채권자경단 돌아왔다""
- 중국, 대중 관세 145% 부과에 미 국채 대규모 매도?
- 미 국채 최대 보유국 일본, 미 국채 매도 가능성 대두
Q. 미국 재무부가 올해 2분기 민간으로부터 5140억 달러를 차입할 것으로 예상한다고 밝혔습니다. 지난 2월에 제시했던 금액보다 상향된 수치예요?
- 美재무부, 지난 2월 2분기 차입 1230억달러 예상
- 1분기 말 현금 잔고 기존 8500억→4060억 달러
- 재무부 ""현금잔고 감소 제외하면 530억달러↓""
- 부채한도 영향 제외하면 실질적인 차입 예상치↓
Q. 미국 재무부가 현지시간으로 30일 오늘(30일) 밤이 될 텐데요. 분기 국채 발행계획을 공개합니다. 요즘 트럼프 행정부에 현금이 없다던데 베센트 미 재무장관이 줄곧 국채 발행 규모를 당분간 유지하겠다더니 바로 직전 대폭 상향했어요?
- 미 국채 발행 전망치 상향에 국채수익률 영향 촉각
- 트럼프 행정부, 예상보다 많은 현금 인출 사용 의미
- 새 분기 시작, 예상보다 현금 잔액 적으면 국채 발행
- 베센트, 지난 2월 ""예측가능 미래 발행 변화 없을 것""
- 미 재무부 ""이번 분기에 국채 발행 규모 대폭 늘려야""
Q. 채권시장 불안에 트럼프 대통령까지 관세전쟁을 잠시 멈췄습니다. 하지만 미국 국채 시장의 신뢰가 떨어지면서 미국 재무부가 여러 대책을 고민 중인데요. 글로벌 투자은행들은 줄곧 보완적 레버리지비율, SLR 완화가 필요하다고 목소리를 내고 있어요?
- 미 은행들, SLR 완화시 미 국채 추가 매수 가능
- 미 은행들, 미 국채 추가 매수시 수익률 하락 기여
- 채권시장 소방수 나선 미국…""SLR 규제완화 검토""
- 베센트 ""채권시장 개입 위한 방대한 도구 갖고있어""
- JP모건, SLR 요청…""금리 노출 안 높여…꼭 필요""
Q. 그럼 시선을 국내로 돌려보죠. 주식시장에서는 외국인들의 매수세가 강한데 채권시장은 정반대 모습이라고요. 규모가 어느 정도인가요?
- 외국인, '셀 코리아' 와중에 한국 채권 '폭풍 매수'
- 외국인 채권 보유 잔고 276조원 '사상 최대' 기록
- 주식 순매도 최장 기간 육박…채권 사상 최장 순매수
- 외국인 강한 채권 매수세에 국채 수익률 큰 폭 하락
Q. 그런데 지난 29일에 있었던 국고채 30년물 입찰은 예상보다 수요가 부진했어요. 낙찰금리는 시장금리 수준으로 나타났는데요. 부진 이유가 무엇인가요?
- 국고채 30년물 입찰, 역대급 옵션에도 예상보다 부진
- 국고채 30년물 입찰 규모 큰 편…보험사들 수요 부진
- 증권사 ""물량 워낙 적지 않아…다른 구간보다 약해""
- 국고채 30년물 경쟁입찰, 5조8천억 2.485% 낙찰
Q. 회사채도 살펴보죠. 미국 상호관세 발표 이후 신용 스프레드가 다시 확대되고 있습니다. 그런데 2분기 만기 도래 회사채 규모가 23조 원 규모라는데요. 기업들의 이자 부담이 상당할 것으로 보여요. 다만 최근 회사채 수요가 높아지고 있는데 양극화 현상은 더 뚜렷해지고 있어요?
- 수익률 낮아지면서 높은 금리 위한 크레딧 수요 증가
- 경기 둔화 우려 존재…등급 낮은 크레딧 수요는 낮음
- 23조 만기 앞두고 신용 스프레드 '꿈틀'…회사채 긴장
- 하락하던 신용 스프레드, 트럼프 관세부과 이후 상승
- 당국도 경계태세…""100조 시장안정 프로그램 가동""
- 국고채 금리하락에 회사채 시장 '북적'…양극화 심화
- 기업 자금조달 활발…업종·신용등급별 양극화 뚜렷
Q. 트럼프 대통령 관세 정책에 미 달러화 표시 자산에 대한 의구심이 커졌습니다. 안전자산 지위가 미 달러화보다는 금, 엔화 등으로 옮겨가는 모습을 보이기도 했는데요. 그래도 미 국채 대한 인기가 높습니다. 불확실성이 여전한 상황에서 지금이라도 사상 최고 금액에도 금에 들어가야 할까요. 아니면 높은 수익률에도 미 국채를 선택해야 할까요?
- 미 국채·금 가격, 추가 상승 가능…현재 매도 구간
- 미 국채 수익률. 수급으로 오버슈팅…추가 매수 조심
- 트럼프에 울고 웃는 '안전자산'…금 VS 미 국채 투자?
- 금값 신고가 랠리…2월 2900달러→4월 3500달러
- 주가 하락 대응 마진콜 확대…미 국채 이상현상
(자세한 내용은 동영상을 시청하시기 바랍니다.)
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",안전자산
시사오늘,"삼성자산운용, KODEX 테슬라커버드콜채권혼합액티브 순자산3000억 돌파...",,,,,,,안전자산
시사오늘,신한운용 ‘SOL 초단기채권 액티브 단기채권’ 3%대 YTM 유지,,,,,,,안전자산
이투데이,"SOL 초단기채권 액티브, 단기채권 파킹형 ETF 중 성과 우수",,,,,,,안전자산
아시아경제,신한운용 'SOL 초단기채권 액티브 단기채권' 3%대 YTM 유지,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005586055?sid=101,,아시아경제,"SOL 초단기채권 액티브, 단기채권 파킹형 ETF 중 성과 우수","신한자산운용은 SOL 초단기채권 액티브 ETF가 단기금리 하락 속 3%대 YTM(만기기대수익률)을 꾸준히 유지하면서 연초 이후 1360억원의 자금이 유입됐다
고 30일 밝혔다.
지난해 말 4800억원 수준이던 순자산 규모는 7621억원으로 늘었다.
연초 이후 단기금리가 하락하면서 최근 KOFR(한국무위험지표금리) 및 CD91일 금리가 2.7~2.8% 수준으로, 6개월 정기예금 금리도 2.4%까지 하락했다. SOL 초단기채권 액티브는 단기채권 파킹형 ETF 중 가장 높은 수준인 3.08%의 YTM을 기록 중이다.
SOL 초단기채권 액티브 ETF는 2023년 11월 상장 이후 기준 금리가 3.5%에서 2.75%로 낮아진 상황에서도 적극적인 포트폴리오 운용과 우량 단기채권 편입 전략을 통해 4.04%의 연환산 수익률을 기록하고 있다.
신한자산운용 허익서 채권ETF운용팀장은 ""최근 글로벌 금융시장의 불확실성 확대와 단기 및 예금 금리 하락으로 단기채권을 기초자산으로 한 파킹형 ETF에 대한 수요가 꾸준히 증가하고 있다""고 말했다.
이어 ""SOL 초단기채권 액티브 ETF는 상장 이후 현재까지 가장 높은 수준의 YTM과 성과 경쟁력을 지속적으로 유지하며 단기 자금 투자자들의 꾸준한 선택을 받고 있다""고 덧붙였다.
SOL 초단기채권 액티브 ETF는 잔존 만기 3개월 이내의 초단기 채권(신용등급 A- 이상)과 기업어음(A2- 이상) 등 우량 단기 금융상품 중심으로 포트폴리오를 구성해 금리 변동에 따른 위험을 낮춰 운용한다. 또한 저평가된 우량 종목을 선별해 추가 이자수익을 확보하는 전략으로 초과 수익을 추구한다.
다른 파킹형 ETF가 위험자산으로 분류되는 것과 달리 안전자산으로 분류되기 때문에 퇴직연금(DC/IRP) 계좌에서 적립금의 100% 투자가 가능한 장점이 있다. 연금계좌뿐만 아니라 ISA(개인종합자산관리계좌)에서도 활용도가 높아 다양한 투자 니즈를 충족시킬 수 있다.
언제든 자유롭게 매수·매도가 가능해 장기간 자금을 묶을 필요 없이 필요한 기간만 이자 수익을 얻고, 자금이 필요한 시점에 현금화할 수 있어 여유자금을 유동적으로 관리하려는 투자자에게 적합한 상품이다.",안전자산
뉴스핌,"신한자산운용, 'SOL 초단기채권 액티브' 3%대 YTM 유지",,,,,,,안전자산
M이코노미뉴스,"외환보유 상위국,안전자산'금 모으기' 열중...한국, 독일에 밀릴판",,,,,,,안전자산
위키트리,오늘 금시세(금값)...안전자산선호 심리 약화에 국제 금가격 하락,,,,,,,안전자산
뉴스핌,[금/유가] 수요 우려로 유가 2주래 최저...안전자산인기 후퇴에 금도 하...,,,,,,,안전자산
코인리더스,"비트코인, 진정한안전자산으로 거듭나나…지금이 매수 기회?",,,,,,,안전자산
