press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
서울경제,"""마트 안가고 외식도 안해요""…경기 침체에 2년째 지속되는 이례적 현상",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004481656?sid=101,,서울경제,"""마트 안가고 외식도 안해요""…경기 침체에 2년째 지속되는 이례적 현상","해당 기사와 무관. 이미지투데이
[서울경제]
마트나 시장에서 식재료를 구매하는 것과 식당에서 외식하는 것이 동시에 줄어드는 이례적 현상이 2년 넘게 지속되고 있다.
5일 통계청 국가통계포털(KOSIS)에 따르면 음식료품 소매판매지수와 음식점업 생산지수는 2023년부터 지속적인 감소세를 보이고 있다. 이는 2006년 관련 통계 집계 이후 처음 있는 일이다.
보통 음식료품과 외식 소비는 한쪽이 줄면 다른 쪽이 늘어나는 보완적 관계를 보여왔다. 코로나19 팬데믹 당시인 2020년에는 외식이 16.0% 급감했지만, 집밥 수요가 늘면서 음식료품 소매판매는 4.6% 급증한 바 있다.
하지만 현재는 다르다. 음식료품 소매판매는 2021년까지 매년 증가했으나 2022년 2.5% 감소한 이후 3년째 감소세다. 음식점업 생산도 2021년과 2022년 반등했으나 2023년 0.7%, 2024년 1.9% 연속 감소했고 감소폭도 커지고 있다.
올해 1분기도 예외는 아니었다. 음식료품 소매판매는 전년 동기 대비 0.3% 감소했고, 음식점업 생산은 3.4% 줄어 2023년 4분기(-4.7%) 이후 가장 큰 폭으로 감소했다.
식품 물가 상승이 이런 추세를 악화시키고 있다. 채소·과일 등 농산물 물가는 2023년 이후 이상기온 영향으로 폭등했다. 최근 농산물 물가는 안정세를 보이지만, 이번엔 작년 말 고환율이 시차를 두고 반영되면서 가공식품·외식 물가가 상승하고 있다.
지난달 가공식품 물가는 4.1% 상승해 2023년 12월(4.2%) 이후 16개월 만에 가장 큰 폭으로 올랐다. 외식 물가도 3.2% 상승해 작년 3월(3.4%) 이후 13개월 만에 최대 상승폭을 기록했다.
""음식료품 소비 감소는 고물가 영향이 크다""라고 정부 관계자는 설명했다. ""소비자들이 가격이 싼 대체품을 찾는 패턴으로 바뀐 것도 영향을 미쳤다""고 덧붙였다.
경기 침체로 인한 가계 구매력 약화도 주요 원인으로 꼽힌다. GDP의 약 15%를 차지하는 건설업 생산은 최근 4분기 연속 감소세다. 올해 1분기에는 20.7% 감소해 외환위기 당시인 1998년 3분기(-24.2%) 이후 최대 감소폭을 기록했다.
작년 4분기 중산층(소득 상위 40∼60%) 가구의 여윳돈은 3분기 연속 감소해 5년 만에 70만원 아래로 떨어졌다.
김광석 한국경제산업연구원 경제연구실장은 ""경기 악화와 고용 불안정으로 저소득층이 필수재 소비지출마저 줄이는 현상이 나타나고 있다""고 분석했다.",경기침체
서울경제,"“이젠 먹는 것도 아껴요”…장도, 외식도 2년째 줄었다",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004481656?sid=101,,서울경제,"""마트 안가고 외식도 안해요""…경기 침체에 2년째 지속되는 이례적 현상","해당 기사와 무관. 이미지투데이
[서울경제]
마트나 시장에서 식재료를 구매하는 것과 식당에서 외식하는 것이 동시에 줄어드는 이례적 현상이 2년 넘게 지속되고 있다.
5일 통계청 국가통계포털(KOSIS)에 따르면 음식료품 소매판매지수와 음식점업 생산지수는 2023년부터 지속적인 감소세를 보이고 있다. 이는 2006년 관련 통계 집계 이후 처음 있는 일이다.
보통 음식료품과 외식 소비는 한쪽이 줄면 다른 쪽이 늘어나는 보완적 관계를 보여왔다. 코로나19 팬데믹 당시인 2020년에는 외식이 16.0% 급감했지만, 집밥 수요가 늘면서 음식료품 소매판매는 4.6% 급증한 바 있다.
하지만 현재는 다르다. 음식료품 소매판매는 2021년까지 매년 증가했으나 2022년 2.5% 감소한 이후 3년째 감소세다. 음식점업 생산도 2021년과 2022년 반등했으나 2023년 0.7%, 2024년 1.9% 연속 감소했고 감소폭도 커지고 있다.
올해 1분기도 예외는 아니었다. 음식료품 소매판매는 전년 동기 대비 0.3% 감소했고, 음식점업 생산은 3.4% 줄어 2023년 4분기(-4.7%) 이후 가장 큰 폭으로 감소했다.
식품 물가 상승이 이런 추세를 악화시키고 있다. 채소·과일 등 농산물 물가는 2023년 이후 이상기온 영향으로 폭등했다. 최근 농산물 물가는 안정세를 보이지만, 이번엔 작년 말 고환율이 시차를 두고 반영되면서 가공식품·외식 물가가 상승하고 있다.
지난달 가공식품 물가는 4.1% 상승해 2023년 12월(4.2%) 이후 16개월 만에 가장 큰 폭으로 올랐다. 외식 물가도 3.2% 상승해 작년 3월(3.4%) 이후 13개월 만에 최대 상승폭을 기록했다.
""음식료품 소비 감소는 고물가 영향이 크다""라고 정부 관계자는 설명했다. ""소비자들이 가격이 싼 대체품을 찾는 패턴으로 바뀐 것도 영향을 미쳤다""고 덧붙였다.
경기 침체로 인한 가계 구매력 약화도 주요 원인으로 꼽힌다. GDP의 약 15%를 차지하는 건설업 생산은 최근 4분기 연속 감소세다. 올해 1분기에는 20.7% 감소해 외환위기 당시인 1998년 3분기(-24.2%) 이후 최대 감소폭을 기록했다.
작년 4분기 중산층(소득 상위 40∼60%) 가구의 여윳돈은 3분기 연속 감소해 5년 만에 70만원 아래로 떨어졌다.
김광석 한국경제산업연구원 경제연구실장은 ""경기 악화와 고용 불안정으로 저소득층이 필수재 소비지출마저 줄이는 현상이 나타나고 있다""고 분석했다.",경기침체
세계일보,"‘불황’ 각자도생 나선 소비자들, 외식 덜 하면서 장바구니까지 비웠다",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004032969?sid=101,,세계일보,"“이젠 먹는 것도 아껴요”…장도, 외식도 2년째 줄었다","음식료 소비 -0.3%, 외식업 생산 -3.4%…두 지표 나란히 하락
서울 시내 한 대형마트 정육코너에서 시민들이 할인 판매 중인 육류 상품을 고르고 있다. 고물가 여파로 장바구니 부담이 커지면서 식재료 구매 패턴에도 변화가 나타나고 있다. 뉴스1
“장도 덜 보고, 외식도 줄였어요. 요즘은 먹는 것까지 아껴야 하니까요”
서울 성북구에서 두 아이를 키우는 직장인 김지현(39) 씨는 최근 마트 대신 동네 시장을 자주 찾는다. 한 끼 한 끼 가격을 따지며 장을 보고, 외식은 주말에만 한 번 정도. 김씨는 “예전엔 외식이 기분 전환이었는데, 이젠 비용 부담이 커서 망설여져요”라고 말했다.
실제로 이런 ‘식비 절약’ 움직임이 통계로 확인됐다.
5일 통계청 국가통계포털(KOSIS)에 따르면, 음식료품 소매판매지수와 음식점업 생산지수가 모두 2023년부터 하락세다.
집에서 해 먹는 ‘집밥’도, 밖에서 사 먹는 ‘외식’도 동시에 줄고 있다. 소비자들이 ‘먹는 것’마저 줄이는 건 이례적인 일이다.
보통은 한쪽이 줄면 다른 쪽이 늘기 마련이다. 예컨대 코로나19로 외식이 막히던 2020년엔 음식점 생산이 16% 급감했지만, 대신 음식료품 판매는 13년 만에 최대폭(4.6%) 증가했다. 하지만 지금은 다르다. 두 지표가 나란히 내리막이다. 2006년 관련 통계 작성 이후 처음 있는 현상이다.
음식료품 판매는 2021년까지 늘다가 2022년부터 3년째 감소 중이다. 지난해엔 0.3% 줄었고, 올해 1분기에도 같은 흐름이 이어졌다.
처음에는 배달음식 수요 증가가 영향을 미친 것으로 분석됐지만, 지금은 배달을 포함한 음식점 매출 자체가 줄고 있다. 음식점업 생산은 2023년 0.7%, 올해 1.9% 줄어 감소폭이 커졌다.
문제는 물가다. 채소·과일값은 이상기온 탓에 2023년부터 급등했고, 최근에는 고환율 여파로 가공식품과 외식 가격까지 들썩이고 있다. 지난달 가공식품 물가는 4.1% 올라 16개월 만에 최고치를 기록했고, 외식 물가도 3.2% 올라 1년여 만에 가장 큰 상승폭을 보였다.
정부 관계자는 “소비자들이 필수재 중에서도 가격이 더 저렴한 품목으로 소비를 바꾸는 경향이 있다”며 “전반적인 고물가가 식비 지출을 위축시키는 요인”이라고 설명했다.
경기 침체도 영향을 미치고 있다. 국내총생산(GDP)의 15%가량을 차지하는 건설업 생산은 4개 분기 연속 감소 중이다. 올해 1분기엔 무려 20.7%나 줄어 외환위기 직후 수준이다.
여윳돈도 빠르게 말라가고 있다. 중산층으로 분류되는 소득 상위 40~60% 가구의 가처분소득은 지난해 4분기 기준 70만원 아래로 떨어졌다.
김광석 한국경제산업연구원 경제연구실장은 “경기 둔화와 고용 불안으로 저소득층이 식비 같은 필수 지출까지 줄이고 있는 것”이라며 “이례적인 소비 감소는 우리 경제의 체온이 그만큼 떨어졌다는 신호”라고 분석했다.",경기침체
한겨레,“배달도 소용없다”…집밥·외식 ‘동반 추락’ 진짜 이유는? [일상톡...,네이버뉴스,https://n.news.naver.com/mnews/article/028/0002744323?sid=101,,한겨레,"‘불황’ 각자도생 나선 소비자들, 외식 덜 하면서 장바구니까지 비웠다","‘물가상승+경기침체’에 구매력 감소
식품·외식소비 이례적 ‘동반 감소’
서울의 한 대형마트에서 시민들이 장을 보고 있다. 연합뉴스
마트나 시장에서의 음식료품 구매와 식당에서의 외식 소비가 지난해까지 2년 연속 줄어든 것으로 나타났다. 먹거리 물가가 가파르게 오른 데다 경기 부진으로 가계 구매력이 낮아지며 가계마다 그야말로 허리띠를 졸라맨 모양새다.
5일 통계청 서비스업동향조사 결과를 보면, 음식료품 소매판매지수(불변지수)는 2022년 전년 대비 2.5% 감소한 이후 2023년 3.0% 감소하고 지난해는 1.5% 감소했다. 음식료품 소매판매는 관련 통계가 작성된 2006년 이후 줄곧 증가했는데 최근 3년 동안에는 이례적으로 줄곧 내리막길을 걸은 셈이다. 동시에 외식 소비 흐름을 보여주는 음식점업 생산 또한 2023∼2024년 2년 연속 감소했다. 2023년은 전년 대비 0.7% 감소한 데 이어, 지난해 1.9% 감소했다.
지난해까지 2년 연속 나타난 음식료품 소비와 외식 소비의 동반 감소는 이례적인 일이다. 과거 사례를 보면 음식료품 소비(소매판매)와 외식 소비는 한 쪽이 줄면 다른 쪽이 늘어나는 경우가 종종 있었다. 코로나19 유행이 시작됐던 2020년이 대표적 예다. 당시 방역조치로 집합금지 명령 등이 내려지면서 음식점업 생산은 전년 대비 16.0% 급감한 반면, 집밥 수요가 늘며 음식료품 소매판매는 4.6% 증가했다. 코로나19 방역이 완화된 2022년의 경우엔 음식료품 소비가 2.5% 줄었고, 음식점업 생산은 13.9% 큰 폭으로 반등했다.
이례적인 먹거리 소비 감소 추세는 올해 1분기에도 이어졌다. 올해 1분기 음식료품 소매판매는 지난해 같은 기간에 견줘 0.3% 줄었다. 음식점업 생산도 같은 기간 3.4% 감소했다.
먹거리 구매에 지갑을 닫는 현상은 경기 부진으로 가계의 구매력이 상승하지 않는 가운데 식료품 및 외식 물가가 동시에 가파르게 오른 영향으로 해석된다. 최근 오름세가 다소 완화되긴 했지만, 2022년부터 지난해까지 식료품 및 비주류 음료 물가는 누적 22.9% 올랐다. 필수재인 먹거리 물가가 오르자 소비자들이 같은 제품도 가격이 싼 품목을 구매하거나 외식 빈도를 줄이는 등의 소비 패턴 변화로 물가 상승에 대응한 것으로 보인다. 서울 직장인 남아무개(38)씨는 “점심식사를 가능하면 구내식당에서 하고 있다”며 “장을 볼 때도 꼭 필요한 게 아니라면 장바구니에 담는 것이 꺼려지는 게 사실”이라고 말했다.",경기침체
세계일보,"한국인들, 이런 적은 처음인데…""마트도 안 가고 외식도 안 해요""",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004032968?sid=101,,세계일보,“배달도 소용없다”…집밥·외식 ‘동반 추락’ 진짜 이유는? [일상톡톡 플러스],"식재료 구매, 외식 소비 동반 감소…경기 위축 넘어선 구조적 소비 패턴 변화
전문가들 “양쪽 모두 위축, 가계의 실질 구매력이 심각하게 약화됐다는 신호”
경기 하방 압력 가중…필수재인 먹거리마저 줄이는 ‘생계형 소비 축소’ 확산
가공 식품과 외식 가격 상승, 후행적으로 작용…소비 위축 악순환 더욱 심화
2006년 관련 통계 시작된 이래 집밥·외식 소비 동반 감소한 건 이번이 처음
먹거리 소비 위축, 경기 둔화 넘어…가계 경제의 구조적 취약성 드러난 결과
마트나 시장에서 식재료를 사는 ‘집밥’ 수요와 식당에서 음식을 사 먹는 ‘외식’ 소비가 동시에 줄어드는 이례적인 현상이 2년 넘게 이어지고 있다.
서울 도심 역세권의 한 돼지갈비 전문점. 수십 년째 장사를 이어왔지만 최근 폐업했다. 김현주 기자
채소와 과일 등 신선 식품뿐 아니라 가공식품까지 고물가가 지속되는 가운데, 건설업을 중심으로 한 경기 침체가 가계 살림을 위축시키고 있다는 분석이 나온다.
5일 통계청 국가통계포털(KOSIS)에 따르면 음식료품 소매판매지수와 음식점업 생산지수는 2023년부터 모두 감소세를 보이고 있다.
통상 집밥과 외식은 보완 관계에 있어 한쪽 소비가 줄면 다른 쪽이 늘어나는 경향이 있다. 특히 먹거리는 의식주 중 가장 기본적인 필수재로, 외부 환경이 변해도 일정 수준의 소비가 지속되는 것이 일반적이다. 조리된 음식을 사 먹든, 식재료를 사서 직접 요리하든 양자택일의 소비는 필연적이기 때문이다.
실제로 2020년 코로나19 팬데믹 당시 사회적 거리두기 여파로 외식 소비가 급감했지만, 집밥 수요는 크게 늘었다. 당시 음식점업 생산은 16.0% 줄었지만, 음식료품 소매판매는 13년 만에 최대폭인 4.6% 증가했다.
하지만 최근에는 이 같은 보완 관계가 무너졌다. 정부에 따르면 관련 통계가 집계되기 시작한 2006년 이후 집밥과 외식 소비가 동시에 줄어든 것은 이번이 처음이다.
서울 한복판, 변두리 이제 그 어느 곳에서도 쉽게 접할 수 있는 ‘임대문의’ 현수막. 김현주 기자
음식료품 소매판매는 2021년까지 매년 증가했으나, 2022년 -2.5%를 기록한 후 3년째 감소세가 이어지고 있다.
초기에는 배달 음식 수요 증가가 오프라인 식재료 구매 감소에 영향을 준 것으로 보였으나, 최근에는 배달 수요를 포함한 전체 음식점업 생산 자체가 줄고 있는 상황이다.
음식점업 생산은 코로나19 기간 급락한 후 2021년과 2022년 반등했다. 하지만 2023년 -0.7%, 2024년 -1.9%로 다시 감소 전환됐다. 특히 감소 폭은 해마다 확대되는 추세다.
이 같은 먹거리 소비의 동반 위축은 올해 1분기에도 이어졌다.
2024년 1분기 음식료품 소매판매는 전년 동기 대비 0.3% 줄었다. 음식점업 생산은 3.4% 감소해 2023년 4분기(-4.7%) 이후 가장 큰 감소폭을 기록했다.
고물가 압력은 이러한 추세를 더욱 심화시키고 있다.
2023년 이후 이상기후 등으로 채소·과일 등 농산물 가격이 급등하며 전체 소비자물가 상승을 견인했다. 최근에는 고환율 여파로 수입 원재료 가격이 올라 가공식품과 외식 가격도 연쇄적으로 오르고 있다.
지난달 가공식품 물가는 전년 동월 대비 4.1% 상승해 2023년 12월(4.2%) 이후 16개월 만에 최대폭 상승을 기록했다. 외식 물가도 3.2% 올라 작년 3월(3.4%) 이후 13개월 만에 가장 큰 폭으로 올랐다.
경기 부진으로 가계의 구매력이 약화된 점도 소비 감소의 주요 요인이다.
국내총생산(GDP)의 약 15%를 차지하는 건설업은 최근 4개 분기 연속 역성장을 기록하고 있다. 올해 1분기에는 무려 20.7% 감소했다. 이는 외환위기 당시인 1998년 3분기(-24.2%) 이후 최대폭 하락이다.
작년 4분기 기준 소득 상위 40~60%에 해당하는 중산층 가구의 가처분소득(여윳돈)은 3분기 연속 줄며 5년 만에 다시 70만원 아래로 떨어졌다.
도심 대형 상권은 물론 동네 상가에서도 이제 어렵지 않게 찾아볼 수 있는 ‘점포문의’ 안내. 김현주 기자
전문가들은 이 같은 상황을 단순한 경기 둔화를 넘어선 소비 구조의 변화로 해석하고 있다.
유통업계 한 관계자는 “현재 나타나는 식재료 구매와 외식 소비의 동반 감소는 단순한 경기 위축을 넘어선 구조적 소비 패턴의 변화로 볼 수 있다”고 설명했다.
그는 “기존에는 외식과 집밥 소비가 일정 부분 대체 관계에 있었지만, 이번처럼 양쪽이 모두 위축된 것은 가계의 실질 구매력이 심각하게 약화됐다는 신호”라고 분석했다.
이어 “고물가에 더해 건설업 등 경기 하방 압력이 가중되면서, 필수재인 먹거리마저 줄이는 ‘생계형 소비 축소’가 확산되고 있는 상황”이라며 “가공식품과 외식 가격 상승이 후행적으로 작용해 소비 위축의 악순환을 심화시키고 있다”고 덧붙였다.
아울러 “2006년 관련 통계가 시작된 이래 집밥과 외식 소비가 동반 감소한 사례는 이번이 처음”이라며 “현재의 먹거리 소비 위축은 경기 둔화를 넘어서 가계 경제의 구조적 취약성이 드러난 결과로 봐야 한다”고 강조했다.",경기침체
연합뉴스,건설경기 침체에 시멘트 출하량 34년만에 4천만t 밑도나,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015369389?sid=101,,연합뉴스,건설경기 침체에 시멘트 출하량 34년만에 4천만t 밑도나,"1~3월 시멘트 출하량 두 자릿수 감소
멈춰선 시멘트 운송열차
[연합뉴스 자료사진]
(서울=연합뉴스) 권혜진 기자 = 건설경기 침체로 국내 시멘트 수요가 크게 줄어들며 출하량이 34년 만에 연간 4천만톤(t)을 밑돌 것이라는 전망이 나온다.
5일 한국시멘트협회에 따르면 지난 3월 국내 시멘트사의 출하 실적이 작년 동기 대비 두 자릿수 감소한 것으로 추산된다.
구체적인 수치는 이달 중순께 나올 예정이지만, 지난 1~2월 시멘트 출하량이 작년 동기 대비 24.8% 감소한 가운데 3월에도 비슷한 수준의 감소세가 지속된 것으로 추정된다.
지난해 시멘트 출하량은 4천419만t으로, 올해 출하량이 작년보다 10% 이상 감소하면 연간 출하량 4천만t 유지가 어렵다. 시멘트 출하량은 1990년 3천200만t에서 1991년 4천400만t으로 급증한 이래 한 번도 4천만t을 하회한 적이 없다. 대규모 사회간접자본(SOC) 발주로 건설업이 활황이던 1996~1997년에는 연간 출하량이 6천만t을 상회하기도 했다.
그러나 최근 건설경기 침체로 출하량은 전반적으로 하향 추세였으며 올해 출하량이 4천만t 아래로 떨어지면 1980년대 수준으로 회귀하는 셈이다.
업계에선 두 자릿수의 출하량 감소세가 올해 상반기까지 지속될 것으로 보고 있다.
시멘트 수요와 밀접하게 관련된 신규 분양물량과 건축 인허가, 착공 추이 등 각종 지표가 모두 감소세라는 이유에서다.
국토교통부 통계에 따르면 지난 1분기 전국 주택 인허가는 전년 동기 대비 11.5% 감소했으며 같은 기간 주택 착공도 25.0% 줄었다.
하반기부터는 출하량 감소세가 다소 둔화하겠지만 이 또한 긍정적인 신호로 해석하기는 어렵다고 업계 관계자들은 전했다.
업계 관계자는 ""작년 상반기보다 하반기가 실적이 더 안 좋다 보니 기저효과로 하반기 감소세가 다소 둔화하는 것처럼 보일 수 있다""고 설명했다.
또 다른 업계 관계자는 ""상황이 나아지는 것이 아니라 더 나빠지고 있다""고 말했다.
lucid@yna.co.kr",경기침체
연합뉴스,건설경기 침체에 시멘트 출하량도 바닥…34년 만에 4천만t 아래 전망,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015369389?sid=101,,연합뉴스,건설경기 침체에 시멘트 출하량 34년만에 4천만t 밑도나,"1~3월 시멘트 출하량 두 자릿수 감소
멈춰선 시멘트 운송열차
[연합뉴스 자료사진]
(서울=연합뉴스) 권혜진 기자 = 건설경기 침체로 국내 시멘트 수요가 크게 줄어들며 출하량이 34년 만에 연간 4천만톤(t)을 밑돌 것이라는 전망이 나온다.
5일 한국시멘트협회에 따르면 지난 3월 국내 시멘트사의 출하 실적이 작년 동기 대비 두 자릿수 감소한 것으로 추산된다.
구체적인 수치는 이달 중순께 나올 예정이지만, 지난 1~2월 시멘트 출하량이 작년 동기 대비 24.8% 감소한 가운데 3월에도 비슷한 수준의 감소세가 지속된 것으로 추정된다.
지난해 시멘트 출하량은 4천419만t으로, 올해 출하량이 작년보다 10% 이상 감소하면 연간 출하량 4천만t 유지가 어렵다. 시멘트 출하량은 1990년 3천200만t에서 1991년 4천400만t으로 급증한 이래 한 번도 4천만t을 하회한 적이 없다. 대규모 사회간접자본(SOC) 발주로 건설업이 활황이던 1996~1997년에는 연간 출하량이 6천만t을 상회하기도 했다.
그러나 최근 건설경기 침체로 출하량은 전반적으로 하향 추세였으며 올해 출하량이 4천만t 아래로 떨어지면 1980년대 수준으로 회귀하는 셈이다.
업계에선 두 자릿수의 출하량 감소세가 올해 상반기까지 지속될 것으로 보고 있다.
시멘트 수요와 밀접하게 관련된 신규 분양물량과 건축 인허가, 착공 추이 등 각종 지표가 모두 감소세라는 이유에서다.
국토교통부 통계에 따르면 지난 1분기 전국 주택 인허가는 전년 동기 대비 11.5% 감소했으며 같은 기간 주택 착공도 25.0% 줄었다.
하반기부터는 출하량 감소세가 다소 둔화하겠지만 이 또한 긍정적인 신호로 해석하기는 어렵다고 업계 관계자들은 전했다.
업계 관계자는 ""작년 상반기보다 하반기가 실적이 더 안 좋다 보니 기저효과로 하반기 감소세가 다소 둔화하는 것처럼 보일 수 있다""고 설명했다.
또 다른 업계 관계자는 ""상황이 나아지는 것이 아니라 더 나빠지고 있다""고 말했다.
lucid@yna.co.kr",경기침체
TV조선,건설경기 침체에 시멘트 출하량 '뚝'…연간 4천만t 밑도나,네이버뉴스,https://n.news.naver.com/mnews/article/448/0000525539?sid=101,,TV조선,건설경기 침체에 시멘트 출하량도 바닥…34년 만에 4천만t 아래 전망,"수도권의 한 시멘트 출하기지 / 출처 : TV조선 뉴스9
국내 시멘트 사의 출하량이 34년 만에 연간 4천만 톤(t)을 밑돌 것이라는 관측이 나왔다.
5일 한국시멘트협회는 지난 3월 국내 시멘트 사의 출하 실적이 작년 동기 대비 두 자릿수 감소할 것으로 예측했다.
구체적인 수치는 이달 중순 나올 예정이다.
지난 1~2월 시멘트 출하량도 작년 동기 대비 24.8% 감소했는데, 3월도 비슷한 상황이 이어진 것이다.
지난해 시멘트 출하량은 4,419만 톤이다.
만일 올해 출하량이 작년보다 10% 이상 감소한다면 연간 출하량은 4천만 톤 아래로 떨어지게 된다.
시멘트 출하량은 1990년 3,200만 톤에서 1991년 4,400만 톤으로 오른 뒤, 한 번도 4천만 톤 아래로 떨어진 적이 없다.
건설경기 침체로 최근 출하량이 전반적으로 줄어든 게 원인으로 풀이된다.
업계에선 두 자릿수 출하량 감소세가 올해 상반기까지 지속될 것으로 보고 있다.
신규 분양 물량, 건축 인허가, 착공 추이 등 각종 지표가 모두 감소세기 때문이다.
국토교통부에 따르면 지난 1분기 전국 주택 인허가는 지난해 같은 기간보다 11.5% 감소했으며 같은 기간 주택 착공도 25.0% 줄었다.",경기침체
연합뉴스TV,시멘트 출하량 34년 만에 4천만t 밑돌 듯…건설경기 침체직격탄,네이버뉴스,https://n.news.naver.com/mnews/article/422/0000737484?sid=101,,연합뉴스TV,건설경기 침체에 시멘트 출하량 '뚝'…연간 4천만t 밑도나,"건설경기 침체로 국내 시멘트 수요가 크게 줄어들며 출하량이 34년 만에 연간 4천만톤(t)을 밑돌 것이라는 전망이 나옵니다.
정차해 있는 시멘트 운송열차 [연합뉴스 자료사진]
한국시멘트협회에 따르면 지난 3월 국내 시멘트사의 출하 실적이 작년 동기 대비 두 자릿수 감소한 것으로 추산됐습니다.
구체적인 수치는 이달 중순께 나올 예정이지만, 지난 1~2월 시멘트 출하량이 작년 동기 대비 24.8% 감소한 가운데 3월에도 비슷한 수준의 감소세가 지속된 것으로 추정됩니다.
지난해 시멘트 출하량은 4,419만t으로, 올해 출하량이 작년보다 10% 이상 감소하면 연간 출하량 4천만t 유지가 어려워집니다.
시멘트 출하량은 1990년 3,200만t에서 1991년 4,400만t으로 급증한 이래 한 번도 4천만t을 하회한 적이 없습니다.
대규모 사회간접자본(SOC) 발주로 건설업이 활황이던 1996~1997년에는 연간 출하량이 6천만t을 상회하기도 했습니다.
그러나 최근 건설경기 침체로 출하량은 전반적으로 하향 추세였으며 올해 출하량이 4천만t 아래로 떨어지면 1980년대 수준으로 회귀하는 셈입니다.
업계에선 두 자릿수의 출하량 감소세가 올해 상반기까지 지속될 것으로 보고 있습니다.
시멘트 수요와 밀접하게 관련된 신규 분양물량과 건축 인허가, 착공 추이 등 각종 지표가 모두 감소세라는 이유에서입니다.
국토교통부 통계에 따르면 지난 1분기 전국 주택 인허가는 전년 동기 대비 11.5% 감소했으며 같은 기간 주택 착공도 25% 줄었습니다.
하반기부터는 출하량 감소세가 다소 둔화하겠지만 이 또한 긍정적인 신호로 해석하기는 어렵다고 업계 관계자들은 전했습니다.
#시멘트 #건설경기 #침체
연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",경기침체
매일신문,건설경기 침체에 시멘트 출하량 34년만에 4천만t 밑도나,네이버뉴스,https://n.news.naver.com/mnews/article/088/0000945896?sid=101,,매일신문,시멘트 출하량 34년 만에 4천만t 밑돌 듯…건설경기 침체 직격탄,"1분기 주택 인허가와 착공 모두 줄어
지난해 12월 경기도 의왕시 오봉역에 시멘트 운송 열차가 정차해 있다. 연합뉴스
국내 건설경기 침체가 본격화하면서 올해 시멘트 출하량이 34년 만에 4천만t(톤) 아래로 떨어질 가능성이 제기됐다.
3월 국내 시멘트사 출하 실적은 전년 대비 두 자릿수 감소한 것으로 추정된다. 구체적인 수치는 이달 중순 확정될 예정이나, 1~2월 출하량이 지난해 같은 기간보다 24.8% 줄어든 데다 3월 역시 비슷한 감소세가 이어졌다는 분석이다.
지난해 시멘트 출하량은 4천419만t이었다. 만약 올해 출하량이 작년보다 10% 넘게 줄면 연간 출하량 4천만t도 이르지 못한다.
지난해 연간 출하량은 4천419만t이었다. 올해 출하량이 10% 이상 줄 경우 4천만t을 밑돌게 되며, 이는 1991년 이후 처음 있는 일이다. 국내 시멘트 출하량은 1990년 3천200만t에서 1991년 4천400만t으로 급증한 이후 줄곧 4천만t 이상을 유지해왔다. 특히 1996~1997년 사회간접자본(SOC) 사업이 활발하던 시기에는 연간 출하량이 6천만t을 웃돌기도 했다.
그러나 최근 들어 건설경기 위축이 장기화하면서 출하량은 하향 곡선을 그리고 있다. 특히 올해는 1980년대 수준으로 후퇴할 수 있다는 전망까지 나온다.
업계는 시멘트 수요와 직결되는 분양 물량, 건축 인허가 및 착공 실적 등이 일제히 감소하고 있다는 점에 주목하고 있다. 국토교통부에 따르면 올해 1분기 전국 주택 인허가는 작년에 비해 11.5% 줄었고, 착공 실적도 25.0% 감소했다.
하반기 들어 출하 감소세가 다소 완화될 수 있다는 전망도 있으나 이는 '기저효과'에 따른 착시일 뿐이라는 지적도 나온다.
업계 관계자는 ""지난해 하반기 실적이 워낙 부진했던 탓에 상대적으로 나아 보일 수 있지만, 실제 상황은 악화되고 있다""고 했다.",경기침체
