press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
한국경제,"""전세사기피했더니 월세 폭탄""…오피스텔 구하다 직장인 '분통'",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005171235?sid=101,,한국경제,"""전세사기 피했더니 월세 폭탄""…오피스텔 구하다 직장인 '분통'","규제 등에 오피스텔 공급난
광화문 월세 100만원 넘어서
사진=연합뉴스
“오피스텔 월세 매물이 없어 발걸음을 돌리는 임차인이 적지 않습니다.”(서울 영등포구 공인중개 관계자 A씨)
건설경기 침체, 다주택자 규제 등이 겹치며 지난해 전국 소형 오피스텔 분양 물량이 3년 전의 10분의 1 수준으로 급감했다. 공급 부족으로 임대료가 1년 넘게 오르며, 오피스텔을 많이 찾는 청년층의 주거비 부담이 커지고 있다. 사회초년생의 ‘주거 사다리’ 복원을 위해 오피스텔 주택 수 제외, 프로젝트 파이낸싱(PF) 규제 완화 등 대책이 필요하다는 주장이 나온다.
소형 오피스텔 입주 1만실 밑돌아
15일 부동산 리서치업체 부동산R114에 따르면 작년 전국에서 공급(분양)된 전용면적 59㎡ 이하 소형 오피스텔은 3439실로 집계됐다. 7년 연속 감소세다. 2017년만 해도 오피스텔 분양 규모는 8만1571실에 달했다. 당시 ‘아파트 대체재’로 불리며 투자 열기가 뜨거워지자, 너도나도 공급에 나섰다. 이후 점점 공급이 줄더니 2020년 3만실 대로 주저앉았다. 2023년(3476실)부턴 2년 연속 1만실을 밑돌고 있다. 규제 강화로 투자 매력이 떨어진 데다 PF 자금경색, 전세사기 사태 등이 겹친 영향이다. 올해 입주 예정 물량도 9721실에 그칠 전망이다.
공급이 끊기다 보니 임대료는 뛰고 있다. 한국부동산원 오피스텔 가격동향조사에 따르면 서울 전용 40㎡ 이하 오피스텔의 월세는 2023년 5월 이후 26개월 연속 오름세를 나타냈다. 전용 40~60㎡도 작년 5월(0.02%) 이후 1년 넘게 상승세를 보인다. 서울 광화문 인근의 한 오피스텔 전용 34㎡는 작년 5월 월세 95만원(보증금 1000만원)에 세입자를 들였는데, 올해 5월 월세가 105만원(보증금은 동일)으로 10만원 올랐다.
전용 59㎡ 이하 소형 오피스텔은 청년이나 1~2인 가구가 선호하는 주거 형태다. 빌라(다세대·연립)에 비해 전세사기에서 비교적 안전하다는 평가를 받는 데다 역세권 등 교통 중심지에서 공급되는 경우가 많기 때문이다. 오피스텔 공급 부족이 소형 아파트로 수요 전환을 불러 아파트값 상승을 부채질하는 ‘풍선 효과’도 나타나고 있다.
“임대 목적 땐 주택 수 제외해야”
업계에서는 오피스텔 활성화 대책이 필요하다는 주장이 나온다. 오피스텔은 아파트보다 공사 기간이 짧은 만큼 청년층 주거 안정뿐 아니라 ‘공급 절벽’ 우려를 잠재우는 데 도움이 될 수 있기 때문이다. 작년 8월 윤석열 정부가 전용 60㎡·취득가액 6억원 이하(수도권) 소형 오피스텔을 2027년말까지 사면 주택수에서 제외해 주는 ‘비아파트 공급 확대 대책’(8·8 부동산 대책)을 내놨다. 하지만 한시적 조치인 데다 대상이 한정돼 효과를 내지 못하고 있다는 게 업계의 중론이다.
비교적 소규모 건설사가 공급하는 오피스텔은 경기 부진, 공사비 상승, PF 대출 규제 등에 더 큰 충격을 받을 수밖에 없다. 업계에서는 지방자치단체가 임대 목적으로 매입약정을 맺어 사업성을 보강해주고, PF 대출 문턱도 낮춰야 한다는 의견이 나오고 있다. 송승현 도시와경제 대표는 “PF 자금을 조달하기 위해 사업성을 갖추는 게 중요하다”며 “주거 사다리 역할을 감안해 지자체가 매입약정을 체결해 임대주택으로 공급하는 것도 방법”이라고 밝혔다.
업계에서는 정부가 소형에 대해 기간에 상관 없이 주택수에서 제외하는 추가 대책이 마련되면 하반기 금리 인하 기대와 대출 규제 강화(6·27 대책) 반사 이익 등으로 오피스텔 공급이 늘어날 요인은 있다고 본다. 양지영 신한프리미어 패스파인더 자문위원은 “이번 대출 규제는 주택담보대출을 겨냥한 것”이라며 “부동산담보대출 등을 활용할 수 있는 비아파트 시장으로 건설사와 매매 수요자가 눈길을 돌릴 가능성이 있다”고 말했다. 대출 규제 영향으로 청년·신혼부부의 보증금 마련 부담이 커져 오피스텔 임대차 시장에 영향을 줄 것이란 우려도 나온다.
손주형 기자",전세사기
한국경제,소형 오피스텔 공급가뭄…주거사다리 '흔들',네이버뉴스,https://n.news.naver.com/mnews/article/015/0005171235?sid=101,,한국경제,"""전세사기 피했더니 월세 폭탄""…오피스텔 구하다 직장인 '분통'","규제 등에 오피스텔 공급난
광화문 월세 100만원 넘어서
사진=연합뉴스
“오피스텔 월세 매물이 없어 발걸음을 돌리는 임차인이 적지 않습니다.”(서울 영등포구 공인중개 관계자 A씨)
건설경기 침체, 다주택자 규제 등이 겹치며 지난해 전국 소형 오피스텔 분양 물량이 3년 전의 10분의 1 수준으로 급감했다. 공급 부족으로 임대료가 1년 넘게 오르며, 오피스텔을 많이 찾는 청년층의 주거비 부담이 커지고 있다. 사회초년생의 ‘주거 사다리’ 복원을 위해 오피스텔 주택 수 제외, 프로젝트 파이낸싱(PF) 규제 완화 등 대책이 필요하다는 주장이 나온다.
소형 오피스텔 입주 1만실 밑돌아
15일 부동산 리서치업체 부동산R114에 따르면 작년 전국에서 공급(분양)된 전용면적 59㎡ 이하 소형 오피스텔은 3439실로 집계됐다. 7년 연속 감소세다. 2017년만 해도 오피스텔 분양 규모는 8만1571실에 달했다. 당시 ‘아파트 대체재’로 불리며 투자 열기가 뜨거워지자, 너도나도 공급에 나섰다. 이후 점점 공급이 줄더니 2020년 3만실 대로 주저앉았다. 2023년(3476실)부턴 2년 연속 1만실을 밑돌고 있다. 규제 강화로 투자 매력이 떨어진 데다 PF 자금경색, 전세사기 사태 등이 겹친 영향이다. 올해 입주 예정 물량도 9721실에 그칠 전망이다.
공급이 끊기다 보니 임대료는 뛰고 있다. 한국부동산원 오피스텔 가격동향조사에 따르면 서울 전용 40㎡ 이하 오피스텔의 월세는 2023년 5월 이후 26개월 연속 오름세를 나타냈다. 전용 40~60㎡도 작년 5월(0.02%) 이후 1년 넘게 상승세를 보인다. 서울 광화문 인근의 한 오피스텔 전용 34㎡는 작년 5월 월세 95만원(보증금 1000만원)에 세입자를 들였는데, 올해 5월 월세가 105만원(보증금은 동일)으로 10만원 올랐다.
전용 59㎡ 이하 소형 오피스텔은 청년이나 1~2인 가구가 선호하는 주거 형태다. 빌라(다세대·연립)에 비해 전세사기에서 비교적 안전하다는 평가를 받는 데다 역세권 등 교통 중심지에서 공급되는 경우가 많기 때문이다. 오피스텔 공급 부족이 소형 아파트로 수요 전환을 불러 아파트값 상승을 부채질하는 ‘풍선 효과’도 나타나고 있다.
“임대 목적 땐 주택 수 제외해야”
업계에서는 오피스텔 활성화 대책이 필요하다는 주장이 나온다. 오피스텔은 아파트보다 공사 기간이 짧은 만큼 청년층 주거 안정뿐 아니라 ‘공급 절벽’ 우려를 잠재우는 데 도움이 될 수 있기 때문이다. 작년 8월 윤석열 정부가 전용 60㎡·취득가액 6억원 이하(수도권) 소형 오피스텔을 2027년말까지 사면 주택수에서 제외해 주는 ‘비아파트 공급 확대 대책’(8·8 부동산 대책)을 내놨다. 하지만 한시적 조치인 데다 대상이 한정돼 효과를 내지 못하고 있다는 게 업계의 중론이다.
비교적 소규모 건설사가 공급하는 오피스텔은 경기 부진, 공사비 상승, PF 대출 규제 등에 더 큰 충격을 받을 수밖에 없다. 업계에서는 지방자치단체가 임대 목적으로 매입약정을 맺어 사업성을 보강해주고, PF 대출 문턱도 낮춰야 한다는 의견이 나오고 있다. 송승현 도시와경제 대표는 “PF 자금을 조달하기 위해 사업성을 갖추는 게 중요하다”며 “주거 사다리 역할을 감안해 지자체가 매입약정을 체결해 임대주택으로 공급하는 것도 방법”이라고 밝혔다.
업계에서는 정부가 소형에 대해 기간에 상관 없이 주택수에서 제외하는 추가 대책이 마련되면 하반기 금리 인하 기대와 대출 규제 강화(6·27 대책) 반사 이익 등으로 오피스텔 공급이 늘어날 요인은 있다고 본다. 양지영 신한프리미어 패스파인더 자문위원은 “이번 대출 규제는 주택담보대출을 겨냥한 것”이라며 “부동산담보대출 등을 활용할 수 있는 비아파트 시장으로 건설사와 매매 수요자가 눈길을 돌릴 가능성이 있다”고 말했다. 대출 규제 영향으로 청년·신혼부부의 보증금 마련 부담이 커져 오피스텔 임대차 시장에 영향을 줄 것이란 우려도 나온다.
손주형 기자",전세사기
KBS,‘대전전세 사기’ 새마을금고 임직원 등 13명 기소,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012009779?sid=102,,KBS,‘대전 전세 사기’ 새마을금고 임직원 등 13명 기소,"[KBS 대전]대전에서 대규모 전세 사기를 일으킨 일당이 무더기로 재판에 넘겨졌습니다.
대전지검은 배임과 수재, 사금융알선 등의 혐의로 대전의 한 새마을금고 임직원과 건설업자, 알선업자 13명을 재판에 넘기고 이 가운데 2명을 구속했습니다.",전세사기
KBS,전세 사기에 7백억 대 불법 대출 새마을금고 임직원 등 기소,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012009779?sid=102,,KBS,‘대전 전세 사기’ 새마을금고 임직원 등 13명 기소,"[KBS 대전]대전에서 대규모 전세 사기를 일으킨 일당이 무더기로 재판에 넘겨졌습니다.
대전지검은 배임과 수재, 사금융알선 등의 혐의로 대전의 한 새마을금고 임직원과 건설업자, 알선업자 13명을 재판에 넘기고 이 가운데 2명을 구속했습니다.",전세사기
연합뉴스TV,인천·부천서 34억원대 빌라전세 사기…일당 송치,네이버뉴스,https://n.news.naver.com/mnews/article/422/0000770959?sid=102,,연합뉴스TV,인천·부천서 34억원대 빌라 전세 사기…일당 송치,"인천과 경기 부천 일대에서 '무자본 갭 투기' 수법으로 34억원대 빌라 전세 사기를 벌인 일당 21명이 검찰에 넘겨졌습니다.
부천 오정경찰서는 사기 혐의로 컨설팅 대표 40대 A씨를 검찰에 구속 송치했다고 밝혔습니다.
경찰은 범행에 가담한 건축주와 분양 대행업체 관계자, 명의대여자 등 20명을 같은 혐의로 불구속 입건해 검찰에 넘겼습니다.
A씨 등은 2018년 8월부터 2019년 12월까지 인천과 부천 지역에서 신축 빌라 임대차 계약과 매입 계약을 동시에 진행하는 수법으로 세입자 18명으로부터 전세보증금 34억여원을 받아 가로챈 혐의를 받습니다.
#인천 #부천 #전세사기
연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",전세사기
중앙이코노미뉴스,"카카오페이손보, 직거래전월세보험 출시…전세사기위험 해소",,,,,,,전세사기
뉴스민,"경북 산불과 구미페놀의 기억, 무대 위로···TK도 함께 광복 80주년 국...",,,,,,,전세사기
한국경제,서울 아파트 월세 119만원…지갑 얇은 세입자들 '한숨',네이버뉴스,https://n.news.naver.com/mnews/article/015/0005171321?sid=101,,한국경제,서울 아파트 월세 119만원…지갑 얇은 세입자들 '한숨',"전셋값 상승·대출 규제에…씨마르는 '서울 아파트 전세'
전세의 월세화, 7월에만 377건
서울 아파트 중 월세 비중 44%
지난달 31일 서울 서초구 반포동 디에이치반포라클라스 전용면적 50㎡ 소유자는 기존 전세 계약(보증금 9억원)을 갱신해 보증금 9억원에 월세 60만원을 받는 반전세로 전환했다. 서대문구 남가좌동 DMC파크뷰자이 2단지 전용 59㎡ 세입자는 5억5000만원에 매달 30만원을 추가로 내는 임대차 계약을 했다. 반포동 A공인 관계자는 “보유세는 오르는데 은행 예금금리가 떨어지고 있어 월세를 조금이라도 더 받으려는 집주인이 늘고 있다”고 말했다.
아파트 공급 부족과 전셋값 상승, 대출 규제 강화 등의 영향으로 ‘전세의 월세화’ 현상이 뚜렷해지고 있다. 보증금 일부를 월세로 내는 반전세 형태 월세가 확산하고 있다. 지난달 서울에서 전세에서 반전세 등 월세로 바꾼 갱신 계약은 377건으로 집계됐다. 저소득·청년·고령층 등 소득이 적은 계층의 주거 불안이 심해질 것이란 우려가 나온다.
◇늘어나는 서울 월세
뉴스1
15일 법원 등기정보광장에 따르면 올해 1~7월 서울에서 전·월세 계약을 하고 확정일자를 받은 주택(53만6416가구) 중 월세는 64.1%인 34만3622가구에 달했다. 2014년 통계 집계 후 최고치다. 처음 60%를 넘은 작년(60.3%)보다 3.8%포인트 올랐다. 2014년 39.2%이던 서울 월세 비중은 임대차 2법(계약갱신청구권, 전·월세상한제)이 적용되고, 전세사기가 불거진 2021년부터 확대되기 시작했다.
아파트도 월세화가 확산하고 있다. 국토교통부 주택통계에 따르면 올해 상반기 서울 아파트 월세 비중은 43.9%였다. 작년 상반기(42.9%)는 물론 5년 평균(39.8%)을 웃돈다. 전세금 부담이 커지자 보증금 일부를 월세로 내는 세입자가 늘어난 것이다. 전세사기 여파에 수억원에 달하는 대출금을 전세보증금으로 내기 불안해진 것도 영향을 미쳤다. KB부동산에 따르면 지난달 서울 아파트 중위 전셋값은 5억6333만원으로, 1년 새 6833만원 올랐다. 박원갑 국민은행 부동산수석전문위원은 “주택 공급 부족과 전셋값 상승이 아파트 월세화를 부추기고 있다”고 말했다.
월세를 선호하는 집주인은 늘고 있다. 은행 예금금리가 연 2.5%대에 불과하기 때문이다. 서울 아파트 전·월세 전환율(전세를 월세로 전환할 때 적용하는 비율)은 4.7% 수준까지 올랐다. 집주인이 전세보증금 1억원을 받아 은행에 넣어두면 월 이자가 21만원이지만, 월세로 바꾸면 월 39만원을 받을 수 있다는 뜻이다.
◇대출 규제로 월세 가속화
정부의 ‘가계부채 관리 방안’(6·27 부동산 대책) 시행으로 수도권에서 월세화 속도는 더 빨라질 전망이다. 집주인이 전세보증금을 돌려주기 위해 받는 전세퇴거자금 대출 한도가 1억원으로 줄고, 다주택자 대출은 아예 막혔기 때문이다. 세입자는 보증금 반환에 대한 확신이 줄어 월세를 선호할 가능성이 높다. 주택도시보증공사(HUG) 등의 전세자금 대출 보증 비율이 80%로 낮아진 것도 월세가 증가하는 한 요인이다.
부동산 정보업체 아실에 따르면 지난 6일 기준 서울 아파트 전세 매물은 2만3467건으로 작년 말보다 25.4% 줄어든 데 비해 월세는 1만9249건으로 같은 기간 2.6% 감소하는 데 그쳤다. 집주인 입장에선 소유권 이전 조건부 전세 대출 금지와 주택담보대출 때 실거주 의무 등으로 갭 투자(전세 낀 매매)가 힘들어져 전세 매물은 더 줄어들 가능성이 커졌다.
전문가들은 임대차 시장에서 월세 비중이 늘어날 것으로 보고 있다. 이창무 한양대 도시공학과 교수는 “전세가 주거 사다리 역할을 한 것은 사실이지만 대출에 너무 의존해 변질된 측면도 있다”며 “월세가 어느 정도 늘어날 필요가 있다”고 말했다.
서민층에게 매달 적지 않게 들어가는 월세는 큰 부담이다. 6일 기준 서울 아파트 중위 월세(한국부동산원 기준)는 119만원으로 조사됐다. 월세 거주자가 증가하는 만큼 이들에 대한 지원을 늘려야 한다는 지적이 나온다. 박진백 국토연구원 부연구위원은 “기존 제도는 전세 세입자를 지원하는 데 맞춰져 있다”며 “월세 세액공제의 소득 기준을 높이고 청년·신혼부부를 위한 월세 바우처를 제공하는 등의 정책이 필요하다”고 말했다.",전세사기
한국경제,강북 중소 단지마저…월 임차료 수백만원,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005171321?sid=101,,한국경제,서울 아파트 월세 119만원…지갑 얇은 세입자들 '한숨',"전셋값 상승·대출 규제에…씨마르는 '서울 아파트 전세'
전세의 월세화, 7월에만 377건
서울 아파트 중 월세 비중 44%
지난달 31일 서울 서초구 반포동 디에이치반포라클라스 전용면적 50㎡ 소유자는 기존 전세 계약(보증금 9억원)을 갱신해 보증금 9억원에 월세 60만원을 받는 반전세로 전환했다. 서대문구 남가좌동 DMC파크뷰자이 2단지 전용 59㎡ 세입자는 5억5000만원에 매달 30만원을 추가로 내는 임대차 계약을 했다. 반포동 A공인 관계자는 “보유세는 오르는데 은행 예금금리가 떨어지고 있어 월세를 조금이라도 더 받으려는 집주인이 늘고 있다”고 말했다.
아파트 공급 부족과 전셋값 상승, 대출 규제 강화 등의 영향으로 ‘전세의 월세화’ 현상이 뚜렷해지고 있다. 보증금 일부를 월세로 내는 반전세 형태 월세가 확산하고 있다. 지난달 서울에서 전세에서 반전세 등 월세로 바꾼 갱신 계약은 377건으로 집계됐다. 저소득·청년·고령층 등 소득이 적은 계층의 주거 불안이 심해질 것이란 우려가 나온다.
◇늘어나는 서울 월세
뉴스1
15일 법원 등기정보광장에 따르면 올해 1~7월 서울에서 전·월세 계약을 하고 확정일자를 받은 주택(53만6416가구) 중 월세는 64.1%인 34만3622가구에 달했다. 2014년 통계 집계 후 최고치다. 처음 60%를 넘은 작년(60.3%)보다 3.8%포인트 올랐다. 2014년 39.2%이던 서울 월세 비중은 임대차 2법(계약갱신청구권, 전·월세상한제)이 적용되고, 전세사기가 불거진 2021년부터 확대되기 시작했다.
아파트도 월세화가 확산하고 있다. 국토교통부 주택통계에 따르면 올해 상반기 서울 아파트 월세 비중은 43.9%였다. 작년 상반기(42.9%)는 물론 5년 평균(39.8%)을 웃돈다. 전세금 부담이 커지자 보증금 일부를 월세로 내는 세입자가 늘어난 것이다. 전세사기 여파에 수억원에 달하는 대출금을 전세보증금으로 내기 불안해진 것도 영향을 미쳤다. KB부동산에 따르면 지난달 서울 아파트 중위 전셋값은 5억6333만원으로, 1년 새 6833만원 올랐다. 박원갑 국민은행 부동산수석전문위원은 “주택 공급 부족과 전셋값 상승이 아파트 월세화를 부추기고 있다”고 말했다.
월세를 선호하는 집주인은 늘고 있다. 은행 예금금리가 연 2.5%대에 불과하기 때문이다. 서울 아파트 전·월세 전환율(전세를 월세로 전환할 때 적용하는 비율)은 4.7% 수준까지 올랐다. 집주인이 전세보증금 1억원을 받아 은행에 넣어두면 월 이자가 21만원이지만, 월세로 바꾸면 월 39만원을 받을 수 있다는 뜻이다.
◇대출 규제로 월세 가속화
정부의 ‘가계부채 관리 방안’(6·27 부동산 대책) 시행으로 수도권에서 월세화 속도는 더 빨라질 전망이다. 집주인이 전세보증금을 돌려주기 위해 받는 전세퇴거자금 대출 한도가 1억원으로 줄고, 다주택자 대출은 아예 막혔기 때문이다. 세입자는 보증금 반환에 대한 확신이 줄어 월세를 선호할 가능성이 높다. 주택도시보증공사(HUG) 등의 전세자금 대출 보증 비율이 80%로 낮아진 것도 월세가 증가하는 한 요인이다.
부동산 정보업체 아실에 따르면 지난 6일 기준 서울 아파트 전세 매물은 2만3467건으로 작년 말보다 25.4% 줄어든 데 비해 월세는 1만9249건으로 같은 기간 2.6% 감소하는 데 그쳤다. 집주인 입장에선 소유권 이전 조건부 전세 대출 금지와 주택담보대출 때 실거주 의무 등으로 갭 투자(전세 낀 매매)가 힘들어져 전세 매물은 더 줄어들 가능성이 커졌다.
전문가들은 임대차 시장에서 월세 비중이 늘어날 것으로 보고 있다. 이창무 한양대 도시공학과 교수는 “전세가 주거 사다리 역할을 한 것은 사실이지만 대출에 너무 의존해 변질된 측면도 있다”며 “월세가 어느 정도 늘어날 필요가 있다”고 말했다.
서민층에게 매달 적지 않게 들어가는 월세는 큰 부담이다. 6일 기준 서울 아파트 중위 월세(한국부동산원 기준)는 119만원으로 조사됐다. 월세 거주자가 증가하는 만큼 이들에 대한 지원을 늘려야 한다는 지적이 나온다. 박진백 국토연구원 부연구위원은 “기존 제도는 전세 세입자를 지원하는 데 맞춰져 있다”며 “월세 세액공제의 소득 기준을 높이고 청년·신혼부부를 위한 월세 바우처를 제공하는 등의 정책이 필요하다”고 말했다.",전세사기
OSEN,"이수지, 싸이에 개인 전화로 흠뻑쇼 섭외 ""육아 중이라 콜백""('핸썸보이...",네이버뉴스,https://m.entertain.naver.com/article/109/0005371100,"[OSEN=오세진 기자] ‘핸썸가이즈’ 개그우먼 이수지가 다양한 캐릭터를 소화해 모두를 감탄하게 만들었다.
14일 방영한 tvN 예능 ‘핸썸가이즈’에서는 개그우먼 이수지가 게스트로 등장했다. 개그콘서트 '린쟈오밍' 캐릭터로 이름을 알린 후 꾸준한 활동과 다양한 패러디를 통해 항상 화제가 되어 온 이수지는 밝은 에너지로 오프닝을 단박에 끌어올렸다. 무려 37도가 넘는 폭염에도, 녹아내렸던 멤버들은 금세 기력을 찾았다.
이수지는 “차태현을 보고 진행을 못하겠다. 저에게는 첫사랑이다. 인생 영화로 ‘엽기적인 그녀’가 있는데, 그때 차태현이 제 인생 오빠다”라면서 차태현을 향한 팬심을 전했다. 이어 이수지는 “I believe”를 부르기 시작했다. 차태현을 바라보며 설레는 마음을 전하는 것이었다.
이들은 웃음을 뒤로 하고 첫 번째 점메추 가게를 찾아갔다. 이이경은 “원래 있던 신흥시장에다가 컬래버를 해서 만든 거리라고 한다. 여기가 힙하다고 난리라고 한다”라며 소개했다. 그곳에서 수비드 목살 스테이크, 항정 스케이크, 꿀대구 등을 시킨 멤버들은 기대에 찼다. 라구 파스타가 나오자 이수지는 군침을 삼켰다.
이수지는 “저 꿀대구 팀으로 바꿔도 되냐. 중식 팀 안 하고 이곳으로”라며 간절함을 보였다. 신승훈은 “결제만 하면 상관없다”라고 말했고, 김동현은 “다 투자하시는 거냐”라며 물었다. 이수지는 “잠깐만, 잠깐만, 나한테 투자하라고 하던 그 사람도 이런 식으로 투자를 유도했어. 두 번 다시 당하지 않겠어”라며 4억 전세 사기를 당했던 때를 떠올리며 정색했다.
두 번째 점메추 가게인 미국식 중화요리에서는 칠리새우를 건 콜백 게임이 시작되었다. 이이경, 김동현, 오상욱은 각자 친한 사람에게 콜백을 가장 먼저 받아내야 했다.
이이경의 누나가 가장 먼저 전화를 걸자 이수지가 받았다. 이수지는 “동생 분이 저랑 함께 있는데, 3천만 원 바로 입금하면 전입신고 가능한데 입금 바로 안 하시면 전입신고 안 돼요”라면서 보이스 피싱을 흉내냈다. 모두가 이이경 누나가 속을까 봐 숨을 죽일 때였다.
이이경의 누나는 “안 해도 돼요. 자기 인생인데 자기가 알아서 하지 않을까요?”라며 쿨하게 대답했다. 이수지는 “아, 네. 죄송해요, 저 개그우먼 이수지예요”라며 사과했고, 이이경의 누나는 “어머, 저 정말 팬이에요”라고 대번에 목소리가 바뀌어 웃음을 안겼다.
한편 이수지는 싸이 흠뻑쇼 오프닝에 대한 이야기를 꺼냈다. 흠뻑쇼 오프닝 게스트는 대부분 화제가 되는 그해 연예인이 출연하기 마련이었다.
이수지는 싸이와 똑같은 분장을 하고 등장해 화제를 모았다. 이이경은 “싸이 흠뻑쇼 오프닝 누구랑 하느냐가 제일 화제인데 이수지가 등장했다”라면서 놀라움을 표했다. 이수지는 “싸이가 개인 번호로 먼저 연락 왔었다. 그런데 육아 중이어서 처음 전화를 못 받았다. 싸이랑 전화할 때 ‘아들이냐’라고 물어서 ‘아들이다’라고 했더니 자길 닮았겠구나 했다”라고 말해 웃음을 안겼다./osen_jin0310@osen.co.kr
[사진 출처] tvN 예능 ‘핸썸가이즈’",,,,전세사기
