press,title,naver_news_text,naver_news_url,body
뉴시스,"'760억전세사기' 수원 일가족 주범, 징역 15년 확정",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013504860?sid=102,
뉴시스,"대법, '수원 일가족전세사기' 주범 징역 15년 확정",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013504860?sid=102,
TV조선,‘760억 수원전세사기일가족’ 주범 父 징역 15년 확정,네이버뉴스,https://n.news.naver.com/mnews/article/448/0000559465?sid=102,
조선비즈,수원 일가족전세사기주범 징역 15년 확정…법정최고형,네이버뉴스,https://n.news.naver.com/mnews/article/366/0001110846?sid=102,
경기일보,수원전세사기주범에 법정최고형 확정…징역 15년,네이버뉴스,https://n.news.naver.com/mnews/article/666/0000084152?sid=102,
동아일보,"[단독]임대사기피해 양치승, 국감 참고인으로 나선다",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003663686?sid=100,
동아일보,"건물 임대사기로 '15억 손해' 양치승, 국정감사 나간다",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003663686?sid=100,
한국경제,"‘임대 사기 15억 손해’ 양치승, 국정감사 나간다…“전세사기피해 사...",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005189971?sid=100,
매일경제,"‘임대사기’ 피해 양치승, 내달 국감서 증언한다",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005564800?sid=102,
헤럴드경제,"양치승, 국정감사 참고인으로 출석해전세사기피해 주장",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002534888?sid=100,
한국경제,'760억대 수원 일가족전세사기' 주범 징역 15년 확정,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005189962?sid=102,
한국경제,'760억대 갭투자' 수원전세사기…부모·아들까지 실형,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005189962?sid=102,
이데일리,"760억 피해 '수원 일가족전세 사기' 주범, 징역 15년 확정",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006124740?sid=102,
머니투데이,"[속보]760억원대 ‘수원 일가족전세사기’ 주범, 대법서 법정 최고형인...",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005255738?sid=102,
경향신문,760억대 '수원 일가족전세사기' 주범 징역 15년 확정…모자도 징역형,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003398828?sid=101,
더팩트,"당정 ""보이스피싱 범정부 대응…경찰 인력 증원·사기죄 법정형 상향""",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000429617?sid=100,
더팩트,"당정, 보이스피싱 무과실 배상 책임제 논의…사기죄 형량 상향",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000429617?sid=100,
이투데이,"당정 ""금융사 보이스피싱 무과실 배상책임 논의...사기죄 법정형도 상...",,,
한국일보,"[속보]당정 ""보이스피싱·전세사기등 '범죄자 재산 몰수' 추진""",네이버뉴스,https://n.news.naver.com/mnews/article/469/0000889165?sid=100,
머니투데이,"보이스피싱 칼 빼든 당정 ""사기죄 법정 형량 상향…통합대응단 설치""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005255600?sid=100,
한겨레,"[단독]전세사기‘악성임대인’ 대신 갚아준 보증금, 23%밖에 회수 못해",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002768181?sid=101,
이데일리,[속보]'760억대 갭투자'전세사기수원 일가족 실형 확정,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006124717?sid=102,
천지일보,"권향엽 의원, 소방시설법 개정안 발의…전세사기피해자 보호 나서",,,
미디어오늘,"아파트전세비중, 2019년 71.8%에서 올해 57.0% 급감",네이버뉴스,https://n.news.naver.com/mnews/article/006/0000131979?sid=102,
매경이코노미,1주택자전세대출 2억까지 제한…이재명 정부 첫 공급 대책 나왔다 [김...,네이버뉴스,https://n.news.naver.com/mnews/article/024/0000100169?sid=101,
더팩트,LH전세임대주택 미반환 보증금 4년 새 4배↑…회수율 27%대 불과,네이버뉴스,https://n.news.naver.com/mnews/article/629/0000429839?sid=102,
