press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
파이낸셜뉴스,금융위·금감원 유지…'정부조직법 수정' 금융당국개편철회,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005412535?sid=100,,파이낸셜뉴스,금융위·금감원 유지…'정부조직법 수정' 금융당국 개편 철회,"김민석 국무총리와 정청래 더불어민주당 대표, 강훈식 대통령 비서실장이 25일 서울 여의도 국회에서 열린 고위 당정대 회의를 마친 후 회의실을 나서고 있다. 뉴스1
[파이낸셜뉴스] 더불어민주당과 정부·대통령실은 25일 당초 추진해왔던 금융당국 개편방안을 철회키로 하고 이를 정부조직법 개정안에서 제외했다. 이에 금융위원회와 금융감독원을 현행대로 유지하기로 하고, 금융감독위원회 설치 계획도 철회했다. 금감위 설치를 위해선 후속 입법이 이뤄져야 하는데, 국민의힘이 강하게 반발하고 나서면서 제때 법안 처리가 어렵게 되자 현장의 혼란과 공백 등을 고려해 일단은 속도도절에 나선 것으로 분석된다.
한정애 민주당 정책위의장은 이날 국회에서 긴급 고위 당정대 회의 후 브리핑을 열고 ""당정대는 당초 신속처리안건(패스트트랙)으로 처리하려 했던 금융위 정책·감독 기능 분리 및 금융소비자원 신설 등을 이번 정부조직 개편에 담지 않기로 결정했다""고 밝혔다. 다만 기재부 분리 개편 방안은 계획대로 진행한다.
한 정책위의장은 ""경제 위기 극복에 있어 금융의 역할이 중요한데 금융 관련 정부 조직을 6개월 이상 불안정한 상태로 방치하는 건 위기 극복에 도움이 되지 않는다""고 설명했다. 그러면서 ""금융위를 금감위로 개편하고 금융위가 현재 갖는 국내 금융 관련 내용을 재정경제부로 넘기려 했으나 이를 원위치 시킨다는 것""이라며 ""야당의 문제제기를 일정 부분 반영하는 것""이라고 했다.
앞서 민주당은 기획재정부의 명칭을 2008년 2월 이전과 같이 재정경제부로 바꾸고, 예산 기능은 국무총리실 산하의 기획예산처로 이관하는 것을 골자로 하는 정부조직법 개정안을 추진해왔다. 이 과정에서 금융위의 국내 금융기능(금융정보분석원 포함)을 재경부로 넘기고, 금융감독 기능 수행을 위해 금감위로 개편될 예정이었다.
다만 국민의힘이 정부조직법에 반발하면서 제때 법안 처리가 어려워지자 금융위 정책·감독 기능 분리 및 금융소비자원 신설, 금감위 설치안 등을 철회키로 한 것으로 보인다.
금감위 설치법 등의 법안은 소관 상임위원회가 국민의힘이 위원장인 정무위원회라는 점도 이 같은 결정에 영향을 준 것으로 보인다. 민주당 입장에선 국민의힘이 동의해주지 않으면 패스트트랙을 활용할 수밖에 없다. 다만 패스트트랙을 통해도 법안 통과까지는 최대 330일(상임위 180일·법제사법위원회 90일·본회의 60일)이 소요돼 법안 처리 지연이 불가피한 상황이다.
한편, 이날 본회의에 상정된 정부조직법 개정안에 대해 국민의힘은 필리버스터(무제한 토론을 통한 합법적인 의사진행 방해)에 돌입했다. 국회법에 따르면 재적 의원 5분의 3(179석) 이상이 찬성하면 토론이 종결된다. 이에 범여권 주도로 필리버스터는 24시간 후인 26일 종결되고 이후 표결에 들어갈 것으로 보인다.
#금감원 #금융위 #정부조직법",조직개편
파이낸셜뉴스,"""비 맞으며 시위한 보람""…금융당국조직개편중단에 직원들 안도",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005412535?sid=100,,파이낸셜뉴스,금융위·금감원 유지…'정부조직법 수정' 금융당국 개편 철회,"김민석 국무총리와 정청래 더불어민주당 대표, 강훈식 대통령 비서실장이 25일 서울 여의도 국회에서 열린 고위 당정대 회의를 마친 후 회의실을 나서고 있다. 뉴스1
[파이낸셜뉴스] 더불어민주당과 정부·대통령실은 25일 당초 추진해왔던 금융당국 개편방안을 철회키로 하고 이를 정부조직법 개정안에서 제외했다. 이에 금융위원회와 금융감독원을 현행대로 유지하기로 하고, 금융감독위원회 설치 계획도 철회했다. 금감위 설치를 위해선 후속 입법이 이뤄져야 하는데, 국민의힘이 강하게 반발하고 나서면서 제때 법안 처리가 어렵게 되자 현장의 혼란과 공백 등을 고려해 일단은 속도도절에 나선 것으로 분석된다.
한정애 민주당 정책위의장은 이날 국회에서 긴급 고위 당정대 회의 후 브리핑을 열고 ""당정대는 당초 신속처리안건(패스트트랙)으로 처리하려 했던 금융위 정책·감독 기능 분리 및 금융소비자원 신설 등을 이번 정부조직 개편에 담지 않기로 결정했다""고 밝혔다. 다만 기재부 분리 개편 방안은 계획대로 진행한다.
한 정책위의장은 ""경제 위기 극복에 있어 금융의 역할이 중요한데 금융 관련 정부 조직을 6개월 이상 불안정한 상태로 방치하는 건 위기 극복에 도움이 되지 않는다""고 설명했다. 그러면서 ""금융위를 금감위로 개편하고 금융위가 현재 갖는 국내 금융 관련 내용을 재정경제부로 넘기려 했으나 이를 원위치 시킨다는 것""이라며 ""야당의 문제제기를 일정 부분 반영하는 것""이라고 했다.
앞서 민주당은 기획재정부의 명칭을 2008년 2월 이전과 같이 재정경제부로 바꾸고, 예산 기능은 국무총리실 산하의 기획예산처로 이관하는 것을 골자로 하는 정부조직법 개정안을 추진해왔다. 이 과정에서 금융위의 국내 금융기능(금융정보분석원 포함)을 재경부로 넘기고, 금융감독 기능 수행을 위해 금감위로 개편될 예정이었다.
다만 국민의힘이 정부조직법에 반발하면서 제때 법안 처리가 어려워지자 금융위 정책·감독 기능 분리 및 금융소비자원 신설, 금감위 설치안 등을 철회키로 한 것으로 보인다.
금감위 설치법 등의 법안은 소관 상임위원회가 국민의힘이 위원장인 정무위원회라는 점도 이 같은 결정에 영향을 준 것으로 보인다. 민주당 입장에선 국민의힘이 동의해주지 않으면 패스트트랙을 활용할 수밖에 없다. 다만 패스트트랙을 통해도 법안 통과까지는 최대 330일(상임위 180일·법제사법위원회 90일·본회의 60일)이 소요돼 법안 처리 지연이 불가피한 상황이다.
한편, 이날 본회의에 상정된 정부조직법 개정안에 대해 국민의힘은 필리버스터(무제한 토론을 통한 합법적인 의사진행 방해)에 돌입했다. 국회법에 따르면 재적 의원 5분의 3(179석) 이상이 찬성하면 토론이 종결된다. 이에 범여권 주도로 필리버스터는 24시간 후인 26일 종결되고 이후 표결에 들어갈 것으로 보인다.
#금감원 #금융위 #정부조직법",조직개편
아시아경제,금융위·금감원개편결국 '없던 일로',네이버뉴스,https://n.news.naver.com/mnews/article/277/0005657692?sid=101,,아시아경제,"""비 맞으며 시위한 보람""…금융당국 조직개편 중단에 직원들 안도","당정대 25일 긴급 회의 거쳐 금융당국 조직개편안 중단 결정
지난 18일 서울 영등포구 여의도 국회의사당역 앞에서 열린 금융감독원 금융소비자보호원 분리 및 금융감독원 공공기관 지정 반대 집회에서 금감원 노동조합원들이 구호를 외치고 있다. 연합뉴스
더불어민주당과 대통령실이 금융감독당국 조직개편안을 전면 중단하기로 하면서 향후 거취로 불안을 겪었던 금융위원회와 금융감독원 직원들이 안도하고 있다.
한정애 민주당 정책위의장은 25일 국회에서 긴급 고위 당정대(여당 정부 대통령실) 회의 후 브리핑을 열고 ""당정대는 당초 신속처리안건(패스트트랙)으로 처리하려 했던 금융위 정책·감독 기능 분리 및 금융소비자원 신설 등을 이번 정부조직개편에 담지 않기로 결정했다""고 밝혔다.
당초 민주당은 이날 본회의에서 기획재정부를 기획예산처와 재정경제부로 분리하고, 금융위를 금융감독위원회(금감위)로 개편하는 방안 등을 포함한 정부조직법 개정안을 처리하고, 금감위 설치법 등 연계된 법안은 패스트트랙으로 지정할 계획이었다. 그러나 국민의힘이 정부조직법에 반대하며 필리버스터를 예고하자 일단 금융 감독 체계 개편과 관련한 내용은 일단 철회하겠다고 했다.
한 의장은 ""금융위를 금감위로 개편하고 금융위가 현재 갖는 국내 금융 관련 내용을 재정경제부로 넘기려 했으나 이를 원위치시킨다는 것""이라며 ""야당의 문제제기를 일정 부분 반영하는 것""이라고 설명했다. 당정대는 금감원에서 금융소비자보호원(금소원)을 분리하는 안건 역시 중단했다.
이번 결정으로 금융당국 조직개편 추진으로 향후 거취 불안을 겪던 직원들 사이에서 안도감이 큰 것으로 파악된다.
이번 조직개편으로 당초 금융위는 절반 이상의 직원들이 세종시로 거처를 옮겨야 했고, 금감원 직원들도 조직분리로 인한 거취 우려 등이 컸었다. 특히 금감원 직원들은 금소원 분리로 오히려 금융소비자들이 피해를 입을 것이라며 대규모 장외 시위를 이어가는 등 격하게 이를 반대해 왔다. 전일인 24일에도 금감원 직원들 1200여명은 장대비가 내리는 가운데서도 늦은 저녁 시간까지 국회 앞에 모여 조직개편 반대 시위를 진행했다.
금감원의 한 관계자는 ""당정의 조직개편 발표 이후 직원들이 많이 고생했다""며 ""내부에서 이번 결정을 크게 반기는 분위기""라고 전했다. 금융위 역시 젊은 직원들의 동요가 컸었는데 이번 결정을 반기는 분위기가 큰 것으로 전해진다.
금감원에 대한 공공기관 재지정 논의 역시 중단할 것으로 예상된다. 한 의장은 ""금감원 공공기관 재지정 논의도 원점으로 돌아갔다""며 ""추후 논의는 당내 협의 과정 거쳐서 진행할 예정""이라고 말했다.",조직개편
한국경제,야당 견제 통했나…금융위·금감원조직개편무산,네이버뉴스,https://n.news.naver.com/mnews/article/015/0005190272?sid=100,,한국경제,금융위·금감원 개편 결국 '없던 일로',"당정대, 현행 체제 유지키로
더불어민주당과 정부, 대통령실이 당초 추진하려던 금융정책·감독 조직 개편을 25일 철회했다. 분리·개편 예정이던 금융위원회와 금융감독원은 현재 기능을 유지한다.
한정애 민주당 정책위원회 의장은 이날 국회에서 긴급 고위 당정대 회의 후 브리핑을 열고 “당정대는 신속처리안건(패스트트랙)으로 처리하려 한 금융위 정책·감독 기능 분리 및 금융소비자원 신설 등을 이번 정부조직 개편에 담지 않기로 결정했다”고 밝혔다. 한 의장은 “금융 관련 정부 조직을 6개월 이상 불안정한 상태로 방치하는 것은 경제 위기 극복에 전혀 도움이 안 된다는 점에 공감대를 형성했다”고 했다.
민주당은 이날 본회의에서 기획재정부 분리, 금융위 개편 등을 담은 정부조직법 개정안을 통과시키는 동시에 금융감독위원회 설치법 등 연계 법안을 패스트트랙으로 지정할 방침이었다. 금감위 설치법 등은 소관 상임위원회가 국민의힘이 위원장인 정무위원회여서 상임위를 통한 처리가 사실상 불가능한 만큼 여당 주도로 패스트트랙에 태워 수개월 뒤 처리하려는 계획이었다.
하지만 국민의힘이 정부조직법 필리버스터를 예고하고 이해 당사자들의 거센 반발이 이어지자 현행 체제를 유지하는 쪽으로 선회했다는 분석이 나온다.",조직개편
대한금융신문,"금융위·금감원,조직분리개편철회…'현행 유지'",,,,,,,조직개편
뉴시스,"정청래 ""野 반대로 금융위개편못해…정부조직법 수정안 제출""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013505304?sid=100,,뉴시스,"정청래 ""野 반대로 금융위 개편 못해…정부조직법 수정안 제출""","당정대 금융위·금감원 현행 유지 결정…여야 막판 협의
""필리버스터로 정부조직법 반대한 야당 있었나…개탄스러워""
[부산=뉴시스] 하경민 기자 = 정청래 더불어민주당 대표가 23일 부산 동구 부산시당에서 열린 부산·울산·경남 예산정책협의회에 참석, 통화를 하고 있다. 2025.09.23. yulnetphoto@newsis.com
[서울=뉴시스]정금민 한재혁 기자 = 정청래 더불어민주당 대표는 25일 ""야당의 반대로 불가피하게 정부조직법 수정안을 낼 수밖에 없는 통탄스러운 상황이 왔다""며 ""대단히 개탄스럽고 대단히 유감스럽다""고 했다.
정 대표는 이날 오후 국회 본회의를 앞두고 연 의원총회에서 ""금융위원회 개편은 야당의 반대로 할 수 없는 상황이 됐으므로 기존대로 갈 수밖에 없는 그런 상황""이라며 이같이 말했다.
정 대표는 ""새 정부 출범 후 정부조직법을 필리버스터까지 걸면서 반대하는 야당이 지금까지 있었는가""라며 ""법과 민주주의 국민의 뜻에 따라 출범한 이재명 정부의 정부조직법을 발목 잡고 있는 세력""이라고 했다.
이어 ""헌법 49조는 국회의 의사 결정은 다수결로 하라고 명령하고 있다""며 ""그런데 이렇게 정부조직법을 발목잡는 것은 '대선불복이고 총선불복'이라고 주장했을 때 과연 국민의힘은 뭐라고 답변하겠냐""고 반문했다.
정 대표는 ""민주당은 소속된 국회의원이 단 한 명도 예외없이 흔들림 없이 이재명 정부의 정부조직법을 뒷받침하고 이재명 정부의 성공을 위해 한마음 한뜻으로 찰떡같이 단결하고 차돌처럼 단단하게 당정대가 한 몸 한 뜻으로 나아가야 한다""며 ""내란의 완전한 청산과 이재명 정부의 성공이라는 시대적 과업, 시대적 사명을 완수하기 위해서 더욱 일치단결해 이 고비를 잘 넘기자""고 했다.
앞서 당정대(더불어민주당·정부·대통령실)는 이날 오전 국회에서 비공개 회의를 열고 금융위원회 정책·감독 기능 분리와 금융소비자보호원 신설 등을 이번 이재명 정부 조직개편안에 담지 않기로 결정했다. 정무위 소관 법안 중 금융감독위원회 설치 관련 9개 법안은 패스트트랙 지정 방침도 철회하기로 했다.
국민의힘이 ""충분한 협의 없이 추진됐다""고 반발하며 필리버스터를 예고하자, 금융 감독 체계 개편안을 제외한 정부조직법 수정안을 낸 뒤 협조를 얻겠다는 복안이다.
여야 원내대표는 우원식 국회의장 주재로 막판 논의를 진행한 뒤 국회 본회의 안건을 최종 결정할 것으로 보인다．",조직개편
뉴시스,"정청래 ""야당 반대로 금융위개편철회…정부조직법 수정안 제출""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013505304?sid=100,,뉴시스,"정청래 ""野 반대로 금융위 개편 못해…정부조직법 수정안 제출""","당정대 금융위·금감원 현행 유지 결정…여야 막판 협의
""필리버스터로 정부조직법 반대한 야당 있었나…개탄스러워""
[부산=뉴시스] 하경민 기자 = 정청래 더불어민주당 대표가 23일 부산 동구 부산시당에서 열린 부산·울산·경남 예산정책협의회에 참석, 통화를 하고 있다. 2025.09.23. yulnetphoto@newsis.com
[서울=뉴시스]정금민 한재혁 기자 = 정청래 더불어민주당 대표는 25일 ""야당의 반대로 불가피하게 정부조직법 수정안을 낼 수밖에 없는 통탄스러운 상황이 왔다""며 ""대단히 개탄스럽고 대단히 유감스럽다""고 했다.
정 대표는 이날 오후 국회 본회의를 앞두고 연 의원총회에서 ""금융위원회 개편은 야당의 반대로 할 수 없는 상황이 됐으므로 기존대로 갈 수밖에 없는 그런 상황""이라며 이같이 말했다.
정 대표는 ""새 정부 출범 후 정부조직법을 필리버스터까지 걸면서 반대하는 야당이 지금까지 있었는가""라며 ""법과 민주주의 국민의 뜻에 따라 출범한 이재명 정부의 정부조직법을 발목 잡고 있는 세력""이라고 했다.
이어 ""헌법 49조는 국회의 의사 결정은 다수결로 하라고 명령하고 있다""며 ""그런데 이렇게 정부조직법을 발목잡는 것은 '대선불복이고 총선불복'이라고 주장했을 때 과연 국민의힘은 뭐라고 답변하겠냐""고 반문했다.
정 대표는 ""민주당은 소속된 국회의원이 단 한 명도 예외없이 흔들림 없이 이재명 정부의 정부조직법을 뒷받침하고 이재명 정부의 성공을 위해 한마음 한뜻으로 찰떡같이 단결하고 차돌처럼 단단하게 당정대가 한 몸 한 뜻으로 나아가야 한다""며 ""내란의 완전한 청산과 이재명 정부의 성공이라는 시대적 과업, 시대적 사명을 완수하기 위해서 더욱 일치단결해 이 고비를 잘 넘기자""고 했다.
앞서 당정대(더불어민주당·정부·대통령실)는 이날 오전 국회에서 비공개 회의를 열고 금융위원회 정책·감독 기능 분리와 금융소비자보호원 신설 등을 이번 이재명 정부 조직개편안에 담지 않기로 결정했다. 정무위 소관 법안 중 금융감독위원회 설치 관련 9개 법안은 패스트트랙 지정 방침도 철회하기로 했다.
국민의힘이 ""충분한 협의 없이 추진됐다""고 반발하며 필리버스터를 예고하자, 금융 감독 체계 개편안을 제외한 정부조직법 수정안을 낸 뒤 협조를 얻겠다는 복안이다.
여야 원내대표는 우원식 국회의장 주재로 막판 논의를 진행한 뒤 국회 본회의 안건을 최종 결정할 것으로 보인다．",조직개편
뉴스핌,"조직개편무산 금감원 '안도', 금융소비자보호 숙제 남겨",,,,,,,조직개편
뉴스핌,"금융당국, 벼랑 끝 기사회생…""내부조직개편작업 중단""(종합)",,,,,,,조직개편
머니투데이,"김병기 ""이재명 정부 일할 수 있게…국힘, 정부조직 개편협조하라""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005255677?sid=100,,머니투데이,"김병기 ""이재명 정부 일할 수 있게…국힘, 정부조직 개편 협조하라""","[the300]
[서울=뉴시스] 조성봉 기자 = 김병기 더불어민주당 원내대표가 25일 오전 서울 여의도 국회에서 열린 정책조정회의에서 발언을 하고 있다. 2025.09.25. suncho21@newsis.com /사진=조성봉
김병기 더불어민주당 원내대표가 25일 본회의 개최를 앞두고 ""정부 조직 개편은 새 정부가 국민과의 약속과 대선 공약을 실현하기 위해 꼭 필요한 조치""라며 정부조직법 개정안 등에 대한 국민의힘의 협조를 거듭 촉구했다.
김 원내대표는 이날 오전 서울 여의도 국회 본관에서 열린 당 정책조정회의에서 ""이재명 정부가 제대로 일할 수 있도록 국민의힘의 협조를 다시 한번 촉구한다""며 이같이 말했다.
민주당은 이날 오후 열릴 국회 본회의에서 검찰청 폐지와 기획재정부 분할 등의 내용을 담은 정부조직법 개정안, 방송미디어통신위원회 서치법 등을 상정해 처리할 계획이다. 이에 국민의힘은 필리버스터(무제한 토론을 통한 합법적 의사진행방해)에 나설 것으로 보인다.
김 원내대표는 ""오늘 본회의에서 정부조직법 개정안을 처리할 예정인데 국민의힘은 필리버스터를 예고하고 있다""며 ""정부 조직 개편이 신속히 이뤄질 수 있도록 국민의힘의 대승적 협조를 촉구한다""고 했다.
이어 ""민생에 여야가 따로 없다는 말은 단순한 정치 구호가 아니다""라며 ""(국민의힘이) 민생을 함께 살리겠다는 국민과 한 약속을 지키고 이재명 정부가 일할 기회를 만들어주길 바란다""고 말했다.
(서울=뉴스1) 장수영 기자 = 19일 서울 서초구 서울중앙지방법원의 모습.   윤석열 전 대통령은 이날 중앙지법에서 열린 ‘내란 우두머리 혐의’ 재판에 10회 연속 불출석했다. 2025.9.19/뉴스1  Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포,  AI학습 이용 금지. /사진=(서울=뉴스1) 장수영 기자
김 원내대표는 윤석열 전 대통령이 보석 신청을 한 데 대해선 ""윤석열은 갱생 여지가 없다. 사법부 자성과 결단을 강력히 촉구한다""고 했다.
김 원내대표는 ""윤석열은 사형이나 무기징역에 해당하는 범죄는 보석이 불가하다는 원칙을 누구보다 잘 아는 사람""이라며 ""그 사실을 누구보다 잘 아는 윤석열이 어떤 의도로 보석을 신청했는지 많은 국민들은 의구심을 품지 않을 수 없다""고 했다.
이어 ""도대체 누가 윤석열에게 희망 고문을 하고 있나. 극우 성향의 '윤 어게인' 세력이 주도하는 장외집회인가. 아니면 국민 불신 속에서도 유유자적 (윤 전 대통령 내란사건 1심) 재판을 이어가는 지귀연 재판부인가""라며 ""윤석열은 이 모든 상황을 탈옥 기회로 삼는 내란 수괴""라고 말했다.
그러면서 ""윤석열의 헛된 망상은 지귀연의 불법·편법 판결에서 시작됐다""며 ""사법부의 자성, 결자해지를 다시 한번 강력히 촉구한다""고 덧붙였다.
김 원내대표는 이 대통령의 유엔(UN) 총회 기조연설을 두고는 ""민주공화국 대한민국이 국제사회에 완벽히 복귀했다""며 ""(이 대통령은) 맨몸으로 민주주의를 지켜낸 국민의 용기와 신념을 세계에 과시했고 한반도 평화구상을 제시하며 국제사회의 지지와 공감을 얻었다""고 했다.
이어 ""북한이 여전히 강성 발언을 이어가고 있지만 (이번 연설이) 북한과 미국 간 대화 재개는 물론 얼어붙은 남북관계를 풀어가는 계기가 되기를 바란다""며 ""한미·한중·미중 정상이 만나는 10월 말 경주 아시아태평양경제협력체(APEC) 회의에서 구체적 성과가 이어지기를 기대한다""고 전했다.",조직개편
