press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
조선일보,與 “연말에주택 공급안 확정” 野 “부동산 시장에 계엄 선포”,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003934639?sid=100,,조선일보,與 “연말에 주택 공급안 확정” 野 “부동산 시장에 계엄 선포”,"정부가 10·15 부동산 대책을 발표한 15일 오후 서울 남산에서 성동구와 광진구 일대 아파트 단지가 보이고 있다./뉴시스
정부가 15일 고강도 부동산 규제 대책을 발표한 가운데, 여야 정치권에서 엇갈린 반응이 나왔다. 더불어민주당은 “연말에 주택 공급 방안을 확정하겠다”고 했고, 국민의힘은 “이번 대책은 정부의 아마추어적인 사고 방식을 드러낸 것”이라고 했다.
민주당 정책위의장인 한정애 의원은 이날 페이스북에서 “관계부처 합동 주택시장 안정화 대책이 발표되었다”며 “서울시 전역과 경기도 12곳을 10월 16일자로 조정대상지역 및 투기과열지구로 지정하고 동시에 토지거래허가구역으로 지정한다”고 했다. 한 의원은 “기 발표된 주택 공급 확대 방안은 연말까지 세부 추진 계획을 확정토록 하겠다”며 “보다 저렴한 양질의 공공주택이 지속적으로 공급 될 것”이라고 했다. 민주당 지도부는 이날 정부 부동산 대책에 대한 공식 발언은 하지 않았다.
민주당 장철민 의원은 이날 페이스북에서 “오늘 발표된 부동산 대책은 이재명 정부의 고뇌와 진심이 느껴진다”면서도 “하지만 좋은 곳, 좋은 집에 살고 싶은 마음을 계속 억누르기만 해서는 장기적으로 시장을 안정시킬 수 없다”고 했다. 장 의원은 “인프라가 좋은 지역의 고가 주택 가격을 억지로 붙잡고 있으면, 결과적으로 부유층이 더 싼 가격에 좋은 집을 사도록 하는 정책이 될 수도 있다”고 했다. 그는 “서울보다 더 나은 도시가 부동산 대책”이라며 “결국 서울보다 더 욕망할 수 있는 도시를 만드는 것만이 진짜 해법”이라고 했다.
/그래픽=조선디자인랩 이연주
반면 국민의힘 장동혁 대표는 이날 “청년·서민 죽이기 대책이자 ‘주택완박(완전 박탈)’”이라고 했다. 장 대표는 국회 기자간담회에서 “좌파 정권이 들어서면 집값이 들썩이고, 좌파 정권이 대책을 발표할 때마다 부동산 가격이 오를 것이란 확신만 심어주고 있다”고 했다.
장 대표는 “부동산 시장을 안정시킨 것이 아니라 시장을 정지시켰다”며 “전세 대출에도 총부채원리금상환비율(DSR)이 반영되면서 전세 난민이 대거 양산될 것”이라고 했다. 장 대표는 “이번 대책은 사야 할 곳을 미리 알려주는 좌표 찍기 대책”이라며 “부동산 가격이 오르지 않을 수가 없다. 공급은 없는데 수요를 때려잡는 묻지마 규제로는 집값을 절대 잡을 수 없다”고 했다.
국민의힘 수석대변인인 박성훈 의원은 이날 “또다시 규제 일변도 정책과 금융 원칙을 무시한 대출 옥죄기 수요 억제 대책은 이재명 정부의 아마추어적인 사고 방식을 드러내기에 충분하다”며 “이번 대책으로 청년·신혼부부 등 서민 실수요자의 내 집 마련의 길은 막혔고, 투기 수요도 제대로 잡지 못해 결국 ‘주택시장 양극화’만 심화시킬 것”이라고 했다. 박 의원은 “주택을 투기 수단으로 여기고 집 가진 걸 적폐로 몰아가는, 전형적인 사회주의적 발상”이라고 했다.
정부가 부동산시장 안정 대책을 발표한 15일 서울 시내 시중 은행에 붙어 있는 주택담보대출 상품 현수막/연합뉴스
국민의힘 김재섭 의원은 이날 페이스북에서 “이재명 대통령이 오늘 서울 부동산 시장에 계엄을 선포했다”며 “오늘의 망국적 부동산 규제 발표로 대한민국의 부익부 빈익빈은 더욱 빨라질 것이고, 청년들의 주거 사다리는 박살날 것”이라고 했다. 김 의원은 “어제와 똑같이 살면서 다른 내일을 기대하는 것은 정신병 초기라는 말이 있다”며 “문재인 정부를 그대로 따라하면서 부동산 시장을 안정화시키겠다는건 무슨 생각인가. 이재명 대통령은 욕 잘하는 문재인이다”고 했다.
개혁신당 이준석 대표는 이날 페이스북에 “부동산 정책으로 이재명 정부가 문재인 정부 2.0을 선언했다”고 했다. 이 대표는 “주차 공간이 세대당 1.1대 이하로 설계된 지하 주차장 없는 구축 아파트, 혹은 아파트가 아닌 형태의 공간에 사는 젊은 세대가 신축 아파트를 원한다고 해서 그것이 투기심이냐”고 했다. 이 대표는 “아침마다 차를 밀고, 1년에 두세 번은 내 차에 잔 스크래치가 나도 연락 한마디 없는 상황, 그리고 브레이크를 채운 채 평행 주차한 차 때문에 회사에 지각해본 경험이 싫어서 신축 아파트로 가고 싶어 하는 마음은 지극히 합리적인 욕구”라고 했다.
야당의 거센 비판에 민주당 원내대변인인 김현정 의원은 “투기 세력을 비호하는 궤변에 ‘계엄’ 운운이라니, 자성의 모습이란 전혀 없는 것이냐”고 반박했다. 김 의원은 “김재섭 의원의 ‘계엄 선포’라는 비난에 이어, 장동혁 대표는 ‘청년·서민 주택 완전 박탈’이라는 자극적인 딱지를 붙였다”며 “윤석열의 ‘진짜 계엄’에는 침묵하더니 민생 정책에 ‘계엄’을 운운하는 행태야말로 ‘도둑이 매를 드는’ 적반하장의 전형”이라고 했다. 김 의원은 “국민의힘은 ‘시장 친화’를 말하지만, 그들이 말하는 시장은 투기 세력과 부자들만의 리그일 뿐”이라며 “지금 필요한 것은 투기 거품을 빼는 것이지, 더 많은 빚으로 ‘폭탄 돌리기’를 하는 것이 아니다”고 했다.",주택공급
한국경제,"LH, 남양주진접2 A-7블록, 공공주택405가구공급",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005197064?sid=101,,한국경제,"LH, 남양주진접2 A-7블록, 공공주택 405가구 공급","LH(한국토지주택공사)가 이달 경기 남양주진접2지구 A-7블록 공공주택(투시도)의 청약 접수를 진행한다. 전체 710가구 중 이번에 공급되는 물량은 공공분양주택 405가구(전용면적 55·59㎡)다. 2022년 12월 사전 청약을 시행한 단지다.
분양가는 3.3㎡당 약 1600만원이다. 전용면적별 평균 금액은 55㎡ 3억8500만원, 59㎡는 4억1300만원이다. 오는 12월 계약을 맺고 입주는 2028년 9월 예정이다.
약 500m 거리에 지하철 4호선 풍양역(가칭)과 강동하남남양주선(9호선 연장선) 등이 예정돼 있다. 인근 남양주왕숙지구에는 수도권광역급행철도(GTX)-B노선(왕숙역) 건립이 추진 중이다.",주택공급
매일신문,"이준석 ""이재명 정부, 文정부 2.0 선언…민주당,주택 공급부족 인정 않...",네이버뉴스,https://n.news.naver.com/mnews/article/088/0000975328?sid=100,,매일신문,"이준석 ""이재명 정부, 文정부 2.0 선언…민주당, 주택 공급 부족 인정 않아, 내놓는 정책마다 시장 왜곡""","10월 9일 서울 남산에서 바라본 서초·용산 일대 아파트 모습. 연합뉴스
이준석 개혁신당 대표 페이스북
이준석 개혁신당 대표는 15일 정부가 발표한 주택시장 안정화 대책에 대해 ""문재인 정부 2.0을 선언했다""고 비판하면서 문재인 정부와 이재명 정부를 묶어 ""내놓는 부동산 정책마다 시장을 왜곡시켰다""고 평가했다.
그는 더불어민주당이 주택 공급 부족을 인정하지 않는다며 세금과 대출규제가 핵심인 부동산 대책에 강한 의구심을 나타냈다.
국토교통부, 기획재정부, 금융위원회 등이 이날 정부서울청사 부동산관계장관회의를 개최해 서울 전역과 경기도 12개 지역을 조정대상지역과 투기과열지구로 추가 지정하는 것은 물론, 고가주택에 대한 주택담보대출(주담대) 한도를 대폭 제한하는 대책을 발표하자 이준석 대표는 오전 11시 43분쯤 페이스북에 ""부동산 정책으로 이재명 정부가 문재인 정부 2.0을 선언했다. 세금과 규제 일변도의 부동산 정책이 다시 시작되고 있다""고 표현했다.
그는 ""집을 갈아타는 것이 문화이던 시절이 있었다. 취득세와 등록세, 그리고 거래비용을 감수하고도 갈아타면, 그다음에 더 큰 상승을 기대할 수 있었다. 평수를 늘려가던 그 행복은 한 가족의 저축 동기이자 나의 사회적 성취의 지표였다""며 ""물론 이러한 현상의 부정적인 측면은 갭투자와 같은 고(高) 레버리지 투자이다. 이제는 고도성장기가 아니기 때문에, 그런 방식은 바뀌어야 하는 것이 맞다""고 짚었다.
그러면서도 ""하지만 '집은 갈아타는 것'이라는 인식을 바꾸고 싶다면 현실에 맞는 공급을 늘려야 한다""고 강조했다.
이준석 대표는 ""'한 번 사서 평생 살 집'이 신축이고, 자신이 바라는 형태의 주거공간이기를 바라는 것은 자연스러운 변화이다. 주차 공간이 세대당 1.1대 이하로 설계된 지하주차장 없는 구축 아파트, 혹은 아파트가 아닌 형태의 공간에 사는 젊은 세대가 신축 아파트를 원한다고 해서 그것이 투기심일까?""라고 물으며 ""아침마다 차를 밀고, 1년에 두 세 번은 내 차에 잔 스크래치가 나도 연락 한마디 없는 상황, 그리고 브레이크를 채운 채 평행주차한 차 때문에 회사에 지각해본 경험이 싫어서 신축 아파트로 가고 싶어 하는 마음은 지극히 합리적인 욕구""라고 적었다.
이어 ""그런데도 그 공급이 부족하다는 사실을 인정하지 않는 것이 민주당이다. 말만 공급한다고 하지 공염불이다. 민주당의 정책은 세금과 대출규제가 핵심이다. 그래서 내놓는 부동산 정책마다 시장을 왜곡시키고 있다""며 최근 더불어민주당의 사법부 공세 등 행보도 묶어 가리킨듯 ""헌법과 싸우는 민주당, 경제학과 싸우는 민주당, 그리고 사람의 기본적인 욕구와 싸우는 민주당""이라고 지칭, ""정치를 왜 이렇게 하나?""라고 물었다.",주택공급
머니투데이,"장동혁 ""부동산 대책, 청년·서민서주택완전 박탈…민간공급늘려야...",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005263062?sid=100,,머니투데이,"장동혁 ""부동산 대책, 청년·서민서 주택 완전 박탈…민간 공급 늘려야""","[the300]
[서울=뉴시스] 조성봉 기자 = 장동혁 국민의힘 대표가 15일 오전 서울 여의도 국회에서 열린 '정부의 주택시장 안정화 대책' 관련 기자간담회에서 입장 발표를 하고 있다. 2025.09.30. suncho21@newsis.com /사진=조성봉
장동혁 국민의힘 대표가 15일 발표된 정부의 부동산 대책을 비판하며 ""부동산 안정을 가져올 근본 대책은 민간중심 주택 공급 확대""라고 밝혔다.
장 대표는 이날 서울 여의도 국회에서 열린 기자간담회를 통해 ""국민은 빈대 잡겠다고 초가삼간 다 태우는 이런 대책을 원하는 게 아니었다""며 이같이 말했다.
장 대표는 ""좌파 정권만이 대책을 발표할 때마다 부동산 가격은 반드시 오를 것이란 확신만 심어준다""며 ""이재명정부가 출범한지 4개월이다. 이날 부동산 대책은 사실상 '6.27' '8.14' '9.7'에 이은 4번째 부동산 대책""이라고 했다.
이어 ""국민 수요를 이해 못하는 더 센 규제만 반복된다. 서울은 일부가 아니라 전역이 규제로 묶였다""며 ""경기도 12곳은 조정대상 지역, 투기과열지구, 토지거래허가제로 일괄지정됐다. 부동산 안정이 아니라 부동산 시장을 정지시켰다. 한 마디로 '청년·서민 주택 완박(완전박탈)'""이라고 했다.
그러면서 ""주택담보대출 인정 비율을 대폭 줄이고 전세대출 DSR 적용으로 청년, 서민, 신혼부부 등 실수요자의 내 집 마련의 길은 막혔다""며 ""부자들만을 위한 부동산 시장이 생겨날 것이다. 여기에 토허제 실거주 의무까지 부여돼 전세 난민이 대거 양산될 것""이라고 했다.
또 ""풍선 효과도 피하기 어렵다. 규제 없는 도시 지역으로 자금이 몰리고 결국 전국 집값을 올리는 역효과로 되돌아올 것""이라며 ""결국 사야 할 곳을 미리 알려주는 좌표찍기 정책""이라고 했다.
장 대표는 ""부동산 상승 요인은 공급 부족, 수요 증가, 유동성 확대""라며 ""뚜렷한 공급 대책이 없다. 중대재해처벌법 엄격 적용을 밀어붙여 건설사가 주택건설 자체를 포기하고 있다. 현금 살포로 유동성이 크게 확대됐다. 공급이 없는데 수요만 때려잡는 묻지 마 규제 식으로는 집값을 절대 못 잡는다""고 했다.
장 대표는 ""국민의힘이 주거 안정을 지키는 데 앞장서겠다""며 ""재건축, 재개발에 대한 규제를 완화해야 한다. 청년, 서민, 중산층을 위한 금융 세제 지원을 강화해야 한다. 지방의 미분양 주택에 대한 파격적인 지원 대책을 마련해야 한다""고 했다.
[서울=뉴시스] 고승민 기자 = 김도읍 국민의힘 정책위의장이 30일 서울 여의도 국회에서 현안 관련 백브리핑을 하고 있다. 2025.09.30. kkssmm99@newsis.com /사진=고승민
김도읍 정책위의장은 ""'6.27' 규제 대책을 내고 2개월 반 만에 '9.7' 공급 확대책을 냈다. 그리고 다시 규제책을 낸 것""이라며 ""어느 장단에 맞춰 춤을 춰야 할지 도저히 국민은 이해할 수 없을 것""이라고 했다.
이어 ""중대재해처벌법, 노란봉투법, 더 센 상법으로 기업들이 위축돼 있다. 아예 사업할 엄두를 못 내고 있다""며 ""민간이 참여 안 하는데 공급이 되나. 노란봉투법을 철회하고, 중대재해처벌법은 합리적으로 보완해야 한다. 건설사들이 신바람 나게 사업할 수 있도록 마련해주는 게 공급을 위한 급선무""라고 했다.
또 ""좌파 정권은 재개발, 재건축에 부정적이고 소극적이다. 재개발, 재건축 관련 초과이익 환수제 완화, 용적률 향상 등을 통해 사업이 시행돼야 한다""며 ""오세훈 서울시장이 그런 노력을 많이 하고 있다. 이재명정권은 오 시장과 머리를 맞대고 서울에 안정적인 주택 공급을 하기 위해 협조해야 한다""고 덧붙였다.",주택공급
머니투데이,"장동혁, 10·15 부동산 대책에 ""서민 죽이는 '주택완박'""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005263062?sid=100,,머니투데이,"장동혁 ""부동산 대책, 청년·서민서 주택 완전 박탈…민간 공급 늘려야""","[the300]
[서울=뉴시스] 조성봉 기자 = 장동혁 국민의힘 대표가 15일 오전 서울 여의도 국회에서 열린 '정부의 주택시장 안정화 대책' 관련 기자간담회에서 입장 발표를 하고 있다. 2025.09.30. suncho21@newsis.com /사진=조성봉
장동혁 국민의힘 대표가 15일 발표된 정부의 부동산 대책을 비판하며 ""부동산 안정을 가져올 근본 대책은 민간중심 주택 공급 확대""라고 밝혔다.
장 대표는 이날 서울 여의도 국회에서 열린 기자간담회를 통해 ""국민은 빈대 잡겠다고 초가삼간 다 태우는 이런 대책을 원하는 게 아니었다""며 이같이 말했다.
장 대표는 ""좌파 정권만이 대책을 발표할 때마다 부동산 가격은 반드시 오를 것이란 확신만 심어준다""며 ""이재명정부가 출범한지 4개월이다. 이날 부동산 대책은 사실상 '6.27' '8.14' '9.7'에 이은 4번째 부동산 대책""이라고 했다.
이어 ""국민 수요를 이해 못하는 더 센 규제만 반복된다. 서울은 일부가 아니라 전역이 규제로 묶였다""며 ""경기도 12곳은 조정대상 지역, 투기과열지구, 토지거래허가제로 일괄지정됐다. 부동산 안정이 아니라 부동산 시장을 정지시켰다. 한 마디로 '청년·서민 주택 완박(완전박탈)'""이라고 했다.
그러면서 ""주택담보대출 인정 비율을 대폭 줄이고 전세대출 DSR 적용으로 청년, 서민, 신혼부부 등 실수요자의 내 집 마련의 길은 막혔다""며 ""부자들만을 위한 부동산 시장이 생겨날 것이다. 여기에 토허제 실거주 의무까지 부여돼 전세 난민이 대거 양산될 것""이라고 했다.
또 ""풍선 효과도 피하기 어렵다. 규제 없는 도시 지역으로 자금이 몰리고 결국 전국 집값을 올리는 역효과로 되돌아올 것""이라며 ""결국 사야 할 곳을 미리 알려주는 좌표찍기 정책""이라고 했다.
장 대표는 ""부동산 상승 요인은 공급 부족, 수요 증가, 유동성 확대""라며 ""뚜렷한 공급 대책이 없다. 중대재해처벌법 엄격 적용을 밀어붙여 건설사가 주택건설 자체를 포기하고 있다. 현금 살포로 유동성이 크게 확대됐다. 공급이 없는데 수요만 때려잡는 묻지 마 규제 식으로는 집값을 절대 못 잡는다""고 했다.
장 대표는 ""국민의힘이 주거 안정을 지키는 데 앞장서겠다""며 ""재건축, 재개발에 대한 규제를 완화해야 한다. 청년, 서민, 중산층을 위한 금융 세제 지원을 강화해야 한다. 지방의 미분양 주택에 대한 파격적인 지원 대책을 마련해야 한다""고 했다.
[서울=뉴시스] 고승민 기자 = 김도읍 국민의힘 정책위의장이 30일 서울 여의도 국회에서 현안 관련 백브리핑을 하고 있다. 2025.09.30. kkssmm99@newsis.com /사진=고승민
김도읍 정책위의장은 ""'6.27' 규제 대책을 내고 2개월 반 만에 '9.7' 공급 확대책을 냈다. 그리고 다시 규제책을 낸 것""이라며 ""어느 장단에 맞춰 춤을 춰야 할지 도저히 국민은 이해할 수 없을 것""이라고 했다.
이어 ""중대재해처벌법, 노란봉투법, 더 센 상법으로 기업들이 위축돼 있다. 아예 사업할 엄두를 못 내고 있다""며 ""민간이 참여 안 하는데 공급이 되나. 노란봉투법을 철회하고, 중대재해처벌법은 합리적으로 보완해야 한다. 건설사들이 신바람 나게 사업할 수 있도록 마련해주는 게 공급을 위한 급선무""라고 했다.
또 ""좌파 정권은 재개발, 재건축에 부정적이고 소극적이다. 재개발, 재건축 관련 초과이익 환수제 완화, 용적률 향상 등을 통해 사업이 시행돼야 한다""며 ""오세훈 서울시장이 그런 노력을 많이 하고 있다. 이재명정권은 오 시장과 머리를 맞대고 서울에 안정적인 주택 공급을 하기 위해 협조해야 한다""고 덧붙였다.",주택공급
더팩트,"정부 새 부동산 대책…장동혁 ""청년·서민주택완전박탈 대책"" 성토",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000434103?sid=100,,더팩트,"장동혁, 10·15 부동산 대책에 ""서민 죽이는 '주택완박'""","""시장 매커니즘·국민 수요 전혀 이해 못 해""
""결국 부자만을 위한 부동산 시장""
""전국 집값 올리는 역효과로 되돌아올 것""
장동혁 국민의힘 대표가 15일 이재명 정부의 세 번째 부동산 대책을 두고 ""한마디로 청년과 서민을 죽이는 청년·서민 주택 완박(완전 박탈) 대책""이라고 비판했다. 사진은 장 대표가 지난 10일 오전 서울 여의도 국회에서 열린 반도체·AI 첨단산업특별위원회 임명장 수여식 및 제1차 전체회의에 참석해 발언하고 있는 모습. /남윤호 기자
장동혁 국민의힘 대표가 15일 이재명 정부의 세 번째 부동산 대책을 두고 ""한마디로 청년과 서민을 죽이는 청년·서민 주택 완박(완전 박탈) 대책""이라고 비판했다.
장 대표는 이날 오전 국회에서 기자회견을 열고 ""시장의 메커니즘과 국민의 수요를 전혀 이해하지 못하는 더 센 규제만 반복하고 있다""며 이같이 밝혔다.
장 대표는 서민의 '내 집 마련' 기회 박탈을 이번 대책의 가장 큰 문제점으로 봤다. 그는 ""주택담보 대출 비율을 대폭 줄이고 전세대출 DSR(총부채원리금상환비율)을 적용하면서 청년과 서민, 신혼부부와 같은 실수요자의 내집 마련의 길이 막혔다""며 ""결국 부자들만을 위한 부동산 시장이 생겨날 것""이라고 지적했다.
또 ""토지허가제 실거주 의무까지 더해져 전세 물량은 줄어드는데 수요는 폭증하면서 전세난민이 대거 양산될 것""이라며 ""풍선효과도 피하기 어렵다. 규제가 없는 도시 지역으로 자금이 몰리고 결국 전국 집값을 올리는 역효과로 되돌아올 것이다""라고 우려했다.
공급 없이 수요만으로 집값을 잡으려는 '묻지마식 규제'로는 집값 안정이 불가능하다는 입장이다. 장 대표는 ""뚜렷한 공급 대책이 없다. 중대재해처벌법 엄격 적용을 밀어붙이면서 (건설사는) 주택 건설 자체를 포기하고 있다""며 ""현금 살포로 유동성은 크게 확대됐다. 부동산 가격이 오르지 않으려야 오르지 않을 수 없는 상황이다""라고 했다.
장 대표는 ""문재인 정권 시즌 2다. 집값 폭등 시즌 2다""라며 ""원인은 정부가 만들고 책임은 서민에게 떠넘기는 무책임한 대책이다""라고 목소리를 높였다. 그는 ""문재인 정부 당시 부동산 정책을 28번 발표해 정부 출범 때 6억이었던 서울 아파트가 5년 후 12억 원이 됐다""며 ""이번 부동산 정책도 집값 잡는 정책이 아니라 집값 망치는 정책이 될 것""이라고 했다.
그러면서 ""반시장적 주택 정책이 아니라 시장 친화적 주택 정책으로 전환해야 한다""라며 ""부동산 시장의 안정을 가져올 수 있는 근본적인 대책은 민간 중심의 주택 공급 확대""라고 말했다.
이어 ""재건축 재개발에 대한 규제 완화를 해야 한다""라며 ""신속 통합 기획과 같은 모범 사례를 확대해서 민간 공급을 늘려야 한다. 청년과 서민, 중산층을 위한 금융 세제 지원을 강화해야 한다""고 덧붙였다.
정부는 이날 주택시장 안정화를 위한 '대출수요 관리 강화 방안'을 발표했다. 서울 전역과 경기 12개 지역을 조정대상지역·투기과열지구·토지거래허가구역으로 추가 지정했다. 토지거래허가구역 지정 범위도 넓어졌다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",주택공급
YTN,"""부작용 건의했는데 강행...주택 공급에 영향 불가피""",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002259821?sid=102,,YTN,"""부작용 건의했는데 강행...주택 공급에 영향 불가피""","[앵커]
서울 전체를 규제 지역으로 확대한 정부의 부동산 대책에 서울시는 부작용을 건의했지만, 정부가 발표를 강행했다는 입장을 내놨습니다.
규제 중심의 정책에 실효성을 의심하면서, 현재 진행 중인 주택 공급 사업에도 영향이 불가피할 것으로 보고 있습니다.
양일혁 기자가 보도합니다.
[기자]
서울시는 정부가 새 부동산 대책 발표를 코앞에 두고 투기과열지구와 조정대상지역에 대한 의견을 타진했다고 밝혔습니다.
이에 대해 서울시는 주택 시장 안정화나 실수요자의 불안 심리 등 부정적인 영향이 있을 수 있다며 부작용을 우려하는 입장을 정부에 전달했습니다.
과거에도 집값을 잡기 위해 이런저런 규제를 꺼내 들었는데, 과연 의도한 대로 시장이 흘러갈지 신중하게 잘 보고 결정하라는 취지였습니다.
정부의 이번 정책이 집값 안정화에 영향을 못 미칠 거라며 간접적으로 반대 의견을 피력한 겁니다.
정부의 새 부동산 대책이 나오자 서울시는 서울 모든 지역을 토지거래허가제로 지정하는 건 자유경제 시장 원리에 반하는 반시장적인 요소가 있다면서 반대 입장을 분명히 했습니다.
다만, 투기과열지구와 조정대상지역의 경우 현재 주택 가격 상승률이 물가 상승률보다 높다며 어느 정도 필요성은 인정했습니다.
충분한 공급을 통해 수요가 활발하게 이뤄지고 이를 통해 적정 수준에서 집값이 형성되면 주택 시장이 안정화 될 거라는 게 서울시의 입장.
규제를 통해 수요를 억눌러 집값을 잡겠다는 정부 방침과는 정반대입니다.
[오세훈 / 서울시장 (지난 13일) : 강남, 서초 이 지역에 재건축이 빠른 속도로 이루어질 수 있도록 함으로써 집값 급등의 진원지인 강남, 한강벨트의 집값을 잡겠다…]
이를 위해 서울시는 우선 기존에 추진해오던 주택 공급 사업을 차질 없이 진행할 방침입니다.
당장, 대치동 대치현대아파트와 고덕동 고덕아남아파트를 친환경 주거단지로 탈바꿈하는 리모델링 사업 계획안을 통과시키고,
서울 자양동 노후 주거지를 최고 49층, 1,030세대 아파트 단지로 재개발하는 신속통합기획을 확정했습니다.
YTN 양일혁입니다.
영상편집 : 이은경
디자인 : 정하림
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",주택공급
컨슈머타임스,"경기주택도시공사(GH), 6개 산업단지 장기미매각 18필지 '파격공급'",,,,,,,주택공급
EBN,"주택시장 양극화 '주목'…미분양 주택 해소ㆍ임대주택 공급""두 마리토...",,,,,,,주택공급
KNN,LH 국감주택공급대책 재정 우려 공방,,,,,,,주택공급
