press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"'美구금마지막석방' 한국인 ""도움에 감사…재판 성실히 임할것""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015655061?sid=104,,연합뉴스,"'美구금 마지막석방' 한국인 ""도움에 감사…재판 성실히 임할것""","체포 22일만에 보석 석방후 연합뉴스에 심경 첫언급…풀려난후 눈물
현지 관계자 ""홀로 남을 당시 쉽지 않은 선택…씩씩하고 긍정적 성격""
포크스턴 이민세관단속국 구금시설
(포크스턴[미국 조지아주]=연합뉴스) 윤동진 기자 = 지난 9일(현지시간) 미국 당국의 이민단속으로 체포된 현대차-LG엔솔 배터리공장 건설 현장 직원들이 수감돼 있는 조지아주 포크스턴의 이민세관단속국(ICE) 구금시설 모습. 2025.9.10 mon@yna.co.kr
(서배나[미 조지아주]=연합뉴스) 이종원 통신원 = 지난 4일(현지시간) 미국 조지아주에서 이민 당국에 체포된 후 귀국 대신 현지 잔류를 택한 한국 국적자가 이민구치소 수감 22일 만에 석방된 후 첫 심경을 밝혔다.
30대 한인 이 모 씨는 28일(현지시간) 연합뉴스에 보낸 메시지를 통해 ""제가 석방될 때까지 많은 분께 도움을 받았다. 특히 도와주신 영사관과 변호사들에게 감사한다""고 밝혔다.
이씨는 ""아직 (이민법원) 재판이 남아있는 상황이라 자세한 이야기는 어렵다""고 말을 아끼면서도 ""앞으로 재판에 성실히 임할 것""이라고 말했다.
현지 사정에 정통한 관계자에 따르면, 이씨는 25일 이민법원의 보석 허가 후 즉시 보석금을 납부했으나, 이민국의 행정적 문제로 인해 하루가 지난 26일 오후 조지아주 포크스톤 이민구치소에서 석방됐다.
석방 당시 가족과 회사 관계자가 구치소 정문에서 맞이했으며, 이씨는 회사 관계자가 한인 식당에서 마련한 두부를 먹으며 눈물을 감추지 못했다.
미국 구금 한국인 근로자들, 무사 귀국
(영종도=연합뉴스) 이진욱 기자 = 미국 이민당국에 의해 조지아주에 구금됐던 한국인 근로자들이 지난 12일 인천국제공항 제2여객터미널 입국장을 나서고 있다. 2025.9.12 [공동취재] cityboy@yna.co.kr
앞서 미국 이민세관단속국(ICE) 등은 지난 4일 조지아주 엘러벨에서 현대차-LG에너지솔루션 합작 HL-GA 배터리 공장을 급습해 LG에너지솔루션과 협력사 직원 등 한국인 300여명을 포함해 475명을 체포해 구금했다. 이중 한국인 316명과 외국 국적자 14명은 자진 출국 형태로 지난 11일 한국으로 귀국했다.
그러나 이씨는 당시 체포됐던 한국인 가운데 유일하게 귀국 대신 미국 잔류 및 후속 법적 절차를 택했다.
이 관계자는 ""모든 한국인을 떠나보내고 홀로 남기를 선택하는 것이 쉽지 않았다""며 ""하지만 이씨가 씩씩하고 긍정적인 성격으로 수감 기간 가족과 주변인을 안심시키며 잘 견뎌냈다""고 밝혔다.
이씨의 수감 기간 주 애틀랜타 총영사관은 영사 면담을 지속해 실시했으며, 로펌 '넬슨 멀린스' 측은 이씨의 보석 석방 허가를 받아냈다.
이로써 조지아주 공장 현장에서 미국 이민 당국에 체포된 한국인은 전원 구금 상태에서 풀려났다. 이씨는 앞으로 보석 석방된 상태에서 이민법원에 출석하게 된다.
관계자는 ""이씨는 체포 당시 가족 이민을 통해 영주권 신청 진행 중이었으며, 체포 당시에도 이민국으로부터 '노동 허가증'을 받아 합법적으로 일하던 상태였다""고 덧붙였다.
higher2501@yna.co.kr",한인구금
연합뉴스,“한국 안 가”구금317명 중 美에 남은 1인···“재판 성실히 임할 ...,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015655061?sid=104,,연합뉴스,"'美구금 마지막석방' 한국인 ""도움에 감사…재판 성실히 임할것""","체포 22일만에 보석 석방후 연합뉴스에 심경 첫언급…풀려난후 눈물
현지 관계자 ""홀로 남을 당시 쉽지 않은 선택…씩씩하고 긍정적 성격""
포크스턴 이민세관단속국 구금시설
(포크스턴[미국 조지아주]=연합뉴스) 윤동진 기자 = 지난 9일(현지시간) 미국 당국의 이민단속으로 체포된 현대차-LG엔솔 배터리공장 건설 현장 직원들이 수감돼 있는 조지아주 포크스턴의 이민세관단속국(ICE) 구금시설 모습. 2025.9.10 mon@yna.co.kr
(서배나[미 조지아주]=연합뉴스) 이종원 통신원 = 지난 4일(현지시간) 미국 조지아주에서 이민 당국에 체포된 후 귀국 대신 현지 잔류를 택한 한국 국적자가 이민구치소 수감 22일 만에 석방된 후 첫 심경을 밝혔다.
30대 한인 이 모 씨는 28일(현지시간) 연합뉴스에 보낸 메시지를 통해 ""제가 석방될 때까지 많은 분께 도움을 받았다. 특히 도와주신 영사관과 변호사들에게 감사한다""고 밝혔다.
이씨는 ""아직 (이민법원) 재판이 남아있는 상황이라 자세한 이야기는 어렵다""고 말을 아끼면서도 ""앞으로 재판에 성실히 임할 것""이라고 말했다.
현지 사정에 정통한 관계자에 따르면, 이씨는 25일 이민법원의 보석 허가 후 즉시 보석금을 납부했으나, 이민국의 행정적 문제로 인해 하루가 지난 26일 오후 조지아주 포크스톤 이민구치소에서 석방됐다.
석방 당시 가족과 회사 관계자가 구치소 정문에서 맞이했으며, 이씨는 회사 관계자가 한인 식당에서 마련한 두부를 먹으며 눈물을 감추지 못했다.
미국 구금 한국인 근로자들, 무사 귀국
(영종도=연합뉴스) 이진욱 기자 = 미국 이민당국에 의해 조지아주에 구금됐던 한국인 근로자들이 지난 12일 인천국제공항 제2여객터미널 입국장을 나서고 있다. 2025.9.12 [공동취재] cityboy@yna.co.kr
앞서 미국 이민세관단속국(ICE) 등은 지난 4일 조지아주 엘러벨에서 현대차-LG에너지솔루션 합작 HL-GA 배터리 공장을 급습해 LG에너지솔루션과 협력사 직원 등 한국인 300여명을 포함해 475명을 체포해 구금했다. 이중 한국인 316명과 외국 국적자 14명은 자진 출국 형태로 지난 11일 한국으로 귀국했다.
그러나 이씨는 당시 체포됐던 한국인 가운데 유일하게 귀국 대신 미국 잔류 및 후속 법적 절차를 택했다.
이 관계자는 ""모든 한국인을 떠나보내고 홀로 남기를 선택하는 것이 쉽지 않았다""며 ""하지만 이씨가 씩씩하고 긍정적인 성격으로 수감 기간 가족과 주변인을 안심시키며 잘 견뎌냈다""고 밝혔다.
이씨의 수감 기간 주 애틀랜타 총영사관은 영사 면담을 지속해 실시했으며, 로펌 '넬슨 멀린스' 측은 이씨의 보석 석방 허가를 받아냈다.
이로써 조지아주 공장 현장에서 미국 이민 당국에 체포된 한국인은 전원 구금 상태에서 풀려났다. 이씨는 앞으로 보석 석방된 상태에서 이민법원에 출석하게 된다.
관계자는 ""이씨는 체포 당시 가족 이민을 통해 영주권 신청 진행 중이었으며, 체포 당시에도 이민국으로부터 '노동 허가증'을 받아 합법적으로 일하던 상태였다""고 덧붙였다.
higher2501@yna.co.kr",한인구금
문화일보,"'美구금마지막 석방' 한국인 ""도움에 감사…재판 성실히 임할것""",네이버뉴스,https://n.news.naver.com/mnews/article/021/0002740069?sid=101,,문화일보,“한국 안 가” 구금 317명 중 美에 남은 1인···“재판 성실히 임할 것”,"미국 이민 단속 당국이 홈페이지를 통해 4일 조지아주 현대차그룹-LG에너지솔루션의 합작 배터리 공장 건설 현장에서 벌인 불법 체류·고용 단속 현장 영상을 홈페이지에 공개했다. 미국 이민세관단속국 홈페이지 영상 캡처 연합뉴스
미국 조지아주에서 이민 당국에 체포된 뒤 귀국 대신 현지 잔류를 택했던 한국 국적자가 이민구치소 수감 22일 만에 석방됐다. 특히 30대 한인 이 모씨는 “제가 석방될 때까지 많은 분께 도움을 받았다”며 “특히 도와주신 영사관과 변호사들에게 감사한다”고 말했다.
지난 4일(현지시간) 이 씨는 언론에 보낸 메시지를 통해 “아직 (이민법원) 재판이 남아 있는 상황이라 자세한 이야기는 어렵다”면서도 이같이 말했다. 다만 이 씨는 “앞으로 재판에 성실히 임할 것”이라고 강조했다.
앞서 25일 이 씨는 이민법원의 보석 허가 후 즉시 보석금을 납부한 것으로 알려졌다. 다만 이민국의 행정적 문제로 인해 하루가 지난 26일 오후 조지아주 포크스톤 이민구치소에서 석방됐다.
석방 당시 가족과 회사 관계자가 구치소 정문에서 맞이했으며 이 씨는 한인 식당에서 두부를 먹은 것으로 전해졌다.
앞서 지난 4일 조지아주 현대자동차·LG에너지솔루션 합작공장에서 체포된 한국인 317명 중 이 씨를 제외한 나머지가 11일 자진 출국 형식으로 풀려났다. 그러나 이 씨는 당시 체포됐던 한국인 가운데 유일하게 귀국 대신 미국 잔류 및 후속 법적 절차를 택했다.
현지 관계자는 “이씨는 체포 당시 가족 이민을 통해 영주권 신청 진행 중이었다”며 “체포 당시에도 이민국으로부터 ‘노동 허가증’을 받아 합법적으로 일하던 상태였다”고 설명했다.
이 씨는 미국 정부를 상대로 법적 절차를 진행할 것으로 알려졌다. 합법적인 신분으로 허용된 범위 내 활동을 했는데도 미국 이민세관단속국(ICE)의 무리한 단속으로 피해를 봤다면 미국 정부를 상대로 불법 체포와 구금 관련 손해배상을 청구하는 것도 가능할 것으로 전해졌다. 특히 이 씨의 소송 결과에 따라 다른 구금자들도 손해배상 등을 청구할 여지가 있다.",한인구금
매일신문,"'미구금마지막 석방' 한국인 ""도움에 감사…재판 성실히 임할 것""",네이버뉴스,https://n.news.naver.com/mnews/article/088/0000972878?sid=104,,매일신문,"'美 구금 마지막 석방' 한국인 ""도움에 감사…재판 성실히 임할것""","체포 22일만에 보석 석방후 연합뉴스에 심경 첫언급…풀려난 후 눈물
이민단속으로 체포됐던 현대차-LG엔솔 배터리공장 건설 현장 직원들이 애틀랜타 공항으로 향하기 위해 11일(현지시간) 미국 조지아주 포크스턴의 이민세관단속국(ICE) 구금시설을 나서고 있다. 연합뉴스
지난 4일(현지시간) 미국 조지아주에서 이민 당국에 체포된 후 귀국 대신 현지 잔류를 택한 한국 국적자가 이민구치소 수감 22일 만에 석방된 후 첫 심경을 밝혔다.
29일 연합뉴스에 따르며 30대 한인 이 모 씨는 28일(현지시간) 보낸 메시지를 통해 ""제가 석방될 때까지 많은 분께 도움을 받았다. 특히 도와주신 영사관과 변호사들에게 감사한다""고 밝혔다.
이씨는 ""아직 (이민법원) 재판이 남아있는 상황이라 자세한 이야기는 어렵다""고 말을 아끼면서도 ""앞으로 재판에 성실히 임할 것""이라고 말했다.
현지 사정에 정통한 관계자에 따르면, 이씨는 25일 이민법원의 보석 허가 후 즉시 보석금을 납부했지만, 이민국의 행정적 문제로 인해 하루가 지난 26일 오후 조지아주 포크스톤 이민구치소에서 석방됐다.
석방 당시 가족과 회사 관계자가 구치소 정문에서 맞이했으며, 이씨는 회사 관계자가 한인 식당에서 마련한 두부를 먹으며 눈물을 감추지 못한 것으로 알려졌다.
앞서 미국 이민세관단속국(ICE) 등은 지난 4일 조지아주 엘러벨에서 현대차-LG에너지솔루션 합작 HL-GA 배터리 공장을 급습해 LG에너지솔루션과 협력사 직원 등 한국인 300여명을 포함해 475명을 체포해 구금했다. 이중 한국인 316명과 외국 국적자 14명은 자진 출국 형태로 지난 11일 한국으로 귀국했다.
그러나 이씨는 당시 체포됐던 한국인 가운데 유일하게 귀국 대신 미국 잔류 및 후속 법적 절차를 택했다.
이 관계자는 ""모든 한국인을 떠나보내고 홀로 남기를 선택하는 것이 쉽지 않았다""며 ""하지만 이씨가 씩씩하고 긍정적인 성격으로 수감 기간 가족과 주변인을 안심시키며 잘 견뎌냈다""고 밝혔다.
이씨의 수감 기간 주 애틀랜타 총영사관은 영사 면담을 지속해 실시했으며, 로펌 '넬슨 멀린스' 측은 이씨의 보석 석방 허가를 받아냈다.
이로써 조지아주 공장 현장에서 미국 이민 당국에 체포된 한국인은 전원 구금 상태에서 풀려났다. 이씨는 앞으로 보석 석방된 상태에서 이민법원에 출석하게 된다.
관계자는 ""이씨는 체포 당시 가족 이민을 통해 영주권 신청 진행 중이었으며, 체포 당시에도 이민국으로부터 '노동 허가증'을 받아 합법적으로 일하던 상태였다""고 덧붙였다.",한인구금
SBS,"미국 잔류 택했던 유일한 ‘구금한국인’…“석방까지 많은 도움, 영사...",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001296418?sid=102,,SBS,"'미 구금 마지막 석방' 한국인 ""도움에 감사…재판 성실히 임할 것""","▲ 이민 단속으로 체포돼 현대차-LG엔솔 배터리공장 건설 현장 직원들이 수감됐던 미국 조지아주 포크스턴의 이민세관단속국(ICE) 구금시설
지난 4일(현지 시간) 미국 조지아주에서 이민 당국에 체포된 후 귀국 대신 현지 잔류를 택한 한국 국적자가 이민구치소 수감 22일 만에 석방된 후 첫 심경을 밝혔습니다.
30대 한인 이 모 씨는 28일(현지 시간) 언론에 보낸 메시지를 통해 ""제가 석방될 때까지 많은 분께 도움을 받았다. 특히 도와주신 영사관과 변호사들에게 감사한다""고 밝혔습니다.
이 씨는 ""아직 (이민법원) 재판이 남아있는 상황이라 자세한 이야기는 어렵다""고 말을 아끼면서도 ""앞으로 재판에 성실히 임할 것""이라고 말했습니다.
현지 사정에 정통한 관계자에 따르면, 이 씨는 25일 이민법원의 보석 허가 후 즉시 보석금을 납부했으나, 이민국의 행정적 문제로 인해 하루가 지난 26일 오후 조지아주 포크스톤 이민구치소에서 석방됐습니다.
석방 당시 가족과 회사 관계자가 구치소 정문에서 맞이했으며, 이 씨는 회사 관계자가 한인 식당에서 마련한 두부를 먹으며 눈물을 감추지 못했습니다.
앞서 미국 이민세관단속국(ICE) 등은 지난 4일 조지아주 엘러벨에서 현대차-LG에너지솔루션 합작 HL-GA 배터리 공장을 급습해 LG에너지솔루션과 협력사 직원 등 한국인 300여 명을 포함해 475명을 체포해 구금했습니다.
이중 한국인 316명과 외국 국적자 14명은 자진 출국 형태로 지난 11일 한국으로 귀국했습니다.
그러나 이 씨는 당시 체포됐던 한국인 가운데 유일하게 귀국 대신 미국 잔류 및 후속 법적 절차를 택했습니다.
이 관계자는 ""모든 한국인을 떠나보내고 홀로 남기를 선택하는 것이 쉽지 않았다""며 ""하지만 이 씨가 씩씩하고 긍정적인 성격으로 수감 기간 가족과 주변인을 안심시키며 잘 견뎌냈다""고 밝혔습니다.
이 씨의 수감 기간 주 애틀랜타 총영사관은 영사 면담을 지속해 실시했으며, 로펌 '넬슨 멀린스' 측은 이 씨의 보석 석방 허가를 받아냈습니다.
이로써 조지아주 공장 현장에서 미국 이민 당국에 체포된 한국인은 전원 구금 상태에서 풀려났습니다.
이 씨는 앞으로 보석 석방된 상태에서 이민법원에 출석하게 됩니다.
관계자는 ""이 씨는 체포 당시 가족 이민을 통해 영주권 신청 진행 중이었으며, 체포 당시에도 이민국으로부터 '노동 허가증'을 받아 합법적으로 일하던 상태였다""고 덧붙였습니다.
(사진=연합뉴스)",한인구금
동아일보,"美 성매매한인여성 등 얼굴 공개…경찰, 마사지 업소 급습",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003664758?sid=104,,동아일보,"美 성매매 한인 여성 등 얼굴 공개…경찰, 마사지 업소 급습","미국 오하이오주 톨리도 경찰이 지난 24일 한인을 포함한 아시아계 여성 6명을 성매매 혐의 등으로 체포했다. 더블레이드 갈무리
미국 오하이오주에 있는 마사지 업소에서 한인을 포함한 아시아계 여성 6명이 성매매 혐의 등으로 경찰에 체포됐다. 현지 경찰은 문제의 업소를 ‘사창가(brothel)’로 칭하며 이들의 신상과 사진을 공개했다.
26일(현지시간) 지역 일간지 더 블레이드 등에 따르면 톨레도 경찰은 24일 시내 마사지 업소 2곳을 동시에 급습해 6명의 여성을 붙잡았다. ‘장미 사우나(Chang Mi Sauna)’로 불리는 업소에서는 선 웨이트(72), 혜론 김(57), 경 서(55), 에리카 일현 고(48) 등 4명이, ‘아시안 건강 마사지(Asian Healthy Massage)’에서는 니홍(53)과 나멍(50) 등 2명이 각각 검거됐다. 이 가운데 김 씨와 서 씨 고 씨 등은 한국계로 알려졌다.
경찰 조사에서 선 웨이트는 성매매 일정을 조율하고 여성들을 감시한 사실을 인정한 것으로 전해졌다. 이에 성매매 알선 혐의로 기소돼 보석금 1만 달러(약 1400만 원)가 책정됐다. 김 씨는 HIV(인간면역결핍 바이러스) 감염 판정을 받은 후 성매매를 한 혐의로 같은 금액의 보석금을 물게 됐다. 서 씨와 고 씨도 청탁 혐의로 불구속 기소됐다. 김 씨와 서 씨, 고 씨 등 한인들은 해당 업소에서 지내며 생활한 것으로 확인됐다.
니홍과 나멍은 성매매 알선 혐의를 받는다. 여기에 나멍은 성매매와 청탁 혐의까지 더해졌다. 이들의 보석금도 각각 1만 달러다. 법원 기록에 따르면 나멍은 경찰 조사에서 “수익을 다른 여성과 절반씩 나눴다”고 진술했다. 또 위장 수사에 나선 경찰관에게 “성적 서비스를 제공하겠다”고 제안한 사실까지 드러났다. 이들 6명은 내달 2일 법정에 출석할 예정이다. 김 씨 등은 미국 이민세관단속국(ICE)에 구금돼 있다.
피의자 6명의 이름과 나이 등 신상과 머그샷은 루카스 카운티 교정당국을 통해 공개됐다. 경찰은 이번 조치가 지역 내 불법 마사지 업소를 근절하기 위한 장기 수사의 출발점이 될 것이라고 강조했다.",한인구금
조선비즈,"美, 마사지업소서 성매매 혐의한인여성 포함 6명 체포… 1명은 ICE구금",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001111792?sid=104,,조선비즈,"美, 마사지업소서 성매매 혐의 한인 여성 포함 6명 체포… 1명은 ICE 구금","지난 24일 미국 오하이오주 현지 경찰에 의해 성매매 혐의로 체포된 한인 포함 아시아계 여성 6명의 머그샷. /루카스 카운티 교정 당국
미국 오하이오주(州)에서 한국인을 포함한 아시아계 여성들이 성매매 혐의 등으로 체포된 가운데 당국이 여성들의 신상을 공개했다.
26일(현지 시각) 오하이오 털리도의 현지 매체 더블레이드는 현지 경찰이 지난 25일 새벽 시내의 마사지 업소 두 곳을 급습해 여성 6명을 체포했다고 보도했다. 현지 경찰은 이 업소들을 ‘매음굴(brothel)’이라고 지칭했다.
그 중 ‘장미 사우나’와 ‘스카이 스파’라는 이름의 업소에서는 선 웨이트(72), 혜론 김(57), 경 서(55), 에리카 고(48)가 체포됐다. 경찰에 따르면 선 웨이트씨는 “예약을 잡아주고 그들을 감독했다”고 범행을 시인했다. 혜론 김씨는 성매매 알선 혐의와 HIV 양성 판정 후 성매매 권유 혐의로 기소됐다. 업소에서 거주 중이던 김씨는 현재 미국 이민세관단속국(ICE·Immigration and Customs Enforcement)에 구금 중인 것으로 알려졌다. 이 둘의 보석금은 1만달러(약 1400만원)다.
매체에 따르면 이날 함께 체포돼 HIV 양성 판정 이후 성매매 권유 혐의로 기소된 경 서씨와 에리카 고씨는 법정 출석 서약 후 석방됐다.
‘아시안헬시마사지’라는 업소에서 붙잡힌 니 홍(53)씨는 성매매 알선과 매출 업소 설립·운영·관리, 성매매 교사 혐의로 기소됐다. 함께 체포된 나 멩(50)씨는 성매매 알선과 성매매 혐의로 기소됐다. 니 홍씨는 자신이 소유주로 이 업소를 운영해 왔다”고 진술했고, 나 멩씨는 “사업 수익을 50대 50으로 나눴다. 또 형사들에게 돈을 대가로 성적 서비스를 제공하겠다고 제안했다”고 진술한 것으로 전해졌다. 이들의 보석금은 1만달러(약 1400만원)다.
현지 수사 당국과 교정 당국은 이들 6명의 이름과 나이 그리고 머그샷까지 공개했다.",한인구금
조선비즈,"美, 마사지업소서한인포함 성매매 혐의 女 6명 체포…머그샷도 공개",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001111792?sid=104,,조선비즈,"美, 마사지업소서 성매매 혐의 한인 여성 포함 6명 체포… 1명은 ICE 구금","지난 24일 미국 오하이오주 현지 경찰에 의해 성매매 혐의로 체포된 한인 포함 아시아계 여성 6명의 머그샷. /루카스 카운티 교정 당국
미국 오하이오주(州)에서 한국인을 포함한 아시아계 여성들이 성매매 혐의 등으로 체포된 가운데 당국이 여성들의 신상을 공개했다.
26일(현지 시각) 오하이오 털리도의 현지 매체 더블레이드는 현지 경찰이 지난 25일 새벽 시내의 마사지 업소 두 곳을 급습해 여성 6명을 체포했다고 보도했다. 현지 경찰은 이 업소들을 ‘매음굴(brothel)’이라고 지칭했다.
그 중 ‘장미 사우나’와 ‘스카이 스파’라는 이름의 업소에서는 선 웨이트(72), 혜론 김(57), 경 서(55), 에리카 고(48)가 체포됐다. 경찰에 따르면 선 웨이트씨는 “예약을 잡아주고 그들을 감독했다”고 범행을 시인했다. 혜론 김씨는 성매매 알선 혐의와 HIV 양성 판정 후 성매매 권유 혐의로 기소됐다. 업소에서 거주 중이던 김씨는 현재 미국 이민세관단속국(ICE·Immigration and Customs Enforcement)에 구금 중인 것으로 알려졌다. 이 둘의 보석금은 1만달러(약 1400만원)다.
매체에 따르면 이날 함께 체포돼 HIV 양성 판정 이후 성매매 권유 혐의로 기소된 경 서씨와 에리카 고씨는 법정 출석 서약 후 석방됐다.
‘아시안헬시마사지’라는 업소에서 붙잡힌 니 홍(53)씨는 성매매 알선과 매출 업소 설립·운영·관리, 성매매 교사 혐의로 기소됐다. 함께 체포된 나 멩(50)씨는 성매매 알선과 성매매 혐의로 기소됐다. 니 홍씨는 자신이 소유주로 이 업소를 운영해 왔다”고 진술했고, 나 멩씨는 “사업 수익을 50대 50으로 나눴다. 또 형사들에게 돈을 대가로 성적 서비스를 제공하겠다고 제안했다”고 진술한 것으로 전해졌다. 이들의 보석금은 1만달러(약 1400만원)다.
현지 수사 당국과 교정 당국은 이들 6명의 이름과 나이 그리고 머그샷까지 공개했다.",한인구금
아시아경제,"'美잔류' 택했던구금한인, 22일만 보석 석방…법적 절차는 남아",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005658540?sid=100,,아시아경제,"'美잔류' 택했던 구금 한인, 22일만 보석 석방…법적 절차는 남아","지난 4일(현지시간) 미국 조지아주 배터리 공장 건설 현장에서 체포됐던 한국인 근로자 317명 중 316명이 귀국한 가운데, 유일하게 현지 잔류를 택했던 나머지 1명의 근로자가 26일 보석으로 풀려난 것으로 전해졌다. 미국 현지 구금시설에 억류된 지 22일 만이다.
미국 이민 단속 당국이 지난 4일(현지시간) 조지아주 현대차그룹-LG에너지솔루션의 합작 배터리 공장 건설현장에서 벌인 불법체류·고용 단속 현장 영상과 사진을 홈페이지를 통해 공개했다. 2025.9.6 연합뉴스
27일 연합뉴스에 따르면 조지아주 포크스턴 소재 이민 구치소에 수감돼 있던 한국인 이모씨의 변호인단 측은 이씨가 이날 보석 석방됐다고 전했다. 이는 지난 25일 연방 이민법원 조지아청이 이씨에게 보석을 허가했고, 이씨는 법원이 지정한 보석금을 이민국에 납부했다. 이로써 조지아주 공장 현장에서 체포된 한국인 전원이 구금 상태에서 풀려나게 됐다.
이씨의 미국 시민권자인 아내와 결혼한 뒤 이민국에 영주권을 신청한 상태였던 것으로 알려졌다. 또 함께 구금됐던 다른 근로자들과 달리, 미국에서 합법적으로 일할 수 있는 취업 허가서(EAD)를 발급받은 상태였다. 이에 이씨는 보석 석방된 상태에서 후속 법적 절차를 밟을 것으로 보인다.",한인구금
아시아경제,"잔류 택한구금한국인, 체포 22일만 보석 석방…美 ""비자 후속조치 곧...",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005658540?sid=100,,아시아경제,"'美잔류' 택했던 구금 한인, 22일만 보석 석방…법적 절차는 남아","지난 4일(현지시간) 미국 조지아주 배터리 공장 건설 현장에서 체포됐던 한국인 근로자 317명 중 316명이 귀국한 가운데, 유일하게 현지 잔류를 택했던 나머지 1명의 근로자가 26일 보석으로 풀려난 것으로 전해졌다. 미국 현지 구금시설에 억류된 지 22일 만이다.
미국 이민 단속 당국이 지난 4일(현지시간) 조지아주 현대차그룹-LG에너지솔루션의 합작 배터리 공장 건설현장에서 벌인 불법체류·고용 단속 현장 영상과 사진을 홈페이지를 통해 공개했다. 2025.9.6 연합뉴스
27일 연합뉴스에 따르면 조지아주 포크스턴 소재 이민 구치소에 수감돼 있던 한국인 이모씨의 변호인단 측은 이씨가 이날 보석 석방됐다고 전했다. 이는 지난 25일 연방 이민법원 조지아청이 이씨에게 보석을 허가했고, 이씨는 법원이 지정한 보석금을 이민국에 납부했다. 이로써 조지아주 공장 현장에서 체포된 한국인 전원이 구금 상태에서 풀려나게 됐다.
이씨의 미국 시민권자인 아내와 결혼한 뒤 이민국에 영주권을 신청한 상태였던 것으로 알려졌다. 또 함께 구금됐던 다른 근로자들과 달리, 미국에서 합법적으로 일할 수 있는 취업 허가서(EAD)를 발급받은 상태였다. 이에 이씨는 보석 석방된 상태에서 후속 법적 절차를 밟을 것으로 보인다.",한인구금
