press,title,naver_news_text,naver_news_url,body
연합뉴스,"트럼프 ""최저 상호관세율 10%이지만 예외 있을 수 있어""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015379251?sid=104,
연합뉴스,"또 말바꾼 트럼프?…""최저 상호관세율 10%이지만 예외 가능""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015379251?sid=104,
TV조선,"한 발 물러선 트럼프…""최저 상호관세율 10%…예외 있을 수도""",네이버뉴스,https://n.news.naver.com/mnews/article/448/0000526632?sid=104,
아시아경제,"트럼프 “상호관세율 10%, 특별한 것 준다면 예외 있을 수도”",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005590237?sid=104,
동아일보,"트럼프 “최저 10% 상호관세, 우리에게 뭔가 해준다면 예외”",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003634026?sid=104,
한겨레,미-중 장관급 ‘관세협상’ 제네바서 시작…“미 요청 따라 열려”,네이버뉴스,https://n.news.naver.com/mnews/article/028/0002745171?sid=101,
한겨레,"미중, 스위스 제네바서 첫 무역 협상 시작…관세율 얼마나 낮출까",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002745171?sid=101,
한국일보,"미중, 스위스 제네바서 첫 무역협상 돌입",네이버뉴스,https://n.news.naver.com/mnews/article/469/0000863986?sid=104,
노컷뉴스,"미·중, 스위스서 무역 협상 시작…합의점 도출할까",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004022522?sid=104,
이데일리,"미중, 스위스 제네바서 고위급 무역 협상 시작",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006010238?sid=101,
뉴시스,'품목별관세도 조정되네'…美·英 사례 한미관세협상 바로미터 될까,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013232671?sid=101,
뉴시스,"日 “미영 무역합의, 일본에 ‘나쁜 전례’될 수도”…자동차관세합의...",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013232671?sid=101,
헤럴드경제,"일본, 미영 무역합의 중 차관세주목…“협상 논외 아니란 것 확인”",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002469159?sid=104,
KBS,"日, 미영 무역합의 중 車관세주목…""협상 논외 아니란 것 확인""",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011948515?sid=104,
파이낸셜뉴스,관세협상 이후에도 10% 기본관세유지,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005347485?sid=104,
파이낸셜뉴스,"트럼프 ""예외 있을 수 있으나, 항상 10%관세는 기본""",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005347485?sid=104,
뉴시스,"트럼프 대통령 ""관세합의해도 기본 10%는 유지, 예외 있을 수 있어""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013232681?sid=104,
더팩트,"백악관 ""협상 후에도 모든 국가 10% 기본관세는 유지""",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000388649?sid=104,
SBS,"백악관 ""트럼프,관세일방적으로 낮추지 않아…중국 양보도 필요""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001256610?sid=104,
SBS,"백악관 ""트럼프, 中 양보 없이관세일방적으로 낮추지 않아""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001256610?sid=104,
이코노미스트,"美, ‘항공기·제트엔진’도관세 부과하나...‘관세조사’ 착수",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000077704?sid=101,
이코노미스트,"트럼프, 항공기·엔진에관세 부과하나…""안보 영향 조사 중""",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000077704?sid=101,
머니투데이,"美, 항공기도 '관세카드' 만지작…유럽 겨눴나",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005192042?sid=104,
한국경제TV,"美, 민간 항공기·제트엔진 '관세조사' 시작…유럽 겨냥한 듯",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001208724?sid=104,
연합뉴스,"트럼프, 항공기·엔진관세 부과가능성 시사…EU겨냥",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015379244?sid=104,
뉴스1,"미중, 스위스서 첫 무역협상 돌입…탐색전 넘어 진전 주목",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008241413?sid=104,
한국경제TV,美中 첫 무역협상 스위스서 진행…관세율 인하 주목,네이버뉴스,https://n.news.naver.com/mnews/article/215/0001208723?sid=104,
한국경제TV,"'통상전쟁' 美中, 첫 대좌하며 긴장완화 모색…관세율 인하 주목",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001208723?sid=104,
YTN,"트럼프 ""대중국관세80%가 적절""...백악관 ""던져본 숫자일 뿐""",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002191186?sid=104,
YTN,"트럼프 ""대중국관세80%가 적절""...백악관 ""던져본 숫자일 뿐""",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002191186?sid=104,
아시아경제,[뉴욕증시]미·중 무역협상 앞두고 관망…혼조 마감,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005590236?sid=101,
아시아경제,"뉴욕증시, 미·중 무역협상 앞두고 경계심…혼조 마감",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005590236?sid=101,
