press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
노컷뉴스,"[단독]경찰, 쿠팡배송기사 음주운전 의혹 사실무근 결론",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004092735?sid=102,,노컷뉴스,"[단독]경찰, 쿠팡 배송기사 음주운전 의혹 사실무근 결론","경찰, 동료기사들 조사하고 고인 동선 수사 ""음주사실 확인 안 돼""
택배노조 ""고인에게 심각한 명예훼손…의혹 제기 배후 밝혀져야""
사고현장 모습. 제주도소방안전본부 제공
제주에서 새벽배송하다 사고로 숨진 쿠팡기사 고(故) 오승용 씨. 대리점 측에서 제기한 음주운전 의혹에 대해 경찰이 고인의 동선과 동료기사들을 수사했지만, 음주운전 사실은 확인되지 않았다. 택배노조 측은 ""고인의 명예를 훼손하고 허위사실을 유포했다""며 그 배후를 밝히라고 요구했다.
""동료기사·동선 조사 결과 음주정황 없어""
4일 CBS노컷뉴스 취재 결과 제주동부경찰서는 지난달 10일 새벽에 발생한 쿠팡기사 오승용 씨 사망사고와 관련해 대리점 측에서 제기한 음주운전 의혹에 대해 수사했지만 당시 음주운전으로 볼 만한 정황은 확인되지 않았다. 이로써 졸음운전 등 운전 부주의에 따른 사고로 결론 내렸다.
경찰은 동료기사 2명을 참고인 신분으로 불러 조사했다. 대리점 측이 고인의 음주운전 의혹을 제기하면서 공개한 SNS 대화에 등장하는 기사들이다. 대리점 측은 기사들이 ""음주운전으로 보험 안 되면 안 된다"" ""그냥 졸음운전이다""라고 하는 등 음주운전 사실을 은폐하려 했다고 주장했다.
조사 결과 해당 대화는 사고 직후 이뤄졌다. ""기사들이 이런저런 내용으로 고인을 걱정하는 대화를 나눴다. 긴 대화 중 만약에 고인이 음주운전을 했으면 어떡하느냐는 식의 걱정하는 부분만 캡처돼서 언론에는 마치 음주사실을 은폐하려 한 정황이라며 공개된 것""이라고 경찰은 설명했다.
경찰 관계자는 ""전체 대화흐름은 음주운전과 관련 없이 고인을 걱정하는 내용이다. 동료기사들도 오해라고 얘기한다. 고인과 술을 마셨다거나 술 마신 걸 봤다는 사람도 없다""고 했다.
대리점 측이 보내온 메일내용 캡처. 고상현 기자
경찰은 사고 직전까지 고인의 동선도 확인했다. 고인은 아버지 장례 다음 날인 8일 오전 2시쯤 가족들과 처가댁에 도착해 9일 오후 2시까지 함께 있었다. 이후 자택으로 돌아가 휴식을 취하다 9일 오후 6시 30분 출근했다. 새벽배송을 하다 10일 오전 2시 16분쯤 단독 교통사고로 숨졌다.
이 과정에서 사고 전후로 고인의 음주 정황은 확인되지 않았다. 특히 사고 현장에 출동한 경찰관과 119구급대원들도 ""운전자에게서 술 냄새 등 음주 의심 정황은 없었다""고 진술했다.
""고인 음주운전 의혹 제기한 배후 밝혀져야""
고인의 음주운전 의혹이 결국 사실이 아닌 것으로 수사기관을 통해 확인되자, 택배노조 측은 ""고인에 대해 심각한 명예훼손과 유가족에게 2차 피해가 이뤄졌다""며 법적대응을 예고했다.
강민욱 민노총 서비스연맹 전국택배노조 쿠팡택배본부 준비위원장은 ""결국에는 동료기사들이 고인의 음주운전 사실을 얘기하거나 의문을 제기한 게 아니라 사고가 너무 안타깝다거나 혹시 음주운전은 아니겠지 걱정하는 정도인데, 마치 고인이 음주 운전한 것처럼 몬 것""이라고 주장했다.
""기초적인 사실관계 확인 작업 없이 의도적으로 고인의 명예를 실추시키고 마치 죽음이 고인의 책임으로 돌리려고 한 의도가 무엇인지 반드시 밝혀져야 한다. 새벽배송에 대한 과로노동에 대해 사회적 비판이 큰 상황이었는데 음주 의혹을 제기한 배후가 누군지도 확인돼야 한다""고 밝혔다.
제주 쿠팡 새벽배송 희생자 고(故)오승용씨의 유가족이 지난달 19일 서울 여의도 국회 소통관에서 유족-원내 제정당 공동기자회견에서 쿠팡 측의 사과와 재발방지 대책을 요구하고 있다. 윤창원 기자
한편 CBS노컷뉴스 단독 보도로 쿠팡 배송기사의 안타까운 죽음이 알려졌다. 오승용 씨는 지난달 10일 오전 2시 16분쯤 제주시 오라2동에서 1톤 탑차를 몰다 통신주를 들이받는 사고로 숨졌다. 당시 1차 배송을 마친 뒤 다시 물건을 싣기 위해 물류터미널로 돌아가는 길에 벌어진 사고다.
오씨는 사고 직전까지 하루 11시간 30분, 주 6일 야간노동을 계속해서 해왔다. 아버지 장례를 치른 뒤에도 하루 쉬고 다시 새벽배송 업무에 투입됐다가 어린 두 자녀를 두고 사망했다.
유가족은 ""제2의 승용이가 나오지 않는 게 중요하다. 쿠팡 시스템이 바뀌어야 한다. 쿠팡은 아직도 사과가 없다. 대리점 측은 되레 승용이가 동료들과 술 마셨다고 자료를 냈는데 아버지 장례식 직후라 누굴 만날 시간이 없었다. 승용이 죽음에 대해 쿠팡이 사과했으면 한다""고 요구했다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",새벽배송
노컷뉴스,"쿠팡새벽배송기사 과로사 덮으려 음주운전?…경찰 ""뒷받침할 증거 없...",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004092735?sid=102,,노컷뉴스,"[단독]경찰, 쿠팡 배송기사 음주운전 의혹 사실무근 결론","경찰, 동료기사들 조사하고 고인 동선 수사 ""음주사실 확인 안 돼""
택배노조 ""고인에게 심각한 명예훼손…의혹 제기 배후 밝혀져야""
사고현장 모습. 제주도소방안전본부 제공
제주에서 새벽배송하다 사고로 숨진 쿠팡기사 고(故) 오승용 씨. 대리점 측에서 제기한 음주운전 의혹에 대해 경찰이 고인의 동선과 동료기사들을 수사했지만, 음주운전 사실은 확인되지 않았다. 택배노조 측은 ""고인의 명예를 훼손하고 허위사실을 유포했다""며 그 배후를 밝히라고 요구했다.
""동료기사·동선 조사 결과 음주정황 없어""
4일 CBS노컷뉴스 취재 결과 제주동부경찰서는 지난달 10일 새벽에 발생한 쿠팡기사 오승용 씨 사망사고와 관련해 대리점 측에서 제기한 음주운전 의혹에 대해 수사했지만 당시 음주운전으로 볼 만한 정황은 확인되지 않았다. 이로써 졸음운전 등 운전 부주의에 따른 사고로 결론 내렸다.
경찰은 동료기사 2명을 참고인 신분으로 불러 조사했다. 대리점 측이 고인의 음주운전 의혹을 제기하면서 공개한 SNS 대화에 등장하는 기사들이다. 대리점 측은 기사들이 ""음주운전으로 보험 안 되면 안 된다"" ""그냥 졸음운전이다""라고 하는 등 음주운전 사실을 은폐하려 했다고 주장했다.
조사 결과 해당 대화는 사고 직후 이뤄졌다. ""기사들이 이런저런 내용으로 고인을 걱정하는 대화를 나눴다. 긴 대화 중 만약에 고인이 음주운전을 했으면 어떡하느냐는 식의 걱정하는 부분만 캡처돼서 언론에는 마치 음주사실을 은폐하려 한 정황이라며 공개된 것""이라고 경찰은 설명했다.
경찰 관계자는 ""전체 대화흐름은 음주운전과 관련 없이 고인을 걱정하는 내용이다. 동료기사들도 오해라고 얘기한다. 고인과 술을 마셨다거나 술 마신 걸 봤다는 사람도 없다""고 했다.
대리점 측이 보내온 메일내용 캡처. 고상현 기자
경찰은 사고 직전까지 고인의 동선도 확인했다. 고인은 아버지 장례 다음 날인 8일 오전 2시쯤 가족들과 처가댁에 도착해 9일 오후 2시까지 함께 있었다. 이후 자택으로 돌아가 휴식을 취하다 9일 오후 6시 30분 출근했다. 새벽배송을 하다 10일 오전 2시 16분쯤 단독 교통사고로 숨졌다.
이 과정에서 사고 전후로 고인의 음주 정황은 확인되지 않았다. 특히 사고 현장에 출동한 경찰관과 119구급대원들도 ""운전자에게서 술 냄새 등 음주 의심 정황은 없었다""고 진술했다.
""고인 음주운전 의혹 제기한 배후 밝혀져야""
고인의 음주운전 의혹이 결국 사실이 아닌 것으로 수사기관을 통해 확인되자, 택배노조 측은 ""고인에 대해 심각한 명예훼손과 유가족에게 2차 피해가 이뤄졌다""며 법적대응을 예고했다.
강민욱 민노총 서비스연맹 전국택배노조 쿠팡택배본부 준비위원장은 ""결국에는 동료기사들이 고인의 음주운전 사실을 얘기하거나 의문을 제기한 게 아니라 사고가 너무 안타깝다거나 혹시 음주운전은 아니겠지 걱정하는 정도인데, 마치 고인이 음주 운전한 것처럼 몬 것""이라고 주장했다.
""기초적인 사실관계 확인 작업 없이 의도적으로 고인의 명예를 실추시키고 마치 죽음이 고인의 책임으로 돌리려고 한 의도가 무엇인지 반드시 밝혀져야 한다. 새벽배송에 대한 과로노동에 대해 사회적 비판이 큰 상황이었는데 음주 의혹을 제기한 배후가 누군지도 확인돼야 한다""고 밝혔다.
제주 쿠팡 새벽배송 희생자 고(故)오승용씨의 유가족이 지난달 19일 서울 여의도 국회 소통관에서 유족-원내 제정당 공동기자회견에서 쿠팡 측의 사과와 재발방지 대책을 요구하고 있다. 윤창원 기자
한편 CBS노컷뉴스 단독 보도로 쿠팡 배송기사의 안타까운 죽음이 알려졌다. 오승용 씨는 지난달 10일 오전 2시 16분쯤 제주시 오라2동에서 1톤 탑차를 몰다 통신주를 들이받는 사고로 숨졌다. 당시 1차 배송을 마친 뒤 다시 물건을 싣기 위해 물류터미널로 돌아가는 길에 벌어진 사고다.
오씨는 사고 직전까지 하루 11시간 30분, 주 6일 야간노동을 계속해서 해왔다. 아버지 장례를 치른 뒤에도 하루 쉬고 다시 새벽배송 업무에 투입됐다가 어린 두 자녀를 두고 사망했다.
유가족은 ""제2의 승용이가 나오지 않는 게 중요하다. 쿠팡 시스템이 바뀌어야 한다. 쿠팡은 아직도 사과가 없다. 대리점 측은 되레 승용이가 동료들과 술 마셨다고 자료를 냈는데 아버지 장례식 직후라 누굴 만날 시간이 없었다. 승용이 죽음에 대해 쿠팡이 사과했으면 한다""고 요구했다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",새벽배송
뉴스1,"제주서 숨진 쿠팡배송기사 음주운전 정황 없다…경찰, 수사 종결",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008643128?sid=102,,뉴스1,"쿠팡 새벽배송 기사 과로사 덮으려 음주운전?…경찰 ""뒷받침할 증거 없어""","택배 영업점 '음주운전 의혹' 주장했지만 경찰 내사 종결
19일 서울 여의도 국회 소통관에서 제주에서 쿠팡 새벽배송을 하다 숨진 택배기사 고(故) 오승용씨의 유가족 기자회견을 하며 쿠팡 측의 사과와 재발방지 대책 마련을 촉구하고 있다. 2025.11.19/뉴스1 ⓒ News1 이승배 기자
(제주=뉴스1) 홍수영 기자 = 지난달 제주에서 발생한 쿠팡 새벽배송 기사 사망 사고와 관련해 경찰이 내사를 종결했다.
제주동부경찰서는 새벽배송 중 사망한 쿠팡 배송 기사 고(故) 오승용 씨의 음주운전 의혹과 관련해 ""혐의를 뒷받침할 만한 구체적인 정황이 없어 입건 전 조사 종결로 수사를 마무리한다""고 4일 밝혔다.
고인은 지난 10일 새벽 2시 9분쯤 제주시 오라2동 제주교도소 앞 오거리 인근 도로에서 택배 차량을 몰다 전신주를 들이받은 후 사망했다.
유족과 노동계는 고인이 생전 주 6일 11시간 30분씩 새벽배송을 한 점, 부친상을 치르고 하루 휴무 후 새벽배송에 나선 점 등을 들어 '과로에 의한 사고'라고 주장하며, 진상규명을 요구해왔다.
그러나 고인과 직접 계약 관계인 택배 영업점은 ""음주운전 의혹에 대한 공익 제보가 들어왔다. 고인의 동료가 사건 조작을 시도하고 적극적으로 음주운전을 은폐하려던 정황이 드러났다""며 과로사를 부인하고 나섰다.
이에 경찰은 음주운전 여부를 밝히기 위해 내사를 진행, 근거가 없다는 결론을 지은 것이다.
경찰 관계자는 ""관계자의 문자 메시지 및 진술, 국립과학수사연구원의 감정, 폐쇄회로(CC)TV 등 분석 등을 종합적으로 검토한 결과""라고 설명했다.",새벽배송
한국경제,"""로켓배송안 쓰면 여기가 뜬다""…'신고가' 직행한 회사 [종목+]",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005219922?sid=101,,한국경제,"""로켓배송 안 쓰면 여기가 뜬다""…'신고가' 직행한 회사 [종목+]","CJ대한통운 주가 8% 급등…10만원 위로
네이버·컬리 등 주요 물류회사
'주7일 배송 효과'에 실적 반등 조짐
반사이익 단기 흐름에 그칠 것이란 전망도
CJ대한통운 배송차량 / 사진=CJ대한통운 제공
CJ대한통운이 쿠팡 개인정보 유출 사태에 대한 반사이익 기대감에 최근 1년 내 가장 높은 주가 수준까지 뛰어올랐다.
4일 한국거래소에 따르면 전일 CJ대한통운은 직전일 대비 8.46% 오른 10만1300원에 거래를 마감하면서 52주 신고가를 경신했다.
이날 주가 상승은 쿠팡 개인정보 유출 사태로 회원 이탈이 생길 경우 네이버, G마켓, 컬리 등 이커머스 경쟁사들이 수혜를 입을 것이란 기대감 때문으로 풀이된다.
자체 배송 시스템을 운영하는 쿠팡과 달리 이들 이커머스 업체들은 CJ대한통운 등과 계약을 맺고 배송을 진행한다.
앞서 쿠팡은 지난달 29일 고객 계정 약 3370만개의 정보가 유출됐다고 발표하면서 이름과 이메일, 전화번호, 주소, 일부 주문정보 등의 개인 정보가 유출됐다고 밝혔다.
이에 소비자들은 회원 탈퇴와 집단 소송 움직임을 내비치고 있다. 지난달 29, 30일 양일간 쿠팡 집단소송을 준비하는 네이버 카페만 약 10개 이상이 개설됐다. 이 중 '쿠팡 집단소송'이란 제목의 카페 가입자 수는 이날 오전 6시 현재 40만명을 넘어섰다.
이날 쿠팡 주가는 개인정보 유출 발표 전 임원들의 주식 매도에 금융당국이 조사 방침을 밝히면서 하루 만에 소폭 반락했다. 국회 정무위원회는 해외체류를 사유로 국회 현안질의에 불참한 김범석 의장에 대한 고발 검토까지 진행하고 있다.
실적 기대감도 주가를 뒷받침 하고 있는 요인이다. CJ대한통운은 올 상반기까지 초기 투자 비용 등으로 성과가 기대에 미치지 못했지만 지난 3분기 들어 '주7일 배송' 효과가 본격화되며 실적 반등에 성공했다.
최고운 한국투자증권 연구원은 ""CJ대한통운의 배송 서비스 차별화에 따른 시장점유율 상승과 물류 자동화 등 디지털 혁신을 통한 원가 구조 개선 덕분에 3분기 실적이 기대 이상으로 개선됐다""고 분석했다.
이어 ""주 7일 배송 서비스 효과도 본격화되고 있다""며 ""4분기 택배 물량은 추석 연휴 영향에도 5% 증가할 전망""이라며 ""2026년에는 택배 물량과 판가가 5년 만에 동반 개선될 것""이라고 내다봤다.
미국 관세 인상 영향으로 주춤했던 글로벌 부문도 향후 개선 가능성이 크다. CJ대한통운은 직접적인 관세 영향 대신 관세 부과로 인한 무역 물동량 감소의 영향을 받는다.
정연승 NH투자증권 연구원은 ""글로벌 사업부는 컨테이너 운임 하락에 따른 포워딩 매출 감소가 당분간 이어지겠지만, 미국 법인 신설 물류센터 확충으로 인한 외형 성장이 내년부터 가시화되면서 영업이익 유지가 가능할 것""이라고 전망했다.
다만 쿠팡 사태로 인한 반사이익이 단기에 그칠 것이란 전망도 나온다. 로켓배송, 온라인동영상서비스(OTT) 쿠팡플레이 등 쿠팡의 독자적인 서비스가 대체되기 쉽지 않아 회원 이탈이 제한적일 것이란 분석이다.
글로벌 투자은행(IB)인 JP모건은 보고서를 통해 ""쿠팡은 한국 시장에서 비교할 수 없는 지위를 갖고 있다""며 ""한국 소비자들은 데이터 유출 이슈에 상대적으로 민감도가 낮아 고객 이탈은 제한적일 것으로 본다""고 밝혔다.
'야간·새벽배송 금지' 논의가 시작된 것은 실적에 위험 요인이다. 지난 10월 더불어민주당·국토교통부·택배업계·노동계가 모인 '택배 사회적 대화기구' 첫 회의에서 민주노총은 새벽배송 서비스를 전면 금지하자는 주장을 내놨다. 심야 근로를 없애 택배기사들의 과로를 막자는 취지다.
새벽배송 이용자 규모는 현재 약 2000만명에 달하는 것으로 추산된다. CJ대한통운은 올 들어 '주 7일 배송'을 시작하면서 새벽배송을 하고 있다.",새벽배송
세계일보,"경찰 “새벽 배송중 사망한 쿠팡 택배기사, 음주 정황 없다”",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004087642?sid=102,,세계일보,"경찰 “새벽 배송 중 사망한 쿠팡 택배기사, 음주 정황 없다”","제주경찰 수사 종결…사고 당시 음주 측정 안해 논란 초래
지난달 제주에서 새벽 배송을 하다 사고로 숨진 30대 쿠팡 택배 노동자에 대한 음주운전 의혹에 대해 경찰이 구체적 정황이 없다며 수사를 마무리하기로 했다.
제주동부경찰서는 30대 택배노동자 A씨의 사고 당시 행적 등을 종합적으로 검토한 결과 음주운전 혐의를 뒷받침할 만한 구체적 정황이 없어 ‘공소권 없음’으로 수사를 종결한다고 4일 밝혔다.
제주 쿠팡 새벽 택배 트럭 사고 현장. 제주도 소방안전본부 제공
경찰은 A씨의 문자메시지와 당사자 진술, 국과수 감정, 행적에 대한 폐쇄회로(CC)TV 분석 등 수사과정에서 수집된 인적·물적 증거 등을 토대로 수사를 진행했다.
쿠팡 협력업체 소속 특수고용직노동자인 A씨는 지난 11월 10일 오전 2시 10분쯤 제주시 오라2동 한 도로에서 1t 트럭을 몰다 전신주를 들이받았다.
이 사고로 중상을 입은 A씨는 당일 오후 3시 10분쯤 사망했다.
사고는 A씨가 1차 배송을 마치고 2차 배송을 위해 새로운 배송물량을 받으러 물류센터로 복귀하던 중 발생한 것으로 알려졌다.
하지만 사고 당시 경찰이 A씨에 대한 음주 측정을 하지 않은 것으로 알려지면서 초동수사를 부실하게 했다는 논란이 일었다.",새벽배송
세계일보,"경찰 ""새벽배송사망 쿠팡 노동자 음주정황 없다""",네이버뉴스,https://n.news.naver.com/mnews/article/022/0004087642?sid=102,,세계일보,"경찰 “새벽 배송 중 사망한 쿠팡 택배기사, 음주 정황 없다”","제주경찰 수사 종결…사고 당시 음주 측정 안해 논란 초래
지난달 제주에서 새벽 배송을 하다 사고로 숨진 30대 쿠팡 택배 노동자에 대한 음주운전 의혹에 대해 경찰이 구체적 정황이 없다며 수사를 마무리하기로 했다.
제주동부경찰서는 30대 택배노동자 A씨의 사고 당시 행적 등을 종합적으로 검토한 결과 음주운전 혐의를 뒷받침할 만한 구체적 정황이 없어 ‘공소권 없음’으로 수사를 종결한다고 4일 밝혔다.
제주 쿠팡 새벽 택배 트럭 사고 현장. 제주도 소방안전본부 제공
경찰은 A씨의 문자메시지와 당사자 진술, 국과수 감정, 행적에 대한 폐쇄회로(CC)TV 분석 등 수사과정에서 수집된 인적·물적 증거 등을 토대로 수사를 진행했다.
쿠팡 협력업체 소속 특수고용직노동자인 A씨는 지난 11월 10일 오전 2시 10분쯤 제주시 오라2동 한 도로에서 1t 트럭을 몰다 전신주를 들이받았다.
이 사고로 중상을 입은 A씨는 당일 오후 3시 10분쯤 사망했다.
사고는 A씨가 1차 배송을 마치고 2차 배송을 위해 새로운 배송물량을 받으러 물류센터로 복귀하던 중 발생한 것으로 알려졌다.
하지만 사고 당시 경찰이 A씨에 대한 음주 측정을 하지 않은 것으로 알려지면서 초동수사를 부실하게 했다는 논란이 일었다.",새벽배송
세이프타임즈,"제주경찰 ""쿠팡새벽배송사망사고, 음주 정황 없어...'공소권 없음' 사...",,,,,,,새벽배송
서울경제,"새벽배송족 공략…삼성카드, '오아시스 삼성카드' 출시 [코주부]",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004563180?sid=101,,서울경제,"새벽배송족 공략…삼성카드, '오아시스 삼성카드' 출시 [코주부]","새벽배송 전문 '오아시스마켓' 결제 건당 5000원 할인
[서울경제]
새벽배송을 애용하는 소비자를 위한 전용 카드가 출시됐다. 삼성카드가 오아시스마켓과 함께 선보인 ‘오아시스 삼성카드’는 새벽배송 전문 쇼핑몰 오아시스 결제 시 건당 5000원 할인은 물론 커피·의료·올리브영 등 일상 소비까지 폭넓게 지원할 예정이다.
3일 삼성카드는 오아시스마켓과 손잡고 오아시스 삼성카드를 출시했다고 밝혔다. 오아시스마켓은 친환경·유기농 프리미엄 상품을 저렴한 가격에 제공하는 온·오프라인 전문 쇼핑몰이다. 특히 365일 중단 없는 새벽배송 서비스를 제공하여 소비자가 온라인에서도 신선식품을 언제나 안심하고 구매할 수 있는 것이 특징이다.
오아시스 삼성카드는 오아시스마켓 특화 혜택과 오아시스마켓 주 고객 층의 소비 패턴을 반영한 일상 혜택을 제공한다. 먼저 오아시스마켓 온·오프라인 매장에서 3만 원 이상 결제시 5000원 할인을 전월 실적에 따라 월 최대 4회 제공한다. 할인 혜택을 정액으로 제공함으로써 고객이 할인 혜택을 쉽게 체감할 수 있다.
다양한 일상 혜택 또한 제공된다. 커피전문점·델리 이용금액의 50%를 월 5000원까지 할인해준다. 의료 업종 이용시 10% 할인 혜택을 월 최대 1만 원까지, 올리브영·다이소 이용시에는 10% 할인 혜택을 월 최대 1만 원까지 제공한다. 이외에도 해외 가맹점 이용시에는 전월 이용 실적과 할인 한도 없이 1.5%를 할인해준다.
삼성카드와 오아시스는 카드 출시를 기념하여 다양한 프로모션을 오는 12월 31일까지 진행한다. 우선 오아시스마켓에서 오아시스 삼성카드로 4만 원 이상 결제시 3만 원을 캐시백 해준다. 12월 31일까지 오아시스마켓에서 누적 30만 원 이상 이용시에는 추가로 3만 원을 캐시백 해준다. 이상의 캐시백 혜택은 1인 1회 제공된다.
인기상품 할인쿠폰과 7000원 할인쿠폰도 준비되어 있다. 오아시스 삼성카드를 오아시스 앱의 '빠른 결제'에 등록하고 결제하면 인기상품 50% 할인 쿠폰 2매, 4만 원 이상 결제시 7000원 할인 쿠폰 2매를 사용할 수 있다.
연회비는 국내전용, 해외겸용(비자) 모두 1만 5000원이다. 전월 이용실적과 할인한도, 혜택 업종 등 자세한 내용은 삼성카드 홈페이지 또는 삼성카드·모니모 앱을 통해 확인 가능하다.
삼성카드 관계자는 ""오아시스마켓 혜택은 물론 고객이 선호하는 일상 영역에서도 다양한 할인 혜택을 담았다""며 ""앞으로도 다양한 혜택을 제공하는 카드를 지속적으로 선보일 계획""이라고 밝혔다.",새벽배송
서울경제,"삼성카드,새벽배송고객 위한 '오아시스 삼성카드' 출시",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004563180?sid=101,,서울경제,"새벽배송족 공략…삼성카드, '오아시스 삼성카드' 출시 [코주부]","새벽배송 전문 '오아시스마켓' 결제 건당 5000원 할인
[서울경제]
새벽배송을 애용하는 소비자를 위한 전용 카드가 출시됐다. 삼성카드가 오아시스마켓과 함께 선보인 ‘오아시스 삼성카드’는 새벽배송 전문 쇼핑몰 오아시스 결제 시 건당 5000원 할인은 물론 커피·의료·올리브영 등 일상 소비까지 폭넓게 지원할 예정이다.
3일 삼성카드는 오아시스마켓과 손잡고 오아시스 삼성카드를 출시했다고 밝혔다. 오아시스마켓은 친환경·유기농 프리미엄 상품을 저렴한 가격에 제공하는 온·오프라인 전문 쇼핑몰이다. 특히 365일 중단 없는 새벽배송 서비스를 제공하여 소비자가 온라인에서도 신선식품을 언제나 안심하고 구매할 수 있는 것이 특징이다.
오아시스 삼성카드는 오아시스마켓 특화 혜택과 오아시스마켓 주 고객 층의 소비 패턴을 반영한 일상 혜택을 제공한다. 먼저 오아시스마켓 온·오프라인 매장에서 3만 원 이상 결제시 5000원 할인을 전월 실적에 따라 월 최대 4회 제공한다. 할인 혜택을 정액으로 제공함으로써 고객이 할인 혜택을 쉽게 체감할 수 있다.
다양한 일상 혜택 또한 제공된다. 커피전문점·델리 이용금액의 50%를 월 5000원까지 할인해준다. 의료 업종 이용시 10% 할인 혜택을 월 최대 1만 원까지, 올리브영·다이소 이용시에는 10% 할인 혜택을 월 최대 1만 원까지 제공한다. 이외에도 해외 가맹점 이용시에는 전월 이용 실적과 할인 한도 없이 1.5%를 할인해준다.
삼성카드와 오아시스는 카드 출시를 기념하여 다양한 프로모션을 오는 12월 31일까지 진행한다. 우선 오아시스마켓에서 오아시스 삼성카드로 4만 원 이상 결제시 3만 원을 캐시백 해준다. 12월 31일까지 오아시스마켓에서 누적 30만 원 이상 이용시에는 추가로 3만 원을 캐시백 해준다. 이상의 캐시백 혜택은 1인 1회 제공된다.
인기상품 할인쿠폰과 7000원 할인쿠폰도 준비되어 있다. 오아시스 삼성카드를 오아시스 앱의 '빠른 결제'에 등록하고 결제하면 인기상품 50% 할인 쿠폰 2매, 4만 원 이상 결제시 7000원 할인 쿠폰 2매를 사용할 수 있다.
연회비는 국내전용, 해외겸용(비자) 모두 1만 5000원이다. 전월 이용실적과 할인한도, 혜택 업종 등 자세한 내용은 삼성카드 홈페이지 또는 삼성카드·모니모 앱을 통해 확인 가능하다.
삼성카드 관계자는 ""오아시스마켓 혜택은 물론 고객이 선호하는 일상 영역에서도 다양한 할인 혜택을 담았다""며 ""앞으로도 다양한 혜택을 제공하는 카드를 지속적으로 선보일 계획""이라고 밝혔다.",새벽배송
이코노미사이언스,"삼성카드,새벽배송·생활할인 혜택 ‘오아시스 카드’ 공개",,,,,,,새벽배송
