press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"김민석 총리,APEC준비 점검…""인프라 소홀함 없도록 최선 다해야""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013463404?sid=100,,뉴시스,"김민석 총리, APEC 준비 점검…""인프라 소홀함 없도록 최선 다해야""","""한미정상회담 후 특히 APEC 관심 높아져…완성도 높여야""
[서울=뉴시스] 추상철 기자 = 김민석 국무총리가 5일 오전 서울 종로구 정부서울청사에서 열린 APEC 정상회의 제8차 준비위원회에서 모두발언을 하고 있다. 2025.09.05. scchoo@newsis.com
[서울=뉴시스]조재완 기자 = 김민석 국무총리는 5일 오는 10월 경주에서 열릴 APEC(아시아태평양경제협력체) 정상회의 준비와 관련해 ""인프라에 소홀함이 없도록 최선을 다하라""고 지시했다.
김 총리는 이날 오전 정부서울청사에서 '2025년 APEC(아시아태평양경제협력체) 정상회의 제8차 준비위원회'를 열고 ""인프라가 9월 중순, 늦어도 하순이면 다 마무리가 될 것으로 보인다""며 이같이 말했다.
김 총리는 ""이제 APEC 정상회의가 가시권에 들어오는 것 같다""며 "" APEC에 대한 국제적인 관심도 높아지고 있고, 특히 한미 정상회담이 끝난 후 여러 가지 상황을 감안할 때 더 관심이 커지지 않나 생각이 든다""고 말했다.
그는 ""새 정부가 출범하기 전 제일 걱정하던 대목 중 하나가 APEC이었다""며 ""총리로 취임한 후 인프라는 '조성중', 프로그램은 '기획중', 서비스는 '개선중' 이었는데 이게 과연 잘 될지 걱정의 말씀을 드렸고, 그 이후 다들 애써줘 지금 차근차근 준비가 진행되고 있다""고 말했다.
그는 ""이번에는 '초격차 APEC', 'K-APEC'을 하자고 말했는데, 관계 장관들을 포함해 다 준비를 하고 있을 것으로 안다""라며 특히 인프라 준비에 만전을 기해달라고 당부했다.
또 ""각종 프로그램과 문화행사의 완성도를 아주 높여야 될 것 같다""라며 ""APEC을 계기로 해서 한국의 문화적 우수성을 세계에 알리는 특별한 의미가 있기 때문에 그 점을 특별히 챙겨 주실 것을 부탁드린다""고 했다.
아울러 ""디테일을 챙겨야 될 것 같다""라며 ""지난번 동선과 경호 관련된 부분을 다 같이 가서 점검했는데 최종적으로 식사에 이르기까지 모든 부분에 있어 마지막 완성도를 높이는 점검을 해야 될 것 같다""고 했다.
그는 ""특별히 이제 시기가 임박하면 현장에 상황실을 설치해서 거의 매일매일 상황 점검을 해야 될 것 같다""며 ""오늘 회의를 다시 한 번 계기로 해서 모든 부처와 경상북도, 경주시가 함께 최선을 다해 협력하고 APEC을 성공시킬 수 있도록 준비 과정에 다시 한번 박차를 가하면 좋겠다""고 했다．",경주APEC
뉴시스,"트럼프 방한하나…金총리 ""한미회담 후APEC규모 커져""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013463404?sid=100,,뉴시스,"김민석 총리, APEC 준비 점검…""인프라 소홀함 없도록 최선 다해야""","""한미정상회담 후 특히 APEC 관심 높아져…완성도 높여야""
[서울=뉴시스] 추상철 기자 = 김민석 국무총리가 5일 오전 서울 종로구 정부서울청사에서 열린 APEC 정상회의 제8차 준비위원회에서 모두발언을 하고 있다. 2025.09.05. scchoo@newsis.com
[서울=뉴시스]조재완 기자 = 김민석 국무총리는 5일 오는 10월 경주에서 열릴 APEC(아시아태평양경제협력체) 정상회의 준비와 관련해 ""인프라에 소홀함이 없도록 최선을 다하라""고 지시했다.
김 총리는 이날 오전 정부서울청사에서 '2025년 APEC(아시아태평양경제협력체) 정상회의 제8차 준비위원회'를 열고 ""인프라가 9월 중순, 늦어도 하순이면 다 마무리가 될 것으로 보인다""며 이같이 말했다.
김 총리는 ""이제 APEC 정상회의가 가시권에 들어오는 것 같다""며 "" APEC에 대한 국제적인 관심도 높아지고 있고, 특히 한미 정상회담이 끝난 후 여러 가지 상황을 감안할 때 더 관심이 커지지 않나 생각이 든다""고 말했다.
그는 ""새 정부가 출범하기 전 제일 걱정하던 대목 중 하나가 APEC이었다""며 ""총리로 취임한 후 인프라는 '조성중', 프로그램은 '기획중', 서비스는 '개선중' 이었는데 이게 과연 잘 될지 걱정의 말씀을 드렸고, 그 이후 다들 애써줘 지금 차근차근 준비가 진행되고 있다""고 말했다.
그는 ""이번에는 '초격차 APEC', 'K-APEC'을 하자고 말했는데, 관계 장관들을 포함해 다 준비를 하고 있을 것으로 안다""라며 특히 인프라 준비에 만전을 기해달라고 당부했다.
또 ""각종 프로그램과 문화행사의 완성도를 아주 높여야 될 것 같다""라며 ""APEC을 계기로 해서 한국의 문화적 우수성을 세계에 알리는 특별한 의미가 있기 때문에 그 점을 특별히 챙겨 주실 것을 부탁드린다""고 했다.
아울러 ""디테일을 챙겨야 될 것 같다""라며 ""지난번 동선과 경호 관련된 부분을 다 같이 가서 점검했는데 최종적으로 식사에 이르기까지 모든 부분에 있어 마지막 완성도를 높이는 점검을 해야 될 것 같다""고 했다.
그는 ""특별히 이제 시기가 임박하면 현장에 상황실을 설치해서 거의 매일매일 상황 점검을 해야 될 것 같다""며 ""오늘 회의를 다시 한 번 계기로 해서 모든 부처와 경상북도, 경주시가 함께 최선을 다해 협력하고 APEC을 성공시킬 수 있도록 준비 과정에 다시 한번 박차를 가하면 좋겠다""고 했다．",경주APEC
아시아경제,金총리 “APEC인프라 소홀함 없도록 최선 다해야”,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005647546?sid=100,,아시아경제,"트럼프 방한하나…金총리 ""한미회담 후 APEC 규모 커져""","'2025 APEC 정상회의' 제8차 준비위원회
김민석 국무총리는 5일 ""이번 한미 정상회담이 끝난 이후 여러 가지 상황을 감안할 때, (APEC에 대한) 관심도와 규모가 커지지 않는가 이렇게 생각이 든다""고 말했다.
김민석 국무총리가 5일 서울 종로구 정부서울청사에서 열린 APEC 정상회의 준비위원회에 참석, 발언하고 있다. 2025.9.5 조용준 기자
김 총리는 이날 정부서울청사에서 '2025년 아시아·태평양 경제협력체(APEC) 정상회의' 제8차 준비위원회를 주재하고 모두발언에서 ""APEC에 대한 국제적인 관심이 높아지고 있다""며 이같이 말했다. 이번 APEC 행사에 도널드 트럼프 미국 대통령, 시진핑 중국 국가주석 등 주요국 정상의 참석 여부가 아직 확정되지 않은 가운데, 김 총리가 '한미 정상회담'을 콕 짚어 행사 규모가 커질 것이라고 언급한 대목은 트럼프 대통령의 참석 가능성을 염두에 둔 발언으로 해석된다.
김 총리는 ""이제 APEC 정상회의가 가시권에 들어오는 것 같다. 두 달도 안 남았다""며 ""새 정부 출범 전부터 제일 걱정하던 대목 중 하나가 APEC이었는데, 다들 애써줘서 차근차근 준비가 진행되고 있다""고 말했다. 그러면서 ""인프라가 9월 중순, 늦어도 하순이면 다 마무리가 될 것으로 보인다""고 밝혔다.
이어 ""각종 프로그램과 문화행사의 완성도를 높여야 된다""며 ""APEC을 계기로 한국의 문화적 우수성을 세계에 알리는 특별한 의미가 있기 때문에 그 점을 특별히 챙겨 달라""고 당부했다. 외에 주요 참석국 정상의 동선, 경호 등 세부 사항에 대해서도 완성도 있는 준비를 지시했다.
김 총리는 ""시기가 임박하면 (경주 APEC) 현장에 상황실을 설치해 매일매일 상황 점검을 해야 될 것 같다""며 ""모든 부처와 경북도, 경주시가 함께 최선을 다해서 협력해 APEC을 성공시킬 수 있도록 다시 한번 박차를 가하자""고 독려했다.",경주APEC
조선비즈,"김 총리 “경주 APEC정상회의 인프라, 늦어도 이달 마무리…매일 상황...",네이버뉴스,https://n.news.naver.com/mnews/article/366/0001105854?sid=101,,조선비즈,金총리 “APEC 인프라 소홀함 없도록 최선 다해야”,"김민석 국무총리가 5일 서울 종로구 정부서울청사에서 열린 2025년 APEC 정상회의 제8차 준비위원회 회의에서 발언을 하고 있다./뉴스1
김민석 국무총리는 다음달 경주에서 개최하는 APEC(아시아태평양경제협력체) 정상회의와 관련해 “인프라에 소홀함이 없도록 최선을 다하라”고 지시했다.
김 총리는 5일 오전 정부서울청사에서 주재한 ’2025년 APEC(아시아태평양경제협력체) 정상회의 제8차 준비위원회’에서 “인프라가 9월 중순, 늦어도 하순이면 다 마무리가 될 것으로 보인다”면서 이같이 말했다.
김 총리는 “새 정부가 출범하기 전 제일 걱정하던 대목 중 하나가 APEC이었다”라면서 “APEC에 대한 국제적인 관심도 높아지고 있고, 특히 한미 정상회담이 끝난 후 여러 가지 상황을 감안할 때 더 관심이 커지지 않나 생각이 든다”고 했다.
그는 “각종 프로그램과 문화 행사의 완성도를 아주 높여야 될 것 같다”라며 “APEC을 계기로 해서 한국의 문화적 우수성을 세계에 알리는 특별한 의미가 있기 때문에 그 점을 특별히 챙겨 주시길 부탁한다”고 했다.
이어 “디테일을 챙겨야 될 것 같다”면서 “지난번 동선과 경호 관련된 부분을 다 같이 가서 점검했는데 최종적으로 식사에 이르기까지 모든 부분에 있어 마지막 완성도를 높이는 점검을 해야 될 것 같다”고 했다.
그러면서 “APEC을 성공시킬 수 있도록 다시 한번 박차를 가하자”고 덧붙였다.",경주APEC
헤럴드경제,"김 총리 ""APEC정상회의 인프라, 늦어도 9월하순 마무리""",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002524664?sid=101,,헤럴드경제,"김 총리 “경주 APEC 정상회의 인프라, 늦어도 이달 마무리…매일 상황점검”","2025년 APEC 정상회의 제8차 준비위원회 주재
김민석 국무총리가 5일 정부서울청사에서 열린 APEC 정상회의 제8차 준비위원회에서 발언을 하고 있다. [연합]
[헤럴드경제=배문숙 기자]김민석 국무총리는 5일 “(경주 APEC 정상회의) 인프라가 9월 중순, 늦어도 하순이면 다 마무리가 될 것으로 보인다”면서 “인프라를 특별히 지금 챙기고 있는 부처에서는 정말 소홀함이 없도록 최선을 다해달라”고 당부했다.
김 총리는 이날 정부서울청사에서 주재한 APEC(아사이태평양경제협력체) 정상회의 제8차 준비위원회에서 “이제 APEC 정상회의가 가시권에 들어오는 것 같다”며 이같이 말했다.
올해 APEC 정상회의는 내달 31일일부터 오는 11월1일 경북 경주에서 열린다.
김 총리는 “APEC에 대한 국제적인 관심도 높아지고 있고, 전체적인 상황이 특별히 이번에 한미 정상회담이 끝난 이후에 여러 가지 상황을 감안할 때 더 관심도와 규모가 커지지 않는가 이렇게 생각이 든다”고 말했다.
이어 “새 정부가 출범하기 전부터 제일 걱정하던 대목 중에 하나가 APEC이었고, 그래서 총리로 취임한 후에 이게 과연 잘 되겠느냐 하는 걱정의 말씀을 드렸지만 이후에 다들 애써주셔서 지금 차근차근 준비가 진행되고 있다”고 덧붙였다.
그러면서 “만찬장이라든가 몇 가지 부분에 있어서 저희들이 최종 점검을 하면서 과연 이대로 가도 되는지 점검할 부분이 있어 보인다”고 말했다.
또 “각종 프로그램하고 문화행사의 완성도를 아주 높여야 될 것 같다”면서 “ APEC을 계기로 해서 한국의 문화적 우수성을 세계에 알리는 특별한 의미가 있기 때문에 특별히 챙겨 주실 것을 부탁드린다”고 당부했다.
이어 “디테일에 있어서 마지막 완성도를 높이는 점검을 해야 될 것 같다”면서 “특별히 이제 시기가 임박하면은 현장에 상황실을 설치해서 거의 매일매일 상황 점검을 해야 될 것”이라고 말했다.
그러면서 “모든 부처 또 특별히 경상북도, 경주시, 함께 최선을 다해서 협력하고 APEC을 성공시킬 수 있도록 하는 준비 과정에 다시 한번 박차를 가했으면 좋겠다”고 피력했다.",경주APEC
연합뉴스,북중러 밀착에 한국 외교 우려 증폭…경주 APEC외교전 주목,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015607631?sid=100,,연합뉴스,북중러 밀착에 한국 외교 우려 증폭…경주 APEC 외교전 주목,"중·러, '핵보유국' 북한 인정 모양새…북중 회담서도 '비핵화' 언급 없어
다음 외교전 무대는 APEC…한중·미중정상회담 열려 北문제 등 논의할지 관심
김정은, 시진핑과 북중정상회담
(평양 조선중앙통신=연합뉴스) 전승절 80주년 열병식 참석을 위해 중국을 방문한 김정은 북한 국무위원장이 4일 오후 시진핑 중국 국가주석과 양자회담을 개최했다고 조선중앙통신이 5일 이에 대해 보도했다.  2025.9.5
[국내에서만 사용가능. 재배포 금지. For Use Only in the Republic of Korea. No Redistribution] nkphoto@yna.co.kr
(서울=연합뉴스) 김지헌 기자 = 북한, 중국, 러시아가 베이징에서 보여준 결탁이 한국이 우려했던 방향으로 진행되면서 한국 외교가 맞닥뜨린 국제정세의 난도가 더욱 높아졌다는 우려가 나온다.
5일 외교가에 따르면 지난 3일 중국 전승절 80주년 열병식과 4일 북중 정상회담은 장차 한국 입장에서 쉽지 않은 외교적 과제를 던져준 모양새다.
북한 김정은 국무위원장, 중국 시진핑 주석, 러시아 블라디미르 푸틴 대통령이 열병식 관람 망루에 올라 1959년 이후 66년 만에 북중러 정상이 한자리에 서며 '반서방 연대'의 세를 과시했다.
핵무기를 보유하고 있으면서 반미라는 공통 분모를 가진 세 나라가 뭉친 것으로, 중·러가 북한을 사실상 핵보유국으로 인정한 것 아니냐는 분석도 나온다.
북중 정상회담 결과도 우려를 키웠다. 양국은 2018∼2019년 중국에서 4차례, 북한에서 1차례 정상회담을 했는데 그때마다 비핵화를 언급했지만, 이번엔 빠졌다.
북한이 당시와 달리 '비핵화 협상은 없다'고 못 박은 상황에서 '북핵 불용'이라는 중국 정부의 입장이 달라진 것 아니냐는 우려가 나오는 대목이다.
북중러 정상
[AFP=연합뉴스 자료사진. 재판매 및 DB 금지]
애초 중국과 북한이 지난달 28일 김 위원장의 중국 전승절 80주년 계기 방중 계획을 발표할 때만 해도 기대와 우려가 교차했다.
김 위원장의 중국행은 그간 한국과 미국의 지속적인 대화 제안을 철저히 무시하던 북한이 '울타리 밖으로' 나오는 것이라는 관점에서 보면 나쁘지만은 않다는 평가도 있었기 때문이다.
그러나 김 위원장과 시 주석이 마주 앉은 뒤 중국의 북한 핵 용인으로 해석되는 결과가 나오면서 그렇지 않아도 암울했던 비핵화 협상 전망이 더욱 어두워졌다는 분석이 나온다.
러시아에 이어 중국까지 뒷배로 확보한 북한이 미국과 협상에 나설 이유가 더 줄었고, 설사 대화에 나오더라도 비핵화가 아닌 핵보유국으로서 군축을 주제로 삼을 가능성이 커졌기 때문이다.
'미국이 피스메이커, 한국은 페이스메이커'라며 미국이 북한과 대화에 물꼬를 터주길 기대하던 한국의 전략도 먹혀들기 쉽지 않은 구도가 된 것이다.
이재명 대통령(왼쪽)과 시진핑 중국 국가주석
[EPA=연합뉴스·연합뉴스 자료사진. 재판매 및 DB 금지]
외교부 안팎에선 10월 말에서 11월 초 경주에서 열리는 아시아태평양경제협력체(APEC) 정상회의가 한국과 미국, 중국의 정상이 한자리에 모일 것으로 예상되는 중요한 외교전 무대가 될 것으로 보고 있다.
시 주석과 도널드 트럼프 미국 대통령 모두 참석을 확답하진 않고 있지만, 참석하리라는 관측이 지배적이다.
이를 계기로 한중정상회담이 열리면 시 주석에게 한반도 평화를 위한 적극적인 역할을 당부해야 한다는 목소리가 나온다.
시 주석은 김 위원장과 회담에서 ""한반도 문제에 있어 중국은 줄곧 객관적이고 공정한 입장""을 견지해왔다며 ""한반도의 평화와 안정을 지키기 위해 노력할 것""이라고 말했다.
중국이 비핵화 언급을 삼가면서 북한 편을 들어주기는 했으나 한반도 평화를 위한 자국의 역할을 인식하고 있음을 시사했다고 볼 수 있는 대목이다.
지난 2019년 일본 오사카서 만난 미중 정상
[신화=연합뉴스 자료사진. 재판매 및 DB 금지]
트럼프 대통령과 시 주석이 나란히 경주 APEC에 참석해 미중 정상회담이 열린다면 이 또한 빅 이벤트가 될 전망이다. 무역 문제 등이 주요 의제일 가능성이 크지만, 한반도에서 만나는 만큼 북한 문제 또한 깊이있게 다뤄질 수 있다.
두 정상의 대북 메시지가 일치된 방향으로 나온다면 북한을 대화 무대로 나오게 하는 동력이 될 가능성도 있다.
jk@yna.co.kr",경주APEC
뉴시스,"김윤덕 장관,APEC정상회의 대비 김해공항·경주역 점검",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013464682?sid=101,,뉴시스,"김윤덕 장관, APEC 정상회의 대비 김해공항·경주역 점검","""9월까지 주요 시설 개보수 마무리""
[서울=뉴시스] 김윤덕 국토교통부 장관은 5일 오후 김해공항과 경주역 등을 찾아 오는 10월 말 열리는 APEC 정상회의 전 교통과 도로 인프라 준비현황을 점검했다. (사진=국토부 제공) 2025.09.05. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]정진형 기자 = 김윤덕 국토교통부 장관은 5일 오후 김해공항과 경주역 등을 찾아 오는 10월 말 열리는 APEC 정상회의 전 교통과 도로 인프라 준비현황을 점검했다.
이번 현장 점검은 APEC 정상회의 기간 세계 주요 정상과 대표단, 주요 경제인 등의 방한 시 입·출국 경로별 준비상황, 혼잡도 등을 점검하기 위해 마련됐다.
김 장관은 먼저 김해국제공항을 찾아 현장 직원들과 일일이 악수를 하며 그간의 노고를 격려했다. 이후 출입국 이동 동선, 주기장 현황, 공항 내 안내계획, 이달 완공 예정인 국제선 제2출국장 공사 현장 등 시설 내 세부사항을 살펴봤다.
김 장관은 ""공항은 우리나라에 들어올 때 맞이하는 첫인상 이므로 매우 중요하다""며 ""국토부, 공항공사, 공군이 협업해 남은기간 편리한 서비스와 안전 운영을 위한 준비에 만전을 기해달라""고 당부했다.
이후에는 경주역으로 이동하면서 고속도로 및 국도 시설 정비 현황을 점검했다. 경주역에서는 역사 내 화장실, 엘리베이터 등 시설 개량, 대합실 내 참가자 안내계획, 정상급 차량 이용 시 준비 현황 등을 살펴봤다.
김 장관은 현장 점검 뒤 ""항공, 철도, 도로 등 주요 시설의 개량과 보수작업이 9월까지 마무리되도록 해달라""며 ""행사 준비는 기본으로 하면서도, 그 과정에서 국민들이 불편을 겪지 않도록 세심히 챙겨달라""고 말했다．",경주APEC
뉴시스,경주역 살펴보는 김윤덕 장관,네이버뉴스,https://n.news.naver.com/mnews/article/003/0013464682?sid=101,,뉴시스,"김윤덕 장관, APEC 정상회의 대비 김해공항·경주역 점검","""9월까지 주요 시설 개보수 마무리""
[서울=뉴시스] 김윤덕 국토교통부 장관은 5일 오후 김해공항과 경주역 등을 찾아 오는 10월 말 열리는 APEC 정상회의 전 교통과 도로 인프라 준비현황을 점검했다. (사진=국토부 제공) 2025.09.05. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]정진형 기자 = 김윤덕 국토교통부 장관은 5일 오후 김해공항과 경주역 등을 찾아 오는 10월 말 열리는 APEC 정상회의 전 교통과 도로 인프라 준비현황을 점검했다.
이번 현장 점검은 APEC 정상회의 기간 세계 주요 정상과 대표단, 주요 경제인 등의 방한 시 입·출국 경로별 준비상황, 혼잡도 등을 점검하기 위해 마련됐다.
김 장관은 먼저 김해국제공항을 찾아 현장 직원들과 일일이 악수를 하며 그간의 노고를 격려했다. 이후 출입국 이동 동선, 주기장 현황, 공항 내 안내계획, 이달 완공 예정인 국제선 제2출국장 공사 현장 등 시설 내 세부사항을 살펴봤다.
김 장관은 ""공항은 우리나라에 들어올 때 맞이하는 첫인상 이므로 매우 중요하다""며 ""국토부, 공항공사, 공군이 협업해 남은기간 편리한 서비스와 안전 운영을 위한 준비에 만전을 기해달라""고 당부했다.
이후에는 경주역으로 이동하면서 고속도로 및 국도 시설 정비 현황을 점검했다. 경주역에서는 역사 내 화장실, 엘리베이터 등 시설 개량, 대합실 내 참가자 안내계획, 정상급 차량 이용 시 준비 현황 등을 살펴봤다.
김 장관은 현장 점검 뒤 ""항공, 철도, 도로 등 주요 시설의 개량과 보수작업이 9월까지 마무리되도록 해달라""며 ""행사 준비는 기본으로 하면서도, 그 과정에서 국민들이 불편을 겪지 않도록 세심히 챙겨달라""고 말했다．",경주APEC
연합뉴스,"김윤덕 국토장관,APEC정상회의 대비 김해공항 등 인프라 점검",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015608708?sid=104,,연합뉴스,경주역 살펴보는 김윤덕 장관,"(서울=연합뉴스) 김윤덕 국토교통부 장관이 5일 APEC 정상회의를 대비하여 경주역에서 준비 현황을 살펴보고 있다. 2025.9.5 [국토교통부 제공. 재판매 및 DB 금지]
photo@yna.co.kr",경주APEC
매일경제,"LG 홍보영상 띄우고 현대는 의전차량 제공...재계,APEC세일즈 나서",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005553229?sid=101,,매일경제,"LG 홍보영상 띄우고 현대는 의전차량 제공...재계, APEC 세일즈 나서","李정부 첫 대규모 국제행사 APEC
성공적 개최 위해 지원 나선 기업들
재계 관계자 “글로벌 기업인들에게
한국 경제의 저력 알릴 좋은 기회”
주요 기업들이 ‘2025 경주 APEC 정상회의(이하 APEC)’ 개최와 관련글로벌 재계 거물 초청부터 대외홍보와 차량 제공 등 물심양면 지원에 나섰다. APEC이 이재명 정부 출범 이후 국내에서 처음으로 치러지는 대규모 국제행사인 만큼 정부와 긴밀히 협업해 성공적인 개최를 돕기 위해서다.
최태원 회장, 글로벌 CEO 초청 총력전
사진은 기사와 직접 관련 없음. [사진 출처 = 연합뉴스]
4일 재계에 따르면 최태원 SK그룹 회장 겸 대한상공회의소 회장은 APEC 정상회의 주간에 개최되는 최고경영자(CEO) 서밋 및 정상-APEC기업 자문위원과의 대화 등 각종 경제인 행사를 위해 동분서주하고 있다.
지난 2005년 이후 20년만에 한국에서 APEC 정상회의가 열리는데다 APEC CEO 서밋의 경우 APEC 회원국 정상과 글로벌 기업 CEO들이 한자리에 모여 다양한 어젠다를 논의할 수 있는 비즈니스 포럼이어서다.
특히 지난해 11월 APEC CEO 회의 의사봉을 넘겨받은 최 회장은 CEO 서밋의 흥행을 위해 미국, 유럽, 동남아 등지의 글로벌 테크·제조·금융 CEO들을 대상으로 초청 전략을 본격화했다. 일례로 최근 APEC 정상회의에 참석을 확정한 젠슨 황 엔비디아 CEO의 경우 최 회장으로부터 CEO 서밋 초청도 받은 것으로 알려졌다.
재계 관계자는 “최 회장은 지난 3월부터 경주를 찾아 APEC 행사장 부지와 지역 인프라 등을 세심하게 점검하고 있다”며 “대한상의 하계포럼도 경주에서 열며 CEO 서밋의 성공 의지를 다지는 모습이다”고 말했다.
LG, 뉴욕·런던 등 세계 랜드마크서 APEC 홍보전
뉴욕 타임스스퀘어 전광판에서 상영 중인 APEC 정상회의 홍보영상. [사진출처 = LG]
LG는 지난 2일(현지시간)부터 뉴욕 타임스스퀘어, 런던 피카딜리광장 등 세계적 명소에서 APEC 관련 홍보영상을 상영하고 있다. 경주에서 열리는 APEC 정상회의를 전 세계인들에게 알리기 위함이다.
2025년 APEC 정상회의 준비기획단이 제작한 홍보영상에는 첨성대, 얼굴무늬 수막새 기와, 금관 등 경주의 대표 문화유산과 APEC 공식 홍보대사인 지드래곤을 비롯해 블랙핑크, BTS 등 주요 K-팝 아이돌의 모습을 함께 담아 대한민국의 문화적 위상을 강조하고 있다.
LG는 지난주부터 광화문, 시청, 명동, 강남 등 유동 인구가 많은 서울 주요 지역의 대형 전광판을 통해 ‘CEO 서밋’을 알리는 영상도 송출 중이다.
현대차, 장관회의 의전차량 전면 지원
[사진 출처 = 현대차그룹]
현대차그룹은 인천에서 개최 예정인 APEC 재무장관회의 및 구조개혁장관회의 지원을 위해 공식 협찬 관련 양해각서(MOU)를 체결했다.
현대차그룹은 이에 따라 회의기간인 오는 10월 21일부터 23일 동안 G80, 아이오닉9, EV9 등 친환경 전기차량과 G90·K9 등 글로벌 시장에서 품질과 경쟁력을 인정받은 차종을 의전차량으로 지원할 예정이다.
신승규 현대차그룹 전무는 이와 관련 “이번 APEC 재무·구조개혁장관회의는 APEC 정상회의와 더불어 국내 자동차 산업의 우수한 기술력과 미래지향적인 브랜드 이미지를 강화할 수 있는 좋은 기회가 될 것”이라며 “적극적인 협력을 아끼지 않겠다”고 말했다.
올해 APEC 정상회의는 내달 31일부터 11월 1일까지 이틀간 경주에서 개최되며 21개국 정상과 대표단 약 2만여명이 참석할 예정이다. 재계에 따르면 정상회의 기간 열리는 CEO 서밋을 위해선 약 1700명의 글로벌 기업인이 경주에 집결할 것으로 전망된다.
재계 관계자는 “새 정부 들어 처음 열리는 국제적인 행사여서 기대가 크다”며 “글로벌 기업인들에게 한국 경제의 저력을 알릴 수 있는 좋은 기회이기도 해 직간접적인 지원에 나서고 있다”고 말했다.",경주APEC
