press,title,naver_news_text,naver_news_url,body
JTBC,전세계 파고드는스테이블코인…갈 길 먼 한국 / 풀버전,네이버뉴스,https://n.news.naver.com/mnews/article/437/0000462825?sid=101,
JTBC,"씨티·코인베이스,스테이블코인결제 확대…GENIUS 법안 앞두고 인프라...",네이버뉴스,https://n.news.naver.com/mnews/article/437/0000462825?sid=101,
토큰포스트,실생활 파고든 '미래 화폐'스테이블코인…세계 곳곳 도입 준비,,,
JTBC,"사용량 100억 달러 돌파…스테이블코인, 비트코인과 다른 점은?",네이버뉴스,https://n.news.naver.com/mnews/article/437/0000462815?sid=101,
JTBC,총동문회 회비도스테이블코인으로…활용 늘지만 제도화는 아직,네이버뉴스,https://n.news.naver.com/mnews/article/437/0000462816?sid=101,
주간조선,北이 돈세탁한 캄보디아 '그곳'...韓코인도 얽혔다,네이버뉴스,https://n.news.naver.com/mnews/article/053/0000053261?sid=102,
이데일리,"코인베이스, 2.8조원 규모 英핀테크기업 인수 추진…스테이블코인사업...",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006153397?sid=101,
이데일리,"코인베이스, 20억달러에스테이블코인결제 인프라 기업 BVNK 인수 임박",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006153397?sid=101,
주간한국,"우리금융 '스테이블코인·AI'로 혁신금융 전략 확대…""신시장 실험""",,,
톱스타뉴스,"테더 T3 금융범죄대응단, 불법 자금 3억 달러 동결…스테이블코인자율...",,,
서울경제,"헥토그룹,스테이블코인시대 겨냥…블록체인 기술 확보 총력",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004550611?sid=105,
디지털투데이,"스테이블코인발행사들, 크립토판 하루 매출 중 최대 75% 차지",,,
토큰포스트,"스테이블코인기반 실사용 급증…암호화폐, '탈중앙 철학' 넘어 일상 속...",,,
이데일리,“빅테크스테이블코인에 銀 수준의 규제·감독 필수”,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006153415?sid=101,
한국경제,"주가 192% 폭등했는데…""상투 잡았나"" 개미들 '전전긍긍' [윤현주의 主食...",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005205443?sid=101,
