press,title,naver_news_text,naver_news_url,body
YTN,EU 신차시장에서 전기차점유율사상 처음으로 10% 돌파,네이버뉴스,https://n.news.naver.com/mnews/article/052/0001844530?sid=104,
YTN,[자막뉴스] 역대 최대점유율...유럽에서는 전기차가 대세?,네이버뉴스,https://n.news.naver.com/mnews/article/052/0001844530?sid=104,
EV라운지,역대급시장 점유율‘푸조’… 지난해 105만6182대 판매,,,
EV라운지,"푸조, 2023년 105만6천여 대 글로벌 판매… 38개국서 브랜드 역대 최고 ...",,,
에이빙뉴스,"푸조, 지난해 105만6,182대 판매 기록… 38개국서 역대 최고점유율달성",,,
연합뉴스,"中 전자상거래업체 징둥, 인니·태국서 철수…""시장점유율하락""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013730875?sid=104,
신아일보,보령 '탁솔' 국내 독점판매권 확보…점유율1위 목표,,,
더벨,[더벨][퇴직연금시장분석]보험권점유율하락 지속…삼성생명 40조 돌파,,,
더구루,"[단독] 조현준식 美점유율확대 전략 베일벗다…효성TNS, 새 브랜드 론...",,,
뉴시스,"SK, 경북에 5조5천억 통큰 투자…반도체 특화단지 청신호",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011670519?sid=102,
뉴시스,"SK그룹, 경북에 2025년까지 5조5천억 투자(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011670519?sid=102,
연합뉴스,"SK실트론 ""2025년까지 경북 5조5천억 투자""…경북도 '지방교육혁신정책...",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013732220?sid=105,
매일신문,"SK실트론, 구미 반도체 웨이퍼 공장증설에 1조2천억 투자",네이버뉴스,https://n.news.naver.com/mnews/article/088/0000796308?sid=102,
연합뉴스,"SK실트론, 구미에 1조2360억 투자 공장증설",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013732091?sid=105,
매일경제,"아모레퍼시픽그룹, 지난해 영업익 2719억원…전년비 23.7%↓",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005082384?sid=103,
매일경제,"中 봉쇄에도 아모레G 선방…""온라인·북미 호조""",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005082384?sid=103,
서울경제,"美·유럽 선전했지만.....아모레퍼시픽그룹, 작년 영업익 24% 감소",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004151355?sid=101,
일간스포츠,"아모레퍼시픽그룹, 작년 영업익 2719억…전년비 23.7%↓",네이버뉴스,https://n.news.naver.com/mnews/article/241/0003254907?sid=101,
뉴시스,아모레퍼시픽그룹 지난해 영업이익 2719억 원…전년 대비 23.7% ↓,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011670528?sid=101,
서울경제,"심텍, 청주산단에 증설투자 나서",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004151193?sid=102,
서울경제,(주)심텍 청주산단 내 설비투자 증설… 인쇄회로기판 생산 확대,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004151193?sid=102,
더팩트,"㈜심텍, 청주산단에 반도체 설비 증설 투자 협약",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000198350?sid=102,
조선비즈,"국산차 5개사, 1월 국내외에서 57만6032대 판매… 전년比 9%↑",네이버뉴스,https://n.news.naver.com/mnews/article/366/0000874057?sid=103,
