press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
TV조선,"8월 물가 3.4%↑ '넉 달 만에 최대상승'…사과가격, 30% 급등",네이버뉴스,https://n.news.naver.com/mnews/article/448/0000426267?sid=101,,TV조선,"8월 물가 3.4%↑ '넉 달 만에 최대 상승'…사과 가격, 30% 급등","김보경 통계청 경제동향통계심의관이 5일 오전 세종시 정부세종청사에서 2023년 8월 소비자물가동향을 발표하고 있다. /연합뉴스
지난 달 소비자물가가 폭염·폭우 등 영향으로 4개월 만에 최대폭으로 상승했다.
농축수산물과 서비스, 공업제품, 전기와 가스 요금 등이 모두 상승한 여파이다.
통계청이 5일 발표한 '2023년 8월 소비자물가 동향'을 보면 지난달 소비자물가지수는 1년 전보다 3.4% 상승했다.
지난 4월 3.7%를 기록한 뒤로 4개월 만에 가장 큰 폭이다.
물가상승률은 지난 5월 3.3%에서 6월 2.7%로 2%대를 기록한 뒤, 7월 2.3%까지 낮아졌지만 석 달 만에 3%대를 기록하게 됐다.
품목별로 보면 폭염·폭우 등 이상기후 영향으로 농산물은 1년 전보다 5.4% 올라 전체 물가를 0.26%p 끌어올렸다.
특히 사과(30.5%), 복숭아(23.8%) 등이 1년 전에 비해 큰 폭으로 올랐다.
반면 석유류는 11.0% 하락했다. 7월까지 계속된 기저효과가 사라지면서 전달(-25.9%)보다 하락 폭이 축소됐다.
전기·가스·수도 가격은 1년 전보다 21.1% 상승하며 전달과 같은 상승 폭을 유지했다.
또 물가의 기조적 흐름을 보여주는 근원물가 지수는 전년 대비 3.9% 상승하면서 전달과 같은 수준을 유지했다.
김보경 통계청 경제동향통계심의관은 ""8월 물가가 기조적 물가 흐름이 바뀌었다기보다는 일시적 요인에 의한 변동이었다는 의미로 볼 수 있다""고 말했다.",가격상승
TV조선,[속보]8월 소비자물가상승률 3.4%…7개월만에 둔화세 멈춰,네이버뉴스,https://n.news.naver.com/mnews/article/448/0000426267?sid=101,,TV조선,"8월 물가 3.4%↑ '넉 달 만에 최대 상승'…사과 가격, 30% 급등","김보경 통계청 경제동향통계심의관이 5일 오전 세종시 정부세종청사에서 2023년 8월 소비자물가동향을 발표하고 있다. /연합뉴스
지난 달 소비자물가가 폭염·폭우 등 영향으로 4개월 만에 최대폭으로 상승했다.
농축수산물과 서비스, 공업제품, 전기와 가스 요금 등이 모두 상승한 여파이다.
통계청이 5일 발표한 '2023년 8월 소비자물가 동향'을 보면 지난달 소비자물가지수는 1년 전보다 3.4% 상승했다.
지난 4월 3.7%를 기록한 뒤로 4개월 만에 가장 큰 폭이다.
물가상승률은 지난 5월 3.3%에서 6월 2.7%로 2%대를 기록한 뒤, 7월 2.3%까지 낮아졌지만 석 달 만에 3%대를 기록하게 됐다.
품목별로 보면 폭염·폭우 등 이상기후 영향으로 농산물은 1년 전보다 5.4% 올라 전체 물가를 0.26%p 끌어올렸다.
특히 사과(30.5%), 복숭아(23.8%) 등이 1년 전에 비해 큰 폭으로 올랐다.
반면 석유류는 11.0% 하락했다. 7월까지 계속된 기저효과가 사라지면서 전달(-25.9%)보다 하락 폭이 축소됐다.
전기·가스·수도 가격은 1년 전보다 21.1% 상승하며 전달과 같은 상승 폭을 유지했다.
또 물가의 기조적 흐름을 보여주는 근원물가 지수는 전년 대비 3.9% 상승하면서 전달과 같은 수준을 유지했다.
김보경 통계청 경제동향통계심의관은 ""8월 물가가 기조적 물가 흐름이 바뀌었다기보다는 일시적 요인에 의한 변동이었다는 의미로 볼 수 있다""고 말했다.",가격상승
더팩트,"추석 앞두고 사과·배가격 상승…농식품부 ""수급 안정 최선""",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000236708?sid=101,,더팩트,"추석 앞두고 사과·배 가격 상승…농식품부 ""수급 안정 최선""","8월 농축산물 소비자물가 2.3% ↑
농식품부는 8월 농축산물 소비자물가 지수가 전년 동월대비 2.3% 상승했다고 5일 밝혔다. 사진은 농식품부 전경./뉴시스
추석을 앞두고 사과, 배 가격이 강세를 유지할 것으로 보인다.
농식품부는 8월 농축산물 소비자물가 지수가 전년 동월대비 2.3% 상승했다고 5일 밝혔다.
이는 집중호우와 폭염, 태풍 등의 영향으로 과일류와 채소류 가격이 상승했고, 2022년산 쌀 민간 재고 물량이 감소하며 쌀 가격이 상승한 데 따른 것이다.
지난달 농축산물 중 전월보다 가격이 상승한 품목은 배추(42.4%), 사과(12.1%), 수박(29.1%), 시금치(59.3%), 토마토(27.3%) 등이다.
지난해 8월과 비교하면, 사과(30.5%), 쌀(7.8%), 수박(18.6%), 복숭아(23.8%), 고구마(22.0%), 고춧가루(9.3%) 등이 큰 폭의 상승세를 기록했다.
전월보다 하락한 품목은 수입쇠고기(-1.8%), 마늘(-1.4%) 등이다. 전년 동월 대비로는 국산쇠고기(-6.0%), 배추(-16.7%), 수입쇠고기(-7.3%), 마늘(-13.0%) 등이다.
농식품부는 ""9월 농축산물 수급 상황은 전반적으로 안정세를 유지할 것으로 전망되나 봄철 저온과 서리 피해가 발생한 사과, 배는 상품(上品)을 중심으로 가격이 높을 것으로 예상된다""고 밝혔다.
현재 사과와 배 가격은 1년 전보다 높은 수준을 유지하고 있다. 한국농수산식품유통공사(aT) 농산물유통정보에 따르면 전날 사과(홍로·상품) 도매가격은 10kg에 8만4800원으로 1년 전 5만 3025원보다 59.9% 높다. 배(원황·상품) 도매 가격은 전날 15kg에 5만 6780원으로, 1년 전(4만 4575원)과 비교해 27.4% 비싸다.
농식품부는 소비자 부담을 줄이기 위해 추석 성수품 공급을 확대하고 농축산물 할인 판매를 지원하고 있다.
추석 3주 전인 7일부터 역대 최대 규모인 14만 9000억 톤 성수품을 공급하고 농축산물 할인지원 예산을 전년 403억 원에서 410억 원으로 늘린다.
박수진 농식품부 식량정책실장은 ""수급 안정 대책반을 구성해 성수품 수급 상황을 매일 점검하고, 불안 요인이 발생할 경우 신속하게 대응하는 등 농축산물 수급 안정에 최선을 다하겠다""고 말했다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",가격상승
더팩트,"농식품부 ""추석 앞두고 사과·배가격높아…수급 안정에 최선""",네이버뉴스,https://n.news.naver.com/mnews/article/629/0000236708?sid=101,,더팩트,"추석 앞두고 사과·배 가격 상승…농식품부 ""수급 안정 최선""","8월 농축산물 소비자물가 2.3% ↑
농식품부는 8월 농축산물 소비자물가 지수가 전년 동월대비 2.3% 상승했다고 5일 밝혔다. 사진은 농식품부 전경./뉴시스
추석을 앞두고 사과, 배 가격이 강세를 유지할 것으로 보인다.
농식품부는 8월 농축산물 소비자물가 지수가 전년 동월대비 2.3% 상승했다고 5일 밝혔다.
이는 집중호우와 폭염, 태풍 등의 영향으로 과일류와 채소류 가격이 상승했고, 2022년산 쌀 민간 재고 물량이 감소하며 쌀 가격이 상승한 데 따른 것이다.
지난달 농축산물 중 전월보다 가격이 상승한 품목은 배추(42.4%), 사과(12.1%), 수박(29.1%), 시금치(59.3%), 토마토(27.3%) 등이다.
지난해 8월과 비교하면, 사과(30.5%), 쌀(7.8%), 수박(18.6%), 복숭아(23.8%), 고구마(22.0%), 고춧가루(9.3%) 등이 큰 폭의 상승세를 기록했다.
전월보다 하락한 품목은 수입쇠고기(-1.8%), 마늘(-1.4%) 등이다. 전년 동월 대비로는 국산쇠고기(-6.0%), 배추(-16.7%), 수입쇠고기(-7.3%), 마늘(-13.0%) 등이다.
농식품부는 ""9월 농축산물 수급 상황은 전반적으로 안정세를 유지할 것으로 전망되나 봄철 저온과 서리 피해가 발생한 사과, 배는 상품(上品)을 중심으로 가격이 높을 것으로 예상된다""고 밝혔다.
현재 사과와 배 가격은 1년 전보다 높은 수준을 유지하고 있다. 한국농수산식품유통공사(aT) 농산물유통정보에 따르면 전날 사과(홍로·상품) 도매가격은 10kg에 8만4800원으로 1년 전 5만 3025원보다 59.9% 높다. 배(원황·상품) 도매 가격은 전날 15kg에 5만 6780원으로, 1년 전(4만 4575원)과 비교해 27.4% 비싸다.
농식품부는 소비자 부담을 줄이기 위해 추석 성수품 공급을 확대하고 농축산물 할인 판매를 지원하고 있다.
추석 3주 전인 7일부터 역대 최대 규모인 14만 9000억 톤 성수품을 공급하고 농축산물 할인지원 예산을 전년 403억 원에서 410억 원으로 늘린다.
박수진 농식품부 식량정책실장은 ""수급 안정 대책반을 구성해 성수품 수급 상황을 매일 점검하고, 불안 요인이 발생할 경우 신속하게 대응하는 등 농축산물 수급 안정에 최선을 다하겠다""고 말했다.
발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.
▶카카오톡: '더팩트제보' 검색
▶이메일: jebo@tf.co.kr
▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",가격상승
KBS,하반기 수도권 아파트 ‘가격 상승거래’ 비중 감소,네이버뉴스,https://n.news.naver.com/mnews/article/056/0011558422?sid=101,,KBS,하반기 수도권 아파트 ‘가격 상승 거래’ 비중 감소,"하반기 들어 수도권 아파트 매매 시장에 직전 거래가 대비 상승 거래 비중이 줄어든 것으로 나타났습니다.
연초 급매물 소진 이후 가격이 많이 오르면서, 추가 상승 동력이 다소 약해진 게 아니냐는 분석이 나옵니다.
부동산R114와 연합뉴스는 오늘(3일) 국토교통부 실거래가 시스템에 신고된 수도권 아파트 거래가를 분석한 결과를 제시했습니다.
그 결과 2분기(4∼6월)와 7∼8월에 동일 아파트, 동일 면적에서 1건 이상 거래가 체결된 총 8,700건 중에서 2분기 대비 7∼8월에 거래가가 오른 상승 거래는 전체의 55%(4,764건)로 집계됐습니다.
같은 조건에서 1분기 대비 2분기의 상승 거래 비중이 65%였던 것에 비해 10%포인트 감소한 수치입니다.
상반기에 인기 단지를 중심으로 급매물이 소진되고 실거래가가 급격하게 오르면서, 하반기 들어 상승 거래가 다소 주춤해진 걸로 보입니다.
이에 비해 7∼8월 하락 거래는 39%로, 2분기의 30%에 비해 9%포인트가량 증가했습니다.
보합 거래는 2분기 5%에서 7∼8월 6%로 늘었습니다.
먼저, 서울의 경우 상승 거래 비중이 2분기 72%에서 7∼8월에는 62%로 감소했습니다.
상승 거래 비중이 여전히 높은 편이지만, 7∼8월 하락 거래도 32%를 기록하며 2분기(24%)보다 증가했습니다.
구별로 보면 2분기에 상승 거래 비중이 84.9%에 달하며 서울 아파트값 상승을 이끌었던 강동구는 7∼8월 상승 거래 비중이 61.8%로 23.1%포인트나 급감했습니다.
2분기에 상승 거래가 88.1%에 달했던 송파구도 7∼8월 66.7%로 21.5%포인트 감소했습니다.
이에 비해 2분기에 상승 거래 비중이 58.8%에 그쳤던 강북구는 상승 거래 비중이 69.0%로 10%포인트 이상 증가했습니다.
은평구는 상승 거래 비중이 67.1%에서 69.3%로 2.2%포인트 확대됐습니다.
부동산R114 여경희 수석연구원은 “상반기에 가격 회복 속도가 가팔랐던 곳은 매수자들이 오른 가격을 부담스러워하면서 하반기 들어 상승 거래가 줄어든 반면, 상반기에 상승 거래가 상대적으로 작았던 곳은 하반기에 접어들면서 실거래가가 오른 곳이 늘었다”고 말했습니다.
경기와 인천도 3분기로 접어들면서 전체적으로 상승 거래가 주춤했습니다.
경기도의 상승 거래는 2분기 64%에서 7∼8월 54%로 줄었고, 2분기에 59%의 거래가격이 올랐던 인천은 7∼8월 상승 거래 비중이 49%를 기록했습니다.
이 같은 분위기는 거래량 감소에도 영향을 미쳤습니다.
서울부동산정보광장에 따르면 지난 7월 서울 아파트 거래 건수는 총 3,589건으로 6월 3,849건보다 소폭 감소했습니다.
여름 휴가, 장마 등 계절적 요인 외에도 상반기 가격 상승에 대한 피로감으로 인해 거래량이 줄어든 것으로 보입니다.
상반기 아파트값 상승 폭이 컸던 송파구의 경우 지난 5월 거래량 294건에서 6월 286건, 7월에는 266건으로 두 달 연속 감소했습니다.
[사진 출처 : 연합뉴스]
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",가격상승
뉴시스,철광석·원료탄가격 상승…조선 후판 가격협상 '난항',네이버뉴스,https://n.news.naver.com/mnews/article/003/0012068236?sid=101,,뉴시스,철광석·원료탄 가격 상승…조선 후판 가격협상 '난항',"철강사 원자재값 5월 이후 우상향
中 조강생산량 증가와 낮은 재고 등 원인
철강사vs조선사 후판 줄다리기…장기화 가능성도
[광양=포스코] 전남 포스코 광양제철소 3열연공장에서 철강 반제품인 슬라브(Slab)가 생산되고 있다. (사진=포스코 제공) 2023.06.30. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스] 이다솜 기자 = 철광석과 제철용 원료탄 가격이 오르면서 철강업계의 원가 부담이 커지고 있다. 원자재 가격 상승분을 판가에 연동해야 한다는 입장이지만, 조선사들은 이와 달리 가격 인하를 요구하며 두 업계의 의견 대립이 첨예한 상황이다.
4일 한국광해광업공단 한국자원정보서비스(KOMIS)에 따르면 지난달 25일 기준 철광석 가격은 톤당 113.85달러를 기록했다. 지난달 5월 톤당 100.31달러로 저점을 기록한 뒤 우상향 추세다.
제품 원가의 큰 부분을 차지하는 제철용 원료탄 역시 가격이 오르고 있다. 한국광해광업공단이 발표한 8월 다섯째 주 주간광물가격동향에 따르면 제철용 원료탄 가격은 톤당 267.25달러로 5월 첫째 주 기록한 233.56달러 대비 30달러 이상 오른 상황이다.
이는 세계 최대 철강 생산국인 중국의 조강 생산량 증가가 주 원인이다. 업계에 따르면 1~7월 누적 중국의 조강 생산량은 6억2651만톤으로 전년 동기 대비 2.5% 증가했다. 특히 7월에만 9080만톤을 생산하며 지난해 7월보다 11.5% 생산량이 늘었다. 이처럼 조강 생산량이 증가하는 경우 철강 원자재인 철광석과 연료탄에 대한 수요가 증가하게 된다.
원자재값이 오르면서 중국 철강업체들의 비축 수요가 줄어들었고, 이에 따라 재고 수준이 낮아진 것도 영향을 미쳤다. 중국의 철광석 수입량은 1~7년 누적 6만7000톤으로 전년 대비 6.9% 증가하며 2년 연속 감소세를 뒤집었다. 그럼에도 8월 넷째 주 기준 중국 주요 항구의 철광석 재고량은 1억1800만톤으로 전년 동기 대비 1470만톤가량 감소한 상황이다.
이유진 유진투자증권 연구원은 ""낮은 원재료 재고량으로 조강생산량 규제가 돌입했음에도 불구, 높아진 원자재 가격이 하반기에도 계속 유지될 것""이라고 전망했다.
원자재 가격 상승으로 원가 부담을 떠안게 된 철강업계는 제품 가격 인상에 대한 고민이 깊어지고 있다. 이에 따라 조선업계와의 후판 가격 협상도 난항을 겪을 예정이다.
조선용 후판은 두께 6mm 이상의 두꺼운 철판으로, 선박 제조 원가의 20%가량을 차지한다. 후판 가격이 올라갈수록 조선사의 수익성이 악화되는 구조다. 조선업계는 중국산·일본산 등 글로벌 후판 가격이 인하된 만큼 국내 철강사 역시 가격을 인하해야 한다고 강력히 주장하고 있다. 다만 철강업계는 판가가 원자재 가격 외에도 다양한 사항을 복합적으로 고려해 결정하는 만큼 가격을 내리기 쉽지 않다는 입장이다.
이견이 오가면서 조선사와 철강사들의 줄다리기가 장기화될 가능성도 커졌다. 상반기에도 두 업계가 협의점을 찾지 못하면서 통상 3~4월에 마무리되는 가격 협상이 한 달가량 늦어진 바 있다. 당시 철광석 가격과 산업용 전기 요금 인상 등으로 후판 가격이 톤당 90만원 중반대로 소폭 인상됐다.
조선업계 관계자는 ""아직 조선사와의 후판 가격 협상이 진행 중으로 ""양측 의견 조율할 부분이 많아질 경우 늦어질 수 있다""고 설명했다．",가격상승
마켓뉴스,"농식품부, ""8월 채소류‧과일류가격 상승... 수급안정 최선""",,,,,,,가격상승
마켓뉴스,사과 30.5%↑·쌀 7.8%↑…농산물이 끌어올린 먹거리 물가,,,,,,,가격상승
서울경제,"KRX금가격, 0.13%상승한 1g당 8만2860원(9월 5일)",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004234512?sid=101,,서울경제,"KRX금 가격, 0.13% 상승한 1g당 8만2860원(9월 5일)","[데이터로 보는 증시]
[서울경제]
5일 KRX금 가격이 2거래일 연속 상승했다.
이날 금 가격은 전일보다 110원(0.13%) 상승한 1g당 8만 2860원으로 거래를 마쳤다.. 거래량과 거래대금은 각각 4만 7429g, 39억 2079만원을 기록했다.
4일(현지시간) 뉴욕상업거래소는 노동절로 휴장했다.",가격상승
중도일보,8월 농산물가격 상승… 충청권 물가상승률 다시 3%대,,,,,,,가격상승
