press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
이데일리,"日 재무상 ""일본,물가·임금상승에도 아직 디플레이션 극복 못해""",네이버뉴스,https://n.news.naver.com/mnews/article/018/0005970623?sid=101,,이데일리,"日 재무상 ""일본, 물가·임금 상승에도 아직 디플레이션 극복 못해""","파이낸셜타임스 인터뷰
""소비자·기저물가 등 종합적으로 살펴야""
""디플레 탈출 선언, 회기 가능성 확신할 때 가능""
[이데일리 양지윤 기자] 가토 가쓰노부 일본 재무상이 일본이 아직 디스플레이션(경기 침체 속 물가 하락)을 극복하지 못했다고 진단했다.
가토 가쓰노부 일본 재무상. (사진=EPA 연합뉴스)
가토 재무상은 24일(현지시간) 파이낸셜타임스(FT)와 인터뷰에서 “수년간 지속적으로 상승한 소비자 물가와 30년 만에 최대 폭의 임금 인상에도 디플레이션을 극복하지 못했다”고 밝혔다.
그의 발언은 일본은행이 지난해3월 정책금리를 17년 만에 인상하고, 8년 간 지속한 마이너스 금리 정책을 폐기하는 등 금융 정상화를 추진한지 15개월 만에 나와 주목을 끈다.
가토 재무상은 일본이 물가 상승을 경험하고 있으며 다른 경제 지표들도 추세적으로 긍정적인 방향으로 보인다고 평가했다. 다만 정부의 디플레이션 탈출 선언은 디플레이션으로 다시 돌아갈 가능성이 없다고 확신할 때 내려질 것이라고 강조했다.
그는 “일본이 디플레이션에서 벗어났다고 판단할 때 소비자 물가뿐만 아니라 기저 물가와 그 배경을 종합적으로 살펴봐야 한다”며 “현재 우리의 판단으로는 일본이 아직 디플레이션을 극복하지 못한 상태”라고 평가했다.
이는 일부 경제학자들의 우려와도 맥락을 같이한다. 일본의 물가 상승이 소비와 임금 상승의 선순환이 아니라 엔화 약세와 높은 원자재 가격에 의해 주도되고 있기 때문이다.
일본의 소비자물가지수(CPI)는 일본은행의 2% 목표치를 35개월 연속 웃돌고 있다. 신선식품을 제외한 근원 CPI도 2월 전년 대비 3% 상승했다.  최근 진행된 노사 봄철 임금 협상에서도 평균 5.46%의 임금 인상을 기록했다. 33년 만에 가장 높은 인상 폭이다.
하지만 물가 상승 속도에 비해 임금 인상 속도가 느려 실질 임금은 정체 상태에 소비자 신뢰지수는 여전히 부진하다는 지적이 나온다. 일본 연구기관 테이코쿠 데이터뱅크에 따르면 기업들은 2월 기준 증가한 비용을 소비자에게 전가하는 비율이 지난해 7월보다 낮아진 것으로 나타났다.
카토 재무상은 디플레이션 기간 동안 물가, 임금, 금리가 모두 정체하면서 경제 성장을 억제했다고 설명했다.
그러면서 그는 “이 조합이 경제 성장을 억제하고 국가 잠재력을 실현하는 것을 방해했다”며 “다만 지금은 상황이 변해 물가가 오르고, 임금이 오르고 있으며, 통화 정책 측면에서는 일본은행이 적합한 통화 정책이 무엇인지 검토하고 있다”고 전했다.
카토 재무상은 정상적인 경제로 전환하는 과정에서 임금 인상이 장기적으로 물가 상승률을 웃돌아야 한다고 강조했다. 그는 대기업들이 임금 인상에 나선 점에 대해 고무적인 일이라고 평가하면서도 중소기업들이 상승하는 인건비와 투입 비용을 소비자 가격에 반영할 수 있도록 만드는 게 당면 과제라고 지적했다.
이날 카토 재무상의 인터뷰에 대해 무디스 애널리틱스의 일본 담당 스테판 앵그릭 이코노미스트는 현재 일본의 소비자 물가 상승률을 감안할 때 디플레이션으로 돌아갈 가능성은 낮지만, 일본이 원하는 형태의 인플레이션을 아직 달성하지 못했다는 현실을 반영한다고 분석했다.
앵그릭 이코노미스트는 “일본이 원하는 수준의 인플레이션을 달성할 것이라고 확신하기는 어렵다”면서 “약한 내수 수요, 제자리걸음인 설비 투자 지출 등을 감안할 때 인플레이션이 2026년까지 2% 미만으로 떨어질 것으로 보인다”고 했다.",물가상승
중부매일,채소부터 커피까지 먹거리물가 상승… 소비자 '한숨',,,,,,,물가상승
한국농어민신문,"4월부터 수박 파렛트 전면 확대…""물가안정 정책기조 역행"" 반발",,,,,,,물가상승
아주경제,"'최저 지지율' 이시바, 참의원 선거 앞두고 '강력한물가대책' 의지",,,,,,,물가상승
뉴시스,"""내수 부진에 수출도 둔화"" 소비심리 넉달째 '비관'",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013139292?sid=101,,뉴시스,"""내수 부진에 수출도 둔화"" 소비심리 넉달째 '비관'","[서울=뉴시스] 17일 서울 명동거리의 한 건물에 임대 문구가 붙어 있다. 2025.02.17. mangusta@newsis.com
[서울=뉴시스]남주현 기자 = 소비 심리가 넉달째 비관적인 것으로 나타났다. 정국 불안 등에 따른 내수 부진과 트럼프 행정부의 관세 정책 등에 수출 악화 우려가 높아진 영향이다. 향후 경기 전망도 대내외 기관들의 올해 우리나라의 성장률 전망치 하향 조정 등으로 하락했다.
25일 한국은행이 발표한 '3월 소비자동향조사'에 따르면 소비자심리지수(CCSI)는 93.4로 전월(95.2)보다 1.8포인트 떨어졌다. 석달 만에 하락으로 넉달째 100선을 하회했다. 연속 100선 하회는 고금리 여파에 지난 2023년 9월부터 12월까지 4개월 연속 하락 후 처음이다.
소비심리지수는 2003년 1월부터 지난해 12월을 기준값으로 100보다 작으면 비관적임을 의미한다. 소비자심리지수는 지난해 10월에는 101.8까지 올랐지만, 11월 소폭 하락 후 12월에는 계엄과 탄핵 정국에 코로나19 이후 4년 만에 최대 낙폭인 12.5포인트 떨어진 바 있다.
지수차 기여도를 보면 현재생활형편은 0.0포인트로 지난달과 같았고, 생활형편전망은 0.3포인트 떨어졌다. 가계수입전망과 소비지출전망도 각각 0.4포인트, 0.7포인트 내렸다. 현재경기판단은 동일했고, 향후 경기 전망은 0.4포인트 하락했다.
내수 부진 및 수출 증가세 둔화에 따른 성장세 약화 우려가 영향을 미쳤다. 트럼프 행정부의 관세 폭풍과 관련국의 대응에 따른 마찰 우려, 정국 불안에 따른 소비 심리 악화가 영향을 미쳤다. 지난달 한은은 올해 성장률 전망치를 종전 1.9%에서 1.5%로 대폭 내려잡았다.
주택가격전망CSI는 105로 전달(99)보다 6포인트 올랐다. 지난 1월(101) 이후 두달 만에 다시 100선 위로 올라왔다. 서울시의 토지거래허가제 완화 영향이 작용했다. 다만 조사기간이 이달 11일부터 18일까지로 이후 정부의 토허제의 확대 적용은 반영되지 못했다.
이혜영 경제통계1국 경제심리조사팀장은 ""소비심리는 1월과 2월 회복되다가 3월에 다시 떨어졌다""면서 ""전반적으로 아직 비상계엄 사태 이전 수준을 회복하지 못했다""면서 ""미국의 관세 정책 우려가 작용했다""고 말했다.
물가수준전망CSI(149)는 전월과 동일했다. 지난 1년간 소비자물가 상승률에 대한 인식을 뜻하는 물가인식은 3.3%로 전월대비 0.1%포인트 올랐다. 향후 1년간 기대인플레이션율은 2.7%, 3년 후 및 5년 후 기대인플레이션율은 2.6%로 전월과 동일했다.
금리수준전망은 92로 전월(99)보다 7포인트 떨어졌다. 지난해 1월 8포인트 하락 후 가장 큰 낙폭을 기록했다. 기준금리 인하 기조에 들어선 한은의 최근 3차례 인하에 더해 추가 기대 금리 인하 기대가 영향을 미친 것으로 풀이된다．",물가상승
노컷뉴스,"서울~부산, KTX 운임 7만원?…코레일, 요금 17% 인상 추진",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004006102?sid=101,,노컷뉴스,"서울~부산, KTX 운임 7만원?…코레일, 요금 17% 인상 추진","핵심요약
5조원 투입 KTX 초기 차량 교체 사업 등 운임 인상 불가피
14년째 운임 동결…일반 열차 운임도 10% 인상 개편 논의
정부, 운임 상한 지정하면…범위 내에서 시점 등 최종 결정
우즈베키스탄·모로코 등 해외 사업 활발…필리핀 등도 추진
한문희 한국철도공사(코레일) 사장이 25일 대전 청사 8층 디지털 허브에서 열린 출입기자 간담회에서 주요 성과와 현안을 설명하고 있다. 코레일 제공
한국철도공사(코레일)가 고속철도(KTX) 운임을 17% 인상하는 방안을 추진 중이다. KTX 초기 차량 교체 사업을 앞둔 상황에서 14년째 동결 중인 운임 인상이 불가피하다는 입장이다.
코레일은 25일 대전 청사 8층 디지털 허브에서 출입기자 간담회를 열고 이같은 의견을 밝혔다. 코레일은 자체적으로 검토한 17% 인상, 연내 고시를 목표로 정부와 논의 중이다. 코레일이 목표치로 둔 17%는 서울과 부산 간 운임 5만9800원을 기준으로 하면 약 7만원 선까지 오르는 수치다.
다만, 철도 운임은 철도사업법시행령에 따라 국토교통부가 기획재정부와 물가상승률, 원가 수준, 다른 교통수단과의 형평성 등을 협의해 상한을 고시하면 코레일이 상한 범위 안에서 시점과 함께 최종 결정한다. 마지막 KTX 운임 고시는 2011년 11월이었다.
코레일이 산출한 KTX 초기 차량 교체 사업 비용은 5조원 이상이다. 2027년에 차량 교체 사업을 발주해야 2033~34년에 교체가 가능할 것으로 보고 있다.
코레일은 또 KTX와 별개로 준고속철도와 새마을호 운임 등 일반 열차 운임도 10% 안팎으로 인상하는 요금제 개편안도 추진 중인 것으로 전해졌다.
계속되는 영업 적자와 전기요금 부담, 부채 증가에 따른 이자비용의 영향도 운임 인상의 불가피한 요인으로 꼽히고 있다. 코레일은 지난해 KTX-청룡 운행 등으로 고속철도 이용객 8천만명 시대를 열고 신규노선 개통으로 여객 매출이 최고 기록을 경신했다고 설명했다. 지난해 KTX 수익은 2조5483억원으로 2년 연속 최대 실적이다. 철도 사고·장애도 2016년 165건에서 지난해 139건으로 16%를 줄였다. 하지만 이같은 실적에도 여전히 영업적자에 시달리고 있다는 입장이다.
코레일에 따르면 지난해 1114억원의 영업적자가 발생했다. 지난 2023년과 비교하면 25%로 줄었지만, 부채비율은 265%에 달했다. 최근 4년간 50% 이상 상승한 전기요금은 지난해에만 5796억원을 납부했다. 올해는 6400억원에 이를 전망이다. 또 누적 부채 21조원에 따른 이자비용 4130억원도 부담이다. 이자비용은 하루 11억원 상당이다.
한문희 코레일 사장은 ""철도 운임 인상은 국민경제나 소비자물가 등을 종합적으로 고려해 정부와 함께 진행해야 하는 만큼 관심을 갖고 지켜봐 주시길 바란다""며 ""힘든 상황에서도 KTX를 안정적으로 운영해 온 것처럼 앞으로도 철도 안전과 서비스를 향상하고 공공성을 지키는 데 최선을 다하겠다""고 말했다.
한편 코레일은 해외사업 분야에도 집중하고 있다. 2007년 이후 누적 수주액 4천억원에 육박한다. 우즈베키스탄을 상대로 KTX 첫 수출에 성공했고, 현대로템이 모로코에서 2조2천억원 규모의 사업을 수주하는 데 돕기도 했다.
최근에는 필리핀과 베트남이 추진 중인 철도 사업에도 공을 들이고 있다. 특히 코레일이 컨설팅과 직원 교육을 진행해 온 필리핀 메트로 마닐라 7호선 사업은 일정 부분 운영과 유지 보수 사업에 코레일이 직접 참여할 수 있도록 추진 중이다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",물가상승
노컷뉴스,코레일 “14년 동결 철도요금 인상 불가피… 17% 인상 필요”,네이버뉴스,https://n.news.naver.com/mnews/article/079/0004006102?sid=101,,노컷뉴스,"서울~부산, KTX 운임 7만원?…코레일, 요금 17% 인상 추진","핵심요약
5조원 투입 KTX 초기 차량 교체 사업 등 운임 인상 불가피
14년째 운임 동결…일반 열차 운임도 10% 인상 개편 논의
정부, 운임 상한 지정하면…범위 내에서 시점 등 최종 결정
우즈베키스탄·모로코 등 해외 사업 활발…필리핀 등도 추진
한문희 한국철도공사(코레일) 사장이 25일 대전 청사 8층 디지털 허브에서 열린 출입기자 간담회에서 주요 성과와 현안을 설명하고 있다. 코레일 제공
한국철도공사(코레일)가 고속철도(KTX) 운임을 17% 인상하는 방안을 추진 중이다. KTX 초기 차량 교체 사업을 앞둔 상황에서 14년째 동결 중인 운임 인상이 불가피하다는 입장이다.
코레일은 25일 대전 청사 8층 디지털 허브에서 출입기자 간담회를 열고 이같은 의견을 밝혔다. 코레일은 자체적으로 검토한 17% 인상, 연내 고시를 목표로 정부와 논의 중이다. 코레일이 목표치로 둔 17%는 서울과 부산 간 운임 5만9800원을 기준으로 하면 약 7만원 선까지 오르는 수치다.
다만, 철도 운임은 철도사업법시행령에 따라 국토교통부가 기획재정부와 물가상승률, 원가 수준, 다른 교통수단과의 형평성 등을 협의해 상한을 고시하면 코레일이 상한 범위 안에서 시점과 함께 최종 결정한다. 마지막 KTX 운임 고시는 2011년 11월이었다.
코레일이 산출한 KTX 초기 차량 교체 사업 비용은 5조원 이상이다. 2027년에 차량 교체 사업을 발주해야 2033~34년에 교체가 가능할 것으로 보고 있다.
코레일은 또 KTX와 별개로 준고속철도와 새마을호 운임 등 일반 열차 운임도 10% 안팎으로 인상하는 요금제 개편안도 추진 중인 것으로 전해졌다.
계속되는 영업 적자와 전기요금 부담, 부채 증가에 따른 이자비용의 영향도 운임 인상의 불가피한 요인으로 꼽히고 있다. 코레일은 지난해 KTX-청룡 운행 등으로 고속철도 이용객 8천만명 시대를 열고 신규노선 개통으로 여객 매출이 최고 기록을 경신했다고 설명했다. 지난해 KTX 수익은 2조5483억원으로 2년 연속 최대 실적이다. 철도 사고·장애도 2016년 165건에서 지난해 139건으로 16%를 줄였다. 하지만 이같은 실적에도 여전히 영업적자에 시달리고 있다는 입장이다.
코레일에 따르면 지난해 1114억원의 영업적자가 발생했다. 지난 2023년과 비교하면 25%로 줄었지만, 부채비율은 265%에 달했다. 최근 4년간 50% 이상 상승한 전기요금은 지난해에만 5796억원을 납부했다. 올해는 6400억원에 이를 전망이다. 또 누적 부채 21조원에 따른 이자비용 4130억원도 부담이다. 이자비용은 하루 11억원 상당이다.
한문희 코레일 사장은 ""철도 운임 인상은 국민경제나 소비자물가 등을 종합적으로 고려해 정부와 함께 진행해야 하는 만큼 관심을 갖고 지켜봐 주시길 바란다""며 ""힘든 상황에서도 KTX를 안정적으로 운영해 온 것처럼 앞으로도 철도 안전과 서비스를 향상하고 공공성을 지키는 데 최선을 다하겠다""고 말했다.
한편 코레일은 해외사업 분야에도 집중하고 있다. 2007년 이후 누적 수주액 4천억원에 육박한다. 우즈베키스탄을 상대로 KTX 첫 수출에 성공했고, 현대로템이 모로코에서 2조2천억원 규모의 사업을 수주하는 데 돕기도 했다.
최근에는 필리핀과 베트남이 추진 중인 철도 사업에도 공을 들이고 있다. 특히 코레일이 컨설팅과 직원 교육을 진행해 온 필리핀 메트로 마닐라 7호선 사업은 일정 부분 운영과 유지 보수 사업에 코레일이 직접 참여할 수 있도록 추진 중이다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",물가상승
부산일보,"""14년간 묶인 철도운임, 이제는 올려야"" 코레일 사장은 왜 총대를 멨나",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001317797?sid=101,,부산일보,코레일 “14년 동결 철도요금 인상 불가피… 17% 인상 필요”,"한문희 사장, 기자간담회서 밝혀
여객 매출 최고에도 1114억 적자
14년간 전기요금은 182% 인상
한문희 한국철도공사(코레일) 사장이 철도 요금이 14년동안 동결됐다며 그동안 소비자물가는 27% 올랐는데 철도요금 인상이 불가피한 상황”이라고 밝혔다. 김덕준 기자
한문희 한국철도공사(코레일) 사장이 “철도 요금이 14년동안 동결됐다”며 “그동안 소비자물가는 27% 올랐고 전기료는 182% 상승했다. 철도요금 인상이 불가피한 상황”이라고 밝혔다. 그러면서 코레일은 자체 내부적으로 계획하고 있는 인상률이 17%라고 밝혔다. 코레일은 그동안 영업적자가 누적되면서 철도요금 인상이 절실한 상황이지만, 철도가 공공재 성격이 강해 이를 쉽사리 추진하지 못했다.
한 사장은 25일 대전 코레일 본사 사옥에서 기자간담회를 갖고 이같이 밝혔다. 코레일은 지난해 고속철도 승객이 8000만 명에 이르고 신규노선이 개통되면서 여객 매출이 최고기록을 경신했다. 그럼에도 1114억 원의 영업적자가 발생하고 부채비율이 265%에 이른다고 설명했다. 또 그동안 전기요금이 크게 올라 2011년에는 2051억 원이던 전기료가 지난해에는 5796억 원으로 급상승했다. 올해는 6400억 원에 달할 것으로 전망했다.
한 사장은 “그동안 재무건전성을 위해 열차운용과 인력 효율 극대화, 용산 국제업무지구 개발 등 최선을 다하고 있지만 KTX 초기 차량 교체사업이 5조 원 이상 들어 철도요금 인상이 불가피하다”고 밝혔다.
실제로 다른 교통수단은 지난 14년간 고속버스는 21%, 항공료는 23%가 올랐지만 철도요금은 그대로였다. 철도는 국민 대다수가 이용하는 등 공공재 성격이 강해 올리기가 쉽지 않았다는 설명이다. 실제로 최근 국회에서 열린 토론회에서 한 대학교수는 “코레일의 KTX 초기차량 교체를 위해서는 25%의 철도요금 인상이 필요하다”고 주장한 바 있다.
다만 코레일은 그 정도의 인상은 국민들에게 주는 영향이 크다고 보고 있다. 내부적으로는 17% 인상은 필요하다고 보고 있다. 만약 17% 인상되면 부산~서울 KTX 요금은 5만 9800원에서 거의 7만 원으로 오른다.
현재 국토교통부와 기획재정부는 철도운임 인상에 대해 논의 중으로 알려졌다. 철도운임은 법적으로 물가상승률과 다른 교통수단과의 형평성, 원가수준에 따라 정부가 운임 상한을 정하면 그 범위에서 논의해야 한다.",물가상승
아시아경제,"결국 철도 요금 오르나… 코레일, “KTX 17% 인상 필요”",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005567051?sid=101,,아시아경제,"""14년간 묶인 철도운임, 이제는 올려야"" 코레일 사장은 왜 총대를 멨나","한문희 코레일 사장, 운임 인상 타당성 피력
""14년간 (철도운임을) 조금씩 올려왔으면 국민이 받는 충격도 덜할 텐데 계속 늦어지면서 일시에 올려야 하는 상황이 됐다. 인상률이 높아지니 부담스러울 수밖에 없다.""
한문희 한국철도공사(코레일) 사장은 25일 기자들과 만나 철도운임 인상 필요성을 수차례 강조했다. 매해 경영평가를 받아야 하는 공공기관의 수장이 물가관리 당국의 심기를 거스를 법한 발언을 공공연히 내놓는 것은 더 이상 늦춰선 안 된다는 절박함 때문이다. 차량 노후화로 기존 열차를 대체하기 위한 막대한 재원이 필요하다. 이대로 방치하다가는 안전 문제가 불거질 수 있다. 철도운임은 2011년 2~3%가량 오른 후 14년째 동결됐다.
서울역에 정차중인 KTX 열차. 사진=강진형 기자aymsdream@
고속철도는 2004년 정식 개통에 앞서 2000년 전후 도입하기 시작했다. 통상 열차 연한이 30년 정도인 점을 감안하면 대체 차량을 준비해야 하는 시점이다. 코레일은 2027년 주문을 넣으면 2034년 전후로 열차를 받을 것으로 본다. 대체 차량 투입에는 5조원 이상 필요할 전망이다. 도시철도는 국비 지원이 가능하나, 고속철도는 전부 코레일이 부담한다
이런 상황인데, 철도운임만 제자리다. 마지막으로 철도운임을 올렸던 2011년과 비교하면 소비자물가지수는 27% 올랐다. 대체 교통수단으로 꼽히는 고속버스는 21%, 항공 운임은 23% 뛰었다. 최저임금은 당시와 비교해 두 배 이상 상승했다. 운영비 가운데 큰 비중을 차지하는 전기요금 납부액은 14년 전 2051억원에서 지난해 5796억원으로 2.8배 늘었다.
고속철도를 운영하는 해외 다른 나라와 비교해도 우리나라 고속철도는 싼 편이다. 서울에서 부산까지 417㎞를 가는 데 5만9800원 수준으로 ㎞당 143원꼴이다. 일본의 경우 ㎞당 257원, 독일 200원 수준이다. 중국이 우리보다 싼 100원 정도다.
철도운임 인상은 정부의 결단이 필요한 사안이다. 철도사업법 시행령에 따라 물가상승률과 타 교통수단 형평성, 원가 수준 등을 종합적으로 살펴 국토교통부 장관이 상한선을 정할 수 있다. 상한선 내에서 구체적인 인상 폭이나 시기를 정할 수 있다. 주무부처인 국토부에서는 운임 인상 자체에 대해서는 어느 정도 공감대가 있는 것으로 전해졌다.
한문희 한국철도공사(코레일) 사장이 25일 국토교통부 출입기자단 간담회에서 발언하고 있다. 코레일 제공
코레일이 채권을 발행해 자금을 조달할 수도 있다. 현 코레일의 재무구조를 살펴보면 바람직한 방향은 아니다. 코레일의 지난해 영업손실은 1114억원, 부채비율은 265% 수준이다. 누적부채는 21조원으로 이자 비용만 4130억원, 하루 11억원꼴이다. 전기요금이 치솟은 탓에 올해 납부액은 6400억원에 달할 것으로 예상된다.
전문가 사이에서도 운임 인상이 필요하다고 지적한다. 최근 열린 토론회에서는 대체 차량 구입 자금을 운임으로 충당하기 위해서는 25% 이상 요금을 올려야 한다는 분석이 나오기도 했다. 코레일 내부적으로 사업계획을 짤 때는 17%를 인상하는 것이 적절하다고 본다. 코레일은 운임 인상이 쉽지 않은 만큼 정부가 보전해주는 공익서비스의무(PSO) 보상액을 높이거나 선로사용료를 조정하는 방안도 함께 논의하고 있다.
한 사장은 ""철도운임 인상은 국민경제나 소비자물가 등을 종합적으로 고려해 정부와 함께 진행해야 한다""며 ""힘든 상황에서도 KTX를 안정적으로 운영해온 것처럼 앞으로 철도 안전과 서비스를 향상하고 공공성을 지키는 데 최선을 다하겠다""고 말했다.",물가상승
국제신문,"'부채 21조' 만년적자 코레일 ""운임 17% 인상 불가피""",네이버뉴스,https://n.news.naver.com/mnews/article/658/0000101561?sid=101,,국제신문,"결국 철도 요금 오르나… 코레일, “KTX 17% 인상 필요”","전기요금 상승·부채 증가 따른 이자 비용 부담 등을 이유로 들어
정부 승인 필요해 실제 인상률 미지수나 일정 수준 오를 가능성 커
한국철도공사(코레일)가 전기 요금 상승, 부채 증가에 따른 이자 비용 부담 등을 이유로 철도 요금을 KTX의 경우 기존보다 17%가량 올리는 방안을 검토하는 것으로 알려졌다. 정부와 협의를 거쳐야 하는 까닭에 실제 상승률이 얼마나 될지는 미지수다. 그러나 정부도 적정 수준의 인상 필요성을 인정하고 있어 현실화되면 철도 탑승객 부담이 커질 것으로 보인다.
주행 중인 KTX.
한문희 공사 사장은 25일 열린 기자간담회에서 이 같은 방침을 밝혔다. 그는 그동안 공사가 재무 건전성 확보를 위해 열차 운영 효율 극대화. 인력 운용 최적화, 해외사업 진출, 용산 국제업무지구를 포함한 역세권 개발을 통한 신성장 사업 확대, 전기요금 절감 등에 최선을 다했지만 경영 여건이 호전되지 않고 있다며 인상을 추진하게 된 배경을 설명했다. 이어 조만간 5조 원 이상의 재원이 투입되는 KTX 초기 차량 교체 사업이 진행될 것을 고려하면 14년째 동결된 철도 요금 인상이 불가피한 상황이라고 덧붙였다.
한 사장에 따르면 공사는 지난해 KTX-청룡 운행 등으로 고속철도 이용객 8000만 명 시대를 연 데다 신규 노선 개통으로 여객 매출액이 최고 기록을 경신했다. 그러나 영업 손익은 -1114억 원, 부채비율은 265%에 이르렀다. 영업 적자는 2023년의 4분의 1 수준으로 줄었지만 최근 4년간 50% 이상 오른 전기요금과 부채 증가에 따른 이자 비용 부담의 영향으로 재무 건전성이 한계에 이른 상태다. 공사가 지난해에 낸 전기요금은 5796억 원이었다. 올해에는 6400억 원으로 늘어날 전망이다. 또 누적 부채 21조 원에 따른 이자 비용은 4130억 원(하루 11억 원 상당)이나 된다.
이에 공사는 철도 요금을 올린다는 방침을 정했다. 세부 인상률은  KTX 17%, ITX-새마을 등 일반 철도 10%다. 외부 연구에서는 정부 지원 없이 KTX 대체 차량을 도입하려면 전체적으로 25% 정도 인상이 필요하다는 분석도 제시된 것으로 전해졌다. 단 규정상 철도 요금 인상은 철도사업법시행령 등 관련 법령에 따라 물가 상승률, 다른 교통수단과의 형평성 등을 먼저 고려해야 한다. 아울러 원가 수준에 따라 정부가 운임 상한을 지정하면 그 틀 안에서 범위와 시점을 논의하게 되어 있다. 이런 까닭에 공사가 구상 중인 인상률이 받아들여지기는 현실적으로 어려울 것이라는 관측이 나온다. 하지만 정부도 공사의 경영상 어려움을 알고 있는 만큼 일정 수준에서 인상 요청을 받아들일 가능성이 크다.
한 사장은 “철도 요금을 올리는 것은 국민경제나 소비자물가 등을 종합적으로 고려해 정부와 함께 진행해야 한다”며 “그러나 공사는 인상과 관계없이 철도 안정과 고객 서비스 향상, 공공성 확보 등에 최선을 다하겠다”고 말했다.",물가상승
