press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
매일일보,"하나카드, '전기·가스요금' 할인 특화카드 출시",,,,,,,가스요금
매일일보,"하나카드, '전기·가스요금' 할인 특화카드 출시",,,,,,,가스요금
Korea IT Times,"하나카드, ‘에너지 더블’ 카드 출시…전기·가스요금할인",,,,,,,가스요금
FETV,"하나카드, 전기ㆍ가스 요금할인 특화 카드 상품 출시",,,,,,,가스요금
프레스맨,"하나카드, 에너지 공과금 절약 특화 카드 출시",,,,,,,가스요금
에너지경제,코로나 지원금 결국 밑 빠진 독이었나...전기·가스요금까지 뛰자 저소...,,,,,,,가스요금
에너지경제,하위 20% 가구 세집 중 두집 적자…코로나 사태 이후 최고,,,,,,,가스요금
연합뉴스,소득 하위 20% 가구 세 집 중 두 집은 적자 살림,네이버뉴스,https://n.news.naver.com/mnews/article/001/0013970243?sid=101,,연합뉴스,하위 20% 가구 세집 중 두집 적자…코로나 사태 이후 최고,"처분가능소득보다 소비지출 더 많아…전체 가구 중에선 27% 적자
가계 소득·지출 (PG)
[박은주 제작] 사진합성·일러스트
(세종=연합뉴스) 박용주 기자 = 소득 하위 20%(1분위) 가구 세 집 중 한 집 가까이가 올해 1분기에 적자 살림을 산 것으로 나타났다.
코로나19 사태 당시 저소득층에 지급된 각종 지원금이 사라진 데다 거리두기 해제와 전기·가스요금 인상 등으로 지출이 늘어난 데 따른 것으로 분석된다.
30일 통계청이 최근 발표한 가계동향 자료를 보면 1분기 전국 가구 중 적자가구 비중은 26.7%를 기록했다.
적자가구는 처분가능소득보다 소비지출이 큰 가구를 의미한다.
처분가능소득은 전체 소득에서 세금과 연금, 사회보험 등 비소비지출을 뺀 개념으로, 가구가 소비지출이나 저축 등으로 쓸 수 있는 돈이다.
소비지출은 식료품, 의류, 주거, 가정용품, 교통, 통신, 교육, 음식·숙박 등 일반적인 형태의 지출을 의미한다.
적자가구는 번 것 이상을 쓴 가구, 즉 빚이 쌓이는 가구일 가능성이 크다.
소득 하위 20%인 1분위 저소득층에서는 적자가구 비중이 62.3%나 됐다.
세 집 중 두 집 가까이가 이번 1분기에 적자를 냈다는 것이다.
1분기 중 1분위의 적자 가구 비중은 코로나19 사태 이후 가장 높은 수준이다.
1분기 기준으로 2020년과 2021년 각각 60.6%, 2022년 57.2% 수준을 기록하다가 올해 들어 5%포인트(p) 이상 뛰어올랐다.
코로나19 사태 이전인 2019년에는 65.3%로 올해보다 높았다.
(통계청 제공)
1분기 1분위 가구의 월평균 처분가능소득은 85만8천원이었다. 이들의 소비지출은 131만9천원으로 매월 46만1천원의 적자를 냈다.
1분위의 소득은 1분기에 3.2% 늘어나는 데 그쳤다. 1분기 소비자물가 상승률이 4.7%라는 점을 고려하면 실질소득은 1.5% 감소했다.
이에 비해 1분위의 소비지출은 13.7% 증가했다.
오락·문화 지출이 43.3%, 교육이 35.1%, 음식·숙박이 31.8% 늘었다.
지출 비중으로 보면 주거·수도·광열비 비중이 23.1%로 가장 높았다. 관련 지출이 1년 전보다 15.7% 늘었는데 전기·가스요금 인상분이 반영된 결과다.
1분위 가구에선 식료품·비주류음료 지출 비중이 19.0%, 보건이 13.9%로 뒤를 이었다.
[그래픽] 소득 분위별 적자가구 비중
(서울=연합뉴스) 원형민 기자 = circlemin@yna.co.kr
페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics
speed@yna.co.kr",가스요금
동아일보,"소득 하위 20% 가구, 절반 이상 ‘적자’",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003500494?sid=101,,동아일보,소득 하위 20% 가구 세 집 중 두 집은 적자 살림,"28일 서울의 한 시장에서 시민들이 길을 걷고 있다. 2023.05.28. 뉴시스
올 1분기(1~3월) 소득 하위 20%의 저소득층 가구 세 집 중 두 집은 적자로 살림을 꾸려간 것으로 나타났다. 코로나19 확산으로 지급됐던 각종 지원금이 사라진 데다 사회적 거리 두기 해제와 전기, 가스 등 공공요금 인상이 맞물리면서 지출이 늘어난 것으로 풀이된다.
30일 통계청의 ‘1분기 가계동향조사’에 따르면 소득 하위 20%인 1분위 가구 중 적자가구 비중은 62.3%로 집계됐다. 적자가구는 세금, 국민연금 등을 뗀 뒤 실제로 손에 쥐는 소득인 처분가능소득보다 소비지출이 더 큰 가구를 뜻한다. 전체 1분위 가정 세 곳 중 두 곳은 번 돈보다 쓴 돈이 더 많은 것이다.
1분위 가구의 적자가구 비중은 코로나19 확산 이후 가장 높았다. 1분기 기준으로 2019년 65.3%였던 적자가구 비중은 2020년, 2021년 각각 60.6%로 떨어졌다. 지난해에는 1분기부터 4분기(10~12월)까지 50%대를 보였다. 하지만 올 1분기에는 1년 전 같은 기간보다 5.1%포인트 상승했다. 1분위를 비롯해 전체 가구 중 적자가구의 비중은 26.7%였다.
1분기 소득 하위 20% 가구의 월평균 처분가능소득은 85만8000원으로 전년보다 1.3% 증가했다. 반면 소비지출은 131만9000원으로 13.7% 증가했다. 오락·문화 지출이 43.3%로 가장 많이 늘었고, 교육(35.1%) 음식·숙박(31.8%) 등이 뒤를 이었다. 1분위 가구의 소비지출에선 주거·수도·광열비가 23.1%로 가장 큰 비중을 차지했다. 전기와 도시가스 요금 등이 오르면서 관련 지출이 1년 전보다 15.7% 증가한 영향이 컸다. 1분위 가구의 월평균 적자 폭은 46만1000원이었다.",가스요금
세계일보,“여보 이달도 46만원 적자야”…저소득 적자가구 코로나 이후 최고,네이버뉴스,https://n.news.naver.com/mnews/article/022/0003817647?sid=101,,세계일보,"소득 하위 20% 가구, 절반 이상 ‘적자’","""코로나19 사태 당시 저소득층에 지급된 각종 지원금 사라져""
소득 하위 20%(1분위) 가구의 절반 이상이 올해 1분기에 적자를 낸 것으로 나타났다.
통계청이 30일 발표한 1분기 가계동향조사 결과에 따르면, 1분기 전국 가구의 적자가구 비중은 26.7%로 집계됐다. 이 중 1분위 가구의 적자가구 비중은 62.3%로, 세 집 중 두 집 가까이가 적자를 낸 것으로 나타났다.
1분위 가구의 월평균 처분가능소득은 85만8천원으로, 소비지출은 131만9천원으로 집계됐다. 이로 인해 1분위 가구는 월평균 46만1천원의 적자를 낸 것으로 나타났다.
1분위 가구의 소득은 1분기에 3.2% 늘어나는 데 그쳤다. 1분기 소비자물가 상승률이 4.7%라는 점을 고려하면 실질소득은 1.5% 감소한 것이다.
이에 비해 1분위 가구의 소비지출은 13.7% 증가했다. 오락·문화 지출이 43.3%, 교육이 35.1%, 음식·숙박이 31.8% 늘었다.
지출 비중으로 보면 주거·수도·광열비 비중이 23.1%로 가장 높았다. 관련 지출이 1년 전보다 15.7% 늘었는데 전기·가스요금 인상분이 반영된 결과다.
1분위 가구에선 식료품·비주류음료 지출 비중이 19.0%, 보건이 13.9%로 뒤를 이었다.
통계청은 ""코로나19 사태 당시 저소득층에 지급된 각종 지원금이 사라진 데다 거리두기 해제와 전기·가스요금 인상 등으로 지출이 늘어난 데 따른 것으로 보인다""고 분석했다.",가스요금
