press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"실리콘밸리은행옛 모기업,파산보호 신청…2008년 후 최대 규모(종합2보...",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013822044?sid=104,,연합뉴스,"실리콘밸리은행 옛 모기업, 파산보호 신청…2008년 후 최대 규모(종합2보)","SVB 폐쇄 일주일만…SVB증권·SVB캐피털은 제외, SVB도 대상 아냐
법원 승인하면 채무이행 중지·자산매각 통해 기업 회생 절차 착수
실리콘밸리은행(SVB)
[로이터 연합뉴스 자료사진. 재판매 및 DB 금지]
(서울·워싱턴·샌프란시스코=연합뉴스) 김동호 기자 김동현 김태종 특파원 = 뱅크런(예금대량인출사태)을 막지 못해 붕괴하며 금융계에 큰 파장을 불러온 미국 실리콘밸리은행(SVB)의 옛 모기업 SVB파이낸셜그룹이 결국 당국에 파산보호를 신청했다.
SVB파이낸셜그룹은 17일(현지시간) 미국 뉴욕 남부연방지법에 파산법 11조(챕터11)에 따른 파산보호를 신청했다고 보도자료를 통해 밝혔다.
지난 10일 미 캘리포니아주 금융보호혁신국이 뱅크런으로 SVB의 유동성이 부족해지고 예금 지급 불능에 이르게 되자 SVB를 폐쇄한 지 일주일만이다.
이로써 SVB파이낸셜그룹은 2008년 워싱턴뮤추얼 이후 파산보호를 신청한 최대 규모의 금융기관이 됐다. 작년 말 기준 자산은 2천90억 달러(272조8천495억원)다.
SVB파이낸셜그룹이 파산보호를 신청했지만, SVB는 포함되지 않는다.
SVB는 지난 10일 폐쇄 직후 경영진이 물러나고 미 연방예금보험공사(FDIC)가 파산 관재인으로 임명되면서 미 연방준비제도(Fed·연준) 시스템의 일부가 돼 모기업이었던 SVB파이낸셜과의 관계는 정리됐다.
SVB는 은행 이름도 실리콘밸리브릿지 은행으로 변경됐다.
SVB파이낸셜의 현재 자회사인 SVB증권과 SVB캐피털은 파산보호 대상에 포함하지 않았으며, 이 두 회사를 포함한 다른 자산에 대해서는 매각 등 전략적 대안을 검토하고 있다고 그룹은 밝혔다.
SVB파이낸셜그룹은 지난해 말 기준으로 은행과 증권, 캐피털, 프라이빗 등 4개 부문의 자회사를 보유하고 있었다. 이에 따라 파산보호 신청 대상은 지주사와 자회사 프라이빗이 중심이 된 것으로 보인다.
파산보호는 법원의 승인을 받아 기업의 채무이행을 일시 중지시키고 자산매각을 통해 기업을 정상화하는 절차로, 한국의 법정관리와 비슷하다.
다만 한국의 법정관리와 달리 미국의 파산보호 신청 기업은 해당 기업의 대표가 경영권을 계속 보유할 수 있다.
옛 모기업인 SVB파이낸셜그룹은 파산보호를 신청해 남은 자산을 보호하고 채무 상환 계획을 세울 수 있다고 블룸버그통신은 설명했다.
SVB파이낸셜그룹은 현재 약 22억달러의 유동성을 보유하고 있다고 밝혔다.
블룸버그에 따르면 SVB파이낸셜그룹은 법원에 제출한 신청서에 각각 100억달러(약 13조1천억원)에 달하는 자산과 부채를 보유하고 있다고 기재했다.
작년 말 기준으로는 약 23억 달러의 현금과 5억 달러의 증권, 4억7천500만 달러의 기타 자산과 함께 약 34억 달러의 장기 부채를 보유했다.
나스닥에 상장된 SVB파이낸셜그룹은 지난 9일부터 거래가 중단된 상태다. 주가는 106.04 달러(13만8천435원), 시가총액은 62억 달러(8조941억원)에 달한다.
SVB 사태 이후 일부 전문가와 언론에선 SVB파이낸셜이 파산보호를 신청할 가능성이 있다고 일찍부터 전망해왔다.
2008년 워싱턴뮤추얼도 자회사였던 워싱턴뮤추얼뱅크의 붕괴로 파산 보호를 신청한 바 있다. 워싱턴뮤추얼뱅크는 당국에 인수된 뒤 이후 JP모건 체이스에 매각된 바 있다.
dk@yna.co.kr",실리콘밸리은행파산
연합뉴스,美실리콘밸리은행모기업도파산보호 신청,네이버뉴스,https://n.news.naver.com/mnews/article/001/0013822044?sid=104,,연합뉴스,"실리콘밸리은행 옛 모기업, 파산보호 신청…2008년 후 최대 규모(종합2보)","SVB 폐쇄 일주일만…SVB증권·SVB캐피털은 제외, SVB도 대상 아냐
법원 승인하면 채무이행 중지·자산매각 통해 기업 회생 절차 착수
실리콘밸리은행(SVB)
[로이터 연합뉴스 자료사진. 재판매 및 DB 금지]
(서울·워싱턴·샌프란시스코=연합뉴스) 김동호 기자 김동현 김태종 특파원 = 뱅크런(예금대량인출사태)을 막지 못해 붕괴하며 금융계에 큰 파장을 불러온 미국 실리콘밸리은행(SVB)의 옛 모기업 SVB파이낸셜그룹이 결국 당국에 파산보호를 신청했다.
SVB파이낸셜그룹은 17일(현지시간) 미국 뉴욕 남부연방지법에 파산법 11조(챕터11)에 따른 파산보호를 신청했다고 보도자료를 통해 밝혔다.
지난 10일 미 캘리포니아주 금융보호혁신국이 뱅크런으로 SVB의 유동성이 부족해지고 예금 지급 불능에 이르게 되자 SVB를 폐쇄한 지 일주일만이다.
이로써 SVB파이낸셜그룹은 2008년 워싱턴뮤추얼 이후 파산보호를 신청한 최대 규모의 금융기관이 됐다. 작년 말 기준 자산은 2천90억 달러(272조8천495억원)다.
SVB파이낸셜그룹이 파산보호를 신청했지만, SVB는 포함되지 않는다.
SVB는 지난 10일 폐쇄 직후 경영진이 물러나고 미 연방예금보험공사(FDIC)가 파산 관재인으로 임명되면서 미 연방준비제도(Fed·연준) 시스템의 일부가 돼 모기업이었던 SVB파이낸셜과의 관계는 정리됐다.
SVB는 은행 이름도 실리콘밸리브릿지 은행으로 변경됐다.
SVB파이낸셜의 현재 자회사인 SVB증권과 SVB캐피털은 파산보호 대상에 포함하지 않았으며, 이 두 회사를 포함한 다른 자산에 대해서는 매각 등 전략적 대안을 검토하고 있다고 그룹은 밝혔다.
SVB파이낸셜그룹은 지난해 말 기준으로 은행과 증권, 캐피털, 프라이빗 등 4개 부문의 자회사를 보유하고 있었다. 이에 따라 파산보호 신청 대상은 지주사와 자회사 프라이빗이 중심이 된 것으로 보인다.
파산보호는 법원의 승인을 받아 기업의 채무이행을 일시 중지시키고 자산매각을 통해 기업을 정상화하는 절차로, 한국의 법정관리와 비슷하다.
다만 한국의 법정관리와 달리 미국의 파산보호 신청 기업은 해당 기업의 대표가 경영권을 계속 보유할 수 있다.
옛 모기업인 SVB파이낸셜그룹은 파산보호를 신청해 남은 자산을 보호하고 채무 상환 계획을 세울 수 있다고 블룸버그통신은 설명했다.
SVB파이낸셜그룹은 현재 약 22억달러의 유동성을 보유하고 있다고 밝혔다.
블룸버그에 따르면 SVB파이낸셜그룹은 법원에 제출한 신청서에 각각 100억달러(약 13조1천억원)에 달하는 자산과 부채를 보유하고 있다고 기재했다.
작년 말 기준으로는 약 23억 달러의 현금과 5억 달러의 증권, 4억7천500만 달러의 기타 자산과 함께 약 34억 달러의 장기 부채를 보유했다.
나스닥에 상장된 SVB파이낸셜그룹은 지난 9일부터 거래가 중단된 상태다. 주가는 106.04 달러(13만8천435원), 시가총액은 62억 달러(8조941억원)에 달한다.
SVB 사태 이후 일부 전문가와 언론에선 SVB파이낸셜이 파산보호를 신청할 가능성이 있다고 일찍부터 전망해왔다.
2008년 워싱턴뮤추얼도 자회사였던 워싱턴뮤추얼뱅크의 붕괴로 파산 보호를 신청한 바 있다. 워싱턴뮤추얼뱅크는 당국에 인수된 뒤 이후 JP모건 체이스에 매각된 바 있다.
dk@yna.co.kr",실리콘밸리은행파산
데일리안,"美 SVB 모기업, 당국에파산보호 신청",네이버뉴스,https://n.news.naver.com/mnews/article/119/0002693593?sid=101,,데일리안,美실리콘밸리은행 모기업도 파산보호 신청,"ⓒAFP/연합뉴스
[데일리안 = 고정삼 기자] 미국 실리콘밸리은행(SVB)의 모기업인 SVB파이낸셜그룹이 파산보호를 신청했다.
17일(현지시각) 월스트리트저널(WSJ)에 따르면 SVB파이낸셜그룹은 미국 뉴욕 남부연방지법에 파산법 11조(챕터11)에 따른 파산보호를 신청했다.
지난 10일 미 캘리포니아주 금융보호혁신국이 뱅크런(대량 예금 인출)으로 SVB의 유동성이 부족해지고, 예금 지급불능에 이르자 SVB를 폐쇄한 지 일주일 만이다.
이로써 SVB파이낸셜그룹은 지난 2008년 워싱턴뮤추얼 이후 파산보호를 신청한 최대 규모의 금융기관이 됐다. 작년 말 기준 자산은 2천90억 달러(272조8495억원)다. SVB파이낸셜그룹이 파산보호를 신청했지만, SVB는 포함되지 않는다.
SVB는 지난 10일 폐쇄 직후 경영진이 물러나고 미 연방예금보험공사(FDIC)가 파산 관재인으로 임명되면서, 미 연방준비제도 시스템의 일부가 돼 모기업이던 SVB파이낸셜과의 관계는 정리됐다. SVB는 이름도 실리콘밸리브릿지 은행으로 변경됐다.
SVB파이낸셜의 현재 자회사인 SVB증권과 SVB캐피털은 파산보호 대상에 포함하지 않았으며, 이 두 회사를 포함한 다른 자산에 대해서는 매각 등 전략적 대안을 검토하고 있다고 그룹은 밝혔다.
SVB파이낸셜그룹은 지난해 말 기준 은행과 증권, 캐피털, 프라이빗 등 4개 부문의 자회사를 보유하고 있었다. 이에 따라 파산보호 신청 대상은 지주사와 자회사 프라이빗이 중심이 된 것으로 보인다.
SVB파이낸셜그룹은 파산보호를 신청해 남은 자산을 보호하고, 채무 상환 계획을 세울 수 있다고 블룸버그통신은 설명했다. SVB파이낸셜그룹은 현재 약 22억달러의 유동성을 보유하고 있다고 밝혔다.
블룸버그에 따르면 SVB파이낸셜그룹은 법원에 제출한 신청서에 각각 100억달러(약 13조1000억원)에 달하는 자산과 부채를 보유하고 있다고 기재했다. 지난해 말 기준 약 23억달러의 현금과 5억달러의 증권, 4억7500만달러의 기타 자산과 함께 약 34억달러의 장기 부채를 보유했다.",실리콘밸리은행파산
세계일보,"은행뺏긴 SVB, 현금 22억弗 부채 33억弗…결국파산보호",네이버뉴스,https://n.news.naver.com/mnews/article/022/0003793575?sid=104,,세계일보,"美 SVB 모기업, 당국에 파산보호 신청","자산·부채 100억달러씩 기록
남은 재산 보호 위해 신청한 듯
뱅크런(대량 인출 사태)을 막지 못하고 붕괴해 국제 금융계에 연쇄 파장을 일으킨 미국 실리콘밸리은행(SVB)의 모기업 SVB파이낸셜이 결국 당국에 파산보호를 신청했다.
미국 캘리포니아주 샌타클래라에 위치한 실리콘밸리은행(SVB) 본사에 있는 로고. 연합뉴스
17일(현지시간) 블룸버그통신 등에 따르면 SVB파이낸셜은 이날 미국 뉴욕 남부연방지법에 파산법 11조(챕터 11)에 따른 파산보호를 신청하며 각각 100억달러(약 13조1000억원)에 달하는 자산과 부채를 기록했다.
미 연방준비제도(Fed·연준) 시스템의 일부인 SVB 자체는 파산을 신청할 자격이 없지만, 모기업인 SVB파이낸셜은 남은 재산을 보호하고 채권자에게 상환하기 위해 파산 신청을 낼 수 있다고 블룸버그는 전했다.
월스트리트저널은 파산보호 신청이 연방정부의 통제를 받지 않는 다른 사업 부문의 새 주인을 찾을 수 있도록 법원이 감독하는 절차를 제공한다고 설명했다.",실리콘밸리은행파산
머니투데이,"실리콘밸리은행모기업, 미국 당국에파산보호 신청",네이버뉴스,https://n.news.naver.com/mnews/article/008/0004863632?sid=101,,머니투데이,"은행 뺏긴 SVB, 현금 22억弗 부채 33억弗…결국 파산보호","[(상보) 은행 뱅크런 사태 후 일주일 만에 해체 수순…증권과 벤처캐피탈은 파산 제외 매각할 듯]
[샌타클래라=AP/뉴시스] 13일(현지시간) 미 캘리포니아주 샌타클래라 실리콘밸리은행(SVB) 본점의 보안요원들이 예금주들을 입장시키고 있다. 예금주들은 돈을 찾기 위해 은행 밖에서 줄을 서서 대기했으며 연방정부는 SVB 예금주들이 인출할 수 있는 자금을 확보하기 위해 SVB에 개입한 것으로 알려졌다. 2023.03.14.
미국 실리콘밸리은행(SVB) 모기업인 SVB파이낸셜이 은행 계열사의 뱅크런 사태와 규제당국 개입 이후 일주일 만에 법원에 파산보호를 신청했다.
17일(현지시간) 블룸버그통신 등에 따르면 SVB파이낸셜은 자회사 은행이 정부 관리에 들어감에 따라 채권·채무 정리를 위해 파산 보호를 신청한 것으로 파악된다. 핵심 계열사인 은행이 그룹에서 사실상 사라졌기 때문에 남은 지주사와 잔여 계열사들의 매각이나 청산, 자구책 마련을 위한 수순이다.
SVB파이낸셜은 상장 지주사로 뉴욕 법원에 제출한 챕터11 신청서에 따르면 100억 달러 규모의 자산과 부채를 기재했다. 파산보호에 남은 계열사 중 SVB증권과 SVB캐피탈은 포함되지 않았다. SVB파이낸셜이 파산보호를 신청하면서 더 이상 은행 계열사와는 같은 소속이 아니라는 걸 공표하면서 관계를 정리할 것으로 보인다. 사실상 정부가 실리콘밸리은행을 접수하면서 대주주 SVB파이낸셜의 은행 지분은 전액소각에 가까운 감자가 예상된다.
SVB파이낸셜이 발표한 성명서에 따르면 이들은 현재 약 22억 달러의 유동성을 보유하고 있으며 자회사 SVB증권과 캐피탈을 갖고 있다. 그러나 이들은 채권자들에게 33억 달러의 부채를 지고 있어 파산보호와 채권 정리절차가 필요한 시점이다.
규제기관에 한 신고에 따르면 SVB파이낸셜은 지난해 말 기준 약 23억 달러의 현금과 5억달러의 투자증권 그리고 4억7500만달러의 기타 자산을 보유하고 있다. 또 약 34억 달러의 장기 부채가 신고됐다. 신고 이후 유동성이 다소 줄었고 부채도 비슷한 수준 정리됐지만 현재 수준으로 모든 부채를 충분히 상환하기에는 불가능한 수준이다.
SVB 사태로 구조조정을 맡고 있는 윌리엄 코스투로스는 ""SVB파이낸셜은 실리콘밸리브릿지뱅크와 계속 협력해 이해관계자들의 채권 회수를 최대한 돕겠다""고 했다.",실리콘밸리은행파산
MBC,폐쇄 일주일 만에‥SVB 모기업 '파산보호' 신청,네이버뉴스,https://n.news.naver.com/mnews/article/214/0001260488?sid=104,,MBC,폐쇄 일주일 만에‥SVB 모기업 '파산보호' 신청,"[뉴스투데이]
◀ 앵커 ▶
미국 실리콘밸리은행의 예전 모기업이 당국에 파산 보호를 신청했습니다.
은행권에 대한 불안이 계속되면서 미국 뉴욕 증시는 하락했습니다.
뉴욕에서 강나림 특파원이 보도합니다.
◀ 리포트 ▶
미국 실리콘밸리은행의 옛 모기업인 실리콘밸리은행 파이낸셜 그룹이 현지시간 17일 미국 금융당국에 파산보호를 신청했습니다.
지난 10일 미국 실리콘밸리 은행이 대규모 인출 사태로 폐쇄된 지 일주일만입니다.
파산보호는 기업의 채무 이행을 중단하고 자산을 매각해 기업을 정상화하는 한국의 법정관리와 같은 절차입니다.
실리콘밸리은행 파이낸셜그룹은 지난해 말까지 은행과 증권 등 4개 부문에 자회사를 거느린 우리 돈 272조 8천억 원 규모의 금융사로 2008년 워싱턴뮤추얼 파산 이후 파산보호신청으로는 가장 큰 규모입니다.
실리콘밸리은행은 폐쇄 이후 모그룹과 관계가 정리됐기 때문에 이번 파산보호 대상에는 포함되지 않았습니다.
은행권 불안 여파로 뉴욕증시는 하락했습니다.
전날 상승했던 퍼스트 리퍼블릭 은행의 주가는 다시 떨어졌고, 퍼스트 리퍼블릭 은행에 자금을 지원하기로 한 뱅크오브아메리카, JP 모건 등 대형 은행들의 주가까지 하락했습니다.
[토마스 웨이드/미국행동포럼 금융정책 책임자]
""특히 실리콘밸리은행이 파산한 중요한 이유 중 하나는 이들이 보유한 장기 국채의 이자율 움직임 때문이라는 것을 우리는 알고 있습니다. 사실 대부분의 대형 은행들이 이런 위험에 노출되어 있습니다.""
조 바이든 미국 대통령은 성명을 내고 실리콘밸리은행과 시그니처은행처럼 경영을 잘못해 부실해진 은행의 경영진을 더 강력히 처벌하겠다고 밝혔습니다.
바이든 대통령은 ""부실해진 은행의 경영진들은 보수를 환수하고 처벌하며, 이들이 은행업에서 다시 일하는 것을 금지하는 게 더 쉬워져야 한다""고 말했습니다.
정부 당국은 물론 민간에서까지 은행 파산 사태를 적극적으로 진화하고 나섰지만, 시장의 불안은 좀처럼 가라앉지 않고 있습니다.
뉴욕에서 MBC뉴스 강나림입니다.
MBC 뉴스는 24시간 여러분의 제보를 기다립니다.
▷ 전화 02-784-4000
▷ 이메일 mbcjebo@mbc.co.kr
▷ 카카오톡 @mbc제보",실리콘밸리은행파산
MBC,SVB 모기업도 '파산보호' 신청…은행위기설 재점화,네이버뉴스,https://n.news.naver.com/mnews/article/214/0001260488?sid=104,,MBC,폐쇄 일주일 만에‥SVB 모기업 '파산보호' 신청,"[뉴스투데이]
◀ 앵커 ▶
미국 실리콘밸리은행의 예전 모기업이 당국에 파산 보호를 신청했습니다.
은행권에 대한 불안이 계속되면서 미국 뉴욕 증시는 하락했습니다.
뉴욕에서 강나림 특파원이 보도합니다.
◀ 리포트 ▶
미국 실리콘밸리은행의 옛 모기업인 실리콘밸리은행 파이낸셜 그룹이 현지시간 17일 미국 금융당국에 파산보호를 신청했습니다.
지난 10일 미국 실리콘밸리 은행이 대규모 인출 사태로 폐쇄된 지 일주일만입니다.
파산보호는 기업의 채무 이행을 중단하고 자산을 매각해 기업을 정상화하는 한국의 법정관리와 같은 절차입니다.
실리콘밸리은행 파이낸셜그룹은 지난해 말까지 은행과 증권 등 4개 부문에 자회사를 거느린 우리 돈 272조 8천억 원 규모의 금융사로 2008년 워싱턴뮤추얼 파산 이후 파산보호신청으로는 가장 큰 규모입니다.
실리콘밸리은행은 폐쇄 이후 모그룹과 관계가 정리됐기 때문에 이번 파산보호 대상에는 포함되지 않았습니다.
은행권 불안 여파로 뉴욕증시는 하락했습니다.
전날 상승했던 퍼스트 리퍼블릭 은행의 주가는 다시 떨어졌고, 퍼스트 리퍼블릭 은행에 자금을 지원하기로 한 뱅크오브아메리카, JP 모건 등 대형 은행들의 주가까지 하락했습니다.
[토마스 웨이드/미국행동포럼 금융정책 책임자]
""특히 실리콘밸리은행이 파산한 중요한 이유 중 하나는 이들이 보유한 장기 국채의 이자율 움직임 때문이라는 것을 우리는 알고 있습니다. 사실 대부분의 대형 은행들이 이런 위험에 노출되어 있습니다.""
조 바이든 미국 대통령은 성명을 내고 실리콘밸리은행과 시그니처은행처럼 경영을 잘못해 부실해진 은행의 경영진을 더 강력히 처벌하겠다고 밝혔습니다.
바이든 대통령은 ""부실해진 은행의 경영진들은 보수를 환수하고 처벌하며, 이들이 은행업에서 다시 일하는 것을 금지하는 게 더 쉬워져야 한다""고 말했습니다.
정부 당국은 물론 민간에서까지 은행 파산 사태를 적극적으로 진화하고 나섰지만, 시장의 불안은 좀처럼 가라앉지 않고 있습니다.
뉴욕에서 MBC뉴스 강나림입니다.
MBC 뉴스는 24시간 여러분의 제보를 기다립니다.
▷ 전화 02-784-4000
▷ 이메일 mbcjebo@mbc.co.kr
▷ 카카오톡 @mbc제보",실리콘밸리은행파산
SBS,SVB 모기업 결국파산보호 신청…“은행위기 여전”에 금융시장 다시 ...,네이버뉴스,https://n.news.naver.com/mnews/article/055/0001043571?sid=104,,SBS,SVB 모기업도 '파산보호' 신청…은행 위기설 재점화,"<앵커>
최근 파산으로 세계 금융 시장을 뒤흔든 미국 실리콘밸리 은행에 이어, 이번엔 모기업이 파산 보호를 신청했습니다. 대량 인출 사태로 실리콘밸리 은행이 폐쇄된 지 일주일 만입니다. 진정되는 듯했던 미국 내 다른 은행들의 주가도 크게 떨어지면서 시장 불안이 다시 커지고 있습니다.
워싱턴에서 김윤수 특파원입니다.
<기자>
지난 10일 파산한 미국 실리콘밸리은행의 모기업인 SVB파이낸셜그룹이 미국 뉴욕 남부연방지법에 파산 보호를 신청했습니다.
실리콘밸리은행 폐쇄 일주일 만입니다.
SVB파이낸셜그룹은 자산 272조 원 규모로 실리콘밸리은행을 비롯해 증권사 등 자회사 4개를 보유하고 있었습니다.
은행 파산 이후 주식 거래가 중단되는 등 위기가 커지면서 파산 보호 결정을 내린 겁니다.
2008년 금융위기 당시 역시 자회사 은행이 무너지면서 파산 보호를 신청했던 워싱턴 뮤추얼 이후 최대 규모입니다.
진정되는가 싶던 은행에 대한 불안감도 다시 확산되고 있습니다.
대형 은행들의 자금 수혈로 반등했던 퍼스트리퍼블릭 은행의 주가는 다시 급락했습니다.
[켄 로고프/전 IMF 수석 이코노미스트 : 여전히 불안감이 많은 상황입니다. 금융 위기는 파도처럼 밀려오는 경향이 있는데, 우리는 첫 번째 파도를 봤을 뿐입니다.]
은행 위기 국면 진정을 위해 연준이 다음 주 금리를 동결해야 한다는 요구가 잇따르고 있지만, 그럴 경우 오히려 불안감을 부추길 거라는 의견도 엇갈리면서 혼란이 커지고 있습니다.
[조지 볼/투자사 대표 : 연준은 계획을 바꾸지 말고 예정대로 금리 결정을 해야 합니다. 그렇지 않으면 은행 시스템이 무너질 수 있다는 공포가 확산될 것입니다.]
바이든 대통령은 성명을 내고 파산한 은행의 경영진들이 다시는 은행 일을 하지 못하게 해야 한다며 의회에 관련 입법을 강화해 줄 것을 촉구했습니다.
(영상취재 : 오정식, 영상편집 : 정성훈)",실리콘밸리은행파산
KBS,"SVB 모기업파산보호 신청…시장 출렁, 다시 커진 불안",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011447918?sid=104,,KBS,SVB 모기업 결국 파산보호 신청…“은행 위기 여전”에 금융시장 다시 불안,"[앵커]
미국의 은행 연쇄 파산 위기를 촉발한 실리콘밸리은행의 모기업이 당국에 '파산보호'를 신청했습니다.
'연쇄 은행 위기'에 대한 불안감이 좀처럼 수그러들지 않으면서 금융시장은 다시 출렁였습니다.
뉴욕 한보경 특파원이 보도합니다.
[리포트]
실리콘밸리은행이 폐쇄조치된지 일주일만에,  모기업인  실리콘밸리은행파이낸셜그룹이 뉴욕남부 연방지법에 파산보호를 신청했습니다.
법원이 파산보호 신청을 받아들이면 채무이행은 일시중지되고 자산 매각 등을 통해 정상화 절차를 밟게 됩니다.
실리콘밸리은행파이낸셜그룹의 자산과 부채는 현재 각각 100억 달러에 이르는 것으로 추산되는데,  미국에선 2008년 워싱턴뮤추얼 이후 파산보호 신청을 한 최대 규모 금융기관이 됐습니다.
실리콘밸리은행이  금융당국에 의해 파산절차를 밟게 되면서 모기업의 파산보호 신청은 사실 예상된 수순이었지만,  시장에선 은행 연쇄 위기에 대한 불안감이 재점화되는 분위기입니다.
어제 미국의 11개 대형은행이 위기설이 돌고 있는 퍼스트리퍼블릭은행에 300억 달러, 우리 돈 39조원을 긴급 예치하겠다고 나섰지만  퍼스트리퍼블릭은행 주가는 반등 하룻만에 오늘 다시 30% 넘게 폭락했습니다.
[토마스 웨이드/아메리칸액션포럼 금융 정책 책임자 : ""우리는 실리콘밸리은행 파산의 주요 이유 중 하나가 장기 국채금리 상승이라는 것을 알고 있습니다. 다른 대형 은행들도 코로나19 대유행 기간 동안 이런 장기 국채를 사들였습니다. 그 때는 사실상 돈을 공짜로 나눠준 거나 마찬가지였지만, 더 이상은 아닙니다.""]
골드만삭스, 뱅크오브아메리카 등 대형 은행주들도 줄줄이 동반 하락하면서 뉴욕증시 주요지수는  오늘 1% 안팎씩 하락 마감했습니다.
이번 은행 연쇄 파산 사태를 불러온 대량예금인출, 이른바 뱅크런이 일어나는 데는 심리적인 이유가 가장 크게 작용합니다.
이 불안심리를 차단하기 위해 미국 정부와 연준, 그리고 대형 민간은행까지 나서고 있지만,  좀처럼 불안감은 수그러들지 않고 있습니다.
금융시장도 연일 요동치고 있습니다.
뉴욕에서 KBS 뉴스 한보경입니다.
촬영:서대영/영상편집:이태희/자료조사:김나희",실리콘밸리은행파산
SBS,실리콘밸리은행모기업도파산신청,네이버뉴스,https://n.news.naver.com/mnews/article/055/0001043690?sid=104,,SBS,"SVB 모기업 파산 보호 신청…시장 출렁, 다시 커진 불안","<앵커>
최근 자금난으로 실리콘밸리은행이 파산한 지 1주일 만에 이번에는 모기업이 파산 보호를 신청했습니다. 진정되는 듯했던 미국 내 다른 은행들의 주가가 크게 떨어지면서 금융시장이 다시 출렁이고 있습니다.
워싱턴 김윤수 특파원입니다.
<기자>
실리콘밸리은행 파산 1주일 만에 모기업이었던 SVB파이낸셜그룹이 법원에 파산 보호를 신청했습니다.
자산 272조 원으로 파산 보호 신청으로는 역대 2번째 규모입니다.
신청이 받아들여지면 채무 이행이 중단되고, 자산 매각 등을 통해 정상화 절차를 밟을 수 있게 됩니다.
예상됐던 일이지만, 시장은 크게 출렁였습니다.
다음 파산 대상으로 지목됐던 퍼스트리퍼블릭은행의 주가는 30% 넘게 폭락했고, 다른 중소 은행들도 일제히 하락했습니다.
[켄 로고프/전 IMF 수석 이코노미스트 : 여전히 불안감이 많은 상황입니다. 금융 위기는 파도처럼 밀려오는 경향이 있는데, 우리는 첫 번째 파도를 봤을 뿐입니다.]
미 정부의 예금 전액 보호 대책과 대형 은행들의 자금 수혈도 불안을 해소하지 못하고 있는 것입니다.
신용평가사 무디스가 퍼스트리퍼블릭의 신용등급을 투자 주의 등급으로 7단계나 강등한 가운데, 은행을 살리기 위한 특단의 조치가 오히려 사태를 악화시킬 수 있다는 지적도 나옵니다.
[토마스 웨이드/금융 전문가 : (정부 개입 등으로) 위험 요소가 사라지면 은행들이 실리콘밸리은행처럼 엉터리 경영을 계속할 뿐만 아니라 더 큰 위험을 추구하게 될 수 있습니다.]
바이든 대통령은 파산 은행의 경영진들이 다시는 은행 일을 하지 못하게 해야 한다며 의회에 관련 입법을 촉구했습니다.
다음 주 연준이 금리 동결로 진화에 나서야 한다는 의견이 잇따르고 있지만, 그럴 경우 연준이 은행 위기를 인정하는 셈이 돼 불안감만 키울 것이라는 의견도 엇갈리면서 혼란이 가중되고 있습니다.
(영상취재 : 오정식, 영상편집 : 오노영)",실리콘밸리은행파산
