press,title,naver_news_text,naver_news_url,body
매일경제,퍼스트리퍼블릭은행 파산하나...“인수자 없으면 내일 결정”,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005123772?sid=101,
매일경제,"파산위기 美 퍼스트리퍼블릭, 인수은행조만간 윤곽",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005123772?sid=101,
노컷뉴스,"'파산위기' 美 퍼스트리퍼블릭銀, 인수전 본격화",네이버뉴스,https://n.news.naver.com/mnews/article/079/0003765034?sid=104,
글로벌경제,"JP모건·PNC, '파산위기' 퍼스트리퍼블릭銀 인수 경쟁",,,
토큰포스트,[속보] ﻿美 퍼스트리퍼블릭은행끝내파산...30일 인수자 발표 예정,,,
한국경제TV,SVB파산충격 본격화?…국내 스타트업 '칼바람',네이버뉴스,https://n.news.naver.com/mnews/article/215/0001098639?sid=101,
한국경제TV,SVB발 여진 본격화하나…국내 스타트업 구조조정 '칼바람',네이버뉴스,https://n.news.naver.com/mnews/article/215/0001098639?sid=101,
연합뉴스,직방ㆍ뱅크샐러드 등 스타트업 구조조정 칼바람,네이버뉴스,https://n.news.naver.com/mnews/article/001/0013912681?sid=105,
kbc광주방송,SVB발 여진으로 벤처 투자 줄어드나…직방 등 국내 스타트업 구조조정 ...,네이버뉴스,https://n.news.naver.com/mnews/article/660/0000033677?sid=101,
헤럴드경제,SVB발 여진 본격화…직방·뱅샐 등 韓 스타트업 구조조정,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002137148?sid=101,
매일경제,"""SVB 감독 부실했다"" 연준,파산책임 인정",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005123900?sid=104,
투데이코리아,"연준 ""SVB사태, 우리 책임""···퍼스트리퍼블릭은행당국 개입도 '임박...",,,
노컷뉴스,"""美연준 '긴축' 통화정책 변화없으면은행권 불안 지속""",네이버뉴스,https://n.news.naver.com/mnews/article/079/0003765012?sid=101,
노컷뉴스,"""美연준 통화정책 변화없으면은행권 불안 지속""",네이버뉴스,https://n.news.naver.com/mnews/article/079/0003765012?sid=101,
동아일보,"머스크 “은행묘지 쌓여, 금리인상 멈춰야” VS 서머스 “연준 할일 해...",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003494585?sid=104,
매일경제,"'97% 폭락' 美은행주에 뭉칫돈 … ""포모 조급증 벗어나야""",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005123951?sid=101,
매일경제,97% 폭락 기업에 묻지마 투자…한국인 ‘한탕 본능’ 못 말린다,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005123951?sid=101,
뉴시스,"美연준, 5월 금리 0.25%p 인상 유력…경기 침체에 동결 전망도",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011832286?sid=104,
뉴시스,[뉴욕증시-주간전망] 5월 FOMC 회의·고용이 온다,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011832286?sid=104,
연합인포맥스,[글로벌 증시전망] ‘또 다시’ 인플레냐 금융 안정이냐…5월 FOMC 결과에...,,,
에너지경제,[뉴욕증시-주간전망] 5월 FOMC 회의·고용이 온다,,,
연합뉴스,"FOMC 정례회의는? 코스피에 타격 주나...삼천리, 서울가스, 선광, 세방 등...",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013912338?sid=101,
이코노미스트,"진승호 한국투자공사 사장 “경제 약한고리, 충격이 어디로 튈지 모르는...",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000044169?sid=101,
비즈워치,3%대 물가상승률 vs 1.75%P 한미금리차,네이버뉴스,https://n.news.naver.com/mnews/article/648/0000015948?sid=101,
