press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
YTN,"달러·원환율1,405원 마감...미국 '셧다운' 우려에 상승",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002254294?sid=104,,YTN,"달러·원 환율 1,405원 마감...미국 '셧다운' 우려에 상승","미국의 연방정부 일시 업무정지, '셧다운' 가능성에 위험자산 회피 현상이 나타나 원화에 약세 압력을 주면서 달러·원 환율은 야간 거래에서 상승 폭을 늘려 1,405원에 마감했습니다.
우리 시간으로 새벽 2시 달러·원 환율은 전장 서울 외환 시장 종가 대비 6.3원 오른 1,405원에 거래를 마쳤고, 이번 장 주간 거래 종가 1,402.9원보다는 2.1원 높아졌습니다.
1,404원 안팎으로 뉴욕장에 진입한 달러·원 환율은 미국 정부의 셧다운 가능성이 한층 커지자 상방 압력을 받았습니다.
트럼프 대통령은 백악관에서 기자들과 만나 민주당의 예산안 요구를 수용할 수 없다며 ""우리는 아마 셧다운을 겪게 될 것""이라고 말했습니다.
현지 시간 자정까지 미 의회의 합의가 없다면 미 정부는 셧다운에 돌입하게 되는데 이렇게 되면 미국 경제지표는 나오지 않고, 연방 인력은 무급 휴직으로 전환하게 됩니다.
미국 경제의 불확실성이 커지면서 달러와 위험 통화로 분류되는 원화는 동반 약세를 보였고, 뉴욕 증시의 다우존스 지수와 나스닥 지수도 하락세입니다.
이 같은 위험 회피 심리를 반영해 달러·원 환율은 장중 1,405.40원까지 상승한 반면, 유로와 엔, 파운드, 스위스 프랑 등은 달러 대비 강세를 나타내고 있습니다.
브라운 브라더스 해리먼(BBH)의 수석 시장 전략가인 엘리아스 하다드는 ""미국 정부의 셧다운 가능성이 달러에 하방 압력을 가하고 있다""고 진단했습니다.
그러면서 ""장기간의 셧다운은 성장에 대한 하방 위험을 키우고, 연방준비제도가 더 완화적인 기조를 취할 가능성을 키운다""고 설명했습니다.
달러·엔 환율은 147.705엔, 유로·달러 환율은 1.17558달러, 역외 달러·위안 환율은 7.1268위안에 거래됐습니다.
엔·원 재정 환율은 100엔당 949.25원, 위안·원 환율은 196.92원에 나타냈습니다.
달러·원 환율 장중 고점은 1,405.4원, 저점은 1,399.3원으로, 변동 폭은 6.1원을 기록했습니다.
야간 거래까지 총 현물환 거래량은 서울 외국환 중개와 한국 자금 중개 양사를 합쳐 186억 8,100만 달러로 집계됐습니다.
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",원달러환율
YTN,"달러·원환율, 美 셧다운 우려에 1405원 마감",네이버뉴스,https://n.news.naver.com/mnews/article/052/0002254294?sid=104,,YTN,"달러·원 환율 1,405원 마감...미국 '셧다운' 우려에 상승","미국의 연방정부 일시 업무정지, '셧다운' 가능성에 위험자산 회피 현상이 나타나 원화에 약세 압력을 주면서 달러·원 환율은 야간 거래에서 상승 폭을 늘려 1,405원에 마감했습니다.
우리 시간으로 새벽 2시 달러·원 환율은 전장 서울 외환 시장 종가 대비 6.3원 오른 1,405원에 거래를 마쳤고, 이번 장 주간 거래 종가 1,402.9원보다는 2.1원 높아졌습니다.
1,404원 안팎으로 뉴욕장에 진입한 달러·원 환율은 미국 정부의 셧다운 가능성이 한층 커지자 상방 압력을 받았습니다.
트럼프 대통령은 백악관에서 기자들과 만나 민주당의 예산안 요구를 수용할 수 없다며 ""우리는 아마 셧다운을 겪게 될 것""이라고 말했습니다.
현지 시간 자정까지 미 의회의 합의가 없다면 미 정부는 셧다운에 돌입하게 되는데 이렇게 되면 미국 경제지표는 나오지 않고, 연방 인력은 무급 휴직으로 전환하게 됩니다.
미국 경제의 불확실성이 커지면서 달러와 위험 통화로 분류되는 원화는 동반 약세를 보였고, 뉴욕 증시의 다우존스 지수와 나스닥 지수도 하락세입니다.
이 같은 위험 회피 심리를 반영해 달러·원 환율은 장중 1,405.40원까지 상승한 반면, 유로와 엔, 파운드, 스위스 프랑 등은 달러 대비 강세를 나타내고 있습니다.
브라운 브라더스 해리먼(BBH)의 수석 시장 전략가인 엘리아스 하다드는 ""미국 정부의 셧다운 가능성이 달러에 하방 압력을 가하고 있다""고 진단했습니다.
그러면서 ""장기간의 셧다운은 성장에 대한 하방 위험을 키우고, 연방준비제도가 더 완화적인 기조를 취할 가능성을 키운다""고 설명했습니다.
달러·엔 환율은 147.705엔, 유로·달러 환율은 1.17558달러, 역외 달러·위안 환율은 7.1268위안에 거래됐습니다.
엔·원 재정 환율은 100엔당 949.25원, 위안·원 환율은 196.92원에 나타냈습니다.
달러·원 환율 장중 고점은 1,405.4원, 저점은 1,399.3원으로, 변동 폭은 6.1원을 기록했습니다.
야간 거래까지 총 현물환 거래량은 서울 외국환 중개와 한국 자금 중개 양사를 합쳐 186억 8,100만 달러로 집계됐습니다.
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr",원달러환율
SBS Biz,"달러·원환율, 美셧다운 우려에 1,405원 마감",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000466637?sid=104,,SBS Biz,"달러·원 환율, 美 셧다운 우려에 1405원 마감","달러·원 환율은 야간 거래에서 상승 폭을 확대하며 1405원에 마감했습니다.
미국의 연방정부 일시 업무정지, 셧다운 위기가 고조되면서 위험자산 회피 현상이 나타났고 원화에 약세 압력을 줬습니다.
오늘(1일) 새벽 2시 서울 외환시장에서 달러·원 환율은 주간 장보다 2.1원 오른 1405원에 거래를 마쳤습니다.
1404원 안팎으로 뉴욕장에 진입한 달러·원 환율은 미 정부의 셧다운 가능성이 한층 커지자 상방 압력을 받았습니다.
장중 한때는 1405.4원까지 오르기도 했습니다.
도널드 트럼프 미국 대통령은 이날 백악관에서 기자들과 만나 민주당의 예산안 요구를 수용할 수 없다며 ""우리는 아마 셧다운을 겪게 될 것""이라고 말했습니다.
현지시간 자정까지 미 의회의 합의가 없다면 미 정부는 셧다운에 돌입하게 됩니다.
미국 경제의 불확실성이 커지면서 달러와 위험 통화로 분류되는 원화는 약세를 보였습니다.
브라운브라더스해리먼(BBH)의 수석 시장 전략가인 엘리아스 하다드는 ""미국 정부의 셧다운 가능성이 달러에 하방 압력을 가하고 있다""면서 ""장기간의 셧다운은 성장에 대한 하방 위험을 키우고, 연방준비제도가 더 완화적인 기조를 취할 가능성을 키운다""고 설명했습니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",원달러환율
연합뉴스TV,"달러-원, 야간서 미국 셧다운 우려에 상승폭 확대…1,405원 마감",네이버뉴스,https://n.news.naver.com/mnews/article/422/0000787030?sid=104,,연합뉴스TV,"달러·원 환율, 美셧다운 우려에 1,405원 마감","미국 달러 사진 출처: 연합뉴스
달러·원 환율이 야간 거래에서 상승 폭을 확대하며 1,405원에 마감했습니다.
미국의 연방정부 일시 업무정지, '셧다운' 가능성에 위험자산 회피 현상이 나타나 원화에 약세 압력을 준 것으로 분석됩니다.
우리 시간으로 1일 새벽 2시 달러·원 환율은 전장 서울 외환 시장 종가 대비 6.3원 오른 1,405원에 거래를 마쳤고, 이번 장 주간 거래 종가 1,402.9원과 비교해 2.1원 높아졌습니다.
1,404원 안팎으로 뉴욕장에 진입한 달러·원 환율은 미 정부의 셧다운 가능성이 한층 커지자 상방 압력을 받았습니다.
트럼프 대통령은 백악관에서 기자들과 만나 민주당 예산안 요구를 수용할 수 없다며 ""우리는 아마 셧다운을 겪게 될 것""이라고 말했습니다.
현지 시간 자정까지 미 의회의 합의가 없다면 미 정부는 셧다운에 돌입하게 되는데 셧다운 땐 미국 경제지표는 나오지 않고, 연방 인력은 무급 휴직으로 전환하게 됩니다.
연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",원달러환율
조세금융신문,"달러-원, 야간서 美 셧다운 우려에 상승폭 확대…1,405원 마감",,,,,,,원달러환율
머니투데이,다시 1400원 웃도는환율…연휴 이후 전망은,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005258978?sid=101,,머니투데이,다시 1400원 웃도는 환율…연휴 이후 전망은,"전문가들 ""단기적 상승 가능성, 연말에는 하락 전망""
1일 오전 서울 중구 하나은행 딜링룸에 지수가 표시되고 있다. /사진=뉴시스
원/달러 환율 수준이 다시 1400원을 웃돈다. 한미간 환율협의가 마무리됐지만 당장 원/달러 환율에 미치는 영향은 크지 않다는 평가다. 미국 통화정책 경로와 대미투자펀드 등 대내외 불확실성이 상존하는 가운데 긴 추석 연휴 이후 환율 전망에도 관심이 쏠린다.
1일 서울 외환시장에서 원/달러 환율 주간거래 종가는 전 거래일 대비 0.3원 오른 1403.2원을 기록했다. 원/달러 환율은 지난 26일 약 4개월 만에 주간거래 종가가 1410원선을 넘은 등 연일 1400원선을 웃돌고 있다. 야간거래 종가는 5거래일 연속 1400원대를 기록했다.
좀처럼 1400원을 넘지 않던 원/달러 환율이 1400원대로 올라선 건 달러화가 강세를 보였던 탓이다. 주초 미국의 2분기 GDP(국내총생산) 확정치가 시장 예상치를 크게 웃돌면서 금리인하 기대감을 후퇴시킨 동시에 미국채 금리와 달러화는 상승했다.
수급 요인도 있다. 황건일 한은 금융통화위원은 지난 23일 기자간담회에서 ""수급 측면에서 거주자의 해외 증권투자가 외국인의 국내 증시 투자보다 훨씬 많기 때문에 달러인덱스 대비 원/달러 환율이 높은 것도 사실""이라며 ""대미투자 협상이 진행 중인 부분도 우려 요인""이라고 말했다.
대미투자펀드 불확실성은 여전한 외환시장 변수다. 한미 양국이 환율정책 협의를 마무리짓긴 했지만, 대미투자펀드를 포함한 후속 관세협상과는 별개다. 이번 협의는 국제수지 조정을 저해하거나 부당한 경쟁 우위를 확보하기 위해 자국 통화 가치를 조작하지 않는다는 환율정책 기본 원칙을 재확인한 차원이다.
연기금 등 정부 투자기관의 해외투자는 위험조정과 투자 다변화 목적에 따라 이뤄져야 하고, 경쟁적 목적의 환율을 목표로 하지 않는다는 점에서도 의견을 나눴다. 또 현재 분기별로 대외 공개하는 외환당국의 시장개입 규모를 미 재무부에 월별 데이터로 비공개 공유하기로 했다.
향후 원/달러 환율 전망은 워낙 불확실성이 높다. 미국 통화정책이나 한미간 후속 관세협상 등 변수가 산적해있다. 다만 단기적으로는 원/달러 환율 상단을 1420원까지 열어둬야 한다고 보는 시각이 우세하다.
백석현 신한은행 연구원은 ""한미 통화스와프가 체결되면 외환시장에서 환율 상승을 막아주는 방패가 생기기 때문에 당연히 좋겠지만, 미국이 체결해 줄 가능성이 높진 않다""고 말했다.
이어 ""통화스와프뿐 아니라 많은 것들이 협상 대상이 될 수 있기 때문에 다른 수단을 통해 협상할 가능성이 높다고 본다""며 ""통화스와프나 환율협의 결과로 원/달러 환율 변동성이 확대되진 않을 것""이라고 덧붙였다.
시장에서는 단기적으로는 1420원까지 상단을 열어둬야 한다고 보는 동시에 연말로 갈수록 하락세가 나타날 것이라는 전망이 우세하다. 백 연구원은 ""원/달러 환율이 연초 수준으로 오를 가능성은 낮다""며 ""이달 말부터는 하락할 가능성이 있다""고 전망했다.
최규호 한화투자증권 연구원은 ""환율이 당장 하락세로 돌아서긴 어렵다""면서도 ""미국 물가 상승률이 이번 분기를 정점으로 낮아지고 관세 부담도 점차 완화되면서 연말에는 환율이 하락할 것""이라고 분석했다. 이어 ""현재 기준 1370원 정도가 적정 환율이라고 보고 연내 환율 하단은 1350원을 제시한다""고 덧붙였다.",원달러환율
머니투데이,"韓美환율합의, 조작국 꼬리표 뗐지만 '방어력' 약화 우려",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005258978?sid=101,,머니투데이,다시 1400원 웃도는 환율…연휴 이후 전망은,"전문가들 ""단기적 상승 가능성, 연말에는 하락 전망""
1일 오전 서울 중구 하나은행 딜링룸에 지수가 표시되고 있다. /사진=뉴시스
원/달러 환율 수준이 다시 1400원을 웃돈다. 한미간 환율협의가 마무리됐지만 당장 원/달러 환율에 미치는 영향은 크지 않다는 평가다. 미국 통화정책 경로와 대미투자펀드 등 대내외 불확실성이 상존하는 가운데 긴 추석 연휴 이후 환율 전망에도 관심이 쏠린다.
1일 서울 외환시장에서 원/달러 환율 주간거래 종가는 전 거래일 대비 0.3원 오른 1403.2원을 기록했다. 원/달러 환율은 지난 26일 약 4개월 만에 주간거래 종가가 1410원선을 넘은 등 연일 1400원선을 웃돌고 있다. 야간거래 종가는 5거래일 연속 1400원대를 기록했다.
좀처럼 1400원을 넘지 않던 원/달러 환율이 1400원대로 올라선 건 달러화가 강세를 보였던 탓이다. 주초 미국의 2분기 GDP(국내총생산) 확정치가 시장 예상치를 크게 웃돌면서 금리인하 기대감을 후퇴시킨 동시에 미국채 금리와 달러화는 상승했다.
수급 요인도 있다. 황건일 한은 금융통화위원은 지난 23일 기자간담회에서 ""수급 측면에서 거주자의 해외 증권투자가 외국인의 국내 증시 투자보다 훨씬 많기 때문에 달러인덱스 대비 원/달러 환율이 높은 것도 사실""이라며 ""대미투자 협상이 진행 중인 부분도 우려 요인""이라고 말했다.
대미투자펀드 불확실성은 여전한 외환시장 변수다. 한미 양국이 환율정책 협의를 마무리짓긴 했지만, 대미투자펀드를 포함한 후속 관세협상과는 별개다. 이번 협의는 국제수지 조정을 저해하거나 부당한 경쟁 우위를 확보하기 위해 자국 통화 가치를 조작하지 않는다는 환율정책 기본 원칙을 재확인한 차원이다.
연기금 등 정부 투자기관의 해외투자는 위험조정과 투자 다변화 목적에 따라 이뤄져야 하고, 경쟁적 목적의 환율을 목표로 하지 않는다는 점에서도 의견을 나눴다. 또 현재 분기별로 대외 공개하는 외환당국의 시장개입 규모를 미 재무부에 월별 데이터로 비공개 공유하기로 했다.
향후 원/달러 환율 전망은 워낙 불확실성이 높다. 미국 통화정책이나 한미간 후속 관세협상 등 변수가 산적해있다. 다만 단기적으로는 원/달러 환율 상단을 1420원까지 열어둬야 한다고 보는 시각이 우세하다.
백석현 신한은행 연구원은 ""한미 통화스와프가 체결되면 외환시장에서 환율 상승을 막아주는 방패가 생기기 때문에 당연히 좋겠지만, 미국이 체결해 줄 가능성이 높진 않다""고 말했다.
이어 ""통화스와프뿐 아니라 많은 것들이 협상 대상이 될 수 있기 때문에 다른 수단을 통해 협상할 가능성이 높다고 본다""며 ""통화스와프나 환율협의 결과로 원/달러 환율 변동성이 확대되진 않을 것""이라고 덧붙였다.
시장에서는 단기적으로는 1420원까지 상단을 열어둬야 한다고 보는 동시에 연말로 갈수록 하락세가 나타날 것이라는 전망이 우세하다. 백 연구원은 ""원/달러 환율이 연초 수준으로 오를 가능성은 낮다""며 ""이달 말부터는 하락할 가능성이 있다""고 전망했다.
최규호 한화투자증권 연구원은 ""환율이 당장 하락세로 돌아서긴 어렵다""면서도 ""미국 물가 상승률이 이번 분기를 정점으로 낮아지고 관세 부담도 점차 완화되면서 연말에는 환율이 하락할 것""이라고 분석했다. 이어 ""현재 기준 1370원 정도가 적정 환율이라고 보고 연내 환율 하단은 1350원을 제시한다""고 덧붙였다.",원달러환율
뉴데일리,"한미,환율정책 합의...환율관찰대상국 제외 불발",,,,,,,원달러환율
민중의소리,"한국 정부,환율시장 개입 시 매달 미국에 보고 의무",,,,,,,원달러환율
메트로신문,"[한미환율합의] 서울환시 ""통화스와프 해법 없어 영향은 미미""",,,,,,,원달러환율
