press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
오마이뉴스,"아파트입주 예정자입니다, 단톡방 보기가 무섭습니다",네이버뉴스,https://n.news.naver.com/mnews/article/047/0002402720?sid=103,,오마이뉴스,"아파트 입주 예정자입니다, 단톡방 보기가 무섭습니다","'내돈내산' 수 억 짜리 집 사고 아파트 무너질까 걱정해야 하는 현실
【오마이뉴스의 모토는 '모든 시민은 기자다'입니다. 시민 개인의 일상을 소재로 한 '사는 이야기'도 뉴스로 싣고 있습니다. 당신의 살아가는 이야기가 오마이뉴스에 오면 뉴스가 됩니다. 당신의 이야기를 들려주세요.】
무더운 여름날 남편이 바람을 좀 쐬고 오겠다며 집을 나섰다. 바람 한 점 없는 뙤약볕에 무슨 바람을 쐰다는 건지 의문이긴 했지만 일단 잘 다녀오라고 말했다. 30분 뒤쯤 핸드폰으로 전송된 사진 두 장. 알고 보니 남편은 입주가 1년 2개월 남은 아파트가 잘 지어지고 있는지 궁금해서 확인을 하러 간 것. 그날 본 공사 현장 사진을 찍어 보낸 것이었다.
셋째를 임신하고 우리 부부는 다자녀 특별공급 청약을 준비했다. 간절한 마음을 가득 담아 당첨을 목표로 했고 일상의 잉여에너지를 모두 청약공부에 썼다. 역할분담을 해가며 열심히 준비한 결과, 청약 당첨의 기쁨을 누릴 수 있었다. 우리 가족에게는 너무도 중요한 과제였기에 최선을 다했고 당첨 사실을 확인한 날 남편은 눈물을 흘리며 기뻐했다.
그만큼 지금 지어지고 있는 아파트는 우리에게 평범한 집 그 이상의 의미다. '사활을 걸었다'까지는 아니지만 당시의 처지와 상황에서 보다 나은 환경을 누리기 위해 최선을 다했기 때문이다. 그런데 당첨의 기쁨은 그리 오래 가지 않았다.
당첨의 기쁨도 잠시, 불안하다 몹시
입주 예정자들이 모인 오픈채팅방에서는 아파트와 관련한 많은 이야기가 오간다. 그 중에는 유독 부실공사에 대한 소식이 많이 공유되었다. 내가 기억하는, 가장 처음 관심 있게 봤던 사건은 바로 광주의 한 아파트. 10개 층 이상이 붕괴되었는데 부실시공과 부실관리의 문제가 제기되었다.
▲
2022년 1월 11일 붕괴 사고가 일어난 광주광역시 서구 화정아이파크 현장 모습. 사고 현장 왼쪽이 광주종합버스터미널(유스퀘어)이다. 2022년 1월 13일 촬영.
ⓒ 오마이뉴스 안현주
또 하나는, 올해 상반기에 사전점검을 위해 방문한 입주 예정자가 해당 세대 내 화장실에서 인분을 발견한 일이다. 이는 건설노동자의 열악한 노동환경과 연관되어 있으며 하루 이틀의 문제가 아니라는 내용이었다.
뿐인가. 최근에는 인천 검단신도시 LH 아파트 지하주차장이 붕괴되는 사건이 터졌다. '어린이 놀이터 예정 지점과 지하주자창 2층의 지붕층이 연쇄적으로 붕괴되어 무너져내린 사고'라 했다(입주 후의 상황이라고 생각하면 아찔하다).
이 사건은 더 눈여겨볼 수밖에 없었다. 나 또한 입주가 얼마 남지 않은 시점이기 때문이다. 시공사인 GS건설은 설계와 시공단계에서 점점 기준보다 적은 철근을 넣어 시공했고 비는 공간은 콘크리트로 채웠다고 한다. 그 결과 아파트 뼈가 없다는 의미로 '순살 자이'라는 별칭까지 얻었다.
▲ 붕괴 사고 발생한 인천 아파트 건설 현장
5월 2일 오후 인천시 서구 검단신도시 모 아파트 건설 현장에서 구조물이 파손돼 있다. 이곳에서는 지난 4월 29일 지하 주차장 1∼2층의 지붕 구조물이 무너지는 사고가 발생했다
ⓒ 연합뉴스
입주를 앞둔 우리 부부에게 이런 뉴스는 초관심사였다. 어떤 부분이 문제가 되었는지, 부실 공사의 원인은 무엇인지 연일 기사를 클릭해서 읽었다. 아무리 우리나라에서만 이례적인 '선분양제도'가 문제라고 해도 수억, 수조의 금액이 투입되는 공사를 이토록 부실하게 할 수가 있는 건가. 내가 2023년에 살고 있는 게 맞는 건가. 신기할 지경이었다.
입주예정자 오픈채팅방과 지역부동산카페에는 자신이 거주하는 또는 입주할 아파트가 괜찮을지 걱정하는 글들이 하루가 멀다 하고 올라온다. 오죽하면 내가 속한 예비입주자들의 모임에서 '요즘 날씨도 더운데 공사 현장에 계시는 분들께 아이스크림이라도 한번 대접해야 하는 건 아니냐'는 말까지 나왔을까. '우리 아파트 제발 좀 잘 지어 주십사' 하는 예비 입주자들의 간절함을 느낄 수 있었다.
건축에는 전혀 관심이 없는 나조차 기사를 보며 알아볼수록 놀라고 있는 건 바로 설계부터 잘못되었다는 '순살자이' 논란이다. 설계에서 문제가 있었고 감리도 제대로 이루어지지 않았으며 시공에서는 더 심각한 부실이 드러났다는 것이다. 결국 해당 기업은 1조1300억을 들여 재시공을 하겠다고 입장을 밝혔다.
기업의 이윤추구는 자본주의 사회에서 당연한 일이다. 그리고 그 기업의 이윤추구를 통해 사회 전체적인 부를 상승시키는 효과가 있다. 그러나 소비자가 없으면 기업은 존재하기 힘들다.
우리 부부만 해도 입주가 더욱 가까워진 내년부터는 가계 수입의 상당 부분을 아파트에 투입할 각오를 하고 분양을 받았다. 이렇게 한 개인 또는 한 가정에서 몇 십 년을 담보로 대출을 해서라도 살려고 하는 아파트인데 그런 곳에서 이런 부실공사가 자행되고 있다니.
제대로 했으면 없었을 망신
▲
1일 오후 경기도 양주시 덕계동 양주회천 A15블록 아파트 주차장 기둥에 보강 작업을 위한 철판이 덧붙여져 있다. 국토교통부는 전날 파주 운정(A34 임대), 남양주 별내(A25 분양), 양주 회천(A15 임대) 등 지하 주차장 철근을 빠뜨린 한국토지주택공사(LH) 아파트 15개 단지를 공개했다.
ⓒ 연합뉴스
대형 건설사들을 풍자하는 네이밍이 유행하고 있다. 철근이 부식된 채로 건물 외벽에 버젓이 노출되어 '통뼈캐슬'이라고 부르고, 폭우가 내렸을 때 건물에 물이 줄줄 새 단지가 침수된 경우를 빗대어 '흐르지오'로 부른다. 망신이다. 제대로 했으면 듣지 않아도 될 망신이라 시민들은 그저 웃프다.
지금부터라도 도덕적 해이를 벗어나기 위해 노력해야 한다. 기업 입장에서는 부실공사가 드러나면 타격이 크다. 잘못을 인정하고 재시공을 하는 건 이미지 타격도 크고 재정적 손실도 막대하다. 그러니 처음부터 관리감독을 철저히 해서 안전 시공해야 한다. 소비자들의 신뢰를 회복하는 길은 그뿐이다. '통뼈캐슬', '흐르지오', '순살자이'... 시간이 지나면 잊히겠지 하고 넘어갈 일이 아니다.
제발 아파트 부실공사가 아니라 아파트 안전공사 소식이 많이 들렸으면 좋겠다. 부실 공사가 터지고 나면 어느 브랜드였는지 따져볼 것이 아니라 어느 시공사가 더 안전하게 짓는지 경쟁하는 때가 도래하면 좋겠다. 수 억 원을 들여서 구입하는 내 집을 두고 지진도 아닌데 무너져 내릴까 걱정하는 현실이 속상하다.
중국의 기나라에 걱정 많은 사람을 빗대어 표현한 '기우(杞憂)'라는 고사성어가 있다. '기나라 사람의 걱정'이라는 뜻으로, 소위 '쓸데없는 걱정'을 이르는 말이다. 아파트 완공을 기다리면서도 문득문득 떠오르는 '아파트가 무너지지는 않을까' 하는 걱정이 그저 '기우'로 끝났으면 하는 바람이다.
덧붙이는 글 |
이 글은 제 블로그와 브런치에 실릴 수 있습니다.",아파트부실공사
기호일보,양평아파트입주 2주 만에 물 새고 갈라지고,,,,,,,아파트부실공사
경남일보,부실논란 휩싸인 사천 삼정그린코아아파트,,,,,,,아파트부실공사
서울경제,[기자의 눈]'무량판 민간아파트' 감추기 급급한 정부,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004226610?sid=101,,서울경제,[기자의 눈]'무량판 민간 아파트' 감추기 급급한 정부,"■노해철 건설부동산부 기자
[서울경제]
“정부에서 민간 아파트 전수조사에 나섰지만 아무런 정보가 없으니 막연한 불안감이 더 큽니다.”
국토교통부가 지난주부터 무량판 구조를 적용한 민간 아파트 293개 단지에 대한 전수조사에 나섰지만 곳곳에서 불안감을 호소하는 목소리가 끊이지 않고 있다. 온라인 커뮤니티에서는 우리 아파트가 무량판 구조 적용 단지인지, 철근을 빠뜨린 ‘순살 아파트’에 해당하는지를 확인하는 방법을 묻거나 공유하는 등 자구책 마련에 분주한 입주민들을 쉽게 찾아볼 수 있다.
이처럼 불안감이 수그러들지 않는 데는 정부의 ‘깜깜이식’ 조사가 한몫한다는 비판이 나온다. 국토부는 현재 시공 단계에 있는 무량판 민간 아파트의 경우에는 이번 조사 사실을 알리지 않겠다는 입장을 내비쳤다. 이들 단지의 입주 예정자들은 자신의 아파트가 점검 대상인지 인지하지 못한 채 조사 결과만을 기다리며 불안에 떨어야 하는 것이다. 점검 대상 가운데 시공 중인 아파트는 총 105개 단지로 가구 수로만 10만 가구에 달한다. 반면 입주를 마친 나머지 188개 단지(15만 가구)의 입주민들은 자신의 아파트에서 진행되는 조사 과정을 확인할 수 있어 형평성에 어긋난다는 지적도 적지 않다.
문제는 이런 방식이 조사 결과에 대한 신뢰도를 떨어뜨리는 결과로 이어질 수 있다는 점이다. 자신의 아파트에 대한 조사 사실조차 모르는 상태에서 정부의 발표로 조사 결과를 확인할 경우에 쉽사리 수용할 수 있겠냐는 것이다.
두 달 남짓한 기간 안에 제대로 된 조사가 이뤄질 수 있느냐는 의심의 눈초리도 여전하다. 앞서 한국토지주택공사(LH)의 무량판 아파트 91개 단지에 대한 조사에는 석 달이 소요된 바 있다.
그러나 국토부는 여전히 감추기에 급급한 태도를 고수하고 있다. 이번 조사에서 철근 누락 등 부실 문제가 발견된 단지명의 공개 여부도 아직 결정하지 못했다. 결국 부실시공에 대한 원인 파악과 해결은 묘연해지고 부실 조사 논란만 남을 수 있다. 투명하고 객관적인 조사와 신뢰도 높은 결과를 토대로 부실시공의 고리를 끊어낼 실효성 있는 대책이 나오기를 기대해 본다.",아파트부실공사
디지털타임스,"""아파텔이 더 허술""…부실시공 의혹에도 사용승인 `프리패스`",네이버뉴스,https://n.news.naver.com/mnews/article/029/0002819427?sid=101,,디지털타임스,"""아파텔이 더 허술""… 부실시공 의혹에도 사용승인 `프리패스`","주택법 아닌 건축법 적용 받아
입주자 사전 점검 권고에 그쳐
위법땐 입주민이 소송 제기해야
준공 시점 임박… 논란 커질 듯
인천 청라동 한 오피스텔에서 부실시공 의혹이 제기됐지만 지자체는 아무런 문제가 없다며 사용승인을 내줬다.
오피스텔이 아파트보다 부실시공 위험에 더 취약한 것으로 나타났다. 2~3년 전 부동산 급등기 당시 아파트의 대체재로 우후죽순 늘어났던 오피스텔의 준공 시점이 다가오면서 부실시공 논란은 더욱 커질 전망이다.
당시 많은 오피스텔이 '주거용 오피스텔', '아파텔' 등의 이름으로 분양에 나섰다. 하지만 건축법이 적용되는 오피스텔은 아파트와 달리 입주자 사전점검, 품질점검단 등 주택법에서 정한 안전검증 절차를 거치지 않는다. 단순 하자부터 설계, 시공, 감리 등 건설 과정 전반을 확인할 수 있는 안전장치가 빠진 것이다.
한 번 사용승인이 떨어질 경우, 설계와 다른 부실시공 정황이 발견돼도 이미 내려진 사용승인을 취소할 수도 없는 것으로 확인됐다.
철근 누락 사태 등으로 불거진 아파트 안전 문제가 오피스텔로 확산될 수 있다는 우려가 나온다.
15일 관련업계에 따르면 인천 청라동의 한 주거용 오피스텔에서 설계와 다른 시공, 소방시설법 위반사항 등 부실시공 정황이 다수 발견됐지만 지자체는 아무런 문제가 없다며 사용승인을 내준 것으로 확인됐다.
오피스텔 입주민들은 설계도서와 다른 부실시공 의혹을 제기했다.
해당 오피스텔 입주민들은 스프링클러 설비 미설치, 마감재 미시공, 내장재 임의변경 등 40여개의 지적사항이 발견됐다고 주장했다. 결로, 누수 등 단순 하자가 아닌 설계도서와 다른 명백한 부실시공이라는 입장이다.
허가권자인 인천경제자유구역청은 건축법에 따라 문제가 없다고 판단, 사용승인을 내줬다고 설명했다. 입주민들이 제기한 위법 의심 사항에 대해서는 다시 검토해 1~2주 내 위법여부를 판단한다는 방침이다.
다만 점검에서 실제로 위법사항이 발견되더라도, 이미 내려진 사용승인을 취소하긴 어렵다는 입장이다. 인천경제자유구역청 관계자는 ""실제로 위법사항이 확인되면 입주민들이 인허가청에 사용승인 취소 소송을 제기해야 한다""며 ""시행사나 감리사, 시공사 등에 대한 처벌은 별도로 이뤄질 것""이라고 말했다.
최근 입주를 진행한 남양주 덕소의 한 오피스텔에서도 비슷한 상황이 나왔다. 수분양자들이 임의 설계변경, 설계도면과 다른 시공 등을 지적했지만 남양주시청은 이를 발견하지 못하고 사용승인을 허가했다.
아파트는 주택법에 따라 사용승인 전 입주자 사전점검을 필수로 진행하고, 시공사는 여기서 발견된 균열과 파손 등을 조치해야 사용승인을 신청할 수 있다. 또 지자체가 운영하는 품질점검단을 통해 사용승인 전 공동주택의 건축, 구조, 안전, 품질관리 등을 확인하도록 했다. 입주자와 전문가가 공동주택 공사상태 전반을 사전에 확인할 수 있는 안전장치를 마련해둔 것이다.
반면 오피스텔은 건축법을 적용 받는다. 건축법에서는 지자체가 직접 감리완료보고서, 공사완료도서 등을 확인해 설계도서대로 시공됐는지 등을 판단하고 사용승인을 내리도록 했다. 현장검사는 건축사사무소가 대행할 수 있다. 입주자 사전점검도, 전문가의 안전 검증도 없다.
이번 문제가 발생한 오피스텔은 시행사와 시공사가 같은 계열사이고, 시행사가 고용한 설계사와 감리사도 동일한 곳이었다. 시공사와 설계사의 감독 역할을 해야 하는 시행사, 감리사가 사실상 같은 회사이지만 현행법상 문제는 발생하지 않는다.
지자체는 해당 감리사의 보고서를 바탕으로 사용승인을 내준다.
오피스텔 시공사는 입주자 사전점검도 받지 않아도 된다. 지자체가 사전점검을 진행하도록 권고하고 있지만, 유명무실한 권고에 그친다는 지적이다. 청라 오피스텔 역시 사전점검을 진행한 지 이틀 만에 사용승인이 떨어졌다. 사전점검에서 입주민들이 제기한 지적사항은 하나도 조치되지 않았지만 지자체는 이를 문제삼지 않았다.
건설업계 관계자들은 2~3년 전 '주거용 오피스텔'과 '아파텔' 등의 명칭으로 분양했던 오피스텔들의 준공시점이 다가오면서 이런 문제들이 늘어날 것으로 봤다. 내부 구조와 설계 등은 아파트와 비슷하지만, 공동주택이 아닌 일반 건축물에 포함되는 이상한 체계로 감독·허가 과정이 허술하다는 지적이다.
한 대형 건설사 관계자는 ""아파트와 오피스텔이 합쳐진 주상복합 역시 주택법이 아닌 건축법의 영향을 받는 이상한 구조""라며 ""대형 건설사의 경우 공동주택에 준하는 수준의 품질검사를 진행하지만, 오피스텔은 규모가 작은 시행사와 시공사가 사업을 진행하는 경우가 많아 품질과 안전 문제에 더 취약한 상태""라고 말했다. 또 ""승인절차 역시 이중, 삼중 체계를 갖춘 아파트에 비해 허술한 것이 사실""이라고 덧붙였다.",아파트부실공사
대전일보,대전 민영아파트철근 누락 점검…결과는 비공개?,네이버뉴스,https://n.news.naver.com/mnews/article/656/0000060087?sid=102,,대전일보,대전 민영아파트 철근 누락 점검…결과는 비공개?,"市, 공사 중인 단지 무량판 점검…완공 아파트는 국토부와 연계
결과 및 단지명 비공개 전망에 ""불안해서 어떻게 집 사냐"" 불만도
LH 아파트 철근 누락과 관련해 대전시가 공사 중인 무량판 구조 민영아파트를 대상으로 철근 현황 파악에 나섰다. 그러나 누락 현황과 단지명 등이 공개되지 않을 것으로 보여 시민들 사이에선 볼멘소리가 흘러나오고 있다.
시는 지난주 실시한 지역 민영아파트에 대한 철근 누락 점검을 18일 끝마칠 예정이다. 국토부와의 전반적인 논의를 거쳐 시행된 해당 점검은 지역 내 공사 중인 65곳의 아파트 중 지하주차장을 무량판 구조로 시공한 5곳을 대상으로 이뤄졌다. 주거동을 무량판으로 조성하는 아파트가 없었기 때문에 무량판 구조 지하주차장 중심의 점검을 실시했다는 게 시의 설명이다.
시는 품질점검위원 구조·시공기술사를 동원해 점검 대상 아파트의 설계도서와 구조도서 일치 부분을 살펴보고 있다. 또 철근 탐지와 비파괴 검사 등으로 현장 시공 상태를 조사하고 감리 실태도 살펴 부실 감리를 걸러낼 방침이다.
하지만 이번 철근 누락 점검 결과의 세부적인 내용은 비공개 처리될 전망이다. 국토부는 지난 8일 관계기관과의 협력 회의에서도 ""단지 대상은 공개하지 않을 것""이라며 ""문제가 있는 단지라고 확정될 경우에만 입주민 의사 등을 종합적으로 고려해 공개 여부를 검토할 수 있다""고 말했다. 국토부가 공사 중인 아파트 점검과 관련해 지자체에 보낸 공문에도 '단지명 등을 공개하지 않을 것'을 요청했다고 알려졌다. 민영아파트의 철근 누락 사실 공표에 따라 집값 하락을 우려하는 입주민들의 반발이 비공개 원인인 것으로 분석된다.
상황이 이렇다 보니 여전히 무량판 공포를 떨쳐내지 못한 시민들은 불만을 토로하고 있다.
시민 안희영(30) 씨는 ""민영아파트에 대한 무량판 조사가 이뤄지는 것은 긍정적이지만 부실시공을 적발해 보수만 하고 결과를 공개하지 않으면 시민들의 불안감은 해소될 수 없다""며 ""지하주차장 철근이 누락됐다면 주거동에도 부실시공이 이뤄지지 않았다는 보장이 없을 것이다. 주거동을 포함한 대대적인 점검을 펼치지 않는 이상 부실시공 단지명을 '민간'이라는 이유로 공개하지 않는다면 겁이 나서 아파트를 어떻게 구매하냐""고 지적했다.
완공된 아파트에 대한 조사도 조만간 이뤄진다. 국토부는 지난 8일 관계기관 및 지자체와의 주요 역할과 세부 추진 일정 등을 논의해 전수조사를 계획했다. 이에 대전시를 비롯한 전국 지자체는 지역 내 준공 완료 아파트의 설계도서와 구조도서 등을 확보해 점검기관에 제공하고 안전진단기관 및 국토안전관리원과 철근 누락 사항을 살펴보게 된다. 다만 완공 아파트는 입주민 동의와 진단 업체 선정 등을 거쳐야 하는 탓에 본격적인 점검까진 상당기간 시일이 걸릴 것으로 예상된다.
한편 국토부는 내달까지 안전점검을 끝마치고 오는 10월 중 조사 결과와 무량판 안전대책 등을 발표할 방침이다.",아파트부실공사
브릿지경제,"서구의회 의원, 공동주택부실시공 지적 및 검단3지구 도시개발 현장 방...",,,,,,,아파트부실공사
브릿지경제,"인천 서구의회, 공동주택부실시공 지적 및 검단3지구 도시개발 현장 방...",,,,,,,아파트부실공사
신아일보,"인천 서구의회, 검단3지구 도시개발 현장 방문",,,,,,,아파트부실공사
파이낸스투데이,"은마아파트, 명품 단지로 쾌속 질주 위한 '필요조건' ""조합장 선거서 판...",,,,,,,아파트부실공사
