press,title,naver_news_text,naver_news_url,body
데일리안,부실시공 이슈 확산…분양시장 新트렌드 '후분양'아파트,네이버뉴스,https://n.news.naver.com/mnews/article/119/0002755285?sid=101,
데일리안,부실시공 논란 여파 후분양아파트분양 잇따라,네이버뉴스,https://n.news.naver.com/mnews/article/119/0002755285?sid=101,
헤럴드경제,분양시장 새 트렌드라는 '후분양'…신규 분양아파트주목,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002206251?sid=101,
한국경제,분양시장 새로운 트렌드…'후분양'아파트,네이버뉴스,https://n.news.naver.com/mnews/article/015/0004898847?sid=101,
한국경제TV,부실시공 우려 커지자 '후분양'아파트로 눈길,네이버뉴스,https://n.news.naver.com/mnews/article/215/0001127959?sid=101,
뉴스1,"LH 임대아파트소방시설물 관리부실, 빈번한 화재 피해 급증",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007089565?sid=102,
뉴스1,"엄태영 제천단양 의원, LH임대아파트화재사고 소방시설물 ""수수방관""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0007089565?sid=102,
국제뉴스,"엄태영 ""LH 임대아파트화재 6년간 773건…소방시설 관리 엉망""",,,
충청일보,"임대주택 화재사고 끊이지 않는데…LH, 소방시설물 관리 손 놓고 있어",,,
메디컬투데이,"끊이지 않는 LH 화재사고, LH 소방시설물 관리 손 놓고 있어",,,
데일리한국,2023 국감 국토위 관전포인트 '부실시공-양평고속道',,,
데일리한국,"2023 국토위 국감 키워드 ""양평고속道·통계조작·부실시공""",,,
에너지경제,[2023 국감] 올해 국토위 관전 포인트 '양평고속道·검단아파트',,,
신아일보,"국토위 국감 D-5, 관전 포인트는 '양평고속도로,부실시공'",,,
SR타임스,[2023 국감] 중대재해·부실시공·벌떼입찰…건설사 대표 줄소환,,,
SR타임스,떨고 있는 건설사 CEO…국감 소환 '촉각',,,
뉴스토마토,21대 마지막 국감 출석에 떨고 있는 대형건설사들은 어디,,,
EBN,"부실시공 후폭풍…GS건설, 쉽지 않은 3분기",,,
아주경제,"[2023 국감 프리뷰] 국토위, 양평고속도로·순살아파트·LH전관 예우 등...",,,
뉴시스,이달부터 PF·건설사 7.2조 정책금융 지원,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012128732?sid=101,
뉴시스,이달부터 부동산PF 사업자보증 확대…2.2조 PF정상화 펀드 본격 가동,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012128732?sid=101,
뉴스1,'주택공급' 팔 걷은 당국...PF사업장에 21조 지원사격,네이버뉴스,https://n.news.naver.com/mnews/article/421/0007090004?sid=101,
대한금융신문,PF사업장 추가지원 21조 이달부터 투입…5대 지주도 4조 공급,,,
헤럴드경제,2.2조원 규모 부동산 PF 정상화 펀드 본격 가동…PF 사업자보증도 10조원...,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002206120?sid=101,
오마이뉴스,"'순살자이' 창시자, 당신은 누구십니까",네이버뉴스,https://n.news.naver.com/mnews/article/047/0002408480?sid=103,
뉴데일리,20조 정책금융 수혈한다지만…건설업계 자금불안 지속,,,
중부일보,끊이지 않는 LH 잡음…검단신도시 주민 사이 불신 확산,,,
