press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"셀트리온, 호주서 바이오시밀러 3종 허가…""경쟁력 강화""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013174963?sid=102,,뉴시스,"셀트리온, 호주서 바이오시밀러 3종 허가…""경쟁력 강화""","호주서 첫 아일리아 시밀러 허가
골질환 치료제 잇따라 허가 획득
[서울=뉴시스] 셀트리온 로고. (사진=뉴시스 DB) photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]송연주 기자 = 바이오 기업 셀트리온은 최근 호주 의약품청(TGA)으로부터 안 질환 치료제 '아이덴젤트'(성분명 애플리버셉트)와 골 질환 치료제 '스토보클로-오센벨트'(데노수맙) 품목허가를 획득했다고 10일 밝혔다.
최근 2주 동안 총 3종의 바이오시밀러에 대한 허가를 연이어 획득했다.
아이덴젤트는 근시성 맥락막 신생혈관 적응증에 대해 허가를 획득했다. 허가 제형은 주사제(바이알), 프리필드시린지(PFS) 두 종류다.
셀트리온은 아이덴젤트가 호주서 관련 경쟁 바이오시밀러 중 처음 허가를 획득해 '퍼스트무버' 입지로 초기 시장을 선점할 것으로 기대했다. 아이덴젤트의 오리지널 의약품인 아일리아는 지난해 글로벌 매출 95억2300만 달러(약 13조3322억원)를 달성한 블록버스터 안과질환 치료제다.
스토보클로는 폐경 후 여성 골다공증, 오센벨트는 골전이 암환자의 골격계 합병증 예방, 골거대세포종 등 각 오리지널 의약품이 호주에서 보유한 모든 적응증에 대해 승인을 받았다.
스토보클로와 오센벨트의 오리지널 제품인 프롤리아, 엑스지바는 지난해 두 제품 연간 합산 글로벌 매출액이 약 65억9900만 달러(약 9조2000억원)다.
셀트리온은 기존 자가면역질환 및 항암 치료제 제품군의 점유율이 꾸준한 성장세를 보이는 가운데 이번 바이오시밀러 3종의 품목허가를 통해 오세아니아 시장 내 경쟁력이 강화될 것으로 기대했다.
셀트리온 관계자는 ""연이은 허가 획득으로 바이오시밀러에 우호적인 오세아니아 시장에서 회사의 경쟁력과 영향력은 한층 강화될 전망""이라며 ""남은 상업화 절차를 조속히 완료하고 제품이 시장 내 원활히 공급될 수 있도록 최선을 다할 방침""이라고 말했다.",경쟁력강화
뉴시스,"셀트리온, 호주서 바이오시밀러 3종 품목 허가…""경쟁력 강화""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013174963?sid=102,,뉴시스,"셀트리온, 호주서 바이오시밀러 3종 허가…""경쟁력 강화""","호주서 첫 아일리아 시밀러 허가
골질환 치료제 잇따라 허가 획득
[서울=뉴시스] 셀트리온 로고. (사진=뉴시스 DB) photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]송연주 기자 = 바이오 기업 셀트리온은 최근 호주 의약품청(TGA)으로부터 안 질환 치료제 '아이덴젤트'(성분명 애플리버셉트)와 골 질환 치료제 '스토보클로-오센벨트'(데노수맙) 품목허가를 획득했다고 10일 밝혔다.
최근 2주 동안 총 3종의 바이오시밀러에 대한 허가를 연이어 획득했다.
아이덴젤트는 근시성 맥락막 신생혈관 적응증에 대해 허가를 획득했다. 허가 제형은 주사제(바이알), 프리필드시린지(PFS) 두 종류다.
셀트리온은 아이덴젤트가 호주서 관련 경쟁 바이오시밀러 중 처음 허가를 획득해 '퍼스트무버' 입지로 초기 시장을 선점할 것으로 기대했다. 아이덴젤트의 오리지널 의약품인 아일리아는 지난해 글로벌 매출 95억2300만 달러(약 13조3322억원)를 달성한 블록버스터 안과질환 치료제다.
스토보클로는 폐경 후 여성 골다공증, 오센벨트는 골전이 암환자의 골격계 합병증 예방, 골거대세포종 등 각 오리지널 의약품이 호주에서 보유한 모든 적응증에 대해 승인을 받았다.
스토보클로와 오센벨트의 오리지널 제품인 프롤리아, 엑스지바는 지난해 두 제품 연간 합산 글로벌 매출액이 약 65억9900만 달러(약 9조2000억원)다.
셀트리온은 기존 자가면역질환 및 항암 치료제 제품군의 점유율이 꾸준한 성장세를 보이는 가운데 이번 바이오시밀러 3종의 품목허가를 통해 오세아니아 시장 내 경쟁력이 강화될 것으로 기대했다.
셀트리온 관계자는 ""연이은 허가 획득으로 바이오시밀러에 우호적인 오세아니아 시장에서 회사의 경쟁력과 영향력은 한층 강화될 전망""이라며 ""남은 상업화 절차를 조속히 완료하고 제품이 시장 내 원활히 공급될 수 있도록 최선을 다할 방침""이라고 말했다.",경쟁력강화
데일리한국,"셀트리온, 호주서 바이오시밀러 3종 허가…오세아니아 시장경쟁력↑",,,,,,,경쟁력강화
머니투데이,"셀트리온, 호주서 바이오시밀러 3종 연속 허가…""시장경쟁력 강화""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005178463?sid=101,,머니투데이,"셀트리온, 호주서 바이오시밀러 3종 허가…오세아니아 시장 경쟁력↑","/사진제공=셀트리온
셀트리온이 최근 호주 의약품청(TGA)으로부터 안 질환 치료제 '아이덴젤트'(성분명 애플리버셉트)와 골 질환 치료제 '스토보클로-오센벨트'(성분명 데노수맙)의 품목 허가를 획득했다고 10일 밝혔다.
아이덴젤트는 근시성 맥락막 신생혈관(myopic CNV) 적응증에 대해 허가를 획득했다. 허가 제형은 주사제(바이알), 프리필드시린지(PFS)로 총 2가지다. 셀트리온은 아이덴젤트가 호주에서 관련 경쟁 바이오시밀러 중 처음 허가를 획득해 퍼스트 무버의 지위로 초기 시장을 선점하고 시장에 빠르게 침투할 것으로 기대하고 있다. 아이덴젤트의 오리지널 의약품인 아일리아는 지난해 글로벌 매출 95억2300만 달러(약 13조3322억원)를 달성한 블록버스터 안 질환 치료제다.
스토보클로는 폐경 후 여성 골다공증, 오센벨트는 골전이 암환자의 골격계 합병증 예방과 거대세포종 등 각각 오리지널 의약품이 호주에서 보유한 모든 적응증에 대해 승인을 받았다. 스토보클로와 오센벨트의 오리지널 제품인 프롤리아와 엑스지바는 지난해 두 제품 연간 합산 글로벌 매출액이 약 65억9900만 달러(약 9조2000억원)에 달한다.
셀트리온은 기존 자가면역질환 및 항암 치료제 제품군의 점유율이 꾸준한 성장세를 보이는 가운데 이번 바이오시밀러 3종의 품목허가를 통해 오세아니아 시장 내 경쟁력이 한층 강화될 것으로 기대 중이다. 안 질환 및 골 질환 치료제 등 치료 영역을 확대한 후속 파이프라인으로 시장 내 입지를 더욱 공고히 한다는 방침이다.
셀트리온이 호주에서 현재 판매 중이거나 허가 받은 제품은 ▲램시마, 램시마SC, 유플라이마, 스테키마(자가면역질환치료제) ▲허쥬마, 트룩시마, 베그젤마(항암제) ▲알레르기 질환 치료제 옴리클로(알레르기 질환 치료제) ▲아이덴젤트(안 질환 치료제) ▲스토보클로-오센벨트(골 질환 치료제) 등 총 11개다.
셀트리온 관계자는 ""셀트리온 제품의 연이은 허가 획득으로 바이오시밀러에 우호적인 오세아니아 시장에서 회사의 경쟁력과 영향력은 한층 강화될 전망""이라며 ""남은 상업화 절차를 조속히 완료하고 제품이 시장 내 원활히 공급될 수 있도록 최선을 다할 방침""이라고 말했다.",경쟁력강화
연합뉴스,"""중견기업 글로벌경쟁력 강화지원""…4개 전문기관 MOU",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015321303?sid=101,,연합뉴스,"""중견기업 글로벌 경쟁력 강화 지원""…4개 전문기관 MOU","코트라·무보·산기진흥원·중견련 '업무협약'…지원 협업 강화
한국중견기업연합회 CI
[한국중견기업연합회 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 김동규 기자 = 무역 환경 불확실성이 증대되는 가운데 중견기업의 글로벌 경쟁력 강화를 위해 전문기관들이 손을 잡았다.
대한무역투자진흥공사(코트라), 한국무역보험공사(무보), 한국산업기술진흥원, 한국중견기업연합회(중견련)는 지난 9일 서울 용산구 그랜드하얏트서울에서 중견기업의 글로벌 진출 강화를 위한 업무협약(MOU)을 체결했다고 10일 밝혔다.
4개 기관은 MOU에서 수출, 해외투자, 금융, 리스크 관리, 연구개발(R&D), 경쟁력 강화 등 각 기관의 주요 기능을 활용해 중견기업이 글로벌 전문기업으로 성장할 수 있도록 협업을 강화하기로 했다.
구체적으로 중견기업 전용 서비스 플랫폼 구축, 협업을 통한 중견기업 맞춤형 지원, 기업·기관 간 네트워킹 강화 및 주요 사업 공동 개최·홍보 등을 추진한다.
각 기관의 고유 기능을 연계한 중견기업 전용 지원 프로그램도 마련하기로 했다.
이번 협약식은 중견련의 '중견기업 Young CEO 네트워크' 행사와 함께 진행됐다. 4개 기관은 중견기업 차세대 리더 및 유관기관 관계자 50여명을 대상으로 주요 지원사업을 소개했다.
강경성 코트라 사장은 ""빠르게 변화하는 통상환경 속에서 수출을 견인하는 중견기업의 역할이 더욱 중요해지고 있다""며 ""중견기업의 글로벌 경쟁력 강화를 위해 4개 기관이 힘을 합쳐 적극 지원하겠다""고 밝혔다.
dkkim@yna.co.kr",경쟁력강화
연합뉴스,"코트라, 무보·KIAT·중견련과 '맞손'...중견기업 글로벌경쟁력 강화",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015321303?sid=101,,연합뉴스,"""중견기업 글로벌 경쟁력 강화 지원""…4개 전문기관 MOU","코트라·무보·산기진흥원·중견련 '업무협약'…지원 협업 강화
한국중견기업연합회 CI
[한국중견기업연합회 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 김동규 기자 = 무역 환경 불확실성이 증대되는 가운데 중견기업의 글로벌 경쟁력 강화를 위해 전문기관들이 손을 잡았다.
대한무역투자진흥공사(코트라), 한국무역보험공사(무보), 한국산업기술진흥원, 한국중견기업연합회(중견련)는 지난 9일 서울 용산구 그랜드하얏트서울에서 중견기업의 글로벌 진출 강화를 위한 업무협약(MOU)을 체결했다고 10일 밝혔다.
4개 기관은 MOU에서 수출, 해외투자, 금융, 리스크 관리, 연구개발(R&D), 경쟁력 강화 등 각 기관의 주요 기능을 활용해 중견기업이 글로벌 전문기업으로 성장할 수 있도록 협업을 강화하기로 했다.
구체적으로 중견기업 전용 서비스 플랫폼 구축, 협업을 통한 중견기업 맞춤형 지원, 기업·기관 간 네트워킹 강화 및 주요 사업 공동 개최·홍보 등을 추진한다.
각 기관의 고유 기능을 연계한 중견기업 전용 지원 프로그램도 마련하기로 했다.
이번 협약식은 중견련의 '중견기업 Young CEO 네트워크' 행사와 함께 진행됐다. 4개 기관은 중견기업 차세대 리더 및 유관기관 관계자 50여명을 대상으로 주요 지원사업을 소개했다.
강경성 코트라 사장은 ""빠르게 변화하는 통상환경 속에서 수출을 견인하는 중견기업의 역할이 더욱 중요해지고 있다""며 ""중견기업의 글로벌 경쟁력 강화를 위해 4개 기관이 힘을 합쳐 적극 지원하겠다""고 밝혔다.
dkkim@yna.co.kr",경쟁력강화
파이낸셜뉴스,"코트라, 중견기업 글로벌경쟁력 강화MOU 체결",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005334055?sid=101,,파이낸셜뉴스,"코트라, 무보·KIAT·중견련과 '맞손'...중견기업 글로벌 경쟁력 강화","9일 4개 기관 업무협약 체결
수출·R&D·금융 등 기관 강점 연계
강경성 코트라 사장, 장영진 한국무역보험공사 사장, 민병주 한국산업기술진흥원 원장, 이호준 한국중견기업연합회 상근 부회장(왼쪽부터)이 지난 9일 서울 용산구 그랜드하얏트서울에서 업무협약 체결 후 기념촬영을 하고 있다. 코트라 제공
[파이낸셜뉴스] 대한무역투자진흥공사(코트라)는 한국무역보험공사(무보), 한국산업기술진흥원(KIAT), 한국중견기업연합회(중견련)와 지난 9일 중견기업의 글로벌 진출 강화를 위한 업무협약을 체결했다고 10일 밝혔다.
4개 기관은 수출, 해외투자, 금융, 리스크 관리, 연구개발(R&D), 경쟁력 강화 등 각 기관의 주요 기능을 활용해 중견기업이 글로벌 전문기업으로 성장할 수 있도록 협업을 강화한다.
이번 업무협약을 통해 △중견기업 전용 서비스 플랫폼 구축 △협업을 통한 중견기업 맞춤형 지원 △기업·기관 간 네트워킹 강화 및 주요 사업 공동 개최·홍보 등을 추진한다는 계획이다.
특히, 기관별 주요 서비스를 안내하고 중견기업의 지원 수요 및 애로사항을 해당 기관과 연결하는 인프라 구축도 논의한다. 각 기관의 고유 기능을 연계한 중견기업 전용 지원 프로그램 마련도 협의할 예정이다.
이번 협약식은 중견련의 ‘중견기업 Young CEO 네트워크’ 행사와 함께 진행됐다. 4개 기관은 중견기업 차세대 리더 및 유관기관 관계자 50여명을 대상으로 주요 지원사업을 소개했다.
강경성 코트라 사장은 “빠르게 변화하는 통상환경 속에서 수출을 견인하는 중견기업의 역할이 더욱 중요해지고 있다”며 “중견기업의 글로벌 경쟁력 강화를 위해 4개 기관이 힘을 합쳐 적극 지원하겠다”고 밝혔다.",경쟁력강화
뉴데일리,"해외로 뻗어나갈 중견기업 돕는 기관들 뭉쳤다…""중견기업 글로벌 경쟁...",,,,,,,경쟁력강화
부산일보,"'트럼프 25% 관세 대응'…산업부, 반도체경쟁력 강화지원",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001320547?sid=101,,부산일보,"'트럼프 25% 관세 대응'…산업부, 반도체 경쟁력 강화 지원","수출 애로 대응·투자 인센티브 강화·생태계 강화 등 지원 방안 마련
산업장관 ""대미 협의 지속 전개…반도체 지원 방안 조속히 마련""
안덕근 산업통상자원부 장관이 10일 오전 서울 종로구 한국무역보험공사에서 열린 통상 리스크 대응 반도체 업계 간담회에서 발언하고 있다. 산업부 제공
정부가 미국의 고율 관세 부담 부과가 우려되는 반도체 업계의 경쟁력 강화를 위해 대응과 지원을 강화한다.
산업통상자원부는 10일 오전 안덕근 장관 주재로 서울 종로구 한국무역보험공사에서 반도체 업계 간담회를 열고 이 같은 방안을 논의했다고 밝혔다.
앞서 미국 트럼프 행정부는 철강 등에 대해 25%의 품목 관세를 부과한 데 이어 지난 2일(현지시간) 국가별 상호 관세를 발표하고 반도체에 대한 품목 관세 도입을 예고했다. 이에 따라 한국의 최대 수출 품목인 반도체 업계에도 수출에 부정적 영향이 우려된다.
반도체 업계는 일단 미국 내 생산에 한계가 있고 고대역폭 메모리(HBM) 등 고부가 제품 시장에서 우리 기업의 높은 점유율 등을 고려할 때 단기적으로 관세 영향은 제한적일 것으로 전망했다.
그러나 급변하는 통상 환경에 따라 다양한 변수가 돌출할 수 있다고 보고 정부에 적극적인 대미(對美) 협의를 요청했다.
이날 간담회에서 정부와 업계는 미 정부의 관세 조치에 따른 우리 기업의 영향과 대응 방안을 모색하고, 재정 지원 확대, 세게·금융 지원 강화, 분산 에너지 설비 설치 의무 등의 규제 개선 등 과제를 논의했다
정부는 통상 리스크에 대응해 수출 애로 긴급 대응, 투자 인센티브 강화, 생태계 강화 등 반도체 지원 방안을 마련하고 있다고 밝혔다. 정부는 수출 애로 대응을 위해 코트라(KOTRA)의 '관세 대응 119', 관세 대응 바우처 등을 통해 관세·원산지 등 컨설팅 지원을 강화하기로 했다.
수입에 의존하는 소재·부품에 대한 비용 부담을 경감할 수 있도록 관련 대책도 검토한다.
반도체 신수요 창출을 위해 '국가 인공지능(AI) 컴퓨팅 센터'에 국산 반도체 활용을 확대하고, 중동·동남아에 AI 데이터 센터 등 수출 활로 개척을 위한 현지 네트워크를 적극 지원한다.
기업 투자를 촉진하기 위해 용인 1호 팹(fab·반도체 생산공장) 착공을 시작으로 반도체 클러스터의 성공적인 조성을 위한 전력·폐수 등 기반 시설 지원 한도를 상향하고, 송전망 지중화 비용 분담 등 추가 재정 지원을 추진한다.
반도체 제조 시설에 대한 분산 에너지 설비 설치 의무 적용 완화를 검토하는 한편, 유해 화학 물질 소량 취급 시설 설치 검사 처리 기한 단축 등 규제 개선도 추진한다.
미국의 관세 정책에 대응해 반도체 생태계 경쟁력을 강화하기 위해 '트리니티 팹' 운영 법인을 상반기 중 설립하고, 소부장(소재·부품·장비) 개발 제품이 빠르게 양산으로 이어지도록 뒷받침한다.
이와 함께 팹리스(fabless·반도체 설계 전문 회사) 기업의 성장을 돕기 위해 자동차·로봇·방산·사물인터넷(IoT) 등 4대 분야 중심으로 1조원 규모의 온-디바이스(제품 탑재용) AI 반도체 개발 사업을 추진한다. 설계 검증을 위한 공동 이용 첨단장비 신규 구축, 설계 소프트웨어 등 인프라를 확대하고 반도체 생태계 펀드 결성 및 투자 이행 등 팹리스 기업의 스케일업도 지원한다. 반도체 전문 인력 양성을 위한 투자를 확대하고 국회와 협력해 '반도체 특별법' 입법을 적극 추진한다.
안덕근 산업부 장관은 ""우리가 직면한 통상·공급망 리스크는 민관이 온 힘을 합쳐 대응해야 한다""며 ""정부는 각급에서 긴밀한 대미 협의를 지속적으로 전개하고 국가적 역량을 총결집해 반도체 지원 방안을 조속히 마련하겠다""고 말했다.",경쟁력강화
부산일보,"'美 관세 대응'…정부, AI 컴퓨팅센터 등 반도체 신수요 창출",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001320547?sid=101,,부산일보,"'트럼프 25% 관세 대응'…산업부, 반도체 경쟁력 강화 지원","수출 애로 대응·투자 인센티브 강화·생태계 강화 등 지원 방안 마련
산업장관 ""대미 협의 지속 전개…반도체 지원 방안 조속히 마련""
안덕근 산업통상자원부 장관이 10일 오전 서울 종로구 한국무역보험공사에서 열린 통상 리스크 대응 반도체 업계 간담회에서 발언하고 있다. 산업부 제공
정부가 미국의 고율 관세 부담 부과가 우려되는 반도체 업계의 경쟁력 강화를 위해 대응과 지원을 강화한다.
산업통상자원부는 10일 오전 안덕근 장관 주재로 서울 종로구 한국무역보험공사에서 반도체 업계 간담회를 열고 이 같은 방안을 논의했다고 밝혔다.
앞서 미국 트럼프 행정부는 철강 등에 대해 25%의 품목 관세를 부과한 데 이어 지난 2일(현지시간) 국가별 상호 관세를 발표하고 반도체에 대한 품목 관세 도입을 예고했다. 이에 따라 한국의 최대 수출 품목인 반도체 업계에도 수출에 부정적 영향이 우려된다.
반도체 업계는 일단 미국 내 생산에 한계가 있고 고대역폭 메모리(HBM) 등 고부가 제품 시장에서 우리 기업의 높은 점유율 등을 고려할 때 단기적으로 관세 영향은 제한적일 것으로 전망했다.
그러나 급변하는 통상 환경에 따라 다양한 변수가 돌출할 수 있다고 보고 정부에 적극적인 대미(對美) 협의를 요청했다.
이날 간담회에서 정부와 업계는 미 정부의 관세 조치에 따른 우리 기업의 영향과 대응 방안을 모색하고, 재정 지원 확대, 세게·금융 지원 강화, 분산 에너지 설비 설치 의무 등의 규제 개선 등 과제를 논의했다
정부는 통상 리스크에 대응해 수출 애로 긴급 대응, 투자 인센티브 강화, 생태계 강화 등 반도체 지원 방안을 마련하고 있다고 밝혔다. 정부는 수출 애로 대응을 위해 코트라(KOTRA)의 '관세 대응 119', 관세 대응 바우처 등을 통해 관세·원산지 등 컨설팅 지원을 강화하기로 했다.
수입에 의존하는 소재·부품에 대한 비용 부담을 경감할 수 있도록 관련 대책도 검토한다.
반도체 신수요 창출을 위해 '국가 인공지능(AI) 컴퓨팅 센터'에 국산 반도체 활용을 확대하고, 중동·동남아에 AI 데이터 센터 등 수출 활로 개척을 위한 현지 네트워크를 적극 지원한다.
기업 투자를 촉진하기 위해 용인 1호 팹(fab·반도체 생산공장) 착공을 시작으로 반도체 클러스터의 성공적인 조성을 위한 전력·폐수 등 기반 시설 지원 한도를 상향하고, 송전망 지중화 비용 분담 등 추가 재정 지원을 추진한다.
반도체 제조 시설에 대한 분산 에너지 설비 설치 의무 적용 완화를 검토하는 한편, 유해 화학 물질 소량 취급 시설 설치 검사 처리 기한 단축 등 규제 개선도 추진한다.
미국의 관세 정책에 대응해 반도체 생태계 경쟁력을 강화하기 위해 '트리니티 팹' 운영 법인을 상반기 중 설립하고, 소부장(소재·부품·장비) 개발 제품이 빠르게 양산으로 이어지도록 뒷받침한다.
이와 함께 팹리스(fabless·반도체 설계 전문 회사) 기업의 성장을 돕기 위해 자동차·로봇·방산·사물인터넷(IoT) 등 4대 분야 중심으로 1조원 규모의 온-디바이스(제품 탑재용) AI 반도체 개발 사업을 추진한다. 설계 검증을 위한 공동 이용 첨단장비 신규 구축, 설계 소프트웨어 등 인프라를 확대하고 반도체 생태계 펀드 결성 및 투자 이행 등 팹리스 기업의 스케일업도 지원한다. 반도체 전문 인력 양성을 위한 투자를 확대하고 국회와 협력해 '반도체 특별법' 입법을 적극 추진한다.
안덕근 산업부 장관은 ""우리가 직면한 통상·공급망 리스크는 민관이 온 힘을 합쳐 대응해야 한다""며 ""정부는 각급에서 긴밀한 대미 협의를 지속적으로 전개하고 국가적 역량을 총결집해 반도체 지원 방안을 조속히 마련하겠다""고 말했다.",경쟁력강화
