press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"애플페이, 이달 하순부터 국내 사용 가능",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013805863?sid=101,,연합뉴스,"애플페이, 이달 하순부터 국내 사용 가능","(서울=연합뉴스) 윤동진 기자 = 애플의 근거리무선통신(NFC) 결제 서비스 '애플페이'를 국내에서는 이달 하순부터 국내에서 사용할 수 있을 것으로 전해졌다.
사진은 10일 오후 애플페이 사용을 준비 중인 서울의 한 대형마트 결제창 모습. 2023.3.10
mon@yna.co.kr",애플페이
연합뉴스,"애플페이, 이달 하순부터 국내 사용 가능",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013805863?sid=101,,연합뉴스,"애플페이, 이달 하순부터 국내 사용 가능","(서울=연합뉴스) 윤동진 기자 = 애플의 근거리무선통신(NFC) 결제 서비스 '애플페이'를 국내에서는 이달 하순부터 국내에서 사용할 수 있을 것으로 전해졌다.
사진은 10일 오후 애플페이 사용을 준비 중인 서울의 한 대형마트 결제창 모습. 2023.3.10
mon@yna.co.kr",애플페이
연합뉴스,"애플페이, 이달 하순부터 국내 사용 가능",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013805866?sid=101,,연합뉴스,"애플페이, 이달 하순부터 국내 사용 가능","(서울=연합뉴스) 윤동진 기자 = 애플의 근거리무선통신(NFC) 결제 서비스 '애플페이'를 국내에서는 이달 하순부터 국내에서 사용할 수 있을 것으로 전해졌다.
사진은 10일 오후 애플페이 사용을 준비 중인 서울의 한 대형마트 결제창 모습. 2023.3.10
mon@yna.co.kr",애플페이
연합뉴스,"[모멘트]애플페이, 이달 하순부터 국내 사용 가능",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013805862?sid=101,,연합뉴스,"애플페이, 이달 하순부터 국내 사용 가능","(서울=연합뉴스) 윤동진 기자 = 애플의 근거리무선통신(NFC) 결제 서비스 '애플페이'를 국내에서는 이달 하순부터 국내에서 사용할 수 있을 것으로 전해졌다.
사진은 10일 오후 애플페이 사용을 준비 중인 서울의 한 대형마트 결제창 모습. 2023.3.10
mon@yna.co.kr",애플페이
머니S,"NHN KCP,애플페이서비스 키오스크-통합단말기 확대",네이버뉴스,https://n.news.naver.com/mnews/article/417/0000902607?sid=101,,머니S,"NHN KCP, 애플페이 서비스 키오스크-통합단말기 확대","영세 자영업 가맹점을 위한 NFC 제품 확대로 대중화 기대
NHN KCP(대표이사 박준석)는 애플페이 서비스 국내 도입 공식화에 따라 최근 출시된 키오스크와 통합 단말기가 주목 받고 있다.
NHN KCP는 NFC단말기의 보급을 위해 글로벌 브랜드 인증을 완료하고, 애플페이 서비스를 이용할 수 있는 키오스크와 통합단말기를 합리적인 가격에 보급하고 있다.
영세·중소가맹점(연매출 30억원 이하)에 신용카드 사회공헌재단과 동반성장위원회가 공동으로 NFC/QR 통합단말기를 지원하는 사업에 참여 중이며, 약 2만대의 단말기가 설치되어 운영되고 있다.
주요 가맹점은 프랜차이즈 주요브랜드 등으로 애플페이가 정식 도입되면 펌웨어 업데이트 후 사용이 가능하다. 통합단말기는 기존의 단말기와 멀티패드를 하나로 합친 통합형으로 별도로 구매할 시 25만원 가량의 금액이 소요되는 것을 20만원으로 구매할 수 있도록 제작 되었다.
애플페이 서비스가 가능하도록 자체 개발한 키오스크는 특가로 판매한다. 컴팩트하지만 NFC/QR리더기 포함 필수 기능을 다 갖춘데다, 시중의 키오스크와는 달리 외부에 NFC멀티패드를 부착하는 형태를 내부에 배치하여 심미적인 만족도를 높였다.
NHN KCP키오스크가 아닌 타사 키오스크를 사용하는 가맹점들도 리더기 모듈 교체만을 통해 NFC 기능을 사용할 수 있다. 가맹점의 기기 교체 부담을 줄이고 NFC리더기 모듈만으로 애플 페이 사용을 가능하게 했다.
NHN KCP 오프라인사업부 김기민 상무이사는 ""애플페이로 시장의 결제 환경이 NFC중심으로 변경할 것으로 보고 있다""며 ""NFC단말기 보급이 영세 자영업자까지 최대한 부담 없이 진행될 수 있도록 대응해 나갈 것""이라고 말했다.",애플페이
뉴스1,"""애플·토스 때문?""…카카오페이'무료 계좌 송금' 무제한",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006675850?sid=105,,뉴스1,"""애플·토스 때문?""…카카오페이 '무료 계좌 송금' 무제한","카페 증권 계좌 개설시 '은행 계좌송금 횟수' 제한 없애
오프라인 결제 혜택 강화…""국내 간편결제 경쟁 치열""
카카오 ⓒ News1 DB
(서울=뉴스1) 오현주 기자 = 카카오페이가 간편결제 시장에서 입지를 강화하고자 무료 송금·포인트 적립 혜택을 강화한다. 이달 국내 도입될 애플페이와 경쟁자 토스를 겨냥한 것으로 보인다.
10일 카카오페이에 따르면 이 회사 증권 계좌를 보유한 사람은 올해 6월까지 기존 월10회 무료 제공되는 은행계좌 송금을 횟수 제한없이 무료로 쓸 수 있다.
카카오페이에서 돈을 보내는 경우는 크게 두 가지다. 카카오톡(카톡) 친구 송금과 은행계좌 번호 송금이다.
카톡 친구 송금과 본인 계좌 송금 때는 별도 수수료가 붙지 않지만, 타인 계좌 송금때는 매달 10회까지만 수수료가 무료다. 이번 조치를 통해 타인 계좌 송금 무료혜택의 횟수 제한을 없앴다.
오프라인 결제 혜택도 늘었다. 4월까지 편의점에서 카카오페이 자체 애플리케이션(앱)으로 카카오페이머니 충전 없이 잔액 결제하면 결제액 1%를 포인트로 준다.
또 카카오톡에서 카카오페이를 열어 편의점에서 결제하더라도 0.6%를 제공한다.
이번 혜택은 카카오페이가 최근 약속한 사용자 혜택 강화의 일환이다. 신원근 카카오페이 대표는 지난달 2022년 4분기 실적발표 콘퍼런스콜에서 ""사용자 관점에서 쓰면 쓸수록 더 많은 금전 혜택을 얻을 수 있게끔 체계를 정비 중이다""고 말했다.
토스와 카카오페이 이용 빈도 (오픈서베이 리포트 갈무리)
정보기술(IT) 업계는 이번 무료 송금 혜택은 '평생 무료 송금'이 무기인 토스를 의식한 것으로 본다.
실제로 시장조사업체 오픈서베이에 따르면, 지난해 모바일 금융 서비스 중 토스 이용 빈도가 카카오페이보다 세 배가량 높았다. 토스는 1주일 평균 9.6번, 카카오페이는 3.2번 이용하는 것으로 조사됐다.
오프라인 혜택은 3월 중 서비스를 시작한 애플페이가 일부 영향을 준 것으로 분석된다.
지난해 4분기 카카오페이의 국내 오프라인 결제액의 경우 전년 동기 대비 34% 성장했다. 비록 삼성페이만큼은 아니지만, 현장 결제액이 성장세라는 점에서 애플페이를 예의주시할 수밖에 없다.
백승준 카카오페이 사업전략 총괄도 지난해 11월 3분기 콘퍼런스콜에서 ""애플페이가 어려움을 뚫고 성장할 수 있다는 시나리오 하에 대응전략을 고심한다""고 말한 바 있다.
현재 카카오페이는 국내 사용자들의 해외 간편결제를 위해 △일본 △마카오 △프랑스 쁘렝땅백화점 등에서도 입지를 늘리고 있지만, 국내 시장은 반드시 잡아야 하는 곳이다.
업계 관계자는 ""애플페이는 삼성·네이버·카카오페이 등 경쟁사 대비 뚜렷한 장점이 없긴 하지만, 그간 큰 변화가 없었던 온오프라인 간편결제 시장 경쟁을 촉발할 것""이라고 설명했다.
한편 삼성페이와 네이버페이는 애플페이에 대항해 동맹을 구축한 상태다. 올 상반기 네이버페이 온라인 가맹점에서 삼성페이 결제가 가능해지고 오프라인 삼성페이 가맹점에서도 네이버페이를 이용할 수 있게 된다.",애플페이
조선일보,“그냥애플주식 사라” 6년 만에 골드만 무릎 꿇린애플,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003750868?sid=101,,조선일보,“그냥 애플 주식 사라” 6년 만에 골드만 무릎 꿇린 애플,"[방현철 박사의 월스트리트] 블랙록 “미국 최종금리 6%까지 간다”
10일 새벽에 끝난 월가 증시에서 다우지수는 1.66% 하락한 3만2254.86에 마감했습니다. S&P500은 1.85% 떨어진 3918.32를 기록했습니다. 나스닥은 2.05% 하락한 1만1338.35에 마감했습니다.
[골드만의 변심 이유 영상으로 확인] : https://youtube.com/live/mNWwZuF0YVc
오전 8시 유튜브를 통해 생방송 된 ‘방현철 박사의 월스트리트’는 오늘의 월스트리트 3가지 포인트로 ‘지표가 중요한 순간’, ‘블랙록 “최종금리 6%”’, ‘골드만의 애플 추천’을 꼽았습니다.
미국의 대표 투자은행인 골드만삭스가 애플의 투자의견을 중립에서 매수로 상향하면서 화제가 됐습니다. 골드만삭스는 2017년 이후 애플에 대한 투자의견을 중립으로 유지해왔었습니다. 그 사이 애플 주가는 고공행진을 지속했고, 골드만삭스의 애플 담당 애널리스트는 지난해 교체됐습니다. 그런데 새로운 담당자가 이번에 투자 의견 변경을 포함한 분석 자료를 발간한 것입니다.
방현철 박사의 월스트리트
골드만삭스의 이번 분석자료에서 애플 기기의 사용자수가 지속적으로 증가하고 있다는 데 주목했습니다. 구체적인 의견 변경의 이유는 영상에서 확인할 수 있습니다.
조선일보가 마련한 ‘방현철 박사의 월스트리트’는 경제부 차장이자 경제학 박사인 방현철 기자가 글로벌 경제의 신호등이자 알람 시계 역할을 하는 월스트리트의 시황을 증시 전문가들과 함께 수요일과 금요일 오전 8시 세 가지 포인트로 정리해서 전해 드리는 유튜브 방송입니다. 함께 즐겨 주시고 ‘좋아요’ ‘구독’ 부탁드립니다.
[골드만의 변심 이유 영상으로 확인] : https://youtube.com/live/mNWwZuF0YVc
지표가 중요한 순간
제롬 파월 미 연준 의장은 8일 하원 금융서비스위원회에 출석했습니다. 파월 의장은 이 자리에서 3월 금리 인상 폭과 관련한 질문에 대해서 “우리는 3월 회의에 대해 아직 어떤 결정도 내리지 않았다. 추가 자료를 볼 때까지 결정을 내리지 않을 것이다”라며 “그것은 지표에 달렸다”라고 했습니다.
제롬 파월 미 연준 의장이 8일 미 하원 금융서비스위원회에 출석했다. /AP 연합뉴스
파월 의장은 7일 상원 은행위원회를 시작으로 해서 험프리-호킨스 증언을 하고 있습니다. 미국은 1978년 제정된 험프리-호킨스 법(완전고용과 균형성장법)에 따라 연준 의장이 1년에 두 차례 의회에서 경제 상황과 통화 정책 방향에 대한 보고서를 제출합니다. 동시에 연준 의장이 의회에 출석해서 그 내용을 설명해야 합니다. 그래서 이 보고서를 험프리-호킨스 보고서, 의회 발언은 험프리-호킨스 증언이라고 합니다.
월가는 앞서 7일 증언에서 나온 파월 의장의 얘기 중 두 가지에 초점을 맞췄습니다. 첫째, 금리 인상 속도를 다시 높일 수 있다는 것입니다. 파월 의장은 “전체 경제 지표가 더 빠른 긴축이 필요하다는 걸 가리킨다면 금리 인상 속도를 높일 준비가 돼 있다”고 했습니다. 둘째, 최종금리가 높아질 수 있다는 것입니다. 파월 의장은 “최근 경제지표가 예상보다 강세를 보이고 있어 최종금리 수준은 당초 예상보다 높을 수 있다”고 했습니다.
월가에선 금리 인상을 다시 높일 수 있다는 발언을 3월 연방공개시장위원회(FOMC)에서 빅스텝(한 번에 0.5%포인트 인상) 할 수 있다는 의미로 받아 들였습니다. 그런데 파월 의장은 8일 증언에선 3월 금리는 지표에 달려 있다고 너무 과도한 해석은 하지 말라고 한 것입니다.
8일 파월 의장은 3월 회의 전에 “들어올 중요한 지표들이 있다”며 “(8일 오전 10시 발표될) 채용공고(Jolts) 지표도 아직 나는 보지 못했다. 10일에는 고용보고서가 나오며 이후에 소비자물가지수, 생산자물가지수가 나온다”라고 했습니다. 3월 FOMC는 21~22일 열릴 예정입니다.
이에 월가는 10일 나오는 2월 고용 동향에 촉각을 세우고 있습니다.
블룸버그 집계에 따르면 월가는 2월 미국의 일자리(비농업 기준)가 22만5000 명이 늘었을 것으로 전망하고 있습니다.
이는 1월 일자리 증가폭인 51만7000명보다는 확연하게 떨어지는 것입니다. 하지만 월가에선 매달 일자리 증가가 10만 명 정도가 되면 뜨겁지도 차갑지도 않은 고용 시장이라고 보는데, 이 보다는 훨씬 높게 나와서 고용 시장이 탄탄하다는 분석이 이어질 것으로 보입니다.
테크 기업들의 대규모 해고 소식에도 불구하고 전체적인 고용은 아직까지는 탄탄한 모습입니다. 작년 11월 이후 올해 1월까지 테크 부문에서 11만 명 쯤이 해고됐는데, 이는 미국 전체 일자리 1억6600만 명에 비하면 아주 적은 숫자인데 너무 크게 주목을 받고 있다는 지적이 나옵니다.
미국의 테크기업(청색)과 비테크기업의 해고 추이. /자료=스탠다드차타드
한편 앞서 나온 ADP연구소의 2월 민간 고용 집계는 24만2000명 증가로 1월(11만9000명)보다 늘었고, 월가 예상치(20만5000명)보다 많이 나왔습니다.
이날 나온 지난주 신규 실업수당 신청은 21만1000명으로 전주보다 2만1000명이 늘었습니다. 이는 월가 예상(19만5000건)보다 훨씬 많은 것으로 20만 명이 넘은 것은 1월 초 이후 처음입니다. 캘리포니아의 악천후가 영향을 크게 미친 것으로 분석됩니다.
미 노동부의 구인 이직 보고서(JOLT)에 따르면, 1월 미국 기업들의 채용 공고는 1082만 건으로 전달(1123만 건)보다는 41만 건 감소한 것으로 나옵니다. 그럼에도 이는 현재 실업자(570만 명)의 배 정도 되는 수치입니다.
한편 월가에서는 신규 일자리 증가폭이 20만 명을 넘을 경우엔 연준이 빅스텝에 나설 수 있다는 관측이 나옵니다. 바클레이즈는 8일 보고서를 통해 “연준의 3월 금리 결정은 지표에 따라 달라지겠지만, 파월 의장의 이번 발언은 이달 50bp(bp=0.01%포인트) 금리 인상 가능성을 키운다”며 “구체적으로 비농업 신규 고용 숫자가 20만 명 이상이 된다면 50bp 금리 인상의 매우 그럴듯한 계기가 될 것”이라고 했습니다.
시티그룹도 8일 발간한 고객 노트에서 미 연준이 3월 회의에서 기준금리를 50bp 인상할 것으로 본다고 전망을 바꿨습니다. 시티는 당초 3월에 25bp 인상을 예상했었습니다.
하지만 경제 전망 기관인 캐피털이코노믹스는 “만약 우리가 예상하는 대로 1월 고용 증가가 일시적 현상이었고 근원 물가에 대한 이전의 하방 압력이 재부상한다면 25bp 인상 가능성이 훨씬 크다”며 여전히 3월에 25bp 인상 가능성이 크다고 봤습니다.
이날 시카고상품거래소의 페드워치툴에 따르면, 3월 FOMC에서 빅스텝 확률은 63% 정도이고 베이비스텝(한 번에 0.25%포인트 인상) 확률은 37% 정도를 나타내고 있습니다.
블랙록 “최종금리 6%”
미 연준의 최종금리 전망도 높아지고 있습니다. 연준은 12월 FOMC 점도표를 통해 올해 금리 전망을 평균 5.1%(범위는 5~5.25%)로 제시했으나 더 높아질 수 있다는 전망입니다. 현재 미 연준 금리는 연 4.5~4.75%입니다.
미국 최대 자산운용사인 블랙록의 채권부문 최고투자책임자(CIO) 릭 리더는 파월 의장의 발언이 나온 후에 최종 금리가 연 6%까지 갈 수 있다고 전망했습니다.
블랙록의 채권 부문 최고책임자 릭 리더. /블룸버그
리더는 8일 투자자 메모에서 탄탄한 고용 시장과 인플레이션 경직성을 감안할 때 “경제를 둔화시키고 인플레이션을 2% 근처까지 낮추기 위해서 연준은 기준금리를 연 6%로 끌어올린 다음 이를 장기간 유지해야 할 것으로 보고 있다”고 했습니다.
사실 연준이 연 6%까지 기준금리를 끌어 올릴 수 있다는 주장은 새로운 것은 아닙니다.
제임스 불러드 세인트루이스연방준비은행 총재는 작년 11월 충분히 제약적인 기준금리 수준으로 5~7%를 제시한 적이 있습니다. 래리 서머스 전 재무장관 같은 이들은 물가를 잡기 위해 기준금리를 연 6% 이상으로 올려야 한다고 주장하고 있기도 합니다.
이날 페드워치툴에 따르면, 9월 FOMC의 기준금리 수준으로 연 6~6.25%의 확률이 2.5%로 나타났습니다. 한 달 전만 해도 이 확률은 0%였습니다. 전날에는 이 확률이 11.9%까지 치솟기도 했습니다. 연 5.75~6%의 확률도 이날 19.3%에 달했습니다.
기준금리가 연 6%를 넘었던 것은 드문 사례입니다. 20여년 전으로 거슬러 올라가야 합니다. 가장 최근 사례로는 앨런 그린스펀 전 의장 시절인 2000년 3월 연 6%로 올렸고, 5월 연 6.5%까지 올렸다가 2001년 1월 연 6% 하향 조정했었습니다. 그에 앞서 1995년 2월에도 연 6%까지 올렸던 적이 있습니다.
미국의 실효 기준금리 추이. 연6%는 붉은선으로 표시했다. /자료=미 연준
월가는 연 6%까지는 아니더라도 최종금리 전망을 올리고 있습니다.
골드만삭스는 최종금리 전망을 연 5.5~5.75%로 0.25%포인트 올렸습니다. 3월 FOMC 이후에 나올 점도표에서 연준이 최종금리를 연 5.5~5.75%로 제시할 것이란 얘기입니다.
시티그룹과 바클레이즈도 최종금리 전망을 연 5.5~5.75%로 상향 조정했습니다.
금리 전망 상향 조정에 따라 주가 밸류에이션에도 조정이 생기면서 주가 하락 요인이 될 수 있습니다. 또 금리를 더 공격적으로 올린다면 경기 침체 가능성도 높아질 것으로 월가에선 보고 있습니다.
한편 이날 바이든 정부는 의회에 2024회계연도 예산안을 제시하면서 인플레이션 전망은 올해 4.3%, 내년 2.4%로 제시했습니다. 성장률은 올해 0.6%, 내년 1.5%로 제시했습니다. 실업률은 올해 4.3%, 내년 4.6%로 현재의 3.4%보다 높아지는 것으로 제시했습니다.
예산안에는 법인세율을 21%에서 28%로 올리고, 장기 투자 수익에 적용되는 자본이득세는 20%에서 39.6%로 상향 조정하겠다는 등의 증세 방안도 포함됐습니다. 연간 40만 달러를 버는 사람의 최고 소득세율을 37%에서 39.6%로 올리고 억만장자의 자산증가분에 최소 25% 세금을 부과하는 등의 방안도 들어 있습니다. 또 기업들에 대한 자사주 매입에 대한 세금도 현행 1%에서 4%로 높이겠다고 합니다. 이런 증세 방안은 주가에 악재가 될 수 있습니다. 하지만 하원을 공화당이 장악하고 있어서 통과는 쉽지 않을 것으로 전망됩니다.
골드만의 애플 추천
시가총액 세계 1위 기업 애플은 최근 좋은 주가 흐름을 이어가고 있습니다. 최근에는 미국의 대표 투자은행인 골드만삭스가 애플의 투자의견을 중립에서 매수로 상향하면서 화제가 됐습니다. 골드만삭스는 2017년 이후 애플에 대한 투자의견을 중립으로 유지해왔었습니다. 그러나 그 사이에도 애플 주가는 고공행진을 지속했습니다. 골드만삭스의 애플 담당 애널리스트는 지난해 교체되었는데 새로운 담당자가 이번에 투자 의견 변경을 포함한 분석 자료를 발간했습니다.
골드만삭스의 이번 분석자료에서 가장 주목한 점은 애플 기기의 사용자수가 지속적으로 증가하고 있다는 점입니다. 애플의 최고경영자(CEO)인 팀 쿡은 지난 분기 컨퍼런스 콜에서 현재 사용중인 애플 기기가 처음으로 20억 개를 돌파했다고 발표했습니다. 지난 분기에 여러 지정학적 이슈로 아이폰 판매량이 전년 대비 감소했음에도 불구하고 전체 사용 중인 애플 기기 수는 증가한 것입니다. 이는 애플 제품에 대한 고객들의 충성도를 반영하는 것으로 제품의 교체 주기가 길어지고 있지만 애플 제품의 해지율이 낮아지고 있고 신제품 구매와 서비스 매출 상승으로 이어지고 있습니다.
미국 뉴욕에 있는 애플스토에서 열렸던 아이폰14 출시 행사. /로이터 연합뉴스
혁신적인 신제품 출시와 제품 고사양화를 통해 애플의 평균 판매 가격이 견조하게 상승하고 있다는 점도 주목해야 합니다. 애플은 지난해 아이폰 14 시리즈를 출시했는데 고가 모델인 아이폰 14 프로가 가장 많은 판매량을 기록한 바 있습니다. 고객들이 더 높은 가격을 지불할 만한 신제품을 애플이 만들어내고 있다는 방증입니다. 애플은 올해도 아이폰 15를 비롯해 아이패드, 맥북 등 다양한 신제품들을 출시할 계획입니다.
골드만삭스는 특히 이번 분석자료에서 서비스 부문을 향후 애플의 수익성을 가장 높여줄 사업부로 지목했습니다. 서비스 부문 매출의 성장에 따라 애플의 매출 총이익률이 지난해 33%에서 2027년 40%까지 상승할 것으로 전망했습니다. 애플의 서비스 부문 매출은 현재 전체 매출의 20% 수준까지 비중이 상승했습니다. 유료 서비스 가입자수는 지난 분기 기준 9억5000만 명으로 1년 동안 1억5000만 명이 증가했습니다.
애플의 최고경영자(CEO) 팀 쿡. /AFP 연합뉴스
애플은 뮤직, 티비, 클라우드, 광고, 페이 등 다양한 서비스들을 강화하고 있습니다. 20억 개에 달하는 사용중인 기기들, 9억5000만 명의 유료 서비스 가입자 수, 혁신적인 신제품들은 애플의 생태계를 더욱 견고하게 만들어가고 있습니다.
애플은 하드웨어와 서비스, 소프트웨어 등 모든 분야에서 전 세계 최고 수준의 혁신을 보여주고 있습니다. 이에 따라 애플 주식에 대한 증권사들의 호평이 이어지고 있습니다. 애플이 향후에도 산업을 주도해갈 수 있을 지, 아니면 또 다른 혁신 기업들이 애플의 자리를 위협할 수 있을 지 글로벌 대표기업들의 사업 전략을 지켜봐야 할 것입니다.
이제 월스트리트의 세 가지 포인트를 한줄평으로 요약해 보겠습니다. 첫째, 월가가 고용, 소비자물가 등 경제 지표에 주목하고 있습니다. 계속해서 경제가 탄탄하게 움직이면, 미 연준의 긴축이 다시 강화될 수 있다는 전망 때문입니다. 앞으로 경제 지표를 잘 챙겨 봐야 하겠습니다. 둘째, 연준의 최종금리가 예상보다 높아질 가능성이 커지고 있습니다. 금리 전망이 높아지는 건 주가에 악재가 될 수 있습니다. 파월 의장이 3월 FOMC에서 어떤 얘기를 할지 주목하시기 바랍니다. 셋째, 골드만삭스가 6년 만에 애플에 대해 매수 추천을 했습니다. 애플은 혁신적인 제품 뿐 아니라 서비스 분야에서도 성장세를 보여주고 있다고 합니다. 애플이 충성도 높은 고객들을 바탕으로 좋은 실적을 이어갈 수 있을지 따져 봐야 하겠습니다.",애플페이
글로벌에픽,"코보시스, 자사 키오스크에애플페이기능 적용 업데이트",,,,,,,애플페이
이코노텔링,[김용태 트렌드 트레킹] (37)애플페이의 국내진출 노림수,,,,,,,애플페이
폴리뉴스,폴리뉴스 모닝브리핑 3월10일 금요일,,,,,,,애플페이
