press,title,naver_news_text,naver_news_url,body
뉴시스,"카카오페이 ""애플페이, 새롭고 강력한 경쟁자""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011858604?sid=101,
뉴시스,카카오페이 “삼성페이와 연동 논의 중”…애플페이대응 전략?,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011858604?sid=101,
이코노미스트,"""카카오페이, 3년내 年 100억건 거래 달성""",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000044888?sid=101,
파이낸셜뉴스,"카카오페이 ""애플페이론칭 후 현장 결제액 큰 변동 없어…삼성페이 연...",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005012527?sid=101,
뉴스1,"카카오페이, 삼성페이 손잡을까… ""애플페이강력한 경쟁자""",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006806364?sid=105,
매일경제,“아이폰 사용자들 좋겠네”…‘애플페이’ 이벤트 나선 편의점들,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005130120?sid=101,
매일경제,“CU서애플페이로 ‘사과’ 상품 사면 20% 할인”...SNS 이벤트도 병행,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005130120?sid=101,
매경이코노미,제품명에 '사과'·'애플' 들어가면 20% 할인…CU 이색 캠페인,네이버뉴스,https://n.news.naver.com/mnews/article/024/0000082027?sid=102,
연합뉴스,"""사과 사면 20% 할인""…CU,애플페이결제 이벤트",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013941688?sid=101,
뉴시스,"""사과 들어가면 20% 할인""…CU,애플페이결제 이벤트",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011858260?sid=101,
연합뉴스TV,애플페이는 수수료 물고 하려더니…사뭇 다른 반응,네이버뉴스,https://n.news.naver.com/mnews/article/422/0000598727?sid=101,
연합뉴스TV,"애플페이보다 더 떼간다?…카드업계, 삼성페이 수수료에 '속앓이'",네이버뉴스,https://n.news.naver.com/mnews/article/422/0000598727?sid=101,
SBS Biz,"""삼성페이유료화?"" 떨고 있는 카드사…네카오까지 압박할라",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000335775?sid=101,
머니투데이,'수수료' 받는애플페이처럼…삼성페이도 '유료화' 수순 밟나,네이버뉴스,https://n.news.naver.com/mnews/article/008/0004886970?sid=101,
뉴스1,삼성 vs애플‘페이싸움’에 포로된 카드사,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006805542?sid=101,
한경비즈니스,"카카오페이, 3년 내 금융거래 연 100억건 목표...삼성페이협력은 '논의...",네이버뉴스,https://n.news.naver.com/mnews/article/050/0000065531?sid=101,
한경비즈니스,"활로 찾는 카카오페이""AI·데이터로 年거래 100억건 달성""",네이버뉴스,https://n.news.naver.com/mnews/article/050/0000065531?sid=101,
아시아경제,"""기초공사 끝났다""…카카오페이, '국민 금융비서 도약' 선언",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005258967?sid=101,
파이낸셜투데이,"신원근 카카오페이대표 ""3년내 연간 거래 100억건 목표""(종합)",,,
연합뉴스,"카카오페이""고객 금융 니즈 해결에 집중…대출 등 영역 강화도""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013943107?sid=101,
SBS Biz,"""밥값 계산하는 데 난감했다""…카카오페이2시간 '먹통'",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000335781?sid=101,
SBS Biz,"카카오페이,애플페이국내 상륙에도 자신감…""결제액 변동 없어""",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000335781?sid=101,
뉴스핌,"신원근 카카오페이대표 ""증권 흑자되면 주가부양하겠다""",,,
조세일보,"[일문일답] 신원근 ""카카오페이손보 안 판다…신상품으로 경쟁력↑""",네이버뉴스,https://n.news.naver.com/mnews/article/123/0002305217?sid=101,
아시아경제,"[일문일답] 카카오페이""연간 거래 100억건 목표… 코GPT로 금융생태계...",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005259163?sid=101,
디지털데일리,카카오페이“3년내 연간 100억건 금융거래 달성” … '국가대표페이'...,네이버뉴스,https://n.news.naver.com/mnews/article/138/0002148503?sid=101,
디지털데일리,"신원근 카카오페이대표 ""3년 내 연간 거래 100억 건 달성 목표""",네이버뉴스,https://n.news.naver.com/mnews/article/138/0002148503?sid=101,
KPI뉴스,"신원근 카카오페이대표 ""3년 내 年 거래 건수 100억건 달성할 것""",,,
시사포커스,"“단기목표 연 거래 100억건”…카카오페이, ‘손안의 금융 비서’ 포부",,,
아시아경제,[시시비비]진짜 '애플쇼크' 이제부터다,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005259195?sid=110,
케이벤치,삼성페이수수료 유료화 수순 밟나…'기존 계약 연장 않겠다' 카드사 통...,,,
IT비즈뉴스,"코보시스, 와우플 전용 자체 양산 키오스크애플페이결제 가능",,,
디지털데일리,"[DD 퇴근길] 3년내 100억건 금융거래 목표 카카오페이, 2시간여 먹통",네이버뉴스,https://n.news.naver.com/mnews/article/138/0002148525?sid=105,
