press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
머니S,"교보생명, 조각투자 이어스테이블코인도 진출… 신성장동력 마련",네이버뉴스,https://n.news.naver.com/mnews/article/417/0001116971?sid=101,,머니S,"교보생명, 조각투자 이어 스테이블코인도 진출… 신성장동력 마련","교보생명이 미 달러 기반 스테이블코인을 발행하는 서클의 블록체인 네트워크 '아크' 공개 테스트넷에 참여하고 있다. 사진은 서울 광화문 교보생명 사옥 전경. /사진=교보생명
교보생명이 미국 스테이블코인 발행사 서클의 블록체인 네트워크 '아크'(Arc) 공개 테스트넷에 참여했다고 3일 밝혔다.
서클은 미국 달러 기반 스테이블코인 'USDC'를 발행하는 글로벌 디지털 금융 기업이다. 서클은 현재 아크를 통해 블록체인 기반 결제 및 자산관리 인프라를 구축하기 위한 글로벌 협력 생태계를 만들고 있다.
아크는 예측 가능한 스테이블코인 수수료 구조와 고객 맞춤형 보안 체계 구축 등을 지원한다. 대출, 자본시장, 외환(FX), 글로벌 결제 등 여러 금융 서비스에서 폭넓게 활용할 수 있다. 교보생명은 아크 공개 테스트넷에 참여하는 국내 유일 보험사다.
교보생명의 참여는 스테이블코인 인프라의 기술적 타당성을 사전 검증함으로써 디지털 자산이 제도화된 이후 실제 사업 실행을 향한 준비단계로 평가된다.
이미 교보생명은 국내 디지털 자산 생태계 확장에 속도를 내고 있다. 금융당국이 추진하고 있는 조각투자 제도 도입과 관련해 한국거래소, 키움증권, 카카오페이증권 등으로 구성된 조각투자 유통플랫폼 컨소시엄에 최근 참여했다.
조각투자는 부동산, 미술품, 음악저작권 등 실물 자산을 디지털화해 소액 단위로 분할·거래하는 방식이다. 새로운 형태의 자산관리 수요를 충족시키는 서비스로 주목받고 있다. 교보생명은 향후 자산관리·신탁·보험을 아우르는 종합금융 플랫폼으로의 전환을 가속화할 계획이다.
교보생명은 아크 참여와 조각투자 플랫폼 진출을 통해 국내외 금융 네트워크를 연결하는 디지털 금융 허브 역할을 강화한다는 방침이다.
교보생명 관계자는 ""아크는 다양한 글로벌 플레이어가 함께 참여하는 차세대 디지털 금융 네트워크""라며 ""한국을 대표하는 생명보험사로서 신뢰 기반 금융혁신을 추진하고 고객이 안심할 수 있는 디지털 자산 환경을 만드는 데 기여할 것""이라고 말했다.",스테이블코인
뉴시스,"""불법스테이블코인매매 성행""…금융당국, 이용자 주의 당부",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013633907?sid=101,,뉴시스,"""불법 스테이블코인 매매 성행""…금융당국, 이용자 주의 당부","""FIU에 신고된 27개 사업자 외에 모두 불법""
[서울=뉴시스] 금융정보분석원(FIU)은 최근 텔레그램, 오픈채팅방 등에서 불법 스테이블코인 매매가 성행하고 있어 소비자의 주의가 필요하다고 2일 당부했다. (자료=금융위원회) photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스] 최홍 기자 = 금융정보분석원(FIU)은 최근 텔레그램, 오픈채팅방 등에서 스테이블코인 등 불법 가상자산 매매가 성행하고 있어 소비자의 주의가 필요하다고 2일 당부했다.
그간 FIU는 제보 등을 통해 파악한 불법 가상자산업자에 대해 수사기관 통보, 휴대전화 앱 접속차단 요청 등 이용자 피해 예방을 위한 조치를 취해왔다.
그럼에도 최근 불법 가상자산업자는 계속 증가하는 추세다.
현재 FIU에 적법하게 신고한 가상자산사업자는 단 27곳이다. 이외에 내국인 대상으로 영업하는 가상자산업자는 모두 불법이다.
불법 가상자산업자는 금융위원회, FIU, 금융감독원 등 당국의 관리·감독 대상에 포함되지 않아 자금세탁방지나 이용자 보호체계를 충분히 갖추고 있지 않다.
이들은 사기·탈세·외국환거래법 위반 등 각종 범죄 행위에 연루됐을 가능성이 매우 높다. 이를 통해 거래하는 경우 금전 피해 발생에 대해 구제받을 수 없다.
불법 코인업자는 텔레그램, 오픈채팅방을 통해 익명으로 스테이블 코인을 교환한다.
또 국내에 신고하지 않은 가상자산업자를 블로그, SNS 등으로 홍보·알선하며, 환전소 운영을 통해 가상자산을 매개로 '환치기'도 일삼는다.
이런 불법 가상자산 취급행위는 형사처벌 대상으로, 수사를 통한 사실관계 확인을 거쳐 법원에서 처벌받게 된다.
FIU는 ""매매 대금만 받고 코인을 지급하지 않는 등 금전 피해 사례가 다수 발생하고 있다""며 ""FIU는 불법 가상자산 취급업자를 통한 거래를 하지 않을 것을 강력하게 권고한다""고 밝혔다．",스테이블코인
뉴시스,"FIU ""텔레그램서 불법스테이블코인성행…거래시 구제 어려워""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013633907?sid=101,,뉴시스,"""불법 스테이블코인 매매 성행""…금융당국, 이용자 주의 당부","""FIU에 신고된 27개 사업자 외에 모두 불법""
[서울=뉴시스] 금융정보분석원(FIU)은 최근 텔레그램, 오픈채팅방 등에서 불법 스테이블코인 매매가 성행하고 있어 소비자의 주의가 필요하다고 2일 당부했다. (자료=금융위원회) photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스] 최홍 기자 = 금융정보분석원(FIU)은 최근 텔레그램, 오픈채팅방 등에서 스테이블코인 등 불법 가상자산 매매가 성행하고 있어 소비자의 주의가 필요하다고 2일 당부했다.
그간 FIU는 제보 등을 통해 파악한 불법 가상자산업자에 대해 수사기관 통보, 휴대전화 앱 접속차단 요청 등 이용자 피해 예방을 위한 조치를 취해왔다.
그럼에도 최근 불법 가상자산업자는 계속 증가하는 추세다.
현재 FIU에 적법하게 신고한 가상자산사업자는 단 27곳이다. 이외에 내국인 대상으로 영업하는 가상자산업자는 모두 불법이다.
불법 가상자산업자는 금융위원회, FIU, 금융감독원 등 당국의 관리·감독 대상에 포함되지 않아 자금세탁방지나 이용자 보호체계를 충분히 갖추고 있지 않다.
이들은 사기·탈세·외국환거래법 위반 등 각종 범죄 행위에 연루됐을 가능성이 매우 높다. 이를 통해 거래하는 경우 금전 피해 발생에 대해 구제받을 수 없다.
불법 코인업자는 텔레그램, 오픈채팅방을 통해 익명으로 스테이블 코인을 교환한다.
또 국내에 신고하지 않은 가상자산업자를 블로그, SNS 등으로 홍보·알선하며, 환전소 운영을 통해 가상자산을 매개로 '환치기'도 일삼는다.
이런 불법 가상자산 취급행위는 형사처벌 대상으로, 수사를 통한 사실관계 확인을 거쳐 법원에서 처벌받게 된다.
FIU는 ""매매 대금만 받고 코인을 지급하지 않는 등 금전 피해 사례가 다수 발생하고 있다""며 ""FIU는 불법 가상자산 취급업자를 통한 거래를 하지 않을 것을 강력하게 권고한다""고 밝혔다．",스테이블코인
머니투데이,"""헥토이노베이션, 디지털자산 지갑으로 '서클' 생태계 합류..스테이블코...",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005287154?sid=105,,머니투데이,"""헥토이노베이션, 디지털자산 지갑으로 '서클' 생태계 합류..스테이블코인 본격화"" - 리딩 證","리딩투자증권 리서치센터가 4일 리포트를 발행해 헥토이노베이션이 '서클(Circle)'의 스테이블코인 전용 블록체인 메인넷 '아크(Arc)'의 글로벌 파트너사로 선정되며 스테이블코인 신사업 기반을 강화하고 중장기 투자 포인트를 확보했다고 밝혔다.
한제윤 리딩투자증권 리서치센터 연구원은 ""헥토이노베이션이 아크(Arc) 생태계에 합류하면서 보유한 지갑 기술이 글로벌 스탠다드에 부합한다는 것과 '글로벌 탑 티어' 수준의 기술력을 확보했다는 점을 공식적으로 인정받았다""고 분석했다.
한 연구원은 이외에도 △자회사 헥토파이낸셜의 크로스 보더 정산 사업과 직접 연동되는 전략적 기반을 마련했다는 점 △서클이라는 레퍼런스를 토대로 향후 공격적인 사업 전개가 가능하다는 점을 주목할만한 중장기 투자 포인트로 판단했다.
서클이 구축하겠다고 선언한 스테이블코인 전용 메인넷 아크는 기업·금융기관의 온체인(블록체인 기반) 금융 활동을 위해 자체 설계하는 블록체인 메인넷이다.
한 연구원은 헥토이노베이션의 디지털 지갑 기술 내재화에도 주목했다. 한 연구원은 ""디지털 지갑은 차세대 결제 인터페이스의 첫 관문이라는 평가를 받는 스테이블코인 관련 핵심 기술""이라며 ""''월렛원'은 지갑사업화를 가장 많이 수행한 1위 기업으로, 기술력과 신뢰성을 모두 입증 받은 기업""이라고 설명했다. 헥토이노베이션은 지난 9월 월렛원을 인수했다.
한 연구원은 ""월렛원 인수를 통해 헥토이노베이션은 웹3 사업 필수 요소인 지갑 기술, 규제준수체계(VASP), 금융권 레퍼런스를 동시에 확보했다""며 ""스테이블코인 산업으로의 진출이 본격화되고 있다""고 분석했다.
이어 한 연구원은 ""실제로 월렛원 인수가 서클(Circle)의 파트너사로 선정되는 데에 결정적인 역할을 했다는 점 또한 향후의 사업 전개 방향과 성공 가능성을 높게 평가하게 되는 포인트""라고 덧붙였다.",스테이블코인
머니투데이,"리딩투자證 ""헥토이노베이션, '서클' 생태계 합류…스테이블코인본격화...",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005287154?sid=105,,머니투데이,"""헥토이노베이션, 디지털자산 지갑으로 '서클' 생태계 합류..스테이블코인 본격화"" - 리딩 證","리딩투자증권 리서치센터가 4일 리포트를 발행해 헥토이노베이션이 '서클(Circle)'의 스테이블코인 전용 블록체인 메인넷 '아크(Arc)'의 글로벌 파트너사로 선정되며 스테이블코인 신사업 기반을 강화하고 중장기 투자 포인트를 확보했다고 밝혔다.
한제윤 리딩투자증권 리서치센터 연구원은 ""헥토이노베이션이 아크(Arc) 생태계에 합류하면서 보유한 지갑 기술이 글로벌 스탠다드에 부합한다는 것과 '글로벌 탑 티어' 수준의 기술력을 확보했다는 점을 공식적으로 인정받았다""고 분석했다.
한 연구원은 이외에도 △자회사 헥토파이낸셜의 크로스 보더 정산 사업과 직접 연동되는 전략적 기반을 마련했다는 점 △서클이라는 레퍼런스를 토대로 향후 공격적인 사업 전개가 가능하다는 점을 주목할만한 중장기 투자 포인트로 판단했다.
서클이 구축하겠다고 선언한 스테이블코인 전용 메인넷 아크는 기업·금융기관의 온체인(블록체인 기반) 금융 활동을 위해 자체 설계하는 블록체인 메인넷이다.
한 연구원은 헥토이노베이션의 디지털 지갑 기술 내재화에도 주목했다. 한 연구원은 ""디지털 지갑은 차세대 결제 인터페이스의 첫 관문이라는 평가를 받는 스테이블코인 관련 핵심 기술""이라며 ""''월렛원'은 지갑사업화를 가장 많이 수행한 1위 기업으로, 기술력과 신뢰성을 모두 입증 받은 기업""이라고 설명했다. 헥토이노베이션은 지난 9월 월렛원을 인수했다.
한 연구원은 ""월렛원 인수를 통해 헥토이노베이션은 웹3 사업 필수 요소인 지갑 기술, 규제준수체계(VASP), 금융권 레퍼런스를 동시에 확보했다""며 ""스테이블코인 산업으로의 진출이 본격화되고 있다""고 분석했다.
이어 한 연구원은 ""실제로 월렛원 인수가 서클(Circle)의 파트너사로 선정되는 데에 결정적인 역할을 했다는 점 또한 향후의 사업 전개 방향과 성공 가능성을 높게 평가하게 되는 포인트""라고 덧붙였다.",스테이블코인
뉴시스,"리딩투자증권 ""헥토이노베이션, 써클 파트너 선정⋯스테이블코인사업...",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013638328?sid=101,,뉴시스,"리딩투자證 ""헥토이노베이션, '서클' 생태계 합류…스테이블코인 본격화""","*재판매 및 DB 금지
[서울=뉴시스] 배요한 기자 = 리딩투자증권은 4일 헥토이노베이션에 대해 ""서클(Circle)의 스테이블코인 전용 블록체인 메인넷 아크(Arc)의 글로벌 파트너사로 선정되면서 스테이블코인 신사업 기반을 강화하고 있다""고 분석했다. 다만 투자의견과 목표주가는 제시하지 않았다.
한제윤 리딩투자증권 연구원은 ""헥토이노베이션이 아크 생태계에 합류하면서 보유한 지갑 기술이 글로벌 스탠다드에 부합하며, 기술력 또한 '글로벌 탑 티어' 수준임을 공식적으로 인정받았다""고 평가했다.
이어 ""자회사 헥토파이낸셜의 크로스보더 정산 사업과 직접 연동되는 전략적 기반을 마련했으며, 서클이라는 레퍼런스를 토대로 향후 공격적인 사업 전개가 가능하다는 점은 주목할 만한 중장기 투자 포인트""라고 설명했다.
서클이 구축을 선언한 스테이블코인 전용 메인넷 아크는 기업과 금융기관의 온체인 금융 활동을 위해 자체 설계된 블록체인 메인넷이다.
리딩투자증권은 헥토이노베이션의 디지털 지갑 기술 내재화에도 관심을 가져봐야 한다고 조언했다.
한 연구원은 ""디지털 지갑은 차세대 결제 인터페이스의 첫 관문이자, 스테이블코인 관련 핵심 기술로 평가받고 있다""며 ""최근 인수한 '월렛원'은 지갑 사업화를 가장 많이 수행한 1위 기업으로, 기술력과 신뢰성을 모두 입증받은 기업""이라고 말했다.
또 ""월렛원 인수를 통해 헥토이노베이션은 웹3(Web3) 사업의 필수 요소인 지갑 기술, 규제 준수 체계(VASP), 금융권 레퍼런스를 동시에 확보하면서 태동하는 스테이블코인 산업 진출이 본격화되고 있다""고 판단했다.
이어  ""실제로 이번 인수가 서클의 파트너사로 선정되는 데 결정적인 역할을 했다는 점이 향후 사업 전개 방향과 성공 가능성을 높게 평가하게 되는 요인""이라고 덧붙였다.",스테이블코인
이투데이,"[클릭 e종목]""헥토이노베이션, 디지털자산 지갑으로 '서클' 합류…스테...",,,,,,,스테이블코인
아시아경제,"""헥토이노베이션, '서클' 생태계 합류..스테이블코인본격화 – 리딩투...",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005688687?sid=101,,아시아경제,"[클릭 e종목]""헥토이노베이션, 디지털자산 지갑으로 '서클' 합류…스테이블코인 본격화""","리딩투자증권은 4일
헥토이노베이션
에 대해 '서클(Circle)'의 스테이블코인 전용 블록체인 메인넷 '아크(Arc)'의 글로벌 파트너사로 선정되며 스테이블코인 신사업 기반을 강화하고 중장기 투자 포인트를 확보했다고 4일 밝혔다. 투자의견과 목표주가는 제시하지 않았다.
한제윤 리딩투자증권 연구원은 ""헥토이노베이션은 아크 생태계에 합류하면서 보유하고 있는 지갑 기술이 글로벌 스탠다드에 부합한다는 것과 기술력 수준 또한 '글로벌 탑 티어'라는 것을 공식적으로 인정받았다""고 분석했다.
이와 함께 자회사 헥토파이낸셜의 크로스 보더 정산 사업과 직접 연동되는 전략적 기반을 마련했다는 것, 서클이라는 레퍼런스를 토대로 향후 공격적인 사업 전개가 가능하다는 것도 주목할만한 중장기 투자 포인트로 판단했다.
서클이 구축하겠다고 선언한 스테이블코인 전용 메인넷 아크는 기업·금융기관의 온체인 금융 활동을 위해 자체 설계하는 블록체인 메인넷이다.
헥토이노베이션의 디지털 지갑 기술 내재화에도 주목했다. 한 연구원은 ""디지털 지갑은 차세대 결제 인터페이스의 첫 관문이라는 평가를 받는 스테이블코인 관련 핵심 기술로 평가받고 있다""며, 최근 인수한 '월렛원'에 대해 ""지갑사업화를 가장 많이 수행한 1위 기업으로, 기술력과 신뢰성을 모두 입증 받은 기업""이라고 설명했다.
그러면서 ""'월렛원' 인수를 통해 헥토이노베이션은 웹3(Web3) 사업의 필수 요소인 지갑 기술, 규제준수체계(VASP), 금융권 레퍼런스를 동시에 확보하며 태동하는 스테이블코인 산업으로의 진출이 본격화되고 있다""고 분석했다.
또한 ""실제로 '월렛원' 인수가 서클의 파트너사로 선정되는 데에 결정적인 역할을 했다는 점 또한 향후의 사업 전개 방향과 성공 가능성을 높게 평가하게 되는 포인트""라고 덧붙였다.",스테이블코인
매일경제,“비트코인은 돈세탁” 비난하던 월가제왕…코인왕 만나더니 돌변,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005600874?sid=101,,매일경제,“비트코인은 돈세탁” 비난하던 월가제왕…코인왕 만나더니 돌변,"블랙록 래리 핑크-코인베이스 CEO 회동
핑크 “재정적자시대 금융피난처” 재평가
코인베이스, 美은행과 자산 토큰화 사업
브라이언 암스트롱 코인베이스 CEO(오른쪽)가 4일(현지시간) 래리 핑크 블랙록 회장과 회동한 뒤 자신의 엑스(X)에 공개한 사진. 암스트롱 CEO는 “래리와의 만남은 즐거웠다”며 “토큰화는 미래이며, 모든 자산을 온체인(On-chain)으로 가져올 때가 됐다”고 강조했다. [출처=엑스(X)]
미국 최대 가상자산 거래소 코인베이스가 월가 대형 은행들과 손잡고 암호화폐 관련 시범 사업(파일럿)을 진행 중인 것으로 확인됐다.
세계 최대 자산운용사 블랙록의 래리 핑크 회장은 비트코인을 ‘공포에 대한 헤지(위험회피) 수단’으로 재정의하며 자산 토큰화(Tokenization)의 필요성을 역설했다.
4일 블룸버그에 따르면 브라이언 암스트롱 코인베이스 최고경영자(CEO)는 이날 열린 ‘뉴욕타임스(NYT) 딜북 서밋’에 참석해 “미국의 가장 큰 은행 중 일부가 코인베이스와 함께 스테이블코인, 커스터디(수탁), 거래와 관련된 파일럿 프로그램을 진행하고 있다”고 밝혔다.
암스트롱 CEO는 구체적인 은행명은 언급하지 않았으나 “최고의 은행들은 이를 기회로 삼아 적극적으로 뛰어들고 있다”며 “이에 저항하는 은행들은 결국 뒤처지게 될 것”이라고 경고했다.
이는 전통 금융권(TradFi)이 가상자산 시장을 더 이상 투기판이 아닌 새로운 금융 인프라로 받아들이기 시작했음을 시사한다.
이날 암스트롱과 함께 대담에 나선 래리 핑크 블랙록 회장은 비트코인과 자산 토큰화에 대한 확고한 지지를 보냈다.
지난 2017년 비트코인을 “돈세탁을 위한 인덱스”라고 폄하했던 핑크 회장은 이날 “비트코인의 거대한 사용 사례(Use case)를 보고 있다”며 완전히 달라진 입장을 재확인했다.
핑크 회장은 비트코인을 ‘공포의 자산(Asset of fear)’이라고 정의하며 그 가치를 설명했다. 그는 “사람들이 비트코인을 소유하는 이유는 물리적 안보나 재정적 안보에 대한 두려움 때문”이라며 “재정 적자로 인한 화폐 가치 하락에 대비하는 장기적 수단”이라고 분석했다.
두 CEO는 ‘모든 자산의 토큰화’가 금융의 미래라는 점에 뜻을 모았다. 핑크 회장은 “전 세계 디지털 지갑에 약 4조 1000억달러(약 5800조원) 규모의 자금이 있으며, 대부분 스테이블코인 형태”라며 “다른 자산들이 토큰화된다면 이 자금을 훨씬 쉽게 사용할 수 있을 것”이라고 전망했다. 암스트롱 CEO 역시 주식, 채권, 부동산 등 모든 가치가 가상 토큰으로 디지털화되는 미래를 강조했다.
블랙록뿐 아니라 JP모건체이스, 뱅크오브아메리카(BoA), 모건스탠리 등 월가 주요 금융사들도 가상자산 관련 서비스에 큰 관심을 보이고 있다.
다만 시장의 불확실성은 여전하다. 지난 10월 관세 발표와 레버리지 청산 등으로 인해 암호화폐 가격은 조정세를 보이고 있다. 그러나 암스트롱과 핑크 같은 업계 리더들은 이를 단기적인 현상으로 일축하며, 실물 자산(RWA)의 온체인화라는 거대한 흐름은 바뀌지 않을 것이라고 입을 모았다.",스테이블코인
매일경제,"코인베이스 CEO ""스테이블코인도입 안 하는 은행, 뒤처질 것""",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005600874?sid=101,,매일경제,“비트코인은 돈세탁” 비난하던 월가제왕…코인왕 만나더니 돌변,"블랙록 래리 핑크-코인베이스 CEO 회동
핑크 “재정적자시대 금융피난처” 재평가
코인베이스, 美은행과 자산 토큰화 사업
브라이언 암스트롱 코인베이스 CEO(오른쪽)가 4일(현지시간) 래리 핑크 블랙록 회장과 회동한 뒤 자신의 엑스(X)에 공개한 사진. 암스트롱 CEO는 “래리와의 만남은 즐거웠다”며 “토큰화는 미래이며, 모든 자산을 온체인(On-chain)으로 가져올 때가 됐다”고 강조했다. [출처=엑스(X)]
미국 최대 가상자산 거래소 코인베이스가 월가 대형 은행들과 손잡고 암호화폐 관련 시범 사업(파일럿)을 진행 중인 것으로 확인됐다.
세계 최대 자산운용사 블랙록의 래리 핑크 회장은 비트코인을 ‘공포에 대한 헤지(위험회피) 수단’으로 재정의하며 자산 토큰화(Tokenization)의 필요성을 역설했다.
4일 블룸버그에 따르면 브라이언 암스트롱 코인베이스 최고경영자(CEO)는 이날 열린 ‘뉴욕타임스(NYT) 딜북 서밋’에 참석해 “미국의 가장 큰 은행 중 일부가 코인베이스와 함께 스테이블코인, 커스터디(수탁), 거래와 관련된 파일럿 프로그램을 진행하고 있다”고 밝혔다.
암스트롱 CEO는 구체적인 은행명은 언급하지 않았으나 “최고의 은행들은 이를 기회로 삼아 적극적으로 뛰어들고 있다”며 “이에 저항하는 은행들은 결국 뒤처지게 될 것”이라고 경고했다.
이는 전통 금융권(TradFi)이 가상자산 시장을 더 이상 투기판이 아닌 새로운 금융 인프라로 받아들이기 시작했음을 시사한다.
이날 암스트롱과 함께 대담에 나선 래리 핑크 블랙록 회장은 비트코인과 자산 토큰화에 대한 확고한 지지를 보냈다.
지난 2017년 비트코인을 “돈세탁을 위한 인덱스”라고 폄하했던 핑크 회장은 이날 “비트코인의 거대한 사용 사례(Use case)를 보고 있다”며 완전히 달라진 입장을 재확인했다.
핑크 회장은 비트코인을 ‘공포의 자산(Asset of fear)’이라고 정의하며 그 가치를 설명했다. 그는 “사람들이 비트코인을 소유하는 이유는 물리적 안보나 재정적 안보에 대한 두려움 때문”이라며 “재정 적자로 인한 화폐 가치 하락에 대비하는 장기적 수단”이라고 분석했다.
두 CEO는 ‘모든 자산의 토큰화’가 금융의 미래라는 점에 뜻을 모았다. 핑크 회장은 “전 세계 디지털 지갑에 약 4조 1000억달러(약 5800조원) 규모의 자금이 있으며, 대부분 스테이블코인 형태”라며 “다른 자산들이 토큰화된다면 이 자금을 훨씬 쉽게 사용할 수 있을 것”이라고 전망했다. 암스트롱 CEO 역시 주식, 채권, 부동산 등 모든 가치가 가상 토큰으로 디지털화되는 미래를 강조했다.
블랙록뿐 아니라 JP모건체이스, 뱅크오브아메리카(BoA), 모건스탠리 등 월가 주요 금융사들도 가상자산 관련 서비스에 큰 관심을 보이고 있다.
다만 시장의 불확실성은 여전하다. 지난 10월 관세 발표와 레버리지 청산 등으로 인해 암호화폐 가격은 조정세를 보이고 있다. 그러나 암스트롱과 핑크 같은 업계 리더들은 이를 단기적인 현상으로 일축하며, 실물 자산(RWA)의 온체인화라는 거대한 흐름은 바뀌지 않을 것이라고 입을 모았다.",스테이블코인
