press,title,naver_news_text,naver_news_url,body
파이낸셜뉴스,"[특징주]에코프로, 70만원 돌파",네이버뉴스,https://n.news.naver.com/mnews/article/014/0004994489?sid=101,
파이낸셜뉴스,"연일 최고가 '에코프로' 70만원 뚫었다…두달 만에 7배, 무슨일",네이버뉴스,https://n.news.naver.com/mnews/article/014/0004994489?sid=101,
중앙일보,'게 섰거라'에코프로…증권가 이상과열 지적,네이버뉴스,https://n.news.naver.com/mnews/article/025/0003272095?sid=101,
한국경제TV,"진격의에코프로, 기어코 70만원 돌파… 연일 신고가 행진",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001094419?sid=101,
SBS Biz,"에코프로, 70만원 돌파…고평가 논란에도 또 '신고가 경신'",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000330959?sid=101,
매일경제,"2차전지주 상승 랠리...에코프로69만원 돌파, 신고가 경신",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005113999?sid=101,
매일경제,에코프로4형제 기대감에 또 질주…52주 신고가 경신,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005113999?sid=101,
서울경제,"""에코프로그룹주, 과연 계속 오를까?"" 투자자 고심 증폭",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004177088?sid=101,
더팩트,올해 600% 급등한 2차전지 '에코프로'에 무슨 일이,네이버뉴스,https://n.news.naver.com/mnews/article/629/0000210886?sid=101,
한국일보,천장 뚫고나서 또 질주…60만 원 목전에코프로'과열 주의보',네이버뉴스,https://n.news.naver.com/mnews/article/469/0000733310?sid=101,
조선비즈,"[특징주]에코프로, 주가 날개 달았다…장중 67만원 돌파 신고가 경신",네이버뉴스,https://n.news.naver.com/mnews/article/366/0000892168?sid=101,
조선비즈,[특징주]에코프로질주 어디까지…52주 신고가 경신,네이버뉴스,https://n.news.naver.com/mnews/article/366/0000892168?sid=101,
아이뉴스24,[특징주]에코프로'신고가' 경신…65만원 돌파,네이버뉴스,https://n.news.naver.com/mnews/article/031/0000739824?sid=101,
아시아경제,"에코프로, '신고가' 경신… 장중 65만원 터치",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005242992?sid=101,
브릿지경제,"[특징주]에코프로, 60만원 돌파…52주 신고가 경신",,,
서울경제,에코프로형제 '부스터'…코스닥 질주,네이버뉴스,https://n.news.naver.com/mnews/article/011/0004177414?sid=101,
한국경제TV,"""에코프로삼형제, 카카오 그룹주 넘었다"" [증시프리즘]",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001094478?sid=101,
한국경제,"'파죽지세'에코프로, 65만 뚫고 52주 신고가…70만 '목전'",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004830547?sid=101,
뉴스1,"""70만원도 뚫다니""…에코프로, 24% 급등 '미친 질주'",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006738124?sid=101,
머니S,4월의 '韓 엔지니어'… LG전자 서현석·에코프로비엠 신종승,네이버뉴스,https://n.news.naver.com/mnews/article/417/0000911466?sid=101,
머니S,4월 엔지니어상에 LG전자 서현석·에코프로비엠 신종승,네이버뉴스,https://n.news.naver.com/mnews/article/417/0000911466?sid=101,
연합뉴스,4월 韓엔지니어상에 LG전자 서현석·에코프로비엠 신종승,네이버뉴스,https://n.news.naver.com/mnews/article/001/0013870052?sid=105,
뉴시스,4월 엔지니어상에 LG전자 서현석·에코프로비엠 신종승,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011793634?sid=105,
연합뉴스,"'에코프로비엠 퀀텀점프의 주역'…신종승 상무, 공로 인정받았다",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013870159?sid=105,
뉴시스,다가온 MSCI 정기변경…에코프로등 편입 가능할까,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011793581?sid=101,
SBS Biz,주당 72만원 치솟은에코프로…주가 잇따른 '경고음',네이버뉴스,https://n.news.naver.com/mnews/article/374/0000330924?sid=101,
