press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,11월부터 자녀 둘만 있어도공공분양주택'다자녀 특공',네이버뉴스,https://n.news.naver.com/mnews/article/001/0014146471?sid=101,,연합뉴스,11월부터 자녀 둘만 있어도 공공분양주택 '다자녀 특공',"자녀 1인당 공공분양 소득·자산요건 10%p 완화
청약 배점 동점이면 '1세 이하 자녀' 가구 우대
임대주택 계속 거주하려면 고가車 못산다
공공분양 '뉴홈' 사전청약
(고양=연합뉴스) 박동주 기자 = 사진은 경기도 고양시 한국토지주택공사(LH) 고양사업본부 홍보관의 모습. 2023.2.20 pdj6635@yna.co.kr
(세종=연합뉴스) 박초롱 기자 = 올해 11월부터 공공분양주택 특별공급의 '다자녀' 기준이 3자녀에서 2자녀로 바뀐다.
자녀가 둘만 있어도 다자녀 특공 청약을 넣을 수 있게 된 것이다.
국토교통부는 출산가구에 대한 주거지원 강화를 위한 '공공주택 특별법 시행규칙' 등 하위법령 개정안을 입법·행정예고한다고 23일 밝혔다.
앞서 정부는 아파트 분양, 자동차 취득세 감면, 문화시설 이용료 할인 등 3자녀 이상이어야 받을 수 있는 각종 다자녀 혜택을 2자녀까지 넓히기로 했는데, 이에 따른 조치다.
개정안에는 공공분양주택의 자녀 수 배점에 '2자녀' 항목을 추가하는 내용이 담겼다.
자녀수 배점은 총 40점이며 2명은 25점, 3명은 35점, 4명 이상은 40점이다.
지금까지는 3명은 30점, 4명은 35점, 5명 이상은 40점이었다.
다자녀 기준이 바뀌면서 3자녀 이상 가구가 불리해지는 것을 막기 위해 2자녀와 3자녀 간 배점 차이를 10점으로 했다.
다자녀 기준 변경은 올해 11월 시행 예정이며, 시행 이후 분양공고가 나온 공공주택부터 적용된다.
국토부가 '저출산·고령사회 정책과제 및 추진방향'을 밝힌 올해 3월 28일 이후 자녀를 출산한 가구는 공공주택 청약 때 미성년 자녀 1인당 10%포인트씩 완화한 소득·자산 요건을 적용한다.
2자녀 이상은 소득·자산요건을 최대 20%포인트 완화한다.
공공임대주택 입주자 선정 때 다른 사람과 배점이 동점이라면 만 1세 이하 자녀가 있는 가구를 우선한다.
고덕강일 3단지 예정 부지
(서울=연합뉴스) 황광모 기자 = 분양가 3억 원대의 토지임대부 분양주택이 들어설 서울 강동구 고덕강일 3단지 사업 예정지의 모습. 2023.2.27 hkmpooh@yna.co.kr
정부는 또 조부모-손자·손녀 가정에 대한 주거지원이 부족하다는 점을 고려해 다자녀 우선공급 대상에 조손가구를 포함하기로 했다.
자녀가 많은 가구가 더 넓은 면적의 공공임대주택에 거주할 수 있도록 세대원 수를 고려한 적정 공급면적 기준도 마련하기로 했다.
예를 들어 3인 가구가 면적 45㎡가 넘는 집에 입주하기를 희망한다면 지금은 1∼2인 가구와도 경쟁해야 하지만, 앞으로는 같은 3인 이상 가구와만 경쟁하면 되도록 하는 방식이다.
또 앞으로는 공공임대주택 재계약 허용이 가능한 자산 기준에서 자동차 가액을 제외한다.
정부는 공공임대주택 입주자의 자산 형성을 위해 입주 이후 소득·자산·자동차 가액 기준을 초과해도 1회 재계약을 허용해왔다.
이에 따라 입주 후 고가의 수입차를 산 뒤 임대주택에 사는 경우가 생기자 소득·자산 기준은 입주 전보다 기준이 높아져도 되지만 자동차 가액은 안 된다는 제한을 둔 것이다.
chopark@yna.co.kr",공공주택
연합뉴스,11월부터 2자녀만 있어도공공주택'다자녀 특공' 청약 가능,네이버뉴스,https://n.news.naver.com/mnews/article/001/0014146471?sid=101,,연합뉴스,11월부터 자녀 둘만 있어도 공공분양주택 '다자녀 특공',"자녀 1인당 공공분양 소득·자산요건 10%p 완화
청약 배점 동점이면 '1세 이하 자녀' 가구 우대
임대주택 계속 거주하려면 고가車 못산다
공공분양 '뉴홈' 사전청약
(고양=연합뉴스) 박동주 기자 = 사진은 경기도 고양시 한국토지주택공사(LH) 고양사업본부 홍보관의 모습. 2023.2.20 pdj6635@yna.co.kr
(세종=연합뉴스) 박초롱 기자 = 올해 11월부터 공공분양주택 특별공급의 '다자녀' 기준이 3자녀에서 2자녀로 바뀐다.
자녀가 둘만 있어도 다자녀 특공 청약을 넣을 수 있게 된 것이다.
국토교통부는 출산가구에 대한 주거지원 강화를 위한 '공공주택 특별법 시행규칙' 등 하위법령 개정안을 입법·행정예고한다고 23일 밝혔다.
앞서 정부는 아파트 분양, 자동차 취득세 감면, 문화시설 이용료 할인 등 3자녀 이상이어야 받을 수 있는 각종 다자녀 혜택을 2자녀까지 넓히기로 했는데, 이에 따른 조치다.
개정안에는 공공분양주택의 자녀 수 배점에 '2자녀' 항목을 추가하는 내용이 담겼다.
자녀수 배점은 총 40점이며 2명은 25점, 3명은 35점, 4명 이상은 40점이다.
지금까지는 3명은 30점, 4명은 35점, 5명 이상은 40점이었다.
다자녀 기준이 바뀌면서 3자녀 이상 가구가 불리해지는 것을 막기 위해 2자녀와 3자녀 간 배점 차이를 10점으로 했다.
다자녀 기준 변경은 올해 11월 시행 예정이며, 시행 이후 분양공고가 나온 공공주택부터 적용된다.
국토부가 '저출산·고령사회 정책과제 및 추진방향'을 밝힌 올해 3월 28일 이후 자녀를 출산한 가구는 공공주택 청약 때 미성년 자녀 1인당 10%포인트씩 완화한 소득·자산 요건을 적용한다.
2자녀 이상은 소득·자산요건을 최대 20%포인트 완화한다.
공공임대주택 입주자 선정 때 다른 사람과 배점이 동점이라면 만 1세 이하 자녀가 있는 가구를 우선한다.
고덕강일 3단지 예정 부지
(서울=연합뉴스) 황광모 기자 = 분양가 3억 원대의 토지임대부 분양주택이 들어설 서울 강동구 고덕강일 3단지 사업 예정지의 모습. 2023.2.27 hkmpooh@yna.co.kr
정부는 또 조부모-손자·손녀 가정에 대한 주거지원이 부족하다는 점을 고려해 다자녀 우선공급 대상에 조손가구를 포함하기로 했다.
자녀가 많은 가구가 더 넓은 면적의 공공임대주택에 거주할 수 있도록 세대원 수를 고려한 적정 공급면적 기준도 마련하기로 했다.
예를 들어 3인 가구가 면적 45㎡가 넘는 집에 입주하기를 희망한다면 지금은 1∼2인 가구와도 경쟁해야 하지만, 앞으로는 같은 3인 이상 가구와만 경쟁하면 되도록 하는 방식이다.
또 앞으로는 공공임대주택 재계약 허용이 가능한 자산 기준에서 자동차 가액을 제외한다.
정부는 공공임대주택 입주자의 자산 형성을 위해 입주 이후 소득·자산·자동차 가액 기준을 초과해도 1회 재계약을 허용해왔다.
이에 따라 입주 후 고가의 수입차를 산 뒤 임대주택에 사는 경우가 생기자 소득·자산 기준은 입주 전보다 기준이 높아져도 되지만 자동차 가액은 안 된다는 제한을 둔 것이다.
chopark@yna.co.kr",공공주택
강원도민일보,11월부터 자녀 둘만 있어도공공분양주택'다자녀 특공',네이버뉴스,https://n.news.naver.com/mnews/article/654/0000050084?sid=101,,강원도민일보,11월부터 2자녀만 있어도 공공주택 '다자녀 특공' 청약 가능,"▲ 춘천의 한  어린이집에서 아이들이 실내놀이 하고 있는 모습. [강원도민일보 자료사진]
올해 11월부터 자녀가 둘만 있어도 공공분양주택 특별공급 청약을 넣을 수 있게 된다.
국토교통부는 출산가구에 대한 주거지원 강화를 위한 '공공주택 특별법 시행규칙' 등 하위법령 개정안을 입법·행정예고한다고 23일 밝혔다.
다자녀 기준 변경은 올해 11월 시행 예정이며, 시행 이후 분양공고가 나온 공공주택부터 적용된다.
개정안에는 공공분양주택의 자녀 수 배점에 '2자녀' 항목을 추가하는 내용이 담겼다.
자녀수 배점은 총 40점이며 2명은 25점, 3명은 35점, 4명 이상은 40점이다.
지금까지는 3명은 30점, 4명은 35점, 5명 이상은 40점이었다.
다자녀 기준이 바뀌면서 3자녀 이상 가구가 불리해지는 것을 막기 위해 2자녀와 3자녀 간 배점 차이를 10점으로 했다.
정부는 또 조부모-손자·손녀 가정에 대한 주거지원이 부족하다는 점을 고려해 다자녀 우선공급 대상에 조손가구를 포함하기로 했다.
자녀가 많은 가구가 더 넓은 면적의 공공임대주택에 거주할 수 있도록 세대원 수를 고려한 적정 공급면적 기준도 마련하기로 했다.
예를 들어 3인 가구가 면적 45㎡가 넘는 집에 입주하기를 희망한다면 지금은 1∼2인 가구와도 경쟁해야 하지만, 앞으로는 같은 3인 이상 가구와만 경쟁하면 되도록 하는 방식이다.",공공주택
SBS,"공공주택'다자녀 특공', 아이 둘만 있어도 가능",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001083814?sid=101,,SBS,11월부터 자녀 둘만 있어도 공공분양주택 '다자녀 특공',"올해 11월부터 공공분양주택 특별공급의 '다자녀' 기준이 3자녀에서 2자녀로 바뀝니다.
자녀가 둘만 있어도 다자녀 특공 청약을 넣을 수 있게 된 것입니다.
국토교통부는 출산가구에 대한 주거지원 강화를 위한 '공공주택 특별법 시행규칙' 등 하위법령 개정안을 입법·행정예고한다고 오늘(23일) 밝혔습니다.
앞서 정부는 아파트 분양, 자동차 취득세 감면, 문화시설 이용료 할인 등 3자녀 이상이어야 받을 수 있는 각종 다자녀 혜택을 2자녀까지 넓히기로 했는데, 이에 따른 조치입니다.
개정안에는 공공분양주택의 자녀 수 배점에 '2자녀' 항목을 추가하는 내용이 담겼습니다.
자녀수 배점은 총 40점이며 2명은 25점, 3명은 35점, 4명 이상은 40점입니다.
지금까지는 3명은 30점, 4명은 35점, 5명 이상은 40점이었습니다.
다자녀 기준이 바뀌면서 3자녀 이상 가구가 불리해지는 것을 막기 위해 2자녀와 3자녀 간 배점 차이를 10점으로 했습니다.
다자녀 기준 변경은 올해 11월 시행 예정이며, 시행 이후 분양공고가 나온 공공주택부터 적용됩니다.
국토부가 '저출산·고령사회 정책과제 및 추진방향'을 밝힌 올해 3월 28일 이후 자녀를 출산한 가구는 공공주택 청약 때 미성년 자녀 1인당 10%포인트씩 완화한 소득·자산 요건을 적용합니다.
2자녀 이상은 소득·자산요건을 최대 20%포인트 완화합니다.
공공임대주택 입주자 선정 때 다른 사람과 배점이 동점이라면 만 1세 이하 자녀가 있는 가구를 우선합니다.
고덕강일 3단지 예정 부지
정부는 또 조부모-손자·손녀 가정에 대한 주거지원이 부족하다는 점을 고려해 다자녀 우선공급 대상에 조손가구를 포함하기로 했습니다.
자녀가 많은 가구가 더 넓은 면적의 공공임대주택에 거주할 수 있도록 세대원 수를 고려한 적정 공급면적 기준도 마련하기로 했습니다.
예를 들어 3인 가구가 면적 45㎡가 넘는 집에 입주하기를 희망한다면 지금은 1∼2인 가구와도 경쟁해야 하지만, 앞으로는 같은 3인 이상 가구와만 경쟁하면 되도록 하는 방식입니다.
또 앞으로는 공공임대주택 재계약 허용이 가능한 자산 기준에서 자동차 가액을 제외합니다.
정부는 공공임대주택 입주자의 자산 형성을 위해 입주 이후 소득·자산·자동차 가액 기준을 초과해도 1회 재계약을 허용해왔습니다.
이에 따라 입주 후 고가의 수입차를 산 뒤 임대주택에 사는 경우가 생기자 소득·자산 기준은 입주 전보다 기준이 높아져도 되지만 자동차 가액은 안 된다는 제한을 둔 것입니다.
(사진=연합뉴스)",공공주택
한국경제,11월부터 자녀 둘만 있어도공공분양주택‘다자녀 특공’,네이버뉴스,https://n.news.naver.com/mnews/article/015/0004883107?sid=101,,한국경제,"공공주택 '다자녀 특공', 아이 둘만 있어도 가능","공공주택 특별법 개정안
소득·자산 요건 최대 20%P 완화
앞으로 자녀를 출산한 부모가 공공주택에 청약할 때 자녀 한 명당 10%포인트 완화된 소득과 자산 요건을 적용받는다. 자녀가 둘인 가구도 공공분양의 다자녀 특별공급에 지원할 수 있는 등 출산 가구에 내 집 마련 기회가 확대된다. 다자녀 기준 변경은 올해 11월 시행 이후 분양공고가 나온 공공주택부터 적용된다.
국토교통부는 23일 이 같은 내용을 담은 ‘공공주택 특별법 시행규칙’ 개정안을 입법 예고했다. 지난 3월 28일 발표한 ‘저출산·고령사회 정책과제 및 추진 방향’의 후속 조치다.
대책 발표일 이후 자녀를 출산했다면 공공주택 청약 때 지원 기회가 늘어난다. 소득과 자산 요건을 미성년 자녀 1인당 10%포인트씩 완화해 준다. 자녀가 두 명 이상이라면 최대 20%포인트 완화된 기준을 적용받는다. 입주자를 선정할 때 가점이 동일하다면 만 1세 이하 자녀가 있는 가구에 우선권을 준다. 종전에는 추첨으로 당첨을 가렸다면 출산 후 아이를 양육하고 있는 가구를 우대하는 방향으로 바뀐 것이다.
공공분양 다자녀 특별공급에 지원할 수 있는 최소 기준을 현재 3자녀 이상에서 2자녀까지 확대한다. 다자녀 특공에서 자녀 수 평가항목(40점 만점)에 2명 항목을 신설하고 25점을 주기로 했다. 3명은 35점, 4명 이상은 40점으로 조정했다. 현재는 한 명당 점수 차이가 5점이지만, 개정 이후 자녀 2명과 3명의 점수 차이가 10점으로 커진다.
자녀가 많은 가구가 보다 넓은 공공임대주택을 공급받을 수 있도록 가구원 수에 따른 적정 공급면적 기준도 마련했다. 1인 가구는 35㎡ 이하, 2인 가구는 26~44㎡, 3인 가구는 36~50㎡, 4인 가구 이상은 45㎡ 이상 주택을 신청할 수 있다.",공공주택
뉴시스,"서천군, 농촌형공공임대주택입주자 추가모집",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012051139?sid=102,,뉴시스,"서천군, 농촌형 공공임대주택 입주자 추가모집","서천군 농촌형 공공임대주택 조감도. 2023. 08. 25  *재판매 및 DB 금지
[서천=뉴시스]곽상훈 기자 = 충남 서천군이 28일부터 내달 8일까지 종천면 충서로 302번길 111 일원에 있는 서천군 농촌형 공공임대주택 1세대에 대해 입주자를 추가로 모집한다고 25일 밝혔다.
입주대상은 모집 공고일 기준 1년 이상 서천군에 주민등록상 주소를 둔 만 65세 이상 주민이어야 된다. 공공임대주택은 단독 1층(41.02㎡)으로 총 19세대로 구성됐다.
보증금 1000만 원과 월 임대료 10만 원으로 최초 2년 계약에 2년 단위로 갱신할 수 있다.
신청방법 및 구비서류 등에 대한 자세한 사항은 서천군 홈페이지에서 모집 공고를 확인하거나 서천군 농업기술센터 농업정책과로 문의하면 된다.
김기웅 군수는“군민 삶의 질 개선을 위한 안정적인 주거환경 제공에 지속적으로 노력하겠다”고 밝혔다.",공공주택
뉴시스,"서천군, 농촌형공공임대주택입주자 추가모집",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012051139?sid=102,,뉴시스,"서천군, 농촌형 공공임대주택 입주자 추가모집","서천군 농촌형 공공임대주택 조감도. 2023. 08. 25  *재판매 및 DB 금지
[서천=뉴시스]곽상훈 기자 = 충남 서천군이 28일부터 내달 8일까지 종천면 충서로 302번길 111 일원에 있는 서천군 농촌형 공공임대주택 1세대에 대해 입주자를 추가로 모집한다고 25일 밝혔다.
입주대상은 모집 공고일 기준 1년 이상 서천군에 주민등록상 주소를 둔 만 65세 이상 주민이어야 된다. 공공임대주택은 단독 1층(41.02㎡)으로 총 19세대로 구성됐다.
보증금 1000만 원과 월 임대료 10만 원으로 최초 2년 계약에 2년 단위로 갱신할 수 있다.
신청방법 및 구비서류 등에 대한 자세한 사항은 서천군 홈페이지에서 모집 공고를 확인하거나 서천군 농업기술센터 농업정책과로 문의하면 된다.
김기웅 군수는“군민 삶의 질 개선을 위한 안정적인 주거환경 제공에 지속적으로 노력하겠다”고 밝혔다.",공공주택
충남일보,"서천군, 농촌형공공임대주택입주자 추가모집",,,,,,,공공주택
충청일보,"서천군, 농촌형공공임대주택입주자 추가모집",,,,,,,공공주택
뉴스티앤티,"충남 서천군, 농촌형공공임대주택입주자 추가모집",,,,,,,공공주택
