press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
KBS,‘중국 희토류수출 통제’에 대통령실 공급망 점검 회의,네이버뉴스,https://n.news.naver.com/mnews/article/056/0012046989?sid=100,,KBS,‘중국 희토류 수출 통제’에 대통령실 공급망 점검 회의,"최근 중국 정부가 희토류 수출 통제 강화에 나선 가운데 대통령실이 점검 회의를 열었습니다.
대통령실 국가안보실은 오늘(15일) 보도자료를 통해 “공급망의 안정성과 회복력 강화 차원에서 국내 희토류 공급망 현황을 점검하고, 희토류 수급의 안정성을 제고하기 위해 ‘희토류 공급망 관련 경제 안보 현안 점검 회의’를 개최했다”고 밝혔습니다.
회의는 오현주 국가안보실 3차장 주재로 진행됐으며, 기획재정부·과학기술정보통신부·외교부·산업통상부·기후에너지환경부 등 주요 관계 부처가 참석했습니다.
국가안보실은 “그동안 민생 및 국민경제 안정과 직결된 공급망 핵심 품목들의 수급 안정성 제고 방안 및 주요국들의 수출통제 등에 대해 관계 부처와 함께 공동 대응해 왔다”며 “반도체·전기차 등 주요 첨단산업에 폭넓게 사용되는 희토류의 안정적 확보를 위해 공급망 안정화 기본계획 등에 따른 희토류 공급망 안정화 방안을 지속 보완·발전시켜 나가기로 했다”고 밝혔습니다.
앞서 지난 9일 중국 상무부는 “국가 안보와 이익을 보호하기 위해 관련 법에 따라 ‘희토류 관련 기술과 기타 품목에 대한 수출 통제’를 실시하기로 했다”며 사마륨 코발트, 네오디뮴 철 붕소 등에 대한 수출 통제를 발표했습니다.
[사진 출처 : 연합뉴스]
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",수출통제
KBS,"대통령실, '中 희토류수출 통제'에 국내 수급현황·공급망 점검회의",네이버뉴스,https://n.news.naver.com/mnews/article/056/0012046989?sid=100,,KBS,‘중국 희토류 수출 통제’에 대통령실 공급망 점검 회의,"최근 중국 정부가 희토류 수출 통제 강화에 나선 가운데 대통령실이 점검 회의를 열었습니다.
대통령실 국가안보실은 오늘(15일) 보도자료를 통해 “공급망의 안정성과 회복력 강화 차원에서 국내 희토류 공급망 현황을 점검하고, 희토류 수급의 안정성을 제고하기 위해 ‘희토류 공급망 관련 경제 안보 현안 점검 회의’를 개최했다”고 밝혔습니다.
회의는 오현주 국가안보실 3차장 주재로 진행됐으며, 기획재정부·과학기술정보통신부·외교부·산업통상부·기후에너지환경부 등 주요 관계 부처가 참석했습니다.
국가안보실은 “그동안 민생 및 국민경제 안정과 직결된 공급망 핵심 품목들의 수급 안정성 제고 방안 및 주요국들의 수출통제 등에 대해 관계 부처와 함께 공동 대응해 왔다”며 “반도체·전기차 등 주요 첨단산업에 폭넓게 사용되는 희토류의 안정적 확보를 위해 공급망 안정화 기본계획 등에 따른 희토류 공급망 안정화 방안을 지속 보완·발전시켜 나가기로 했다”고 밝혔습니다.
앞서 지난 9일 중국 상무부는 “국가 안보와 이익을 보호하기 위해 관련 법에 따라 ‘희토류 관련 기술과 기타 품목에 대한 수출 통제’를 실시하기로 했다”며 사마륨 코발트, 네오디뮴 철 붕소 등에 대한 수출 통제를 발표했습니다.
[사진 출처 : 연합뉴스]
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",수출통제
뉴시스,"대통령실, 희토류 수급 현황 점검…미-중 갈등 여파수출통제대비",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013535677?sid=100,,뉴시스,"대통령실, '中 희토류 수출 통제'에 국내 수급현황·공급망 점검회의","""희토류 공급망 안정화 방안 지속 보완·발전 계획""
[서울=뉴시스] 고범준 기자 = 오현주 국가안보실 안보3차장이 1일 서울 용산 대통령실 청사에서 열린 국무회의에 입장하고 있다. (대통령실통신사진기자단) 2025.07.01. bjko@newsis.com
[서울=뉴시스]김경록 기자 = 대통령실은 15일 중국 상무부가 희토류 수출통제 강화에 나선 것과 관련해 현안 점검회의를 열고 국내 희토류 수급현황을 점검했다.
대통령실은 이날 오전 보도자료를 내고 오현주 국가안보실 3차장 주재로 '희토류 공급망 관련 현안 점검회의'를 개최했다고 밝혔다.
이날 회의에는 기재부·과기부·외교부·산업부·기후에너지부 등 관계 부처가 참석해 희토류의 안정적 확보를 위해 국내 희토류 수급 현황을 점검했다고 대통령실은 설명했다.
관계 부처는 공급망 안정화 기본계획에 따라 희토류 공급망 안정화 방안을 지속적으로 보완하고 발전시켜 나갈 계획이다.",수출통제
한겨레,"대통령실, 中 희토류수출 통제에 '희토류 공급망 점검' 긴급회의",네이버뉴스,https://n.news.naver.com/mnews/article/028/0002770907?sid=100,,한겨레,"대통령실, 희토류 수급 현황 점검…미-중 갈등 여파 수출통제 대비","중국 장시성의 한 광산에서 노동자들이 희토류를 채굴하고 있다. AP 연합뉴스
미-중 무역 갈등으로 중국이 희토류 수출 통제를 강화하자 대통령실이 국내 희토류 수급 현황 점검에 나섰다.
국가안보실은 15일 서면브리핑에서 “공급망의 안정성과 회복력 강화 차원에서 국내 희토류 공급망 현황을 점검하고, 희토류 수급의 안정성을 제고하기 위해 희토류 공급망 관련 경제안보 현안 점검회의를 개최했다”고 밝혔다. 오현주 국가안보실 3차장 주재로 열린 회의에는 기획재정부·과학기술정보통신부·외교부·산업통상부·기후에너지환경부 등 주요 관계 부처가 참석했다.
국가안보실은 “반도체·전기차 등 주요 첨단산업에 폭넓게 사용되는 희토류의 안정적 확보를 위해, 오늘 회의를 통해 국내 희토류 수급 현황을 점검하고 그간의 공급망 안정화 기본계획 등에 따른 희토류 공급망 안정화 방안을 지속 보완·발전시켜 나가기로 했다”고 밝혔다. 중국은 고사양 반도체의 수출을 막는 미국에 맞서 희토류 수출 통제 강화에 나섰다.",수출통제
SBS Biz,"대통령실, 中 희토류수출 통제에 '국내 공급망 점검 회의' 개최",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000468559?sid=101,,SBS Biz,"대통령실, 中 희토류 수출 통제에 '희토류 공급망 점검' 긴급회의","[국가안보실 김현종 1차장(왼쪽부터), 임웅순 2차장, 오현주 3차장이 15일 서울 용산 대통령실 청사에서 열린 국무회의에 배석하고 있다. (사진=연합뉴스)]
대통령실 국가안보실은 오늘(15일) 국내 희토류 수급 안정성을 확보하기 위해 '희토류 공급망 관련 경제 안보 현안 점검 회의'를 개최했다고 보도자료를 통해 밝혔습니다.
최근 미중 갈등 국면과 맞물려 중국의 희토류 수출 통제 방침이 이슈로 떠오른 데 따른 회의 개최로 보입니다.
오현주 안보실 3차장 주재로 열린 회의에는 기획재정부·과학기술정보통신부·외교부·산업통상부·기후에너지환경부 등의 관계 부처가 자리했습니다.
안보실은 ""반도체와 전기차 등 주요 첨단 산업에 폭넓게 사용되는 희토류의 안정적 확보를 위해 회의에서 국내 희토류 수급 현황을 점검했다""고 설명했습니다.
이어 ""기존 계획 등에 따른 희토류 공급망 안정화 방안을 지속해서 보완·발전시켜 나가기로 했다""고 전했습니다.
아울러 안보실은 그동안 국민 경제와 직결된 핵심 품목에 대해선 관계부처와 함께 공급망 안정성 제고 방안을 모색해왔으며, 주요국의 수출 통제 등에 대해서도 공동 대응을 해 왔다고 설명했습니다.
앞서 중국 상무부는 지난 9일 '역외 희토류 물자 수출 통제 결정'을 통해 기존의 희토류 수출 통제를 강화하는 조처를 하겠다고 발표한 바 있습니다.
이에 정부는 중국의 희토류 수출 통제 관련 현황을 분석하는 등 대응 중입니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",수출통제
연합뉴스,"美 ""中, 희토류로 세계경제통제시도…동맹들 함께 대항하자""",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015680717?sid=104,,연합뉴스,"美 ""中, 희토류로 세계경제 통제시도…동맹들 함께 대항하자""","재무장관·무역대표 이례적 기자회견…中에 맞선 동맹규합 시도
베선트 재무장관 ""트럼프, 여전히 한국서 시진핑 만날 것으로 예상""
기자회견하는 美 재무장관과 무역대표
(워싱턴=연합뉴스) 김동현 특파원 = 미국 스콧 베선트 재무부 장관과 제이미슨 그리어 미국무역대표(USTR)가 15일(현지시간) 워싱턴DC 재무부에서 기자회견을 하고 있다. 2025.10.15
(워싱턴=연합뉴스) 김동현 특파원 = 미국 도널드 트럼프 행정부는 15일(현지시간) 중국이 희토류 수출통제로 세계 경제를 통제하려고 한다며 미국과 미국의 동맹들이 함께 대항해야 한다고 촉구했다.
제이미슨 그리어 미국무역대표(USTR)는 이날 워싱턴DC 재무부 청사에서 이례적으로 연 재무장관과의 합동 기자회견에서 중국의 희토류 수출통제를 ""세계 모든 나라에 대한 경제적 강압""으로 규정하고 ""이 규정은 중국이 세계 경제와 기술 공급망 전체를 사실상 통제하게 한다""고 지적했다.
그리어 대표는 ""예를 들어 한국에서 스마트폰을 만들어 호주에 판매하면 그 회사는 먼저 중국의 승인을 받아야 한다. 휴대전화는 중국에서 조달한 희토류가 든 반도체를 포함할 수 있기 때문""이라면서 ""우리도 동맹들도 그런 종류의 시스템을 따라가지 않을 것""이라고 말했다.
그는 중국의 이번 조치가 단순히 미국과 협상에서 지렛대를 확보하려는 의도가 아니라 ""세계 공급망을 장악하려는 중국의 더 광범위한 계획의 일부""라고 주장했다. 그러면서 ""미국은 이를 좌시하지 않겠다. 우리는 (중국의 수출통제로) 유사하게 영향받고 (미국과) 유사한 관점을 표명한 동맹들과 긴밀히 소통하고 있다""고 밝혔다.
같은 자리에서 스콧 베선트 재무부 장관은 ""중국 정부 내 일부가 실망스러운 행동과 경제적 강압을 통해 세계 경제를 둔화시키기를 원한다면 중국 경제가 가장 피해를 볼 것이다. 착각하지 말라. 이건 '중국 대(對) 세계'다""라고 말했다.
베선트 장관은 ""중국은 용납할 수 없는 수출통제를 전 세계에 부과했다""며 ""우리와 우리 동맹들은 지시를 따르지도 통제받지도 않을 것""이라고 밝혔다.
이어 ""이것은 우리 동맹들에게 우리가 협력해야 한다는 분명한 신호가 돼야 한다""면서 이번주 세계은행(WB)·국제통화기금(IMF) 연례총회 기간에 동맹들과 이 문제를 논의할 계획이라고 덧붙였다.
그러면서 베선트 장관은 ""중국이 세계가 신뢰할 수 없는 파트너가 되려 한다면 세계는 (중국 경제와) 디커플(분리)해야 한다. 세계는 디커플을 원하지 않는다. 우리는 위험을 줄이고(de-risk) 싶다""고 말했다.
이어 ""다시 말하지만 우리는 디커플을 원하지 않는다. 우리는 가능한 한 신속하게 중국으로부터 우리 공급망을 다변화하고 위험을 줄이기 위해 협력해야 한다""고 강조했다.
아울러 베선트 장관은 러시아산 석유를 대량 구입하는 중국에 대해 미국이 관세를 부과할 준비가 돼 있지만 유럽의 미국 동맹국들이 동참해야만 한다고 밝혔다.
베선트 장관은 또 ""트럼프 대통령은 여전히 한국에서 시진핑 주석을 만날 것으로 예상한다""며 31일 경주에서 개막하는 아시아태평양경제협력체(APEC) 정상회의 계기에 미중 정상회담이 열릴 가능성을 열어뒀다.
[그래픽] 미중 무역 갈등 일지
(서울=연합뉴스) 이재윤 기자 = 희토류 수출통제(중국)와 대중국 관세 100% 인상 및 핵심 소프트웨어 수출통제(미국) 카드를 꺼내며 으르렁대던 미중이 12일(현지시간) 정면 충돌을 원하지 않는다는 메시지를 각각 내며 상황 관리에 나선 듯한 모습이다.
yoon2@yna.co.kr
X(트위터) @yonhap_graphics  페이스북 tuney.kr/LeYN1
bluekey@yna.co.kr",수출통제
뉴시스,"EU, G7에 '중국 희토류수출 통제' 공동 대응 촉구",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013535511?sid=104,,뉴시스,"EU, G7에 '중국 희토류 수출 통제' 공동 대응 촉구","美상무와 통화…조만간 G7 화상회의 개최키로
EU통상회의서 먼저 평가…내주께 中과 화상회의
[다보스=AP/뉴시스] 마로시 셰프초비치 EU 통상·경제 담당 집행위원. (사진=뉴시스DB)
[서울=뉴시스]신정원 기자 = 유럽연합(EU)은 주요 7개국(G7)에 중국의 희토류 수출 규제에 공동 대응할 것을 촉구했다고 폴리티코가 14일(현지 시간) 보도했다.
마로시 셰프초비치 EU 무역·경제 담당 집행위원은 이날 덴마크에서 열린 EU통상장관 회의에 앞서 기자들에게 ""EU는 G7 파트너들과 협력해 중국의 최근 희토류 수출 제한에 강력하게 대응할 것""이라고 말했다.
그는 중국의 조치는 ""수출 제한 대상 원자재를 극적으로 확장하는 것으로, 이미 심각한 상황을 더욱 악화시킨다""며 ""심각하게 우려된다""고 비판했다.
그는 하워드 러트닉 미국 상무장관과 이 상황에 대해 논의했으며, 조만간 G7 화상 회의를 개최하기로 했다고 밝혔다.
중국은 지난해에도 흑연, 게르마늄, 갈륨 등에 대해서도 유사한 수출 통제를 시행한 바 있다. 이 원자재들은 기술, 방위, 친환경 산업에 사용된다.
셰프초비치 위원은 ""중국은 해당 원자재에 대한 신청 건수의 절반만 제대로 처리했다""고 불만을 표했다. 중국이 특정 품목에 수출 통제를 시행하면 기업은 중국 정부에 수출 허가 신청서를 제출하고 승인을 받아야 한다.
중국은 지난주 국가 안보를 이유로 희토류 자석과 그 원자재에 대해 전면적인 수출 통제를 발표했다. 중국은 전 세계 희토류 자석의 90%를 생산하며 이 자석은 전기 모터, 풍력 터빈용 발전기, 방위 산업 분야 등에 사용된다.
이 조치는 도널드 트럼프 미국 대통령의 분노를 샀고, 트럼프 대통령은 새로운 관세로 대응하겠다고 위협하면서 10월 말 경주 아시아태평양경제협력체(APEC) 정상회의에서 시진핑 중국 국가주석과의 회담을 재검토할 수 있다고 시사하기도 했다.
미국은 다시 긴장을 완화하려 하고 있지만, 셰프초비치 집행위원은 유사한 대응 가능성을 완전히 배제하지 않으면서 EU장관들과 논의할 것이라고 말했다.
그는 ""우리에게 중요한 것은 유럽의 일반적인 이익을 보호하고 유럽 산업에 해가 되지 않는 해결책을 찾는 것""이라면서 ""따라서 먼저 협의하고 상황을 평가할 것""이라고 강조했다.
이어 ""아마도 다음 주에 중국 측과의 화상 회의를 요청할 것""이라고 덧붙였다.
EU 하반기 순회 의장국인 덴마크의 라르스 뢰케 라스무센 외무장관은 ""EU는 세계 최대 무역 블록으로서 힘을 과시하고 강력하게 대응해야 한다""고 말했지만, 유사한 관세를 요구하는 데까지는 이르지 않았다.",수출통제
뉴시스,"EU 통상집행위원, 중국 희토류통제에 G7과 공동 대응 추진",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013535511?sid=104,,뉴시스,"EU, G7에 '중국 희토류 수출 통제' 공동 대응 촉구","美상무와 통화…조만간 G7 화상회의 개최키로
EU통상회의서 먼저 평가…내주께 中과 화상회의
[다보스=AP/뉴시스] 마로시 셰프초비치 EU 통상·경제 담당 집행위원. (사진=뉴시스DB)
[서울=뉴시스]신정원 기자 = 유럽연합(EU)은 주요 7개국(G7)에 중국의 희토류 수출 규제에 공동 대응할 것을 촉구했다고 폴리티코가 14일(현지 시간) 보도했다.
마로시 셰프초비치 EU 무역·경제 담당 집행위원은 이날 덴마크에서 열린 EU통상장관 회의에 앞서 기자들에게 ""EU는 G7 파트너들과 협력해 중국의 최근 희토류 수출 제한에 강력하게 대응할 것""이라고 말했다.
그는 중국의 조치는 ""수출 제한 대상 원자재를 극적으로 확장하는 것으로, 이미 심각한 상황을 더욱 악화시킨다""며 ""심각하게 우려된다""고 비판했다.
그는 하워드 러트닉 미국 상무장관과 이 상황에 대해 논의했으며, 조만간 G7 화상 회의를 개최하기로 했다고 밝혔다.
중국은 지난해에도 흑연, 게르마늄, 갈륨 등에 대해서도 유사한 수출 통제를 시행한 바 있다. 이 원자재들은 기술, 방위, 친환경 산업에 사용된다.
셰프초비치 위원은 ""중국은 해당 원자재에 대한 신청 건수의 절반만 제대로 처리했다""고 불만을 표했다. 중국이 특정 품목에 수출 통제를 시행하면 기업은 중국 정부에 수출 허가 신청서를 제출하고 승인을 받아야 한다.
중국은 지난주 국가 안보를 이유로 희토류 자석과 그 원자재에 대해 전면적인 수출 통제를 발표했다. 중국은 전 세계 희토류 자석의 90%를 생산하며 이 자석은 전기 모터, 풍력 터빈용 발전기, 방위 산업 분야 등에 사용된다.
이 조치는 도널드 트럼프 미국 대통령의 분노를 샀고, 트럼프 대통령은 새로운 관세로 대응하겠다고 위협하면서 10월 말 경주 아시아태평양경제협력체(APEC) 정상회의에서 시진핑 중국 국가주석과의 회담을 재검토할 수 있다고 시사하기도 했다.
미국은 다시 긴장을 완화하려 하고 있지만, 셰프초비치 집행위원은 유사한 대응 가능성을 완전히 배제하지 않으면서 EU장관들과 논의할 것이라고 말했다.
그는 ""우리에게 중요한 것은 유럽의 일반적인 이익을 보호하고 유럽 산업에 해가 되지 않는 해결책을 찾는 것""이라면서 ""따라서 먼저 협의하고 상황을 평가할 것""이라고 강조했다.
이어 ""아마도 다음 주에 중국 측과의 화상 회의를 요청할 것""이라고 덧붙였다.
EU 하반기 순회 의장국인 덴마크의 라르스 뢰케 라스무센 외무장관은 ""EU는 세계 최대 무역 블록으로서 힘을 과시하고 강력하게 대응해야 한다""고 말했지만, 유사한 관세를 요구하는 데까지는 이르지 않았다.",수출통제
파이낸셜뉴스,"중국, EU와도 무역분쟁 조짐…“희토류통제·기술이전 쟁점”",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005419636?sid=101,,파이낸셜뉴스,"EU 통상집행위원, 중국 희토류 통제에 G7과 공동 대응 추진","마로스 세프코비치 유럽연합(EU) 통상담당 집행위원.AP뉴시스
[파이낸셜뉴스] 유럽연합(EU)이 중국이 희토류 수출 통제에 미국 등 주요7개국(G7)과 공동 대응하는 것을 추진할 것이라고 마로스 세프코비치 EU 통상 집행위원장이 말했다.
14일(현지시간) 유로뉴스는 세프코비치 위원장이 덴마크 코펜하겐에서 열린 EU 무역장관 회의 후 중국의 희토류 관련 기술 통제가 부당하다며 EU는 피하기만 하지 않을 것이라며 강력한 대응을 시사했다고 보도했다.
세프코비치는 중국의 원자재에 대한 통제가 심각해진 상황을 더 악화시켰다고 지적했다.
그는 하워드 러트닉 미 상무장관과 대응 문제를 논의했으며 오는 15일 미국을 포함한 G7 재무장관들과 화상 회의로 논의할 가능성이 있다고 밝혔다.
또 다음주에 중국 상무부 장관과 화상 회의를 가질 것을 요청할 수 있다고 덧붙였다.
세프코비치는 “우리는 최근 며칠동안 원자재와 민감한 기술이 무기화될 수 있다는 것을 깨달았다”며 중국의 희토류 통제로 인한 충격을 설명했다.
그는 유럽 기업들의 경제 활동을 차질을 주는 것이어서 방관할 수 없다고 강조했다.
라르스 라스무센 덴마크 외무장관은 EU가 단합과 강력한 대응이 필요하며 “세계에서 가장 큰 무역 블록으로써 힘을 발휘해야 한다”라고 말했다.
그는 중국 희토류 통제는 미국과 공통적인 이익이 달린 문제로 같이 대응할 수 있음을 시사하면서도 관세를 부과하는 것은 거론하지 않았다.
정치매체 폴리티코는 일부 EU 회원국들이 중국의 투자가 중단되는 것을 우려해 중국을 자극하려 하지 않고 있다고 지적했다.
최근 비야디(BYD)가 헝가리에 공장을 건설하는 등 중국 자동차 업체들의 유럽 투자가 늘고 있다.
중국의 강공에 맞서 EU는 대신 중국으로부터 기술 이전을 요구할 가능성도 제기되고 있다.
라스무센 장관은 “우리가 중국의 투자를 유치하면 기술 이전이라는 조건도 달아야 한다”라고 말했다.",수출통제
부산일보,"미국 “한국, 사우디 원전수출에 ‘미국식 모델’ 채택해라” 압박… ...",네이버뉴스,https://n.news.naver.com/mnews/article/082/0001348881?sid=101,,부산일보,"미국 “한국, 사우디 원전 수출에 ‘미국식 모델’ 채택해라” 압박… 정부 '고심'","미국식 AP1000 모델 기반·웨스팅하우스와 공동 수주 제안
한국, 수익성 악화 우려에도 美 중심 원자력 통제 체제 고려 '고민'
지난 8월 체코 두코바니 원전 부지세부조사 착수식에 참가한 내빈들이 부지세부조사를 위한 작업을 지켜보고 있다. 한수원 제공
한국전력(한전) 등 팀코리아가 사우디아라비아 원전 수주에 공을 들이고 있는 가운데, 미국이 한국에 사우디 원전 수출 시 미국식 원전 모델을 채택하도록 압박하고 있는 것으로 확인됐다. 지난 1월 한전·한국수력원자력(한수원)이 미국 웨스팅하우스와 체결한 '글로벌 합의문'에 따라 팀코리아의 사우디 원전 수주 활동은 보장되는 것으로 알려졌으나, 미국으로부터 미국식 모델 채택 압박을 받고 있어 정부가 수용 여부를 놓고 고심하고 있다.
15일 정부와 에너지 업계 등에 따르면 지난 8월 말 열린 아시아태평양경제협력체(APEC) 에너지 장관 회담 참석 차 방한한 제임스 댄리 미국 에너지부 차관은 한국 정부 및 한전 고위급 관계자를 만나 한국이 사우디 원전 수주전에서 미국식 원전 모델 수출을 추진할 것을 제안했다.
미국 측은 한국의 한전·한수원과 웨스팅하우스 간 지재권 분쟁이 해소됐고, 양국 정부 간에도 원전 협력 공감대가 마련됐다며 사우디 원전 사업에서 웨스팅하우스의 AP1000 프로젝트를 함께 추진하고 협력하는 방안을 제시한 것으로 전해졌다.
이와 관련, 서왕진 조국혁신당 국회의원은 지난 13일 국회에서 열린 산업통상부 국정감사에서 김정관 산업부 장관에게 ""한전이 오는 11월 사우디 원전 입찰에 참여하는데, 미국 정부가 웨스팅하우스의 대형 원전(AP1000) 모델로 노형을 변경하고, 한전과 웨스팅하우스가 공동 수주하도록 요구했다는 제보가 있다""고 질의했다.
서 의원은 ""미국이 자국 기업의 이해를 관철하기 위해 한전의 독자 수출 모델인 APR1400 노형을 사실상 배제하려 한다면, 이는 명백한 부당 간섭""이라고 비판했다.
이 같은 지적에 김 장관은 ""현재 사우디 프로젝트와 관련해 다양한 협의가 진행 중이며, APR1400을 포함한 여러 수출 옵션이 검토되고 있다""고 즉답을 피했다. 그러면서도 ""APR1400도 미국의 기술 허가 없이는 수출이 어려운 구조임을 인지하고 있다""고 밝혔다.
지난 8월 체코 두코바니 원전 부지세부조사 착수식에 참가한 내빈들이 부지세부조사를 위한 작업을 지켜보고 있다. 한수원 제공
서 의원이 질의에서 제기한 내용은 사실로 확인됐다.
원전 업계 고위 관계자에 따르면 미국 측은 지난 8월 한국 측에 사우디 원전 수출 준비 과정에서 AP1400이 아닌 AP1000 노형을 웨스팅하우스와 함께 수출하는 것을 제안했다. 이는 체코 신규 원전 수주에 성공한 기세를 몰아 팀코리아가 단독으로 사우디 원전 사업을 수주하는 것은 저지하면서 자국 원전 기업인 웨스팅하우스가 한국 업체들과 함께 원전 사업을 수주하도록 압박한 것으로 해석된다.
업계에서는 지난 1월 합의에서 한수원·한전의 원전 수출 시 웨스팅하우스가 보장 받기로 한 역무를 사우디 원전 수출부터 확보하려는 것 아니냐는 분석이 나왔다.
'글로벌 합의문'에는 한수원·한전 등이 원전을 수출할 때 1기당 6억 5000만 달러(약 9292억 원) 규모의 물품·용역 구매 계약을 웨스팅하우스와 맺고, 1기당 1억 7500만 달러(약 2502억 원)의 기술 사용료를 내는 조항이 들어간 것으로 알려졌다.
현재 붕괴 상태인 AP1000 공급망을 복원해 앞으로 미국 내 원전 건설에 유리한 지형을 만들려는 것이라는 해석도 나왔다. 미국은 원전 설계 등 원천 기술 강국이지만, 1979년 스리마일섬 원전 사고 이후 신규 원전 건설 인허가가 장기간 중단되면서 원전 공급망이 사실상 붕괴해 건설 능력을 상실한 상태다. 이에 설계를 현실에 구현하는 과정에서 설계·조달·시공(EPC)에 강점을 가진 한국 기업들의 도움이 절실하게 필요한 상황이다.
한국이 사우디에서 먼저 AP1000 건설을 추진하면서 필요한 부품 등 AP1000 관련 공급망을 탄탄히 새로 구축한다면 추후 미국에서 원전 건설에 나설 때 부품 조달 속도가 보다 빨라지면서 자국 내 사업의 경제성이 높아질 것으로 기대한다는 것이다.
실제로 지난 8월 댄리 차관 방한 시 미국 측은 이호현 당시 산업통상자원부 2차관과 김동철 한전 사장을 잇달아 만나 자국 신규 원전 사업에 한국 기업의 적극적 참여를 희망한다는 뜻을 밝히는 등 트럼프 2기 들어 한국에 다양한 채널로 원전 협력 방안을 타진하고 있다.
대대적인 원전 확충을 추진하는 트럼프 대통령은 2050년까지 현재 약 100GW(기가와트)인 원전 설비 용량을 400GW로 확대하겠다는 장기 목표를 내걸고, 2030년까지 원전 10기 착공을 중간 목표로 제시했다. 미국 에너지부는 이 건설 비용을 750억 달러(약 107조 원)로 추산했다.
그러나 한국 입장에서는 이미 공급망을 완벽하게 구축한 AP1400 모델을 포기하고 새로 공급망을 개척해야 하는 AP1000 모델로 추진한다면 공기가 길어지고 건설 비용이 크게 높아질 수밖에 없어 경쟁력·수익성 저하를 우려하고 있다. 한국은 올해 6월 계약한 체코 신규 원전 2기 역시 한국형(AP1400)으로 공급한다. 또한 한국이 사우디 원전 사업을 수주하더라도 미국의 원자력 수출 통제에 따라야 하는 현실을 고려하지 않을 수 없는 점도 고민이다.",수출통제
