press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴시스,"""中, 규정 준수 모든 민간용희토류수출신청 승인""…中상무부",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013640237?sid=104,,뉴시스,"""中, 규정 준수 모든 민간용 희토류 수출 신청 승인""…中상무부","[베이징=신화/뉴시스] 유세진 기자 = 중
[서울=뉴시스]중국 정부는 규정을 준수한 모든 민간용 희토류 관련 품목 수출 신청을 적시에 승인했다고 중국 상무부가 4일 밝혔다. 정례 브리핑하는 허야둥 중국 상무부 대변인. <사진 출처 : 글로벌 타임스> 2025.12.04.
중국 정부는 규정을 준수한 모든 민간용 희토류 관련 품목 수출 신청을 적시에 승인했다고 중국 상무부가 4일 밝혔다.
허야둥(何亞東) 상무부 대변인은 이날 정례 브리핑에서 중국은 법과 규정에 따라 희토류 관련 품목에 대한 수출 통제를 시행하고 있다며 이같이 말했다.
허 대변인은 중국은 이중 용도 품목의 규정 준수 무역을 촉진하고, 글로벌 생산 및 공급망의 보안과 안정성을 효과적으로 보호하기 위해 일반 허가 및 기타 촉진 조치를 적극적으로 활용하고 있다고 덧붙였다．",희토류
이데일리,마크롱·시진핑 베이징 정상회담…희토류·통상갈등 등 논의,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006177754?sid=104,,이데일리,마크롱·시진핑 베이징 정상회담…희토류·통상갈등 등 논의,"마크롱, 시진핑에 우크라 관련 유럽 입장 지지 요구
무역 불균형 해소·희토류 수출 통제 해결도 촉구
시진핑 ""질서있는 국제질서·경제 글로벌화 협력해야""
외무 회담선 일본과의 대만 갈등서 中지지 요청도
[이데일리 방성훈 기자] 중국을 국빈 방문한 에마뉘엘 마크롱 프랑스 대통령이 4일(현지시간) 베이징에서 시진핑 중국 국가주석과 정상회담을 개최하고 경제 관계와 통상 마찰, 대만 문제, 우크라이나 전쟁 등 다양한 현안을 논의했다.
에마뉘엘 마크롱(왼쪽) 프랑스 대통령과 시진핑 중국 국가주석. (사진=AFP)
블룸버그통신 등에 따르면 마크롱 대통령은 이날 회담에서 시 주석에게 우크라이나에 대한 유럽의 입장을 지지해 달라고 요청하며 세계 질서가 분열되는 것을 경계한다고 밝혔다.
마크롱 대통령은 또 글로벌 공급망 교란 가능성에 대해서도 경고했다. 희토류 등 핵심 광물에 대한 중국의 수출 통제를 염두에 둔 발언으로 풀이된다. 이외에도 양국 간 무역 균형을 맞추기 위해 중국의 대(對)프랑스 투자를 늘릴 것을 촉구했다.
시 주석은 중국과 프랑스가 “다극화 세계를 진전시키는 건설적인 세력”이라며 양국이 “보다 평등하고 질서있는 국제 질서, 그리고 모두에게 포괄적이고 이익이 되는 경제 글로벌화를 촉진하기 위해 협력해야 한다”고 강조했다.
마크롱 대통령과 시 주석은 이날 회담에서 천연자원, 투자, 사회보장, 고령화 등을 아우르는 12건의 협력 협정 체결을 지켜봤다.
두 정상은 최근 몇 년 동안 상호 방문을 통해 개인적으로는 친밀한 관계를 과시해왔으나 여러 정치 현안과 관련해서는 여전히 의견 차이를 보이고 있다.
특히 지난해 프랑스가 유럽연합(EU)의 중국산 전기자동차 관세 부과 결정을 지지하면서 양국 관계는 크게 악화했다. 중국은 프랑스 코냑 업체들을 겨냥해 최소 가격 요건을 설정하는 등 보복 조치를 취했다. 이후 프랑스 돼지고기·유제품 업체들은 중국이 자신들에게도 유사한 조치를 취할까 노심초사하고 있다.
희토류도 이날 회담에서 핵심 쟁점 중 하나였다. 중국은 올해 초 희토류 수출을 제한했고 이에 마크롱 대통령은 EU에 가장 강력한 통상 대응을 요구했다. 이후 중국은 미국과의 ‘휴전’ 합의로 일부 규제를 유예한 상태다.
EU는 추가 광산 개발, 자체적인 수출 통제, 재활용 확대 등을 통해 중국산 희토류에 대한 의존도를 낮추려 고심분투하고 있다. EU는 전체 희토류의 절반 이상(일부 보고서는 98%)을 중국에 의존하고 있다. 중국은 희토류 매장량의 48.9%, 생산량의 69.2%를 차지한다. 정제·가공 시장에서도 90%에 육박하는 압도적 점유율을 보유하고 있다.
이외에도 글로벌 무역 불균형 해소가 마크롱 대통령이 이번 방중에서 최우선적으로 고려하는 과제 중 하나라고 블룸버그는 설명했다. 내년 주요7개국(G7) 정상회의 주최국으로서 이를 강조하기 위해서다. 프랑스 재무부에 따르면 프랑스의 대중 상품 무역적자는 지난해 기준 약 470억유로(약 80조 7200억원)에 달한다.
한편 중국은 대만 지위를 둘러싼 일본과의 갈등 국면에서 유엔 안전보장이사회 상임이사국인 프랑스의 지지를 요구하고 있다. 지난달 다카이치 사나에 일본 총리가 대만을 둘러싼 분쟁이 일본에 ‘존립 위기’가 될 수 있다고 언급한 뒤 중일 긴장이 고조됐다. 사실상 군사 개입 가능성을 시사한 것으로 해석돼서다.
왕이 중국 외교부장은 정상회담 전날 장노엘 바로 프랑스 외무장관과의 회담에서 중국과 프랑스는 제2차 세계대전의 승전국으로서 일본이 대만 문제로 말썽을 일으키거나 역사적 실수를 반복하지 못하도록 해야 한다고 주장했다.
마크롱 대통령은 3~5일 사흘 일정으로 중국을 국빈 방문 중이며 중국 남서부 쓰촨성 방문으로 일정을 마무리할 예정이다.",희토류
한국경제,"EU ""車부품 70%, 유럽산 써라""…脫중국 가속",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005220320?sid=101,,한국경제,"EU ""車부품 70%, 유럽산 써라""…脫중국 가속","태양광 등 산업보호법 추진
희토류 폐기물 수출도 제한
유럽연합(EU)이 자동차·에너지 등 주요 산업의 중국 의존도를 낮추기 위해 규제 정비에 속도를 내고 있다. 유럽산 부품 사용을 의무화하고, 핵심 원자재 확보를 위해 희토류 폐기물 등의 수출을 제한하기로 했다.
3일(현지시간) 파이낸셜타임스(FT)는 소식통을 인용해 EU가 자동차 등 특정 제품을 제조할 때 최대 70%까지 유럽산 부품을 사용하도록 하는 법안을 준비 중이라고 전했다. 산업별 중요도와 해외 부품 의존 수준에 따라 비율은 다르게 정해질 것으로 전망된다. 법안 초안은 오는 10일 발의될 예정이다.
산업촉진법(IAA)으로 불리는 이 법안은 중국 기업에 대응해 유럽 산업을 보호하기 위해 마련됐다. 저렴한 중국산 부품 공세로 재생에너지 및 중공업 등의 분야에서 유럽 산업 경쟁력이 약해지고 있다는 판단에서다. 최근 높은 에너지 가격과 미국 관세 정책으로 값싼 중국산 부품에 대한 유럽 기업의 의존도가 높아지는 추세다. 지난해 EU는 태양광 패널과 바이오 연료 등 기술 분야에서 중국의 최대 수출국이었다.
일각에서는 EU 기업의 부담이 더 커질 것이란 우려가 나온다. 한 관계자는 기업이 비싼 유럽산 부품을 구매하게 돼 연간 100억유로 이상의 비용이 발생할 것으로 봤다.
EU는 전기차를 비롯해 풍력 터빈, 반도체 등에 사용되는 핵심 원자재도 중국 의존도를 줄이고, 공급망을 다각화하겠다는 방침이다. 30억유로를 투자해 2029년까지 단일 국가에 대한 원자재 의존도를 최대 50%로 낮추는 게 목표다. 이를 위해 유럽 투자은행에서 20억유로를 지원할 예정이다.
또 내년부터 재활용이 가능한 희토류 폐기물과 배터리 스크랩 수출을 제한한다. 희토류 자석 수출을 통제하는 중국에 대응하기 위한 목적이다. EU는 희토류 폐기물을 재활용하면 EU 희토류 자석 수요의 20%를 확보할 수 있다고 본다. 2026년 9월부터 폐리튬이온 배터리 등을 유해 물질로 분류해 경제협력개발기구(OECD) 비회원국으로의 수출을 금지한다.",희토류
중앙일보,"美, 한·일·호주 등과 반도체·광물 연합…中 ‘희토류동맹’ 맞선다",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003487226?sid=104,,중앙일보,"美, 한·일·호주 등과 반도체·광물 연합…中 ‘희토류 동맹’ 맞선다","도널드 트럼프 미국 대통령이 지난 7월 워싱턴DC에서 열린 'AI 경쟁 승리 서밋'에서 AI 관련 행정명령에 서명한 후 서류를 들어 보이고 있다. 로이터=연합뉴스
미국이 한국과 일본·호주 등 8개 동맹국과 반도체·광물 연합에 나선다. 염원인 ‘탈(脫)중국 희토류 공급망’을 구축하고, 반도체 공급에선 중국을 견제하기 위한 움직임이다. 이를 통해 인공지능(AI) 경쟁에서 앞서가겠다는 생각이다.
2일(현지시간) 블룸버그통신에 따르면 미국은 오는 12일 백악관에서 한국과 일본, 싱가포르, 네덜란드, 영국, 이스라엘, 아랍에미리트(UAE), 호주 당국자와 회의를 연다. AI 기술에 필요한 반도체와 핵심 광물 공급망을 강화하기 위해서다. 제이컵 헬버그 미 국무부 경제성장·에너지·환경 담당 차관은 블룸버그에 “핵심 광물, 반도체, AI 인프라, 물류·운송 부문 전반에 걸쳐 협정을 도출하는 데 초점을 맞출 것”이라고 말했다.
━
동맹국과 탈중국 공급망 구축 나서
중국 국기와 갈륨과 게르마늄 등 주요 광물을 합성한 이미지. 로이터=연합뉴스
사실상 중국 의존을 낮추려는 노력이다. 반도체 생산(한국), 반도체 장비(일본·네덜란드), 희토류(호주)에 강점이 있는 국가들과 중국을 배제한 공급망을 만들어 보려는 것이다. 이를 통해 AI 분야에서 중국의 추격을 뿌리칠 생각이다. 헬버그 차관은 “AI 시장은 미국과 중국 양강 구도”라며 “우리는 중국과  경쟁할 준비가 돼 있다. 우리 기업이 (공급망) 의존에 시달리지 않고 혁신적 기술을 개발할 수 있기를 원한다”고 말했다.
미국이 중점을 두는 건 희토류로 대표되는 핵심 광물 공급망 구축이다. 미국은 중국산 광물 의존을 줄이기 위해 노력해왔다. 도널드 트럼프 1기 행정부는 리튬과 코발트 등 핵심 광물 공급망 확보를 목표로 ‘에너지 자원 거버넌스 이니셔티브’(ERGI)를 출범시켰다. 조 바이든 행정부에서도 개발도상국의 광산 부문에 서방 투자와 기술을 유치하기 위한 광물 안보 파트너십(MSP)을 만들었다.
━
中 희토류에 무기력했던 트럼프 관세
도널드 트럼프 미국 대통령(왼쪽)과 시진핑 중국 국가주석이 지난 10월 부산 김해공군기지 의전실 나래마루에서 정상회담을 마친 뒤 회담장을 나서며 대화하고 있다. 연합뉴스
그럼에도 불구하고 중국의 희토류 지배력은 여전하다. 국제에너지기구(IEA)에 따르면 중국은 전 세계 희토류 및 영구자석 정제 능력의 90% 이상을 보유하고 있다. 이는 트럼프 행정부의 대(對)중 협상력을 약화시켰다. 미국의 관세 위협에 중국은 지난 10월 희토류 수출 통제 조치를 발표했다. 중국의 압박에 미국은 같은 달 말 경주에서 열린 미·중 정상회담에서 중국에 적용하던 ‘펜타닐 관세’를 10%포인트 인하해줬고, 중국은 희토류 수출 통제 조치를 1년 유예했다.
전 세계 국가별 희토류 매장량 그래픽 이미지. [자료제공=미국지질조사국]
이에 미국은 신뢰하는 동맹국과 미국 중심의 독자적 공급망 구축 목표에 재도전 중이다. 헬버그 차관은 이날 국무부 직원에 보낸 메시지에서 “수십 년간의 실패한 세계화는 국내 산업도 보호하지 못했고 핵심 공급망도 지키지 못했다”며 “미국은 엄청난 자산과 기술적 우위를 활용해 리더십을 확보하고 혜택은 미국민에게 돌아가야 한다”고 말했다.
이미 도널드 트럼프 대통령은 지난 10월 앤서니 앨버니지 호주 총리와 정상회담에서 희토류·핵심 광물 협력 강화에 합의했다. 같은 달 29일 백악관이 공개한 팩트시트엔 한국의 포스코 인터내셔널과 미국 리엘리먼트테크놀로지스가 미국 내 희토류 분리·정제·자석 생산을 일괄 처리하는 ‘수직 통합형 복합 단지’를 세우는 데 협력한다는 내용이 담겼다.
━
중국은 19개 개도국과 ‘희토류 동맹’
지난달 23일 남아프리카공화국 요하네스버그에서 열린 주요 20개국(G20) 정상회의에서 리창 중국 총리가 발언하고 있다. 신화=연합뉴스
미국에 맞서 중국도 세력 규합에 나서고 있다. 희토류를 내세운 공급망 연합이다. 리창 중국 총리는 지난달 23일 남아프리카공화국 주요 20개국(G20) 정상회의에서 ‘녹색 광물 글로벌 경제ㆍ무역 협력 이니셔티브’ 출범을 발표했다. 개발도상국의 호혜 협력과 이익 수호를 위한 안정적인 광물 공급을 내세운 중국의 선언에 나이지리아, 미얀마, 짐바브웨, 캄보디아 등 19개국과 유엔산업개발기구(UNIDO) 가 동참하기로 했다.
블룸버그는 “중국은 이니셔티브를 통해 희토류 압박이 아닌 희토류 매력 공세를 펼친 것”이라고 전했다. 국제협력을 강조하며 서방의 ‘자원 무기화’ 비판을 회피하는 동시에, 우군을 확보해 주요 산업에서 중국이 지닌 공급망 영향력도 유지하려는 전략이란 해석이다.",희토류
SBS,"""중국,희토류자석수출절차 간소화…공급 확대 전망""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001312740?sid=104,,SBS,"""중국, 희토류 자석 수출 절차 간소화…공급 확대 전망""","▲ 중국 장시성의 희토류 광산
중국이 희토류 영구자석 등의 수출 허가 절차를 간소화했으며, 관련 기업들이 이를 통해 첫 허가를 받았다고 로이터통신이 2일 보도했습니다.
이에 따르면 희토류 영구자석 업체인 JL MAG는 모든 고객에 대한 수출 허가를 받았으며 닝보 윈성과 베이징 중커산환 하이테크도 일부 고객에 대한 수출 허가를 받았습니다.
세 기업은 모두 유럽 또는 미주 지역 자동차 산업에 관련 품목을 공급하고 있으며 이번 조치로 수출 선적이 가속화될 것으로 보입니다.
세 기업과 중국 상무부가 관련 질의에 대해 답변하지 않은 가운데 소식통들은 사안의 민감성 때문에 익명을 요구했습니다.
도널드 트럼프 미국 대통령과 시진핑 중국 국가주석이 지난 10월 말 부산 정상회담을 통해 희토류 수출 강화 통제 조치를 유예하기로 한 뒤 중국이 희토류 수출에서 간소화된 절차를 새로 도입하기로 한 바 있다고 로이터는 짚었습니다.
그러면서 기존의 허가 체계를 보완하는 이번 조치를 통해 앞으로 1년간 훨씬 더 큰 규모의 수출이 허용될 것이라고 로이터는 덧붙였습니다.
소식통은 현재 대형 기업들만 수출 허가를 신청할 자격이 있는데, 간소화 절차가 정착되면 신청 자격이 확대될 것이라고 전했습니다.
(사진=AP, 연합뉴스)",희토류
SBS,"中, 무역협정 후 서방에 대한 첫희토류수출허가",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001312740?sid=104,,SBS,"""중국, 희토류 자석 수출 절차 간소화…공급 확대 전망""","▲ 중국 장시성의 희토류 광산
중국이 희토류 영구자석 등의 수출 허가 절차를 간소화했으며, 관련 기업들이 이를 통해 첫 허가를 받았다고 로이터통신이 2일 보도했습니다.
이에 따르면 희토류 영구자석 업체인 JL MAG는 모든 고객에 대한 수출 허가를 받았으며 닝보 윈성과 베이징 중커산환 하이테크도 일부 고객에 대한 수출 허가를 받았습니다.
세 기업은 모두 유럽 또는 미주 지역 자동차 산업에 관련 품목을 공급하고 있으며 이번 조치로 수출 선적이 가속화될 것으로 보입니다.
세 기업과 중국 상무부가 관련 질의에 대해 답변하지 않은 가운데 소식통들은 사안의 민감성 때문에 익명을 요구했습니다.
도널드 트럼프 미국 대통령과 시진핑 중국 국가주석이 지난 10월 말 부산 정상회담을 통해 희토류 수출 강화 통제 조치를 유예하기로 한 뒤 중국이 희토류 수출에서 간소화된 절차를 새로 도입하기로 한 바 있다고 로이터는 짚었습니다.
그러면서 기존의 허가 체계를 보완하는 이번 조치를 통해 앞으로 1년간 훨씬 더 큰 규모의 수출이 허용될 것이라고 로이터는 덧붙였습니다.
소식통은 현재 대형 기업들만 수출 허가를 신청할 자격이 있는데, 간소화 절차가 정착되면 신청 자격이 확대될 것이라고 전했습니다.
(사진=AP, 연합뉴스)",희토류
한국경제,"“중,희토류자석수출절차 간소화…공급 확대 전망”",네이버뉴스,https://n.news.naver.com/mnews/article/015/0005219177?sid=101,,한국경제,"中, 무역협정 후 서방에 대한 첫 희토류 수출 허가","대형 희토류업체 3곳에 수출 허가 발급
""기존 허가 제도 보완으로 1년간 유효""
이 기사는 국내 최대 해외 투자정보 플랫폼
한경 글로벌마켓
에 게재된 기사입니다.
사진=REUTERS
중국이 미국과의 무역 협정후 처음으로 희토류 수출 허가증을 발급했다. 서방에 대한 중국의 희토류 수출 허가가 난 것은 10월 말 부산에서 이뤄진 트럼프 대통령과 시진핑 주석의 정상회담 이후 처음이다.
2일(현지시간) 로이터에 따르면 중국의 자석 제조업체인 JL 매그 희토류와 닝보 연셍 등 중국의 3개 희토류 업체가 거의 모든 고객,또는 일부 고객에 대한 수출 허가를 확보했다고 밝혔다.
세 회사 모두 자동차 업체에 희토류 제품을 판매하는 곳이다. JL매그는 유럽에 자회사를 두고 있으며 닝보는 유럽과 미주 지역에 고객이 있다.
현재는 대형 희토류 기업만이 일반 수출 허가를 신청할 수 있으나 향후 수출 자격 범위가 확대될 것이라고 소식통은 전했다.
백악관은 트럼프와 시진핑의 회담 이후 중국의 희토류 수출 통제가 사실상 종료된 것과 같다고 언급했으나 실제 수출 허가까지 한 달 이상 소요됐다.
로이터에 따르면 이 허가는 기존 허가 제도를 대체하는 것은 아니고 보완하는 것이며 유효기간은 1년이고 수출 물량도 훨씬 늘어날 것이라고 밝혔다.
올해 4월에 처음 희토류에 대한 수출 허가제가 도입됐다. 이 제도로 중국 희토류 업체들은 중국 정부로부터 허가를 받아야 하는데, 당국의 허가가 지연되면서 전 세계 희토류 공급이 압박을 받아왔다.",희토류
KBS,"""중국희토류수출승인 절차 간소화…기업 3곳, 새 허가증 받아""",네이버뉴스,https://n.news.naver.com/mnews/article/056/0012077879?sid=104,,KBS,"“중, 희토류 자석 수출 절차 간소화…공급 확대 전망”","중국이 희토류 영구자석 등의 수출 허가 절차를 간소화했고, 관련 업체들이 이를 통해 첫 허가를 받았다고 로이터통신이 2일 보도했습니다.
보도에 따르면 희토류 영구자석 업체인 JL MAG는 모든 업체에 대한 수출 허가를 받았고, 닝보 윈성과 베이징 중커산환 하이테크도 일부 고객에 대한 수출 허가를 받았습니다.
이들 세 기업은 모두 유럽과 미주 지역에 자동차 관련 품목을 공급하고 있어 이번 조치로 수출품 선적이 가속화될 것으로 보입니다.
이번 조치와 관련해 이들 기업과 중국 상무부 모두 입장을 내놓지 않고 있습니다.
로이터는 도널드 트럼프 미국 대통령과 시진핑 중국 국가주석이 지난 10월 말 부산 정상회담을 통해 희토류 수출 통제 조치를 유예하기로 한 뒤, 중국이 희토류 수출을 간소화하는 새 절차를 도입키로 했다며 이번 조치를 통해 향후 1년간 훨씬 큰 규모의 수출이 허용될 것이라고 전망했습니다.
[사진 출처 : AP=연합뉴스]
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",희토류
머니투데이,"中,희토류자석수출절차 간소화…""공급 확대 전망""",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005286314?sid=101,,머니투데이,"""중국 희토류 수출 승인 절차 간소화…기업 3곳,  새 허가증 받아""","도널드 트럼프 미국 대통령(왼쪽)과 10월30일 시진핑 중국 국가주석이 부산 김해국제공항 옆 김해공군기지에서 정상회담을 마친 뒤 악수를 나누고 있다. /로이터=뉴스1
중국이 시진핑 중국 국가주석과 도널드 트럼프 미국 대통령기 정상회담을 통해 합의한 무역협정 이행을 위해 희토류 수출 허가 과정을 간소화했고, 이를 통해 관련 기업의 첫 '신규 희토류 수출 일반 허가증'이 발급된 것으로 알려졌다.
2일 로이터통신은 소식통을 인용해 ""중국 희토류 영구자석 업체인 JL Mag는 모든 고객에 대한 (희토류) 수출 허가를 받았고, 닝보윈성(Ningbo Yunsheng)과 베이징 중커싼환 하이테크(Beijing Zhong Ke San Huan High-Tech)도 일부 고객에 대한 (수출) 허가증을 확보했다""며 이같이 전했다. 이들 기업은 모두 자동차 등 여러 산업에 희토류 관련 제품을 공급하고 있다. 이 중 JL Mag는 유럽에 자회사를 두고 있고, 닝보윈성은 유럽과 미국 고객을 보유하고 있다고 로이터는 설명했다.
소식통은 로이터에 ""현재 중국은 대형 희토류 기업만 일반 (수출) 허가증 발급 대상으로 두고 있다. 하지만 이번 조치가 성공적으로 평가되면 기준이 확대될 수 있다""고 말했다. 이와 관련 로이터는 ""새로운 허가증은 기존의 허가 체계를 보완해 발급된 것""이라며 소식통이 언급한 '기준 확대'는 중국 당국이 앞으로 훨씬 더 큰 규모의 희토류 수출을 허용하겠다는 의미라고 해석했다.
한편 미국 백악관은 중국의 '일반 허가증' 발급은 사실상 중국의 희토류 수출 통제 종료에 해당한다고 강조한다. 하지만 로이터는 ""'일반 허가증'에 중국의 공식적인 언급은 거의 없는 상태""라며 ""중국 당국의 희토류 수출 통제를 완전히 해제할 거란 신호는 포착되지 않고 있다""고 짚었다. 이어 ""앞으로 허가증 발급 대상이 얼마나 확대될지 그리고 국방, 항공우주, 반도체 등 민감 산업 고객에 대한 수출 통제가 해제될지는 여전히 불확실한 상황""이라고 덧붙였다.",희토류
SBS Biz,"中,희토류""공급 확대 전망""…자석수출절차 간소화",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000478428?sid=104,,SBS Biz,"中, 희토류 ""공급 확대 전망""…자석 수출 절차 간소화","[중국의 희토류 광산 (AP=연합뉴스 자료사진)]
중국이 희토류 영구자석 등의 수출 허가 절차를 간소화했으며, 관련 기업들이 이를 통해 첫 허가를 받았다고 로이터통신이 2일 보도했습니다.
이에 따르면 희토류 영구자석 업체인 JL MAG는 모든 고객에 대한 수출 허가를 받았으며 닝보 윈성과 베이징 중커산환 하이테크도 일부 고객에 대한 수출 허가를 받았습니다.
세 기업은 모두 유럽 또는 미주 지역 자동차 산업에 관련 품목을 공급하고 있으며 이번 조치로 수출 선적이 가속화될 것으로 보입니다.
세 기업과 중국 상무부가 관련 질의에 대해 답변하지 않은 가운데 소식통들은 사안의 민감성 때문에 익명을 요구했습니다.
도널드 트럼프 미국 대통령과 시진핑 중국 국가주석이 지난 10월 말 부산 정상회담을 통해 희토류 수출 강화 통제 조치를 유예하기로 한 뒤 중국이 희토류 수출에서 간소화된 절차를 새로 도입하기로 한 바 있다고 로이터는 짚었습니다.
그러면서 기존의 허가 체계를 보완하는 이번 조치를 통해 앞으로 1년간 훨씬 더 큰 규모의 수출이 허용될 것이라고 로이터는 덧붙였습니다.
소식통은 현재 대형 기업들만 수출 허가를 신청할 자격이 있는데, 간소화 절차가 정착되면 신청 자격이 확대될 것이라고 전했습니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",희토류
