press,title,naver_news_text,naver_news_url,body
한국경제,年 5% 뚫었던예금금리3%대로 '뚝',네이버뉴스,https://n.news.naver.com/mnews/article/015/0004798017?sid=101,
한국경제,왜예금금리만 내리나…은행 이자장사에 불만 폭발,네이버뉴스,https://n.news.naver.com/mnews/article/015/0004798017?sid=101,
뉴시스,"주담대 금리 8%대 뚫을때…예금금리만 뚝뚝 떨어져 3%대, 왜",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011635934?sid=101,
중앙일보,"예금금리연 3%대로 '뚝'…2000만원 연이자, 한달새 16.2만원↓",네이버뉴스,https://n.news.naver.com/mnews/article/025/0003252394?sid=101,
뉴스1,"""5%예금금리는 커녕 3%대""…주담대는 8% '분통'",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006567191?sid=101,
매일경제,“정기예금보다 파킹통장이 낫네”…매달 이자받는 재미 쏠쏠,네이버뉴스,https://n.news.naver.com/mnews/article/009/0005072734?sid=101,
대한경제,"우리은행, 사실상 대출금리 손질…예금금리3%대까지 ‘뚝’",,,
대한경제,“우리도 지금 내려요”…신한 하나은행 이어 대출금리인하,,,
매일경제,"주담대 8%대 진입하자… 우리은행, 대출금리0.9%p 낮춘다",네이버뉴스,https://n.news.naver.com/mnews/article/009/0005072926?sid=101,
머니S,"우리은행, 대출금리사실상 인하…금리최대 0.90%p 추가 감면",네이버뉴스,https://n.news.naver.com/mnews/article/417/0000885565?sid=101,
연합뉴스,"우리은행, 대출금리사실상 인하…금리최대 0.90%p 추가 감면",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013691324?sid=101,
헤럴드경제,“지켜야 할예금5배 늘었는데”…보호 한도는 20년째 ‘요지부동’[머...,네이버뉴스,https://n.news.naver.com/mnews/article/016/0002089134?sid=101,
SBS Biz,"11월 경상수지, 3개월 만에 또 적자",네이버뉴스,https://n.news.naver.com/mnews/article/374/0000317975?sid=101,
경향신문,이복현 금감원장 “은행 단축 영업 속히 정상화돼야”,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003198326?sid=101,
경향신문,이복현 금감원장 “은행 영업시간 하루속히 정상화돼야”,네이버뉴스,https://n.news.naver.com/mnews/article/032/0003198326?sid=101,
뉴스1,"한은, 사상 첫 7연속 기준금리인상하나?",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006568473?sid=101,
뉴스1,"새해 첫 한은 금통위, 7연속 기준금리인상 임박",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006568473?sid=101,
뉴스1,"한은, 새해 첫 금통위 회의서 기준금리인상할까?",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006568484?sid=101,
뉴스1,"새해 첫 한은 금통위, 7연속 기준금리인상 임박",네이버뉴스,https://n.news.naver.com/mnews/article/421/0006568483?sid=101,
뉴스1,금리또 오르나…새해 첫 금통위서 0.25p 인상 전망,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006568479?sid=101,
KBS,"우리은행 결국금리인하…금융당국, 성과급까지 압박",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011408321?sid=101,
KBS,"우리은행 결국금리인하…금융당국, 성과급까지 압박",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011408321?sid=101,
KBS,"우리은행 결국금리인하…금융당국, 성과급까지 압박",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011408214?sid=101,
파이낸셜투데이,"우리은행, 13일부터 대출금리최대 0.9%p 추가 인하",,,
파이낸셜투데이,"우리은행, 대출금리사실상 인하…“최대 0.9%p 추가 감면”",,,
뉴스1,안정 찾아가는 2금융권 자금시장…불씨는 '여전',네이버뉴스,https://n.news.naver.com/mnews/article/421/0006567219?sid=101,
뉴스1,기준금리올라도 수신금리는 동결 분위기,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006567219?sid=101,
