press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴스1,어느새 2%까지 빠진 정기예금…6%선 대출금리도 '뚝' 떨어진다,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006630864?sid=101,,뉴스1,어느새 2%까지 빠진 정기예금…6%선 대출금리도 '뚝' 떨어진다,"은행 예금·채권 등 조달비용 감소에 15일 발표 '1월 코픽스' 인하 전망
尹대통령 '돈잔치' 지적·2월 금통위 결정 등 대출금리 변수로 작용할듯
서울 시내의 한 시중은행 대출창구 모습. 2023.2.9/뉴스1 ⓒ News1 송원영 기자
(서울=뉴스1) 신병남 기자 = 일부 지방은행이 정기예금 금리를 2%까지 낮추는 등 수신금리 하락세가 지속하는 가운데, 은행권 대출금리가 오는 16일부터 낮아질 전망이다. 1월 기준 코픽스(COFIX·자금조달비용지수)가 예·적금, 은행채 등 은행 자금조달 비용 감소에 따라 떨어질 것으로 예상돼서다.
여기다 윤석열 대통령이 고금리에 따른 은행권 '돈 잔치'를 지적하는 등 은행의 공공성을 강조하고 있어 대출금리 하락세는 당분간 지속될 분위기다.
15일 금융권에 따르면 지난 14일 기준 KB국민·신한·하나·우리·농협 등 5대은행의 대표 예금 상품 금리(1년 만기)는 연 3.35~3.62%로 집계됐다. 지난해 11월 한때 연 4.98%까지 올랐으나 3개월 사이 최고 금리가 1.36%포인트(p) 떨어졌다. 부산은행이 최근 연 2.75%(LIVE정기예금) 상품을 내놓는 등 은행권 예금금리는 하락세다.
예금금리 하락은 산정 기준이 되는 시장금리가 떨어지고 있어서다. 금융투자협회 채권정보센터에 따르면 은행채(AAA) 1년물 금리는 지난해 11월 5.107%에서 지난 13일 3.638%까지 떨어졌다.
시중은행 관계자는 ""채권시장 유동성 우려도 낮아졌고, 부동산 침체 등 대출수요가 크지 않아 지난해 말처럼 고금리로 예수금을 확보할 필요성이 크지 않은 상황""이라고 설명했다.
은행 예금금리 하락에 따라 대출금리도 인하를 예고하고 있다. 은행들은 대출금리를 은행채 금리, 은행권 자금조달비용을 가중평균해 산정하는 코픽스를 반영해 결정하기 때문이다. 이미 지난달 발표된 12월 기준 신규코픽스(4.29%)는 11개월 만에 하락(0.05%p) 반전한 바 있다.
은행권에선 이날 발표될 1월 코픽스 하락 폭이 지난달보다 클 것으로 전망한다. 코픽스는 은행 예금금리 변화에 후행하는 만큼 예금금리 하락이 코픽스에 충분히 반영되지 않았다고 판단하고 있다.
이날 발표될 코픽스 인하분은 오는 16일부터 대출금리에 즉각 반영된다. 전날 기준 5대은행의 대출 금리는 각각 △변동형 주택담보대출 연 4.86~6.40% △전세대출 4.30~6.50% △신용대출 5.22~6.48% 등 연 6%중반 수준이다. 또한 다음달 발표될 2월 코픽스도 인하세가 지속될 것으로 예상돼 대출금리는 더 떨어질 것이라는 관측이 업권 내부에서 우세하다.
아울러 금융당국도 은행들이 취약차주를 위한 추가 대출금리 인하를 유도할 것으로 관측된다. 윤 대통령은 지난 13일 열린 수석비서관회의에서 ""은행 고금리로 국민의 고통이 크다. 은행의 '돈 잔치'로 국민의 위화감이 생기지 않도록 관련 대책을 마련하라""고 지시했다.
이복현 금감원장도 전날 임원회의에서 ""고금리로 어려움을 겪는 취약 서민·중소기업 차주들이 위기를 극복할 수 있도록 은행권이 실효성 있고 구체적인 지원방안을 마련할 필요가 있다""고 강조했다.
다만 한국은행이 오는 2월23일 열린 금융통화위원회에서 기준금리를 추가 인상할지 여부는 변수다. 지난달 금통위원 중 절반은 기준금리 최종 수준이 3.75%(현재 3.5%)가 될 수 있다는 의견을 제시한 바 있다.",예금금리
뉴스1,5%예금실종에 코픽스 더 떨어진다… 주담대 이자 줄어들까,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006630864?sid=101,,뉴스1,어느새 2%까지 빠진 정기예금…6%선 대출금리도 '뚝' 떨어진다,"은행 예금·채권 등 조달비용 감소에 15일 발표 '1월 코픽스' 인하 전망
尹대통령 '돈잔치' 지적·2월 금통위 결정 등 대출금리 변수로 작용할듯
서울 시내의 한 시중은행 대출창구 모습. 2023.2.9/뉴스1 ⓒ News1 송원영 기자
(서울=뉴스1) 신병남 기자 = 일부 지방은행이 정기예금 금리를 2%까지 낮추는 등 수신금리 하락세가 지속하는 가운데, 은행권 대출금리가 오는 16일부터 낮아질 전망이다. 1월 기준 코픽스(COFIX·자금조달비용지수)가 예·적금, 은행채 등 은행 자금조달 비용 감소에 따라 떨어질 것으로 예상돼서다.
여기다 윤석열 대통령이 고금리에 따른 은행권 '돈 잔치'를 지적하는 등 은행의 공공성을 강조하고 있어 대출금리 하락세는 당분간 지속될 분위기다.
15일 금융권에 따르면 지난 14일 기준 KB국민·신한·하나·우리·농협 등 5대은행의 대표 예금 상품 금리(1년 만기)는 연 3.35~3.62%로 집계됐다. 지난해 11월 한때 연 4.98%까지 올랐으나 3개월 사이 최고 금리가 1.36%포인트(p) 떨어졌다. 부산은행이 최근 연 2.75%(LIVE정기예금) 상품을 내놓는 등 은행권 예금금리는 하락세다.
예금금리 하락은 산정 기준이 되는 시장금리가 떨어지고 있어서다. 금융투자협회 채권정보센터에 따르면 은행채(AAA) 1년물 금리는 지난해 11월 5.107%에서 지난 13일 3.638%까지 떨어졌다.
시중은행 관계자는 ""채권시장 유동성 우려도 낮아졌고, 부동산 침체 등 대출수요가 크지 않아 지난해 말처럼 고금리로 예수금을 확보할 필요성이 크지 않은 상황""이라고 설명했다.
은행 예금금리 하락에 따라 대출금리도 인하를 예고하고 있다. 은행들은 대출금리를 은행채 금리, 은행권 자금조달비용을 가중평균해 산정하는 코픽스를 반영해 결정하기 때문이다. 이미 지난달 발표된 12월 기준 신규코픽스(4.29%)는 11개월 만에 하락(0.05%p) 반전한 바 있다.
은행권에선 이날 발표될 1월 코픽스 하락 폭이 지난달보다 클 것으로 전망한다. 코픽스는 은행 예금금리 변화에 후행하는 만큼 예금금리 하락이 코픽스에 충분히 반영되지 않았다고 판단하고 있다.
이날 발표될 코픽스 인하분은 오는 16일부터 대출금리에 즉각 반영된다. 전날 기준 5대은행의 대출 금리는 각각 △변동형 주택담보대출 연 4.86~6.40% △전세대출 4.30~6.50% △신용대출 5.22~6.48% 등 연 6%중반 수준이다. 또한 다음달 발표될 2월 코픽스도 인하세가 지속될 것으로 예상돼 대출금리는 더 떨어질 것이라는 관측이 업권 내부에서 우세하다.
아울러 금융당국도 은행들이 취약차주를 위한 추가 대출금리 인하를 유도할 것으로 관측된다. 윤 대통령은 지난 13일 열린 수석비서관회의에서 ""은행 고금리로 국민의 고통이 크다. 은행의 '돈 잔치'로 국민의 위화감이 생기지 않도록 관련 대책을 마련하라""고 지시했다.
이복현 금감원장도 전날 임원회의에서 ""고금리로 어려움을 겪는 취약 서민·중소기업 차주들이 위기를 극복할 수 있도록 은행권이 실효성 있고 구체적인 지원방안을 마련할 필요가 있다""고 강조했다.
다만 한국은행이 오는 2월23일 열린 금융통화위원회에서 기준금리를 추가 인상할지 여부는 변수다. 지난달 금통위원 중 절반은 기준금리 최종 수준이 3.75%(현재 3.5%)가 될 수 있다는 의견을 제시한 바 있다.",예금금리
머니S,연 2%대까지 추락한예금 금리... 코픽스 두 달 연속 하락,네이버뉴스,https://n.news.naver.com/mnews/article/417/0000895647?sid=101,,머니S,5% 예금 실종에 코픽스 더 떨어진다… 주담대 이자 줄어들까,"오는 15일 1월 코픽스가 발표되는 가운데 2개월 연속 하락세를 보일 것으로 관측된다. 사진은 서울 남산에서 바라본 아파트 단지의 모습./사진=뉴스1
1월 코픽스(COFIX·자금조달비용지수)가 오늘(15일) 발표되는 가운데  은행 예·적금과 채권금리가 떨어지면서 전월에 이어 2개월 연속 하락세를 보일 전망이다. 따라서 코픽스를 준거금리로 삼는 은행 주택담보대출과 전세자금대출 금리도 내려갈 전망이다.
15일 은행연합회는 이날  오후 가계대출 준거금리인 코픽스를 공시한다. 지난달 한국은행 금융통화위원회의 베이비스텝(금리 0.25%포인트 인상)에도 코픽스는 하락할 전망이다. 일각에선 3%대 후반으로 떨어질 가능성도 있다고 보고 있다.
앞서 은행연합회가 지난달 13일 발표한 지난해 12월 신규 취급액 기준 코픽스는 4.29%로 전월(4.34%) 대비 0.05%포인트 하락했다. 이는 11개월 만에 하락세다.
1월 코픽스 감소폭은 전월보다 확대될 것으로 보인다. 코픽스 산출에서 80%의 비중을 차지는 예·적금 금리 하락세가 가팔라지고 있어서다.
전날 기준 KB국민·신한·하나·우리·NH농협 등 5대 시중은행의 정기예금 대표 상품 금리는 1년 만기 기준 3.00~4.15%다.
5대 은행 대표 정기예금 최고금리는 지난해 11월9일까지만 해도 4.96%에 달했지만 3개월여만에 0.81%포인트 떨어진 것이다.
한국은행이 지난달 기준금리를 3.25%에서 3.50%로 0.25%포인트 올렸지만 은행 예금금리가 하락하는 것은 시장금리가 떨어지고 있기 때문이다.
금융투자협회 채권정보센터에 따르면 은행채(AAA·무보증) 1년물 금리는 지난해 11월7일 5.107%에서 지난 3일 3.541%까지 떨어졌다.
코픽스는 신한·우리·SC제일·하나·KB국민·한국씨티·NH농협·기업은행 등 국내 8개 은행의 자금조달금리를 가중평균해 산출한다.
은행이 실제 취급한 예·적금, 은행채 등 수신상품 금리가 오르면 이를 반영해 코픽스는 상승한다. 반대로 수신상품 금리가 내리면 코픽스 역시 하락한다.
은행들은 오는 16일부터 이번 코픽스 하락을 반영해 대출금리도 하향 조정할 계획이다. KB국민·신한·하나·우리·NH농협 등 5대 시중은행의 변동형 주담대 금리는 전날 기준 4.86~6.40% 수준을 형성하고 있다.
시중은행 관계자는 ""예·적금 금리와 은행채 금리가 하락세를 지속해 1월 코픽스는 전월보다 더 큰 폭으로 내릴 것으로 보인다""고 말했다.",예금금리
한국일보,코픽스 3%대로 하락…16일 주담대 변동금리내린다,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000723655?sid=101,,한국일보,연 2%대까지 추락한 예금 금리... 코픽스 두 달 연속 하락,"1월 신규 코픽스 0.47%P 하락
시장금리 하락에 대출금리도↓
9일 한 시민이 서울 시내 시중은행 대출창구 앞을 지나고 있다. 뉴스1
주택담보대출(주담대) 변동금리의 기준이 되는
자금조달비용지수(COFIX・코픽스)가 두 달 연속 하락
했다. 정기예금 등 수신금리가 떨어지고, 시장(채권)금리도 안정화 추세에 접어들면서다.
15일 전국은행연합회 공시에 따르면,
1월 신규취급액 기준 코픽스는 전월 대비 0.47%포인트 내린 3.82%
로 집계됐다. 0.05%포인트 내린 12월 신규취급액  코픽스보다 하락폭을 키워 내림세를 이어갔다. 신규취급액 코픽스가 4% 선 아래로 내려온 건 지난해 10월(3.98%) 이후 3개월 만이다.
코픽스는 국내 8개 은행이 조달한 자금의 가중평균금리로, 예・적금과 은행채 등 수신상품 금리가 인상하면 오르고 인하하면 떨어진다. 코픽스가 낮아졌다는 건 그만큼 은행이 이자를 덜 주고 돈을 확보할 수 있게 됐다는 뜻이다.
금융권에선 일찌감치 1월 코픽스 하락을 점쳤다. 5대 은행 정기예금 금리가 3%대 초중반까지 떨어지는 등
예금 금리가 계속 내리고 있기 때문
이다. 부산은행은 지난달 평균 연 5.03% 금리를 줬던 1년 만기 ‘라이브정기예금’의 최고 금리를 최근 연 2.75%로 하향 조정하기도 했다.
코픽스 하락분은 다음 날부터 신규 주담대 변동금리에 반영
된다. 이날 기준 5.89~6.89%인 우리은행 주담대 변동금리는 16일 5.42~6.42%로 상・하단이 0.47%포인트씩 낮아진다. KB국민은행과 NH농협은행 주담대 변동금리는 각각 4.96~6.36%, 4.73~5.83%로 내린다. 신규 코픽스를 준거로 하는 전세자금대출 변동금리도 마찬가지로 조정된다.
윤석열 대통령이 직접 은행의 사회적 역할 확대를 주문하고 나선 만큼 대출금리는 앞으로 더 내릴 것이란 전망
이 우세하다.
다만 시장금리 변동이 상대적으로 느리게 반영되는 잔액기준 코픽스는 3.73%로 전월 대비 0.11%포인트 상승했다. 수신상품 대상 범위를 넓혀 산정하는 신(新)잔액기준 코픽스도 2.92%에서 3.02%로 소폭 올랐다. 은행연합회는 “코픽스 연동대출을 받을 땐 이런 특징을 충분히 이해한 후 신중하게 대출 상품을 선택할 필요가 있다”고 소비자들에게 당부했다.",예금금리
아시아경제,"코픽스, 3%대로 하락…주담대 변동금리내린다",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005218559?sid=101,,아시아경제,코픽스 3%대로 하락…16일 주담대 변동금리 내린다,"코픽스, 두 달연속 하락해 1월 기준 3.82%
[이미지출처=연합뉴스]
은행권 주택담보대출 변동금리의 기준이 되는 코픽스(COFIX·자금조달비용지수)도 두 달 연속 하락했다. 최근 채권금리와 예금금리가 떨어진 영향이다. 이에 따라 16일부터 시중은행의 주택담보대출 변동금리가 낮아질 것으로 보인다.
15일 은행연합회에 따르면 1월 신규 취급액 기준 코픽스는 작년 12월(4.29%)보다 0.47%포인트 낮은 3.82%로 집계됐다. 앞서 지난해 12월 기준 코픽스가 11개월 만에 처음 내림세로 돌아선 뒤 두 달 연속 하락한 것이다. 3%대 코픽스는 지난해 10월 기준 코픽스(3.98%) 이후 3개월 만이다.
시중 은행들은 16일부터 신규 주담대 변동금리에 이날 공개된 코픽스 금리를 반영해 금리를 낮춰야 한다.
코픽스는 국내 8개 은행이 조달한 자금의 가중평균금리다. 은행이 실제 취급한 예·적금, 은행채 등 수신상품의 금리 변동이 반영된다. 코픽스가 떨어지면 그만큼 은행이 적은 이자를 주고 돈을 확보할 수 있다는 뜻이다. 코픽스가 오르면 그 반대의 경우다.
반면 잔액 기준 코픽스는 3.52%에서 3.63%로 0.11%포인트 올랐다. 신규 취급액 코픽스와 잔액 기준 코픽스에는 정기예금, 정기적금, 상호부금, 주택부금, 양도성예금증서, 환매조건부채권 매도, 표지어음 매출, 금융채(후순위채 및 전환사채 제외) 수신상품의 금리가 반영된다. 2019년 6월부터 새로 도입된 '신(新)잔액기준 코픽스'(3.02%)도 한 달 새 0.10%포인트 올랐다.",예금금리
머니S,"""예금금리떨어지니 다시 주식투자?"" 시중통화량 9개월만에 감소",네이버뉴스,https://n.news.naver.com/mnews/article/417/0000895656?sid=101,,머니S,"""예금금리 떨어지니 다시 주식투자?"" 시중통화량 9개월만에 감소","지난해 12월 시중통화량이 6조3000억원 줄었다./사진=이미지투데이
지난해 12월 시중통화량이 9개월만에 감소세로 돌아섰다. 특히 예·적금 증가폭이 전월 대비 절반으로 줄었다. 시중자금이 안전자산으로 쏠렸던 '역머니무브' 현상은 주춤해진 모습이다.
한국은행이 지난 14일 발표한 '통화 및 유동성' 통계에 따르면 지난해 12월 시중통화량(계절조정·평잔)은 광의통화(M2) 기준 3779조원으로 집계됐다. 이는 한 달 전보다 6조3000억원 감소한 수치다.
시중 통화량(M2)은 지난해 4월부터 11월까지 증가세를 이어오다 9개월만에 감소세로 돌아선 것이다.
시중 통화량을 나타내는 대표 지표인 M2는 현금, 요구불예금, 수시입출식 저축성 예금 등 즉각 현금화가 가능한 협의통화(M1)에 머니마켓펀드(MMF), 2년 미만 정기 예·적금, 수익증권, CD(양도성예금증서), RP(환매조건부채권), 2년 미만 금융채, 2년 미만 금전신탁 등 현금화가 빠른 금융상품을 모두 아우른다.
금융상품 별로 보면 2년 미만 정기예·적금이 31조6000억원 늘었다. 지난해 11월(58조4000억원) 예·적금 증가폭이 2001년 12월 이후 최대을 기록한 것과 비교하면 증가폭이 절반 수준으로 축소된 셈이다.
반면 예·적금에 비해 상대적으로 금리가 낮은 수시입출식저축성예금은 17조3000억원 줄었다. 전월(-19조1000억원)에 이어 역대 두번째 큰 폭으로 감소했다.
요구불예금도 10조2000억원 줄었다. 다만 전월 감소폭(13조8000억원)보다 감소폭이 축소됐다. 요구불예금은 예금주가 지급을 원하면 언제든지 은행에서 찾아쓸 수 있는 초단기예금으로 현금과 유사한 유동성을 갖고 있어 통화성예금으로도 불린다.
2년 미만 금전신탁도 14조5000억원 줄며 역대 최대 폭의 감소세를 보였다.
이는 금리가 낮은 수시입출식예금에서 돈을 빼 금리가 더 높은 예·적금으로 옮기거나 대출 상환에 나선 영향으로 보인다.
다만 올 1월에는 예·적금 금리가 떨어지기 시작했고 안전자산 선호 심리가 위축되면서 은행에서 돈을 빼 위험자산인 주식으로 돈을 옮기는 '머니무브'가 나타날 것으로 추정된다.
실제로 은행에서 빠져나간 돈은 자산시장으로 흘러가는 움직임을 보이고 있다. 한은에 따르면 지난달 자산운용사 수신액은 51조4000억원 급증했다. 단기 금융상품인 MMF(머니마켓펀드)에는 39조원이 유입됐으며 주식형펀드는 4조1000억원, 채권형펀드는 2조원, 기타펀드는 6조9000억원 늘었다.",예금금리
머니S,금전신탁·수시입출식예금감소…시중 통화량 9개월 만에 감소 전환,네이버뉴스,https://n.news.naver.com/mnews/article/417/0000895656?sid=101,,머니S,"""예금금리 떨어지니 다시 주식투자?"" 시중통화량 9개월만에 감소","지난해 12월 시중통화량이 6조3000억원 줄었다./사진=이미지투데이
지난해 12월 시중통화량이 9개월만에 감소세로 돌아섰다. 특히 예·적금 증가폭이 전월 대비 절반으로 줄었다. 시중자금이 안전자산으로 쏠렸던 '역머니무브' 현상은 주춤해진 모습이다.
한국은행이 지난 14일 발표한 '통화 및 유동성' 통계에 따르면 지난해 12월 시중통화량(계절조정·평잔)은 광의통화(M2) 기준 3779조원으로 집계됐다. 이는 한 달 전보다 6조3000억원 감소한 수치다.
시중 통화량(M2)은 지난해 4월부터 11월까지 증가세를 이어오다 9개월만에 감소세로 돌아선 것이다.
시중 통화량을 나타내는 대표 지표인 M2는 현금, 요구불예금, 수시입출식 저축성 예금 등 즉각 현금화가 가능한 협의통화(M1)에 머니마켓펀드(MMF), 2년 미만 정기 예·적금, 수익증권, CD(양도성예금증서), RP(환매조건부채권), 2년 미만 금융채, 2년 미만 금전신탁 등 현금화가 빠른 금융상품을 모두 아우른다.
금융상품 별로 보면 2년 미만 정기예·적금이 31조6000억원 늘었다. 지난해 11월(58조4000억원) 예·적금 증가폭이 2001년 12월 이후 최대을 기록한 것과 비교하면 증가폭이 절반 수준으로 축소된 셈이다.
반면 예·적금에 비해 상대적으로 금리가 낮은 수시입출식저축성예금은 17조3000억원 줄었다. 전월(-19조1000억원)에 이어 역대 두번째 큰 폭으로 감소했다.
요구불예금도 10조2000억원 줄었다. 다만 전월 감소폭(13조8000억원)보다 감소폭이 축소됐다. 요구불예금은 예금주가 지급을 원하면 언제든지 은행에서 찾아쓸 수 있는 초단기예금으로 현금과 유사한 유동성을 갖고 있어 통화성예금으로도 불린다.
2년 미만 금전신탁도 14조5000억원 줄며 역대 최대 폭의 감소세를 보였다.
이는 금리가 낮은 수시입출식예금에서 돈을 빼 금리가 더 높은 예·적금으로 옮기거나 대출 상환에 나선 영향으로 보인다.
다만 올 1월에는 예·적금 금리가 떨어지기 시작했고 안전자산 선호 심리가 위축되면서 은행에서 돈을 빼 위험자산인 주식으로 돈을 옮기는 '머니무브'가 나타날 것으로 추정된다.
실제로 은행에서 빠져나간 돈은 자산시장으로 흘러가는 움직임을 보이고 있다. 한은에 따르면 지난달 자산운용사 수신액은 51조4000억원 급증했다. 단기 금융상품인 MMF(머니마켓펀드)에는 39조원이 유입됐으며 주식형펀드는 4조1000억원, 채권형펀드는 2조원, 기타펀드는 6조9000억원 늘었다.",예금금리
아시아타임즈,예금금리의 폭락…한숨 돌린 주담대 차주,,,,,,,예금금리
아시아타임즈,코픽스 3%대로 하락… 주담대도 3%대 진입하나,,,,,,,예금금리
서울신문,코픽스 두 달 연속 '하락'...대출 변동금리도 내려간다,네이버뉴스,https://n.news.naver.com/mnews/article/081/0003339633?sid=101,,서울신문,코픽스 3%대로 하락… 주담대도 3%대 진입하나,"1월 신규 취급액 기준 0.47%P↓
“3~4개월 내 주담대 3%대 예상”
은행권 주택담보대출 변동금리의 기준으로 쓰이는 코픽스(COFIX·자금조달비용지수)가 지난해 10월 이후 3개월 만에 다시 3%대로 떨어졌다. 이에 따라 주담대 하단도 3%대로 진입할 수 있다는 관측이 나온다.
15일 은행연합회에 따르면 지난 1월 신규 취급액 기준 코픽스는 3.82%로 한 달 전(4.29%)보다 0.47% 포인트 하락했다. 은행연합회가 2010년 관련 통계를 집계한 이후 가장 큰 폭의 하락이다. 이에 따라 지난해 10월 3.98% 이후 3개월 만에 다시 3%대로 내렸다. 다만 비교적 시장금리 변동이 서서히 반영되는 잔액 기준 코픽스(3.63%)와 신잔액 기준 코픽스(3.02%)는 각각 한 달 사이 0.11% 포인트, 0.10% 포인트 올랐다.
코픽스는 은행의 자금조달원인 정기 예적금, 상호부금, 주택부금, 금융채 등의 평균 비용으로 산출한다. 코픽스가 떨어졌다는 건 그만큼 은행이 시장에서 싼값에 자금을 조달했다는 얘기다. 은행들은 5%대로 치솟았던 은행채(1년·AAA) 금리가 3%대로 안정화되면서 정기예금 금리를 비슷한 수준으로 인하했다.
이날 기준 KB국민·신한·우리·하나·NH농협은행 등 5대 은행의 신규 코픽스 기준 주담대 변동금리는 연 4.86~ 6.89%다. 코픽스 변동분은 16일부터 반영돼 4% 중반~6% 중반 수준으로 주담대 변동금리를 끌어내릴 전망이다. 정부의 은행 ‘돈장사 비판’과 통화당국의 긴축 종료에 대한 기대 등으로 은행들이 추가로 대출 금리를 더 낮출 가능성도 있다. 은행권 관계자는 “향후 대출금리는 꾸준히 떨어질 것”이라면서 “3~4개월 내에 주담대 하단이 3%대 후반으로 진입할 것으로 보인다”고 말했다.
대출을 앞두고 있는 이들의 셈법은 복잡해질 전망이다. 이날 기준으로는 은행채 5년물을 준거금리로 삼는 고정금리 주담대 금리가 연 4.2~6.28%로 상하단이 변동금리 주담대보다 낮다. 금융권 관계자는 “신규 코픽스가 큰 폭으로 낮아졌다고 해도 아직 남은 기준금리 인상의 영향을 받을 수 있다”며 “대출 갈아타기 가능성, 향후 금리 수준 등을 충분히 고려해 결정해야 한다”고 말했다.",예금금리
