press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
오마이뉴스,"용인시, 용인세브란스병원과 '자율주행자동차 시범사업' 추진 위한 업무...",네이버뉴스,https://n.news.naver.com/mnews/article/047/0002493939?sid=100,,오마이뉴스,"용인시, 용인세브란스병원과 '자율주행자동차 시범사업' 추진 위한 업무협약","내년 1월부터 용인세브란스 병원, 동백역, 동백도서관, 동백이마트 등 약 5km구간에 14인승 자율주행자동차 2대 15분 간격으로 운행
▲
경기 용인시가 4일 오후 시청 접견실에서 용인세브란스병원과 ‘자율주행 자동차 시범사업’ 추진을 위한 업무협약을 체결했다.
ⓒ 용인시
경기 용인시가 4일 오후 시청 접견실에서 용인세브란스병원과 '자율주행 자동차 시범사업' 추진을 위한 업무협약을 체결했다.
협약식은 지난해 12월 국토교통부가 기흥구 동백2동 일원에 지정한 '경기 용인(동백) 자율주행자동차 시범운행지구'에서 시가 내년부터 자율주행자동차 시범운행 사업을 하기로 하고 용인세브란스병원과의 협력 사항을 규정하기 위해 마련됐다.
지난 7월 자율주행자동차 운영 용역에 착수한 용인특례시는 내년 1월부터 용인세브란스 병원, 동백역, 동백도서관, 동백이마트 등을 잇는 약 5km구간에 14인승 자율주행자동차 2대가 15분 간격으로 다닐 수 있도록 준비하고 있다.
이상일 시장은 협약식에서 ""첨단기술의 발전으로 인공지능 시대가 도래한 가운데 모빌리티 세계도 첨단기술 적용에 따라 많은 변화가 있을 것으로 예상한다""며 ""지난해 자율주행자동차 시범운행지구로 선정된 곳에 내년 1월부터 시가 용인세브란스 병원과 협력해서 시범운행 사업을 할 수 있게 된 것은 매우 뜻깊은 일""이라고 말했다.
이 시장은 ""자율주행자동차 시범운행사업이 시행되면 동백지역 시민들 가운데 용인세브란스 병원을 왕래하는 분들에게는 교통편의가 제공될 것이고, 자율주행의 확대 가능성에 대한 실증적인 점검도 이뤄질 것""이라며 ""자율주행자동차 시범사업이 잘 진행되어서 더 많은 곳에서 시민의 교통편의를 증진하는 사업들이 시작되면 좋겠다""고 말했다.
김은경 용인세브란스 병원장은 ""오늘의 협약은 교통인프라 구축을 넘어 공공서비스와 첨단기술이 결합한 중요한 이정표가 될 것""이라며 ""자율주행시대는 시민 삶의 변화를 가져올 것으로 기대되며, 이를 위해 병원은 충전시설과 차고지 등의 인프라 구축을 지원해 지역사회와 의료기관이 힘을 모은 새로운 공공서비스를 제공할 것""이라고 말했다.
협약에 따라 시는 자율주행자동차 시범사업 추진 과정에서 전반적인 행정 절차의 이행과 인프라 구축·운행을 담당하고, 용인세브란스병원은 자율주행자동차 운행에 필요한 충전시설 등 시설과 운영비 일부를 지원해 시민의 이동권 보장과 자율주행차량 도입에 힘을 모은다.",자율주행
오마이뉴스,"용인시-용인세브란스병원,자율주행차 시범운행 업무협약",네이버뉴스,https://n.news.naver.com/mnews/article/047/0002493939?sid=100,,오마이뉴스,"용인시, 용인세브란스병원과 '자율주행자동차 시범사업' 추진 위한 업무협약","내년 1월부터 용인세브란스 병원, 동백역, 동백도서관, 동백이마트 등 약 5km구간에 14인승 자율주행자동차 2대 15분 간격으로 운행
▲
경기 용인시가 4일 오후 시청 접견실에서 용인세브란스병원과 ‘자율주행 자동차 시범사업’ 추진을 위한 업무협약을 체결했다.
ⓒ 용인시
경기 용인시가 4일 오후 시청 접견실에서 용인세브란스병원과 '자율주행 자동차 시범사업' 추진을 위한 업무협약을 체결했다.
협약식은 지난해 12월 국토교통부가 기흥구 동백2동 일원에 지정한 '경기 용인(동백) 자율주행자동차 시범운행지구'에서 시가 내년부터 자율주행자동차 시범운행 사업을 하기로 하고 용인세브란스병원과의 협력 사항을 규정하기 위해 마련됐다.
지난 7월 자율주행자동차 운영 용역에 착수한 용인특례시는 내년 1월부터 용인세브란스 병원, 동백역, 동백도서관, 동백이마트 등을 잇는 약 5km구간에 14인승 자율주행자동차 2대가 15분 간격으로 다닐 수 있도록 준비하고 있다.
이상일 시장은 협약식에서 ""첨단기술의 발전으로 인공지능 시대가 도래한 가운데 모빌리티 세계도 첨단기술 적용에 따라 많은 변화가 있을 것으로 예상한다""며 ""지난해 자율주행자동차 시범운행지구로 선정된 곳에 내년 1월부터 시가 용인세브란스 병원과 협력해서 시범운행 사업을 할 수 있게 된 것은 매우 뜻깊은 일""이라고 말했다.
이 시장은 ""자율주행자동차 시범운행사업이 시행되면 동백지역 시민들 가운데 용인세브란스 병원을 왕래하는 분들에게는 교통편의가 제공될 것이고, 자율주행의 확대 가능성에 대한 실증적인 점검도 이뤄질 것""이라며 ""자율주행자동차 시범사업이 잘 진행되어서 더 많은 곳에서 시민의 교통편의를 증진하는 사업들이 시작되면 좋겠다""고 말했다.
김은경 용인세브란스 병원장은 ""오늘의 협약은 교통인프라 구축을 넘어 공공서비스와 첨단기술이 결합한 중요한 이정표가 될 것""이라며 ""자율주행시대는 시민 삶의 변화를 가져올 것으로 기대되며, 이를 위해 병원은 충전시설과 차고지 등의 인프라 구축을 지원해 지역사회와 의료기관이 힘을 모은 새로운 공공서비스를 제공할 것""이라고 말했다.
협약에 따라 시는 자율주행자동차 시범사업 추진 과정에서 전반적인 행정 절차의 이행과 인프라 구축·운행을 담당하고, 용인세브란스병원은 자율주행자동차 운행에 필요한 충전시설 등 시설과 운영비 일부를 지원해 시민의 이동권 보장과 자율주행차량 도입에 힘을 모은다.",자율주행
연합뉴스,"용인시·용인세브란스병원, '자율주행자동차 시범사업' 업무협약",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015724724?sid=102,,연합뉴스,"용인시-용인세브란스병원, 자율주행차 시범운행 업무협약","(용인=연합뉴스) 김광호 기자 = 경기 용인시는 지난 4일 오후 시청에서 용인세브란스병원과 '자율주행 자동차 시범사업' 추진을 위한 업무협약을 체결했다고 5일 밝혔다.
용인시-용인세브란스병원 '자율주행 자동차 시범사업' 업무협약
[용인시 제공. 재판매 및 DB 금지]
협약은 지난해 12월 국토교통부가 기흥구 동백2동 일원을 '경기 용인(동백) 자율주행자동차 시범운행지구'로 지정함에 따라 시가 내년부터 자율주행 자동차 시범운행을 하기 위해 이뤄졌다.
시는 내년 1월부터 용인세브란스병원, 동백역, 동백도서관, 동백이마트 등을 잇는 약 5㎞ 구간에 14인승 자율주행자동차 2대를 투입, 15분 간격으로 운행하도록 할 계획이다.
시는 자율주행자동차 시범사업 추진 과정에서 전반적인 행정 절차의 이행과 인프라 구축·운행을 담당하고, 용인세브란스병원은 자율주행자동차 운행에 필요한 충전시설 등 시설과 운영비 일부를 지원한다.
협약식에서 이상일 시장은 ""자율주행자동차 시범운행 사업이 시행되면 동백지역 시민들 가운데 용인세브란스병원을 왕래하는 분들에게는 교통편의가 제공될 것이고, 자율주행의 확대 가능성에 대한 실증적인 점검도 이뤄질 것""이라며 ""자율주행자동차 시범사업이 잘 진행돼 더 많은 곳에서 시민의 교통편의를 증진하는 사업들이 시작되면 좋겠다""고 말했다.
김은경 용인세브란스병원장은 ""이번 협약은 교통인프라 구축을 넘어 공공서비스와 첨단기술이 결합한 중요한 이정표가 될 것""이라며 ""지역사회와 의료기관이 힘을 모은 새로운 공공서비스를 제공할 것""이라고 말했다.
kwang@yna.co.kr",자율주행
뉴스1,"용인시, 용인세브란스병원과 '자율주행자동차 시범사업' 업무협약",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008585842?sid=102,,뉴스1,"용인시·용인세브란스병원, '자율주행자동차 시범사업' 업무협약","내년 1월부터 용인세브란스병원~동백이마트 구간 버스 2대 운행
용인시와 용인세브란스병원이 4일 용인시청에서 '자율주행자동차 시범사업' 추진을 위한 업무협약을 체결했다.(용인시 제공)
(용인=뉴스1) 김평석 기자 = 경기 용인특례시가 지난 4일 오후 시청 접견실에서 용인세브란스병원과 ‘자율주행　자동차 시범사업’ 추진을 위한 업무협약을 체결했다.
협약식은 시가 내년부터 자율주행자동차를 시범운행을 하는 것과 관련해 용인세브란스병원과의 협력 사항을 정하기 위해 체결됐다.
협약에 따라 용인시는 자율주행자동차 시범사업 추진에 필요한 행정 절차 이행, 인프라 구축, 자동차 운행을 담당한다.
용인세브란스병원은 자율주행자동차 운행에 필요한 충전시설과 차고지, 운영비 일부 등을 지원해 시민의 이동권 보장과 자율주행차량 운행에 힘을 더한다.
앞서 국토교통부는 지난해 12월 용인세브란스병원 인근 기흥구 동백2동 일원을 ‘경기 용인(동백) 자율주행자동차 시범운행지구’로 지정했다.
이에 용인시는 지난 7월 자율주행자동차 운영 용역을 발주하는 등 사업 추진을 준비해 왔다. 내년 1월부터 용인세브란스 병원, 동백역, 동백도서관, 동백이마트 등을 잇는 약 5㎞ 구간에 14인승 자율주행자동차 2대를 15분 간격으로 운행할 계획이다.
이상일 시장은 협약식에서 “내년 1월부터 용인세브란스 병원과 협력해서 시범운행 사업을 할 수 있게 된 것은 매우 뜻깊은 일”이라며 “시범사업이 잘 진행돼 더 많은 곳에서 시민의 교통편의를 증진하는 사업이 시작되면 좋겠다”고 말했다.
김은경 용인세브란스 병원장은 “오늘의 협약은 교통인프라 구축을 넘어 공공서비스와 첨단기술이 결합한 중요한 이정표가 될 것”이라며 “충전시설과 차고지 등의 인프라 구축을 지원해 지역사회와 의료기관이 힘을 모은 새로운 공공서비스를 제공할 것”이라고 말했다.",자율주행
파이낸셜뉴스,"용인시·용인세브란스병원, '자율주행자동차 시범사업' 맞손",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005429834?sid=102,,파이낸셜뉴스,"용인시, 용인세브란스병원과 '자율주행자동차 시범사업' 업무협약","내년 1월부터 14인승 자율주행자동차 2대가 15분 간격으로 운행
용인세브란스 병원, 동백역, 동백도서관, 동백이마트 등 약 5km구간
(출처=연합뉴스)
【파이낸셜뉴스 용인=장충식 기자】경기도 용인시는 용인세브란스병원과 '자율주행 자동차 시범사업' 추진을 위한 업무협약을 체결했다고 5일 밝혔다.
이번 협약식은 지난해 12월 국토교통부가 기흥구 동백2동 일원에 지정한 '경기 용인(동백) 자율주행자동차 시범운행지구'에서 시가 내년부터 자율주행자동차 시범운행 사업을 하기로 하고, 용인세브란스병원과의 협력 사항을 규정하기 위해 마련됐다.
지난 7월 자율주행자동차 운영 용역에 착수한 시는 내년 1월부터 용인세브란스 병원, 동백역, 동백도서관, 동백이마트 등을 잇는 약 5km구간에 14인승 자율주행자동차 2대가 15분 간격으로 다닐 수 있도록 준비하고 있다.
협약에 따라 시는 자율주행자동차 시범사업 추진 과정에서 전반적인 행정 절차의 이행과 인프라 구축·운행을 담당하고, 용인세브란스병원은 자율주행자동차 운행에 필요한 충전시설 등 시설과 운영비 일부를 지원해 시민의 이동권 보장과 자율주행차량 도입에 등을 추진할 예정이다.
이상일 시장은 협약식에서 ""첨단기술의 발전으로 인공지능 시대가 도래한 가운데 모빌리티 세계도 첨단기술 적용에 따라 많은 변화가 있을 것으로 예상한다""며 ""지난해 자율주행자동차 시범운행지구로 선정된 곳에 내년 1월부터 시가 용인세브란스 병원과 협력해서 시범운행 사업을 할 수 있게 된 것은 매우 뜻깊은 일""이라고 말했다.
그러면서 그는 ""자율주행자동차 시범운행사업이 시행되면 동백지역 시민들 가운데 용인 세브란스 병원을 왕래하는 분들에게는 교통편의가 제공될 것이고, 자율주행의 확대 가능성에 대한 실증적인 점검도 이뤄질 것""며 ""자율주행자동차 시범사업이 잘 진행되어서 더 많은 곳에서 시민의 교통편의를 증진하는 사업들이 시작되면 좋겠다""고 말했다.",자율주행
연합뉴스,실제 도로 환경서자율주행검증…'케이시티' 시험장 3단계 준공,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015725212?sid=101,,연합뉴스,실제 도로 환경서 자율주행 검증…'케이시티' 시험장 3단계 준공,"첨단차 디지털 안전망 구축 '자동차 사이버보안센터' 함께 준공
자율주행 기술 개발 실험장 케이시티
[국토교통부 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 임성호 기자 = 국내에서 현실과 동일한 도로 환경을 재현해 완전 자율주행 수준의 기술을 검증하고, 차량의 사이버 보안 위협에 체계적으로 대응할 수 있는 시설이 구축됐다.
국토교통부는 오는 6일 경기 화성시 한국교통안전공단(TS) 자동차안전연구원 자율주행차 실험도시 케이시티(K-City)에서 '케이시티 3단계 고도화 사업'과 '자동차 사이버보안센터' 준공식을 연다고 5일 밝혔다.
준공식에는 김윤덕 국토부 장관과 송옥주(경기 화성시갑)·이준석(경기 화성시을) 등 국회의원을 비롯해 정용식 교통안전공단 이사장, 유정훈 대한교통학회장, 황성호 한국자동차공학회장 등이 참석할 예정이다.
케이시티는 지난 2018년 실제 도로환경과 유사한 조건에서 자율주행 기술을 반복·안전하게 검증하기 위한 시설로 만들어졌다.
처음 문을 열 당시(1단계)에는 주차장, 도심, 고속도로 등 5대 주요 평가 환경을 구축했다면 2022년까지 업그레이드한 2단계에서는 강우, 안개 등 극한의 환경 조건과 GPS 통신 교란 등에 대응할 수 있는 기술을 연구하는 시설을 추가했다.
케이시티 고도화
[국토부 제공. 재판매 및 DB 금지]
이번 3단계 고도화를 통해서는 자율주행차가 운행 중 겪을 수 있는 거의 모든 돌발상황에 대처하는 통합 실증 플랫폼을 구축했다.
입체교차로와 골목길 등 복잡한 도심 교차로는 물론 보행자·자전거·이륜차가 갑자기 튀어나오는 상황을 재현했다. 가상 환경 기반의 자율주행 시뮬레이션 시스템과 통합 관제 시스템도 갖췄다.
이를 통해 자율주행 업계 및 연구기관은 도로·신호·보행자·기상 등 현실 세계의 모든 변수를 반영한 고난도 자율주행 테스트를 수행하면서 레벨4 이상 완전 자율주행 기술의 정밀 검증과 글로벌 수준의 기술 경쟁력을 확보할 수 있게 됐다고 국토부는 설명했다.
함께 문을 연 자동차 사이버보안센터는 커넥티드카와 소프트웨어 중심 자동차(SDV)로의 전환이 속도를 내는 가운데 올해 8월부터 시행 중인 '자동차 사이버보안 관리 제도'의 운영·인증·평가를 총괄하는 핵심 시설이다.
차량의 개발·생산·운행 전 주기에 걸쳐 발생할 수 있는 개인정보 탈취, 외부 해킹, 주행 교란 등 사이버 위협을 실시간 감시·대응한다.
자동차 사이버보안센터
[국토부 제공. 재판매 및 DB 금지]
센터는 제작사 인증·관리 시스템과 사이버 위협 모니터링 시스템, 실차 기반 보안 평가 시스템 등을 갖춰 커넥티드카·자율주행차 시대의 디지털 안전망 역할을 수행한다.
센터가 문을 열면서 자동차 해킹을 비롯한 각종 사이버 위협을 상시 감시·대응할 수 있는 국가 차원의 체계를 갖추고, 국민의 생명과 안전을 한층 더 확고하게 보호할 수 있게 됐다고 국토부는 설명했다.
김윤덕 장관은 ""올해 말 화성 자율주행 통합 실증 리빙랩(실증도시)이 준공되면 케이시티는 '실험도시-리빙랩-상용화'로 이어지는 전주기 자율주행 실증 체계의 전진기지 역할을 하게 될 것""이라며 ""자율주행 기술 발전을 위한 정부 지원의 골든타임으로 글로벌 주도권 확보를 위해 정부는 도시 실증 지원, 인공지능(AI) 인프라 구축, 규제 합리화 등 전방위적으로 지원하겠다""고 말했다.
sh@yna.co.kr",자율주행
연합뉴스,세계 최고자율주행테스트베드 열린다…케이시티 3단계 준공식,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015725212?sid=101,,연합뉴스,실제 도로 환경서 자율주행 검증…'케이시티' 시험장 3단계 준공,"첨단차 디지털 안전망 구축 '자동차 사이버보안센터' 함께 준공
자율주행 기술 개발 실험장 케이시티
[국토교통부 제공. 재판매 및 DB 금지]
(서울=연합뉴스) 임성호 기자 = 국내에서 현실과 동일한 도로 환경을 재현해 완전 자율주행 수준의 기술을 검증하고, 차량의 사이버 보안 위협에 체계적으로 대응할 수 있는 시설이 구축됐다.
국토교통부는 오는 6일 경기 화성시 한국교통안전공단(TS) 자동차안전연구원 자율주행차 실험도시 케이시티(K-City)에서 '케이시티 3단계 고도화 사업'과 '자동차 사이버보안센터' 준공식을 연다고 5일 밝혔다.
준공식에는 김윤덕 국토부 장관과 송옥주(경기 화성시갑)·이준석(경기 화성시을) 등 국회의원을 비롯해 정용식 교통안전공단 이사장, 유정훈 대한교통학회장, 황성호 한국자동차공학회장 등이 참석할 예정이다.
케이시티는 지난 2018년 실제 도로환경과 유사한 조건에서 자율주행 기술을 반복·안전하게 검증하기 위한 시설로 만들어졌다.
처음 문을 열 당시(1단계)에는 주차장, 도심, 고속도로 등 5대 주요 평가 환경을 구축했다면 2022년까지 업그레이드한 2단계에서는 강우, 안개 등 극한의 환경 조건과 GPS 통신 교란 등에 대응할 수 있는 기술을 연구하는 시설을 추가했다.
케이시티 고도화
[국토부 제공. 재판매 및 DB 금지]
이번 3단계 고도화를 통해서는 자율주행차가 운행 중 겪을 수 있는 거의 모든 돌발상황에 대처하는 통합 실증 플랫폼을 구축했다.
입체교차로와 골목길 등 복잡한 도심 교차로는 물론 보행자·자전거·이륜차가 갑자기 튀어나오는 상황을 재현했다. 가상 환경 기반의 자율주행 시뮬레이션 시스템과 통합 관제 시스템도 갖췄다.
이를 통해 자율주행 업계 및 연구기관은 도로·신호·보행자·기상 등 현실 세계의 모든 변수를 반영한 고난도 자율주행 테스트를 수행하면서 레벨4 이상 완전 자율주행 기술의 정밀 검증과 글로벌 수준의 기술 경쟁력을 확보할 수 있게 됐다고 국토부는 설명했다.
함께 문을 연 자동차 사이버보안센터는 커넥티드카와 소프트웨어 중심 자동차(SDV)로의 전환이 속도를 내는 가운데 올해 8월부터 시행 중인 '자동차 사이버보안 관리 제도'의 운영·인증·평가를 총괄하는 핵심 시설이다.
차량의 개발·생산·운행 전 주기에 걸쳐 발생할 수 있는 개인정보 탈취, 외부 해킹, 주행 교란 등 사이버 위협을 실시간 감시·대응한다.
자동차 사이버보안센터
[국토부 제공. 재판매 및 DB 금지]
센터는 제작사 인증·관리 시스템과 사이버 위협 모니터링 시스템, 실차 기반 보안 평가 시스템 등을 갖춰 커넥티드카·자율주행차 시대의 디지털 안전망 역할을 수행한다.
센터가 문을 열면서 자동차 해킹을 비롯한 각종 사이버 위협을 상시 감시·대응할 수 있는 국가 차원의 체계를 갖추고, 국민의 생명과 안전을 한층 더 확고하게 보호할 수 있게 됐다고 국토부는 설명했다.
김윤덕 장관은 ""올해 말 화성 자율주행 통합 실증 리빙랩(실증도시)이 준공되면 케이시티는 '실험도시-리빙랩-상용화'로 이어지는 전주기 자율주행 실증 체계의 전진기지 역할을 하게 될 것""이라며 ""자율주행 기술 발전을 위한 정부 지원의 골든타임으로 글로벌 주도권 확보를 위해 정부는 도시 실증 지원, 인공지능(AI) 인프라 구축, 규제 합리화 등 전방위적으로 지원하겠다""고 말했다.
sh@yna.co.kr",자율주행
머니투데이,"국토부,자율주행핵심 인프라 확보 박차…K-시티 3단계 고도화",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005273764?sid=101,,머니투데이,세계 최고 자율주행 테스트베드 열린다…케이시티 3단계 준공식,"케이시티(K-City) 주요시설의 모습. /사진제공=국토부
자율주행차 상용화 기반 조성을위한 국내 최고 규모의 테스트베드가 구축된다. 도심, 고속도로 등 실제와 동일한 주행로는 물론 횡단보도와 버스전용차로, 톨게이트 등 다양한 도로시설물이 갖춰진 실험환경을 통해 자율주행차 기술개발에 속도가 붙을 전망이다.
국토교통부는 오는 6일 자동차안전연구원 케이시티(K-City) 에서 케이시티 3단계 고도화 사업 및 자동차 사이버보안센터 준공식을 개최한다고 5일 밝혔다.
케이시티는 실제 도로환경과 유사한 조건에서 자율주행 기술을 반복·안전하게 검증하기 위해 2018년 개소했다. 이번 3단계 준공식은 자율주행차 상용화 기반 조성을 위한 세계 최고 수준의 자율주행 테스트베드의 완성을 공식 발표하는 자리다.
케이시티는 3단계 고도화를 통해 현실과 동일한 환경에서 완전 자율주행 기술 검증이 가능해졌다. 주행영역 기능 확대로 △복잡한 도심 교차로(입체교차로, 골목길 등) △교통·보행 상황 재현 시설(보행자, 자전거, 이륜차 출몰 등) △가상환경 기반 자율주행 시뮬레이션 시스템 △통합관제시스템 등을 완비함으로써 최고 수준의 '통합 실증 플랫폼'으로 진화했다.
이를 통해 자율주행 업계 및 연구기관은 도로·신호·보행자·기상 등 현실 세계의 모든 변수를 반영한 고난도 자율주행 테스트를 수행할 수 있게 됐다. 레벨 4 이상 완전 자율주행 기술의 정밀 검증과 글로벌 수준의 기술 경쟁력 확보가 가능해질 전망이다.
아울러 자동차 사이버보안센터의 개소로 자동차 해킹을 비롯한 각종 사이버 위협을 상시 감시·대응할 수 있는 국가 차원의 체계를 갖추고 국민의 생명과 안전을 한층 더 확고하게 보호할 수 있게 된다.
자동차 사이버보안센터는 지난 8월부터 시행 중인 자동차 사이버보안 관리제도의 운영·인증·평가를 총괄하는 핵심 시설로 차량의 개발·생산·운행 전 주기에 걸쳐 발생 가능한 개인정보 탈취, 외부 해킹, 주행 교란 등 사이버 위협을 실시간 감시·대응한다.
센터는 △제작사 인증·관리 시스템 △사이버 위협 모니터링 시스템 △실차 기반 보안평가시스템 등을 갖추고 있어 커넥티드카·자율주행차 시대의 디지털 안전망 역할을 수행한다.
김윤덕 국토부장관은 준공식을 마친 후 케이시티 내 실험시설과 자율주행 데이터공유센터를 방문, 자율주행 기술발전을 위해 다양한 상황에서의 실증, 데이터 확보 및 공유 등이 중요하다는 점을 강조할 계획이다.
김 장관은 ""올해 말 화성 리빙랩이 준공되면 케이시티는 '실험도시-리빙랩-상용화'로 이어지는 전주기 자율주행 실증 체계의 전진기지 역할을 하게 될 것""이라며 ""자율주행 기술발전을 위한 정부 지원의 골든타임으로 글로벌 주도권 확보를 위해 정부는 도시 실증 지원, AI 인프라 구축, 규제 합리화 등 전방위적으로 지원하겠다""고 밝힐 예정이다.",자율주행
이데일리,자율주행실증플랫폼 거듭난 K-시티…3단계 준공,네이버뉴스,https://n.news.naver.com/mnews/article/018/0006156597?sid=101,,이데일리,"국토부, 자율주행 핵심 인프라 확보 박차…K-시티 3단계 고도화","실제 도로환경 구현한 완전 자율주행 테스트베드
차량 해킹 대응할 ‘자동차 사이버보안센터’ 준공
자율주행 기술 검증부터 보안관리까지 통합 인프라 구축
[이데일리 이다원 기자] 국토교통부가 자율주행차 상용화를 위한 핵심 인프라인 케이시티(K-City)의 3단계 고도화 사업을 마무리하고, 자동차 해킹 대응을 위한 국가 사이버보안센터를 새로 연다. 실도로와 동일한 환경에서 완전 자율주행 기술을 시험할 수 있는 동시에, 차량의 디지털 안전을 책임지는 통합 관리체계를 본격 가동하는 것이다.
K-City 주요시설. (사진=국토교통부)
국토부는 오는 6일 오후 자동차안전연구원 케이시티(K-City)에서 ‘K-City 3단계 고도화 사업’ 및 ‘자동차 사이버보안센터’ 준공식을 개최한다고 5일 밝혔다.
K-City는 2018년 문을 연 국내 대표 자율주행 실험도시로, 이번 3단계 준공으로 세계 최고 수준의 자율주행 테스트베드 완성을 공식화했다.
이번 3단계 고도화로 K-City는 복잡한 도심 교차로와 입체교차로, 보행자와 자전거가 혼재된 골목길 등 실제 도로와 동일한 주행 환경을 구현할 수 있게 됐다. 보행자·이륜차·자전거 등 다양한 교통 상황을 재현할 수 있는 시뮬레이션 시스템, 가상환경 기반 자율주행 검증시스템, 통합관제시스템까지 완비해 현실 변수에 대응하는 정밀 실증이 가능해졌다.
이에 따라 자율주행 업계와 연구기관은 기상·신호·도로 조건 등 실제 환경을 반영한 레벨4 이상의 고도 자율주행 기술을 테스트할 수 있게 됐다. 완전 자율주행 검증을 위한 ‘통합 실증 플랫폼’으로 진화한 셈이다.
자동차 사이버보안센터 전경. (사진=국토교통부)
같은 날 함께 문을 연 ‘자동차 사이버보안센터’는 차량의 개발부터 운행까지 전 생애주기를 아우르는 디지털 보안 거점이다. 올해 8월부터 시행된 ‘자동차 사이버보안 관리제도’의 운영과 인증, 평가를 총괄하는 시설로, 커넥티드카와 자율주행차의 해킹 위협을 실시간으로 감시·대응한다.
센터는 제작사 인증관리 시스템, 사이버 위협 모니터링 시스템, 실차 기반 보안평가시스템을 갖추고 있어, 차량 내외부 통신망의 보안 취약점을 선제적으로 탐지·차단하는 역할을 수행한다. 국토부는 이를 “자율주행 시대의 ‘디지털 방패’”로 규정했다.
김윤덕 국토부 장관은 자율주행 데이터공유센터에 대해 “다양한 환경에서의 실증과 데이터 공유가 자율주행 기술 발전의 핵심”이라고 했다. 해당 센터는 공공·민간이 수집한 주행 데이터를 분석·가공해 업계와 학계에 개방하는 허브로, AI 기반 자율주행 기술 고도화의 중심 역할을 맡는다.
김 장관은 “올해 말 화성 리빙랩이 완공되면 K-City는 ‘실험도시?리빙랩?상용화’로 이어지는 전주기 자율주행 실증 체계를 완성하게 될 것”이라며 “지금이 자율주행 산업의 글로벌 주도권을 확보할 골든타임인 만큼, 정부는 도시 실증 지원, AI 인프라 구축, 규제 합리화 등 전방위적 지원을 아끼지 않겠다”고 말했다.",자율주행
아시아경제,"""세계 최고 수준자율주행테스트 베드 완성""...K-City '3단계' 진화",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005674825?sid=103,,아시아경제,자율주행 실증플랫폼 거듭난 K-시티…3단계 준공,"국토교통부는 자율주행차 테스트베드(시험장)로 활용하는 자동차안전연구원 K-시티 3단계 고도화 사업을 마쳤다고 5일 밝혔다.
K-시티는 실제 도로환경과 비슷한 조건에서 자율주행 기술을 반복·안전하게 검증하기 위해 2018년 문을 연 곳이다. 이듬해부터 2022년까지 가혹환경을 구현하고 연구지원 시설을 늘리는 2단계 고도화 과정을 거쳤다. 이번에 경사로 등 입체도로를 넣고 차량혼잡·끼어들기 같은 재현시설을 구비해 3단계 고도화 사업을 마무리 지었다. 가상환경 기반 자율주행 시뮬레이션 시스템, 통합관제시스템도 갖춰 통합 실증 플랫폼으로 자리 잡을 것으로 국토부는 내다봤다.
자동차 사이버보안센터도 문을 열었다. 자동차 해킹을 비롯해 각종 사이버 위협을 상시 대응할 수 있는 국가 차원의 체계를 갖췄다. 앞서 올해 8월부터 시행 중인 자동차 사이버보안 관리제도의 운영·인증·평가를 총괄하는 시설로 제작사 인증·관리시스템, 사이버 위협 모니터링시스템, 실차 기반 보안평가시스템을 갖췄다.
6일 열리는 준공식에는 인근에 지역구를 둔 송옥주·이준석 의원, 유정훈 대한교통학회장, 황성호 한국자동차공학회장 등이 참석한다. 김 장관은 준공식 후 K-시티 내 실험시설과 자율주행데이터공유센터 등을 둘러보기로 했다. 그는 ""자율주행 글로벌 주도권을 확보하기 위해 도시 실증지원, AI 인프라 구축, 규제 합리화 등 전방위적으로 돕겠다""라고 말했다.",자율주행
