press,title,naver_news_text,naver_news_url,body
MBC,"""내가 전기 과소비?""‥전기 요금제 개선해야",네이버뉴스,https://n.news.naver.com/mnews/article/214/0001377324?sid=101,
MBC,'전기료 누진요금' 1천만세대,네이버뉴스,https://n.news.naver.com/mnews/article/214/0001377324?sid=101,
이코노텔링,이례적 폭염에 1000만가구 ‘전기료 최고 누진 구간’,,,
세계일보,[단독] 7월에만 1000kWh 넘게전기쓴 '슈퍼유저' 1년 전보다 12% 증가…...,네이버뉴스,https://n.news.naver.com/mnews/article/022/0003972792?sid=101,
한국일보,대구·경북 최고 누진제 적용 가구 38%↑,네이버뉴스,https://n.news.naver.com/mnews/article/469/0000825640?sid=101,
SBS,"[뉴스딱] ""관리비 폭탄 맞았다""…전기 요금살펴보니 '깜짝'",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001194158?sid=102,
이데일리,4분기전기·가스요금동결…“인상 논의는 계속”,네이버뉴스,https://n.news.naver.com/mnews/article/018/0005847755?sid=101,
폴리뉴스,"[22대국회 상임위만남] 산자위 정진욱 의원② ""전기요금올리되 대부분...",,,
이코노뉴스,"중기부, '소상공인전기요금특별지원사업' 신청·접수 콜센터서도 진행",,,
KBS,‘석탄시대’ 마침표 찍은 영국…머나먼 에너지 전환의 길,네이버뉴스,https://n.news.naver.com/mnews/article/056/0011810635?sid=104,
뉴시스,재산조사 한번도 안한 '경북환경연수원'…방만 경영 적발,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012813915?sid=102,
파이낸셜뉴스,올 시멘트 출하량 5000만t 붕괴 IMF 이후 처음[생산 중단위기 시멘트 업...,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005247741?sid=101,
파이낸셜뉴스,건설 침체에 수요 가뭄... 시멘트 생산 중단 위기 [벼랑 끝에 선 시멘트...,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005247741?sid=101,
경남도민일보,"영호남 8개 시도 ""남부에 균형발전 거점 구축하자""",,,
디지털타임스,"[안경애 칼럼] 기후재난 시대, 경영 시나리오 다시 써라",네이버뉴스,https://n.news.naver.com/mnews/article/029/0002905930?sid=110,
