press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
동아일보,"‘가을 폭염’ 닥친 9월,전기요금걱정되네",네이버뉴스,https://n.news.naver.com/mnews/article/020/0003591357?sid=101,,동아일보,"‘가을 폭염’ 닥친 9월, 전기요금 걱정되네","최대 전력수요, 역대 9월 최대
할인 혜택 없어 요금 늘어날듯
지난달 최대 전력 수요가 같은 달 기준으로 사상 최대치를 경신했다. 한여름 수준의 늦더위가 이례적으로 9월까지 이어지면서 냉방용 전기 수요가 증가했기 때문으로 풀이된다.
9일 전력거래소에 따르면 9월 최대 전력 수요는 평균 78GW(기가와트)였다. 9월 기준으로 사상 최대치로, 1년 전(73.5GW)보다 6% 가까이 늘어난 수준이다. 지난달 평균 최대 전력 수요도 한여름인 7월(80.5GW)과 비슷한 수준이었다. 최대 전력 수요는 하루 중 전력 수요가 가장 많은 시간대의 전력 수요를 의미한다.
지난달 평균 하루 최고기온은 29.6도로 30도에 육박했고 전국 97개 기후 관측 지점 중 74개 지점이 9월 최고기온 신기록을 다시 썼다. 전국 상당수 지역이 역대 가장 더운 9월을 경험한 셈이다. 이로 인해 냉방기기 사용이 늘어나 최대 전력 수요 역시 증가한 것으로 분석된다.
9월에는 여름철(7∼8월)에 제공되는 전기요금 할인 혜택이 적용되지 않기 때문에 소비자들이 체감하는 지난달 전기요금 상승 폭은 더욱 커질 것으로 전망된다. 예를 들어 여름 전기요금 할인이 적용되는 8월 500kWh의 전기를 쓴 가정의 전기요금은 11만770원이지만 9월에도 같은 양의 전기를 썼다면 12만6720원을 내야 한다. 한국전력이 집계하는 9월 국내 전기 사용량 공식 집계는 아직 발표되지 않았다.",전기요금
동아일보,역대 9월 전력 최대 수요 '경신'…전기요금부담↑,네이버뉴스,https://n.news.naver.com/mnews/article/020/0003591357?sid=101,,동아일보,"‘가을 폭염’ 닥친 9월, 전기요금 걱정되네","최대 전력수요, 역대 9월 최대
할인 혜택 없어 요금 늘어날듯
지난달 최대 전력 수요가 같은 달 기준으로 사상 최대치를 경신했다. 한여름 수준의 늦더위가 이례적으로 9월까지 이어지면서 냉방용 전기 수요가 증가했기 때문으로 풀이된다.
9일 전력거래소에 따르면 9월 최대 전력 수요는 평균 78GW(기가와트)였다. 9월 기준으로 사상 최대치로, 1년 전(73.5GW)보다 6% 가까이 늘어난 수준이다. 지난달 평균 최대 전력 수요도 한여름인 7월(80.5GW)과 비슷한 수준이었다. 최대 전력 수요는 하루 중 전력 수요가 가장 많은 시간대의 전력 수요를 의미한다.
지난달 평균 하루 최고기온은 29.6도로 30도에 육박했고 전국 97개 기후 관측 지점 중 74개 지점이 9월 최고기온 신기록을 다시 썼다. 전국 상당수 지역이 역대 가장 더운 9월을 경험한 셈이다. 이로 인해 냉방기기 사용이 늘어나 최대 전력 수요 역시 증가한 것으로 분석된다.
9월에는 여름철(7∼8월)에 제공되는 전기요금 할인 혜택이 적용되지 않기 때문에 소비자들이 체감하는 지난달 전기요금 상승 폭은 더욱 커질 것으로 전망된다. 예를 들어 여름 전기요금 할인이 적용되는 8월 500kWh의 전기를 쓴 가정의 전기요금은 11만770원이지만 9월에도 같은 양의 전기를 썼다면 12만6720원을 내야 한다. 한국전력이 집계하는 9월 국내 전기 사용량 공식 집계는 아직 발표되지 않았다.",전기요금
YTN사이언스,할인없는 가을폭염 청구서 다음주 온다,,,,,,,전기요금
SBS Biz,늦더위에 9월 최대 전력수요 사상 역대치…전기료 부담 커진다,네이버뉴스,https://n.news.naver.com/mnews/article/374/0000405147?sid=101,,SBS Biz,할인없는 가을폭염 청구서 다음주 온다,"[앵커]
가을이 맞나 싶을 정도로 폭염이 계속됐던 지난달, 국내 전력수요가 역대 9월 중 최대치를 경신한 것으로 나타났습니다.
여름과 달리 전기요금 할인 혜택이 없어 체감 부담이 더 클 수 있습니다.
배진솔 기자, 지난달 최대 전력수요가 한여름 수준이었다면서요?
[기자]
전력거래소에 따르면 지난달 최대 전력수요는 평균 78 기가와트(GW)로 1년 전 대비 약 6% 증가해 사상 최대치를 찍었습니다.
한여름이었던 7월 평균 최대 전력수요인 80.5GW에 육박하는 수준입니다.
최대 전력 수요는 하루 중 전력 수요가 가장 많은 시간대의 전력 수요를 뜻합니다.
가을 폭염과 열대야가 이례적으로 9월 중순까지 이어지면서 냉방용 전기 수요가 증가한 영향입니다.
지난달 평균 하루 최고기온은 29.6도로 30도에 육박하며 전국 대부분이 역대 가장 더운 9월을 경험했습니다.
[앵커]
이제 요금이 걱정인데, 예상을 해 보면 어떤가요?
[기자]
9월에는 한여름철에 제공되는 전기요금 할인 혜택이 적용되지 않아 소비자들이 체감하는 전기요금 상승 폭은 더욱 커질 것으로 전망되는데요.
예를 들어 8월 500㎾h의 전기를 쓴 가정의 전기요금은 11만원 대지만 9월에도 같은 양의 전기를 썼다면 12만 6천 원 정도로 1만 6천 원가량 더 내야 합니다.
기후변화로 여름철 폭염이 9월까지 이어지는 사례가 일반화될 수 있어, 전기요금 할인을 9월까지 확대해야 한다는 주장도 나옵니다.
SBS Biz 배진솔입니다.
당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",전기요금
뉴시스,[모닝] ‘가을 폭염’ 계속된 9월… 전력 수요 7월에 육박,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012829519?sid=101,,뉴시스,늦더위에 9월 최대 전력수요 사상 역대치…전기료 부담 커진다,"최대 전력수요 78GW…평균, 7월 수준
월평균기온·폭염일수, 최대 기록 경신
7~8월 누진 구간 확대…9월 할인 없어
[서울=뉴시스] 이영환 기자 = 서울 시내 한 오피스텔의 전력량계. 2024.09.24. 20hwan@newsis.com
[세종=뉴시스]손차민 기자 = 늦더위로 인해 지난달 최대 전력수요가 9월 기준 역대치를 기록한 것으로 나타났다. 9월의 경우 7~8월에 적용되는 전기요금 할인 제도가 시행되지 않는 만큼, 전기요금 폭탄에 대한 우려가 나온다.
10일 전력거래소의 전력통계정보시스템에 따르면 지난달 최대 전력수요는 평균 78GW(기가와트)로 지난해 같은 달(73.5GW) 대비 약 6% 증가했다.
9월 기준 사상 최대치를 경신한 것으로, 7월 기록인 80.5GW에 육박하는 수준이었다.
최대 전력수요는 하루 중 전력수요가 가장 많은 시간대의 전력수요를 의미한다. 여름철에는 통상 오후 시간대에 접어들어 전력수요가 가장 많다.
[부산=뉴시스] 하경민 기자 = 제9호 태풍 '종다리'가 북상 중인 20일 부산 남구 이기대공원을 찾은 시민들이 무더위에 산책로를 오르고 있다. 2024.08.20. yulnetphoto@newsis.com
지난 9월 역대급 무더위에 냉방 수요가 커지자, 전력수요도 덩달아 치솟은 것이다.
기상청에 따르면 지난달 월평균기온은 24.7도(평년 20.5도)로 관련 통계 집계 이래 가장 더웠다. 더욱이 전국 평균 폭염일수(6.0일), 열대야 일수(4.3일) 모두 역대 최다였다.
전기요금 할인이 없는 9월까지 늦더위가 계속됨에 따라 올해 일반 가정의 9월분 전기요금 부담은 예년보다 커질 것으로 예상된다.
현재 주택용에는 누진제 전기요금이 적용된다. 냉방비 부담 완화를 위해 전력 사용이 많은 여름철인 7∼8월에만 전기요금 누진 구간을 확대하는 방법으로 전기요금을 할인해준다.
7∼8월 주택용 전력 요금체계는 '300㎾h(킬로와트시) 이하'(1㎾h당 120원), '300㎾h 초과 450㎾h 이하'(214.6원), '450㎾h 초과'(307.3원)의 3단계다.
9월부터는 '여름 할인'이 끝나고 다시 전기요금 누진 적용 구간이 '200㎾h 이하'(1㎾h당 120원), '200㎾h 초과 400㎾h 이하'(214.6원), '400㎾h 초과'(307.3원)의 3단계로 적용된다.
[수원=뉴시스] 김종택 기자 = 27일 경기도 수원시 팔달구 한전 협력업체에서 관계자가 8월분 전기요금 고지서  발송작업을 하고 있다.  2024.08.27. jtk@newsis.com",전기요금
머니투데이,LNG 발전도 경쟁입찰 도입…전기요금낮추는데 도움,네이버뉴스,https://n.news.naver.com/mnews/article/008/0005098924?sid=101,,머니투데이,LNG 발전도 경쟁입찰 도입…전기요금 낮추는데 도움,"[서울=뉴시스] 김근수 기자 = 전국에 연일 강추위가 이어지는 19일 서울 양천구 열병합발전소 굴뚝에서 수증기가 뿜어져 나오고 있다. 2023.12.19. /뉴시스
앞으로 신규 액화천연가스(LNG) 열병합 발전기는 경쟁입찰을 통해 전력시장에 진입하게 된다. LNG 발전 사업자들이 제한된 용량 안에서 가격 경쟁을 통해 발전 사업 허가를 받는 용량시장 제도가 이달 말부터 시작된다.
산업통상자원부는 10일 서울 중구(스페이스쉐어 서울중부센터)에서 한국형 LNG 용량시장 시범사업 설명회를 열고 10월 말 입찰공고를 통해 시범입찰시장을 개설한다고 밝혔다.
LNG 용량시장은 사업자가 경쟁입찰을 통해 필요 용량을 확보하는 제도다. 이번 설명회에선 LNG 용량시장의 개설과 관련해 △운영 절차 △평가기준 △낙찰자 계약 등 주요 내용이 소개됐다.
기존 LNG 열병합 발전사업은 개별적으로 허가 신청을 하면 정부에서 열 공급 등을 판단해 허가를 내줬다. 그러나 과거에 비해 신청자가 많아지고 전력수급기본기본계획(전기본)에 따라 화석연료발전 확대에 한계가 생기면서 용량 관리의 필요성이 생겼다는 설명이다.
용량시장은 입찰공고 이후 열·전기 평가와 계통 검토를 거쳐 허가 대상자를 선정한다. 용량시장에서 선정된 허가 대상자만이 전기위원회 심의를 거쳐 집단에너지 사업허가 취득 후 전력거래소와 계약을 체결한다.
시범사업의 입찰 용량은 1.1GW(기가와트)다. 내년에 정규시장을 개설, 11차 전기본에서 확정한 1.4GW를 입찰한다.
GS E&R, 대전열병합발전, 묘도열병합 등이 이번 시범사업에 참여할 것으로 예상된다. 3사가 각각 500㎿(메가와트) 내외의 신규 열병합발전소 규모 건설 계획을 갖고 있다.
산업부는 전력 구매비용을 줄이기 위해 사업자가 용량요금(CP)을 적게 제안할수록 유리하게 제도를 설계했다. CP는 입찰에 참여한 발전소가 안정적으로 전기를 공급할 수 있도록 사용한 준비 비용을 보상하는 개념으로 CP가 전체 평가 점수의 50%를 차지한다.
산업부는 설명회에서 제시된 사업자들의 의견을 반영해 제도를 확정할 계획이다. 계약한 발전사업자가 발전 진입을 지연하거나 계약내용을 미이행할 경우 패널티를 부과하는 등 이행관리체계도 마련한다.
산업부는 앞으로 모든 석탄화력발전 전환·신규 발전사업을 경쟁입찰을 통해 추진할 계획이다. 11차 전기본에서도 수소전소, 원전 등 다양한 무탄소전원 간의 경쟁이 가능한 무탄소 입찰시장을 도입하겠다고 발표했다.
산업부 관계자는 ""정부에서 보다 객관적 기준으로 발전사업자들이 비용을 절감해서 들어올 수 있도록 설계했다""며 ""전기요금을 낮추는 데도 도움이 될 것""고 말했다.",전기요금
뉴시스,지역별전기요금제 내년 도입…소비자 반발 등 과제 산적,네이버뉴스,https://n.news.naver.com/mnews/article/003/0012829313?sid=101,,뉴시스,지역별 전기요금제 내년 도입…소비자 반발 등 과제 산적,"입법조사처 '송전망 투자재원 지역별 전기요금제'
[서울=뉴시스] 이영환 기자 = 24일 오전 서울 시내의 한 오피스텔의 전력량계가 보이고 있다. 2024.09.24. 20hwan@newsis.com
[세종=뉴시스]이승주 기자 = 내년 6월부터 지역에 따라 전기요금이 차등 부과되는 가운데 요금 산정을 위한 기술시스템의 필요성이 제기된다. 지역에 따라 요금을 더 내야 하는 소비자를 설득해야 하는 과제도 남아있다. 가격 정보의 객관성을 높이기 위한 전기위원회 역할을 강화해야 한다는 목소리도 높다.
국회입법조사처는 지난 8일 발간한 '송전망 투자 재원 마련을 위한 지역별 전기요금 제도' 보고서에서 이같이 밝혔다.
앞서 정부는 전력수요가 일정 지역에 쏠리는 현상을 해소하고, 송전망 투자 재원을 마련하기 위해 '지산지소(地産地消)'형 전력시스템을 추진했다. 지역에서 생산한 에너지는 그 지역에서 소비하자는 취지다.
이에 국회는 지난해 6월 '분산에너지 활성화 특별법(분산에너지법)'을 제정하고, 지난 6월 이를 시행했다.
분산에너지법에 따르면 지역별 전기요금이 내년 6월부터 시행된다. 지역별 전기요금제는 행정구역이 아닌 변전소 위치에 따라 전기요금을 달리 정하는 제도다.
이는 송전망 혼잡 비용을 발생시킨 소비자가 더 많은 요금을 지급하게 유도해, 전력시장의 비효율을 개선하는 것을 목표로 한다. 그렇게 거둔 요금으로 송전사업자는 송전망 건설에 투자하는 방식으로 선순환 구조를 이루겠다는 취지다.
[수원=뉴시스] 김종택 기자 = 27일 경기도 수원시 팔달구 한전 협력업체에서 관계자가 8월분 전기요금 고지서  발송작업을 하고 있다.  2024.08.27. jtk@newsis.com
하지만 전력산업 구조 개편이 이뤄지지 않은 상황에서 지역별 전기요금제를 도입하다 보면 자칫 부작용이 나올 수 있다는 지적도 나온다. 아직 기술적인 시스템이 갖춰지지 않은 데다, 요금을 더 내야 하는 소비자 사이에 불만이 제기될 수 있다는 이유에서다.
유재국 국회입법조사처 경제산업조사실 선임연구관은 ""지역별 전기요금은 정보통신 기술 없이는 이를 계산할 수 없어 이를 도입하기 위한 프로그램이 반드시 필요하다""며 ""변전소별로 부과할 수 없고 해당 프로그램은 전력거래소에서 운영 관리되고 있다""고 설명했다.
또다른 우려는 지역 소비자들의 반발이다. 그동안 전기요금은 전국에 동일하게 부과됐다. 하지만 앞으로 분산에너지법에 따라 지역별로 차등 적용되면, 더 많이 내는 소비자의 반발이 예상된다. 이들 소비자들을 설득하는 과제가 남아있다.
유 선임연구원은 ""지역별 전기요금의 수용성을 높이려면 계산 정보가 공개돼야 한다. 전기위가 적절성 여부를 심의해야 한다""며 ""전기사업법 공개목록에 지역별 전기요금에 관한 내용이 포함되도록 법률을 개정할 필요가 있다""고 말했다．",전기요금
뉴시스,"“지역별 차등전기요금제, 국가 균형발전 연결될 것”",네이버뉴스,https://n.news.naver.com/mnews/article/003/0012829313?sid=101,,뉴시스,지역별 전기요금제 내년 도입…소비자 반발 등 과제 산적,"입법조사처 '송전망 투자재원 지역별 전기요금제'
[서울=뉴시스] 이영환 기자 = 24일 오전 서울 시내의 한 오피스텔의 전력량계가 보이고 있다. 2024.09.24. 20hwan@newsis.com
[세종=뉴시스]이승주 기자 = 내년 6월부터 지역에 따라 전기요금이 차등 부과되는 가운데 요금 산정을 위한 기술시스템의 필요성이 제기된다. 지역에 따라 요금을 더 내야 하는 소비자를 설득해야 하는 과제도 남아있다. 가격 정보의 객관성을 높이기 위한 전기위원회 역할을 강화해야 한다는 목소리도 높다.
국회입법조사처는 지난 8일 발간한 '송전망 투자 재원 마련을 위한 지역별 전기요금 제도' 보고서에서 이같이 밝혔다.
앞서 정부는 전력수요가 일정 지역에 쏠리는 현상을 해소하고, 송전망 투자 재원을 마련하기 위해 '지산지소(地産地消)'형 전력시스템을 추진했다. 지역에서 생산한 에너지는 그 지역에서 소비하자는 취지다.
이에 국회는 지난해 6월 '분산에너지 활성화 특별법(분산에너지법)'을 제정하고, 지난 6월 이를 시행했다.
분산에너지법에 따르면 지역별 전기요금이 내년 6월부터 시행된다. 지역별 전기요금제는 행정구역이 아닌 변전소 위치에 따라 전기요금을 달리 정하는 제도다.
이는 송전망 혼잡 비용을 발생시킨 소비자가 더 많은 요금을 지급하게 유도해, 전력시장의 비효율을 개선하는 것을 목표로 한다. 그렇게 거둔 요금으로 송전사업자는 송전망 건설에 투자하는 방식으로 선순환 구조를 이루겠다는 취지다.
[수원=뉴시스] 김종택 기자 = 27일 경기도 수원시 팔달구 한전 협력업체에서 관계자가 8월분 전기요금 고지서  발송작업을 하고 있다.  2024.08.27. jtk@newsis.com
하지만 전력산업 구조 개편이 이뤄지지 않은 상황에서 지역별 전기요금제를 도입하다 보면 자칫 부작용이 나올 수 있다는 지적도 나온다. 아직 기술적인 시스템이 갖춰지지 않은 데다, 요금을 더 내야 하는 소비자 사이에 불만이 제기될 수 있다는 이유에서다.
유재국 국회입법조사처 경제산업조사실 선임연구관은 ""지역별 전기요금은 정보통신 기술 없이는 이를 계산할 수 없어 이를 도입하기 위한 프로그램이 반드시 필요하다""며 ""변전소별로 부과할 수 없고 해당 프로그램은 전력거래소에서 운영 관리되고 있다""고 설명했다.
또다른 우려는 지역 소비자들의 반발이다. 그동안 전기요금은 전국에 동일하게 부과됐다. 하지만 앞으로 분산에너지법에 따라 지역별로 차등 적용되면, 더 많이 내는 소비자의 반발이 예상된다. 이들 소비자들을 설득하는 과제가 남아있다.
유 선임연구원은 ""지역별 전기요금의 수용성을 높이려면 계산 정보가 공개돼야 한다. 전기위가 적절성 여부를 심의해야 한다""며 ""전기사업법 공개목록에 지역별 전기요금에 관한 내용이 포함되도록 법률을 개정할 필요가 있다""고 말했다．",전기요금
농민신문,[2024 국감] “도축장전기요금할인특례 연장해야”,네이버뉴스,https://n.news.naver.com/mnews/article/662/0000053668?sid=101,,농민신문,[2024 국감] “도축장 전기요금 할인특례 연장해야”,"문대림 민주당 의원 “한전, 농식품부·산업부·국회와 협의 틀 만들어야”
오흥복 한전 본부장 “관련 부서와 협의해 논의하겠다”
7일 국회 농림축산식품해양수산위원회 국정감사에서 문대림 더불어민주당 의원(제주갑·오른쪽)이 오흥복 한국전력공사 기획본부장에게 도축장 전기요금 할인특례 연장 필요성에 대해 질의하고 있다. 국회방송 캡쳐
올 연말로 일몰 예정인 도축장 전기요금 할인특례를 연장해야 한다는 주장이 국정감사에서 나왔다.
문대림 더불어민주당 의원(제주갑)은 7일 농림축산식품부에 대한 국회 농림축산식품해양수산위원회 국감에서 증인으로 출석한 오흥복 한국전력공사 기획본부장에게 도축장 전기요금 특례 할인 일몰 논의 과정에서 농림축산식품부를 배제한 이유를 따져물었다.
문 의원은 “자유무역협정(FTA) 체결에 따른 도축장 전기요금 할인 특례가 올해말 일몰되는데 한전은 이와 관련해 농식품부와 협의한 적 있는가”라고 물었고 오 본부장은 “(주무부처인) 산업통상자원부와만 협의했다”고 밝혔다.
문 의원은 “농식품부와도 협의해달라”고 주문한 뒤, “한우·한돈 농가의 어려움이 크기 때문에 도축장 전기요금 할인특례도 연장돼야 한다”고 주장했다.  이어 “농식품부·산업부·국회와 협의 틀을 만들고 내용을 정리해나가는 것이 올바른 방법이라고 생각한다”고 덧붙였다.
오 본부장은 “(의원의) 질의 취지를 살려서 산업부뿐 아니라 관련 부서와도 협의해 논의하도록 하겠다”고 답했다.
한편 도축장 전기요금 할인특례는 한·영연방 FTA 체결에 따른 농업계 피해 대책의 하나로 2015년부터 시행됐다. 10년간 20%의 할인이 적용된 특례는 올해 12월31일부로 종료될 예정이다.",전기요금
농민신문,"""도축장전기요금할인 특례 연장"" 강조",네이버뉴스,https://n.news.naver.com/mnews/article/662/0000053668?sid=101,,농민신문,[2024 국감] “도축장 전기요금 할인특례 연장해야”,"문대림 민주당 의원 “한전, 농식품부·산업부·국회와 협의 틀 만들어야”
오흥복 한전 본부장 “관련 부서와 협의해 논의하겠다”
7일 국회 농림축산식품해양수산위원회 국정감사에서 문대림 더불어민주당 의원(제주갑·오른쪽)이 오흥복 한국전력공사 기획본부장에게 도축장 전기요금 할인특례 연장 필요성에 대해 질의하고 있다. 국회방송 캡쳐
올 연말로 일몰 예정인 도축장 전기요금 할인특례를 연장해야 한다는 주장이 국정감사에서 나왔다.
문대림 더불어민주당 의원(제주갑)은 7일 농림축산식품부에 대한 국회 농림축산식품해양수산위원회 국감에서 증인으로 출석한 오흥복 한국전력공사 기획본부장에게 도축장 전기요금 특례 할인 일몰 논의 과정에서 농림축산식품부를 배제한 이유를 따져물었다.
문 의원은 “자유무역협정(FTA) 체결에 따른 도축장 전기요금 할인 특례가 올해말 일몰되는데 한전은 이와 관련해 농식품부와 협의한 적 있는가”라고 물었고 오 본부장은 “(주무부처인) 산업통상자원부와만 협의했다”고 밝혔다.
문 의원은 “농식품부와도 협의해달라”고 주문한 뒤, “한우·한돈 농가의 어려움이 크기 때문에 도축장 전기요금 할인특례도 연장돼야 한다”고 주장했다.  이어 “농식품부·산업부·국회와 협의 틀을 만들고 내용을 정리해나가는 것이 올바른 방법이라고 생각한다”고 덧붙였다.
오 본부장은 “(의원의) 질의 취지를 살려서 산업부뿐 아니라 관련 부서와도 협의해 논의하도록 하겠다”고 답했다.
한편 도축장 전기요금 할인특례는 한·영연방 FTA 체결에 따른 농업계 피해 대책의 하나로 2015년부터 시행됐다. 10년간 20%의 할인이 적용된 특례는 올해 12월31일부로 종료될 예정이다.",전기요금
