press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
연합뉴스,"양대노총, 국회·정부 향해 ""65세정년연장연내 입법"" 촉구",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015725723?sid=102,,연합뉴스,"양대노총, 국회·정부 향해 ""65세 정년연장 연내 입법"" 촉구","'65세 정년연장 연내 입법 촉구' 기자회견
65세 법정 정년 연장 입법 연내 통과 촉구하는 김동명 한국노총 위원장
(서울=연합뉴스) 황광모 기자 = 김동명 한국노총 위원장이 5일 국회에서 진보당 윤종오 의원과 한국노총, 민주노총이 주최한 65세 법정 정년 연장 입법 연내 촉구 기자회견에 참석해 발언하고 있다. 2025.11.5 hkmpooh@yna.co.kr
(서울=연합뉴스) 김은경 기자 = 한국노동조합총연맹(한국노총)과 전국민주노동조합총연맹(민주노총) 등 노동계는 5일 올해 안에 65세 정년 연장을 입법하라고 국회와 정부에 촉구했다.
양대 노총은 이날 서울 여의도 국회 소통관에서 기자회견을 열고 ""65세 정년연장은 시대적 과제이자 국민적 요구""라며 이같이 밝혔다.
이들은 ""법정 정년과 국민연금 수급 개시 연령과의 제도적 불일치로 최대 5년의 무연금 기간이 발생해 고령자의 경제적 어려움과 노후 불안감이 큰 상황""이라며 ""이를 해소하고자 더불어민주당은 지난 총선과 대선 과정에서 국민연금 수급 개시 연령 상향과 연계한 65세 정년 연장을 공약했다""고 밝혔다.
이어 ""민주당은 65세 정년 연장 연내 입법을 목표로 국회 정년연장TF를 출범해 7개월간 사회적 논의를 이어왔으나, 노사 간 합의에 맡긴 채 소극적 의지와 미온적 태도로 일관하고 있다""며 ""이에 양대 노총은 정부와 민주당에 국민과 약속한 '정년연장 연내 입법화'를 강력히 촉구하며, 하반기 정기국회 중점처리법안으로 반드시 통과시킬 것을 요구한다""고 목소리를 높였다.
특히 이들은 경영계 등에서 주장하는 선별적 재고용 방식이 아닌 모든 노동자에게 적용되는 보편적이고 일률적인 법정 정년 연장이 필요하다고 주장했다.
양대 노총은 ""지난해 경제사회노동위원회의 사회적 대화와 국회 정년연장특별위원회의 논의까지 65세 정년연장에 대한 사회적 논의는 숙성됐다""며 ""노사 입장은 논의과정에서 충분히 확인됐고, 더 이상 접점을 이루기 힘든 상황에서 마냥 사회적 합의를 운운하며 시간을 지체할 수는 없다""고 강조했다.
이들은 ""이제는 국회와 정부가 입법 의지를 갖고 입법 엔진을 달아야 하는 결단의 시기가 왔다""며 ""국회는 정년연장 논의를 더 이상 지체하지 말고, 연내 65세 법정 정년연장 법안을 즉각 마련해 정기국회에서 반드시 통과시켜야 할 것""이라고 촉구했다.
bookmania@yna.co.kr",정년연장
연합뉴스,"여, ‘65세로정년 연장’ 연내 입법 추진…양대노총 “공약 이행해야”",네이버뉴스,https://n.news.naver.com/mnews/article/001/0015725723?sid=102,,연합뉴스,"양대노총, 국회·정부 향해 ""65세 정년연장 연내 입법"" 촉구","'65세 정년연장 연내 입법 촉구' 기자회견
65세 법정 정년 연장 입법 연내 통과 촉구하는 김동명 한국노총 위원장
(서울=연합뉴스) 황광모 기자 = 김동명 한국노총 위원장이 5일 국회에서 진보당 윤종오 의원과 한국노총, 민주노총이 주최한 65세 법정 정년 연장 입법 연내 촉구 기자회견에 참석해 발언하고 있다. 2025.11.5 hkmpooh@yna.co.kr
(서울=연합뉴스) 김은경 기자 = 한국노동조합총연맹(한국노총)과 전국민주노동조합총연맹(민주노총) 등 노동계는 5일 올해 안에 65세 정년 연장을 입법하라고 국회와 정부에 촉구했다.
양대 노총은 이날 서울 여의도 국회 소통관에서 기자회견을 열고 ""65세 정년연장은 시대적 과제이자 국민적 요구""라며 이같이 밝혔다.
이들은 ""법정 정년과 국민연금 수급 개시 연령과의 제도적 불일치로 최대 5년의 무연금 기간이 발생해 고령자의 경제적 어려움과 노후 불안감이 큰 상황""이라며 ""이를 해소하고자 더불어민주당은 지난 총선과 대선 과정에서 국민연금 수급 개시 연령 상향과 연계한 65세 정년 연장을 공약했다""고 밝혔다.
이어 ""민주당은 65세 정년 연장 연내 입법을 목표로 국회 정년연장TF를 출범해 7개월간 사회적 논의를 이어왔으나, 노사 간 합의에 맡긴 채 소극적 의지와 미온적 태도로 일관하고 있다""며 ""이에 양대 노총은 정부와 민주당에 국민과 약속한 '정년연장 연내 입법화'를 강력히 촉구하며, 하반기 정기국회 중점처리법안으로 반드시 통과시킬 것을 요구한다""고 목소리를 높였다.
특히 이들은 경영계 등에서 주장하는 선별적 재고용 방식이 아닌 모든 노동자에게 적용되는 보편적이고 일률적인 법정 정년 연장이 필요하다고 주장했다.
양대 노총은 ""지난해 경제사회노동위원회의 사회적 대화와 국회 정년연장특별위원회의 논의까지 65세 정년연장에 대한 사회적 논의는 숙성됐다""며 ""노사 입장은 논의과정에서 충분히 확인됐고, 더 이상 접점을 이루기 힘든 상황에서 마냥 사회적 합의를 운운하며 시간을 지체할 수는 없다""고 강조했다.
이들은 ""이제는 국회와 정부가 입법 의지를 갖고 입법 엔진을 달아야 하는 결단의 시기가 왔다""며 ""국회는 정년연장 논의를 더 이상 지체하지 말고, 연내 65세 법정 정년연장 법안을 즉각 마련해 정기국회에서 반드시 통과시켜야 할 것""이라고 촉구했다.
bookmania@yna.co.kr",정년연장
KBS,"양대노총 ""65세정년연장연내 입법""…정부·국회에 촉구",네이버뉴스,https://n.news.naver.com/mnews/article/056/0012060639?sid=100,,KBS,"여, ‘65세로 정년 연장’ 연내 입법 추진…양대노총 “공약 이행해야”","[앵커]
지금 예순 살인 정년을 예순다섯 살까지 올리는 법안을 올해 안에 통과시켜달라고 노동계가 국회에 촉구했습니다.
이재명 대통령 공약이었고, 여당도 연내 입법을 목표로 하고 있어서, 사회적 합의가 관건이 될 것으로 보입니다.
보도에 최유경 기자입니다.
[리포트]
국회를 찾은 양대 노총은 '정년 연장' 법안의 연내 통과를 압박했습니다.
출생 연도별로 다른  국민연금 수급 개시 연령이 2033년부터 65세로 통일되는데, 현행 60세 정년을 유지하면 5년의 '소득 공백'이 발생한다는 겁니다.
[김동명/한국노총 위원장 : ""정부는 어떠한 대책도 없이 불구경하듯 뒷짐만 지고 있습니다. 이미 노사의 입장은 충분히 확인됐고…""]
[양경수/민주노총 위원장 : ""내년부터 바로 65세로 하자는 것이 아니라 연금 수급 연령과 맞추어서 정년을 연장하자…""]
민주당은  '정년 65세' 입법을 연내 마무리하겠단 의지를 드러냈습니다.
고령자 소득과 연금 재정 안정, 숙련 인력 활용을 위한 정년 연장 필요성을 강조했는데, 당내 특위를 중심으로 노사 간, 세대 간 이견 조율부터 시작한다는 계획입니다.
[김병기/더불어민주당 원내대표/지난 3일 : ""세대와 노사를 아우르는 사회적 대화의 공론장이 필요합니다. 정년 연장에 대한 것은 정말 진지하게 해서 반드시 조기에 결론을 갖다 내려야 한다고…""]
현재 국회에 발의된 정년 연장 법안은 모두 12건.
민주당은  정년을 65세로 연장하되 사업주의 임금체계 개편 의무를 없애도록 한 내용을 중심으로, 국민의힘에선 임금체계 개편 의무는 유지하되 기업에 정년 연장과 재고용 중 선택권을 주도록 하는 데  무게를 실었습니다.
민주당은 재계에서 우려하는 청년 일자리 악화와 임금체계 개편 문제 등을 고려해, 조만간 당 특위 차원의 입법안을 마련할 방침입니다.
KBS 뉴스 최유경입니다.
촬영기자:오승근 임태호/영상편집:이윤진/그래픽:김지훈 최창준
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",정년연장
뉴스1,"양대노총, 정부·여당에 ""'65세 법정정년연장' 공약 이행해야"" 촉구",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008587059?sid=101,,뉴스1,"양대노총 ""65세 정년연장 연내 입법""…정부·국회에 촉구","민주노총·한국노총, '정년연장 연내 입법 촉구' 기자회견
김동명 한국노동조합총연맹 위원장이 5일 서울 여의도 국회 소통관에서 법정 정년연장 연내 입법 촉구 양대노총 기자회견을 하고 있다. 2025.11.5/뉴스1 ⓒ News1 유승관 기자
(세종=뉴스1) 김승준 기자 = 전국민주노동조합총연맹(민주노총)과 한국노동조합총연맹(한국노총)이 국회에 '65세 법정 정년 연장'의 연내 입법을 촉구했다.
양대 노총은 5일 서울 여의도 국회 소통관에서 기자회견을 열고 ""법정 정년과 국민연금 수급 개시의 5년 차이로 '무연금' 기간이 발생해 고령자의 경제적 어려움과 노후 불안이 크다""고 강조했다.
이들은 ""더불어민주당은 총선과 대선에서 국민연금 수급 개시 연령 상향과 연계한 65세 정년 연장을 공약했다""며 ""민주당은 65세 정년 연장 연내 입법을 목표로 '국회 정년연장 태스크포스(TF)를 운영하며 7개월간 사회적 논의를 이어왔으나, 소극적 의지와 미온적 태도로 일관하고 있다""고 주장했다.
이어 ""경제사회노동위원회의 사회적 대화와 국회 정년연장특별위원회의 논의까지 정년연장에 대한 사회적 논의는 숙성됐다""며 ""노사 입장이 접점을 이루기 힘든 상황에서 마냥 사회적 합의를 말하며 시간을 지체할 수는 없다. 국회가 정년연장 논의를 더 이상 지체하지 말고 법안을 즉각 마련해 정기국회에서 통과시켜야 한다""고 강조했다.
앞서 민주당은 22대 총선 공약으로 국민연금 수급 개시 연령을 65세로 단계적으로 높이는 방안을 2025년 안에 입법화하겠다고 밝힌 바 있다. 이 내용은 이재명 대통령의 국정과제에도 포함됐다.",정년연장
뉴시스,"양대 노총,정년65세연장법안 통과 촉구",네이버뉴스,https://n.news.naver.com/mnews/article/003/0013582106?sid=102,,뉴시스,"양대노총, 정부·여당에 ""'65세 법정 정년연장' 공약 이행해야"" 촉구","민주노총·한국노총, 입법 촉구 기자회견
민주당 총선 공약·李 국정과제 등 포함돼
""사회적 논의 핑계로 애매모호한 태도만""
""노사 입장 더 이상 접점 이루기 어려워""
[서울=뉴시스] 김금보 기자 = 김병기 더불어민주당 원내대표가 지난 3일 오전 서울 여의도 국회에서 열린 더불어민주당 회복과 성장을 위한 정년연장특별위원회 제1차 본위원회의에서 발언을 하고 있다. 2025.11.03. kgb@newsis.com
[서울=뉴시스]권신혁 기자 = 전국민주노동조합총연맹(민주노총), 한국노동조합총연맹(한국노총) 등 양대노총이 더불어민주당과 이재명 정부를 향해 '65세 법정 정년연장'을 공약대로 올해 안에 국회에서 통과시킬 것을 촉구했다.
양대노총은 5일 오전 서울 여의도 국회에서 '65세 법정 정년연장 연내 입법 촉구' 기자회견을 개최하고 이 같이 요구했다.
이날 기자회견에서 민주노총과 한국노총은 ""65세 법정 정년연장 공약을 약속대로 이행해야 한다""고 강조했다.
앞서 민주당은 22대 총선공약으로 국민연금 수급개시연령 상향과 연계한 65세 단계적 연장을 2025년 내 입법 추진하겠다고 했다. 이재명 대통령의 국정과제에도 담겼다.
이에 양대노총은 ""(민주당은) 공약을 위해 정년연장특별위원회를 7개월 간 운영했는데 2달이 채 남지 않는 상황에서 입법시한이 임박했음에도 사회적 논의를 핑계로 애매모호한 태도만 보여주고 있다""고 지적했다.
이미 사회적 논의가 충분하다는 것이 양대노총의 입장이다. 이들은 ""지난해 경제사회노동위원회(경사노위) 사회적 대화와 정년연장특별위원회 논의까지 65세 정년연장에 대한 사회적 논의는 숙성됐다""며 ""노사 입장은 논의과정에서 충분히 확인됐고 더 이상 접점을 이루기 힘든 상황""이라고 했다.
그러면서 ""마냥 사회적 합의를 운운하며 시간을 지체할 수 없다""고 강조했다.
양대노총은 정년연장에 대한 경영계의 우려에 반박하기도 했다.
민주노총과 한국노총은 ""사용자단체는 정년연장이 되면 청년 채용에 부정적 영향을 미치고 노동시장 이중구조 문제를 더욱 고착화할 것이라고 주장하고 있다""며 ""10년 전 60세 정년 의무화 당시와 똑같은 이유와 변명으로 공포 마케팅을 반복하고 있다""고 지적했다.
아울러 양대노총는 ""현재 국회엔 정년연장을 골자로 하는 다수의 고령자고용법 개정안이 계류 중""이라며 ""국회와 정부는 계류법안보다 후퇴하거나 개악된 법안으로 정년연장을 기대하는 수백만명의 노동자에게 절망감을 안겨줘선 안 될 것""이라고 했다.
한편 이날 기자회견에서 김동명 한국노총 위원장은 ""법정 정년연장 관련 범정부 지원체계를 구축하겠다는 정부는 어떠한 대책도 없다""며 ""사실상 정부 여당의 책임 회피""라고 지적했다．",정년연장
문화일보,양대노총 ‘65세정년’ 청구했다,네이버뉴스,https://n.news.naver.com/mnews/article/021/0002747823?sid=102,,문화일보,양대노총 ‘65세 정년’ 청구했다,"■ 연내 법안통과 공식 요구
“보편·일률적인 방안 마련하라”
퇴직 후 재고용에는 반대 입장
李대통령, 단계적 연장 공약해
재계 “노봉법 이어 또 청구서”
정년연장양대노총기자회견
김동명(왼쪽 세번째)한국노총위원장과 양경수(왼쪽 두번째)민주노총위원장이 5일 오전 국회 소통관에서 법정정년 65세연장의 연내 법제화를 촉구하는 기자회견을 하고 있다. 2025.11.5. 곽성호기자
한국노총과 민주노총이 5일 공동 기자회견을 열고 정년 65세 연장 법안 연내 통과를 국회에 공식 요구했다. 양대 노총은 그러나 정년 연장을 전제로 한 임금 삭감 방안 등은 전혀 언급하지 않아, 기업 부담 가중과 청년 고용 위축 우려가 나온다. 이런 와중에 더불어민주당이 지난 3일 정년연장특별위원회 1차 회의를 통해 ‘연내 입법’ 방침을 밝혀, 법안 처리 여부를 놓고 상당한 진통이 예상된다.
김동명 한국노총 위원장과 양경수 민주노총 위원장 등은 이날 오전 국회 소통관에서 기자회견을 열고 “국민연금 수급개시 연령과 연계한 65세 정년연장 법안의 2025년 국회 입법 통과를 강력히 촉구한다”고 밝혔다. 양대 노총은 “노동자의 고용안정과 소득보장을 위한 보편적이고 일률적인 법정 정년연장 방안을 마련하라”며 “정년연장 법안을 이번 정기국회에서 반드시 통과시켜야 한다”고 강조했다.
양대 노총은 “사용자가 주장하는 ‘선별을 통한 퇴직 후 재고용’은 사업주의 재량 하에 뽑고 싶은 사람만 계약직으로 뽑아 불합리한 방식으로 임금을 삭감하는 고용 방식”이라며 “단기 반복 계약을 통해 임금과 노동조건을 하향화시켜 노동계로서는 절대로 수용할 수 없다”고 말했다. 양대 노총은 임금 삭감 등 비용 관련 대책은 전혀 언급하지 않았다.
이재명 대통령은 국민연금 수급 개시 연령 상향과 연계한 단계적 법정 정년연장 연내 추진을 공약으로 제시한 바 있다. 이에, 민주당은 양대 노총과 경제계 등이 참여하는 특위 내부에서 합의안을 만들겠다는 목표를 세웠다.
하지만 청년층을 중심으로 노동계 내부에서 이견이 있어 특위 내부 합의안 도출이 쉽지 않다는 전망도 있다. 경제계에서는 “노란봉투법에 이은 노동계의 이재명 정부에 대한 두 번째 청구서”라는 말이 나오고 있다.",정년연장
문화일보,"양대노총, 이번엔 '65세정년' 청구서…""연내 법제화"" 촉구",네이버뉴스,https://n.news.naver.com/mnews/article/021/0002747823?sid=102,,문화일보,양대노총 ‘65세 정년’ 청구했다,"■ 연내 법안통과 공식 요구
“보편·일률적인 방안 마련하라”
퇴직 후 재고용에는 반대 입장
李대통령, 단계적 연장 공약해
재계 “노봉법 이어 또 청구서”
정년연장양대노총기자회견
김동명(왼쪽 세번째)한국노총위원장과 양경수(왼쪽 두번째)민주노총위원장이 5일 오전 국회 소통관에서 법정정년 65세연장의 연내 법제화를 촉구하는 기자회견을 하고 있다. 2025.11.5. 곽성호기자
한국노총과 민주노총이 5일 공동 기자회견을 열고 정년 65세 연장 법안 연내 통과를 국회에 공식 요구했다. 양대 노총은 그러나 정년 연장을 전제로 한 임금 삭감 방안 등은 전혀 언급하지 않아, 기업 부담 가중과 청년 고용 위축 우려가 나온다. 이런 와중에 더불어민주당이 지난 3일 정년연장특별위원회 1차 회의를 통해 ‘연내 입법’ 방침을 밝혀, 법안 처리 여부를 놓고 상당한 진통이 예상된다.
김동명 한국노총 위원장과 양경수 민주노총 위원장 등은 이날 오전 국회 소통관에서 기자회견을 열고 “국민연금 수급개시 연령과 연계한 65세 정년연장 법안의 2025년 국회 입법 통과를 강력히 촉구한다”고 밝혔다. 양대 노총은 “노동자의 고용안정과 소득보장을 위한 보편적이고 일률적인 법정 정년연장 방안을 마련하라”며 “정년연장 법안을 이번 정기국회에서 반드시 통과시켜야 한다”고 강조했다.
양대 노총은 “사용자가 주장하는 ‘선별을 통한 퇴직 후 재고용’은 사업주의 재량 하에 뽑고 싶은 사람만 계약직으로 뽑아 불합리한 방식으로 임금을 삭감하는 고용 방식”이라며 “단기 반복 계약을 통해 임금과 노동조건을 하향화시켜 노동계로서는 절대로 수용할 수 없다”고 말했다. 양대 노총은 임금 삭감 등 비용 관련 대책은 전혀 언급하지 않았다.
이재명 대통령은 국민연금 수급 개시 연령 상향과 연계한 단계적 법정 정년연장 연내 추진을 공약으로 제시한 바 있다. 이에, 민주당은 양대 노총과 경제계 등이 참여하는 특위 내부에서 합의안을 만들겠다는 목표를 세웠다.
하지만 청년층을 중심으로 노동계 내부에서 이견이 있어 특위 내부 합의안 도출이 쉽지 않다는 전망도 있다. 경제계에서는 “노란봉투법에 이은 노동계의 이재명 정부에 대한 두 번째 청구서”라는 말이 나오고 있다.",정년연장
TV조선,'65세정년' 압박하는 노동계…연말까지 법안 통과 촉구,네이버뉴스,https://n.news.naver.com/mnews/article/448/0000568653?sid=102,,TV조선,"양대노총, 이번엔 '65세 정년' 청구서…""연내 법제화"" 촉구","[앵커]
노동계가 올해 안으로 정년을 65세로 연장하는 법 개정을 해달라고 국회에 공식 촉구했습니다. 노란봉투법에 이어 두 번째 청구서를 내민 셈인데, 청년 고용이 더 줄어들고, 기업 부담은 상당히 늘어난다는 점에서 큰 진통이 예상됩니다.
먼저, 차정승 기자입니다.
[리포트]
노총 관계자들이 정년 연장 촉구 피켓을 들고 국회 회견장에 나란히 섰습니다.
양대 노총은 고용 안정과 소득 보장을 위해 현재 60세인 정년을 65세로 연장하는 방안을 이번 정기국회에서 통과시키라고 요구했습니다.
김동명 / 한국노총 위원장
""2025년이 두 달도 남지 않았습니다. 대선에서 국민들에게 약속한 바를 이행해야 합니다.""
국민연금 수급연령이 65세로 상향되면 정년 후 최대 5년간 소득 공백이 발생할 수 있기 때문이라는 주장입니다.
그동안 내부 반대의견에 입장을 보류해 왔던 민주노총도 사실상 처음 정년연장을 공식화했습니다.
양경수 / 민주노총 위원장
""더 일하지 않고서는 생존할 수 없다는 절박한 마음으로 정년 연장을...""
정년연장 추진이 이재명 대통령의 공약이었던 만큼 노란봉투법에 이어 두 번째 청구서를 내민 것입니다.
하지만 정년연장을 전제로 경영계에서 제시한 임금피크제나 퇴직 후 재고용은 임금이 깎인다며 반대했습니다.
오상훈 / 삼성그룹노동조합연대 의장
""임금 삭감 없는 법적 고용 의무화가 돼야 합니다.""고용노동부 역시 정년 연장 추진을 시사한 바 있습니다.
김영훈 / 고용노동부 장관 (지난달)
""사회적 논의를 통해 세대 연대형 정년연장을 단계적으로 추진하겠습니다.""
다만, 노동부 관계자는 ""연내 입법화를 예단하기는 이르다""며 ""국회 논의를 최대한 존중하겠다""고 했습니다.
TV조선 차정승입니다.",정년연장
MBN,양대노총 '정년연장연내 입법 촉구',네이버뉴스,https://n.news.naver.com/mnews/article/057/0001917204?sid=102,,MBN,'65세 정년' 압박하는 노동계…연말까지 법안 통과 촉구,"【 앵커멘트 】
양대 노총이 정년을 65세로 연장하는 법안을 올해 안에 국회가 처리해야 한다고 공식 요구하고 나섰습니다.
사회적 합의를 볼모로 시간을 지체하지 말라고도 요구했는데, 청년 고용 등 부작용은 충분히 살핀 걸까요?
신혜진 기자가 보도합니다.
【 기자 】
한국노총과 민주노총이 현행법상 만 60세인 법정 정년을 65세로 올리는 법안을 연내에 처리하라고 촉구했습니다.
2033년부터 국민연금 수령 연령이 65세로 올라가면서 최대 5년 동안 연금을 받지 못하는 공백을 메워야 한다는 겁니다.
▶ 인터뷰 : 김동명 / 한국노총 위원장
- ""더불어민주당은 대선에서 국민들에게 약속한 바를 이행해야 합니다. 더 이상 미루지 말고 책임 있는 정당으로서 구체적인 입법안을 제출하고 연내에 입법을 반드시 완수해야 합니다.""
민주당이 국회 정년연장 TF를 통해 7개월 동안 사회적 논의를 이어왔고, 미온적 태도라는 점도 지적했습니다.
정년 연장안은 이재명 대통령의 대선 공약으로 여당에서도 연내 입법을 거듭 약속한 바 있습니다.
하지만 모든 노동자의 정년을 65세로 연장하라고 요구하는 노동계와 선별적 재고용을 주장하는 경영계의 간극은 큽니다.
노동계는 정년 연장에 따른 임금 삭감을 유연하게 논의한다는 입장이지만 충분한 대화가 없는 상황에서 청년층을 설득하기는 쉽지 않아 보입니다．
▶ 인터뷰 : 김설 / 청년유니온 위원장
- ""당에서의 어떤 논의보다는 사회적 대화 기구라든지 조금 더 넓은 틀에서의 어떤 논의나 합의 수준이 조금 더 필요하지 않을까….""
올해가 두 달도 채 남지 않은 상황에서 경영계의 동의가 없더라도 입법을 강행하라는 양대노총의 요구가 성급하다는 비판도 나옵니다.
MBN뉴스 신혜진입니다.
영상취재 : 김회종 기자
영상편집 : 김혜영",정년연장
뉴스1,"양대 노총, 65세 법정정년 연장입법 연내 통과 촉구 기자회견",네이버뉴스,https://n.news.naver.com/mnews/article/421/0008586385?sid=100,,뉴스1,양대노총 '정년연장 연내 입법 촉구',(서울=뉴스1) 유승관 기자 = 양대노총 조합원들이 5일 서울 여의도 국회 소통관에서 법정 정년연장 연내 입법 촉구 양대노총 기자회견을 하고 있다. 2025.11.5/뉴스1,정년연장
